seriescode,unit,StatVar
BAR.SEC.SCHL.4044.FE,,worldBank/BAR_SEC_SCHL_4044_FE
BAR.SEC.SCHL.4549,,worldBank/BAR_SEC_SCHL_4549
BAR.SEC.SCHL.4549.FE,,worldBank/BAR_SEC_SCHL_4549_FE
BAR.SEC.SCHL.5054,,worldBank/BAR_SEC_SCHL_5054
BAR.SEC.SCHL.5054.FE,,worldBank/BAR_SEC_SCHL_5054_FE
BAR.SEC.SCHL.5559,,worldBank/BAR_SEC_SCHL_5559
BAR.SEC.SCHL.5559.FE,,worldBank/BAR_SEC_SCHL_5559_FE
BAR.SEC.SCHL.6064,,worldBank/BAR_SEC_SCHL_6064
BAR.SEC.SCHL.6064.FE,,worldBank/BAR_SEC_SCHL_6064_FE
BAR.SEC.SCHL.6569,,worldBank/BAR_SEC_SCHL_6569
BAR.SEC.SCHL.6569.FE,,worldBank/BAR_SEC_SCHL_6569_FE
BAR.SEC.SCHL.7074,,worldBank/BAR_SEC_SCHL_7074
BAR.SEC.SCHL.7074.FE,,worldBank/BAR_SEC_SCHL_7074_FE
BAR.SEC.SCHL.75UP,,worldBank/BAR_SEC_SCHL_75UP
BAR.SEC.SCHL.75UP.FE,,worldBank/BAR_SEC_SCHL_75UP_FE
BAR.TER.CMPT.1519.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_1519_FE_ZS
BAR.TER.CMPT.1519.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_1519_ZS
BAR.TER.CMPT.15UP.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_15UP_FE_ZS
BAR.TER.CMPT.15UP.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_15UP_ZS
BAR.TER.CMPT.2024.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_2024_FE_ZS
BAR.TER.CMPT.2024.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_2024_ZS
BAR.TER.CMPT.2529.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_2529_FE_ZS
BAR.TER.CMPT.2529.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_2529_ZS
BAR.TER.CMPT.25UP.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_25UP_FE_ZS
BAR.TER.CMPT.25UP.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_25UP_ZS
BAR.TER.CMPT.3034.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_3034_FE_ZS
BAR.TER.CMPT.3034.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_3034_ZS
BAR.TER.CMPT.3539.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_3539_FE_ZS
BAR.TER.CMPT.3539.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_3539_ZS
BAR.TER.CMPT.4044.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_4044_FE_ZS
BAR.TER.CMPT.4044.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_4044_ZS
BAR.TER.CMPT.4549.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_4549_FE_ZS
BAR.TER.CMPT.4549.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_4549_ZS
BAR.TER.CMPT.5054.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_5054_FE_ZS
BAR.TER.CMPT.5054.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_5054_ZS
BAR.TER.CMPT.5559.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_5559_FE_ZS
BAR.TER.CMPT.5559.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_5559_ZS
BAR.TER.CMPT.6064.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_6064_FE_ZS
BAR.TER.CMPT.6064.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_6064_ZS
BAR.TER.CMPT.6569.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_6569_FE_ZS
BAR.TER.CMPT.6569.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_6569_ZS
BAR.TER.CMPT.7074.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_7074_FE_ZS
BAR.TER.CMPT.7074.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_7074_ZS
BAR.TER.CMPT.75UP.FE.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_75UP_FE_ZS
BAR.TER.CMPT.75UP.ZS,dcs:Percent,worldBank/BAR_TER_CMPT_75UP_ZS
BAR.TER.ICMP.1519.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_1519_FE_ZS
BAR.TER.ICMP.1519.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_1519_ZS
BAR.TER.ICMP.15UP.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_15UP_FE_ZS
BAR.TER.ICMP.15UP.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_15UP_ZS
BAR.TER.ICMP.2024.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_2024_FE_ZS
BAR.TER.ICMP.2024.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_2024_ZS
BAR.TER.ICMP.2529.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_2529_FE_ZS
BAR.TER.ICMP.2529.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_2529_ZS
BAR.TER.ICMP.25UP.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_25UP_FE_ZS
BAR.TER.ICMP.25UP.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_25UP_ZS
BAR.TER.ICMP.3034.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_3034_FE_ZS
BAR.TER.ICMP.3034.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_3034_ZS
BAR.TER.ICMP.3539.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_3539_FE_ZS
BAR.TER.ICMP.3539.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_3539_ZS
BAR.TER.ICMP.4044.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_4044_FE_ZS
BAR.TER.ICMP.4044.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_4044_ZS
BAR.TER.ICMP.4549.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_4549_FE_ZS
BAR.TER.ICMP.4549.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_4549_ZS
BAR.TER.ICMP.5054.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_5054_FE_ZS
BAR.TER.ICMP.5054.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_5054_ZS
BAR.TER.ICMP.5559.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_5559_FE_ZS
BAR.TER.ICMP.5559.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_5559_ZS
BAR.TER.ICMP.6064.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_6064_FE_ZS
BAR.TER.ICMP.6064.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_6064_ZS
BAR.TER.ICMP.6569.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_6569_FE_ZS
BAR.TER.ICMP.6569.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_6569_ZS
BAR.TER.ICMP.7074.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_7074_FE_ZS
BAR.TER.ICMP.7074.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_7074_ZS
BAR.TER.ICMP.75UP.FE.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_75UP_FE_ZS
BAR.TER.ICMP.75UP.ZS,dcs:Percent,worldBank/BAR_TER_ICMP_75UP_ZS
BAR.TER.SCHL.1519,,worldBank/BAR_TER_SCHL_1519
BAR.TER.SCHL.1519.FE,,worldBank/BAR_TER_SCHL_1519_FE
BAR.TER.SCHL.15UP,,worldBank/BAR_TER_SCHL_15UP
BAR.TER.SCHL.15UP.FE,,worldBank/BAR_TER_SCHL_15UP_FE
BAR.TER.SCHL.2024,,worldBank/BAR_TER_SCHL_2024
BAR.TER.SCHL.2024.FE,,worldBank/BAR_TER_SCHL_2024_FE
BAR.TER.SCHL.2529,,worldBank/BAR_TER_SCHL_2529
BAR.TER.SCHL.2529.FE,,worldBank/BAR_TER_SCHL_2529_FE
BAR.TER.SCHL.25UP,,worldBank/BAR_TER_SCHL_25UP
BAR.TER.SCHL.25UP.FE,,worldBank/BAR_TER_SCHL_25UP_FE
BAR.TER.SCHL.3034,,worldBank/BAR_TER_SCHL_3034
BAR.TER.SCHL.3034.FE,,worldBank/BAR_TER_SCHL_3034_FE
BAR.TER.SCHL.3539,,worldBank/BAR_TER_SCHL_3539
BAR.TER.SCHL.3539.FE,,worldBank/BAR_TER_SCHL_3539_FE
BAR.TER.SCHL.4044,,worldBank/BAR_TER_SCHL_4044
BAR.TER.SCHL.4044.FE,,worldBank/BAR_TER_SCHL_4044_FE
BAR.TER.SCHL.4549,,worldBank/BAR_TER_SCHL_4549
BAR.TER.SCHL.4549.FE,,worldBank/BAR_TER_SCHL_4549_FE
BAR.TER.SCHL.5054,,worldBank/BAR_TER_SCHL_5054
BAR.TER.SCHL.5054.FE,,worldBank/BAR_TER_SCHL_5054_FE
BAR.TER.SCHL.5559,,worldBank/BAR_TER_SCHL_5559
BAR.TER.SCHL.5559.FE,,worldBank/BAR_TER_SCHL_5559_FE
BAR.TER.SCHL.6064,,worldBank/BAR_TER_SCHL_6064
BAR.TER.SCHL.6064.FE,,worldBank/BAR_TER_SCHL_6064_FE
BAR.TER.SCHL.6569,,worldBank/BAR_TER_SCHL_6569
BAR.TER.SCHL.6569.FE,,worldBank/BAR_TER_SCHL_6569_FE
BAR.TER.SCHL.7074,,worldBank/BAR_TER_SCHL_7074
BAR.TER.SCHL.7074.FE,,worldBank/BAR_TER_SCHL_7074_FE
BAR.TER.SCHL.75UP,,worldBank/BAR_TER_SCHL_75UP
BAR.TER.SCHL.75UP.FE,,worldBank/BAR_TER_SCHL_75UP_FE
BG.GSR.NFSV.GD.ZS,dcs:Percent,worldBank/BG_GSR_NFSV_GD_ZS
BI.EMP.FRML.PB.ZS,dcs:Percent,worldBank/BI_EMP_FRML_PB_ZS
BI.EMP.PUBS.FE.CK.ZS,dcs:Percent,worldBank/BI_EMP_PUBS_FE_CK_ZS
BI.EMP.PUBS.FE.EO.ZS,dcs:Percent,worldBank/BI_EMP_PUBS_FE_EO_ZS
BI.EMP.PUBS.FE.PN.ZS,dcs:Percent,worldBank/BI_EMP_PUBS_FE_PN_ZS
BI.EMP.PUBS.FE.SN.ZS,dcs:Percent,worldBank/BI_EMP_PUBS_FE_SN_ZS
BI.EMP.PUBS.FE.TN.ZS,dcs:Percent,worldBank/BI_EMP_PUBS_FE_TN_ZS
BI.EMP.PWRK.PB.CK.ZS,dcs:Percent,worldBank/BI_EMP_PWRK_PB_CK_ZS
BI.EMP.PWRK.PB.EO.ZS,dcs:Percent,worldBank/BI_EMP_PWRK_PB_EO_ZS
BI.EMP.PWRK.PB.FE.ZS,dcs:Percent,worldBank/BI_EMP_PWRK_PB_FE_ZS
BI.EMP.PWRK.PB.MA.ZS,dcs:Percent,worldBank/BI_EMP_PWRK_PB_MA_ZS
BI.EMP.PWRK.PB.PN.ZS,dcs:Percent,worldBank/BI_EMP_PWRK_PB_PN_ZS
BI.EMP.PWRK.PB.RU.ZS,dcs:Percent,worldBank/BI_EMP_PWRK_PB_RU_ZS
BI.EMP.PWRK.PB.SN.ZS,dcs:Percent,worldBank/BI_EMP_PWRK_PB_SN_ZS
BI.EMP.PWRK.PB.TN.ZS,dcs:Percent,worldBank/BI_EMP_PWRK_PB_TN_ZS
BI.EMP.PWRK.PB.UR.ZS,dcs:Percent,worldBank/BI_EMP_PWRK_PB_UR_ZS
BI.EMP.PWRK.PB.ZS,dcs:Percent,worldBank/BI_EMP_PWRK_PB_ZS
BI.EMP.TOTL.NO,,worldBank/BI_EMP_TOTL_NO
BI.EMP.TOTL.PB.CK.ZS,dcs:Percent,worldBank/BI_EMP_TOTL_PB_CK_ZS
BI.EMP.TOTL.PB.EO.ZS,dcs:Percent,worldBank/BI_EMP_TOTL_PB_EO_ZS
BI.EMP.TOTL.PB.FE.ZS,dcs:Percent,worldBank/BI_EMP_TOTL_PB_FE_ZS
BI.EMP.TOTL.PB.MA.ZS,dcs:Percent,worldBank/BI_EMP_TOTL_PB_MA_ZS
BI.EMP.TOTL.PB.PN.ZS,dcs:Percent,worldBank/BI_EMP_TOTL_PB_PN_ZS
BI.EMP.TOTL.PB.RU.ZS,dcs:Percent,worldBank/BI_EMP_TOTL_PB_RU_ZS
BI.EMP.TOTL.PB.SN.ZS,dcs:Percent,worldBank/BI_EMP_TOTL_PB_SN_ZS
BI.EMP.TOTL.PB.TN.ZS,dcs:Percent,worldBank/BI_EMP_TOTL_PB_TN_ZS
BI.EMP.TOTL.PB.TT.ZS,dcs:Percent,worldBank/BI_EMP_TOTL_PB_TT_ZS
BI.EMP.TOTL.PB.UR.ZS,dcs:Percent,worldBank/BI_EMP_TOTL_PB_UR_ZS
BI.EMP.TOTL.PB.ZS,dcs:Percent,worldBank/BI_EMP_TOTL_PB_ZS
BI.PWK.AGES.PB.MD,,worldBank/BI_PWK_AGES_PB_MD
BI.PWK.AGES.PB.SM,,worldBank/BI_PWK_AGES_PB_SM
BI.PWK.AGES.PV.MD,,worldBank/BI_PWK_AGES_PV_MD
BI.PWK.AGES.PV.SM,,worldBank/BI_PWK_AGES_PV_SM
BI.PWK.PRVS.CK.FE.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_CK_FE_ZS
BI.PWK.PRVS.CT.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_CT_ZS
BI.PWK.PRVS.EO.FE.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_EO_FE_ZS
BI.PWK.PRVS.FE.Q1.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_FE_Q1_ZS
BI.PWK.PRVS.FE.Q2.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_FE_Q2_ZS
BI.PWK.PRVS.FE.Q3.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_FE_Q3_ZS
BI.PWK.PRVS.FE.Q4.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_FE_Q4_ZS
BI.PWK.PRVS.FE.Q5.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_FE_Q5_ZS
BI.PWK.PRVS.FE.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_FE_ZS
BI.PWK.PRVS.HS.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_HS_ZS
BI.PWK.PRVS.NN.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_NN_ZS
BI.PWK.PRVS.PN.FE.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_PN_FE_ZS
BI.PWK.PRVS.PR.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_PR_ZS
BI.PWK.PRVS.RU.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_RU_ZS
BI.PWK.PRVS.SG.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_SG_ZS
BI.PWK.PRVS.SN.FE.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_SN_FE_ZS
BI.PWK.PRVS.SY.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_SY_ZS
BI.PWK.PRVS.TN.FE.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_TN_FE_ZS
BI.PWK.PRVS.TT.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_TT_ZS
BI.PWK.PRVS.UM.ZS,dcs:Percent,worldBank/BI_PWK_PRVS_UM_ZS
BI.PWK.PUBS.CK.FE.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_CK_FE_ZS
BI.PWK.PUBS.CT.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_CT_ZS
BI.PWK.PUBS.EO.FE.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_EO_FE_ZS
BI.PWK.PUBS.FE.Q1.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_FE_Q1_ZS
BI.PWK.PUBS.FE.Q2.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_FE_Q2_ZS
BI.PWK.PUBS.FE.Q3.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_FE_Q3_ZS
BI.PWK.PUBS.FE.Q4.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_FE_Q4_ZS
BI.PWK.PUBS.FE.Q5.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_FE_Q5_ZS
BI.PWK.PUBS.FE.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_FE_ZS
BI.PWK.PUBS.HS.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_HS_ZS
BI.PWK.PUBS.NN.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_NN_ZS
BI.PWK.PUBS.NO,,worldBank/BI_PWK_PUBS_NO
BI.PWK.PUBS.PN.FE.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_PN_FE_ZS
BI.PWK.PUBS.PR.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_PR_ZS
BI.PWK.PUBS.RU.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_RU_ZS
BI.PWK.PUBS.SG.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_SG_ZS
BI.PWK.PUBS.SN.FE.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_SN_FE_ZS
BI.PWK.PUBS.SY.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_SY_ZS
BI.PWK.PUBS.TN.FE.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_TN_FE_ZS
BI.PWK.PUBS.TT.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_TT_ZS
BI.PWK.PUBS.UM.ZS,dcs:Percent,worldBank/BI_PWK_PUBS_UM_ZS
BI.PWK.TOTL.NO,,worldBank/BI_PWK_TOTL_NO
BI.WAG.CPRS.PB.ZS,dcs:Percent,worldBank/BI_WAG_CPRS_PB_ZS
BI.WAG.CPRS.PV.ZS,dcs:Percent,worldBank/BI_WAG_CPRS_PV_ZS
BI.WAG.PREM.PB,,worldBank/BI_WAG_PREM_PB
BI.WAG.PREM.PB.CK,,worldBank/BI_WAG_PREM_PB_CK
BI.WAG.PREM.PB.ED,,worldBank/BI_WAG_PREM_PB_ED
BI.WAG.PREM.PB.EO,,worldBank/BI_WAG_PREM_PB_EO
BI.WAG.PREM.PB.FE,,worldBank/BI_WAG_PREM_PB_FE
BI.WAG.PREM.PB.FL,,worldBank/BI_WAG_PREM_PB_FL
BI.WAG.PREM.PB.FM,,worldBank/BI_WAG_PREM_PB_FM
BI.WAG.PREM.PB.GP,,worldBank/BI_WAG_PREM_PB_GP
BI.WAG.PREM.PB.MA,,worldBank/BI_WAG_PREM_PB_MA
BI.WAG.PREM.PB.NN,,worldBank/BI_WAG_PREM_PB_NN
BI.WAG.PREM.PB.OC,,worldBank/BI_WAG_PREM_PB_OC
BI.WAG.PREM.PB.PN,,worldBank/BI_WAG_PREM_PB_PN
BI.WAG.PREM.PB.PR,,worldBank/BI_WAG_PREM_PB_PR
BI.WAG.PREM.PB.PV,,worldBank/BI_WAG_PREM_PB_PV
BI.WAG.PREM.PB.SG,,worldBank/BI_WAG_PREM_PB_SG
BI.WAG.PREM.PB.SN,,worldBank/BI_WAG_PREM_PB_SN
BI.WAG.PREM.PB.TN,,worldBank/BI_WAG_PREM_PB_TN
BI.WAG.PREM.PB.TT,,worldBank/BI_WAG_PREM_PB_TT
BI.WAG.PRVS.FM.MD,,worldBank/BI_WAG_PRVS_FM_MD
BI.WAG.PRVS.FM.SM,,worldBank/BI_WAG_PRVS_FM_SM
BI.WAG.PRVS.PN,,worldBank/BI_WAG_PRVS_PN
BI.WAG.PRVS.SN,,worldBank/BI_WAG_PRVS_SN
BI.WAG.PRVS.TN,,worldBank/BI_WAG_PRVS_TN
BI.WAG.PUBS.FM.MD,,worldBank/BI_WAG_PUBS_FM_MD
BI.WAG.PUBS.FM.SM,,worldBank/BI_WAG_PUBS_FM_SM
BI.WAG.PUBS.PN,,worldBank/BI_WAG_PUBS_PN
BI.WAG.PUBS.SN,,worldBank/BI_WAG_PUBS_SN
BI.WAG.PUBS.TN,,worldBank/BI_WAG_PUBS_TN
BI.WAG.TOTL.GD.ZS,dcs:Percent,worldBank/BI_WAG_TOTL_GD_ZS
BI.WAG.TOTL.PB.ZS,dcs:Percent,worldBank/BI_WAG_TOTL_PB_ZS
BM.GSR.CMCP.ZS,dcs:Percent,worldBank/BM_GSR_CMCP_ZS
BM.GSR.FCTY.CD,dcs:USDollar,worldBank/BM_GSR_FCTY_CD
BM.GSR.GNFS.CD,dcs:USDollar,worldBank/BM_GSR_GNFS_CD
BM.GSR.INSF.ZS,dcs:Percent,worldBank/BM_GSR_INSF_ZS
BM.GSR.MRCH.CD,dcs:USDollar,worldBank/BM_GSR_MRCH_CD
BM.GSR.NFSV.CD,dcs:USDollar,worldBank/BM_GSR_NFSV_CD
BM.GSR.ROYL.CD,dcs:USDollar,worldBank/BM_GSR_ROYL_CD
BM.GSR.TOTL.CD,dcs:USDollar,worldBank/BM_GSR_TOTL_CD
BM.GSR.TRAN.ZS,dcs:Percent,worldBank/BM_GSR_TRAN_ZS
BM.GSR.TRVL.ZS,dcs:Percent,worldBank/BM_GSR_TRVL_ZS
BM.KLT.DINV.CD.WD,dcs:USDollar,worldBank/BM_KLT_DINV_CD_WD
BM.KLT.DINV.WD.GD.ZS,dcs:Percent,worldBank/BM_KLT_DINV_WD_GD_ZS
BM.TRF.PRVT.CD,dcs:USDollar,worldBank/BM_TRF_PRVT_CD
BM.TRF.PWKR.CD.DT,dcs:USDollar,worldBank/BM_TRF_PWKR_CD_DT
BN.CAB.XOKA.CD,dcs:USDollar,worldBank/BN_CAB_XOKA_CD
BN.CAB.XOKA.GD.ZS,dcs:Percent,worldBank/BN_CAB_XOKA_GD_ZS
BN.FIN.TOTL.CD,dcs:USDollar,worldBank/BN_FIN_TOTL_CD
BN.GSR.FCTY.CD,dcs:USDollar,worldBank/BN_GSR_FCTY_CD
BN.GSR.GNFS.CD,dcs:USDollar,worldBank/BN_GSR_GNFS_CD
BN.GSR.MRCH.CD,dcs:USDollar,worldBank/BN_GSR_MRCH_CD
BN.KAC.EOMS.CD,dcs:USDollar,worldBank/BN_KAC_EOMS_CD
BN.KLT.DINV.CD,dcs:USDollar,worldBank/BN_KLT_DINV_CD
BN.KLT.PTXL.CD,dcs:USDollar,worldBank/BN_KLT_PTXL_CD
BN.RES.INCL.CD,dcs:USDollar,worldBank/BN_RES_INCL_CD
BN.TRF.CURR.CD,dcs:USDollar,worldBank/BN_TRF_CURR_CD
BN.TRF.KOGT.CD,dcs:USDollar,worldBank/BN_TRF_KOGT_CD
borrow.any,,worldBank/borrow_any
borrow.any.1,,worldBank/borrow_any_1
borrow.any.2,,worldBank/borrow_any_2
BX.GRT.EXTA.CD.WD,dcs:USDollar,worldBank/BX_GRT_EXTA_CD_WD
BX.GRT.TECH.CD.WD,dcs:USDollar,worldBank/BX_GRT_TECH_CD_WD
BX.GSR.CCIS.CD,dcs:USDollar,worldBank/BX_GSR_CCIS_CD
BX.GSR.CCIS.ZS,dcs:Percent,worldBank/BX_GSR_CCIS_ZS
BX.GSR.CMCP.ZS,dcs:Percent,worldBank/BX_GSR_CMCP_ZS
BX.GSR.FCTY.CD,dcs:USDollar,worldBank/BX_GSR_FCTY_CD
BX.GSR.GNFS.CD,dcs:USDollar,worldBank/BX_GSR_GNFS_CD
BX.GSR.INSF.ZS,dcs:Percent,worldBank/BX_GSR_INSF_ZS
BX.GSR.MRCH.CD,dcs:USDollar,worldBank/BX_GSR_MRCH_CD
BX.GSR.NFSV.CD,dcs:USDollar,worldBank/BX_GSR_NFSV_CD
BX.GSR.ROYL.CD,dcs:USDollar,worldBank/BX_GSR_ROYL_CD
BX.GSR.TOTL.CD,dcs:USDollar,worldBank/BX_GSR_TOTL_CD
BX.GSR.TRAN.ZS,dcs:Percent,worldBank/BX_GSR_TRAN_ZS
BX.GSR.TRVL.ZS,dcs:Percent,worldBank/BX_GSR_TRVL_ZS
BX.KLT.DINV.CD.WD,dcs:USDollar,worldBank/BX_KLT_DINV_CD_WD
BX.KLT.DINV.WD.GD.ZS,dcs:Percent,worldBank/BX_KLT_DINV_WD_GD_ZS
BX.PEF.TOTL.CD.WD,dcs:USDollar,worldBank/BX_PEF_TOTL_CD_WD
BX.TRF.CURR.CD,dcs:USDollar,worldBank/BX_TRF_CURR_CD
BX.TRF.PWKR.CD,dcs:USDollar,worldBank/BX_TRF_PWKR_CD
BX.TRF.PWKR.CD.DT,dcs:USDollar,worldBank/BX_TRF_PWKR_CD_DT
BX.TRF.PWKR.DT.GD.ZS,dcs:Percent,worldBank/BX_TRF_PWKR_DT_GD_ZS
CC.EST,,worldBank/CC_EST
CC.NO.SRC,,worldBank/CC_NO_SRC
CC.PER.RNK,,worldBank/CC_PER_RNK
CC.PER.RNK.LOWER,,worldBank/CC_PER_RNK_LOWER
CC.PER.RNK.UPPER,,worldBank/CC_PER_RNK_UPPER
CC.STD.ERR,,worldBank/CC_STD_ERR
CM.MKT.INDX.ZG,,worldBank/CM_MKT_INDX_ZG
CM.MKT.LCAP.CD,dcs:USDollar,worldBank/CM_MKT_LCAP_CD
CM.MKT.LCAP.GD.ZS,dcs:Percent,worldBank/CM_MKT_LCAP_GD_ZS
CM.MKT.LDOM.NO,,worldBank/CM_MKT_LDOM_NO
CM.MKT.TRAD.CD,dcs:USDollar,worldBank/CM_MKT_TRAD_CD
CM.MKT.TRAD.GD.ZS,dcs:Percent,worldBank/CM_MKT_TRAD_GD_ZS
CM.MKT.TRNR,,worldBank/CM_MKT_TRNR
DC.DAC.AUSL.CD,dcs:USDollar,worldBank/DC_DAC_AUSL_CD
DC.DAC.AUTL.CD,dcs:USDollar,worldBank/DC_DAC_AUTL_CD
DC.DAC.BELL.CD,dcs:USDollar,worldBank/DC_DAC_BELL_CD
DC.DAC.CANL.CD,dcs:USDollar,worldBank/DC_DAC_CANL_CD
DC.DAC.CECL.CD,dcs:USDollar,worldBank/DC_DAC_CECL_CD
DC.DAC.CHEL.CD,dcs:USDollar,worldBank/DC_DAC_CHEL_CD
DC.DAC.CZEL.CD,dcs:USDollar,worldBank/DC_DAC_CZEL_CD
DC.DAC.DEUL.CD,dcs:USDollar,worldBank/DC_DAC_DEUL_CD
DC.DAC.DNKL.CD,dcs:USDollar,worldBank/DC_DAC_DNKL_CD
DC.DAC.ESPL.CD,dcs:USDollar,worldBank/DC_DAC_ESPL_CD
DC.DAC.FINL.CD,dcs:USDollar,worldBank/DC_DAC_FINL_CD
DC.DAC.FRAL.CD,dcs:USDollar,worldBank/DC_DAC_FRAL_CD
DC.DAC.GBRL.CD,dcs:USDollar,worldBank/DC_DAC_GBRL_CD
DC.DAC.GRCL.CD,dcs:USDollar,worldBank/DC_DAC_GRCL_CD
DC.DAC.HUNL.CD,dcs:USDollar,worldBank/DC_DAC_HUNL_CD
DC.DAC.IRLL.CD,dcs:USDollar,worldBank/DC_DAC_IRLL_CD
DC.DAC.ISLL.CD,dcs:USDollar,worldBank/DC_DAC_ISLL_CD
DC.DAC.ITAL.CD,dcs:USDollar,worldBank/DC_DAC_ITAL_CD
DC.DAC.JPNL.CD,dcs:USDollar,worldBank/DC_DAC_JPNL_CD
DC.DAC.KORL.CD,dcs:USDollar,worldBank/DC_DAC_KORL_CD
DC.DAC.LUXL.CD,dcs:USDollar,worldBank/DC_DAC_LUXL_CD
