Date,Site_Number,Site_Name,Site_Location,County,Units_Ozone,Units_SO2,Units_CO,Units_NO2,Units_PM2.5,Units_PM10,Mean_Concentration_AirPollutant_Ozone,Max_Concentration_AirPollutant_Ozone,AirQualityIndex_AirPollutant_Ozone,Mean_Concentration_AirPollutant_SO2,Max_Concentration_AirPollutant_SO2,AirQualityIndex_AirPollutant_SO2,Mean_Concentration_AirPollutant_CO,Max_Concentration_AirPollutant_CO,AirQualityIndex_AirPollutant_CO,Mean_Concentration_AirPollutant_NO2,Max_Concentration_AirPollutant_NO2,AirQualityIndex_AirPollutant_NO2,Mean_Concentration_AirPollutant_PM2.5,Max_Concentration_AirPollutant_PM2.5,AirQualityIndex_AirPollutant_PM2.5,Mean_Concentration_AirPollutant_PM10,Max_Concentration_AirPollutant_PM10,AirQualityIndex_AirPollutant_PM10
2021-03-07,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.020706,0.046,43,,,,,,,,,,,,,,,
2021-03-06,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.027176,0.045,42,,,,,,,,,,,,,,,
2021-03-05,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.036941,0.043,40,,,,,,,,,,,,,,,
2021-03-04,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.021588,0.05,46,,,,,,,,,,,,,,,
2021-03-03,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.018588,0.042,39,,,,,,,,,,,,,,,
2021-03-02,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.017875,0.026,24,,,,,,,,,,,,,,,
2021-02-28,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.026,0.026,24,,,,,,,,,,,,,,,
2021-03-31,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.026167,0.03,28,,,,,,,,,,,,,,,
2021-03-30,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.032294,0.035,32,,,,,,,,,,,,,,,
2021-03-29,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.028882,0.045,42,,,,,,,,,,,,,,,
2021-03-28,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.031824,0.034,31,,,,,,,,,,,,,,,
2021-03-27,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.018824,0.023,21,,,,,,,,,,,,,,,
2021-03-26,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.020059,0.023,21,,,,,,,,,,,,,,,
2021-03-25,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.022765,0.027,25,,,,,,,,,,,,,,,
2021-03-24,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.035176,0.041,38,,,,,,,,,,,,,,,
2021-03-23,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.036824,0.04,37,,,,,,,,,,,,,,,
2021-03-22,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.037412,0.045,42,,,,,,,,,,,,,,,
2021-03-21,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.031353,0.05,46,,,,,,,,,,,,,,,
2021-03-20,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.032294,0.04,37,,,,,,,,,,,,,,,
2021-03-19,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.031118,0.037,34,,,,,,,,,,,,,,,
2021-03-18,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.036235,0.037,34,,,,,,,,,,,,,,,
2021-03-17,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.031941,0.034,31,,,,,,,,,,,,,,,
2021-03-16,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.027235,0.034,31,,,,,,,,,,,,,,,
2021-03-15,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.030471,0.034,31,,,,,,,,,,,,,,,
2021-03-14,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.037353,0.042,39,,,,,,,,,,,,,,,
2021-03-13,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.025529,0.043,40,,,,,,,,,,,,,,,
2021-03-12,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.024118,0.042,39,,,,,,,,,,,,,,,
2021-03-11,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.033471,0.04,37,,,,,,,,,,,,,,,
2021-03-10,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.038529,0.043,40,,,,,,,,,,,,,,,
2021-03-09,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.047765,0.053,49,,,,,,,,,,,,,,,
2021-03-08,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.034882,0.054,50,,,,,,,,,,,,,,,
2021-03-07,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.034824,0.052,48,,,,,,,,,,,,,,,
2021-03-06,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.042176,0.045,42,,,,,,,,,,,,,,,
2021-03-05,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.041882,0.052,48,,,,,,,,,,,,,,,
2021-03-04,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.035353,0.051,47,,,,,,,,,,,,,,,
2021-03-03,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.025471,0.039,36,,,,,,,,,,,,,,,
2021-03-02,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.026765,0.028,26,,,,,,,,,,,,,,,
2021-03-01,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.027412,0.032,30,,,,,,,,,,,,,,,
2021-02-28,epa/2005,BAY ROAD,[latLong 30.474305 -88.141022],geoId/01097,Parts per million,,,,,,0.014,0.014,13,,,,,,,,,,,,,,,
2021-03-31,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.028333,0.031,29,,,,,,,,,,,,,,,
2021-03-30,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.026235,0.037,34,,,,,,,,,,,,,,,
2021-03-29,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.026353,0.048,44,,,,,,,,,,,,,,,
2021-03-28,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.023294,0.032,30,,,,,,,,,,,,,,,
2021-03-27,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.022412,0.026,24,,,,,,,,,,,,,,,
2021-03-26,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.017353,0.033,31,,,,,,,,,,,,,,,
2021-03-25,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.018353,0.021,19,,,,,,,,,,,,,,,
2021-03-24,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.032882,0.04,37,,,,,,,,,,,,,,,
2021-03-23,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.018412,0.03,28,,,,,,,,,,,,,,,
2021-03-22,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.025706,0.046,43,,,,,,,,,,,,,,,
2021-03-21,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.024824,0.046,43,,,,,,,,,,,,,,,
2021-03-20,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.019706,0.037,34,,,,,,,,,,,,,,,
2021-03-19,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.024412,0.028,26,,,,,,,,,,,,,,,
2021-03-18,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.028471,0.03,28,,,,,,,,,,,,,,,
2021-03-17,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.027,0.032,30,,,,,,,,,,,,,,,
2021-03-16,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.020706,0.025,23,,,,,,,,,,,,,,,
2021-03-15,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.023529,0.03,28,,,,,,,,,,,,,,,
2021-03-14,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.032455,0.038,35,,,,,,,,,,,,,,,
2021-03-13,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.023882,0.045,42,,,,,,,,,,,,,,,
2021-03-12,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.021529,0.041,38,,,,,,,,,,,,,,,
2021-03-11,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.026176,0.044,41,,,,,,,,,,,,,,,
2021-03-10,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.037529,0.047,44,,,,,,,,,,,,,,,
2021-03-09,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.034471,0.057,58,,,,,,,,,,,,,,,
2021-03-08,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.031765,0.053,49,,,,,,,,,,,,,,,
2021-03-07,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.031176,0.05,46,,,,,,,,,,,,,,,
2021-03-06,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.031059,0.047,44,,,,,,,,,,,,,,,
2021-03-05,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.035706,0.039,36,,,,,,,,,,,,,,,
2021-03-04,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.028235,0.049,45,,,,,,,,,,,,,,,
2021-03-03,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.023471,0.041,38,,,,,,,,,,,,,,,
2021-03-02,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.027176,0.029,27,,,,,,,,,,,,,,,
2021-03-01,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.026176,0.03,28,,,,,,,,,,,,,,,
2021-02-28,epa/0003,CHICKASAW,[latLong 30.770181 -88.087761],geoId/01097,Parts per million,,,,,,0.024,0.024,22,,,,,,,,,,,,,,,
2021-03-31,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.028,0.028,26,,,,,,,,,,,,,,,
2021-03-30,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.035353,0.049,45,,,,,,,,,,,,,,,
2021-03-29,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.029941,0.052,48,,,,,,,,,,,,,,,
2021-03-28,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.033059,0.037,34,,,,,,,,,,,,,,,
2021-03-27,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.025176,0.027,25,,,,,,,,,,,,,,,
2021-03-26,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.039765,0.054,50,,,,,,,,,,,,,,,
2021-03-25,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.024588,0.026,24,,,,,,,,,,,,,,,
2021-03-24,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.038647,0.045,42,,,,,,,,,,,,,,,
2021-03-23,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.033875,0.038,35,,,,,,,,,,,,,,,
2021-03-22,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.044294,0.051,47,,,,,,,,,,,,,,,
2021-03-21,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.029647,0.049,45,,,,,,,,,,,,,,,
2021-03-20,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.033176,0.052,48,,,,,,,,,,,,,,,
2021-03-19,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.024118,0.027,25,,,,,,,,,,,,,,,
2021-03-18,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.024,0.028,26,,,,,,,,,,,,,,,
2021-03-17,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.027706,0.035,32,,,,,,,,,,,,,,,
2021-03-16,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.016941,0.025,23,,,,,,,,,,,,,,,
2021-03-15,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.025118,0.03,28,,,,,,,,,,,,,,,
2021-03-14,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.033471,0.047,44,,,,,,,,,,,,,,,
2021-03-13,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.026,0.046,43,,,,,,,,,,,,,,,
2021-03-12,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.025059,0.045,42,,,,,,,,,,,,,,,
2021-03-11,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.031588,0.045,42,,,,,,,,,,,,,,,
2021-03-10,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.045941,0.052,48,,,,,,,,,,,,,,,
2021-03-09,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.047333,0.062,74,,,,,,,,,,,,,,,
2021-03-08,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.031353,0.054,50,,,,,,,,,,,,,,,
2021-03-07,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.027118,0.05,46,,,,,,,,,,,,,,,
2021-03-06,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.038706,0.048,44,,,,,,,,,,,,,,,
2021-03-05,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.036706,0.044,41,,,,,,,,,,,,,,,
2021-03-04,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.026471,0.052,48,,,,,,,,,,,,,,,
2021-03-03,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.021765,0.043,40,,,,,,,,,,,,,,,
2021-03-02,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.021706,0.026,24,,,,,,,,,,,,,,,
2021-03-01,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.025786,0.026,24,,,,,,,,,,,,,,,
2021-02-28,epa/1003,Fairfield,[latLong 33.485556 -86.915],geoId/01073,Parts per million,,,,,,0.029,0.029,27,,,,,,,,,,,,,,,
2021-03-31,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.030417,0.032,30,,,,,,,,,,,,,,,
2021-03-30,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.029176,0.036,33,,,,,,,,,,,,,,,
2021-03-29,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.030765,0.049,45,,,,,,,,,,,,,,,
2021-03-28,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.030059,0.033,31,,,,,,,,,,,,,,,
2021-03-27,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.023118,0.026,24,,,,,,,,,,,,,,,
2021-03-26,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.023353,0.029,27,,,,,,,,,,,,,,,
2021-03-25,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.023353,0.026,24,,,,,,,,,,,,,,,
2021-03-24,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.031647,0.04,37,,,,,,,,,,,,,,,
2021-03-23,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.035941,0.041,38,,,,,,,,,,,,,,,
2021-03-22,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.043353,0.05,46,,,,,,,,,,,,,,,
2021-03-21,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.034,0.045,42,,,,,,,,,,,,,,,
2021-03-20,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.040765,0.047,44,,,,,,,,,,,,,,,
2021-03-19,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.025588,0.029,27,,,,,,,,,,,,,,,
2021-03-18,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.030529,0.036,33,,,,,,,,,,,,,,,
2021-03-17,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.024706,0.034,31,,,,,,,,,,,,,,,
2021-03-16,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.019529,0.022,20,,,,,,,,,,,,,,,
2021-03-15,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.030471,0.034,31,,,,,,,,,,,,,,,
2021-03-14,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.037059,0.052,48,,,,,,,,,,,,,,,
2021-03-13,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.029882,0.048,44,,,,,,,,,,,,,,,
2021-03-12,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.022471,0.048,44,,,,,,,,,,,,,,,
2021-03-11,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.021118,0.044,41,,,,,,,,,,,,,,,
2021-03-10,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.037235,0.048,44,,,,,,,,,,,,,,,
2021-03-09,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.041353,0.057,58,,,,,,,,,,,,,,,
2021-03-08,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.026882,0.052,48,,,,,,,,,,,,,,,
2021-03-07,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.034176,0.048,44,,,,,,,,,,,,,,,
2021-03-06,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.041882,0.049,45,,,,,,,,,,,,,,,
2021-03-05,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.040176,0.043,40,,,,,,,,,,,,,,,
2021-03-04,epa/1002,"MOMS, ADEM",[latLong 32.412811 -86.263394],geoId/01101,Parts per million,,,,,,0.0175,0.018,17,,,,,,,,,,,,,,,
2021-03-31,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.029333,0.032,30,,,,,,,,,,,,,,,
2021-03-30,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.030824,0.044,41,,,,,,,,,,,,,,,
2021-03-29,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.032,0.05,46,,,,,,,,,,,,,,,
2021-03-28,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.032941,0.037,34,,,,,,,,,,,,,,,
2021-03-27,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.024941,0.027,25,,,,,,,,,,,,,,,
2021-03-26,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.034529,0.047,44,,,,,,,,,,,,,,,
2021-03-25,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.022176,0.026,24,,,,,,,,,,,,,,,
2021-03-24,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.036235,0.042,39,,,,,,,,,,,,,,,
2021-03-23,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.031765,0.035,32,,,,,,,,,,,,,,,
2021-03-22,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.046176,0.05,46,,,,,,,,,,,,,,,
2021-03-21,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.034353,0.045,42,,,,,,,,,,,,,,,
2021-03-20,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.037353,0.049,45,,,,,,,,,,,,,,,
2021-03-19,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.023933,0.028,26,,,,,,,,,,,,,,,
2021-03-18,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.029412,0.033,31,,,,,,,,,,,,,,,
2021-03-17,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.026294,0.035,32,,,,,,,,,,,,,,,
2021-03-16,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.015647,0.021,19,,,,,,,,,,,,,,,
2021-03-15,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.022353,0.028,26,,,,,,,,,,,,,,,
2021-03-14,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.032059,0.047,44,,,,,,,,,,,,,,,
2021-03-13,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.029059,0.046,43,,,,,,,,,,,,,,,
2021-03-12,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.027118,0.042,39,,,,,,,,,,,,,,,
2021-03-11,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.029529,0.047,44,,,,,,,,,,,,,,,
2021-03-10,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.041941,0.052,48,,,,,,,,,,,,,,,
2021-03-09,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.043647,0.061,71,,,,,,,,,,,,,,,
2021-03-08,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.031647,0.051,47,,,,,,,,,,,,,,,
2021-03-07,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.034765,0.05,46,,,,,,,,,,,,,,,
2021-03-06,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.042471,0.049,45,,,,,,,,,,,,,,,
2021-03-05,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.038765,0.045,42,,,,,,,,,,,,,,,
2021-03-04,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.036059,0.054,50,,,,,,,,,,,,,,,
2021-03-03,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.029471,0.045,42,,,,,,,,,,,,,,,
2021-03-02,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.022118,0.03,28,,,,,,,,,,,,,,,
2021-03-01,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.027235,0.029,27,,,,,,,,,,,,,,,
2021-02-28,epa/0004,Wetumpka Westside Technology Park,[latLong 32.53568 -86.255193],geoId/01051,Parts per million,,,,,,0.028,0.028,26,,,,,,,,,,,,,,,
2021-03-31,epa/9991,Sand Mountain,[latLong 34.289001 -85.970065],geoId/01049,Parts per million,,,,,,0.034083,0.037,34,,,,,,,,,,,,,,,
2021-03-30,epa/9991,Sand Mountain,[latLong 34.289001 -85.970065],geoId/01049,Parts per million,,,,,,0.036882,0.044,41,,,,,,,,,,,,,,,
