ApplNo	ProductNo	MarketingStatusID	TECode
020051	004	1	AB
020062	001	1	AB3
020062	002	1	AB3
020062	003	1	AB3
020062	004	1	AB3
020062	005	1	AB3
020064	001	1	AB
020067	002	1	AB
020067	003	1	AB
020075	001	1	AP
020075	002	1	AP
020075	003	1	AP
020080	001	1	AP
020080	002	1	AB
020080	003	1	AB
020083	001	1	AB
020090	001	1	AB
020090	002	1	AB
020103	001	1	AB
020103	002	1	AB
020103	003	1	AB
020105	001	1	AP
020114	001	1	AB
020118	001	1	AN
020122	001	1	AP
020125	001	1	AB
020125	002	1	AB
020125	003	1	AB
020130	002	1	AB
020132	001	1	AB
020132	002	1	AB
020132	003	1	AB
020134	001	1	AP
020140	001	1	AP
020145	001	1	BX
020145	002	1	BX
020145	004	1	BX
020145	005	1	BX
020148	001	1	AB
020161	001	1	AP
020161	002	1	AP
020161	004	1	AP
020161	005	1	AP
020161	006	1	AP
020163	001	1	AT
020163	002	1	AT
020163	003	1	AT
020164	001	1	AP
020164	002	1	AP
020164	003	1	AP
020164	004	1	AP
020164	005	1	AP
020164	007	1	AP
020164	008	1	AP
020164	009	1	AB
020169	002	1	AB
020171	001	1	AT
020171	002	1	AT
020171	003	1	AT
020178	001	1	AP
020178	002	1	AP
020179	001	1	AP
020179	002	1	AP
020180	001	1	AB
020182	001	1	AP
020183	001	1	AT
020183	002	1	AT
020183	004	1	AT
020186	001	1	AB
020186	002	1	AB
020186	003	1	AB
020189	001	1	AB
020189	002	1	AB
020189	003	1	AB
020198	001	1	AB1
020198	002	1	AB1
020198	003	1	AB1
020201	001	1	AP
020201	002	1	AP
020201	003	1	AP
020201	006	1	AP
020207	001	1	AP
020208	001	1	AB
020212	001	1	AP
020212	002	1	AP
020215	001	1	AB
020215	002	1	AB
020221	001	1	AP
020222	001	1	AB
020232	001	1	AB
020234	001	1	AB
020234	002	1	AB
020234	003	1	AB
020235	001	1	AB
020235	002	1	AB
020235	003	1	AB
020237	001	1	AB
020237	002	1	AB
020241	001	1	AB
020241	002	1	AB
020241	003	1	AB
020241	005	1	AB
020246	001	1	AB
020248	001	1	AP
020255	001	1	AP
020255	003	1	AP
020255	004	1	AP
020255	005	1	AP
020258	001	1	AT
020272	001	1	AB
020272	002	1	AB
020272	003	1	AB
020272	004	1	AB
020272	007	1	AB
020272	008	1	AB
020280	006	1	
020281	002	1	AB
020297	001	1	AB
020297	002	1	AB
020297	003	1	AB
020297	004	1	AB
020298	001	1	AP
020309	001	1	AP
020309	002	1	AP
020309	003	1	AP
020309	004	1	AP
020309	005	1	AP
020329	001	1	AB
020329	002	1	AB
020329	003	1	AB
020330	001	1	AB
020330	002	1	AB
020333	001	1	AB
020334	001	1	AB
020353	001	1	AB
020353	002	1	AB
020353	003	1	AB
020356	005	1	AB
020356	007	1	AB
020356	008	1	AB
020358	002	1	AB1
020358	003	1	AB1
020358	004	1	AB1
020364	002	1	AB
020364	003	1	AB
020364	004	1	AB
020364	005	1	AB
020364	006	1	AB
020364	007	1	AB
020375	001	1	AB2
020375	002	1	AB2
020375	003	1	AB2
020375	004	1	AB2
020375	005	1	AB2
020375	006	1	AB
020379	001	1	AP
020379	002	1	AP
020379	004	1	AP
020381	002	1	AB
020381	003	1	AB
020381	004	1	AB
020386	003	1	AB
020387	003	1	AB
020397	001	1	AB
020400	001	1	BT
020401	001	1	AB4
020401	002	1	AB4
020401	003	1	AB4
020401	004	1	AB4
020401	005	1	AB4
020401	006	1	AB4
020404	003	1	AB
020405	002	1	AB
020405	004	1	AB
020406	001	1	AB
020406	002	1	AB
020408	001	1	AT
020412	002	1	AB
020412	003	1	AB
020412	004	1	AB
020412	005	1	AB
020415	001	1	AB
020415	002	1	AB
020427	001	1	AB
020439	001	1	AT
020439	002	1	AT
020444	001	1	AP
020444	002	1	AP
020449	003	1	AP
020449	004	1	AP
020449	005	1	AP
020450	001	1	AP
020475	001	1	AB
