key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
Salo,observationAbout,wikidataId/Q210987,#Header,observationAbout,,,,,,,,
Saltvik,observationAbout,wikidataId/Q176196,#Header,observationAbout,,,,,,,,
Sastamala,observationAbout,wikidataId/Q1001927,#Header,observationAbout,,,,,,,,
Sauvo,observationAbout,wikidataId/Q1017136,#Header,observationAbout,,,,,,,,
Savitaipale,observationAbout,wikidataId/Q1025694,#Header,observationAbout,,,,,,,,
Savonlinna,observationAbout,wikidataId/Q683512,#Header,observationAbout,,,,,,,,
Savukoski,observationAbout,wikidataId/Q984938,#Header,observationAbout,,,,,,,,
Seinäjoki,observationAbout,wikidataId/Q6157,#Header,observationAbout,,,,,,,,
Sievi,observationAbout,wikidataId/Q1001761,#Header,observationAbout,,,,,,,,
Siikainen,observationAbout,wikidataId/Q999264,#Header,observationAbout,,,,,,,,
Siikajoki,observationAbout,wikidataId/Q985445,#Header,observationAbout,,,,,,,,
Siikalatva,observationAbout,wikidataId/Q1811630,#Header,observationAbout,,,,,,,,
Siilinjärvi,observationAbout,wikidataId/Q999210,#Header,observationAbout,,,,,,,,
Simo,observationAbout,wikidataId/Q985400,#Header,observationAbout,,,,,,,,
Sipoo,observationAbout,wikidataId/Q986320,#Header,observationAbout,,,,,,,,
Siuntio,observationAbout,wikidataId/Q984931,#Header,observationAbout,,,,,,,,
Sodankylä,observationAbout,wikidataId/Q502175,#Header,observationAbout,,,,,,,,
Soini,observationAbout,wikidataId/Q6164,#Header,observationAbout,,,,,,,,
Somero,observationAbout,wikidataId/Q939727,#Header,observationAbout,,,,,,,,
Sonkajärvi,observationAbout,wikidataId/Q1010042,#Header,observationAbout,,,,,,,,
Sotkamo,observationAbout,wikidataId/Q738472,#Header,observationAbout,,,,,,,,
Sottunga,observationAbout,wikidataId/Q179739,#Header,observationAbout,,,,,,,,
Sulkava,observationAbout,wikidataId/Q368997,#Header,observationAbout,,,,,,,,
Sund,observationAbout,wikidataId/Q176201,#Header,observationAbout,,,,,,,,
Suomussalmi,observationAbout,wikidataId/Q214054,#Header,observationAbout,,,,,,,,
Suonenjoki,observationAbout,wikidataId/Q259636,#Header,observationAbout,,,,,,,,
Sysmä,observationAbout,wikidataId/Q988280,#Header,observationAbout,,,,,,,,
Säkylä,observationAbout,wikidataId/Q780914,#Header,observationAbout,,,,,,,,
Taipalsaari,observationAbout,wikidataId/Q1025700,#Header,observationAbout,,,,,,,,
Taivalkoski,observationAbout,wikidataId/Q985456,#Header,observationAbout,,,,,,,,
Taivassalo,observationAbout,wikidataId/Q807904,#Header,observationAbout,,,,,,,,
Tammela,observationAbout,wikidataId/Q1005049,#Header,observationAbout,,,,,,,,
Tampere,observationAbout,wikidataId/Q40840,#Header,observationAbout,,,,,,,,
Tervo,observationAbout,wikidataId/Q1009142,#Header,observationAbout,,,,,,,,
Tervola,observationAbout,wikidataId/Q990585,#Header,observationAbout,,,,,,,,
Teuva,observationAbout,wikidataId/Q6167,#Header,observationAbout,,,,,,,,
Tohmajärvi,observationAbout,wikidataId/Q993003,#Header,observationAbout,,,,,,,,
Toholampi,observationAbout,wikidataId/Q1025707,#Header,observationAbout,,,,,,,,
Toivakka,observationAbout,wikidataId/Q580534,#Header,observationAbout,,,,,,,,
Tornio,observationAbout,wikidataId/Q214021,#Header,observationAbout,,,,,,,,
Turku,observationAbout,wikidataId/Q38511,#Header,observationAbout,,,,,,,,
Tuusniemi,observationAbout,wikidataId/Q736486,#Header,observationAbout,,,,,,,,
Tuusula,observationAbout,wikidataId/Q214773,#Header,observationAbout,,,,,,,,
Tyrnävä,observationAbout,wikidataId/Q992898,#Header,observationAbout,,,,,,,,
Ulvila,observationAbout,wikidataId/Q247128,#Header,observationAbout,,,,,,,,
Urjala,observationAbout,wikidataId/Q636459,#Header,observationAbout,,,,,,,,
Utajärvi,observationAbout,wikidataId/Q985447,#Header,observationAbout,,,,,,,,
Utsjoki,observationAbout,wikidataId/Q581920,#Header,observationAbout,,,,,,,,
Uurainen,observationAbout,wikidataId/Q639867,#Header,observationAbout,,,,,,,,
Nykarleby,observationAbout,wikidataId/Q664599,#Header,observationAbout,,,,,,,,
Uusikaupunki,observationAbout,wikidataId/Q207295,#Header,observationAbout,,,,,,,,
Vaala,observationAbout,wikidataId/Q984936,#Header,observationAbout,,,,,,,,
Vaasa,observationAbout,wikidataId/Q125080,#Header,observationAbout,,,,,,,,
Valkeakoski,observationAbout,wikidataId/Q322126,#Header,observationAbout,,,,,,,,
Vantaa,observationAbout,wikidataId/Q127623,#Header,observationAbout,,,,,,,,
Varkaus,observationAbout,wikidataId/Q683525,#Header,observationAbout,,,,,,,,
Vehmaa,observationAbout,wikidataId/Q807905,#Header,observationAbout,,,,,,,,
Vesanto,observationAbout,wikidataId/Q1025744,#Header,observationAbout,,,,,,,,
Vesilahti,observationAbout,wikidataId/Q1009136,#Header,observationAbout,,,,,,,,
Veteli,observationAbout,wikidataId/Q675666,#Header,observationAbout,,,,,,,,
Vieremä,observationAbout,wikidataId/Q1001174,#Header,observationAbout,,,,,,,,
Vihti,observationAbout,wikidataId/Q935858,#Header,observationAbout,,,,,,,,
Viitasaari,observationAbout,wikidataId/Q935847,#Header,observationAbout,,,,,,,,
Vimpeli,observationAbout,wikidataId/Q6171,#Header,observationAbout,,,,,,,,
Virolahti,observationAbout,wikidataId/Q534072,#Header,observationAbout,,,,,,,,
Virrat,observationAbout,wikidataId/Q938820,#Header,observationAbout,,,,,,,,
Vårdö,observationAbout,wikidataId/Q7915572,#Header,observationAbout,,,,,,,,
Vörå,observationAbout,wikidataId/Q2156306,#Header,observationAbout,,,,,,,,
Ylitornio,observationAbout,wikidataId/Q984930,#Header,observationAbout,,,,,,,,
Ylivieska,observationAbout,wikidataId/Q735583,#Header,observationAbout,,,,,,,,
Ylöjärvi,observationAbout,wikidataId/Q543800,#Header,observationAbout,,,,,,,,
Ypäjä,observationAbout,wikidataId/Q602670,#Header,observationAbout,,,,,,,,
Ähtäri,observationAbout,wikidataId/Q6172,#Header,observationAbout,,,,,,,,
Äänekoski,observationAbout,wikidataId/Q258447,#Header,observationAbout,,,,,,,,
MA1 MAINLAND FINLAND,observationAbout,wikidataId/Q1083368,#Header,observationAbout,,,,,,,,
SA2 Southern Finland,observationAbout,wikidataId/Q188752,#Header,observationAbout,,,,,,,,
SA3 Western Finland,observationAbout,wikidataId/Q192759,#Header,observationAbout,,,,,,,,
MK02 Southwest Finland,observationAbout,nuts/FI1C1,#Header,observationAbout,,,,,,,,
MK04 Satakunta,observationAbout,nuts/FI196,#Header,observationAbout,,,,,,,,
MK05 Kanta-Häme,observationAbout,nuts/FI1C2,#Header,observationAbout,,,,,,,,
MK06 Pirkanmaa,observationAbout,nuts/FI197,#Header,observationAbout,,,,,,,,
MK07 Päijät-Häme,observationAbout,nuts/FI1C3,#Header,observationAbout,,,,,,,,
MK08 Kymenlaakso,observationAbout,nuts/FI1C4,#Header,observationAbout,,,,,,,,
MK09 South Karelia,observationAbout,nuts/FI1C5,#Header,observationAbout,,,,,,,,
MK10 South Savo,observationAbout,nuts/FI1D1,#Header,observationAbout,,,,,,,,
MK11 North Savo,observationAbout,nuts/FI1D2,#Header,observationAbout,,,,,,,,
MK12 North Karelia,observationAbout,nuts/FI1D3,#Header,observationAbout,,,,,,,,
MK13 Central Finland,observationAbout,nuts/FI193,#Header,observationAbout,,,,,,,,
MK14 South Ostrobothnia,observationAbout,nuts/FI194,#Header,observationAbout,,,,,,,,
MK15 Ostrobothnia,observationAbout,nuts/FI195,#Header,observationAbout,,,,,,,,
MK16 Central Ostrobothnia,observationAbout,nuts/FI1D5,#Header,observationAbout,,,,,,,,
MK17 North Ostrobothnia,observationAbout,nuts/FI1D6,#Header,observationAbout,,,,,,,,
MK18 Kainuu,observationAbout,nuts/FI1D4,#Header,observationAbout,,,,,,,,
MK19 Lapland,observationAbout,nuts/FI1D7,#Header,observationAbout,,,,,,,,
MA2 ÅLAND,observationAbout,nuts/FI2,#Header,observationAbout,,,,,,,,
