"StatVar","MinDate","NumPlaces","observationPeriods","ScalingFactors","Units","MeasurementMethods"
"Count_MedicalConditionIncident_EthylAcrylate_WaterborneTransmission","1975-10","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ToxoplasmaGondiiEtiology_PatientDeceased_ConfirmedCase_FoodborneTransmission","2017-10","3","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Ciguatoxin_PatientDeceased_SuspectedCase_FoodborneTransmission","1999-03","5","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CampylobacterUnknown_PatientHospitalized_ConfirmedCase_AnimalContactTransmission","2010-09","8","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Phenol_WaterborneTransmission","1974-07","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NorovirusGenogroupI_PatientDeceased_SuspectedCase_PersonToPersonTransmission","2009-01","40","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_GiardiaDuodenalisEtiology_PatientDeceased_ConfirmedCase_AnimalContactTransmission","2010-03","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_GiardiaEtiology_PatientDeceased_WaterborneTransmission","2013-10","4","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientDeceased_AnimalContactTransmission","2009-02","37","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Anisakis_PatientHospitalized_FoodborneTransmission","1999-02","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_TrichinellaEtiology_FoodborneTransmission","2015-10","5","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Histamine_SuspectedCase_FoodborneTransmission","2001-07","9","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ShigellaBoydiiEtiology_PersonToPersonTransmission","2013-12","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EColiEnteropathogenicEtiology_PatientDeceased_SuspectedCase_PersonToPersonTransmission","2016-06","8","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_GiardiaDuodenalisEtiology_PatientDeceased_Indeterminate_Other_UnknownTramissionMode","2009-07","8","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ListeriaUnknown_PatientDeceased_ConfirmedCase_FoodborneTransmission","2006-06","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientDeceased_WaterborneTransmission","1972-06","14","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CyclosporaCayetanensisEtiology_PatientDeceased_SuspectedCase_Indeterminate_Other_UnknownTramissionMode","2019-05","3","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ShigellaSonneiEtiology_SuspectedCase_WaterborneTransmission","1984-06","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Cholera_PatientHospitalized_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","2015-06","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NORSUnknownChemical_Toxin_SuspectedCase_FoodborneTransmission","2023-10","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_LegionellaUnknown_PatientDeceased_WaterborneTransmission","1975-08","26","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NorovirusGenogroupI_ConfirmedCase_FoodborneTransmission","1998-02","50","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CampylobacterUnknown_PatientHospitalized_SuspectedCase_FoodborneTransmission","1998-08","23","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CampylobacterUnknown_PatientHospitalized_AnimalContactTransmission","2010-09","11","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ChlorineGas_PatientDeceased_WaterborneTransmission","2007-08","10","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_SalmonellaEtiology_PatientDeceased_PersonToPersonTransmission","2014-01","4","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_YersiniaEnterocoliticaEtiology_Indeterminate_Other_UnknownTramissionMode","2010-11","5","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CampylobacterColiEtiology_PatientHospitalized_ConfirmedCase_FoodborneTransmission","2011-07","8","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CampylobacterJejuniEtiology_WaterborneTransmission","1978-05","23","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ShigellaUnknown_PatientDeceased_SuspectedCase_Indeterminate_Other_UnknownTramissionMode","2015-10","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ShigellaBoydiiEtiology_PatientHospitalized_ConfirmedCase_FoodborneTransmission","1998-01","6","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_BrucellaOther_ConfirmedCase_FoodborneTransmission","2021-05","3","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_SapovirusGenogroupIV_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","2016-02","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_SapovirusGenogroupI_Indeterminate_Other_UnknownTramissionMode","2013-02","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_SuspectedCase_EnvironmentalContaminationTransmissionExceptFood_Water","2013-09","6","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EscherichiaEtiology_PatientDeceased_FoodborneTransmission","2021-05","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EColiUnknownEtiology_PersonToPersonTransmission","2023-07","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CampylobacterJejuniEtiology_PatientDeceased_ConfirmedCase_FoodborneTransmission","1998-05","44","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CryptosporidiumEtiology_ConfirmedCase_WaterborneTransmission","2009-08","3","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ShigellaBoydiiEtiology_SuspectedCase_FoodborneTransmission","2002-07","3","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CryptosporidiumUnknown_PatientDeceased_SuspectedCase_WaterborneTransmission","2007-07","13","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Morpholine_PatientDeceased_ConfirmedCase_WaterborneTransmission","1979-08","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CryptosporidiumParvumEtiology_PatientHospitalized_SuspectedCase_FoodborneTransmission","2006-07","1","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientDeceased_WaterborneTransmission","1998-07","20","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Gasoline_PatientDeceased_ConfirmedCase_WaterborneTransmission","1977-01","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_AcanthamoebaUnknown_ConfirmedCase_WaterborneTransmission","2015-11","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_SapovirusUnknown_PatientHospitalized_Indeterminate_Other_UnknownTramissionMode","2017-10","4","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_SapovirusGenogroupI_PersonToPersonTransmission","2011-02","6","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_YersiniaEnterocoliticaEtiology_PatientHospitalized_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","2010-11","3","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PersonToPersonTransmission","2009-01","51","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CampylobacterColiEtiology_PatientDeceased_FoodborneTransmission","2002-02","12","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EnterovirusCoxsackievirusAEtiology_PatientHospitalized_ConfirmedCase_WaterborneTransmission","1983-07","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CryptosporidiumParvumEtiology_SuspectedCase_WaterborneTransmission","2018-07","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NORSOtherChemical_Toxin_PatientHospitalized_FoodborneTransmission","1998-08","25","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_HydrochloricAcid_PatientHospitalized_ConfirmedCase_WaterborneTransmission","1998-09","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ProvidenciaUnknown_ConfirmedCase_WaterborneTransmission","2008-08","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_SalmonellaUnknown_PatientDeceased_SuspectedCase_PersonToPersonTransmission","2012-06","7","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ShigellaUnknown_PatientHospitalized_SuspectedCase_PersonToPersonTransmission","2015-06","11","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EColiEnteroinvasiveEtiology_PatientDeceased_SuspectedCase_FoodborneTransmission","2016-12","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EnterovirusUnknownEtiology_SuspectedCase_PersonToPersonTransmission","2023-03","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
