"variableMeasured","observationPeriod","measurementMethod","observationDate","observationAbout"
"Count_MedicalConditionIncident_Norovirus_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-05","geoId/51"
"Count_MedicalConditionIncident_Rotavirus_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2011-04","geoId/44"
"Count_MedicalConditionIncident_CryptosporidiumHominisEtiology_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2013-11","geoId/27"
"Count_MedicalConditionIncident_Norovirus_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-02","geoId/29"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-03","geoId/39"
"Count_MedicalConditionIncident_ShigaToxinEColi_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-07","geoId/24"
"Count_MedicalConditionIncident_ShigellaSonneiEtiology_PatientHospitalized_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-12","geoId/39"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-02","geoId/37"
"Count_MedicalConditionIncident_LegionellaUnknown_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-06","geoId/06"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-10","geoId/44"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-02","geoId/50"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-04","geoId/51"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2020-01","geoId/47"
"Count_MedicalConditionIncident_SapovirusUnknown_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-01","geoId/38"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-09","geoId/50"
"Count_MedicalConditionIncident_LegionellaPneumophilaEtiology_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1993-07","country/USA"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-05","country/USA"
"Count_MedicalConditionIncident_ScombroidToxin_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1999-05","country/USA"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-08","country/USA"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_EnvironmentalContaminationTransmissionExceptFood_Water","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-05","country/USA"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientHospitalized_EnvironmentalContaminationTransmissionExceptFood_Water","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-10","country/USA"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2001-09","geoId/39"
"Count_MedicalConditionIncident_NorovirusGenogroupI_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2006-10","geoId/08"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2007-09","geoId/38"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2008-06","geoId/20"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/55"
"Count_MedicalConditionIncident_Norovirus_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-06","geoId/36"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-02","geoId/36"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-02","geoId/45"
"Count_MedicalConditionIncident_ShigaToxinEColi_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-08","geoId/23"
"Count_MedicalConditionIncident_Norovirus_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-02","geoId/48"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-05","geoId/20"
"Count_MedicalConditionIncident_LegionellaUnknown_PatientDeceased_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-08","geoId/17"
"Count_MedicalConditionIncident_ShigellaSonneiEtiology_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2013-09","geoId/18"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2013-12","geoId/37"
"Count_MedicalConditionIncident_Rotavirus_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-04","geoId/17"
"Count_MedicalConditionIncident_ShigellaSonneiEtiology_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-09","geoId/06"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-09","geoId/06"
"Count_MedicalConditionIncident_NorovirusGenogroupI_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-11","geoId/55"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientDeceased_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-12","geoId/31"
"Count_MedicalConditionIncident_StaphylococcusAureusEtiology_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-03","geoId/12"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2020-01","geoId/16"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2021-05","geoId/30"
"Count_MedicalConditionIncident_CampylobacterJejuniEtiology_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2021-07","geoId/49"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientDeceased_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-01","geoId/26"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-01","geoId/06"
"Count_MedicalConditionIncident_CryptosporidiumParvumEtiology_PatientDeceased_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-08","geoId/31"
"Count_MedicalConditionIncident_NORSUnknown_PatientDeceased_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1980-08","country/USA"
"Count_MedicalConditionIncident_PseudomonasUnknown_PatientDeceased_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1981-09","country/USA"
"Count_MedicalConditionIncident_NORSUnknown_PatientDeceased_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1988-08","country/USA"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2011-03","country/USA"
"Count_MedicalConditionIncident_GiardiaUnknown_PatientDeceased_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2013-09","country/USA"
"Count_MedicalConditionIncident_Chlorine_PatientDeceased_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-04","country/USA"
"Count_MedicalConditionIncident_SalmonellaEtiology_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-05","country/USA"
"Count_MedicalConditionIncident_Mycotoxins_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-10","country/USA"
"Count_MedicalConditionIncident_CyclosporaCayetanensisEtiology_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-06","country/USA"
"Count_MedicalConditionIncident_YersiniaEnterocoliticaEtiology_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-10","country/USA"
"Count_MedicalConditionIncident_CryptosporidiumEtiology_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-08","country/USA"
"Count_MedicalConditionIncident_Copper_ConfirmedCase_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-02","geoId/06"
"Count_MedicalConditionIncident_Selenium_ConfirmedCase_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/01"
"Count_MedicalConditionIncident_HepatitisA_ConfirmedCase_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/05"
"Count_MedicalConditionIncident_NORSUnknown_SuspectedCase_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/29"
"Count_MedicalConditionIncident_NORSUnknown_SuspectedCase_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/41"
"Count_MedicalConditionIncident_ShigaToxinEColi_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-11","geoId/55"
"Count_MedicalConditionIncident_NORSOtherVirus_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2000-06","geoId/36"
"Count_MedicalConditionIncident_NorovirusUnknown_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2001-10","geoId/47"
"Count_MedicalConditionIncident_NorovirusGenogroupI_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2002-06","geoId/04"
"Count_MedicalConditionIncident_NorovirusGenogroupI_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2004-04","geoId/36"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2005-06","geoId/37"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2007-01","geoId/47"
"Count_MedicalConditionIncident_ShigaToxinEColi_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2007-07","geoId/01"
"Count_MedicalConditionIncident_ClostridiumPerfringensEtiology_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2007-08","geoId/53"
"Count_MedicalConditionIncident_Ciguatoxin_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-04","geoId/06"
"Count_MedicalConditionIncident_NorovirusUnknown_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-09","geoId/44"
"Count_MedicalConditionIncident_NorovirusGenogroupII_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2013-04","geoId/32"
"Count_MedicalConditionIncident_ShigellaSonneiEtiology_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2013-10","geoId/47"
"Count_MedicalConditionIncident_NorovirusGenogroupI_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-01","geoId/29"
"Count_MedicalConditionIncident_ShigaToxinEColi_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-04","geoId/05"
"Count_MedicalConditionIncident_ClostridiumBotulinumEtiology_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-07","geoId/39"
"Count_MedicalConditionIncident_NorovirusGenogroupII_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-02","geoId/23"
"Count_MedicalConditionIncident_BacillusCereusEtiology_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-05","geoId/45"
"Count_MedicalConditionIncident_NorovirusGenogroupII_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-12","geoId/13"
"Count_MedicalConditionIncident_NorovirusUnknown_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-01","geoId/33"
"Count_MedicalConditionIncident_NorovirusGenogroupII_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-05","geoId/49"
"Count_MedicalConditionIncident_ClostridiumDifficileEtiology_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-07","geoId/20"
"Count_MedicalConditionIncident_CryptosporidiumUnknown_ConfirmedCase_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-07","geoId/39"
"Count_MedicalConditionIncident_NorovirusGenogroupII_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-01","geoId/23"
"Count_MedicalConditionIncident_NorovirusGenogroupII_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-01","geoId/29"
"Count_MedicalConditionIncident_Rotavirus_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-04","geoId/22"
"Count_MedicalConditionIncident_Norovirus_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-09","geoId/39"
"Count_MedicalConditionIncident_NorovirusUnknown_SuspectedCase_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-02","geoId/44"
"Count_MedicalConditionIncident_NorovirusGenogroupI_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-05","geoId/55"
"Count_MedicalConditionIncident_NorovirusGenogroupI_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-07","geoId/19"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-08","geoId/21"
"Count_MedicalConditionIncident_NorovirusUnknown_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-08","geoId/49"
"Count_MedicalConditionIncident_NorovirusUnknown_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2020-03","geoId/21"
"Count_MedicalConditionIncident_LegionellaPneumophilaEtiology_ConfirmedCase_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2020-12","geoId/12"
"Count_MedicalConditionIncident_NorovirusGenogroupII_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2021-04","geoId/27"
"Count_MedicalConditionIncident_Norovirus_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2021-07","geoId/41"
"Count_MedicalConditionIncident_NorovirusUnknown_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2021-11","geoId/31"
"Count_MedicalConditionIncident_NorovirusGenogroupII_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-07","geoId/36"
"Count_MedicalConditionIncident_Norovirus_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-02","geoId/53"
"Count_MedicalConditionIncident_Norovirus_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-08","geoId/53"
"Count_MedicalConditionIncident_NORSOtherBacterium_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2006-05","country/USA"
"Count_MedicalConditionIncident_CryptosporidiumHominisEtiology_ConfirmedCase_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2007-09","country/USA"
"Count_MedicalConditionIncident_Norovirus_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-02","country/USA"
"Count_MedicalConditionIncident_NorovirusGenogroupII_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-07","country/USA"
"Count_MedicalConditionIncident_NorovirusGenogroupI_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-10","country/USA"
"Count_MedicalConditionIncident_CampylobacterEtiology_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2011-08","country/USA"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-12","country/USA"
"Count_MedicalConditionIncident_NorovirusUnknown_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-06","country/USA"
"Count_MedicalConditionIncident_NorovirusGenogroupI_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-05","country/USA"
"Count_MedicalConditionIncident_Ciguatoxin_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-05","country/USA"
"Count_MedicalConditionIncident_AdenovirusUnknown_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2021-10","country/USA"
"Count_MedicalConditionIncident_CampylobacterUnknown_SuspectedCase_AnimalContactTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-01","country/USA"
"Count_MedicalConditionIncident_GiardiaDuodenalisEtiology_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-07","country/USA"
"Count_MedicalConditionIncident_GiardiaDuodenalisEtiology_PatientHospitalized_ConfirmedCase_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1983-10","geoId/08"
"Count_MedicalConditionIncident_NORSOtherBacterium_PatientHospitalized_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2005-10","geoId/06"
"Count_MedicalConditionIncident_NORSOtherBacterium_PatientHospitalized_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2006-02","geoId/06"
"Count_MedicalConditionIncident_NorovirusGenogroupI_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-03","geoId/47"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-04","geoId/06"
"Count_MedicalConditionIncident_StaphylococcusAureusEtiology_PatientHospitalized_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2011-06","geoId/47"
"Count_MedicalConditionIncident_Norovirus_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2011-10","geoId/51"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-01","geoId/01"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-02","geoId/12"
"Count_MedicalConditionIncident_StaphylococcusAureusEtiology_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-07","geoId/40"
"Count_MedicalConditionIncident_NorovirusGenogroupI_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-12","geoId/24"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2013-02","geoId/40"
"Count_MedicalConditionIncident_CampylobacterEtiology_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-07","geoId/39"
"Count_MedicalConditionIncident_ShigaToxinEColi_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-08","geoId/27"
"Count_MedicalConditionIncident_Norovirus_PatientHospitalized_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-11","geoId/17"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-04","geoId/39"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-07","geoId/12"
"Count_MedicalConditionIncident_NORSOtherChemical_Toxin_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-07","geoId/39"
"Count_MedicalConditionIncident_ShigaToxinEColi_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-09","geoId/39"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientHospitalized_SuspectedCase_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-05","geoId/42"
"Count_MedicalConditionIncident_CryptosporidiumUnknown_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-07","geoId/13"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-02","geoId/01"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-02","geoId/55"
"Count_MedicalConditionIncident_Norovirus_PatientHospitalized_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-03","geoId/25"
"Count_MedicalConditionIncident_ShigaToxinEColi_PatientHospitalized_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-08","geoId/55"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-02","geoId/44"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-02","geoId/47"
"Count_MedicalConditionIncident_Norovirus_PatientHospitalized_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-05","geoId/39"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientHospitalized_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-08","geoId/29"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-05","geoId/06"
"Count_MedicalConditionIncident_ScombroidToxin_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-10","geoId/25"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2020-01","geoId/47"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2020-02","geoId/55"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2021-04","geoId/12"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_ConfirmedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-04","geoId/23"
"Count_MedicalConditionIncident_ClostridiumPerfringensEtiology_PatientHospitalized_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-09","geoId/08"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_SuspectedCase_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-03","geoId/51"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-04","geoId/27"
"Count_MedicalConditionIncident_LegionellaDumoffiiEtiology_PatientHospitalized_ConfirmedCase_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1980-11","country/USA"
"Count_MedicalConditionIncident_Chlorine_PatientHospitalized_ConfirmedCase_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1988-08","country/USA"
"Count_MedicalConditionIncident_NorovirusGenogroupI_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2000-02","country/USA"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientHospitalized_SuspectedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2000-03","country/USA"
"Count_MedicalConditionIncident_NORSOtherChemical_Toxin_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2000-05","country/USA"
"Count_MedicalConditionIncident_Ciguatoxin_PatientHospitalized_ConfirmedCase_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2000-06","country/USA"
