Date,GeoId,Count_Person_25To64Years_EnrolledInEducationOrTraining_Female_AsAFractionOfCount_Person_25To64Years_Female,Count_Person_25To64Years_EnrolledInEducationOrTraining_Male_AsAFractionOfCount_Person_25To64Years_Male,Count_Person_25To64Years_EnrolledInEducationOrTraining_AsAFractionOfCount_Person_25To64Years
2007,dcid:nuts/DK,34.4,23.9,29.1
2008,dcid:nuts/DK,35.2,24.8,29.9
2009,dcid:nuts/DK,37.4,25.4,31.4
2010,dcid:nuts/DK,39.4,26.0,32.7
2011,dcid:nuts/DK,38.9,25.7,32.3
2012,dcid:nuts/DK,38.0,25.4,31.6
2013,dcid:nuts/DK,37.2,25.8,31.5
2014,dcid:nuts/DK,37.6,26.2,31.9
2015,dcid:nuts/DK,37.5,25.6,31.5
2016,dcid:nuts/DK,33.0,23.0,28.0
2017,dcid:nuts/DK,31.4,22.4,26.9
2018,dcid:nuts/DK,27.9,19.1,23.5
2019,dcid:nuts/DK,30.0,20.7,25.3
2000,dcid:nuts/DK0,21.8,17.1,19.4
2001,dcid:nuts/DK0,20.7,16.1,18.4
2002,dcid:nuts/DK0,20.5,15.6,18.0
2003,dcid:nuts/DK0,27.4,21.0,24.2
2004,dcid:nuts/DK0,29.1,22.1,25.6
2005,dcid:nuts/DK0,31.2,23.6,27.4
2006,dcid:nuts/DK0,33.8,24.6,29.2
2007,dcid:nuts/DK0,34.4,23.9,29.1
2008,dcid:nuts/DK0,35.2,24.8,29.9
2009,dcid:nuts/DK0,37.4,25.4,31.4
2010,dcid:nuts/DK0,39.4,26.0,32.7
2011,dcid:nuts/DK0,38.9,25.7,32.3
2012,dcid:nuts/DK0,38.0,25.4,31.6
2013,dcid:nuts/DK0,37.2,25.8,31.5
2014,dcid:nuts/DK0,37.6,26.2,31.9
2015,dcid:nuts/DK0,37.5,25.6,31.5
2016,dcid:nuts/DK0,33.0,23.0,28.0
2017,dcid:nuts/DK0,31.4,22.4,26.9
2018,dcid:nuts/DK0,27.9,19.1,23.5
2019,dcid:nuts/DK0,30.0,20.7,25.3
2007,dcid:nuts/DK01,38.8,27.4,33.1
2008,dcid:nuts/DK01,40.5,28.5,34.6
2009,dcid:nuts/DK01,40.9,28.6,34.7
2010,dcid:nuts/DK01,42.1,29.3,35.7
2011,dcid:nuts/DK01,42.8,28.9,35.9
2012,dcid:nuts/DK01,41.5,29.3,35.5
2013,dcid:nuts/DK01,41.5,30.4,36.0
2014,dcid:nuts/DK01,41.8,29.9,35.9
2015,dcid:nuts/DK01,41.6,28.8,35.3
2016,dcid:nuts/DK01,36.3,26.4,31.5
2017,dcid:nuts/DK01,35.2,26.0,30.7
2018,dcid:nuts/DK01,31.3,22.0,26.7
2019,dcid:nuts/DK01,32.9,22.6,27.8
2007,dcid:nuts/DK02,32.5,21.7,27.1
2008,dcid:nuts/DK02,31.5,23.2,27.3
2009,dcid:nuts/DK02,34.2,23.3,28.8
2010,dcid:nuts/DK02,36.5,24.9,30.6
2011,dcid:nuts/DK02,36.3,25.0,30.6
2012,dcid:nuts/DK02,36.1,24.3,30.2
2013,dcid:nuts/DK02,35.0,23.9,29.5
2014,dcid:nuts/DK02,35.0,24.0,29.5
2015,dcid:nuts/DK02,34.8,24.4,29.6
2016,dcid:nuts/DK02,31.4,21.5,26.5
2017,dcid:nuts/DK02,28.9,19.8,24.3
2018,dcid:nuts/DK02,24.8,17.9,21.4
2019,dcid:nuts/DK02,28.8,19.7,24.3
2007,dcid:nuts/DK03,31.7,22.7,27.2
2008,dcid:nuts/DK03,32.8,22.9,27.9
2009,dcid:nuts/DK03,34.7,24.1,29.4
2010,dcid:nuts/DK03,37.2,23.5,30.3
2011,dcid:nuts/DK03,38.1,23.8,30.9
2012,dcid:nuts/DK03,37.1,23.5,30.1
2013,dcid:nuts/DK03,36.2,23.0,29.6
2014,dcid:nuts/DK03,35.8,24.5,30.0
2015,dcid:nuts/DK03,35.5,24.0,29.7
2016,dcid:nuts/DK03,30.0,21.3,25.6
2017,dcid:nuts/DK03,28.9,20.9,24.8
2018,dcid:nuts/DK03,26.0,16.8,21.3
2019,dcid:nuts/DK03,28.4,20.2,24.3
2007,dcid:nuts/DK04,33.0,23.1,28.0
2008,dcid:nuts/DK04,34.2,24.5,29.2
2009,dcid:nuts/DK04,37.5,24.4,30.9
2010,dcid:nuts/DK04,40.6,25.3,32.8
2011,dcid:nuts/DK04,37.0,24.9,30.9
2012,dcid:nuts/DK04,36.5,24.1,30.2
2013,dcid:nuts/DK04,35.0,24.6,29.7
2014,dcid:nuts/DK04,37.0,25.6,31.2
2015,dcid:nuts/DK04,36.6,24.5,30.4
2016,dcid:nuts/DK04,34.0,22.4,28.0
2017,dcid:nuts/DK04,31.9,20.8,26.3
2018,dcid:nuts/DK04,28.3,18.4,23.3
2019,dcid:nuts/DK04,28.4,19.8,24.0
2007,dcid:nuts/DK05,32.5,21.1,26.7
2008,dcid:nuts/DK05,32.4,21.4,26.8
2009,dcid:nuts/DK05,37.7,24.7,31.2
2010,dcid:nuts/DK05,37.8,24.7,31.2
2011,dcid:nuts/DK05,36.7,22.6,29.4
2012,dcid:nuts/DK05,34.4,21.8,28.0
2013,dcid:nuts/DK05,33.1,22.9,27.9
2014,dcid:nuts/DK05,32.7,22.7,27.7
2015,dcid:nuts/DK05,33.8,22.9,28.3
2016,dcid:nuts/DK05,28.3,19.4,23.8
2017,dcid:nuts/DK05,26.5,21.5,23.9
2018,dcid:nuts/DK05,24.4,18.1,21.2
2019,dcid:nuts/DK05,28.7,18.8,23.5
2000,dcid:nuts/EA19,5.3,5.4,5.3
2001,dcid:nuts/EA19,5.3,5.2,5.3
2002,dcid:nuts/EA19,5.5,5.2,5.4
2003,dcid:nuts/EA19,6.6,6.2,6.4
2004,dcid:nuts/EA19,7.3,6.9,7.1
2005,dcid:nuts/EA19,8.2,7.6,7.9
2006,dcid:nuts/EA19,8.4,7.6,8.0
2007,dcid:nuts/EA19,8.6,7.7,8.1
2008,dcid:nuts/EA19,8.7,7.8,8.2
2009,dcid:nuts/EA19,8.6,7.7,8.1
2010,dcid:nuts/EA19,8.5,7.6,8.1
2011,dcid:nuts/EA19,8.7,7.9,8.3
2012,dcid:nuts/EA19,8.9,8.1,8.5
2013,dcid:nuts/EA19,11.4,9.8,10.6
2014,dcid:nuts/EA19,11.7,10.2,10.9
2015,dcid:nuts/EA19,11.7,10.0,10.9
2016,dcid:nuts/EA19,12.0,10.4,11.2
2017,dcid:nuts/EA19,12.1,10.5,11.3
2018,dcid:nuts/EA19,12.3,10.6,11.5
2019,dcid:nuts/EA19,12.6,10.6,11.6
2000,dcid:nuts/EE,8.3,4.8,6.6
2001,dcid:nuts/EE,7.1,3.6,5.4
2002,dcid:nuts/EE,7.0,3.5,5.3
2003,dcid:nuts/EE,8.3,5.1,6.8
2004,dcid:nuts/EE,7.6,5.4,6.6
2005,dcid:nuts/EE,7.3,4.5,6.0
2006,dcid:nuts/EE,8.5,4.3,6.5
2007,dcid:nuts/EE,9.3,4.5,7.0
2008,dcid:nuts/EE,12.5,6.6,9.7
2009,dcid:nuts/EE,13.3,7.5,10.5
2010,dcid:nuts/EE,13.1,8.6,11.0
2011,dcid:nuts/EE,14.5,9.2,11.9
2012,dcid:nuts/EE,14.8,10.7,12.8
2013,dcid:nuts/EE,15.3,9.8,12.6
2014,dcid:nuts/EE,13.9,9.2,11.6
2015,dcid:nuts/EE,14.1,10.6,12.4
2016,dcid:nuts/EE,18.4,12.9,15.7
2017,dcid:nuts/EE,20.6,13.7,17.2
2018,dcid:nuts/EE,23.2,16.2,19.7
2019,dcid:nuts/EE,23.3,17.0,20.2
2000,dcid:nuts/EE0,8.3,4.8,6.6
2001,dcid:nuts/EE0,7.1,3.6,5.4
2002,dcid:nuts/EE0,7.0,3.5,5.3
2003,dcid:nuts/EE0,8.3,5.1,6.8
2004,dcid:nuts/EE0,7.6,5.4,6.6
2005,dcid:nuts/EE0,7.3,4.5,6.0
2006,dcid:nuts/EE0,8.5,4.3,6.5
2007,dcid:nuts/EE0,9.3,4.5,7.0
2008,dcid:nuts/EE0,12.5,6.6,9.7
2009,dcid:nuts/EE0,13.3,7.5,10.5
2010,dcid:nuts/EE0,13.1,8.6,11.0
2011,dcid:nuts/EE0,14.5,9.2,11.9
2012,dcid:nuts/EE0,14.8,10.7,12.8
2013,dcid:nuts/EE0,15.3,9.8,12.6
2014,dcid:nuts/EE0,13.9,9.2,11.6
2015,dcid:nuts/EE0,14.1,10.6,12.4
2016,dcid:nuts/EE0,18.4,12.9,15.7
2017,dcid:nuts/EE0,20.6,13.7,17.2
2018,dcid:nuts/EE0,23.2,16.2,19.7
2019,dcid:nuts/EE0,23.3,17.0,20.2
2000,dcid:nuts/EE00,8.3,4.8,6.6
2001,dcid:nuts/EE00,7.1,3.6,5.4
2002,dcid:nuts/EE00,7.0,3.5,5.3
2003,dcid:nuts/EE00,8.3,5.1,6.8
2004,dcid:nuts/EE00,7.6,5.4,6.6
2005,dcid:nuts/EE00,7.3,4.5,6.0
2006,dcid:nuts/EE00,8.5,4.3,6.5
2007,dcid:nuts/EE00,9.3,4.5,7.0
2008,dcid:nuts/EE00,12.5,6.6,9.7
2009,dcid:nuts/EE00,13.3,7.5,10.5
2010,dcid:nuts/EE00,13.1,8.6,11.0
2011,dcid:nuts/EE00,14.5,9.2,11.9
2012,dcid:nuts/EE00,14.8,10.7,12.8
2013,dcid:nuts/EE00,15.3,9.8,12.6
2014,dcid:nuts/EE00,13.9,9.2,11.6
2015,dcid:nuts/EE00,14.1,10.6,12.4
2016,dcid:nuts/EE00,18.4,12.9,15.7
2017,dcid:nuts/EE00,20.6,13.7,17.2
2018,dcid:nuts/EE00,23.2,16.2,19.7
2019,dcid:nuts/EE00,23.3,17.0,20.2
2000,dcid:nuts/EL,1.0,1.0,1.0
2001,dcid:nuts/EL,1.1,1.2,1.2
2002,dcid:nuts/EL,1.1,1.1,1.1
2003,dcid:nuts/EL,2.7,2.6,2.7
2004,dcid:nuts/EL,1.8,1.8,1.8
2005,dcid:nuts/EL,1.8,2.0,1.9
2006,dcid:nuts/EL,2.0,2.2,2.1
2007,dcid:nuts/EL,2.4,2.4,2.4
2008,dcid:nuts/EL,3.3,3.0,3.2
2009,dcid:nuts/EL,3.5,3.5,3.5
2010,dcid:nuts/EL,3.2,3.4,3.3
2011,dcid:nuts/EL,2.6,2.9,2.8
2012,dcid:nuts/EL,3.0,3.5,3.3
2013,dcid:nuts/EL,3.1,3.3,3.2
2014,dcid:nuts/EL,3.1,3.4,3.2
2015,dcid:nuts/EL,3.3,3.3,3.3
2016,dcid:nuts/EL,4.0,4.0,4.0
2017,dcid:nuts/EL,4.4,4.7,4.5
2018,dcid:nuts/EL,4.5,4.5,4.5
2019,dcid:nuts/EL,4.2,3.7,3.9
2000,dcid:nuts/EL3,1.4,1.5,1.4
2001,dcid:nuts/EL3,1.5,1.8,1.7
2002,dcid:nuts/EL3,1.4,1.5,1.5
2003,dcid:nuts/EL3,3.7,3.7,3.7
2004,dcid:nuts/EL3,2.4,2.6,2.5
2005,dcid:nuts/EL3,2.2,2.7,2.5
2006,dcid:nuts/EL3,2.8,3.1,2.9
2007,dcid:nuts/EL3,2.9,3.2,3.1
2008,dcid:nuts/EL3,4.1,4.1,4.1
2009,dcid:nuts/EL3,4.8,4.8,4.8
2010,dcid:nuts/EL3,4.5,4.7,4.6
2011,dcid:nuts/EL3,3.5,4.0,3.7
2012,dcid:nuts/EL3,4.4,5.5,4.9
2013,dcid:nuts/EL3,4.8,5.0,4.9
2014,dcid:nuts/EL3,4.5,4.8,4.6
2015,dcid:nuts/EL3,4.9,4.8,4.9
2016,dcid:nuts/EL3,5.7,6.0,5.9
2017,dcid:nuts/EL3,6.2,7.1,6.6
2018,dcid:nuts/EL3,6.4,7.0,6.7
2019,dcid:nuts/EL3,5.8,5.0,5.4
2000,dcid:nuts/EL30,1.4,1.5,1.4
2001,dcid:nuts/EL30,1.5,1.8,1.7
2002,dcid:nuts/EL30,1.4,1.5,1.5
2003,dcid:nuts/EL30,3.7,3.7,3.7
2004,dcid:nuts/EL30,2.4,2.6,2.5
2005,dcid:nuts/EL30,2.2,2.7,2.5
2006,dcid:nuts/EL30,2.8,3.1,2.9
2007,dcid:nuts/EL30,2.9,3.2,3.1
2008,dcid:nuts/EL30,4.1,4.1,4.1
2009,dcid:nuts/EL30,4.8,4.8,4.8
2010,dcid:nuts/EL30,4.5,4.7,4.6
2011,dcid:nuts/EL30,3.5,4.0,3.7
2012,dcid:nuts/EL30,4.4,5.5,4.9
2013,dcid:nuts/EL30,4.8,5.0,4.9
2014,dcid:nuts/EL30,4.5,4.8,4.6
2015,dcid:nuts/EL30,4.9,4.8,4.9
2016,dcid:nuts/EL30,5.7,6.0,5.9
2017,dcid:nuts/EL30,6.2,7.1,6.6
2018,dcid:nuts/EL30,6.4,7.0,6.7
2019,dcid:nuts/EL30,5.8,5.0,5.4
2000,dcid:nuts/EL4,1.0,0.6,0.8
2001,dcid:nuts/EL4,0.7,0.6,0.7
2002,dcid:nuts/EL4,0.7,0.6,0.7
2003,dcid:nuts/EL4,1.9,1.2,1.6
2004,dcid:nuts/EL4,1.3,1.6,1.5
2005,dcid:nuts/EL4,1.5,1.5,1.5
2006,dcid:nuts/EL4,1.1,1.4,1.2
2007,dcid:nuts/EL4,1.5,1.4,1.4
2008,dcid:nuts/EL4,1.8,1.5,1.7
2009,dcid:nuts/EL4,1.9,1.9,1.9
2010,dcid:nuts/EL4,2.2,1.8,2.0
2011,dcid:nuts/EL4,1.8,1.9,1.8
2012,dcid:nuts/EL4,2.0,2.6,2.3
2013,dcid:nuts/EL4,2.0,2.6,2.3
2014,dcid:nuts/EL4,1.7,2.0,1.9
2015,dcid:nuts/EL4,1.9,1.5,1.7
2016,dcid:nuts/EL4,2.5,2.2,2.3
2017,dcid:nuts/EL4,3.1,3.1,3.1
2018,dcid:nuts/EL4,3.2,3.7,3.5
2019,dcid:nuts/EL4,3.4,2.9,3.1
2008,dcid:nuts/EL41,,,1.3
2009,dcid:nuts/EL41,3.0,2.5,2.7
2010,dcid:nuts/EL41,,,1.7
2011,dcid:nuts/EL41,,,1.3
2012,dcid:nuts/EL41,,,1.3
2013,dcid:nuts/EL41,,3.6,2.9
2014,dcid:nuts/EL41,,2.8,2.0
2017,dcid:nuts/EL41,3.4,4.0,3.7
2018,dcid:nuts/EL41,3.1,4.8,4.0
2019,dcid:nuts/EL41,2.9,2.6,2.8
2003,dcid:nuts/EL42,,,0.8
2004,dcid:nuts/EL42,,,1.1
2005,dcid:nuts/EL42,,,1.1
2007,dcid:nuts/EL42,1.5,,1.0
2008,dcid:nuts/EL42,,,0.8
2009,dcid:nuts/EL42,,,1.0
2010,dcid:nuts/EL42,2.0,,1.4
2011,dcid:nuts/EL42,1.6,1.4,1.5
2012,dcid:nuts/EL42,,2.2,1.7
2013,dcid:nuts/EL42,,1.9,1.3
2014,dcid:nuts/EL42,1.6,,1.3
2015,dcid:nuts/EL42,2.2,,1.6
2016,dcid:nuts/EL42,2.8,,1.8
2017,dcid:nuts/EL42,2.0,,1.5
2018,dcid:nuts/EL42,3.3,3.1,3.2
2019,dcid:nuts/EL42,3.8,1.7,2.7
2000,dcid:nuts/EL43,1.7,1.0,1.3
2001,dcid:nuts/EL43,1.2,0.9,1.1
2002,dcid:nuts/EL43,,,0.8
2003,dcid:nuts/EL43,2.6,1.8,2.2
2004,dcid:nuts/EL43,1.8,2.3,2.1
2005,dcid:nuts/EL43,2.0,1.9,2.0
2006,dcid:nuts/EL43,1.6,2.2,1.9
2007,dcid:nuts/EL43,1.9,2.1,2.0
2008,dcid:nuts/EL43,2.4,2.1,2.3
2009,dcid:nuts/EL43,2.0,2.3,2.1
2010,dcid:nuts/EL43,2.3,2.5,2.4
2011,dcid:nuts/EL43,1.8,2.6,2.2
2012,dcid:nuts/EL43,2.7,3.3,3.0
2013,dcid:nuts/EL43,2.8,2.7,2.7
2014,dcid:nuts/EL43,1.9,2.2,2.1
2015,dcid:nuts/EL43,2.0,1.9,2.0
2016,dcid:nuts/EL43,2.9,3.4,3.1
2017,dcid:nuts/EL43,3.5,4.0,3.8
2018,dcid:nuts/EL43,3.2,3.7,3.5
2019,dcid:nuts/EL43,3.3,3.7,3.5
2000,dcid:nuts/EL5,1.0,0.9,0.9
2001,dcid:nuts/EL5,1.1,1.3,1.2
2002,dcid:nuts/EL5,1.1,1.2,1.1
2003,dcid:nuts/EL5,2.6,2.3,2.5
2004,dcid:nuts/EL5,1.9,1.6,1.8
2005,dcid:nuts/EL5,2.0,1.9,1.9
2006,dcid:nuts/EL5,1.9,2.2,2.1
2007,dcid:nuts/EL5,2.8,2.6,2.7
2008,dcid:nuts/EL5,3.9,3.3,3.6
2009,dcid:nuts/EL5,3.6,3.4,3.5
2010,dcid:nuts/EL5,2.6,3.2,2.9
2011,dcid:nuts/EL5,2.5,2.7,2.6
2012,dcid:nuts/EL5,2.7,2.6,2.6
2013,dcid:nuts/EL5,2.5,2.9,2.7
2014,dcid:nuts/EL5,2.6,3.2,2.9
2015,dcid:nuts/EL5,2.6,3.0,2.8
2016,dcid:nuts/EL5,3.5,3.9,3.7
2017,dcid:nuts/EL5,4.1,4.3,4.2
2018,dcid:nuts/EL5,3.8,3.6,3.7
2019,dcid:nuts/EL5,3.5,3.3,3.4
2000,dcid:nuts/EL51,,,0.6
2001,dcid:nuts/EL51,,1.1,0.8
2002,dcid:nuts/EL51,,1.2,1.0
2003,dcid:nuts/EL51,4.0,2.9,3.4
2004,dcid:nuts/EL51,1.9,,1.3
2005,dcid:nuts/EL51,1.3,,1.0
2006,dcid:nuts/EL51,1.5,1.5,1.5
2007,dcid:nuts/EL51,2.3,2.3,2.3
2008,dcid:nuts/EL51,3.4,3.4,3.4
2009,dcid:nuts/EL51,3.3,3.3,3.3
2010,dcid:nuts/EL51,2.0,2.9,2.5
2011,dcid:nuts/EL51,1.6,2.0,1.8
2012,dcid:nuts/EL51,2.7,2.5,2.6
2013,dcid:nuts/EL51,3.3,2.2,2.8
2014,dcid:nuts/EL51,2.8,3.4,3.1
2015,dcid:nuts/EL51,2.2,3.1,2.7
2016,dcid:nuts/EL51,5.2,5.4,5.3
2017,dcid:nuts/EL51,5.9,5.4,5.6
2018,dcid:nuts/EL51,5.1,3.3,4.2
2019,dcid:nuts/EL51,4.5,3.7,4.1
2000,dcid:nuts/EL52,1.1,1.1,1.1
2001,dcid:nuts/EL52,1.4,1.5,1.4
2002,dcid:nuts/EL52,1.3,1.4,1.4
2003,dcid:nuts/EL52,2.4,2.4,2.4
2004,dcid:nuts/EL52,2.3,2.2,2.2
2005,dcid:nuts/EL52,2.5,2.5,2.5
2006,dcid:nuts/EL52,2.2,2.7,2.5
2007,dcid:nuts/EL52,3.1,3.1,3.1
2008,dcid:nuts/EL52,4.1,3.8,4.0
2009,dcid:nuts/EL52,3.9,4.0,3.9
2010,dcid:nuts/EL52,3.1,3.8,3.4
2011,dcid:nuts/EL52,3.0,3.1,3.1
2012,dcid:nuts/EL52,3.0,2.7,2.9
2013,dcid:nuts/EL52,2.2,3.2,2.7
2014,dcid:nuts/EL52,2.6,3.1,2.9
2015,dcid:nuts/EL52,2.8,2.7,2.8
2016,dcid:nuts/EL52,3.0,3.5,3.2
2017,dcid:nuts/EL52,3.7,4.2,4.0
2018,dcid:nuts/EL52,3.6,4.0,3.8
2019,dcid:nuts/EL52,3.4,3.4,3.4
2000,dcid:nuts/EL53,,,1.0
2001,dcid:nuts/EL53,,,0.9
2003,dcid:nuts/EL53,,,1.1
2004,dcid:nuts/EL53,,,1.0
2005,dcid:nuts/EL53,,,1.3
2006,dcid:nuts/EL53,,,1.3
2007,dcid:nuts/EL53,3.3,,2.0
2008,dcid:nuts/EL53,4.1,,2.6
2009,dcid:nuts/EL53,2.7,2.3,2.5
2010,dcid:nuts/EL53,,,1.6
2011,dcid:nuts/EL53,,,1.6
2012,dcid:nuts/EL53,2.1,2.7,2.4
2013,dcid:nuts/EL53,4.1,3.0,3.6
2014,dcid:nuts/EL53,4.0,4.5,4.3
2015,dcid:nuts/EL53,3.8,5.1,4.5
2016,dcid:nuts/EL53,4.2,5.4,4.8
2017,dcid:nuts/EL53,5.2,5.2,5.2
2018,dcid:nuts/EL53,5.6,3.1,4.3
2019,dcid:nuts/EL53,4.7,3.6,4.1
2001,dcid:nuts/EL54,,,0.8
2003,dcid:nuts/EL54,2.4,2.1,2.3
2004,dcid:nuts/EL54,,,0.8
2005,dcid:nuts/EL54,,,0.9
2006,dcid:nuts/EL54,,,1.3
2007,dcid:nuts/EL54,2.2,2.1,2.1
2008,dcid:nuts/EL54,3.5,2.0,2.7
2009,dcid:nuts/EL54,2.8,1.5,2.1
2010,dcid:nuts/EL54,1.9,2.2,2.1
2011,dcid:nuts/EL54,,2.4,1.8
2012,dcid:nuts/EL54,,1.6,1.3
2013,dcid:nuts/EL54,,2.3,1.8
2014,dcid:nuts/EL54,,1.9,1.5
2015,dcid:nuts/EL54,1.6,2.1,1.8
2016,dcid:nuts/EL54,2.7,2.6,2.7
2017,dcid:nuts/EL54,1.7,2.0,1.9
2018,dcid:nuts/EL54,,2.4,2.0
2019,dcid:nuts/EL54,,,1.4
2000,dcid:nuts/EL6,0.5,0.5,0.5
2001,dcid:nuts/EL6,0.5,0.6,0.6
2002,dcid:nuts/EL6,0.7,0.8,0.7
2003,dcid:nuts/EL6,1.7,1.8,1.7
2004,dcid:nuts/EL6,0.9,0.9,0.9
2005,dcid:nuts/EL6,1.1,1.1,1.1
2006,dcid:nuts/EL6,1.1,1.3,1.2
2007,dcid:nuts/EL6,1.3,1.4,1.4
2008,dcid:nuts/EL6,1.9,1.7,1.8
2009,dcid:nuts/EL6,2.1,2.4,2.3
2010,dcid:nuts/EL6,2.0,2.3,2.2
2011,dcid:nuts/EL6,1.7,1.9,1.8
2012,dcid:nuts/EL6,1.6,2.0,1.8
2013,dcid:nuts/EL6,1.7,1.5,1.6
2014,dcid:nuts/EL6,2.0,2.1,2.1
2015,dcid:nuts/EL6,1.9,2.3,2.1
2016,dcid:nuts/EL6,2.5,2.1,2.3
2017,dcid:nuts/EL6,2.5,2.2,2.3
2018,dcid:nuts/EL6,3.0,2.5,2.7
2019,dcid:nuts/EL6,3.0,2.5,2.7
2001,dcid:nuts/EL61,,,0.5
2002,dcid:nuts/EL61,,,0.5
2003,dcid:nuts/EL61,2.0,2.1,2.1
2004,dcid:nuts/EL61,1.1,0.9,1.0
2005,dcid:nuts/EL61,1.1,1.0,1.1
2006,dcid:nuts/EL61,1.2,1.3,1.3
2007,dcid:nuts/EL61,1.5,1.0,1.3
2008,dcid:nuts/EL61,2.4,1.9,2.1
2009,dcid:nuts/EL61,2.8,2.3,2.6
2010,dcid:nuts/EL61,1.5,2.3,1.9
2011,dcid:nuts/EL61,1.7,2.5,2.1
2012,dcid:nuts/EL61,2.6,2.6,2.6
2013,dcid:nuts/EL61,3.0,2.4,2.7
2014,dcid:nuts/EL61,2.9,3.0,3.0
2015,dcid:nuts/EL61,2.4,2.4,2.4
2016,dcid:nuts/EL61,2.0,2.1,2.0
2017,dcid:nuts/EL61,2.9,2.2,2.5
2018,dcid:nuts/EL61,3.6,2.9,3.3
2019,dcid:nuts/EL61,2.8,2.3,2.5
2007,dcid:nuts/EL62,,,1.5
2009,dcid:nuts/EL62,,,2.0
2010,dcid:nuts/EL62,,2.5,2.4
2011,dcid:nuts/EL62,,,2.1
2012,dcid:nuts/EL62,3.3,,2.6
2014,dcid:nuts/EL62,,,1.7
2015,dcid:nuts/EL62,,4.1,3.1
2016,dcid:nuts/EL62,6.4,3.0,4.7
2017,dcid:nuts/EL62,2.6,,2.5
2018,dcid:nuts/EL62,5.5,2.6,4.0
2019,dcid:nuts/EL62,6.0,3.9,4.9
2000,dcid:nuts/EL63,,0.7,0.7
2001,dcid:nuts/EL63,0.8,1.3,1.1
2002,dcid:nuts/EL63,1.1,1.7,1.4
2003,dcid:nuts/EL63,1.9,2.3,2.1
2004,dcid:nuts/EL63,1.3,1.5,1.4
2005,dcid:nuts/EL63,1.7,1.7,1.7
2006,dcid:nuts/EL63,1.9,2.5,2.2
2007,dcid:nuts/EL63,2.0,2.5,2.2
2008,dcid:nuts/EL63,2.7,2.9,2.8
2009,dcid:nuts/EL63,3.0,4.1,3.5
2010,dcid:nuts/EL63,3.4,3.7,3.5
2011,dcid:nuts/EL63,2.6,2.8,2.7
2012,dcid:nuts/EL63,1.2,2.6,1.9
2013,dcid:nuts/EL63,,2.1,1.4
2014,dcid:nuts/EL63,1.8,3.2,2.5
2015,dcid:nuts/EL63,2.3,4.0,3.2
2016,dcid:nuts/EL63,3.4,3.4,3.4
2017,dcid:nuts/EL63,3.7,3.2,3.5
2018,dcid:nuts/EL63,3.7,4.3,4.0
2019,dcid:nuts/EL63,5.7,4.7,5.2
2002,dcid:nuts/EL64,,,0.6
2003,dcid:nuts/EL64,2.2,1.7,1.9
2004,dcid:nuts/EL64,,,0.7
2005,dcid:nuts/EL64,1.1,1.0,1.1
2006,dcid:nuts/EL64,,,0.7
2007,dcid:nuts/EL64,1.2,,0.8
2008,dcid:nuts/EL64,1.2,,1.0
2009,dcid:nuts/EL64,,1.5,1.2
2010,dcid:nuts/EL64,1.7,1.7,1.7
2011,dcid:nuts/EL64,1.2,1.3,1.3
2012,dcid:nuts/EL64,,1.5,1.1
2013,dcid:nuts/EL64,1.1,1.1,1.1
2014,dcid:nuts/EL64,1.3,1.2,1.2
2015,dcid:nuts/EL64,1.2,,1.0
2016,dcid:nuts/EL64,1.2,0.9,1.0
2017,dcid:nuts/EL64,1.4,1.3,1.4
2018,dcid:nuts/EL64,1.4,1.2,1.3
2019,dcid:nuts/EL64,1.1,1.4,1.3
2000,dcid:nuts/EL65,,,0.6
2002,dcid:nuts/EL65,,,0.5
2003,dcid:nuts/EL65,1.0,,0.9
2004,dcid:nuts/EL65,,,0.5
2005,dcid:nuts/EL65,,,0.6
2006,dcid:nuts/EL65,,,0.6
2007,dcid:nuts/EL65,,1.3,1.0
2008,dcid:nuts/EL65,1.6,1.2,1.4
2009,dcid:nuts/EL65,1.3,1.6,1.4
2010,dcid:nuts/EL65,1.0,1.4,1.2
2011,dcid:nuts/EL65,1.0,0.9,0.9
2012,dcid:nuts/EL65,1.2,1.2,1.2
2013,dcid:nuts/EL65,1.5,,1.1
2014,dcid:nuts/EL65,1.5,1.1,1.3
2015,dcid:nuts/EL65,1.3,1.1,1.2
2016,dcid:nuts/EL65,1.8,1.4,1.6
2017,dcid:nuts/EL65,1.7,1.7,1.7
2018,dcid:nuts/EL65,1.9,1.2,1.5
2019,dcid:nuts/EL65,,,0.7
2000,dcid:nuts/ES,4.9,4.1,4.5
2001,dcid:nuts/ES,4.9,4.0,4.4
2002,dcid:nuts/ES,5.0,4.0,4.5
2003,dcid:nuts/ES,5.3,4.4,4.8
2004,dcid:nuts/ES,5.3,4.3,4.8
2005,dcid:nuts/ES,11.7,9.8,10.8
2006,dcid:nuts/ES,12.0,9.6,10.7
2007,dcid:nuts/ES,11.9,9.6,10.8
2008,dcid:nuts/ES,11.8,9.7,10.7
2009,dcid:nuts/ES,11.8,9.8,10.8
2010,dcid:nuts/ES,12.1,10.3,11.2
2011,dcid:nuts/ES,12.1,10.3,11.2
2012,dcid:nuts/ES,12.1,10.2,11.2
2013,dcid:nuts/ES,12.2,10.5,11.4
2014,dcid:nuts/ES,10.8,9.4,10.1
2015,dcid:nuts/ES,10.7,9.2,9.9
2016,dcid:nuts/ES,10.2,8.6,9.4
2017,dcid:nuts/ES,10.6,9.2,9.9
2018,dcid:nuts/ES,11.5,9.5,10.5
