"MinDate","observationPeriods","MeasurementMethods","NumPlaces","StatVar","ScalingFactors","Units"
"1985","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","18","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA28_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","3401","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA03_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","110","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV21_BuildingContents_FloodEvent","[]","[USDollar]"
"1985","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","12","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAA_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","171","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV15_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","3086","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA06_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","136","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV17_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1615","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA12_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","358","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA18_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","3720","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA04_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1980","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","10","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneV24_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","26266","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA_BuildingStructureAndContents_FloodEvent","[]","[]"
"1983","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","7","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA29_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","380","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA20_BuildingStructure_FloodEvent","[]","[USDollar]"
"1980","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","139","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV16_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","4525","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA05_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","3086","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA06_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","714","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA17_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","354","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV11_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","11188","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneB_BuildingContents_FloodEvent","[]","[USDollar]"
"1983","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","4","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA29_BuildingContents_FloodEvent","[]","[USDollar]"
"1996","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","14","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA27_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1980","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","139","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV16_BuildingStructure_FloodEvent","[]","[USDollar]"
"1996","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","14","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA27_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","280","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV09_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","165","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneV17_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1758","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA11_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1985","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","21","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA28_BuildingStructureAndContents_FloodEvent","[]","[]"
"1979","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","114","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV20_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","3720","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA04_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","22551","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1979","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","489","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA99_BuildingContents_FloodEvent","[]","[USDollar]"
"1980","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","21","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneV01_BuildingStructureAndContents_FloodEvent","[]","[]"
"1998","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","9","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV23_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","97","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV18_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","29","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV22_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","72","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV03_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","644","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA17_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1244","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA13_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","158","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA22_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","727","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA16_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","121","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA23_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","519","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneV12_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1965","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneAH_BuildingStructureAndContents_FloodEvent","[]","[]"
"1979","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","22","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA26_BuildingStructure_FloodEvent","[]","[USDollar]"
