unit,smoking,quant_inc,sex,age,geo\time	2019 	2014 
PC,NSM,QU1,F,Y15-64,FR	72.8 	63.8 
PC,NSM,QU1,F,Y15-64,HR	70.8 	63.2 
PC,NSM,QU1,F,Y15-64,HU	61.0 	62.1 
PC,NSM,QU1,F,Y15-64,IE	74.2 	75.7 
PC,NSM,QU1,F,Y15-64,IS	88.0 	74.6 
PC,NSM,QU1,F,Y15-64,IT	79.5 	78.8 
PC,NSM,QU1,F,Y15-64,LT	76.7 	77.6 
PC,NSM,QU1,F,Y15-64,LU	77.4 	70.6 
PC,NSM,QU1,F,Y15-64,LV	71.9 	69.7 
PC,NSM,QU1,F,Y15-64,MT	68.4 	65.6 
PC,NSM,QU1,F,Y15-64,NL	71.0 	68.5 
PC,NSM,QU1,F,Y15-64,NO	81.3 	77.7 
PC,NSM,QU1,F,Y15-64,PL	70.6 	71.3 
PC,NSM,QU1,F,Y15-64,PT	86.9 	82.2 
PC,NSM,QU1,F,Y15-64,RO	85.1 	87.0 
PC,NSM,QU1,F,Y15-64,RS	61.2 	: 
PC,NSM,QU1,F,Y15-64,SE	81.2 	84.7 
PC,NSM,QU1,F,Y15-64,SI	65.7 	70.5 
PC,NSM,QU1,F,Y15-64,SK	73.3 	69.6 
PC,NSM,QU1,F,Y15-64,TR	83.3 	82.6 
PC,NSM,QU1,F,Y15-64,UK	: 	72.9 
PC,NSM,QU1,F,Y18-24,AT	74.2 	67.4 
PC,NSM,QU1,F,Y18-24,BE	85.5 u	: u
PC,NSM,QU1,F,Y18-24,BG	79.5 u	65.4 
PC,NSM,QU1,F,Y18-24,CY	84.1 	86.7 
PC,NSM,QU1,F,Y18-24,CZ	79.3 	79.5 
PC,NSM,QU1,F,Y18-24,DE	62.4 	75.1 
PC,NSM,QU1,F,Y18-24,DK	64.4 	76.6 
PC,NSM,QU1,F,Y18-24,EE	77.5 u	66.9 
PC,NSM,QU1,F,Y18-24,EL	85.1 u	74.2 
PC,NSM,QU1,F,Y18-24,ES	75.3 	75.1 
PC,NSM,QU1,F,Y18-24,EU27_2020	73.2 	74.8 
PC,NSM,QU1,F,Y18-24,EU28	: 	75.2 
PC,NSM,QU1,F,Y18-24,FI	83.4 	72.5 
PC,NSM,QU1,F,Y18-24,FR	74.2 	70.8 
PC,NSM,QU1,F,Y18-24,HR	: u	48.0 u
PC,NSM,QU1,F,Y18-24,HU	68.3 	67.2 u
PC,NSM,QU1,F,Y18-24,IE	63.1 u	62.9 u
PC,NSM,QU1,F,Y18-24,IS	88.6 	74.2 
PC,NSM,QU1,F,Y18-24,IT	79.9 	79.1 
PC,NSM,QU1,F,Y18-24,LT	69.9 u	65.9 u
PC,NSM,QU1,F,Y18-24,LU	74.1 	71.0 
PC,NSM,QU1,F,Y18-24,LV	76.3 u	56.8 
PC,NSM,QU1,F,Y18-24,MT	: u	: u
PC,NSM,QU1,F,Y18-24,NL	75.1 	63.6 
PC,NSM,QU1,F,Y18-24,NO	87.5 	79.3 
PC,NSM,QU1,F,Y18-24,PL	85.4 	84.4 
PC,NSM,QU1,F,Y18-24,PT	86.7 	78.2 
PC,NSM,QU1,F,Y18-24,RO	86.9 	85.3 
PC,NSM,QU1,F,Y18-24,RS	75.5 	: 
PC,NSM,QU1,F,Y18-24,SE	83.6 	79.6 
PC,NSM,QU1,F,Y18-24,SI	69.9 	69.3 u
PC,NSM,QU1,F,Y18-24,SK	73.0 	68.3 
PC,NSM,QU1,F,Y18-24,TR	91.5 	88.4 
PC,NSM,QU1,F,Y18-24,UK	: 	76.9 
PC,NSM,QU1,F,Y18-44,AT	: 	60.9 
PC,NSM,QU1,F,Y18-44,BE	: 	65.4 u
PC,NSM,QU1,F,Y18-44,BG	: 	56.4 
PC,NSM,QU1,F,Y18-44,CY	: 	75.9 
PC,NSM,QU1,F,Y18-44,CZ	: 	66.8 
PC,NSM,QU1,F,Y18-44,DE	: 	71.6 
PC,NSM,QU1,F,Y18-44,DK	: 	71.0 
PC,NSM,QU1,F,Y18-44,EE	: 	67.1 
PC,NSM,QU1,F,Y18-44,EL	: 	65.6 
PC,NSM,QU1,F,Y18-44,ES	: 	70.9 
PC,NSM,QU1,F,Y18-44,EU28	: 	71.0 
PC,NSM,QU1,F,Y18-44,FI	: 	68.9 
PC,NSM,QU1,F,Y18-44,FR	: 	61.4 
PC,NSM,QU1,F,Y18-44,HR	: 	58.4 
PC,NSM,QU1,F,Y18-44,HU	: 	61.9 
PC,NSM,QU1,F,Y18-44,IE	: 	71.7 
PC,NSM,QU1,F,Y18-44,IS	: 	74.5 
PC,NSM,QU1,F,Y18-44,IT	: 	79.9 
PC,NSM,QU1,F,Y18-44,LT	: 	74.2 
PC,NSM,QU1,F,Y18-44,LU	: 	72.1 
PC,NSM,QU1,F,Y18-44,LV	: 	61.4 
PC,NSM,QU1,F,Y18-44,MT	: 	53.1 
PC,NSM,QU1,F,Y18-44,NL	: 	67.4 
PC,NSM,QU1,F,Y18-44,NO	: 	79.5 
PC,NSM,QU1,F,Y18-44,PL	: 	73.6 
PC,NSM,QU1,F,Y18-44,PT	: 	78.5 
PC,NSM,QU1,F,Y18-44,RO	: 	84.9 
PC,NSM,QU1,F,Y18-44,SE	: 	82.8 
PC,NSM,QU1,F,Y18-44,SI	: 	67.3 
PC,NSM,QU1,F,Y18-44,SK	: 	65.7 
PC,NSM,QU1,F,Y18-44,TR	: 	79.3 
PC,NSM,QU1,F,Y18-44,UK	: 	71.7 
PC,NSM,QU1,F,Y18-64,AT	: 	63.4 
PC,NSM,QU1,F,Y18-64,BE	: 	63.0 u
PC,NSM,QU1,F,Y18-64,BG	: 	64.3 
PC,NSM,QU1,F,Y18-64,CY	: 	80.5 
PC,NSM,QU1,F,Y18-64,CZ	: 	67.6 
PC,NSM,QU1,F,Y18-64,DE	: 	70.7 
PC,NSM,QU1,F,Y18-64,DK	: 	68.4 
