"Units","MeasurementMethods","ScalingFactors","NumPlaces","StatVar","MinDate","observationPeriods"
"[]","[DataCommonsAggregate]","[]","149","Offense_Count_CriminalIncidents_DestructionOrDamageOrVandalismOfProperty_IsHateCrime_OffenderRaceAsianAlone","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","413","Count_CriminalIncidents_BiasMotivationSingleBias_NotSpecified_IsHateCrime","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","7","Count_CriminalIncidents_BiasMotivationReligion_FalsePretenseOrSwindleOrConfidenceGame_IsHateCrime_Hinduism","2021","[P1Y]"
"[]","[DataCommonsAggregate]","[]","60","Offense_Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_OffenderEthnicityNotHispanicOrLatino_MultipleReligion","2014","[P1Y]"
"[]","[DataCommonsAggregate]","[]","28","Victim_Count_CriminalIncidents_BiasMotivationMultipleBias_Arson_IsHateCrime","2011","[P1Y]"
"[]","[DataCommonsAggregate]","[]","27","Offender_Count_CriminalIncidents_TheftFromCoinOperatedMachineOrDevice_IsHateCrime","1999","[P1Y]"
"[]","[DataCommonsAggregate]","[]","24","Offense_Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_OffenderEthnicityMultipleEthnicity_Sikhism","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","23","Count_CriminalIncidents_BiasMotivationReligion_Intimidation_IsHateCrime_Mormonism","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","13","Offense_Count_CriminalIncidents_BiasMotivationRace_TheftFromMotorVehicle_IsHateCrime_TwoOrMoreRaces","1997","[P1Y]"
"[]","[DataCommonsAggregate]","[]","92","Offense_Count_CriminalIncidents_BiasMotivationDisabilityStatus_AggravatedAssault_IsHateCrime_PhysicalDisability","1997","[P1Y]"
"[]","[DataCommonsAggregate]","[]","7","Count_CriminalIncidents_BiasMotivationReligion_StolenPropertyOffenses_IsHateCrime_OtherChristian","2015","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Offense_Count_CriminalIncidents_BiasMotivationReligion_FalsePretenseOrSwindleOrConfidenceGame_IsHateCrime_JehovahsWitnesses","2019","[P1Y]"
"[]","[DataCommonsAggregate]","[]","11","Offense_Count_CriminalIncidents_BiasMotivationReligion_WeaponLawViolations_IsHateCrime_Catholicism","2002","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Count_CriminalIncidents_BiasMotivationGender_PocketPicking_IsHateCrime_Male","2020","[P1Y]"
"[]","[DataCommonsAggregate]","[]","510","Count_CriminalIncidents_BiasMotivationReligion_CrimeAgainstProperty_IsHateCrime_Protestantism","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","51","Offense_Count_CriminalIncidents_BiasMotivationOtherRaceOrEthnicity_NotSpecified_IsHateCrime","1992","[P1Y]"
"[]","[DataCommonsAggregate]","[]","3","Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_Heterosexual_VictimTypeLawEnforcementOfficer","2019","[P1Y]"
"[]","[DataCommonsAggregate]","[]","3","Count_CriminalIncidents_BiasMotivationSexualOrientation_PurseSnatching_IsHateCrime_Bisexual","2008","[P1Y]"
"[]","[DataCommonsAggregate]","[]","31","Count_CriminalIncidents_BiasMotivationRace_IsHateCrime_OffenderEthnicityUnknownEthnicity_NativeHawaiianOrOtherPacificIslanderAlone","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","30","Victim_Count_CriminalIncidents_BiasMotivationSexualOrientation_Arson_IsHateCrime_Lesbian","1994","[P1Y]"
"[]","[DataCommonsAggregate]","[]","21","Offense_Count_CriminalIncidents_DrugOrNarcoticViolations_IsHateCrime_OffenderEthnicityMultipleEthnicity","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","3","Offense_Count_CriminalIncidents_BiasMotivationGender_StolenPropertyOffenses_IsHateCrime","2021","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Count_CriminalIncidents_BiasMotivationRace_WeaponLawViolations_IsHateCrime_NativeHawaiianOrOtherPacificIslanderAlone","2021","[P1Y]"
"[]","[DataCommonsAggregate]","[]","3","Offense_Count_CriminalIncidents_BiasMotivationReligion_Robbery_IsHateCrime_EasternChristianity","2017","[P1Y]"
"[]","[DataCommonsAggregate]","[]","20","Offense_Count_CriminalIncidents_BiasMotivationReligion_MotorVehicleTheft_IsHateCrime_Judaism","1993","[P1Y]"
"[]","[DataCommonsAggregate]","[]","36","Offense_Count_CriminalIncidents_CreditCardOrAutomatedTellerMachineFraud_IsHateCrime_OffenderEthnicityUnknownEthnicity","2013","[P1Y]"
"[]","[DataCommonsAggregate]","[]","27","Victim_Count_CriminalIncidents_BiasMotivationDisabilityStatus_Burglary_IsHateCrime_PhysicalDisability","1999","[P1Y]"
"[]","[DataCommonsAggregate]","[]","13","Offense_Count_CriminalIncidents_BiasMotivationRace_PornographyOrObsceneMaterial_IsHateCrime_WhiteAlone","2015","[P1Y]"
"[]","[DataCommonsAggregate]","[]","29","Offense_Count_CriminalIncidents_BiasMotivationEthnicity_Shoplifting_IsHateCrime_HispanicOrLatino","1995","[P1Y]"
"[]","[DataCommonsAggregate]","[]","41","Count_CriminalIncidents_BiasMotivationDisabilityStatus_IsHateCrime_OffenderRaceTwoOrMoreRaces_PhysicalDisability","1997","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Count_CriminalIncidents_BiasMotivationDisabilityStatus_HumanTraffickingInvoluntaryServitude_IsHateCrime_MentalDisability","2022","[P1Y]"
"[]","[DataCommonsAggregate]","[]","47","Offense_Count_CriminalIncidents_PurseSnatching_IsHateCrime_VictimTypePerson","1995","[P1Y]"
