table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Nebraska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.16 years and over,"674,285","675,302","678,679","682,518","686,833","690,842","695,632","700,909","705,585","710,122","715,868","720,709","722,316"
.18 years and over,"648,053","649,054","652,331","656,278","660,925","665,261","670,471","675,365","679,678","684,645","690,831","695,973","697,676"
.15 to 44 years,"365,143","365,044","363,248","361,671","360,602","358,983","357,665","356,094","354,570","353,716","354,073","355,031","355,534"
.,,,,,,,,,,,,,
.Median age (years),36.6,36.6,36.9,37.0,37.1,37.2,37.2,37.3,37.4,37.5,37.5,37.5,37.5
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Nebraska: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-31)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
