RESIDENT POPULATION OF STATES (by single year to 85+ and sex):
July 1, 1982 estimates
Source: Population Distribution Branch and Population Estimates Branch
         U.S. Bureau of the Census
Release date:  June 4, 1996 

The July 1982 intercensal estimates in this file are consistent
with and described in Current Population Reports, Series P25-1106.

--------------------------------------------------------------------------------
File Layout

Field
Location         Length        Field

1-2              2             FIPS Code state
3-6              4             Blank
7-8              2             State postal abbreviation
9-10             3             Blank
11-12            2             Age  (85 = 85+)
13-24            12            4/1/80 census both sexes population
25-36            12            4/1/80 census male population
37-48            12            4/1/80 census female population
------------------------------------------------------------------------


FIPS             7/1/82      7/1/82      7/1/82
Code    Age  Both sexes        Male      Female

06    CA  3      356598      181925      174673
06    CA  4      346457      176911      169546
06    CA  5      345054      176253      168801
06    CA  6      328042      167763      160279
06    CA  7      334311      171669      162642
06    CA  8      310187      159054      151133
06    CA  9      325890      166368      159522
06    CA 10      346643      177142      169501
06    CA 11      376146      192233      183913
06    CA 12      373573      191189      182384
06    CA 13      367671      187132      180539
06    CA 14      359216      183133      176083
06    CA 15      367236      186859      180377
06    CA 16      377677      193187      184490
06    CA 17      403387      207949      195438
06    CA 18      424373      220071      204302
06    CA 19      462657      240800      221857
06    CA 20      471872      247798      224074
06    CA 21      479831      251897      227934
06    CA 22      478691      249587      229104
06    CA 23      488782      252590      236192
06    CA 24      509827      263463      246364
06    CA 25      519758      267388      252370
06    CA 26      502352      257681      244671
06    CA 27      500017      255673      244344
06    CA 28      470514      239809      230705
06    CA 29      495422      252882      242540
06    CA 30      468904      238259      230645
06    CA 31      447796      225399      222397
06    CA 32      435234      219473      215761
06    CA 33      423062      212710      210352
06    CA 34      430225      217556      212669
06    CA 35      452711      228273      224438
06    CA 36      329185      165038      164147
06    CA 37      335436      167128      168308
06    CA 38      319675      159626      160049
06    CA 39      348624      175337      173287
06    CA 40      302903      151268      151635
06    CA 41      275996      137962      138034
06    CA 42      266034      133198      132836
06    CA 43      262189      130346      131843
06    CA 44      260139      129567      130572
06    CA 45      241814      120667      121147
06    CA 46      238470      118220      120250
06    CA 47      241380      119927      121453
06    CA 48      219949      109849      110100
06    CA 49      229127      113967      115160
06    CA 50      232706      114363      118343
06    CA 51      234237      114813      119424
06    CA 52      236081      115357      120724
06    CA 53      234349      113145      121204
06    CA 54      240542      115840      124702
06    CA 55      232658      110616      122042
06    CA 56      233395      111363      122032
06    CA 57      244273      116393      127880
06    CA 58      233157      111273      121884
06    CA 59      232773      111025      121748
06    CA 60      236573      112504      124069
