Date,GeoId,MeanMothersAge_BirthEvent,MedianMothersAge_BirthEvent,FertilityRate_Person_Female
2019,nuts/DE92,31.3,31.6,1.53
2020,nuts/DE92,31.4,31.7,1.59
2021,nuts/DE92,31.5,31.9,1.61
2022,nuts/DE92,31.4,31.8,1.47
2013,nuts/DE922,,31.1,
2014,nuts/DE922,30.5,31.1,1.59
2015,nuts/DE922,30.6,31.1,1.52
2016,nuts/DE922,30.5,31.0,1.79
2017,nuts/DE922,30.5,30.8,1.66
2018,nuts/DE922,30.7,31.1,1.64
2019,nuts/DE922,30.7,31.3,1.72
2020,nuts/DE922,30.9,31.4,1.69
2021,nuts/DE922,30.9,31.5,1.78
2022,nuts/DE922,30.8,31.4,1.63
2013,nuts/DE923,,30.4,
2014,nuts/DE923,30.2,30.5,1.51
2015,nuts/DE923,30.2,30.5,1.51
2016,nuts/DE923,29.9,30.2,1.77
2017,nuts/DE923,30.3,30.6,1.64
2018,nuts/DE923,30.3,30.6,1.66
2019,nuts/DE923,30.6,31.1,1.71
2020,nuts/DE923,30.2,30.6,1.7
2021,nuts/DE923,30.9,31.3,1.78
2022,nuts/DE923,30.6,31.2,1.64
2013,nuts/DE925,,30.6,
2014,nuts/DE925,30.5,30.7,1.42
2015,nuts/DE925,30.8,30.8,1.47
2016,nuts/DE925,30.6,30.7,1.37
2017,nuts/DE925,31.0,31.0,1.45
2018,nuts/DE925,31.1,31.1,1.57
2019,nuts/DE925,31.2,31.2,1.53
2020,nuts/DE925,31.2,31.3,1.51
2021,nuts/DE925,31.4,31.6,1.6
2022,nuts/DE925,31.3,31.5,1.42
2013,nuts/DE926,,30.1,
2014,nuts/DE926,30.1,30.1,1.39
2015,nuts/DE926,30.5,30.4,1.47
2016,nuts/DE926,30.1,30.1,1.72
2017,nuts/DE926,30.2,30.4,1.59
2018,nuts/DE926,30.4,30.5,1.77
2019,nuts/DE926,29.9,30.2,1.47
2020,nuts/DE926,30.6,31.0,1.76
2021,nuts/DE926,30.5,31.0,1.65
2022,nuts/DE926,30.3,30.6,1.67
2013,nuts/DE927,,30.6,
2014,nuts/DE927,30.2,30.4,1.48
2015,nuts/DE927,30.3,30.5,1.61
2016,nuts/DE927,30.3,30.6,1.81
2017,nuts/DE927,30.2,30.3,1.69
2018,nuts/DE927,30.3,30.5,1.66
2019,nuts/DE927,30.7,31.1,1.72
2020,nuts/DE927,30.9,31.3,1.78
2021,nuts/DE927,31.2,31.6,1.7
2022,nuts/DE927,30.8,31.2,1.6
2013,nuts/DE928,,30.4,
2014,nuts/DE928,30.1,30.6,1.52
2015,nuts/DE928,30.7,31.0,1.51
2016,nuts/DE928,30.6,31.0,1.76
2017,nuts/DE928,30.6,31.0,1.58
2018,nuts/DE928,30.8,31.3,1.66
2019,nuts/DE928,30.9,31.3,1.58
2020,nuts/DE928,30.9,31.3,1.59
2021,nuts/DE928,31.1,31.5,1.65
2022,nuts/DE928,31.0,31.5,1.57
2013,nuts/DE929,,31.3,
2014,nuts/DE929,31.1,31.5,1.48
2015,nuts/DE929,31.3,31.6,1.46
2016,nuts/DE929,31.2,31.5,1.63
2017,nuts/DE929,31.3,31.7,1.54
2018,nuts/DE929,31.5,31.8,1.54
2019,nuts/DE929,31.6,32.0,1.47
2020,nuts/DE929,31.8,32.1,1.56
2021,nuts/DE929,31.9,32.2,1.56
2022,nuts/DE929,31.9,32.2,1.41
2013,nuts/DE93,30.3,30.9,1.53
2014,nuts/DE93,30.5,31.0,1.59
2015,nuts/DE93,30.7,31.1,1.59
2016,nuts/DE93,30.5,31.0,1.71
2017,nuts/DE93,30.8,31.2,1.69
2018,nuts/DE93,30.8,31.3,1.7
2019,nuts/DE93,30.9,31.3,1.68
2020,nuts/DE93,31.0,31.6,1.67
2021,nuts/DE93,31.2,31.7,1.72
2022,nuts/DE93,31.1,31.7,1.59
2013,nuts/DE931,,30.3,
2014,nuts/DE931,30.2,30.4,1.63
2015,nuts/DE931,30.4,30.7,1.56
2016,nuts/DE931,30.4,30.7,1.7
2017,nuts/DE931,30.3,30.8,1.63
2018,nuts/DE931,30.5,31.0,1.68
2019,nuts/DE931,30.7,31.2,1.71
2020,nuts/DE931,30.6,31.2,1.65
2021,nuts/DE931,30.9,31.3,1.71
2022,nuts/DE931,30.9,31.5,1.59
2013,nuts/DE932,,30.2,
2014,nuts/DE932,30.0,30.3,1.55
2015,nuts/DE932,29.9,30.3,1.57
2016,nuts/DE932,30.1,30.4,1.67
2017,nuts/DE932,30.2,30.5,1.74
2018,nuts/DE932,30.3,30.8,1.77
2019,nuts/DE932,30.2,30.6,1.59
2020,nuts/DE932,30.6,31.1,1.75
2021,nuts/DE932,30.7,31.4,1.77
2022,nuts/DE932,30.7,31.4,1.66
2013,nuts/DE933,,31.8,
2014,nuts/DE933,31.0,31.8,1.64
2015,nuts/DE933,31.1,31.8,1.71
2016,nuts/DE933,31.2,32.0,1.79
2017,nuts/DE933,31.4,32.2,1.79
2018,nuts/DE933,31.3,32.1,1.79
2019,nuts/DE933,31.3,32.2,1.76
2020,nuts/DE933,31.4,32.2,1.68
2021,nuts/DE933,31.6,32.4,1.89
2022,nuts/DE933,31.7,32.5,1.6
2013,nuts/DE934,,29.7,
2014,nuts/DE934,30.2,30.9,1.66
2015,nuts/DE934,30.2,30.7,1.51
2016,nuts/DE934,30.2,30.8,1.61
2017,nuts/DE934,29.9,29.9,1.64
2018,nuts/DE934,30.7,31.2,1.68
2019,nuts/DE934,30.5,30.9,1.69
2020,nuts/DE934,30.5,31.2,1.59
2021,nuts/DE934,31.2,32.0,1.59
2022,nuts/DE934,31.0,31.9,1.6
2013,nuts/DE935,,31.5,
2014,nuts/DE935,31.3,31.7,1.51
2015,nuts/DE935,31.4,31.8,1.42
2016,nuts/DE935,31.1,31.5,1.59
2017,nuts/DE935,31.4,31.8,1.51
2018,nuts/DE935,31.7,32.0,1.5
2019,nuts/DE935,31.5,31.8,1.52
2020,nuts/DE935,31.8,32.3,1.51
2021,nuts/DE935,31.9,32.3,1.5
2022,nuts/DE935,31.6,32.0,1.36
2013,nuts/DE936,,31.3,
2014,nuts/DE936,30.6,31.4,1.58
2015,nuts/DE936,31.1,31.9,1.58
2016,nuts/DE936,30.6,31.3,1.77
2017,nuts/DE936,31.1,31.7,1.74
2018,nuts/DE936,30.9,31.6,1.7
2019,nuts/DE936,30.9,31.6,1.77
2020,nuts/DE936,31.3,32.2,1.63
2021,nuts/DE936,31.4,32.1,1.83
2022,nuts/DE936,31.3,32.1,1.54
2013,nuts/DE937,,30.4,
2014,nuts/DE937,30.4,30.7,1.56
2015,nuts/DE937,30.6,30.9,1.55
2016,nuts/DE937,30.4,30.7,1.66
2017,nuts/DE937,30.7,30.9,1.67
2018,nuts/DE937,30.8,31.3,1.71
2019,nuts/DE937,30.8,31.2,1.69
2020,nuts/DE937,31.1,31.5,1.69
2021,nuts/DE937,31.3,31.7,1.67
2022,nuts/DE937,31.0,31.5,1.63
2013,nuts/DE938,,29.9,
2014,nuts/DE938,29.9,30.0,1.53
2015,nuts/DE938,30.1,30.5,1.63
2016,nuts/DE938,29.9,30.1,1.65
2017,nuts/DE938,30.2,30.4,1.63
2018,nuts/DE938,30.3,30.8,1.71
2019,nuts/DE938,30.3,30.5,1.74
2020,nuts/DE938,30.4,30.8,1.75
2021,nuts/DE938,30.5,30.9,1.68
2022,nuts/DE938,30.8,31.3,1.58
2013,nuts/DE939,,31.2,
2014,nuts/DE939,30.7,31.2,1.56
2015,nuts/DE939,30.8,31.2,1.63
2016,nuts/DE939,30.3,30.8,1.81
2017,nuts/DE939,30.8,31.2,1.74
2018,nuts/DE939,30.6,31.1,1.75
2019,nuts/DE939,30.8,31.3,1.71
2020,nuts/DE939,30.8,31.3,1.77
2021,nuts/DE939,30.9,31.5,1.75
2022,nuts/DE939,31.0,31.7,1.71
2013,nuts/DE93A,,30.4,
2014,nuts/DE93A,30.4,30.7,1.53
2015,nuts/DE93A,30.0,29.7,1.46
2016,nuts/DE93A,30.2,30.2,1.56
2017,nuts/DE93A,30.6,30.6,1.56
2018,nuts/DE93A,30.6,30.9,1.55
2019,nuts/DE93A,30.5,30.7,1.61
2020,nuts/DE93A,31.0,31.4,1.57
2021,nuts/DE93A,30.7,31.2,1.66
2022,nuts/DE93A,30.7,31.2,1.6
2013,nuts/DE93B,,30.7,
2014,nuts/DE93B,30.4,30.9,1.74
2015,nuts/DE93B,30.6,31.0,1.75
2016,nuts/DE93B,30.5,30.9,1.83
2017,nuts/DE93B,30.7,31.1,1.91
2018,nuts/DE93B,30.8,31.3,1.79
2019,nuts/DE93B,31.0,31.5,1.74
2020,nuts/DE93B,31.1,31.7,1.73
2021,nuts/DE93B,31.1,31.8,1.78
2022,nuts/DE93B,30.9,31.6,1.66
2013,nuts/DE94,30.4,30.5,1.48
2014,nuts/DE94,30.5,30.6,1.56
2015,nuts/DE94,30.6,30.6,1.55
2016,nuts/DE94,30.6,30.6,1.71
2017,nuts/DE94,30.7,30.8,1.68
2018,nuts/DE94,30.9,31.0,1.65
2019,nuts/DE94,30.9,31.1,1.67
2020,nuts/DE94,31.0,31.2,1.65
2021,nuts/DE94,31.1,31.4,1.7
2022,nuts/DE94,31.0,31.3,1.56
2013,nuts/DE941,,29.1,
2014,nuts/DE941,29.6,29.4,1.66
2015,nuts/DE941,29.5,29.2,1.67
2016,nuts/DE941,29.6,29.4,1.95
2017,nuts/DE941,29.8,29.7,1.93
2018,nuts/DE941,30.0,29.9,1.83
2019,nuts/DE941,29.8,30.0,1.89
2020,nuts/DE941,29.9,29.8,1.65
2021,nuts/DE941,30.7,31.0,1.91
2022,nuts/DE941,29.9,30.3,1.7
2013,nuts/DE942,,28.9,
2014,nuts/DE942,29.4,29.1,1.46
2015,nuts/DE942,29.8,29.2,1.41
2016,nuts/DE942,29.9,29.3,1.66
2017,nuts/DE942,29.6,29.3,1.55
2018,nuts/DE942,30.0,29.5,1.51
2019,nuts/DE942,30.5,30.2,1.53
2020,nuts/DE942,29.6,29.5,1.42
2021,nuts/DE942,30.6,30.3,1.36
2022,nuts/DE942,30.4,30.1,1.3
2013,nuts/DE943,,31.5,
2014,nuts/DE943,31.7,31.7,1.33
2015,nuts/DE943,31.7,31.5,1.29
2016,nuts/DE943,31.9,31.6,1.36
2017,nuts/DE943,31.7,31.4,1.34
2018,nuts/DE943,32.0,31.7,1.32
2019,nuts/DE943,31.9,31.6,1.26
2020,nuts/DE943,32.1,31.9,1.32
2021,nuts/DE943,32.1,31.9,1.3
2022,nuts/DE943,32.2,32.0,1.22
2013,nuts/DE944,,31.3,
2014,nuts/DE944,31.5,31.4,1.3
2015,nuts/DE944,31.9,31.6,1.29
2016,nuts/DE944,31.8,31.5,1.4
2017,nuts/DE944,32.2,31.7,1.39
2018,nuts/DE944,32.1,31.6,1.37
2019,nuts/DE944,32.1,31.7,1.34
2020,nuts/DE944,32.4,31.9,1.26
2021,nuts/DE944,32.5,32.0,1.44
2022,nuts/DE944,32.4,32.0,1.17
2013,nuts/DE945,,28.4,
2014,nuts/DE945,29.4,28.6,1.36
2015,nuts/DE945,29.6,29.0,1.43
2016,nuts/DE945,29.5,28.8,1.62
2017,nuts/DE945,29.4,28.7,1.67
2018,nuts/DE945,30.3,29.8,1.54
2019,nuts/DE945,30.2,29.6,1.55
2020,nuts/DE945,30.7,30.3,1.59
2021,nuts/DE945,30.5,30.2,1.55
2022,nuts/DE945,30.1,30.0,1.41
2013,nuts/DE946,,31.3,
2014,nuts/DE946,30.7,31.3,1.62
2015,nuts/DE946,31.0,31.4,1.62
2016,nuts/DE946,30.9,31.3,1.81
2017,nuts/DE946,31.0,31.5,1.63
2018,nuts/DE946,30.9,31.2,1.67
2019,nuts/DE946,31.2,31.6,1.75
2020,nuts/DE946,31.2,31.6,1.62
2021,nuts/DE946,31.3,31.7,1.7
2022,nuts/DE946,31.6,32.2,1.62
2013,nuts/DE947,,29.2,
2014,nuts/DE947,29.7,29.8,1.55
2015,nuts/DE947,29.9,29.9,1.59
2016,nuts/DE947,29.6,29.3,1.72
2017,nuts/DE947,30.1,30.1,1.74
2018,nuts/DE947,30.2,30.1,1.66
2019,nuts/DE947,30.2,30.2,1.69
2020,nuts/DE947,30.3,30.5,1.62
2021,nuts/DE947,30.5,30.8,1.66
2022,nuts/DE947,30.3,30.5,1.51
2013,nuts/DE948,,29.7,
2014,nuts/DE948,29.9,29.7,1.78
2015,nuts/DE948,29.9,29.6,1.79
2016,nuts/DE948,30.0,30.0,1.91
2017,nuts/DE948,30.1,30.1,1.9
2018,nuts/DE948,30.2,30.0,1.86
2019,nuts/DE948,30.5,30.5,1.92
2020,nuts/DE948,30.5,30.6,1.93
2021,nuts/DE948,30.6,30.8,2.01
2022,nuts/DE948,30.4,30.4,1.84
2013,nuts/DE949,,31.1,
2014,nuts/DE949,30.8,31.0,1.64
2015,nuts/DE949,30.7,31.0,1.61
2016,nuts/DE949,30.9,31.2,1.81
2017,nuts/DE949,30.8,31.2,1.76
2018,nuts/DE949,31.1,31.5,1.73
2019,nuts/DE949,31.2,31.6,1.74
2020,nuts/DE949,31.2,31.7,1.76
2021,nuts/DE949,31.2,31.6,1.74
2022,nuts/DE949,31.1,31.7,1.73
2013,nuts/DE94A,,30.1,
2014,nuts/DE94A,29.9,30.2,1.55
2015,nuts/DE94A,29.9,29.8,1.69
2016,nuts/DE94A,29.7,29.7,1.84
2017,nuts/DE94A,30.5,30.6,1.68
2018,nuts/DE94A,30.4,30.6,1.59
2019,nuts/DE94A,30.3,30.7,1.67
2020,nuts/DE94A,30.8,31.0,1.66
2021,nuts/DE94A,31.1,31.5,1.69
2022,nuts/DE94A,30.8,31.5,1.43
2013,nuts/DE94B,,30.7,
2014,nuts/DE94B,30.3,30.6,1.69
2015,nuts/DE94B,30.4,30.7,1.67
2016,nuts/DE94B,30.5,30.8,1.67
2017,nuts/DE94B,30.6,31.0,1.77
2018,nuts/DE94B,30.9,31.2,1.75
2019,nuts/DE94B,30.9,31.3,1.73
2020,nuts/DE94B,31.1,31.5,1.74
2021,nuts/DE94B,31.0,31.3,1.91
2022,nuts/DE94B,31.0,31.3,1.7
2013,nuts/DE94C,,29.9,
2014,nuts/DE94C,29.9,29.9,1.56
2015,nuts/DE94C,30.1,30.2,1.56
2016,nuts/DE94C,30.0,29.9,1.79
2017,nuts/DE94C,30.2,30.2,1.73
2018,nuts/DE94C,30.3,30.4,1.79
2019,nuts/DE94C,30.4,30.6,1.7
2020,nuts/DE94C,30.2,30.4,1.73
2021,nuts/DE94C,30.7,31.1,1.78
2022,nuts/DE94C,30.7,31.0,1.65
2013,nuts/DE94D,,31.2,
2014,nuts/DE94D,31.0,31.6,1.55
2015,nuts/DE94D,30.7,31.1,1.53
2016,nuts/DE94D,30.8,31.1,1.86
2017,nuts/DE94D,30.8,31.2,1.78
2018,nuts/DE94D,30.9,31.5,1.74
2019,nuts/DE94D,31.0,31.6,1.74
2020,nuts/DE94D,31.1,31.6,1.67
2021,nuts/DE94D,31.1,31.6,1.85
2022,nuts/DE94D,30.9,31.5,1.74
2013,nuts/DE94E,,30.8,
2014,nuts/DE94E,30.5,30.8,1.67
2015,nuts/DE94E,30.7,31.0,1.64
2016,nuts/DE94E,30.6,31.0,1.77
2017,nuts/DE94E,30.7,31.0,1.8
2018,nuts/DE94E,30.8,31.1,1.77
2019,nuts/DE94E,30.9,31.3,1.85
2020,nuts/DE94E,30.9,31.4,1.8
2021,nuts/DE94E,31.1,31.6,1.89
2022,nuts/DE94E,30.7,31.4,1.67
2013,nuts/DE94F,,31.0,
2014,nuts/DE94F,30.7,30.5,1.69
2015,nuts/DE94F,30.9,30.8,1.6
2016,nuts/DE94F,30.9,30.8,1.83
2017,nuts/DE94F,30.9,30.8,1.75
2018,nuts/DE94F,31.2,31.3,1.75
2019,nuts/DE94F,31.3,31.4,1.85
2020,nuts/DE94F,31.0,31.2,1.83
2021,nuts/DE94F,31.1,31.4,1.84
2022,nuts/DE94F,31.3,31.5,1.69
2013,nuts/DE94G,,29.8,
2014,nuts/DE94G,29.6,29.3,1.52
2015,nuts/DE94G,29.7,29.9,1.44
2016,nuts/DE94G,29.8,29.6,1.83
2017,nuts/DE94G,30.0,29.8,1.74
2018,nuts/DE94G,30.3,30.3,1.66
2019,nuts/DE94G,30.3,30.1,1.67
2020,nuts/DE94G,30.5,30.6,1.72
2021,nuts/DE94G,30.3,30.7,1.58
2022,nuts/DE94G,30.6,31.2,1.63
2013,nuts/DE94H,,29.5,
2014,nuts/DE94H,29.5,29.5,1.55
2015,nuts/DE94H,29.7,29.5,1.64
2016,nuts/DE94H,30.3,30.5,1.55
2017,nuts/DE94H,29.8,29.9,1.63
2018,nuts/DE94H,30.4,30.7,1.48
2019,nuts/DE94H,30.2,30.3,1.54
2020,nuts/DE94H,30.4,30.9,1.73
2021,nuts/DE94H,30.1,30.4,1.57
2022,nuts/DE94H,30.4,30.7,1.53
2013,nuts/DEA,30.7,31.0,1.41
2014,nuts/DEA,30.8,31.1,1.48
2015,nuts/DEA,30.8,31.1,1.52
2016,nuts/DEA,30.8,31.1,1.62
2017,nuts/DEA,30.9,31.2,1.6
2018,nuts/DEA,31.1,31.4,1.6
2019,nuts/DEA,31.2,31.5,1.57
2020,nuts/DEA,31.3,31.7,1.56
2021,nuts/DEA,31.4,31.9,1.61
2022,nuts/DEA,31.4,31.8,1.49
2013,nuts/DEA1,30.6,31.0,1.41
2014,nuts/DEA1,30.7,31.1,1.48
2015,nuts/DEA1,30.7,31.1,1.51
2016,nuts/DEA1,30.7,31.1,1.63
2017,nuts/DEA1,30.8,31.2,1.61
2018,nuts/DEA1,31.0,31.4,1.6
2019,nuts/DEA1,31.1,31.5,1.56
2020,nuts/DEA1,31.1,31.7,1.54
2021,nuts/DEA1,31.3,31.9,1.59
2022,nuts/DEA1,31.2,31.8,1.47
2013,nuts/DEA11,,32.6,
2014,nuts/DEA11,32.1,32.6,1.44
2015,nuts/DEA11,32.2,32.7,1.44
2016,nuts/DEA11,32.1,32.7,1.5
2017,nuts/DEA11,32.2,32.7,1.48
2018,nuts/DEA11,32.7,33.1,1.43
2019,nuts/DEA11,32.7,33.1,1.33
2020,nuts/DEA11,32.9,33.1,1.33
2021,nuts/DEA11,33.1,33.3,1.36
2022,nuts/DEA11,33.0,33.2,1.28
2013,nuts/DEA12,,29.6,
2014,nuts/DEA12,29.7,29.7,1.49
2015,nuts/DEA12,29.8,29.8,1.54
2016,nuts/DEA12,29.7,29.6,1.68
2017,nuts/DEA12,29.6,29.7,1.69
2018,nuts/DEA12,29.9,30.1,1.67
2019,nuts/DEA12,29.9,30.0,1.64
2020,nuts/DEA12,29.9,30.2,1.61
2021,nuts/DEA12,30.0,30.5,1.66
2022,nuts/DEA12,30.0,30.6,1.49
2013,nuts/DEA13,,30.8,
2014,nuts/DEA13,30.7,31.0,1.42
2015,nuts/DEA13,30.8,31.0,1.51
2016,nuts/DEA13,30.5,30.8,1.58
2017,nuts/DEA13,30.8,31.0,1.55
2018,nuts/DEA13,31.0,31.3,1.56
2019,nuts/DEA13,31.1,31.4,1.54
2020,nuts/DEA13,31.0,31.4,1.54
2021,nuts/DEA13,31.4,31.8,1.52
2022,nuts/DEA13,31.1,31.7,1.46
2013,nuts/DEA14,,30.7,
2014,nuts/DEA14,30.1,30.5,1.45
2015,nuts/DEA14,30.5,30.9,1.53
2016,nuts/DEA14,30.4,30.5,1.7
2017,nuts/DEA14,30.3,30.7,1.64
2018,nuts/DEA14,30.7,31.0,1.64
2019,nuts/DEA14,30.8,31.2,1.64
2020,nuts/DEA14,30.7,31.1,1.53
2021,nuts/DEA14,30.7,31.4,1.58
2022,nuts/DEA14,30.6,31.2,1.45
2013,nuts/DEA15,,29.9,
2014,nuts/DEA15,30.1,30.2,1.47
2015,nuts/DEA15,30.1,30.2,1.51
2016,nuts/DEA15,30.0,30.1,1.63
2017,nuts/DEA15,30.3,30.4,1.64
2018,nuts/DEA15,30.3,30.5,1.61
2019,nuts/DEA15,30.4,30.8,1.5
2020,nuts/DEA15,30.5,30.9,1.61
2021,nuts/DEA15,30.8,31.2,1.6
2022,nuts/DEA15,30.6,31.1,1.56
2013,nuts/DEA16,,31.3,
2014,nuts/DEA16,31.0,31.5,1.49
2015,nuts/DEA16,31.0,31.6,1.53
2016,nuts/DEA16,30.8,31.2,1.77
2017,nuts/DEA16,31.1,31.6,1.67
2018,nuts/DEA16,31.1,31.6,1.7
2019,nuts/DEA16,31.2,31.7,1.62
2020,nuts/DEA16,31.1,31.7,1.62
2021,nuts/DEA16,31.6,32.1,1.66
2022,nuts/DEA16,31.2,32.0,1.55
2013,nuts/DEA17,,30.2,
2014,nuts/DEA17,29.8,30.1,1.44
2015,nuts/DEA17,30.0,30.4,1.44
2016,nuts/DEA17,29.8,30.0,1.61
2017,nuts/DEA17,30.1,30.5,1.59
2018,nuts/DEA17,30.2,30.6,1.55
2019,nuts/DEA17,30.3,30.9,1.58
2020,nuts/DEA17,30.3,30.9,1.56
2021,nuts/DEA17,30.7,31.2,1.54
2022,nuts/DEA17,30.3,30.9,1.51
2013,nuts/DEA18,,30.0,
2014,nuts/DEA18,30.2,30.3,1.62
2015,nuts/DEA18,30.1,30.1,1.57
2016,nuts/DEA18,30.0,30.0,1.82
2017,nuts/DEA18,30.4,30.5,1.65
2018,nuts/DEA18,30.5,30.6,1.71
2019,nuts/DEA18,30.4,30.7,1.72
2020,nuts/DEA18,30.4,30.8,1.72
2021,nuts/DEA18,30.7,31.1,1.66
2022,nuts/DEA18,30.5,30.9,1.59
2013,nuts/DEA19,,30.4,
2014,nuts/DEA19,30.4,30.7,1.48
2015,nuts/DEA19,30.6,30.7,1.6
2016,nuts/DEA19,30.3,30.6,1.63
2017,nuts/DEA19,30.8,31.2,1.55
2018,nuts/DEA19,30.5,30.9,1.62
2019,nuts/DEA19,30.9,31.4,1.58
2020,nuts/DEA19,30.8,31.4,1.6
2021,nuts/DEA19,31.1,31.6,1.61
2022,nuts/DEA19,30.9,31.6,1.46
2013,nuts/DEA1A,,30.1,
2014,nuts/DEA1A,30.5,30.6,1.48
2015,nuts/DEA1A,30.2,30.1,1.56
2016,nuts/DEA1A,30.2,30.2,1.64
2017,nuts/DEA1A,30.3,30.3,1.67
2018,nuts/DEA1A,30.3,30.4,1.64
2019,nuts/DEA1A,30.5,30.8,1.56
2020,nuts/DEA1A,30.7,31.1,1.57
2021,nuts/DEA1A,31.1,31.5,1.66
2022,nuts/DEA1A,30.7,30.9,1.53
2013,nuts/DEA1B,,30.7,
2014,nuts/DEA1B,30.5,30.7,1.47
2015,nuts/DEA1B,30.4,30.6,1.52
2016,nuts/DEA1B,30.6,30.7,1.65
2017,nuts/DEA1B,30.8,31.0,1.59
2018,nuts/DEA1B,30.8,30.9,1.59
2019,nuts/DEA1B,31.1,31.3,1.6
2020,nuts/DEA1B,31.2,31.5,1.56
2021,nuts/DEA1B,31.0,31.4,1.65
2022,nuts/DEA1B,31.2,31.7,1.51
2013,nuts/DEA1C,,31.4,
2014,nuts/DEA1C,30.8,31.3,1.6
2015,nuts/DEA1C,30.9,31.5,1.6
2016,nuts/DEA1C,31.0,31.6,1.73
2017,nuts/DEA1C,31.0,31.6,1.7
2018,nuts/DEA1C,31.2,31.9,1.66
2019,nuts/DEA1C,31.0,31.7,1.67
2020,nuts/DEA1C,31.4,32.1,1.61
2021,nuts/DEA1C,31.5,32.2,1.69
2022,nuts/DEA1C,31.5,32.3,1.54
2013,nuts/DEA1D,,31.7,
2014,nuts/DEA1D,31.3,32.0,1.57
2015,nuts/DEA1D,31.2,31.9,1.56
2016,nuts/DEA1D,31.2,31.9,1.69
2017,nuts/DEA1D,31.3,31.9,1.69
2018,nuts/DEA1D,31.4,32.2,1.69
2019,nuts/DEA1D,31.5,32.2,1.65
2020,nuts/DEA1D,31.6,32.4,1.68
2021,nuts/DEA1D,31.7,32.5,1.74
2022,nuts/DEA1D,31.8,32.6,1.55
2013,nuts/DEA1E,,31.3,
2014,nuts/DEA1E,30.6,31.1,1.47
2015,nuts/DEA1E,30.6,31.1,1.51
2016,nuts/DEA1E,30.6,31.1,1.6
2017,nuts/DEA1E,31.0,31.4,1.6
2018,nuts/DEA1E,30.8,31.3,1.64
2019,nuts/DEA1E,31.1,31.6,1.58
2020,nuts/DEA1E,31.2,31.7,1.55
2021,nuts/DEA1E,31.4,31.9,1.61
2022,nuts/DEA1E,31.4,32.0,1.42
2013,nuts/DEA1F,,30.7,
2014,nuts/DEA1F,30.7,31.1,1.45
2015,nuts/DEA1F,30.6,30.9,1.46
2016,nuts/DEA1F,30.7,31.0,1.62
2017,nuts/DEA1F,30.7,31.1,1.56
2018,nuts/DEA1F,31.1,31.6,1.58
2019,nuts/DEA1F,31.1,31.6,1.57
2020,nuts/DEA1F,31.1,31.7,1.51
2021,nuts/DEA1F,31.2,31.9,1.6
2022,nuts/DEA1F,31.1,31.8,1.49
2013,nuts/DEA2,31.1,31.5,1.38
2014,nuts/DEA2,31.3,31.6,1.46
2015,nuts/DEA2,31.4,31.7,1.48
2016,nuts/DEA2,31.3,31.6,1.58
2017,nuts/DEA2,31.4,31.7,1.53
2018,nuts/DEA2,31.6,31.9,1.55
2019,nuts/DEA2,31.7,32.0,1.5
2020,nuts/DEA2,31.8,32.1,1.48
2021,nuts/DEA2,32.0,32.3,1.53
2022,nuts/DEA2,31.9,32.3,1.41
2013,nuts/DEA22,,32.5,
2014,nuts/DEA22,32.5,32.5,1.42
2015,nuts/DEA22,32.6,32.6,1.43
2016,nuts/DEA22,32.3,32.4,1.5
2017,nuts/DEA22,32.3,32.4,1.4
2018,nuts/DEA22,32.6,32.7,1.43
2019,nuts/DEA22,32.9,32.9,1.37
2020,nuts/DEA22,33.0,32.9,1.32
2021,nuts/DEA22,33.1,33.0,1.36
2022,nuts/DEA22,33.2,33.0,1.24
2013,nuts/DEA23,,32.3,
2014,nuts/DEA23,32.0,32.3,1.36
2015,nuts/DEA23,32.1,32.4,1.38
2016,nuts/DEA23,32.0,32.4,1.45
2017,nuts/DEA23,32.2,32.5,1.41
2018,nuts/DEA23,32.3,32.6,1.38
2019,nuts/DEA23,32.4,32.7,1.34
2020,nuts/DEA23,32.6,32.8,1.28
2021,nuts/DEA23,32.8,33.0,1.36
2022,nuts/DEA23,32.7,32.9,1.2
2013,nuts/DEA24,,30.9,
2014,nuts/DEA24,30.7,31.1,1.54
2015,nuts/DEA24,30.4,30.8,1.64
2016,nuts/DEA24,31.0,31.4,1.61
2017,nuts/DEA24,30.6,31.0,1.62
2018,nuts/DEA24,31.0,31.5,1.68
2019,nuts/DEA24,30.9,31.4,1.65
2020,nuts/DEA24,30.9,31.3,1.66
2021,nuts/DEA24,31.1,31.5,1.67
2022,nuts/DEA24,31.3,31.9,1.49
2013,nuts/DEA26,,30.3,
2014,nuts/DEA26,30.3,30.5,1.54
2015,nuts/DEA26,30.2,30.4,1.56
2016,nuts/DEA26,30.3,30.5,1.72
2017,nuts/DEA26,30.5,30.7,1.7
2018,nuts/DEA26,30.6,30.9,1.7
2019,nuts/DEA26,30.7,31.1,1.71
2020,nuts/DEA26,30.9,31.3,1.72
2021,nuts/DEA26,31.0,31.5,1.74
2022,nuts/DEA26,30.9,31.5,1.65
2013,nuts/DEA27,,31.3,
2014,nuts/DEA27,30.8,31.3,1.61
2015,nuts/DEA27,30.9,31.4,1.59
2016,nuts/DEA27,30.8,31.4,1.73
2017,nuts/DEA27,31.0,31.7,1.68
2018,nuts/DEA27,31.2,31.7,1.74
2019,nuts/DEA27,31.3,31.9,1.65
2020,nuts/DEA27,31.4,32.1,1.64
2021,nuts/DEA27,31.6,32.3,1.72
2022,nuts/DEA27,31.5,32.2,1.58
