"NumPlaces","StatVar","ScalingFactors","MeasurementMethods","Units","MinDate","observationPeriods"
"49","SampleSize_Count_LiveBirthPregnancyEvent_EverBreastfed","[]","[]","[]","2016","[]"
"49","SampleSize_Count_LiveBirthPregnancyEvent_PrenatalCare_FirstTrimester","[]","[]","[]","2016","[]"
"48","ConfidenceIntervalUpperLimit_Percent_LiveBirthPregnancyEvent_Overweight_AsAFractionOf_Count_BirthEvent_LiveBirth","[]","[]","[]","2016","[]"
"49","Percent_LiveBirthPregnancyEvent_FluShot_12MonthsBeforeBirth_AsAFractionOf_Count_BirthEvent_LiveBirth","[100.0]","[]","[]","2016","[]"
"49","SampleSize_Count_LiveBirthPregnancyEvent_LongActingReversibleContraceptiveMethods","[]","[]","[]","2016","[]"
"49","Percent_LiveBirthPregnancyEvent_MaleOrFemaleSterilization_AsAFractionOf_Count_BirthEvent_LiveBirth","[100.0]","[]","[]","2016","[]"
"49","Percent_LiveBirthPregnancyEvent_Underweight_AsAFractionOf_Count_BirthEvent_LiveBirth","[100.0]","[]","[]","2016","[]"
"49","SampleSize_Count_LiveBirthPregnancyEvent_SelfReportedDepression_DuringPregnancy","[]","[]","[]","2016","[]"
"49","Percent_LiveBirthPregnancyEvent_UnwantedPregnancy_AsAFractionOf_Count_BirthEvent_LiveBirth","[100.0]","[]","[]","2016","[]"
"49","Percent_LiveBirthPregnancyEvent_PrenatalCare_FirstTrimester_AsAFractionOf_Count_BirthEvent_LiveBirth","[100.0]","[]","[]","2016","[]"
"49","SampleSize_Count_LiveBirthPregnancyEvent_ModeratelyEffectiveContraceptiveMethods","[]","[]","[]","2016","[]"
