place_name,dcid,placeId,name,alternateName,typeOf,containedInPlace
MX16069,wikidataId/Q18617030,,,,,
MX20251,wikidataId/Q4968464,,,,,
MX08020,wikidataId/Q2466522,,,,,
MX14032,wikidataId/Q2963900,,,,,
MX20514,wikidataId/Q6121353,,,,,
MX15010,wikidataId/Q228854,,,,,
MX12029,wikidataId/Q1997973,,,,,
MX30132,wikidataId/Q2816117,,,,,
MX15088,wikidataId/Q6032022,,,,,
MX15046,wikidataId/Q2129957,,,,,
MX09011,wikidataId/Q408181,,,,,
MX25011,wikidataId/Q2652343,,,,,
MX20289,wikidataId/Q7415015,,,,,
MX28004,wikidataId/Q3849800,,,,,
MX29044,wikidataId/Q20204908,,,,,
MX13049,wikidataId/Q3845454,,,,,
MX31092,wikidataId/Q2588020,,,,,
MX31037,wikidataId/Q2588050,,,,,
MX21150,wikidataId/Q5929197,,,,,
MX20157,wikidataId/Q1193686,,,,,
MX14057,wikidataId/Q3845830,,,,,
MX15056,wikidataId/Q3018336,,,,,
MX22011,wikidataId/Q2652454,,,,,
MX15025,wikidataId/Q1646652,,,,,
MX14036,wikidataId/Q2060173,,,,,
MX14074,wikidataId/Q3175306,,,,,
MX21076,wikidataId/Q5929401,,,,,
MX21155,wikidataId/Q4453845,,,,,
MX21032,wikidataId/Q3893128,,,,,
MX20179,wikidataId/Q395244,,,,,
MX20475,wikidataId/Q7420321,,,,,
MX30079,wikidataId/Q3888173,,,,,
MX29017,wikidataId/Q3890575,,,,,
MX20528,wikidataId/Q3888145,,,,,
MX08043,wikidataId/Q2990964,,,,,
MX09012,wikidataId/Q408187,,,,,
MX20256,wikidataId/Q3888642,,,,,
MX15054,wikidataId/Q2178664,,,,,
MX30040,wikidataId/Q2448176,,,,,
MX12053,wikidataId/Q3846828,,,,,
MX25003,wikidataId/Q13583603,,,,,
MX08012,wikidataId/Q15043366,,,,,
MX28019,wikidataId/Q2001158,,,,,
MX20358,wikidataId/Q3889217,,,,,
MX30211,wikidataId/Q18555530,,,,,
MX07056,wikidataId/Q1787613,,,,,
MX14066,wikidataId/Q3311224,,,,,
MX31020,wikidataId/Q2533073,,,,,
MX08036,wikidataId/Q2652254,,,,,
MX31044,wikidataId/Q2588104,,,,,
MX20440,wikidataId/Q4967316,,,,,
MX14088,wikidataId/Q3311923,,,,,
MX30172,wikidataId/Q3846377,,,,,
MX21061,wikidataId/Q5829881,,,,,
MX14004,wikidataId/Q1656282,,,,,
MX25012,wikidataId/Q2652458,,,,,
MX13061,wikidataId/Q4522761,,,,,
MX30133,wikidataId/Q2651933,,,,,
MX21213,wikidataId/Q3892170,,,,,
MX31096,wikidataId/Q2552028,,,,,
MX21074,wikidataId/Q546562,,,,,
MX20413,wikidataId/Q3893101,,,,,
MX08005,wikidataId/Q2990967,,,,,
MX21096,wikidataId/Q6798253,,,,,
MX20279,wikidataId/Q3892480,,,,,
MX28034,wikidataId/Q3849123,,,,,
MX16051,wikidataId/Q3888179,,,,,
MX05008,wikidataId/Q3846385,,,,,
MX15018,wikidataId/Q3300431,,,,,
MX13069,wikidataId/Q1939344,,,,,
MX31061,wikidataId/Q2466579,,,,,
MX07118,wikidataId/Q15104792,,,,,
MX16012,wikidataId/Q4985488,,,,,
MX21128,wikidataId/Q25411947,,,,,
MX20544,wikidataId/Q985841,,,,,
MX05025,wikidataId/Q3850532,,,,,
MX13030,wikidataId/Q1918590,,,,,
MX21120,wikidataId/Q7413310,,,,,
MX20258,wikidataId/Q3888554,,,,,
MX04003,wikidataId/Q2720137,,,,,
MX20145,wikidataId/Q12354868,,,,,
MX05032,wikidataId/Q430781,,,,,
MX20455,wikidataId/Q37914997,,,,,
MX20182,wikidataId/Q3892637,,,,,
MX28033,wikidataId/Q13422660,,,,,
MX14065,wikidataId/Q3311364,,,,,
MX20024,wikidataId/Q7930551,,,,,
MX08047,wikidataId/Q2656533,,,,,
MX12043,wikidataId/Q2878724,,,,,
MX31025,wikidataId/Q2576833,,,,,
MX20336,wikidataId/Q591107,,,,,
MX31014,wikidataId/Q2577445,,,,,
MX20152,wikidataId/Q3889160,,,,,
MX07108,wikidataId/Q20735271,,,,,
MX20222,wikidataId/Q10812445,,,,,
MX30157,wikidataId/Q5049945,,,,,
MX07015,wikidataId/Q1952906,,,,,
MX07061,wikidataId/Q1326704,,,,,
MX21190,wikidataId/Q7828388,,,,,
MX20223,wikidataId/Q3891002,,,,,
MX18020,wikidataId/Q2651943,,,,,
MX30109,wikidataId/Q20270899,,,,,
MX21129,wikidataId/Q7414526,,,,,
MX08035,wikidataId/Q1998799,,,,,
MX21173,wikidataId/Q6143595,,,,,
MX20559,wikidataId/Q3892200,,,,,
MX14017,wikidataId/Q2875055,,,,,
MX10029,wikidataId/Q3264811,,,,,
MX05031,wikidataId/Q3850549,,,,,
MX31043,wikidataId/Q2466571,,,,,
MX14046,wikidataId/Q3311336,,,,,
MX07023,wikidataId/Q280226,,,,,
MX14026,wikidataId/Q3311159,,,,,
MX22009,wikidataId/Q5925610,,,,,
MX27006,wikidataId/Q966750,,,,,
MX20103,wikidataId/Q3889178,,,,,
MX31066,wikidataId/Q776539,,,,,
MX30006,wikidataId/Q286349,,,,,
MX20105,wikidataId/Q3890503,,,,,
MX05036,wikidataId/Q3846423,,,,,
MX21114,wikidataId/Q7258412,,,,,
MX30083,wikidataId/Q3846681,,,,,
MX20080,wikidataId/Q5363812,,,,,
MX21167,wikidataId/Q5644730,,,,,
MX12012,wikidataId/Q4073765,,,,,
MX04007,wikidataId/Q2605317,,,,,
MX30041,wikidataId/Q3847083,,,,,
MX08046,wikidataId/Q2466550,,,,,
MX20510,wikidataId/Q3891770,,,,,
MX20160,wikidataId/Q44452101,,,,,
MX20307,wikidataId/Q3889191,,,,,
MX30093,wikidataId/Q5931073,,,,,
MX15087,wikidataId/Q3846284,,,,,
MX17009,wikidataId/Q17634353,,,,,
MX12071,wikidataId/Q18417583,,,,,
MX29047,wikidataId/Q6710821,,,,,
MX08063,wikidataId/Q2652333,,,,,
MX28025,wikidataId/Q583061,,,,,
MX11039,wikidataId/Q4451992,,,,,
MX06010,wikidataId/Q12221222,,,,,
MX20543,wikidataId/Q3890430,,,,,
MX08038,wikidataId/Q2656539,,,,,
MX21035,wikidataId/Q8351454,,,,,
MX07114,wikidataId/Q1952882,,,,,
MX20144,wikidataId/Q3888158,,,,,
MX14073,wikidataId/Q20143803,,,,,
MX14052,wikidataId/Q3311263,,,,,
MX07123,wikidataId/Q14630115,,,,,
MX14108,wikidataId/Q20126139,,,,,
MX11024,wikidataId/Q2651165,,,,,
MX02003,wikidataId/Q2320825,,,,,
MX20507,wikidataId/Q3890481,,,,,
MX30067,wikidataId/Q13138788,,,,,
MX31084,wikidataId/Q2588006,,,,,
MX20091,wikidataId/Q1193971,,,,,
MX07053,wikidataId/Q1953050,,,,,
MX15080,wikidataId/Q2133685,,,,,
MX14030,wikidataId/Q5260647,,,,,
MX28012,wikidataId/Q2001224,,,,,
MX21201,wikidataId/Q6169302,,,,,
MX29058,wikidataId/Q7419280,,,,,
MX20457,wikidataId/Q3889996,,,,,
MX14039,wikidataId/Q9022,,,,,
MX13041,wikidataId/Q3846413,,,,,
MX07051,wikidataId/Q1953044,,,,,
MX20299,wikidataId/Q4966991,,,,,
MX20147,wikidataId/Q3888620,,,,,
MX20219,wikidataId/Q3889548,,,,,
MX30155,wikidataId/Q17090231,,,,,
MX21185,wikidataId/Q7810715,,,,,
MX14056,wikidataId/Q15275235,,,,,
MX20388,wikidataId/Q6645089,,,,,
MX08042,wikidataId/Q2652280,,,,,
MX15012,wikidataId/Q3409383,,,,,
MX08029,wikidataId/Q2997096,,,,,
MX07044,wikidataId/Q1295837,,,,,
MX30082,wikidataId/Q3846842,,,,,
MX05033,wikidataId/Q3849657,,,,,
MX31026,wikidataId/Q2466529,,,,,
MX15065,wikidataId/Q2641440,,,,,
MX20474,wikidataId/Q3892035,,,,,
MX20472,wikidataId/Q3892444,,,,,
MX13079,wikidataId/Q3845469,,,,,
MX13048,wikidataId/Q1370932,,,,,
MX12036,wikidataId/Q5913732,,,,,
MX07119,wikidataId/Q3287586,,,,,
MX12045,wikidataId/Q3851157,,,,,
MX20293,wikidataId/Q27797283,,,,,
MX29008,wikidataId/Q5191854,,,,,
MX19049,wikidataId/Q9044350,,,,,
MX20321,wikidataId/Q3052294,,,,,
MX30090,wikidataId/Q20270890,,,,,
MX21130,wikidataId/Q7414556,,,,,
MX16013,wikidataId/Q5784494,,,,,
MX20527,wikidataId/Q3887656,,,,,
MX09014,wikidataId/Q2356998,,,,,
MX30139,wikidataId/Q3846597,,,,,
MX07030,wikidataId/Q976886,,,,,
MX20506,wikidataId/Q3890495,,,,,
MX15048,wikidataId/Q3241862,,,,,
MX30127,wikidataId/Q6464363,,,,,
MX20006,wikidataId/Q13362647,,,,,
MX14012,wikidataId/Q2868961,,,,,
MX20170,wikidataId/Q10812426,,,,,
MX20267,wikidataId/Q985546,,,,,
MX15112,wikidataId/Q924096,,,,,
MX13007,wikidataId/Q27796635,,,,,
MX21060,wikidataId/Q5290343,,,,,
MX20139,wikidataId/Q4967249,,,,,
MX30019,wikidataId/Q513993,,,,,
MX15063,wikidataId/Q3308528,,,,,
MX16002,wikidataId/Q3846395,,,,,
MX20407,wikidataId/Q2448360,,,,,
MX20099,wikidataId/Q3889540,,,,,
MX19039,wikidataId/Q6905368,,,,,
MX07115,wikidataId/Q1477420,,,,,
MX15103,wikidataId/Q20204311,,,,,
MX20017,wikidataId/Q5962962,,,,,
MX30029,wikidataId/Q3892704,,,,,
MX15030,wikidataId/Q3322822,,,,,
MX14089,wikidataId/Q3175330,,,,,
MX01003,wikidataId/Q2656541,,,,,
MX20316,wikidataId/Q3890993,,,,,
MX07080,wikidataId/Q1953202,,,,,
MX30088,wikidataId/Q3845106,,,,,
MX29025,wikidataId/Q2194123,,,,,
MX20426,wikidataId/Q54351089,,,,,
MX21132,wikidataId/Q7336441,,,,,
MX20118,wikidataId/Q3846986,,,,,
MX21203,wikidataId/Q8044888,,,,,
MX03008,wikidataId/Q659516,,,,,
MX15073,wikidataId/Q3844542,,,,,
MX32006,wikidataId/Q2991093,,,,,
MX20503,wikidataId/Q3890642,,,,,
MX12038,wikidataId/Q2448120,,,,,
MX25015,wikidataId/Q2302635,,,,,
MX20292,wikidataId/Q3846959,,,,,
MX20209,wikidataId/Q3888633,,,,,
MX30050,wikidataId/Q5179968,,,,,
MX30118,wikidataId/Q20270903,,,,,
MX30098,wikidataId/Q2000139,,,,,
MX13029,wikidataId/Q2475111,,,,,
MX20093,wikidataId/Q3888796,,,,,
MX32007,wikidataId/Q1919318,,,,,
MX21007,wikidataId/Q1998734,,,,,
MX20046,wikidataId/Q3889124,,,,,
MX13064,wikidataId/Q3844677,,,,,
MX20203,wikidataId/Q4967343,,,,,
MX07046,wikidataId/Q1953009,,,,,
MX12004,wikidataId/Q2434384,,,,,
MX16093,wikidataId/Q2605379,,,,,
MX14082,wikidataId/Q3311403,,,,,
MX07008,wikidataId/Q1953286,,,,,
MX20253,wikidataId/Q4969037,,,,,
MX15028,wikidataId/Q2630452,,,,,
MX15013,wikidataId/Q749761,,,,,
MX20530,wikidataId/Q3888678,,,,,
MX13076,wikidataId/Q1353133,,,,,
MX16001,wikidataId/Q3846405,,,,,
MX20532,wikidataId/Q3889091,,,,,
MX20449,wikidataId/Q3888750,,,,,
MX12066,wikidataId/Q3850424,,,,,
MX08059,wikidataId/Q2606328,,,,,
MX31090,wikidataId/Q2588085,,,,,
MX14116,wikidataId/Q3844956,,,,,
MX16103,wikidataId/Q9045650,,,,,
MX14054,wikidataId/Q3846815,,,,,
MX20120,wikidataId/Q2448234,,,,,
MX07017,wikidataId/Q4420431,,,,,
MX24042,wikidataId/Q3845846,,,,,
MX14019,wikidataId/Q2656955,,,,,
MX21125,wikidataId/Q7414271,,,,,
MX22003,wikidataId/Q3848908,,,,,
MX11015,wikidataId/Q16334261,,,,,
MX13034,wikidataId/Q3845465,,,,,
MX20020,wikidataId/Q5163604,,,,,
MX15035,wikidataId/Q2257030,,,,,
MX29002,wikidataId/Q3846695,,,,,
MX08010,wikidataId/Q2656434,,,,,
MX03003,wikidataId/Q1861497,,,,,
MX20319,wikidataId/Q3891704,,,,,
MX20367,wikidataId/Q3891536,,,,,
MX09005,wikidataId/Q2027082,,,,,
MX14103,wikidataId/Q3175276,,,,,
MX14086,wikidataId/Q20291006,,,,,
MX20447,wikidataId/Q3888134,,,,,
MX21051,wikidataId/Q4518485,,,,,
MX07034,wikidataId/Q651153,,,,,
MX22006,wikidataId/Q1962054,,,,,
MX30054,wikidataId/Q3847197,,,,,
MX31027,wikidataId/Q2466047,,,,,
MX21109,wikidataId/Q2997118,,,,,
MX14087,wikidataId/Q2200016,,,,,
MX17018,wikidataId/Q602729,,,,,
MX30027,wikidataId/Q4888100,,,,,
MX20009,wikidataId/Q556236,,,,,
MX31063,wikidataId/Q2588196,,,,,
MX20505,wikidataId/Q39706674,,,,,
MX06006,wikidataId/Q11684160,,,,,
MX12034,wikidataId/Q2651789,,,,,
MX09013,wikidataId/Q643026,,,,,
MX21108,wikidataId/Q4337295,,,,,
MX13013,wikidataId/Q29043564,,,,,
MX20257,wikidataId/Q3888190,,,,,
MX30179,wikidataId/Q3845817,,,,,
MX12081,wikidataId/Q4200040,,,,,
MX14101,wikidataId/Q2677554,,,,,
MX16031,wikidataId/Q12347103,,,,,
MX20102,wikidataId/Q1656545,,,,,
MX20519,wikidataId/Q3893668,,,,,
MX30110,wikidataId/Q3846974,,,,,
MX20302,wikidataId/Q3888183,,,,,
MX16057,wikidataId/Q6044290,,,,,
MX20057,wikidataId/Q27899271,,,,,
MX16064,wikidataId/Q2651384,,,,,
MX30169,wikidataId/Q3846732,,,,,
MX29029,wikidataId/Q3892089,,,,,
MX07001,wikidataId/Q1267557,,,,,
MX31017,wikidataId/Q2577482,,,,,
MX31056,wikidataId/Q2990961,,,,,
MX11007,wikidataId/Q668273,,,,,
MX23002,wikidataId/Q1660454,,,,,
MX31004,wikidataId/Q2575651,,,,,
MX13003,wikidataId/Q3827542,,,,,
MX21142,wikidataId/Q2836432,,,,,
MX21009,wikidataId/Q1998679,,,,,
MX14077,wikidataId/Q7414884,,,,,
MX31010,wikidataId/Q2575621,,,,,
MX15004,wikidataId/Q2429880,,,,,
MX31054,wikidataId/Q3293965,,,,,
MX27013,wikidataId/Q2669498,,,,,
MX05038,wikidataId/Q3844606,,,,,
MX30200,wikidataId/Q3890546,,,,,
MX20396,wikidataId/Q3888739,,,,,
MX15069,wikidataId/Q3308488,,,,,
MX13012,wikidataId/Q20241220,,,,,
MX05011,wikidataId/Q3844644,,,,,
MX20238,wikidataId/Q7414890,,,,,
MX11029,wikidataId/Q16628318,,,,,
MX07052,wikidataId/Q1480206,,,,,
MX28017,wikidataId/Q3849821,,,,,
MX10010,wikidataId/Q2123554,,,,,
MX15002,wikidataId/Q1862947,,,,,
MX20275,wikidataId/Q3891682,,,,,
MX15118,wikidataId/Q1962165,,,,,
MX20171,wikidataId/Q720805,,,,,
MX30048,wikidataId/Q534620,,,,,
MX11033,wikidataId/Q18419347,,,,,
MX18002,wikidataId/Q2651609,,,,,
MX20115,wikidataId/Q3891277,,,,,
MX11006,wikidataId/Q2651750,,,,,
MX13044,wikidataId/Q3845475,,,,,
MX20524,wikidataId/Q4967241,,,,,
MX20323,wikidataId/Q3892500,,,,,
MX12024,wikidataId/Q3888087,,,,,
MX31082,wikidataId/Q2669527,,,,,
MX07069,wikidataId/Q651163,,,,,
MX20490,wikidataId/Q3888656,,,,,
MX07086,wikidataId/Q2005066,,,,,
MX16011,wikidataId/Q10741338,,,,,
MX20498,wikidataId/Q3889983,,,,,
MX30138,wikidataId/Q2179073,,,,,
MX21168,wikidataId/Q10824503,,,,,
MX20508,wikidataId/Q3891421,,,,,
MX30208,wikidataId/Q3892135,,,,,
MX23003,wikidataId/Q927815,,,,,
MX11041,wikidataId/Q20209208,,,,,
MX20220,wikidataId/Q3890899,,,,,
MX08039,wikidataId/Q2606341,,,,,
MX31050,wikidataId/Q2651972,,,,,
MX20478,wikidataId/Q3892934,,,,,
MX28011,wikidataId/Q3846365,,,,,
MX07071,wikidataId/Q1746022,,,,,
MX07014,wikidataId/Q1784079,,,,,
MX04002,wikidataId/Q2541946,,,,,
MX20556,wikidataId/Q3891430,,,,,
MX19051,wikidataId/Q10832632,,,,,
MX21042,wikidataId/Q5138674,,,,,
MX24048,wikidataId/Q3849488,,,,,
MX15037,wikidataId/Q2271761,,,,,
MX21107,wikidataId/Q1997963,,,,,
MX30144,wikidataId/Q3846500,,,,,
MX20417,wikidataId/Q3891011,,,,,
MX09004,wikidataId/Q762749,,,,,
MX20526,wikidataId/Q7420638,,,,,
MX11012,wikidataId/Q20209181,,,,,
MX21053,wikidataId/Q2984119,,,,,
MX14081,wikidataId/Q2991008,,,,,
MX31095,wikidataId/Q2588192,,,,,
MX30205,wikidataId/Q4261862,,,,,
MX15051,wikidataId/Q1962179,,,,,
MX16006,wikidataId/Q16488617,,,,,
MX31077,wikidataId/Q2591037,,,,,
MX08011,wikidataId/Q2652276,,,,,
MX21163,wikidataId/Q6142090,,,,,
MX20016,wikidataId/Q5141448,,,,,
MX30036,wikidataId/Q3847292,,,,,
MX20387,wikidataId/Q7419600,,,,,
MX20042,wikidataId/Q17092778,,,,,
MX12040,wikidataId/Q2652080,,,,,
MX03001,wikidataId/Q162422,,,,,
MX18012,wikidataId/Q5482273,,,,,
MX20078,wikidataId/Q4358462,,,,,
MX21100,wikidataId/Q2614078,,,,,
MX12019,wikidataId/Q5168294,,,,,
MX31083,wikidataId/Q2588176,,,,,
MX20502,wikidataId/Q942478,,,,,
MX21118,wikidataId/Q6683220,,,,,
MX10009,wikidataId/Q5613554,,,,,
MX07097,wikidataId/Q2636407,,,,,
MX13015,wikidataId/Q3844672,,,,,
MX21087,wikidataId/Q3891543,,,,,
MX13051,wikidataId/Q3770181,,,,,
MX24043,wikidataId/Q3849521,,,,,
MX30105,wikidataId/Q2541899,,,,,
MX07063,wikidataId/Q2550915,,,,,
MX11038,wikidataId/Q20209205,,,,,
MX26047,wikidataId/Q1284079,,,,,
MX20195,wikidataId/Q4967397,,,,,
MX31085,wikidataId/Q2977927,,,,,
MX20405,wikidataId/Q7419747,,,,,
MX20437,wikidataId/Q13422509,,,,,
MX29006,wikidataId/Q2250217,,,,,
MX16066,wikidataId/Q13422884,,,,,
MX07066,wikidataId/Q1953087,,,,,
MX20357,wikidataId/Q3889060,,,,,
MX27017,wikidataId/Q3850309,,,,,
MX14021,wikidataId/Q3310777,,,,,
MX20180,wikidataId/Q3846578,,,,,
MX07019,wikidataId/Q936995,,,,,
MX20368,wikidataId/Q3891263,,,,,
MX13047,wikidataId/Q3887827,,,,,
MX10021,wikidataId/Q2833503,,,,,
MX15070,wikidataId/Q2276224,,,,,
MX22013,wikidataId/Q3845591,,,,,
MX07076,wikidataId/Q25479854,,,,,
MX20485,wikidataId/Q65239867,,,,,
MX10033,wikidataId/Q3383088,,,,,
MX31055,wikidataId/Q3293971,,,,,
MX30122,wikidataId/Q3846775,,,,,
MX07096,wikidataId/Q1953228,,,,,
MX11040,wikidataId/Q2448101,,,,,
MX29033,wikidataId/Q6147713,,,,,wikidataId/Q60130
MX31047,wikidataId/Q2000512,,,,,
MX20012,wikidataId/Q5747319,,,,,
MX21082,wikidataId/Q5923615,,,,,
MX16043,wikidataId/Q2446759,,,,,
MX31028,wikidataId/Q2577531,,,,,
MX15043,wikidataId/Q3019415,,,,,
MX21039,wikidataId/Q5191896,,,,,
MX14071,wikidataId/Q3175243,,,,,
MX30084,wikidataId/Q3846632,,,,,
MX32051,wikidataId/Q4111402,,,,,
MX10018,wikidataId/Q2749781,,,,,
MX07075,wikidataId/Q1687857,,,,,
MX28020,wikidataId/Q1997488,,,,,
MX08049,wikidataId/Q2997108,,,,,
MX20200,wikidataId/Q3038784,,,,,
MX24020,wikidataId/Q20260131,,,,,
MX16024,wikidataId/Q2962825,,,,,
MX21033,wikidataId/Q5141439,,,,,
MX21029,wikidataId/Q5055255,,,,,
MX01010,wikidataId/Q2474668,,,,,
MX14023,wikidataId/Q1827286,,,,,
MX21194,wikidataId/Q7920662,,,,,
MX09006,wikidataId/Q953866,,,,,
MX30025,wikidataId/Q3847133,,,,,
MX30080,wikidataId/Q3846759,,,,,
MX31023,wikidataId/Q2576853,,,,,
MX15119,wikidataId/Q3023643,,,,,
MX30003,wikidataId/Q11150581,,,,,
MX15092,wikidataId/Q3844591,,,,,
MX18008,wikidataId/Q2449144,,,,,
MX21098,wikidataId/Q6020844,,,,,
MX12076,wikidataId/Q4672180,,,,,
MX04005,wikidataId/Q2284273,,,,,
MX20491,wikidataId/Q66132421,,,,,
MX21056,wikidataId/Q5097553,,,,,
MX27015,wikidataId/Q2669523,,,,,
MX30129,wikidataId/Q7202870,,,,,
MX20019,wikidataId/Q10862721,,,,,
MX29046,wikidataId/Q5371734,,,,,
MX31099,wikidataId/Q2591022,,,,,
MX32047,wikidataId/Q2449130,,,,,
MX15039,wikidataId/Q1130484,,,,,
MX31101,wikidataId/Q2657285,,,,,
MX08037,wikidataId/Q2557122,,,,,
MX20088,wikidataId/Q3888577,,,,,
MX30152,wikidataId/Q17090205,,,,,
MX29034,wikidataId/Q1998094,,,,,
MX30166,wikidataId/Q3845944,,,,,
MX25010,wikidataId/Q2323234,,,,,
MX11009,wikidataId/Q20209177,,,,,
MX21196,wikidataId/Q10834762,,,,,
MX30007,wikidataId/Q5024980,,,,,
MX07081,wikidataId/Q1378258,,,,,
MX16044,wikidataId/Q20290689,,,,,
MX14028,wikidataId/Q3282364,,,,,
MX21058,wikidataId/Q5097637,,,,,
MX20443,wikidataId/Q985770,,,,,
MX30177,wikidataId/Q3845768,,,,,
MX20424,wikidataId/Q3891741,,,,,
MX31072,wikidataId/Q2588127,,,,,
MX20155,wikidataId/Q12354870,,,,,
MX17028,wikidataId/Q2301283,,,,,
MX18003,wikidataId/Q2651624,,,,,
MX21166,wikidataId/Q7701270,,,,,
MX16045,wikidataId/Q2333867,,,,,
MX30049,wikidataId/Q13393188,,,,,
MX21135,wikidataId/Q7414965,,,,,
MX21184,wikidataId/Q7810712,,,,,
MX20094,wikidataId/Q3889074,,,,,
MX21065,wikidataId/Q5531906,,,,,
MX11026,wikidataId/Q20209193,,,,,
MX08015,wikidataId/Q3308551,,,,,
MX14121,wikidataId/Q3505248,,,,,
MX30158,wikidataId/Q20270909,,,,,
MX30111,wikidataId/Q3846826,,,,,
MX27003,wikidataId/Q2991336,,,,,
MX14016,wikidataId/Q3310832,,,,,
MX21002,wikidataId/Q1998759,,,,,
MX09010,wikidataId/Q14906254,,,,,
MX31104,wikidataId/Q2576158,,,,,
MX30075,wikidataId/Q5913660,,,,,
MX20208,wikidataId/Q10812443,,,,,
MX20014,wikidataId/Q5770638,,,,,
MX21003,wikidataId/Q9035926,,,,,
MX13080,wikidataId/Q3844619,,,,,
MX17004,wikidataId/Q17330905,,,,,
MX20356,wikidataId/Q7419180,,,,,
MX30051,wikidataId/Q3847216,,,,,
MX19008,wikidataId/Q3850267,,,,,
MX20137,wikidataId/Q10812415,,,,,
MX20205,wikidataId/Q3888107,,,,,
MX09009,wikidataId/Q936087,,,,,
MX20300,wikidataId/Q3887697,,,,,
MX07124,wikidataId/Q14902858,,,,,
MX06002,wikidataId/Q1998847,,,,,
MX20487,wikidataId/Q4967884,,,,,
MX19004,wikidataId/Q3849905,,,,,
MX13070,wikidataId/Q3844546,,,,,
MX31046,wikidataId/Q2588150,,,,,
MX21031,wikidataId/Q5138665,,,,,
MX20232,wikidataId/Q2448392,,,,,
MX20186,wikidataId/Q3892466,,,,,
MX28035,wikidataId/Q5558095,,,,,
MX30145,wikidataId/Q7553061,,,,,
MX30055,wikidataId/Q4936711,,,,,
MX13083,wikidataId/Q3845508,,,,,
MX07045,wikidataId/Q522315,,,,,
MX16029,wikidataId/Q3894955,,,,,
MX29048,wikidataId/Q6463604,,,,,
MX29050,wikidataId/Q6118769,,,,,
MX20114,wikidataId/Q3891761,,,,,
MX20419,wikidataId/Q282998,,,,,
MX20341,wikidataId/Q4967352,,,,,
MX07010,wikidataId/Q1507960,,,,,
MX10006,wikidataId/Q2913813,,,,,
MX15121,wikidataId/Q4406321,,,,,
MX31057,wikidataId/Q2669285,,,,,
MX20101,wikidataId/Q3890012,,,,,
MX13016,wikidataId/Q3845490,,,,,
MX21052,wikidataId/Q5097216,,,,,
MX07091,wikidataId/Q1785646,,,,,
MX30115,wikidataId/Q7047441,,,,,
MX07077,wikidataId/Q1953149,,,,,
MX29027,wikidataId/Q3890858,,,,,
MX07035,wikidataId/Q951899,,,,,
MX20079,wikidataId/Q4405835,,,,,
MX05022,wikidataId/Q2651845,,,,,
MX14018,wikidataId/Q568688,,,,,
MX15023,wikidataId/Q2256977,,,,,
MX08008,wikidataId/Q2466612,,,,,
MX05015,wikidataId/Q3844624,,,,,
MX21004,wikidataId/Q1998719,,,,,
MX21027,wikidataId/Q3893089,,,,,
MX15036,wikidataId/Q1477293,,,,,
MX29037,wikidataId/Q3892909,,,,,
MX20111,wikidataId/Q3891513,,,,,
MX20037,wikidataId/Q4843615,,,,,
MX21048,wikidataId/Q5095282,,,,,
MX14035,wikidataId/Q3311368,,,,,
MX13035,wikidataId/Q20125231,,,,,
MX06007,wikidataId/Q2991108,,,,,
MX21148,wikidataId/Q7419625,,,,,
MX22017,wikidataId/Q5265151,,,,,
MX32037,wikidataId/Q1998803,,,,,
MX13036,wikidataId/Q3845529,,,,,
MX21113,wikidataId/Q6030922,,,,,
MX13028,wikidataId/Q10857816,,,,,
MX20249,wikidataId/Q7414925,,,,,
MX20075,wikidataId/Q617157,,,,,
MX21066,wikidataId/Q5613245,,,,,
MX20216,wikidataId/Q10812444,,,,,
MX31015,wikidataId/Q2669255,,,,,
MX20048,wikidataId/Q3305435,,,,,
MX10039,wikidataId/Q3017725,,,,,
MX20201,wikidataId/Q7414596,,,,,
MX20471,wikidataId/Q3892222,,,,,
MX20327,wikidataId/Q3892459,,,,,
MX14105,wikidataId/Q3175253,,,,,
MX13045,wikidataId/Q3844579,,,,,
MX15095,wikidataId/Q2271224,,,,,
MX31001,wikidataId/Q2991303,,,,,
MX14005,wikidataId/Q2841366,,,,,
MX07070,wikidataId/Q3288000,,,,,
MX16082,wikidataId/Q1915254,,,,,
MX30099,wikidataId/Q3846941,,,,,
MX30182,wikidataId/Q3845093,,,,,
MX28007,wikidataId/Q3845876,,,,,
MX30150,wikidataId/Q3846458,,,,,
MX21026,wikidataId/Q3893123,,,,,
MX11044,wikidataId/Q20209212,,,,,
MX20400,wikidataId/Q7419745,,,,,
MX11021,wikidataId/Q20209191,,,,,
MX07116,wikidataId/Q1179985,,,,,
MX20106,wikidataId/Q3890971,,,,,
MX22008,wikidataId/Q5935108,,,,,
MX21112,wikidataId/Q3893251,,,,,
MX13039,wikidataId/Q2391626,,,,,
MX16096,wikidataId/Q3847185,,,,,
MX12026,wikidataId/Q3845740,,,,,
MX28026,wikidataId/Q3849459,,,,,
MX20529,wikidataId/Q10818220,,,,,
MX22005,wikidataId/Q4936662,,,,,
MX25001,wikidataId/Q2015779,,,,,
MX31012,wikidataId/Q2575695,,,,,
MX12054,wikidataId/Q1997733,,,,,
MX06001,wikidataId/Q686374,,,,,
MX21154,wikidataId/Q7692099,,,,,
MX30126,wikidataId/Q20270905,,,,,
MX14014,wikidataId/Q20290431,,,,,
MX30071,wikidataId/Q2448188,,,,,
MX21041,wikidataId/Q1998658,,,,,
MX06005,wikidataId/Q2533348,,,,,
MX20533,wikidataId/Q3889106,,,,,
