State,Year,Month,Period,Indicator,Data Value
ALABAMA,2023,August,Monthly,Number of Deaths,4920
ALASKA,2023,August,Monthly,Number of Deaths,456
ARIZONA,2023,August,Monthly,Number of Deaths,5515
ARKANSAS,2023,August,Monthly,Number of Deaths,2889
CALIFORNIA,2023,August,Monthly,Number of Deaths,23449
COLORADO,2023,August,Monthly,Number of Deaths,3686
CONNECTICUT,2023,August,Monthly,Number of Deaths,2611
DELAWARE,2023,August,Monthly,Number of Deaths,796
DISTRICT OF COLUMBIA,2023,August,Monthly,Number of Deaths,422
FLORIDA,2023,August,Monthly,Number of Deaths,18968
GEORGIA,2023,August,Monthly,Number of Deaths,8223
HAWAII,2023,August,Monthly,Number of Deaths,1178
IDAHO,2023,August,Monthly,Number of Deaths,1371
ILLINOIS,2023,August,Monthly,Number of Deaths,9029
INDIANA,2023,August,Monthly,Number of Deaths,5634
IOWA,2023,August,Monthly,Number of Deaths,2589
KANSAS,2023,August,Monthly,Number of Deaths,2819
KENTUCKY,2023,August,Monthly,Number of Deaths,4167
LOUISIANA,2023,August,Monthly,Number of Deaths,4070
MAINE,2023,August,Monthly,Number of Deaths,1376
MARYLAND,2023,August,Monthly,Number of Deaths,4412
MASSACHUSETTS,2023,August,Monthly,Number of Deaths,4957
MICHIGAN,2023,August,Monthly,Number of Deaths,8344
MINNESOTA,2023,August,Monthly,Number of Deaths,3899
MISSISSIPPI,2023,August,Monthly,Number of Deaths,2970
MISSOURI,2023,August,Monthly,Number of Deaths,5367
MONTANA,2023,August,Monthly,Number of Deaths,848
NEBRASKA,2023,August,Monthly,Number of Deaths,1544
NEVADA,2023,August,Monthly,Number of Deaths,2383
NEW HAMPSHIRE,2023,August,Monthly,Number of Deaths,1134
NEW JERSEY,2023,August,Monthly,Number of Deaths,6062
NEW MEXICO,2023,August,Monthly,Number of Deaths,1802
NEW YORK,2023,August,Monthly,Number of Deaths,13002
NORTH CAROLINA,2023,August,Monthly,Number of Deaths,8748
NORTH DAKOTA,2023,August,Monthly,Number of Deaths,572
OHIO,2023,August,Monthly,Number of Deaths,10021
OKLAHOMA,2023,August,Monthly,Number of Deaths,3551
OREGON,2023,August,Monthly,Number of Deaths,3381
PENNSYLVANIA,2023,August,Monthly,Number of Deaths,10765
RHODE ISLAND,2023,August,Monthly,Number of Deaths,747
SOUTH CAROLINA,2023,August,Monthly,Number of Deaths,4656
SOUTH DAKOTA,2023,August,Monthly,Number of Deaths,723
TENNESSEE,2023,August,Monthly,Number of Deaths,6456
TEXAS,2023,August,Monthly,Number of Deaths,18905
UTAH,2023,August,Monthly,Number of Deaths,1732
VERMONT,2023,August,Monthly,Number of Deaths,567
VIRGINIA,2023,August,Monthly,Number of Deaths,6371
WASHINGTON,2023,August,Monthly,Number of Deaths,5293
WEST VIRGINIA,2023,August,Monthly,Number of Deaths,1996
WISCONSIN,2023,August,Monthly,Number of Deaths,4622
WYOMING,2023,August,Monthly,Number of Deaths,476
PUERTO RICO,2023,August,Monthly,Number of Deaths,2842
ALABAMA,2023,September,Monthly,Number of Deaths,4653
ALASKA,2023,September,Monthly,Number of Deaths,484
ARIZONA,2023,September,Monthly,Number of Deaths,5189
ARKANSAS,2023,September,Monthly,Number of Deaths,2921
CALIFORNIA,2023,September,Monthly,Number of Deaths,22795
COLORADO,2023,September,Monthly,Number of Deaths,3637
CONNECTICUT,2023,September,Monthly,Number of Deaths,2609
DELAWARE,2023,September,Monthly,Number of Deaths,834
DISTRICT OF COLUMBIA,2023,September,Monthly,Number of Deaths,423
FLORIDA,2023,September,Monthly,Number of Deaths,18199
GEORGIA,2023,September,Monthly,Number of Deaths,7620
HAWAII,2023,September,Monthly,Number of Deaths,966
IDAHO,2023,September,Monthly,Number of Deaths,1303
ILLINOIS,2023,September,Monthly,Number of Deaths,9054
INDIANA,2023,September,Monthly,Number of Deaths,5573
IOWA,2023,September,Monthly,Number of Deaths,2535
KANSAS,2023,September,Monthly,Number of Deaths,2910
KENTUCKY,2023,September,Monthly,Number of Deaths,4121
LOUISIANA,2023,September,Monthly,Number of Deaths,3970
MAINE,2023,September,Monthly,Number of Deaths,1318
MARYLAND,2023,September,Monthly,Number of Deaths,4203
MASSACHUSETTS,2023,September,Monthly,Number of Deaths,4837
MICHIGAN,2023,September,Monthly,Number of Deaths,8206
MINNESOTA,2023,September,Monthly,Number of Deaths,3907
MISSISSIPPI,2023,September,Monthly,Number of Deaths,2835
MISSOURI,2023,September,Monthly,Number of Deaths,5283
MONTANA,2023,September,Monthly,Number of Deaths,909
NEBRASKA,2023,September,Monthly,Number of Deaths,1422
NEVADA,2023,September,Monthly,Number of Deaths,2232
NEW HAMPSHIRE,2023,September,Monthly,Number of Deaths,1126
NEW JERSEY,2023,September,Monthly,Number of Deaths,5850
NEW MEXICO,2023,September,Monthly,Number of Deaths,1685
NEW YORK,2023,September,Monthly,Number of Deaths,12676
NORTH CAROLINA,2023,September,Monthly,Number of Deaths,8693
NORTH DAKOTA,2023,September,Monthly,Number of Deaths,530
OHIO,2023,September,Monthly,Number of Deaths,10222
OKLAHOMA,2023,September,Monthly,Number of Deaths,3483
OREGON,2023,September,Monthly,Number of Deaths,3432
PENNSYLVANIA,2023,September,Monthly,Number of Deaths,10689
RHODE ISLAND,2023,September,Monthly,Number of Deaths,853
SOUTH CAROLINA,2023,September,Monthly,Number of Deaths,4686
SOUTH DAKOTA,2023,September,Monthly,Number of Deaths,709
TENNESSEE,2023,September,Monthly,Number of Deaths,6560
TEXAS,2023,September,Monthly,Number of Deaths,18212
UTAH,2023,September,Monthly,Number of Deaths,1734
VERMONT,2023,September,Monthly,Number of Deaths,557
VIRGINIA,2023,September,Monthly,Number of Deaths,6134
WASHINGTON,2023,September,Monthly,Number of Deaths,5309
WEST VIRGINIA,2023,September,Monthly,Number of Deaths,1893
WISCONSIN,2023,September,Monthly,Number of Deaths,4513
WYOMING,2023,September,Monthly,Number of Deaths,425
PUERTO RICO,2023,September,Monthly,Number of Deaths,2795
ALABAMA,2023,October,Monthly,Number of Deaths,4765
ALASKA,2023,October,Monthly,Number of Deaths,463
ARIZONA,2023,October,Monthly,Number of Deaths,5595
ARKANSAS,2023,October,Monthly,Number of Deaths,3042
CALIFORNIA,2023,October,Monthly,Number of Deaths,23858
COLORADO,2023,October,Monthly,Number of Deaths,3864
CONNECTICUT,2023,October,Monthly,Number of Deaths,2841
DELAWARE,2023,October,Monthly,Number of Deaths,893
DISTRICT OF COLUMBIA,2023,October,Monthly,Number of Deaths,434
FLORIDA,2023,October,Monthly,Number of Deaths,18703
GEORGIA,2023,October,Monthly,Number of Deaths,7946
HAWAII,2023,October,Monthly,Number of Deaths,1003
IDAHO,2023,October,Monthly,Number of Deaths,1412
ILLINOIS,2023,October,Monthly,Number of Deaths,9378
INDIANA,2023,October,Monthly,Number of Deaths,5900
IOWA,2023,October,Monthly,Number of Deaths,2687
KANSAS,2023,October,Monthly,Number of Deaths,2994
KENTUCKY,2023,October,Monthly,Number of Deaths,4456
LOUISIANA,2023,October,Monthly,Number of Deaths,4092
MAINE,2023,October,Monthly,Number of Deaths,1432
MARYLAND,2023,October,Monthly,Number of Deaths,4642
MASSACHUSETTS,2023,October,Monthly,Number of Deaths,5200
MICHIGAN,2023,October,Monthly,Number of Deaths,8673
MINNESOTA,2023,October,Monthly,Number of Deaths,4239
MISSISSIPPI,2023,October,Monthly,Number of Deaths,2924
MISSOURI,2023,October,Monthly,Number of Deaths,5642
MONTANA,2023,October,Monthly,Number of Deaths,979
NEBRASKA,2023,October,Monthly,Number of Deaths,1531
NEVADA,2023,October,Monthly,Number of Deaths,2223
NEW HAMPSHIRE,2023,October,Monthly,Number of Deaths,1215
NEW JERSEY,2023,October,Monthly,Number of Deaths,6449
NEW MEXICO,2023,October,Monthly,Number of Deaths,1860
NEW YORK,2023,October,Monthly,Number of Deaths,14100
NORTH CAROLINA,2023,October,Monthly,Number of Deaths,8981
NORTH DAKOTA,2023,October,Monthly,Number of Deaths,569
OHIO,2023,October,Monthly,Number of Deaths,10916
OKLAHOMA,2023,October,Monthly,Number of Deaths,3685
OREGON,2023,October,Monthly,Number of Deaths,3695
PENNSYLVANIA,2023,October,Monthly,Number of Deaths,11880
RHODE ISLAND,2023,October,Monthly,Number of Deaths,911
SOUTH CAROLINA,2023,October,Monthly,Number of Deaths,4771
SOUTH DAKOTA,2023,October,Monthly,Number of Deaths,769
TENNESSEE,2023,October,Monthly,Number of Deaths,6531
TEXAS,2023,October,Monthly,Number of Deaths,18642
UTAH,2023,October,Monthly,Number of Deaths,1893
VERMONT,2023,October,Monthly,Number of Deaths,568
VIRGINIA,2023,October,Monthly,Number of Deaths,6528
WASHINGTON,2023,October,Monthly,Number of Deaths,5550
WEST VIRGINIA,2023,October,Monthly,Number of Deaths,1979
WISCONSIN,2023,October,Monthly,Number of Deaths,4848
WYOMING,2023,October,Monthly,Number of Deaths,450
PUERTO RICO,2023,October,Monthly,Number of Deaths,2792
ALABAMA,2023,November,Monthly,Number of Deaths,4781
ALASKA,2023,November,Monthly,Number of Deaths,490
ARIZONA,2023,November,Monthly,Number of Deaths,5555
ARKANSAS,2023,November,Monthly,Number of Deaths,2860
CALIFORNIA,2023,November,Monthly,Number of Deaths,24407
COLORADO,2023,November,Monthly,Number of Deaths,3777
CONNECTICUT,2023,November,Monthly,Number of Deaths,2772
DELAWARE,2023,November,Monthly,Number of Deaths,879
DISTRICT OF COLUMBIA,2023,November,Monthly,Number of Deaths,424
FLORIDA,2023,November,Monthly,Number of Deaths,18169
GEORGIA,2023,November,Monthly,Number of Deaths,7800
HAWAII,2023,November,Monthly,Number of Deaths,997
IDAHO,2023,November,Monthly,Number of Deaths,1368
ILLINOIS,2023,November,Monthly,Number of Deaths,9824
INDIANA,2023,November,Monthly,Number of Deaths,5887
IOWA,2023,November,Monthly,Number of Deaths,2788
KANSAS,2023,November,Monthly,Number of Deaths,2956
KENTUCKY,2023,November,Monthly,Number of Deaths,4410
LOUISIANA,2023,November,Monthly,Number of Deaths,4057
MAINE,2023,November,Monthly,Number of Deaths,1415
MARYLAND,2023,November,Monthly,Number of Deaths,4516
MASSACHUSETTS,2023,November,Monthly,Number of Deaths,5186
MICHIGAN,2023,November,Monthly,Number of Deaths,8556
MINNESOTA,2023,November,Monthly,Number of Deaths,4367
MISSISSIPPI,2023,November,Monthly,Number of Deaths,3001
MISSOURI,2023,November,Monthly,Number of Deaths,5460
MONTANA,2023,November,Monthly,Number of Deaths,963
NEBRASKA,2023,November,Monthly,Number of Deaths,1522
NEVADA,2023,November,Monthly,Number of Deaths,2479
NEW HAMPSHIRE,2023,November,Monthly,Number of Deaths,1164
NEW JERSEY,2023,November,Monthly,Number of Deaths,6286
NEW MEXICO,2023,November,Monthly,Number of Deaths,1892
NEW YORK,2023,November,Monthly,Number of Deaths,13566
NORTH CAROLINA,2023,November,Monthly,Number of Deaths,9038
NORTH DAKOTA,2023,November,Monthly,Number of Deaths,587
OHIO,2023,November,Monthly,Number of Deaths,10706
OKLAHOMA,2023,November,Monthly,Number of Deaths,3723
OREGON,2023,November,Monthly,Number of Deaths,3534
PENNSYLVANIA,2023,November,Monthly,Number of Deaths,11840
RHODE ISLAND,2023,November,Monthly,Number of Deaths,879
SOUTH CAROLINA,2023,November,Monthly,Number of Deaths,4807
SOUTH DAKOTA,2023,November,Monthly,Number of Deaths,759
TENNESSEE,2023,November,Monthly,Number of Deaths,6588
TEXAS,2023,November,Monthly,Number of Deaths,18955
UTAH,2023,November,Monthly,Number of Deaths,1821
VERMONT,2023,November,Monthly,Number of Deaths,573
VIRGINIA,2023,November,Monthly,Number of Deaths,6607
WASHINGTON,2023,November,Monthly,Number of Deaths,5466
WEST VIRGINIA,2023,November,Monthly,Number of Deaths,2020
WISCONSIN,2023,November,Monthly,Number of Deaths,4925
WYOMING,2023,November,Monthly,Number of Deaths,480
PUERTO RICO,2023,November,Monthly,Number of Deaths,2857
ALABAMA,2023,December,Monthly,Number of Deaths,5559
ALASKA,2023,December,Monthly,Number of Deaths,495
ARIZONA,2023,December,Monthly,Number of Deaths,6239
ARKANSAS,2023,December,Monthly,Number of Deaths,3245
CALIFORNIA,2023,December,Monthly,Number of Deaths,27100
COLORADO,2023,December,Monthly,Number of Deaths,4069
CONNECTICUT,2023,December,Monthly,Number of Deaths,2958
DELAWARE,2023,December,Monthly,Number of Deaths,971
DISTRICT OF COLUMBIA,2023,December,Monthly,Number of Deaths,425
FLORIDA,2023,December,Monthly,Number of Deaths,20014
GEORGIA,2023,December,Monthly,Number of Deaths,9017
HAWAII,2023,December,Monthly,Number of Deaths,1060
IDAHO,2023,December,Monthly,Number of Deaths,1482
ILLINOIS,2023,December,Monthly,Number of Deaths,10745
INDIANA,2023,December,Monthly,Number of Deaths,6507
IOWA,2023,December,Monthly,Number of Deaths,3078
KANSAS,2023,December,Monthly,Number of Deaths,3234
KENTUCKY,2023,December,Monthly,Number of Deaths,5027
LOUISIANA,2023,December,Monthly,Number of Deaths,4558
MAINE,2023,December,Monthly,Number of Deaths,1541
MARYLAND,2023,December,Monthly,Number of Deaths,4995
MASSACHUSETTS,2023,December,Monthly,Number of Deaths,5701
MICHIGAN,2023,December,Monthly,Number of Deaths,9368
MINNESOTA,2023,December,Monthly,Number of Deaths,4515
MISSISSIPPI,2023,December,Monthly,Number of Deaths,3246
MISSOURI,2023,December,Monthly,Number of Deaths,6056
MONTANA,2023,December,Monthly,Number of Deaths,971
NEBRASKA,2023,December,Monthly,Number of Deaths,1655
NEVADA,2023,December,Monthly,Number of Deaths,2596
NEW HAMPSHIRE,2023,December,Monthly,Number of Deaths,1227
NEW JERSEY,2023,December,Monthly,Number of Deaths,7121
NEW MEXICO,2023,December,Monthly,Number of Deaths,2054
NEW YORK,2023,December,Monthly,Number of Deaths,15119
NORTH CAROLINA,2023,December,Monthly,Number of Deaths,10263
NORTH DAKOTA,2023,December,Monthly,Number of Deaths,605
OHIO,2023,December,Monthly,Number of Deaths,11527
OKLAHOMA,2023,December,Monthly,Number of Deaths,4075
OREGON,2023,December,Monthly,Number of Deaths,3801
PENNSYLVANIA,2023,December,Monthly,Number of Deaths,12583
RHODE ISLAND,2023,December,Monthly,Number of Deaths,966
SOUTH CAROLINA,2023,December,Monthly,Number of Deaths,5451
SOUTH DAKOTA,2023,December,Monthly,Number of Deaths,748
TENNESSEE,2023,December,Monthly,Number of Deaths,7421
TEXAS,2023,December,Monthly,Number of Deaths,20632
UTAH,2023,December,Monthly,Number of Deaths,1965
VERMONT,2023,December,Monthly,Number of Deaths,584
VIRGINIA,2023,December,Monthly,Number of Deaths,7330
WASHINGTON,2023,December,Monthly,Number of Deaths,5891
WEST VIRGINIA,2023,December,Monthly,Number of Deaths,2366
WISCONSIN,2023,December,Monthly,Number of Deaths,5202
WYOMING,2023,December,Monthly,Number of Deaths,495
PUERTO RICO,2023,December,Monthly,Number of Deaths,2924
ALABAMA,2024,January,Monthly,Number of Deaths,5797
ALASKA,2024,January,Monthly,Number of Deaths,518
ARIZONA,2024,January,Monthly,Number of Deaths,6734
ARKANSAS,2024,January,Monthly,Number of Deaths,3469
CALIFORNIA,2024,January,Monthly,Number of Deaths,27452
COLORADO,2024,January,Monthly,Number of Deaths,4038
CONNECTICUT,2024,January,Monthly,Number of Deaths,3094
DELAWARE,2024,January,Monthly,Number of Deaths,1020
DISTRICT OF COLUMBIA,2024,January,Monthly,Number of Deaths,455
FLORIDA,2024,January,Monthly,Number of Deaths,21517
GEORGIA,2024,January,Monthly,Number of Deaths,9566
HAWAII,2024,January,Monthly,Number of Deaths,1255
IDAHO,2024,January,Monthly,Number of Deaths,1545
ILLINOIS,2024,January,Monthly,Number of Deaths,10562
INDIANA,2024,January,Monthly,Number of Deaths,6640
IOWA,2024,January,Monthly,Number of Deaths,3115
KANSAS,2024,January,Monthly,Number of Deaths,3458
KENTUCKY,2024,January,Monthly,Number of Deaths,5094
LOUISIANA,2024,January,Monthly,Number of Deaths,4821
MAINE,2024,January,Monthly,Number of Deaths,1500
MARYLAND,2024,January,Monthly,Number of Deaths,5175
MASSACHUSETTS,2024,January,Monthly,Number of Deaths,5794
MICHIGAN,2024,January,Monthly,Number of Deaths,9652
MINNESOTA,2024,January,Monthly,Number of Deaths,4508
MISSISSIPPI,2024,January,Monthly,Number of Deaths,3569
MISSOURI,2024,January,Monthly,Number of Deaths,6393
MONTANA,2024,January,Monthly,Number of Deaths,1112
NEBRASKA,2024,January,Monthly,Number of Deaths,1739
NEVADA,2024,January,Monthly,Number of Deaths,2658
NEW HAMPSHIRE,2024,January,Monthly,Number of Deaths,1366
NEW JERSEY,2024,January,Monthly,Number of Deaths,7356
NEW MEXICO,2024,January,Monthly,Number of Deaths,2073
NEW YORK,2024,January,Monthly,Number of Deaths,15793
NORTH CAROLINA,2024,January,Monthly,Number of Deaths,10222
NORTH DAKOTA,2024,January,Monthly,Number of Deaths,639
OHIO,2024,January,Monthly,Number of Deaths,12195
OKLAHOMA,2024,January,Monthly,Number of Deaths,4408
OREGON,2024,January,Monthly,Number of Deaths,3966
PENNSYLVANIA,2024,January,Monthly,Number of Deaths,13107
RHODE ISLAND,2024,January,Monthly,Number of Deaths,969
SOUTH CAROLINA,2024,January,Monthly,Number of Deaths,5443
SOUTH DAKOTA,2024,January,Monthly,Number of Deaths,827
TENNESSEE,2024,January,Monthly,Number of Deaths,7707
TEXAS,2024,January,Monthly,Number of Deaths,22035
UTAH,2024,January,Monthly,Number of Deaths,2087
VERMONT,2024,January,Monthly,Number of Deaths,655
VIRGINIA,2024,January,Monthly,Number of Deaths,7574
WASHINGTON,2024,January,Monthly,Number of Deaths,6089
WEST VIRGINIA,2024,January,Monthly,Number of Deaths,2285
WISCONSIN,2024,January,Monthly,Number of Deaths,5353
WYOMING,2024,January,Monthly,Number of Deaths,552
PUERTO RICO,2024,January,Monthly,Number of Deaths,3030
ALABAMA,2024,February,Monthly,Number of Deaths,4866
ALASKA,2024,February,Monthly,Number of Deaths,487
ARIZONA,2024,February,Monthly,Number of Deaths,5610
ARKANSAS,2024,February,Monthly,Number of Deaths,3043
CALIFORNIA,2024,February,Monthly,Number of Deaths,23495
COLORADO,2024,February,Monthly,Number of Deaths,3607
CONNECTICUT,2024,February,Monthly,Number of Deaths,2703
DELAWARE,2024,February,Monthly,Number of Deaths,867
DISTRICT OF COLUMBIA,2024,February,Monthly,Number of Deaths,405
FLORIDA,2024,February,Monthly,Number of Deaths,19305
GEORGIA,2024,February,Monthly,Number of Deaths,8046
HAWAII,2024,February,Monthly,Number of Deaths,1062
IDAHO,2024,February,Monthly,Number of Deaths,1317
ILLINOIS,2024,February,Monthly,Number of Deaths,9251
INDIANA,2024,February,Monthly,Number of Deaths,5744
IOWA,2024,February,Monthly,Number of Deaths,2742
KANSAS,2024,February,Monthly,Number of Deaths,3034
KENTUCKY,2024,February,Monthly,Number of Deaths,4355
LOUISIANA,2024,February,Monthly,Number of Deaths,4101
MAINE,2024,February,Monthly,Number of Deaths,1374
MARYLAND,2024,February,Monthly,Number of Deaths,4467
MASSACHUSETTS,2024,February,Monthly,Number of Deaths,4996
MICHIGAN,2024,February,Monthly,Number of Deaths,8451
MINNESOTA,2024,February,Monthly,Number of Deaths,4071
MISSISSIPPI,2024,February,Monthly,Number of Deaths,2884
MISSOURI,2024,February,Monthly,Number of Deaths,5493
MONTANA,2024,February,Monthly,Number of Deaths,955
NEBRASKA,2024,February,Monthly,Number of Deaths,1466
NEVADA,2024,February,Monthly,Number of Deaths,2399
NEW HAMPSHIRE,2024,February,Monthly,Number of Deaths,1183
NEW JERSEY,2024,February,Monthly,Number of Deaths,6320
NEW MEXICO,2024,February,Monthly,Number of Deaths,1763
NEW YORK,2024,February,Monthly,Number of Deaths,13441
NORTH CAROLINA,2024,February,Monthly,Number of Deaths,8831
NORTH DAKOTA,2024,February,Monthly,Number of Deaths,587
OHIO,2024,February,Monthly,Number of Deaths,10719
OKLAHOMA,2024,February,Monthly,Number of Deaths,3800
OREGON,2024,February,Monthly,Number of Deaths,3460
PENNSYLVANIA,2024,February,Monthly,Number of Deaths,11250
RHODE ISLAND,2024,February,Monthly,Number of Deaths,901
SOUTH CAROLINA,2024,February,Monthly,Number of Deaths,4819
SOUTH DAKOTA,2024,February,Monthly,Number of Deaths,724
TENNESSEE,2024,February,Monthly,Number of Deaths,6519
TEXAS,2024,February,Monthly,Number of Deaths,19054
UTAH,2024,February,Monthly,Number of Deaths,1720
VERMONT,2024,February,Monthly,Number of Deaths,547
VIRGINIA,2024,February,Monthly,Number of Deaths,6475
WASHINGTON,2024,February,Monthly,Number of Deaths,5329
WEST VIRGINIA,2024,February,Monthly,Number of Deaths,2045
WISCONSIN,2024,February,Monthly,Number of Deaths,4801
WYOMING,2024,February,Monthly,Number of Deaths,449
PUERTO RICO,2024,February,Monthly,Number of Deaths,2699
ALABAMA,2024,March,Monthly,Number of Deaths,4962
ALASKA,2024,March,Monthly,Number of Deaths,444
ARIZONA,2024,March,Monthly,Number of Deaths,5991
ARKANSAS,2024,March,Monthly,Number of Deaths,3084
CALIFORNIA,2024,March,Monthly,Number of Deaths,24285
COLORADO,2024,March,Monthly,Number of Deaths,3784
CONNECTICUT,2024,March,Monthly,Number of Deaths,2892
DELAWARE,2024,March,Monthly,Number of Deaths,872
DISTRICT OF COLUMBIA,2024,March,Monthly,Number of Deaths,401
FLORIDA,2024,March,Monthly,Number of Deaths,19992
GEORGIA,2024,March,Monthly,Number of Deaths,8083
HAWAII,2024,March,Monthly,Number of Deaths,1067
IDAHO,2024,March,Monthly,Number of Deaths,1428
ILLINOIS,2024,March,Monthly,Number of Deaths,9683
INDIANA,2024,March,Monthly,Number of Deaths,6049
IOWA,2024,March,Monthly,Number of Deaths,2755
KANSAS,2024,March,Monthly,Number of Deaths,3171
KENTUCKY,2024,March,Monthly,Number of Deaths,4584
LOUISIANA,2024,March,Monthly,Number of Deaths,4106
MAINE,2024,March,Monthly,Number of Deaths,1457
MARYLAND,2024,March,Monthly,Number of Deaths,4579
MASSACHUSETTS,2024,March,Monthly,Number of Deaths,5241
MICHIGAN,2024,March,Monthly,Number of Deaths,8997
MINNESOTA,2024,March,Monthly,Number of Deaths,4244
MISSISSIPPI,2024,March,Monthly,Number of Deaths,2973
MISSOURI,2024,March,Monthly,Number of Deaths,5585
MONTANA,2024,March,Monthly,Number of Deaths,972
NEBRASKA,2024,March,Monthly,Number of Deaths,1627
NEVADA,2024,March,Monthly,Number of Deaths,2549
NEW HAMPSHIRE,2024,March,Monthly,Number of Deaths,1181
NEW JERSEY,2024,March,Monthly,Number of Deaths,6443
NEW MEXICO,2024,March,Monthly,Number of Deaths,1900
NEW YORK,2024,March,Monthly,Number of Deaths,13593
NORTH CAROLINA,2024,March,Monthly,Number of Deaths,8978
NORTH DAKOTA,2024,March,Monthly,Number of Deaths,577
OHIO,2024,March,Monthly,Number of Deaths,10994
OKLAHOMA,2024,March,Monthly,Number of Deaths,3709
OREGON,2024,March,Monthly,Number of Deaths,3584
PENNSYLVANIA,2024,March,Monthly,Number of Deaths,11748
RHODE ISLAND,2024,March,Monthly,Number of Deaths,826
SOUTH CAROLINA,2024,March,Monthly,Number of Deaths,4921
SOUTH DAKOTA,2024,March,Monthly,Number of Deaths,727
TENNESSEE,2024,March,Monthly,Number of Deaths,6804
TEXAS,2024,March,Monthly,Number of Deaths,19469
UTAH,2024,March,Monthly,Number of Deaths,1780
VERMONT,2024,March,Monthly,Number of Deaths,593
VIRGINIA,2024,March,Monthly,Number of Deaths,6658
WASHINGTON,2024,March,Monthly,Number of Deaths,5534
WEST VIRGINIA,2024,March,Monthly,Number of Deaths,2149
WISCONSIN,2024,March,Monthly,Number of Deaths,4796
WYOMING,2024,March,Monthly,Number of Deaths,462
PUERTO RICO,2024,March,Monthly,Number of Deaths,2776
ALABAMA,2024,April,Monthly,Number of Deaths,4830
ALASKA,2024,April,Monthly,Number of Deaths,419
ARIZONA,2024,April,Monthly,Number of Deaths,5713
ARKANSAS,2024,April,Monthly,Number of Deaths,2864
CALIFORNIA,2024,April,Monthly,Number of Deaths,23286
COLORADO,2024,April,Monthly,Number of Deaths,3717
CONNECTICUT,2024,April,Monthly,Number of Deaths,2692
DELAWARE,2024,April,Monthly,Number of Deaths,868
DISTRICT OF COLUMBIA,2024,April,Monthly,Number of Deaths,391
FLORIDA,2024,April,Monthly,Number of Deaths,18522
GEORGIA,2024,April,Monthly,Number of Deaths,7561
HAWAII,2024,April,Monthly,Number of Deaths,1015
IDAHO,2024,April,Monthly,Number of Deaths,1341
ILLINOIS,2024,April,Monthly,Number of Deaths,9018
INDIANA,2024,April,Monthly,Number of Deaths,5524
IOWA,2024,April,Monthly,Number of Deaths,2644
KANSAS,2024,April,Monthly,Number of Deaths,2809
KENTUCKY,2024,April,Monthly,Number of Deaths,4263
LOUISIANA,2024,April,Monthly,Number of Deaths,3938
MAINE,2024,April,Monthly,Number of Deaths,1331
MARYLAND,2024,April,Monthly,Number of Deaths,4390
MASSACHUSETTS,2024,April,Monthly,Number of Deaths,4998
MICHIGAN,2024,April,Monthly,Number of Deaths,8326
MINNESOTA,2024,April,Monthly,Number of Deaths,4108
MISSISSIPPI,2024,April,Monthly,Number of Deaths,2795
MISSOURI,2024,April,Monthly,Number of Deaths,5328
MONTANA,2024,April,Monthly,Number of Deaths,932
NEBRASKA,2024,April,Monthly,Number of Deaths,1454
NEVADA,2024,April,Monthly,Number of Deaths,2374
NEW HAMPSHIRE,2024,April,Monthly,Number of Deaths,1151
NEW JERSEY,2024,April,Monthly,Number of Deaths,6097
NEW MEXICO,2024,April,Monthly,Number of Deaths,1811
NEW YORK,2024,April,Monthly,Number of Deaths,12852
NORTH CAROLINA,2024,April,Monthly,Number of Deaths,8671
NORTH DAKOTA,2024,April,Monthly,Number of Deaths,549
OHIO,2024,April,Monthly,Number of Deaths,10398
OKLAHOMA,2024,April,Monthly,Number of Deaths,3590
OREGON,2024,April,Monthly,Number of Deaths,3362
PENNSYLVANIA,2024,April,Monthly,Number of Deaths,11030
RHODE ISLAND,2024,April,Monthly,Number of Deaths,805
SOUTH CAROLINA,2024,April,Monthly,Number of Deaths,4743
SOUTH DAKOTA,2024,April,Monthly,Number of Deaths,739
TENNESSEE,2024,April,Monthly,Number of Deaths,6411
TEXAS,2024,April,Monthly,Number of Deaths,18260
UTAH,2024,April,Monthly,Number of Deaths,1728
VERMONT,2024,April,Monthly,Number of Deaths,546
VIRGINIA,2024,April,Monthly,Number of Deaths,6258
WASHINGTON,2024,April,Monthly,Number of Deaths,5251
WEST VIRGINIA,2024,April,Monthly,Number of Deaths,1911
WISCONSIN,2024,April,Monthly,Number of Deaths,4641
WYOMING,2024,April,Monthly,Number of Deaths,462
PUERTO RICO,2024,April,Monthly,Number of Deaths,2660
ALABAMA,2024,May,Monthly,Number of Deaths,4629
ALASKA,2024,May,Monthly,Number of Deaths,464
ARIZONA,2024,May,Monthly,Number of Deaths,5853
ARKANSAS,2024,May,Monthly,Number of Deaths,2855
CALIFORNIA,2024,May,Monthly,Number of Deaths,23461
COLORADO,2024,May,Monthly,Number of Deaths,3746
CONNECTICUT,2024,May,Monthly,Number of Deaths,2588
DELAWARE,2024,May,Monthly,Number of Deaths,847
DISTRICT OF COLUMBIA,2024,May,Monthly,Number of Deaths,399
FLORIDA,2024,May,Monthly,Number of Deaths,18768
GEORGIA,2024,May,Monthly,Number of Deaths,7584
HAWAII,2024,May,Monthly,Number of Deaths,1005
IDAHO,2024,May,Monthly,Number of Deaths,1336
ILLINOIS,2024,May,Monthly,Number of Deaths,9050
INDIANA,2024,May,Monthly,Number of Deaths,5595
IOWA,2024,May,Monthly,Number of Deaths,2614
