Date,StateCode,value,StatVar,unit
2013-03-01,country/IND,2730382000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
2014-03-01,country/IND,2824058000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
2015-03-01,country/IND,2558284000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
2016-03-01,country/IND,2581128000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
2017-03-01,country/IND,3112495000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
2018-03-01,country/IND,3471361000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
2019-03-01,country/IND,4047013000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
2020-03-01,country/IND,4272782000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
2006-03-01,country/IND,151000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2007-03-01,country/IND,170000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2008-03-01,country/IND,160000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2009-03-01,country/IND,154000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2010-03-01,country/IND,167000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2011-03-01,country/IND,193000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2012-03-01,country/IND,175000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2013-03-01,country/IND,182000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2014-03-01,country/IND,195720000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2015-03-01,country/IND,180480000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2016-03-01,country/IND,188240000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2006-03-01,country/IND,6168000000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2006-03-01,country/IND,36000000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2007-03-01,country/IND,5074000000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2007-03-01,country/IND,639000000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2008-03-01,country/IND,3128000000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2008-03-01,country/IND,638000000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2009-03-01,country/IND,3420000000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2010-03-01,country/IND,7272000000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2011-03-01,country/IND,7546000000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
