State,isoCode,Date,Count_PregnancyEvent,Count_PregnantWomen_RegisteredForAntenatalCare,Count_PregnantWomen_RegisteredForAntenatalCareWithinFirstTrimester,Count_ChildDeliveryEvent,Count_ChildDeliveryEvent_InAnInstitution,Count_ChildDeliveryEvent_InPublicInstitution,Count_ChildDeliveryEvent_AtHome,Count_ChildDeliveryEvent_AtHome_WithStandByAssist,Count_DeliveryEvent_Safe_AsFractionOf_Count_DeliveryEvent
Chhattisgarh,IN-CT,2015-03,717000,674811.0,404818.0,503456.0,373547.0,291435.0,129909.0,33517.0,80.9
Dadra & Nagar Haveli,IN-DN,2015-03,11000,16015.0,7625.0,7588.0,7493.0,6359.0,95.0,9.0,98.9
Daman & Diu,IN-DD,2015-03,6000,8348.0,3950.0,3748.0,3689.0,2010.0,59.0,0.0,98.4
Delhi,IN-DL,2015-03,351000,874226.0,303725.0,264641.0,247999.0,205471.0,16642.0,2665.0,94.7
Goa,IN-GA,2015-03,23000,25995.0,14713.0,18150.0,18129.0,11554.0,21.0,3.0,99.9
Gujarat,IN-GJ,2015-03,1445000,1405807.0,1042555.0,1161225.0,1133169.0,465861.0,28056.0,12451.0,98.7
Haryana,IN-HR,2015-03,628000,582804.0,336166.0,518242.0,459284.0,276614.0,58958.0,4889.0,89.6
Himachal Pradesh,IN-HP,2015-03,124000,125286.0,98504.0,95372.0,78439.0,64807.0,16933.0,2347.0,84.7
Jammu & Kashmir,IN-JK,2015-03,252000,388996.0,211520.0,197079.0,179197.0,167471.0,17882.0,2154.0,92.0
Jharkhand,IN-JH,2015-03,936000,782667.0,263626.0,636744.0,500177.0,384520.0,136567.0,31462.0,83.5
Karnataka,IN-KA,2015-03,1273000,1196698.0,871411.0,892812.0,884610.0,598292.0,8202.0,3774.0,99.5
Kerala,IN-KL,2015-03,552000,495716.0,401622.0,490237.0,489401.0,151853.0,836.0,56.0,99.8
Lakshadweep,IN-LD,2015-03,1000,1206.0,903.0,688.0,688.0,688.0,0.0,0.0,100.0
Madhya Pradesh,IN-MP,2015-03,2217000,1900801.0,1166827.0,1369475.0,1211816.0,1105102.0,157659.0,44754.0,91.8
Maharashtra,IN-MH,2015-03,2135000,2119476.0,1347457.0,1758529.0,1728670.0,932795.0,29859.0,19586.0,99.4
Manipur,IN-MN,2015-03,48000,79090.0,46716.0,40696.0,32521.0,26405.0,8175.0,4397.0,90.7
Meghalaya,IN-ML,2015-03,81000,129575.0,41777.0,86320.0,44369.0,34399.0,41951.0,3650.0,55.6
Mizoram,IN-MZ,2015-03,20000,23481.0,16968.0,21988.0,19869.0,16022.0,2119.0,583.0,93.0
Nagaland,IN-NL,2015-03,35000,44588.0,20865.0,22349.0,17232.0,14420.0,5117.0,4056.0,95.3
Odisha,IN-OR,2015-03,932000,816619.0,559202.0,708526.0,627484.0,560788.0,81042.0,9710.0,89.9
Puducherry,IN-PY,2015-03,25000,74527.0,33935.0,43953.0,43947.0,32168.0,6.0,5.0,100.0
Punjab,IN-PB,2015-03,497000,476431.0,339035.0,412692.0,371622.0,201797.0,41070.0,16544.0,94.1
Rajasthan,IN-RJ,2015-03,2034000,1921950.0,1124274.0,1422728.0,1350286.0,1015727.0,72442.0,42708.0,97.9
Sikkim,IN-SK,2015-03,12000,9375.0,7295.0,8008.0,7844.0,6203.0,164.0,55.0,98.6
Tamil Nadu,IN-TN,2015-03,1264000,1087207.0,1008097.0,976211.0,975492.0,662102.0,719.0,162.0,99.9
Telangana,IN-TG,2015-03,694000,829983.0,508425.0,396518.0,384287.0,240548.0,12231.0,6483.0,98.6
Tripura,IN-TR,2015-03,57000,77290.0,48499.0,51514.0,44735.0,41884.0,6779.0,136.0,87.1
Uttar Pradesh,IN-UP,2015-03,6342000,5535650.0,2833683.0,3418114.0,2502543.0,2230032.0,915571.0,388552.0,84.6
Uttarakhand,IN-UT,2015-03,212000,215549.0,127101.0,158316.0,124015.0,98520.0,34301.0,14390.0,87.4
West Bengal,IN-WB,2015-03,1657000,1866097.0,1364466.0,1398144.0,1153207.0,889924.0,244937.0,158.0,82.5
All India,IN,2016-03,29595000,20932686.0,12888758.0,15916843.0,14142090.0,10015909.0,1774753.0,410241.0,91.4
A & N Islands,IN-AN,2016-03,7000,4240.0,3261.0,3167.0,3051.0,3051.0,116.0,46.0,97.8
Andhra Pradesh,IN-AP,2016-03,960000,666898.0,491856.0,588861.0,577957.0,244539.0,10904.0,6085.0,99.2
Arunachal Pradesh,IN-AR,2016-03,31000,23420.0,8522.0,12838.0,11840.0,10252.0,998.0,534.0,96.4
Assam,IN-AS,2016-03,812000,555865.0,443304.0,463988.0,397459.0,332912.0,66529.0,14875.0,88.9
Bihar,IN-BR,2016-03,3139000,2058459.0,1096660.0,1597777.0,1249752.0,1177970.0,348025.0,68826.0,82.5
Chandigarh,IN-CH,2016-03,20000,42733.0,15295.0,21323.0,21150.0,21150.0,173.0,2.0,99.2
Chhattisgarh,IN-CT,2016-03,697000,492198.0,365829.0,368156.0,301309.0,236798.0,66847.0,24609.0,88.5
Dadra & Nagar Haveli,IN-DN,2016-03,11000,7344.0,6131.0,6992.0,6922.0,6056.0,70.0,11.0,99.2
Daman & Diu,IN-DD,2016-03,6000,6112.0,2957.0,2895.0,2873.0,1801.0,22.0,1.0,99.3
Delhi,IN-DL,2016-03,353000,688171.0,225081.0,204163.0,191342.0,158368.0,12821.0,1405.0,94.4
Goa,IN-GA,2016-03,23000,19052.0,11479.0,14688.0,14681.0,8816.0,7.0,0.0,100.0
Gujarat,IN-GJ,2016-03,1451000,1031888.0,772302.0,919247.0,904754.0,363675.0,14493.0,6263.0,99.1
Haryana,IN-HR,2016-03,635000,432483.0,261461.0,382800.0,347182.0,218133.0,35618.0,3813.0,91.7
Himachal Pradesh,IN-HP,2016-03,129000,93713.0,75776.0,70811.0,59622.0,49543.0,11189.0,1652.0,86.5
Jammu & Kashmir,IN-JK,2016-03,244000,253492.0,135647.0,140842.0,126589.0,116887.0,14253.0,1463.0,90.9
Jharkhand,IN-JH,2016-03,919000,602952.0,216414.0,505046.0,404958.0,288065.0,100088.0,23620.0,84.9
Karnataka,IN-KA,2016-03,1272000,922513.0,655835.0,686220.0,681451.0,429852.0,4769.0,1828.0,99.6
Kerala,IN-KL,2016-03,560000,358744.0,289232.0,365427.0,364887.0,111080.0,540.0,57.0,99.9
Lakshadweep,IN-LD,2016-03,1000,900.0,657.0,639.0,638.0,638.0,1.0,1.0,100.0
Madhya Pradesh,IN-MP,2016-03,2201000,1393916.0,885823.0,1080728.0,972194.0,868572.0,108534.0,21466.0,91.9
Maharashtra,IN-MH,2016-03,2164000,1615603.0,1081725.0,1290288.0,1273315.0,765309.0,16973.0,10922.0,99.5
Manipur,IN-MN,2016-03,48000,53835.0,33707.0,29762.0,24019.0,19719.0,5743.0,3508.0,92.5
Meghalaya,IN-ML,2016-03,83000,99192.0,31827.0,63553.0,33997.0,27049.0,29556.0,1861.0,56.4
Mizoram,IN-MZ,2016-03,21000,17112.0,12552.0,15001.0,13417.0,10810.0,1584.0,384.0,92.0
Nagaland,IN-NL,2016-03,35000,37635.0,13736.0,17359.0,13720.0,10792.0,3639.0,2667.0,94.4
Odisha,IN-OR,2016-03,931000,614820.0,461280.0,509840.0,458764.0,404299.0,51076.0,9092.0,91.8
Puducherry,IN-PY,2016-03,24000,64567.0,25448.0,32901.0,32893.0,23432.0,8.0,8.0,100.0
Punjab,IN-PB,2016-03,496000,356297.0,256126.0,301634.0,277406.0,147927.0,24228.0,12432.0,96.1
Rajasthan,IN-RJ,2016-03,2016000,1400255.0,852598.0,1064830.0,1023598.0,788852.0,41232.0,23919.0,98.4
Sikkim,IN-SK,2016-03,12000,6605.0,5248.0,5927.0,5828.0,4616.0,99.0,38.0,99.0
Tamil Nadu,IN-TN,2016-03,1255000,772617.0,728141.0,709886.0,709686.0,424896.0,200.0,78.0,100.0
Telangana,IN-TG,2016-03,724000,665554.0,365373.0,423764.0,417586.0,161400.0,6178.0,2839.0,99.2
Tripura,IN-TR,2016-03,64000,56798.0,34699.0,37858.0,33438.0,31317.0,4420.0,64.0,88.5
Uttar Pradesh,IN-UP,2016-03,6405000,4073002.0,1959677.0,2817691.0,2177322.0,1758082.0,640369.0,157867.0,82.9
Uttarakhand,IN-UT,2016-03,215000,165035.0,101395.0,112811.0,90813.0,72285.0,21998.0,7965.0,87.6
West Bengal,IN-WB,2016-03,1631000,1264359.0,961704.0,1040804.0,909389.0,710678.0,131415.0,40.0,87.4
All India,IN,2017-03,30034000,28945614.0,18579788.0,20710361.0,18716308.0,13374872.0,1994053.0,397053.0,92.3
A & N Islands,IN-AN,2017-03,7000,5672.0,4355.0,4027.0,3925.0,3925.0,102.0,45.0,98.6
Andhra Pradesh,IN-AP,2017-03,968000,834340.0,647624.0,737741.0,726969.0,321047.0,10772.0,5431.0,99.3
Arunachal Pradesh,IN-AR,2017-03,31000,29975.0,11201.0,16843.0,15643.0,13761.0,1200.0,458.0,95.6
Assam,IN-AS,2017-03,822000,725046.0,603268.0,623258.0,539437.0,453717.0,83821.0,22905.0,90.2
Bihar,IN-BR,2017-03,3175000,2935167.0,1814885.0,2087913.0,1613102.0,1548891.0,474811.0,93747.0,81.7
Chandigarh,IN-CH,2017-03,21000,60667.0,24811.0,29216.0,29107.0,29107.0,109.0,0.0,99.6
Chhattisgarh,IN-CT,2017-03,706000,621076.0,540336.0,469121.0,432396.0,324785.0,36725.0,17364.0,95.9
Dadra & Nagar Haveli,IN-DN,2017-03,12000,8502.0,7669.0,8751.0,8704.0,7815.0,47.0,2.0,99.5
Daman & Diu,IN-DD,2017-03,6000,6157.0,3760.0,3519.0,3497.0,2751.0,22.0,3.0,99.5
Delhi,IN-DL,2017-03,330000,993842.0,325393.0,271514.0,255017.0,211930.0,16497.0,1234.0,94.4
Goa,IN-GA,2017-03,24000,24091.0,14143.0,17520.0,17509.0,11103.0,11.0,1.0,99.9
Gujarat,IN-GJ,2017-03,1543000,1381764.0,1047162.0,1188041.0,1175381.0,442841.0,12660.0,5301.0,99.4
Haryana,IN-HR,2017-03,634000,570462.0,386344.0,499697.0,462312.0,289862.0,37385.0,4870.0,93.5
Himachal Pradesh,IN-HP,2017-03,135000,121493.0,101397.0,89560.0,77674.0,65809.0,11886.0,1755.0,88.7
Jammu & Kashmir,IN-JK,2017-03,243000,387785.0,227614.0,200503.0,185440.0,172166.0,15063.0,1217.0,93.1
Jharkhand,IN-JH,2017-03,921000,922729.0,398760.0,732033.0,662357.0,468764.0,69676.0,19172.0,93.1
Karnataka,IN-KA,2017-03,1311000,1127674.0,857847.0,912990.0,909223.0,562164.0,3767.0,1430.0,99.7
Kerala,IN-KL,2017-03,574000,488095.0,403137.0,446720.0,446123.0,122185.0,597.0,58.0,99.9
Lakshadweep,IN-LD,2017-03,1000,1178.0,969.0,804.0,804.0,804.0,0.0,0.0,100.0
Madhya Pradesh,IN-MP,2017-03,2215000,1841458.0,1181285.0,1370249.0,1248817.0,1101543.0,121432.0,16539.0,92.3
Maharashtra,IN-MH,2017-03,2219000,2185798.0,1502299.0,1682628.0,1667346.0,940173.0,15282.0,9334.0,99.6
Manipur,IN-MN,2017-03,50000,60132.0,36503.0,40841.0,33491.0,26964.0,7350.0,4590.0,93.2
Meghalaya,IN-ML,2017-03,84000,133880.0,45180.0,86639.0,47492.0,38346.0,39147.0,1947.0,57.1
Mizoram,IN-MZ,2017-03,21000,21986.0,16880.0,19403.0,17379.0,13958.0,2024.0,451.0,91.9
Nagaland,IN-NL,2017-03,35000,47172.0,14513.0,20586.0,16429.0,12820.0,4157.0,2317.0,91.1
Odisha,IN-OR,2017-03,938000,748325.0,608611.0,620583.0,573276.0,509666.0,47307.0,12301.0,94.4
Puducherry,IN-PY,2017-03,24000,84301.0,41237.0,40327.0,40319.0,29151.0,8.0,7.0,100.0
Punjab,IN-PB,2017-03,501000,470504.0,350643.0,382445.0,363803.0,199732.0,18642.0,8993.0,97.5
Rajasthan,IN-RJ,2017-03,2044000,1913657.0,1163725.0,1414033.0,1369863.0,1052716.0,44170.0,19288.0,98.2
Sikkim,IN-SK,2017-03,12000,8457.0,6736.0,7110.0,6994.0,5336.0,116.0,46.0,99.0
Tamil Nadu,IN-TN,2017-03,1262000,1027000.0,976860.0,902183.0,901887.0,512158.0,296.0,109.0,100.0
Telangana,IN-TG,2017-03,730000,1381510.0,800973.0,593551.0,587572.0,291060.0,5979.0,2992.0,99.5
Tripura,IN-TR,2017-03,64000,76813.0,48465.0,49477.0,44664.0,41936.0,4813.0,16.0,90.3
Uttar Pradesh,IN-UP,2017-03,6507000,5659485.0,2827529.0,3629578.0,2844786.0,2461720.0,784792.0,131301.0,82.0
Uttarakhand,IN-UT,2017-03,218000,216290.0,133744.0,146235.0,121178.0,93998.0,25057.0,9250.0,89.2
West Bengal,IN-WB,2017-03,1646000,1814561.0,1403930.0,1361139.0,1262810.0,986586.0,98329.0,2578.0,93.0
All India,IN,2018-03,30052000,29002405.0,18585053.0,20783191.0,19172253.0,13792701.0,1610938.0,295353.0,93.7
A & N Islands,IN-AN,2018-03,6000,5210.0,3913.0,3949.0,3861.0,3861.0,88.0,42.0,98.8
Andhra Pradesh,IN-AP,2018-03,967000,830965.0,653802.0,745774.0,737140.0,333338.0,8634.0,4334.0,99.4
Arunachal Pradesh,IN-AR,2018-03,31000,32373.0,11243.0,18852.0,17010.0,14760.0,1842.0,809.0,94.5
Assam,IN-AS,2018-03,816000,689620.0,584521.0,601951.0,527006.0,442564.0,74945.0,18755.0,90.7
Bihar,IN-BR,2018-03,3259000,3187592.0,1968220.0,2124619.0,1690902.0,1637400.0,433717.0,78975.0,83.3
Chandigarh,IN-CH,2018-03,21000,41894.0,27794.0,29309.0,29208.0,29208.0,101.0,1.0,99.7
Chhattisgarh,IN-CT,2018-03,708000,634235.0,567546.0,497957.0,479948.0,369853.0,18009.0,10614.0,98.5
Dadra & Nagar Haveli,IN-DN,2018-03,10000,8362.0,8019.0,9280.0,9244.0,8253.0,36.0,5.0,99.7
Daman & Diu,IN-DD,2018-03,6000,7888.0,6373.0,3604.0,3600.0,2947.0,4.0,0.0,99.9
Delhi,IN-DL,2018-03,365000,982022.0,325818.0,271991.0,260117.0,220321.0,11874.0,351.0,95.8
Goa,IN-GA,2018-03,23000,24503.0,13558.0,18890.0,18878.0,11164.0,12.0,1.0,99.9
Gujarat,IN-GJ,2018-03,1470000,1420598.0,1113713.0,1215440.0,1205441.0,440650.0,9999.0,3353.0,99.5
Haryana,IN-HR,2018-03,644000,567940.0,405804.0,518347.0,487937.0,292543.0,30410.0,3770.0,94.9
Himachal Pradesh,IN-HP,2018-03,130000,118864.0,101196.0,87589.0,78570.0,66271.0,9019.0,1456.0,91.4
Jammu & Kashmir,IN-JK,2018-03,241000,399307.0,258865.0,193190.0,181243.0,166793.0,11947.0,985.0,94.3
Jharkhand,IN-JH,2018-03,930000,959918.0,495766.0,761231.0,726106.0,536542.0,35125.0,12700.0,97.1
Karnataka,IN-KA,2018-03,1280000,1097374.0,867878.0,913165.0,910819.0,569927.0,2346.0,1032.0,99.9
Kerala,IN-KL,2018-03,567000,565673.0,470740.0,452922.0,452127.0,138510.0,795.0,156.0,99.9
Lakshadweep,IN-LD,2018-03,1000,1292.0,1030.0,845.0,845.0,845.0,0.0,0.0,100.0
Madhya Pradesh,IN-MP,2018-03,2246000,1832836.0,1150609.0,1350597.0,1251619.0,1112204.0,98978.0,11926.0,93.6
Maharashtra,IN-MH,2018-03,2188000,2180670.0,1559211.0,1758492.0,1742226.0,953344.0,16266.0,5739.0,99.4
Manipur,IN-MN,2018-03,48000,55807.0,34122.0,38553.0,31573.0,25842.0,6980.0,4585.0,93.8
Meghalaya,IN-ML,2018-03,84000,131034.0,45048.0,84410.0,47423.0,37534.0,36987.0,1486.0,57.9
Mizoram,IN-MZ,2018-03,21000,21582.0,16265.0,19572.0,17403.0,13862.0,2169.0,471.0,91.3
Nagaland,IN-NL,2018-03,35000,37217.0,11064.0,19943.0,16180.0,12551.0,3763.0,1973.0,91.0
Odisha,IN-OR,2018-03,935000,739001.0,618078.0,617406.0,584060.0,528376.0,33346.0,10161.0,96.2
Puducherry,IN-PY,2018-03,24000,88665.0,29775.0,42871.0,42862.0,32169.0,9.0,9.0,100.0
Punjab,IN-PB,2018-03,495000,464094.0,348865.0,374779.0,362658.0,193328.0,12121.0,5602.0,98.3
Rajasthan,IN-RJ,2018-03,2054000,1884090.0,1182552.0,1410507.0,1369023.0,1061907.0,41484.0,12471.0,97.9
Sikkim,IN-SK,2018-03,12000,8925.0,6870.0,7323.0,7230.0,5337.0,93.0,39.0,99.3
Tamil Nadu,IN-TN,2018-03,1251000,1022933.0,962639.0,903352.0,903260.0,515305.0,92.0,28.0,100.0
Telangana,IN-TG,2018-03,724000,1179409.0,557492.0,596230.0,593403.0,321301.0,2827.0,1640.0,99.8
Tripura,IN-TR,2018-03,64000,75540.0,46022.0,51833.0,47830.0,45071.0,4003.0,1.0,92.3
Uttar Pradesh,IN-UP,2018-03,6532000,5818739.0,2630412.0,3570893.0,2946773.0,2555702.0,624120.0,94872.0,85.2
Uttarakhand,IN-UT,2018-03,216000,229256.0,139754.0,142638.0,122305.0,89687.0,20333.0,5687.0,89.7
West Bengal,IN-WB,2018-03,1648000,1656977.0,1360476.0,1324887.0,1266423.0,1003431.0,58464.0,1324.0,95.7
All India,IN,2019-03,29584120,28787946.0,19589946.0,21118228.0,19727034.0,13665067.0,1391194.0,247196.0,94.6
A & N Islands,IN-AN,2019-03,5400,4972.0,3681.0,3840.0,3754.0,3754.0,86.0,30.0,98.5
Andhra Pradesh,IN-AP,2019-03,913530,858326.0,697451.0,747243.0,742638.0,322027.0,4605.0,2884.0,99.8
Arunachal Pradesh,IN-AR,2019-03,30010,32159.0,12499.0,18872.0,16984.0,14438.0,1888.0,788.0,94.2
Assam,IN-AS,2019-03,797450,701133.0,601868.0,592973.0,532966.0,446108.0,60007.0,17316.0,92.8
Bihar,IN-BR,2019-03,3209480,3271782.0,2188568.0,2087990.0,1696852.0,1612421.0,391138.0,71437.0,84.7
Chandigarh,IN-CH,2019-03,22710,42358.0,34127.0,29021.0,28958.0,28958.0,63.0,2.0,99.8
Chhattisgarh,IN-CT,2019-03,693500,632015.0,557620.0,490703.0,475442.0,360446.0,15261.0,7301.0,98.4
Dadra & Nagar Haveli,IN-DN,2019-03,11130,8394.0,8087.0,9077.0,9035.0,8063.0,42.0,4.0,99.6
Daman & Diu,IN-DD,2019-03,7350,6555.0,6274.0,3857.0,3854.0,3376.0,3.0,1.0,99.9
Delhi,IN-DL,2019-03,373980,931041.0,335500.0,283717.0,271485.0,220550.0,12232.0,204.0,95.8
Goa,IN-GA,2019-03,23520,26896.0,15369.0,17955.0,17921.0,10563.0,34.0,6.0,99.8
Gujarat,IN-GJ,2019-03,1422390,1349576.0,1129103.0,1139108.0,1132387.0,422055.0,6721.0,3877.0,99.8
Haryana,IN-HR,2019-03,635940,591130.0,418428.0,500821.0,475065.0,286922.0,25756.0,2245.0,95.3
Himachal Pradesh,IN-HP,2019-03,126900,112583.0,98263.0,87392.0,79009.0,67491.0,8383.0,1130.0,91.7
Jammu & Kashmir,IN-JK,2019-03,232160,395092.0,266690.0,199384.0,188988.0,172065.0,10396.0,694.0,95.1
Jharkhand,IN-JH,2019-03,902270,940941.0,550682.0,737983.0,703963.0,512774.0,34020.0,12077.0,97.0
Karnataka,IN-KA,2019-03,1203120,1140111.0,928338.0,911795.0,910527.0,564549.0,1268.0,483.0,99.9
Kerala,IN-KL,2019-03,544110,504654.0,435004.0,484556.0,483836.0,143847.0,720.0,166.0,99.9
Lakshadweep,IN-LD,2019-03,1140,1266.0,1102.0,845.0,845.0,845.0,0.0,0.0,100.0
Madhya Pradesh,IN-MP,2019-03,2145450,1875916.0,1231587.0,1375631.0,1307119.0,1172770.0,68512.0,7115.0,95.5
Maharashtra,IN-MH,2019-03,2114480,2100266.0,1635676.0,1726544.0,1713864.0,890351.0,12680.0,5050.0,99.6
Manipur,IN-MN,2019-03,54930,57301.0,34390.0,38028.0,31293.0,25343.0,6735.0,4266.0,93.5
Meghalaya,IN-ML,2019-03,77430,141030.0,43766.0,84372.0,48755.0,37522.0,35617.0,1290.0,59.3
Mizoram,IN-MZ,2019-03,18950,22750.0,16865.0,19440.0,17193.0,13762.0,2247.0,566.0,91.4
Nagaland,IN-NL,2019-03,30950,37553.0,10514.0,19710.0,16173.0,12366.0,3537.0,2070.0,92.6
Odisha,IN-OR,2019-03,917870,738453.0,632652.0,655820.0,630765.0,530094.0,25055.0,8258.0,97.4
Puducherry,IN-PY,2019-03,23290,98869.0,33175.0,43977.0,43970.0,33431.0,7.0,5.0,100.0
Punjab,IN-PB,2019-03,486900,456150.0,354243.0,372882.0,364177.0,187024.0,8705.0,3834.0,98.7
Rajasthan,IN-RJ,2019-03,2006660,1825723.0,1203106.0,1384272.0,1351299.0,1035980.0,32973.0,10867.0,98.4
Sikkim,IN-SK,2019-03,11590,9420.0,7147.0,7107.0,7042.0,4636.0,65.0,29.0,99.5
Tamil Nadu,IN-TN,2019-03,1205640,1054940.0,981236.0,939547.0,939442.0,512604.0,105.0,56.0,100.0
Telangana,IN-TG,2019-03,689930,758446.0,487639.0,610191.0,609362.0,326350.0,829.0,585.0,100.0
Tripura,IN-TR,2019-03,58810,72307.0,46766.0,50343.0,47007.0,44586.0,3336.0,16.0,93.4
Uttar Pradesh,IN-UP,2019-03,6729430,6117234.0,2996142.0,3972262.0,3401350.0,2519939.0,570912.0,77335.0,87.6
Uttarakhand,IN-UT,2019-03,214310,230252.0,148429.0,147841.0,129173.0,87968.0,18668.0,4806.0,90.6
West Bengal,IN-WB,2019-03,1641410,1640352.0,1437959.0,1323129.0,1294541.0,1029089.0,28588.0,403.0,97.9
All India,IN,2020-03,29913500,29022447.0,20880452.0,21410780.0,20227064.0,13742236.0,1183716.0,216320.0,95.5
A & N Islands,IN-AN,2020-03,5500,4784.0,3455.0,3602.0,3537.0,3537.0,65.0,9.0,98.4
Andhra Pradesh,IN-AP,2020-03,919900,803046.0,654059.0,734645.0,732248.0,304544.0,2397.0,1552.0,99.9
Arunachal Pradesh,IN-AR,2020-03,30300,30162.0,11083.0,20832.0,18718.0,16066.0,2114.0,758.0,93.5
Assam,IN-AS,2020-03,805700,685229.0,603179.0,608156.0,554567.0,463880.0,53589.0,16737.0,93.9
Bihar,IN-BR,2020-03,3242100,3394623.0,2346394.0,2207610.0,1871740.0,1653275.0,335870.0,64167.0,87.7
Chandigarh,IN-CH,2020-03,23700,35734.0,26155.0,28143.0,28106.0,28106.0,37.0,3.0,99.9
Chhattisgarh,IN-CT,2020-03,701100,646957.0,582836.0,485292.0,477003.0,364192.0,8289.0,3396.0,99.0
Dadra & Nagar Haveli,IN-DN,2020-03,11500,8070.0,7799.0,9577.0,9541.0,8475.0,36.0,4.0,99.7
Daman & Diu,IN-DD,2020-03,7700,6527.0,5474.0,4048.0,4047.0,3460.0,1.0,0.0,100.0
Delhi,IN-DL,2020-03,384600,721322.0,327469.0,286281.0,275161.0,222723.0,11120.0,74.0,96.1
Goa,IN-GA,2020-03,24100,27969.0,16100.0,18434.0,18419.0,10702.0,15.0,5.0,99.9
Gujarat,IN-GJ,2020-03,1436800,1296148.0,1092037.0,1151437.0,1145868.0,439315.0,5569.0,3925.0,99.9
Haryana,IN-HR,2020-03,644300,572676.0,432948.0,514301.0,493203.0,288509.0,21098.0,1026.0,96.1
Himachal Pradesh,IN-HP,2020-03,127800,110701.0,96865.0,88701.0,82043.0,68047.0,6658.0,1317.0,94.0
Jammu & Kashmir,IN-JK,2020-03,234200,358624.0,240775.0,193368.0,182865.0,166858.0,10503.0,730.0,94.9
Jharkhand,IN-JH,2020-03,912600,953011.0,634431.0,733372.0,703850.0,520283.0,29522.0,11905.0,97.6
Karnataka,IN-KA,2020-03,1212400,1151533.0,907946.0,900933.0,900003.0,550949.0,930.0,381.0,99.9
Kerala,IN-KL,2020-03,546700,527626.0,437967.0,460850.0,460383.0,146174.0,467.0,114.0,99.9
Lakshadweep,IN-LD,2020-03,1100,1274.0,1068.0,870.0,869.0,869.0,1.0,1.0,100.0
Madhya Pradesh,IN-MP,2020-03,2173300,1919655.0,1335313.0,1412758.0,1352232.0,1207305.0,60526.0,7012.0,96.2
Maharashtra,IN-MH,2020-03,2138200,2051346.0,1758392.0,1798428.0,1787203.0,876508.0,11225.0,4145.0,99.6
Manipur,IN-MN,2020-03,55500,55346.0,32468.0,39373.0,33251.0,25935.0,6122.0,3500.0,93.3
Meghalaya,IN-ML,2020-03,78200,138997.0,48374.0,90491.0,54008.0,41284.0,36483.0,1364.0,61.2
Mizoram,IN-MZ,2020-03,19100,23614.0,17764.0,20728.0,18492.0,14753.0,2236.0,436.0,91.3
Nagaland,IN-NL,2020-03,31200,39462.0,10777.0,20774.0,17112.0,13158.0,3662.0,2005.0,92.0
Odisha,IN-OR,2020-03,924500,721502.0,629218.0,641324.0,623920.0,510738.0,17404.0,7834.0,98.5
Puducherry,IN-PY,2020-03,24200,98914.0,27240.0,43178.0,43175.0,33265.0,3.0,0.0,100.0
Punjab,IN-PB,2020-03,490800,438357.0,350172.0,379150.0,373687.0,186942.0,5463.0,2285.0,99.2
Rajasthan,IN-RJ,2020-03,2031500,1736201.0,1215896.0,1376805.0,1352917.0,1028018.0,23888.0,8500.0,98.9
Sikkim,IN-SK,2020-03,11700,9343.0,7184.0,7111.0,7065.0,5222.0,46.0,25.0,99.7
Tamil Nadu,IN-TN,2020-03,1210500,1043510.0,971553.0,942869.0,942663.0,511806.0,206.0,71.0,100.0
Telangana,IN-TG,2020-03,694700,759098.0,541937.0,621253.0,620665.0,295575.0,588.0,314.0,100.0
Tripura,IN-TR,2020-03,59400,67065.0,47227.0,52158.0,48904.0,44334.0,3254.0,13.0,93.8
Uttar Pradesh,IN-UP,2020-03,6827400,6745784.0,3886259.0,4095081.0,3605433.0,2596990.0,489648.0,68383.0,89.7
Uttarakhand,IN-UT,2020-03,216700,217191.0,153387.0,152648.0,135606.0,90453.0,17042.0,4249.0,91.6
West Bengal,IN-WB,2020-03,1654500,1621046.0,1419251.0,1266199.0,1248560.0,999986.0,17639.0,80.0,98.6
