"Commodity Code","Country or Area Code","Country or Area","Transaction Code","Commodity - Transaction Code","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"BT","24","Angola","11","BT11","Bitumen - Non-energy uses","2014","Metric tons,  thousand","118.016","1"
"BT","24","Angola","11","BT11","Bitumen - Non-energy uses","2013","Metric tons,  thousand","141",""
"BT","24","Angola","11","BT11","Bitumen - Non-energy uses","2012","Metric tons,  thousand","100",""
"BT","24","Angola","11","BT11","Bitumen - Non-energy uses","2011","Metric tons,  thousand","2",""
"BT","24","Angola","11","BT11","Bitumen - Non-energy uses","2010","Metric tons,  thousand","37",""
"BT","24","Angola","GA","BTGA","Bitumen - Total energy supply","2019","Metric tons,  thousand","37.282",""
"BT","24","Angola","GA","BTGA","Bitumen - Total energy supply","2018","Metric tons,  thousand","37.517",""
"BT","24","Angola","GA","BTGA","Bitumen - Total energy supply","2017","Metric tons,  thousand","62.321",""
"BT","24","Angola","GA","BTGA","Bitumen - Total energy supply","2016","Metric tons,  thousand","27.29",""
"BT","24","Angola","GA","BTGA","Bitumen - Total energy supply","2015","Metric tons,  thousand","60.295",""
"BT","24","Angola","GA","BTGA","Bitumen - Total energy supply","2014","Metric tons,  thousand","118.016",""
"BT","24","Angola","GA","BTGA","Bitumen - Total energy supply","2013","Metric tons,  thousand","127",""
"BT","24","Angola","GA","BTGA","Bitumen - Total energy supply","2012","Metric tons,  thousand","121",""
"BT","24","Angola","GA","BTGA","Bitumen - Total energy supply","2011","Metric tons,  thousand","2",""
"BT","24","Angola","GA","BTGA","Bitumen - Total energy supply","2010","Metric tons,  thousand","37",""
"BT","24","Angola","NA","BTNA","Bitumen - Final consumption","2019","Metric tons,  thousand","37.282","1"
"BT","24","Angola","NA","BTNA","Bitumen - Final consumption","2018","Metric tons,  thousand","37.517","1"
"BT","24","Angola","NA","BTNA","Bitumen - Final consumption","2017","Metric tons,  thousand","46.022","1"
"BT","24","Angola","NA","BTNA","Bitumen - Final consumption","2016","Metric tons,  thousand","27.29","1"
"BT","24","Angola","NA","BTNA","Bitumen - Final consumption","2015","Metric tons,  thousand","60.295","1"
"BT","24","Angola","NA","BTNA","Bitumen - Final consumption","2014","Metric tons,  thousand","118.016","1"
"BT","24","Angola","NA","BTNA","Bitumen - Final consumption","2013","Metric tons,  thousand","141",""
"BT","24","Angola","NA","BTNA","Bitumen - Final consumption","2012","Metric tons,  thousand","100",""
"BT","24","Angola","NA","BTNA","Bitumen - Final consumption","2011","Metric tons,  thousand","2",""
"BT","24","Angola","NA","BTNA","Bitumen - Final consumption","2010","Metric tons,  thousand","37",""
"BT","32","Argentina","01","BT01","Bitumen - Production","2019","Metric tons,  thousand","328",""
"BT","32","Argentina","01","BT01","Bitumen - Production","2018","Metric tons,  thousand","396",""
"BT","32","Argentina","01","BT01","Bitumen - Production","2017","Metric tons,  thousand","242",""
"BT","32","Argentina","01","BT01","Bitumen - Production","2016","Metric tons,  thousand","334",""
"BT","32","Argentina","01","BT01","Bitumen - Production","2015","Metric tons,  thousand","403",""
"BT","32","Argentina","01","BT01","Bitumen - Production","2014","Metric tons,  thousand","497",""
"BT","32","Argentina","01","BT01","Bitumen - Production","2013","Metric tons,  thousand","524",""
"BT","32","Argentina","01","BT01","Bitumen - Production","2012","Metric tons,  thousand","532",""
"BT","32","Argentina","01","BT01","Bitumen - Production","2011","Metric tons,  thousand","675",""
"BT","32","Argentina","01","BT01","Bitumen - Production","2010","Metric tons,  thousand","632",""
"BT","32","Argentina","013","BT013","Bitumen - production from refineries","2019","Metric tons,  thousand","328",""
"BT","32","Argentina","013","BT013","Bitumen - production from refineries","2018","Metric tons,  thousand","396",""
"BT","32","Argentina","013","BT013","Bitumen - production from refineries","2017","Metric tons,  thousand","242",""
"BT","32","Argentina","013","BT013","Bitumen - production from refineries","2016","Metric tons,  thousand","334",""
"BT","32","Argentina","013","BT013","Bitumen - production from refineries","2015","Metric tons,  thousand","403",""
"BT","32","Argentina","013","BT013","Bitumen - production from refineries","2014","Metric tons,  thousand","497",""
"BT","32","Argentina","013","BT013","Bitumen - production from refineries","2013","Metric tons,  thousand","524",""
"BT","32","Argentina","013","BT013","Bitumen - production from refineries","2012","Metric tons,  thousand","532",""
"BT","32","Argentina","013","BT013","Bitumen - production from refineries","2011","Metric tons,  thousand","675",""
"BT","32","Argentina","013","BT013","Bitumen - production from refineries","2010","Metric tons,  thousand","632",""
"BT","32","Argentina","03","BT03","Bitumen - Imports","2019","Metric tons,  thousand","109",""
"BT","32","Argentina","03","BT03","Bitumen - Imports","2018","Metric tons,  thousand","126",""
"BT","32","Argentina","03","BT03","Bitumen - Imports","2017","Metric tons,  thousand","71",""
"BT","32","Argentina","04","BT04","Bitumen - Exports","2019","Metric tons,  thousand","13",""
"BT","32","Argentina","04","BT04","Bitumen - Exports","2018","Metric tons,  thousand","7",""
"BT","32","Argentina","04","BT04","Bitumen - Exports","2017","Metric tons,  thousand","2",""
"BT","32","Argentina","04","BT04","Bitumen - Exports","2016","Metric tons,  thousand","4",""
"BT","32","Argentina","06","BT06","Bitumen - Stock changes","2019","Metric tons,  thousand","15",""
"BT","32","Argentina","06","BT06","Bitumen - Stock changes","2018","Metric tons,  thousand","8",""
"BT","32","Argentina","06","BT06","Bitumen - Stock changes","2017","Metric tons,  thousand","5",""
"BT","32","Argentina","06","BT06","Bitumen - Stock changes","2016","Metric tons,  thousand","-6",""
"BT","32","Argentina","06","BT06","Bitumen - Stock changes","2015","Metric tons,  thousand","-3",""
"BT","32","Argentina","06","BT06","Bitumen - Stock changes","2014","Metric tons,  thousand","-6",""
"BT","32","Argentina","06","BT06","Bitumen - Stock changes","2013","Metric tons,  thousand","3",""
"BT","32","Argentina","11","BT11","Bitumen - Non-energy uses","2019","Metric tons,  thousand","408",""
"BT","32","Argentina","11","BT11","Bitumen - Non-energy uses","2018","Metric tons,  thousand","507",""
"BT","32","Argentina","11","BT11","Bitumen - Non-energy uses","2017","Metric tons,  thousand","306",""
"BT","32","Argentina","11","BT11","Bitumen - Non-energy uses","2016","Metric tons,  thousand","336",""
"BT","32","Argentina","11","BT11","Bitumen - Non-energy uses","2015","Metric tons,  thousand","406",""
"BT","32","Argentina","11","BT11","Bitumen - Non-energy uses","2014","Metric tons,  thousand","503",""
"BT","32","Argentina","11","BT11","Bitumen - Non-energy uses","2013","Metric tons,  thousand","521",""
"BT","32","Argentina","11","BT11","Bitumen - Non-energy uses","2012","Metric tons,  thousand","532",""
"BT","32","Argentina","11","BT11","Bitumen - Non-energy uses","2011","Metric tons,  thousand","675",""
"BT","32","Argentina","11","BT11","Bitumen - Non-energy uses","2010","Metric tons,  thousand","632",""
"BT","32","Argentina","GA","BTGA","Bitumen - Total energy supply","2019","Metric tons,  thousand","409",""
"BT","32","Argentina","GA","BTGA","Bitumen - Total energy supply","2018","Metric tons,  thousand","507",""
"BT","32","Argentina","GA","BTGA","Bitumen - Total energy supply","2017","Metric tons,  thousand","306",""
"BT","32","Argentina","GA","BTGA","Bitumen - Total energy supply","2016","Metric tons,  thousand","336",""
"BT","32","Argentina","GA","BTGA","Bitumen - Total energy supply","2015","Metric tons,  thousand","406",""
"BT","32","Argentina","GA","BTGA","Bitumen - Total energy supply","2014","Metric tons,  thousand","503",""
"BT","32","Argentina","GA","BTGA","Bitumen - Total energy supply","2013","Metric tons,  thousand","521",""
"BT","32","Argentina","GA","BTGA","Bitumen - Total energy supply","2012","Metric tons,  thousand","532",""
"BT","32","Argentina","GA","BTGA","Bitumen - Total energy supply","2011","Metric tons,  thousand","675",""
"BT","32","Argentina","GA","BTGA","Bitumen - Total energy supply","2010","Metric tons,  thousand","632",""
"BT","32","Argentina","NA","BTNA","Bitumen - Final consumption","2019","Metric tons,  thousand","408",""
"BT","32","Argentina","NA","BTNA","Bitumen - Final consumption","2018","Metric tons,  thousand","507",""
"BT","32","Argentina","NA","BTNA","Bitumen - Final consumption","2017","Metric tons,  thousand","306",""
"BT","32","Argentina","NA","BTNA","Bitumen - Final consumption","2016","Metric tons,  thousand","336",""
"BT","32","Argentina","NA","BTNA","Bitumen - Final consumption","2015","Metric tons,  thousand","406",""
"BT","32","Argentina","NA","BTNA","Bitumen - Final consumption","2014","Metric tons,  thousand","503",""
"BT","32","Argentina","NA","BTNA","Bitumen - Final consumption","2013","Metric tons,  thousand","521",""
"BT","32","Argentina","NA","BTNA","Bitumen - Final consumption","2012","Metric tons,  thousand","532",""
"BT","32","Argentina","NA","BTNA","Bitumen - Final consumption","2011","Metric tons,  thousand","675",""
"BT","32","Argentina","NA","BTNA","Bitumen - Final consumption","2010","Metric tons,  thousand","632",""
"BT","51","Armenia","03","BT03","Bitumen - Imports","2018","Metric tons,  thousand","39.325",""
"BT","51","Armenia","03","BT03","Bitumen - Imports","2017","Metric tons,  thousand","31.018",""
"BT","51","Armenia","03","BT03","Bitumen - Imports","2016","Metric tons,  thousand","21.79",""
"BT","51","Armenia","03","BT03","Bitumen - Imports","2015","Metric tons,  thousand","34.43",""
"BT","51","Armenia","03","BT03","Bitumen - Imports","2014","Metric tons,  thousand","28.97",""
"BT","51","Armenia","03","BT03","Bitumen - Imports","2013","Metric tons,  thousand","33.32",""
"BT","51","Armenia","03","BT03","Bitumen - Imports","2012","Metric tons,  thousand","35.24",""
"BT","51","Armenia","03","BT03","Bitumen - Imports","2011","Metric tons,  thousand","29.61",""
"BT","51","Armenia","03","BT03","Bitumen - Imports","2010","Metric tons,  thousand","32.04",""
"BT","51","Armenia","04","BT04","Bitumen - Exports","2015","Metric tons,  thousand","0.09",""
"BT","51","Armenia","04","BT04","Bitumen - Exports","2014","Metric tons,  thousand","0.07",""
"BT","51","Armenia","06","BT06","Bitumen - Stock changes","2018","Metric tons,  thousand","14.047",""
"BT","51","Armenia","06","BT06","Bitumen - Stock changes","2017","Metric tons,  thousand","13.132",""
"BT","51","Armenia","06","BT06","Bitumen - Stock changes","2016","Metric tons,  thousand","7.11",""
"BT","51","Armenia","11","BT11","Bitumen - Non-energy uses","2018","Metric tons,  thousand","25.278",""
"BT","51","Armenia","11","BT11","Bitumen - Non-energy uses","2017","Metric tons,  thousand","17.885",""
"BT","51","Armenia","11","BT11","Bitumen - Non-energy uses","2016","Metric tons,  thousand","14.68",""
"BT","51","Armenia","11","BT11","Bitumen - Non-energy uses","2015","Metric tons,  thousand","33.94",""
"BT","51","Armenia","11","BT11","Bitumen - Non-energy uses","2014","Metric tons,  thousand","28.9","1"
"BT","51","Armenia","11","BT11","Bitumen - Non-energy uses","2013","Metric tons,  thousand","33.32","1"
"BT","51","Armenia","11","BT11","Bitumen - Non-energy uses","2012","Metric tons,  thousand","35.24","1"
"BT","51","Armenia","11","BT11","Bitumen - Non-energy uses","2011","Metric tons,  thousand","29.61","1"
"BT","51","Armenia","11","BT11","Bitumen - Non-energy uses","2010","Metric tons,  thousand","32.04","1"
"BT","51","Armenia","12","BT12","Bitumen - Final energy consumption","2015","Metric tons,  thousand","0.4",""
"BT","51","Armenia","121","BT121","Bitumen - consumption by manufacturing, construction and non-fuel mining industry","2015","Metric tons,  thousand","0.4",""
"BT","51","Armenia","1214","BT1214","Bitumen - consumption by other manuf., const. and non-fuel min. ind.","2015","Metric tons,  thousand","0.4",""
"BT","51","Armenia","1214i","BT1214i","Bitumen - Consumption by construction ","2015","Metric tons,  thousand","0.4",""
"BT","51","Armenia","GA","BTGA","Bitumen - Total energy supply","2018","Metric tons,  thousand","25.278",""
"BT","51","Armenia","GA","BTGA","Bitumen - Total energy supply","2017","Metric tons,  thousand","17.886",""
"BT","51","Armenia","GA","BTGA","Bitumen - Total energy supply","2016","Metric tons,  thousand","14.68",""
"BT","51","Armenia","GA","BTGA","Bitumen - Total energy supply","2015","Metric tons,  thousand","34.34",""
"BT","51","Armenia","GA","BTGA","Bitumen - Total energy supply","2014","Metric tons,  thousand","28.9",""
