udise_district_code,udise_block_code,block_name
0917,udiseCode/091703,Awagarh
0105,udiseCode/010501,Awantipora
0947,udiseCode/094713,Ayodhya Town Area
3308,udiseCode/330814,Ayothiyapattinam
0961,udiseCode/096123,Azamgrah
1010,udiseCode/101012,Azamnagar
0961,udiseCode/096116,Azmatgarh
0958,udiseCode/095804,Baansgaon
0943,udiseCode/094319,Baba Bhelkharnath
0943,udiseCode/094302,Babaganj
2337,udiseCode/233702,Babai
0604,udiseCode/060404,Babain
2413,udiseCode/241302,Babara
0940,udiseCode/094005,Baberu
0110,udiseCode/011002,Babey
0970,udiseCode/097007,Babhani
0953,udiseCode/095310,Babhanjot
2714,udiseCode/271402,Babhulgaon
0936,udiseCode/093601,Babina
1005,udiseCode/100502,Babubarhi
3619,udiseCode/361907,Bachannapeta
0928,udiseCode/092804,Bachhrawan
1020,udiseCode/102002,Bachhwara
3621,udiseCode/362103,Bachpalle
2309,udiseCode/230901,Bada Malehra
2902,udiseCode/290201,Badami
2812,udiseCode/281214,Badangi
1822,udiseCode/182201,Badarpur
2306,udiseCode/230603,Badarwas
2217,udiseCode/221710,Baderajpur
0826,udiseCode/082602,Badgaon
0958,udiseCode/095812,Badhalganj
0613,udiseCode/061301,Badhra
0622,udiseCode/062201,Badhra
2334,udiseCode/233401,Badi
0829,udiseCode/082912,Badi Sadri
0964,udiseCode/096416,Badla Pur
2718,udiseCode/271802,Badnapur
2325,udiseCode/232501,Badnavar
0940,udiseCode/094001,Badokhar Khurd
0962,udiseCode/096207,Badraw
1911,udiseCode/191110,Baduria
1911,udiseCode/191147,Baduria Municipality
2820,udiseCode/282011,Badvel
2327,udiseCode/232713,Badwaha
2338,udiseCode/233803,Badwara
0111,udiseCode/011101,Bafliaz
1602,udiseCode/160207,Bagafa
1001,udiseCode/100107,Bagaha-I
1001,udiseCode/100108,Bagaha-Ii (Sidhaw)
2902,udiseCode/290202,Bagalkot
0926,udiseCode/092602,Bagarmau
2413,udiseCode/241303,Bagasara
2212,udiseCode/221209,Bagbahara
1911,udiseCode/191120,Bagdah
2929,udiseCode/292901,Bagepally
0508,udiseCode/050801,Bageshwar
2325,udiseCode/232502,Bagh
0310,udiseCode/031001,Bagha Purana
0955,udiseCode/095516,Baghauli
0956,udiseCode/095616,Baghauli
1703,udiseCode/170302,Baghmara
2012,udiseCode/201206,Baghmara
1914,udiseCode/191402,Baghmundi
0902,udiseCode/090202,Baghra
2203,udiseCode/220301,Bagicha
0828,udiseCode/082806,Bagidora
2720,udiseCode/272001,Baglan
2323,udiseCode/232304,Bagli
1916,udiseCode/191603,Bagnan-I
1916,udiseCode/191604,Bagnan-Ii
2006,udiseCode/200614,Bagodar
0908,udiseCode/090801,Bagpat
0915,udiseCode/091503,Bah
0513,udiseCode/051301,Bahadarabad
1008,udiseCode/100826,Bahadurganj
0615,udiseCode/061502,Bahadurgarh
0928,udiseCode/092816,Bahadurpur
0945,udiseCode/094508,Bahadurpur
0955,udiseCode/095501,Bahadurpur
0973,udiseCode/097315,Bahadurpur
0973,udiseCode/097325,Bahadurpur
1013,udiseCode/101306,Bahadurpur
3622,udiseCode/362211,Bahadurpura
2107,udiseCode/210701,Bahalda
2108,udiseCode/210801,Bahanaga
2018,udiseCode/201807,Baharagora
0945,udiseCode/094519,Bahariya
0920,udiseCode/092014,Baheri
1013,udiseCode/101305,Baheri
0920,udiseCode/092013,Baheri Town
2338,udiseCode/233801,Bahoriband
0942,udiseCode/094207,Bahua
1912,udiseCode/191226,Baidyabati  Municipality
2345,udiseCode/234509,Baihar
0202,udiseCode/020201,Baijnath
1015,udiseCode/101514,Baikunthpur
2201,udiseCode/220120,Baikunthpur
2901,udiseCode/290102,Bailhongal
2823,udiseCode/282361,Baireddipalle
1004,udiseCode/100408,Bairgania
0963,udiseCode/096316,Bairia
1001,udiseCode/100105,Bairia
1009,udiseCode/100901,Baisa
1009,udiseCode/100902,Baisi
0960,udiseCode/096002,Baitalpur
0817,udiseCode/081702,Baitu
2341,udiseCode/234111,Bajag
1805,udiseCode/180504,Bajali
2320,udiseCode/232002,Bajna
1004,udiseCode/100414,Bajpatti
0832,udiseCode/083204,Bakani
2215,udiseCode/221529,Bakawand
1020,udiseCode/102011,Bakhri
1028,udiseCode/102817,Bakhtiyarpur
0210,udiseCode/021001,Bakras
0927,udiseCode/092708,Bakshi Ka Talab
0306,udiseCode/030602,Balachaur
2329,udiseCode/232901,Baladi
1912,udiseCode/191214,Balagarh
2345,udiseCode/234501,Balaghat
0111,udiseCode/011102,Balakote
3621,udiseCode/362106,Balanagar
3625,udiseCode/362512,Balanagar
3625,udiseCode/362523,Balanagar
2124,udiseCode/212402,Balangir
2124,udiseCode/212415,Balangir Mpl
2705,udiseCode/270503,Balapur
3623,udiseCode/362305,Balapur
3214,udiseCode/321402,Balaramapuram
1914,udiseCode/191403,Balarampur
2416,udiseCode/241601,Balasinor
2431,udiseCode/243105,Balasinor
2108,udiseCode/210813,Balasore Mpl
2819,udiseCode/281936,Balayapalli
0914,udiseCode/091410,Baldeo
2308,udiseCode/230801,Baldewgarh
0949,udiseCode/094926,Baldirai
0815,udiseCode/081504,Balesar
0205,udiseCode/020506,Balh
0950,udiseCode/095010,Balha
0820,udiseCode/082009,Bali
1020,udiseCode/102016,Balia
0901,udiseCode/090108,Balia Khedi
2117,udiseCode/211701,Balianta
2108,udiseCode/210802,Baliapal
2012,udiseCode/201205,Baliapur
2121,udiseCode/212115,Baliguda Nac
1204,udiseCode/120404,Balijan
1803,udiseCode/180304,Balijana
2812,udiseCode/281209,Balijipeta
2111,udiseCode/211101,Balikuda
2130,udiseCode/213008,Balimela Nac
1811,udiseCode/181103,Balipara
2117,udiseCode/211702,Balipatna
2105,udiseCode/210501,Balisankara
0112,udiseCode/011219,Baljarallan
3605,udiseCode/360504,Balkonda
0619,udiseCode/061901,Ballabgarh
2713,udiseCode/271304,Ballarpur
0963,udiseCode/096318,Ballia N.P.
2121,udiseCode/212101,Balliguda
2818,udiseCode/281817,Ballikurava
1916,udiseCode/191605,Bally- Jagacha
1916,udiseCode/191616,Bally Municipality
3607,udiseCode/360746,Balmoor
