S No,District_Code,District_Name_English,District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
288,527,BELAGAVI,ಬೆಳಗಾವಿ,KARNATAKA(State),BLG,01,555,Not Covered,,,,
289,526,BENGALURU RURAL,ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ,KARNATAKA(State),BRR,21,583,Not Covered,,,,
290,525,BENGALURU URBAN,ಬೆಂಗಳೂರು,KARNATAKA(State),BUR,20,572,Not Covered,,,,
291,529,BIDAR,ಬೀದರ್‌,KARNATAKA(State),BDR,05,558,Not Covered,,,,
292,531,CHAMARAJANAGARA,ಚಾಮರಾಜನಗರ,KARNATAKA(State),CHJ,27,578,Not Covered,,,,
293,630,CHIKKABALLAPURA,ಚಿಕ್ಕಬಳ್ಳಾಪುರ,KARNATAKA(State),CHB,19,582,Not Covered,,,,
294,532,CHIKKAMAGALURU,ಚಿಕ್ಕಮಗಳೂರು,KARNATAKA(State),CKM,17,570,Not Covered,,,,
295,533,CHITRADURGA,ಚಿತ್ರದುರ್ಗ,KARNATAKA(State),CTR,13,566,Not Covered,,,,
296,534,DAKSHINA KANNADA,ದಕ್ಷಿಣ ಕನ್ನಡ,KARNATAKA(State),DKD,24,575,Not Covered,,,,
297,535,DAVANGERE,ದಾವಣಗೆರೆ,KARNATAKA(State),DAV,14,567,Not Covered,,,,
298,536,DHARWAD,ಧಾರವಾಡ,KARNATAKA(State),DRW,09,562,Not Covered,,,,
299,537,GADAG,ಗದಗ,KARNATAKA(State),GDG,08,561,Not Covered,,,,
300,539,HASSAN,ಹಾಸನ,KARNATAKA(State),HAS,23,574,Not Covered,,,,
301,540,HAVERI,ಹಾವೇರಿ,KARNATAKA(State),HAV,11,564,Not Covered,,,,
302,538,KALABURAGI,ಕಲಬುರಗಿ,KARNATAKA(State),KLB,04,579,Not Covered,,,,
303,541,KODAGU,ಕೊಡಗು,KARNATAKA(State),KDG,25,576,Not Covered,,,,
304,542,KOLAR,ಕೋಲಾರ,KARNATAKA(State),KLR,19,581,Not Covered,,,,
305,543,KOPPAL,ಕೊಪ್ಪಳ,KARNATAKA(State),KPL,07,560,Not Covered,,,,
306,544,MANDYA,ಮಂಡ್ಯ,KARNATAKA(State),MDY,22,573,Not Covered,,,,
307,545,MYSURU,ಮೈಸೂರು,KARNATAKA(State),MYS,26,577,Not Covered,,,,
308,546,RAICHUR,ರಾಯಚೂರು,KARNATAKA(State),RCH,06,559,Not Covered,,,,
309,631,RAMANAGARA,ರಾಮನಗರ,KARNATAKA(State),RAM,21,584,Not Covered,,,,
310,547,SHIVAMOGGA,ಶಿವಮೊಗ್ಗ,KARNATAKA(State),SVM,15,568,Not Covered,,,,
311,548,TUMAKURU,ತುಮಕೂರು,KARNATAKA(State),TMK,18,571,Not Covered,,,,
312,549,UDUPI,ಉಡುಪಿ,KARNATAKA(State),UDU,16,569,Not Covered,,,,
313,550,UTTARA KANNADA,ಉತ್ತರ ಕನ್ನಡ,KARNATAKA(State),UKD,10,563,Not Covered,,,,
314,738,VIJAYANAGAR,,KARNATAKA(State),,,000,Not Covered,,,,
315,530,VIJAYAPURA,ವಿಜಯಾಪುರ,KARNATAKA(State),VJP,03,557,Not Covered,,,,
316,635,YADGIR,ಯಾದಗಿರಿ,KARNATAKA(State),YDG,04,580,Not Covered,,,,
317,554,ALAPPUZHA,ആലപ്പുഴ,KERALA(State),ALZ,11,598,Not Covered,,,,
318,555,ERNAKULAM,എറണാകുളം,KERALA(State),ERN,08,595,Not Covered,,,,
319,556,IDUKKI,ഇടുക്കി,KERALA(State),IDK,09,596,Not Covered,,,,
320,557,KANNUR,കണ്ണൂര്‍,KERALA(State),KNU,02,589,Not Covered,,,,
321,558,KASARAGOD,കാസര്‍കോഡ്,KERALA(State),KSR,01,588,Not Covered,,,,
322,559,KOLLAM,കൊല്ലം,KERALA(State),KLM,13,600,Not Covered,,,,
323,560,KOTTAYAM,കോട്ടയം,KERALA(State),KTM,10,597,Not Covered,,,,
324,561,KOZHIKODE,കോഴിക്കോട്,KERALA(State),KOZ,04,591,Not Covered,,,,
325,562,MALAPPURAM,മലപ്പുറം,KERALA(State),MLP,05,592,Not Covered,,,,
326,563,PALAKKAD,പാലക്കാട്,KERALA(State),PLK,06,593,Not Covered,,,,
327,564,PATHANAMTHITTA,പത്തനംതിട്ട,KERALA(State),PTT,12,599,Not Covered,,,,
328,565,THIRUVANANTHAPURAM,തിരുവനന്തപുരം,KERALA(State),TVP,14,601,Not Covered,,,,
329,566,THRISSUR,തൃശ്ശൂര്‍,KERALA(State),TSR,07,594,Not Covered,,,,
330,567,WAYANAD,വയനാട്,KERALA(State),WAY,03,590,Not Covered,,,,
331,6,KARGIL,KARGIL,LADAKH(State),KRG,08,004,Not Covered,,,,
332,9,LEH LADAKH,LEH LADAKH,LADAKH(State),LLD,07,003,Not Covered,,,,
333,553,LAKSHADWEEP DISTRICT,LAKSHADWEEP DISTRICT,LAKSHADWEEP(State),LKS,01,587,Not Covered,,,,
334,667,AGAR MALWA,आगर मालवा,MADHYA PRADESH(State),AGM,,000,Not Covered,,,,
335,639,ALIRAJPUR,अलीराजपुर,MADHYA PRADESH(State),ALI,24,465,Fully Covered,,,,
336,390,ANUPPUR,अनूपपुर,MADHYA PRADESH(State),ANP,16,461,Not Covered,,,,
337,391,ASHOKNAGAR,अशोकनगर,MADHYA PRADESH(State),ANR,46,459,Not Covered,,,,
338,392,BALAGHAT,बालाघाट,MADHYA PRADESH(State),BGT,45,457,Not Covered,,,,
339,393,BARWANI,बड़वानी,MADHYA PRADESH(State),BRW,28,441,Fully Covered,,,,
340,394,BETUL,बैतूल,MADHYA PRADESH(State),BTL,35,447,Not Covered,,,,
341,395,BHIND,भिण्ड,MADHYA PRADESH(State),BHN,03,420,Not Covered,,,,
342,396,BHOPAL,भोपाल,MADHYA PRADESH(State),BHP,32,444,Not Covered,,,,
343,397,BURHANPUR,बुरहानपुर,MADHYA PRADESH(State),BRH,29,467,Not Covered,,,,
344,398,CHHATARPUR,छ्तरपुर,MADHYA PRADESH(State),CRP,09,425,Not Covered,,,,
345,399,CHHINDWARA,छिन्दवाड़ा,MADHYA PRADESH(State),CDW,43,455,Not Covered,,,,
346,400,DAMOH,दमोह,MADHYA PRADESH(State),DMH,12,428,Not Covered,,,,
347,401,DATIA,दतिया,MADHYA PRADESH(State),DAT,05,422,Not Covered,,,,
348,402,DEWAS,देवास,MADHYA PRADESH(State),DWS,23,437,Not Covered,,,,
349,403,DHAR,धार,MADHYA PRADESH(State),DHA,25,438,Not Covered,,,,
350,404,DINDORI,डिंडोरी,MADHYA PRADESH(State),DND,41,453,Fully Covered,,,,
351,405,EAST NIMAR,पूर्व निमाड़ खण्डवा,MADHYA PRADESH(State),ENR,29,466,Not Covered,,,,
352,406,GUNA,गुना,MADHYA PRADESH(State),GUN,07,458,Not Covered,,,,
353,407,GWALIOR,ग्वालियर,MADHYA PRADESH(State),GWL,04,421,Not Covered,,,,
354,408,HARDA,हरदा,MADHYA PRADESH(State),HDA,36,448,Not Covered,,,,
355,410,INDORE,इन्दौर,MADHYA PRADESH(State),IND,26,439,Not Covered,,,,
356,411,JABALPUR,जबलपुर,MADHYA PRADESH(State),JBL,39,451,Not Covered,,,,
357,412,JHABUA,झाबुआ,MADHYA PRADESH(State),JHA,24,464,Fully Covered,,,,
358,413,KATNI,कटनी,MADHYA PRADESH(State),KTN,38,450,Not Covered,,,,
359,414,KHARGONE,खरगौन,MADHYA PRADESH(State),KHA,27,440,Not Covered,,,,
360,415,MANDLA,मंडला,MADHYA PRADESH(State),MDL,42,454,Fully Covered,,,,
361,416,MANDSAUR,मन्दसौर,MADHYA PRADESH(State),MAN,19,433,Not Covered,,,,
362,417,MORENA,मुरैना,MADHYA PRADESH(State),MRN,02,419,Not Covered,,,,
363,409,NARMADAPURAM,नर्मदापुरम,MADHYA PRADESH(State),HSH,37,449,Not Covered,,,,
364,418,NARSINGHPUR,नरसिंहपुर,MADHYA PRADESH(State),NRS,40,452,Not Covered,,,,
365,419,NEEMUCH,नीमच,MADHYA PRADESH(State),NMC,18,432,Not Covered,,,,
366,722,Niwari,निवारी,MADHYA PRADESH(State),NWR,,000,Not Covered,,,,
367,420,PANNA,पन्ना,MADHYA PRADESH(State),PNN,10,426,Not Covered,,,,
368,421,RAISEN,रायसेन,MADHYA PRADESH(State),RSN,34,446,Not Covered,,,,
369,422,RAJGARH,राजगढ़,MADHYA PRADESH(State),RJG,30,442,Not Covered,,,,
370,423,RATLAM,रतलाम,MADHYA PRADESH(State),RTL,20,434,Not Covered,,,,
371,424,REWA,रीवा,MADHYA PRADESH(State),REW,14,430,Not Covered,,,,
372,425,SAGAR,सागर,MADHYA PRADESH(State),SGR,11,427,Not Covered,,,,
373,426,SATNA,सतना,MADHYA PRADESH(State),STN,13,429,Not Covered,,,,
374,427,SEHORE,सीहोर,MADHYA PRADESH(State),SEH,33,445,Not Covered,,,,
375,428,SEONI,सिवनी,MADHYA PRADESH(State),SEO,44,456,Not Covered,,,,
376,429,SHAHDOL,शहडोल,MADHYA PRADESH(State),SHD,16,460,Not Covered,,,,
377,430,SHAJAPUR,शाजापुर,MADHYA PRADESH(State),SJR,22,436,Not Covered,,,,
378,431,SHEOPUR,श्योपुर,MADHYA PRADESH(State),SHP,01,418,Not Covered,,,,
379,432,SHIVPURI,शिवपुरी,MADHYA PRADESH(State),SVP,06,423,Not Covered,,,,
380,433,SIDHI,सीधी,MADHYA PRADESH(State),SDH,17,462,Not Covered,,,,
381,638,SINGRAULI,सिंगरौली,MADHYA PRADESH(State),SGL,,463,Not Covered,,,,
382,434,TIKAMGARH,टीकमगढ़,MADHYA PRADESH(State),TKM,08,424,Not Covered,,,,
383,435,UJJAIN,उज्जैन,MADHYA PRADESH(State),UJJ,21,435,Not Covered,,,,
384,436,UMARIA,उमरिया,MADHYA PRADESH(State),UMA,15,431,Not Covered,,,,
385,437,VIDISHA,विदिशा,MADHYA PRADESH(State),VID,31,443,Not Covered,,,,
386,466,AHMEDNAGAR,अहमदनगर,MAHARASHTRA(State),AHN,26,522,Not Covered,,,,
387,467,AKOLA,अकोला,MAHARASHTRA(State),AKO,05,501,Not Covered,,,,
388,468,AMRAVATI,अमरावती,MAHARASHTRA(State),AMV,07,503,Not Covered,,,,
389,469,AURANGABAD,औरंगाबाद,MAHARASHTRA(State),AUR,19,515,Not Covered,,,,
390,470,BEED,बीड,MAHARASHTRA(State),BEE,27,523,Not Covered,,,,
391,471,BHANDARA,भंडारा,MAHARASHTRA(State),BHA,10,506,Not Covered,,,,
392,472,BULDHANA,बुलढाणा,MAHARASHTRA(State),BUL,04,500,Not Covered,,,,
393,473,CHANDRAPUR,चंद्रपूर,MAHARASHTRA(State),CPR,13,509,Partially Covered,,,,
394,474,DHULE,धुळे,MAHARASHTRA(State),DHU,02,498,Not Covered,,,,
395,475,GADCHIROLI,गडचिरोली,MAHARASHTRA(State),GDC,12,508,Not Covered,,,,
396,476,GONDIA,गोंदीया,MAHARASHTRA(State),GON,11,507,Not Covered,,,,
397,477,HINGOLI,हिंगोली,MAHARASHTRA(State),HIN,16,512,Not Covered,,,,
398,478,JALGAON,जळगाव,MAHARASHTRA(State),JLG,03,499,Partially Covered,,,,
399,479,JALNA,जालना,MAHARASHTRA(State),JAL,18,514,Not Covered,,,,
400,480,KOLHAPUR,कोल्हापूर,MAHARASHTRA(State),KLP,34,530,Not Covered,,,,
401,481,LATUR,लातूर,MAHARASHTRA(State),LTR,28,524,Not Covered,,,,
402,482,MUMBAI,मुंबई,MAHARASHTRA(State),MMB,23,519,Not Covered,,,,
403,483,MUMBAI SUBURBAN,मुंबई उपनगर,MAHARASHTRA(State),MMS,22,518,Not Covered,,,,
404,484,NAGPUR,नागपूर,MAHARASHTRA(State),NGP,09,505,Not Covered,,,,
405,485,NANDED,नांदेड,MAHARASHTRA(State),NAN,15,511,Not Covered,,,,
406,486,NANDURBAR,नंदूरबार,MAHARASHTRA(State),NNR,01,497,Not Covered,,,,
407,487,NASHIK,नाशिक,MAHARASHTRA(State),NSH,20,516,Not Covered,,,,
408,488,OSMANABAD,उस्मानाबाद,MAHARASHTRA(State),OSM,29,525,Not Covered,,,,
409,665,PALGHAR,पालघर,MAHARASHTRA(State),PLG,,000,Not Covered,,,,
410,489,PARBHANI,परभणी,MAHARASHTRA(State),PBN,17,513,Not Covered,,,,
411,490,PUNE,पुणे,MAHARASHTRA(State),PUN,25,521,Not Covered,,,,
412,491,RAIGAD,रायगड,MAHARASHTRA(State),RGD,24,520,Not Covered,,,,
413,492,RATNAGIRI,रत्नागिरी,MAHARASHTRA(State),RTN,32,528,Not Covered,,,,
414,493,SANGLI,सांगली,MAHARASHTRA(State),SNG,35,531,Not Covered,,,,
415,494,SATARA,सातारा,MAHARASHTRA(State),SAT,31,527,Not Covered,,,,
416,495,SINDHUDURG,सिंधुदुर्ग,MAHARASHTRA(State),SIN,33,529,Not Covered,,,,
417,496,SOLAPUR,सोलापूर,MAHARASHTRA(State),SOL,30,526,Not Covered,,,,
418,497,THANE,ठाणे,MAHARASHTRA(State),THN,21,517,Not Covered,,,,
419,498,WARDHA,वर्धा,MAHARASHTRA(State),WRD,08,504,Not Covered,,,,
420,499,WASHIM,वाशिम,MAHARASHTRA(State),WSH,06,502,Not Covered,,,,
421,500,YAVATMAL,यवतमाळ,MAHARASHTRA(State),YVT,14,510,Not Covered,,,,
422,252,BISHNUPUR,BISHNUPUR,MANIPUR(State),BSH,04,275,Not Covered,,,,
423,253,CHANDEL,CHANDEL,MANIPUR(State),CHA,09,280,Not Covered,,,,
424,254,CHURACHANDPUR,CHURACHANDPUR,MANIPUR(State),CHC,03,274,Not Covered,,,,
425,255,IMPHAL EAST,IMPHAL EAST,MANIPUR(State),IME,07,278,Not Covered,,,,
426,256,IMPHAL WEST,IMPHAL WEST,MANIPUR(State),IMW,06,277,Not Covered,,,,
427,713,JIRIBAM,,MANIPUR(State),JRB,,000,Not Covered,,,,
428,711,KAKCHING,,MANIPUR(State),KKC,,000,Not Covered,,,,
429,717,KAMJONG,,MANIPUR(State),KMJ,,000,Not Covered,,,,
430,712,KANGPOKPI,,MANIPUR(State),KNP,,000,Not Covered,,,,
431,714,NONEY,NONEY,MANIPUR(State),NNY,,000,Not Covered,,,,
432,715,PHERZAWL,,MANIPUR(State),PHR,,000,Not Covered,,,,
433,257,SENAPATI,SENAPATI,MANIPUR(State),SNT,01,272,Not Covered,,,,
434,258,TAMENGLONG,TAMENGLONG,MANIPUR(State),TMN,02,273,Not Covered,,,,
435,716,TENGNOUPAL,TENGNOUPAL,MANIPUR(State),TNG,,000,Not Covered,,,,
436,259,THOUBAL,THOUBAL,MANIPUR(State),THB,05,276,Not Covered,,,,
437,260,UKHRUL,UKHRUL,MANIPUR(State),UKH,08,279,Not Covered,,,,
438,740,EASTERN WEST KHASI HILLS,,MEGHALAYA(State),,,000,Not Covered,,,,
439,273,EAST GARO HILLS,EAST GARO HILLS,MEGHALAYA(State),EGH,02,294,Not Covered,,,,
440,657,EAST JAINTIA HILLS,EAST JAINTIA HILLS,MEGHALAYA(State),EJH,,000,Not Covered,,,,
441,274,EAST KHASI HILLS,EAST KHASI HILLS,MEGHALAYA(State),EKH,06,298,Not Covered,,,,
442,656,NORTH GARO HILLS,NORTH GARO HILLS,MEGHALAYA(State),NGH,,000,Not Covered,,,,
443,276,RI BHOI,RI BHOI,MEGHALAYA(State),RGH,05,297,Not Covered,,,,
444,277,SOUTH GARO HILLS,SOUTH GARO HILLS,MEGHALAYA(State),SGH,03,295,Not Covered,,,,
445,663,SOUTH WEST GARO HILLS,SOUTH WEST GARO HILLS,MEGHALAYA(State),SWG,,000,Not Covered,,,,
446,658,SOUTH WEST KHASI HILLS,SOUTH WEST KHASI HILLS,MEGHALAYA(State),SWK,,000,Not Covered,,,,
447,278,WEST GARO HILLS,WEST GARO HILLS,MEGHALAYA(State),WGH,01,293,Not Covered,,,,
448,275,WEST JAINTIA HILLS,WEST JAINTIA HILLS,MEGHALAYA(State),WJH,07,299,Not Covered,,,,
449,279,WEST KHASI HILLS,WEST KHASI HILLS,MEGHALAYA(State),WKA,04,296,Not Covered,,,,
450,261,AIZAWL,AIZAWL,MIZORAM(State),AIZ,03,283,Not Covered,,,,
451,262,CHAMPHAI,CHAMPHAI,MIZORAM(State),CPH,04,284,Not Covered,,,,
452,726,Hnahthial,,MIZORAM(State),,,000,Not Covered,,,,
453,728,KHAWZAWL,KHAWZAWL,MIZORAM(State),,,000,Not Covered,,,,
454,263,KOLASIB,KOLASIB,MIZORAM(State),KLS,02,282,Not Covered,,,,
455,264,LAWNGTLAI,LAWNGTLAI,MIZORAM(State),LWN,07,287,Not Covered,,,,
456,265,LUNGLEI,LUNGLEI,MIZORAM(State),LNG,06,286,Not Covered,,,,
457,266,MAMIT,MAMIT,MIZORAM(State),MMT,01,281,Not Covered,,,,
458,267,SAIHA,SAIHA,MIZORAM(State),SAI,08,288,Not Covered,,,,
459,727,SAITUAL,SAITUAL,MIZORAM(State),,,000,Not Covered,,,,
460,268,SERCHHIP,SERCHHIP,MIZORAM(State),SER,05,285,Not Covered,,,,
461,758,Chumoukedima,Chumoukedima,NAGALAND(State),,,000,Not Covered,,,,
462,244,DIMAPUR,DIMAPUR,NAGALAND(State),DMP,06,265,Not Covered,,,,
463,614,KIPHIRE,,NAGALAND(State),KIP,02,269,Not Covered,,,,
464,245,KOHIMA,KOHIMA,NAGALAND(State),KHM,07,270,Not Covered,,,,
465,615,LONGLENG,,NAGALAND(State),LLG,02,268,Not Covered,,,,
466,246,MOKOKCHUNG,MOKOKCHUNG,NAGALAND(State),MKK,03,262,Not Covered,,,,
467,247,MON,MON,NAGALAND(State),MON,01,261,Not Covered,,,,
468,736,Noklak,Noklak,NAGALAND(State),,,000,Not Covered,,,,
469,613,PEREN,,NAGALAND(State),PER,07,271,Not Covered,,,,
470,248,PHEK,PHEK,NAGALAND(State),PHK,08,266,Not Covered,,,,
471,757,Tseminyu,Tseminyu,NAGALAND(State),,,000,Not Covered,,,,
472,249,TUENSANG,TUENSANG,NAGALAND(State),TNS,02,267,Not Covered,,,,
473,250,WOKHA,WOKHA,NAGALAND(State),WKH,05,264,Not Covered,,,,
474,251,ZUNHEBOTO,ZUNHEBOTO,NAGALAND(State),ZNH,04,263,Not Covered,,,,
475,344,ANUGUL,ANUGUL,ODISHA(State),ANU,15,384,Not Covered,,,,
476,345,BALANGIR,BALANGIR,ODISHA(State),BLN,24,393,Not Covered,,,,
477,346,BALESHWAR,BALESHWAR,ODISHA(State),BLW,08,377,Not Covered,,,,
478,347,BARGARH,BARGARH,ODISHA(State),BRG,01,370,Not Covered,,,,
479,348,BHADRAK,BHADRAK,ODISHA(State),BDK,09,378,Not Covered,,,,
480,349,BOUDH,BOUDH,ODISHA(State),BDH,22,391,Not Covered,,,,
481,350,CUTTACK,CUTTACK,ODISHA(State),CTT,12,381,Not Covered,,,,
482,351,DEOGARH,DEOGARH,ODISHA(State),DGR,04,373,Not Covered,,,,
483,352,DHENKANAL,DHENKANAL,ODISHA(State),DHK,14,383,Not Covered,,,,
484,353,GAJAPATI,GAJAPATI,ODISHA(State),GJP,20,389,Not Covered,,,,
485,354,GANJAM,GANJAM,ODISHA(State),GNJ,19,388,Not Covered,,,,
486,355,JAGATSINGHAPUR,JAGATSINGHAPUR,ODISHA(State),JGT,11,380,Not Covered,,,,
487,356,JAJAPUR,JAJAPUR,ODISHA(State),JJP,13,382,Not Covered,,,,
488,357,JHARSUGUDA,JHARSUGUDA,ODISHA(State),JHR,02,371,Not Covered,,,,
489,358,KALAHANDI,KALAHANDI,ODISHA(State),KLH,26,395,Not Covered,,,,
490,359,KANDHAMAL,KANDHAMAL,ODISHA(State),KNM,21,390,Not Covered,,,,
491,360,KENDRAPARA,KENDRAPARA,ODISHA(State),KND,10,379,Not Covered,,,,
492,361,KENDUJHAR,KENDUJHAR,ODISHA(State),KNH,06,375,Not Covered,,,,
493,362,KHORDHA,KHORDHA,ODISHA(State),KHD,17,386,Not Covered,,,,
494,363,KORAPUT,KORAPUT,ODISHA(State),KRP,29,398,Fully Covered,,,,
495,364,MALKANGIRI,MALKANGIRI,ODISHA(State),MLK,30,399,Fully Covered,,,,
496,365,MAYURBHANJ,MAYURBHANJ,ODISHA(State),MYR,07,376,Fully Covered,,,,
497,366,NABARANGPUR,NABARANGPUR,ODISHA(State),NBR,28,397,Fully Covered,,,,
498,367,NAYAGARH,NAYAGARH,ODISHA(State),NYG,16,385,Not Covered,,,,
499,368,NUAPADA,NUAPADA,ODISHA(State),NPD,25,394,Not Covered,,,,
500,369,PURI,PURI,ODISHA(State),PUR,18,387,Not Covered,,,,
501,370,RAYAGADA,RAYAGADA,ODISHA(State),RYG,27,396,Fully Covered,,,,
502,371,SAMBALPUR,SAMBALPUR,ODISHA(State),SMB,03,372,Not Covered,,,,
503,372,SONEPUR,SONEPUR,ODISHA(State),SNE,23,392,Not Covered,,,,
504,373,SUNDARGARH,SUNDARGARH,ODISHA(State),SDG,05,374,Fully Covered,,,,
505,598,KARAIKAL,KARAIKAL,PUDUCHERRY(State),KKL,04,637,Not Covered,,,,
506,599,MAHE,MAHE,PUDUCHERRY(State),MHE,03,636,Not Covered,,,,
507,600,PONDICHERRY,PONDICHERRY,PUDUCHERRY(State),PON,02,635,Not Covered,,,,
508,601,YANAM,YANAM,PUDUCHERRY(State),YAN,01,634,Not Covered,,,,
509,27,AMRITSAR,AMRITSAR,PUNJAB(State),AMT,02,049,Not Covered,,,,
510,605,BARNALA,,PUNJAB(State),BNL,,054,Not Covered,,,,
511,28,BATHINDA,BATHINDA,PUNJAB(State),BTH,14,046,Not Covered,,,,
512,29,FARIDKOT,FARIDKOT,PUNJAB(State),FRD,13,045,Not Covered,,,,
513,30,FATEHGARH SAHIB,FATEHGARH SAHIB,PUNJAB(State),FTG,08,040,Not Covered,,,,
514,651,FAZILKA,,PUNJAB(State),FAZ,,000,Not Covered,,,,
515,31,FEROZEPUR,FEROZEPUR,PUNJAB(State),FRZ,11,043,Not Covered,,,,
516,32,GURDASPUR,GURDASPUR,PUNJAB(State),GRD,01,035,Not Covered,,,,
517,33,HOSHIARPUR,HOSHIARPUR,PUNJAB(State),HSP,05,038,Not Covered,,,,
518,34,JALANDHAR,JALANDHAR,PUNJAB(State),JLN,04,037,Not Covered,,,,
519,35,KAPURTHALA,KAPURTHALA,PUNJAB(State),KPR,03,036,Not Covered,,,,
520,36,LUDHIANA,ਲੂਿਧਆਣਾ,PUNJAB(State),LDH,09,041,Not Covered,,,,
521,737,MALERKOTLA,,PUNJAB(State),,,000,Not Covered,,,,
522,37,MANSA,ਮਾਨਸਾ,PUNJAB(State),MNS,15,047,Not Covered,,,,
523,38,MOGA,MOGA,PUNJAB(State),MOG,10,042,Not Covered,,,,
524,662,PATHANKOT,PATHANKOT,PUNJAB(State),PTK,,000,Not Covered,,,,
525,41,PATIALA,PATIALA,PUNJAB(State),PTL,17,048,Not Covered,,,,
526,42,RUPNAGAR,ਰੂਪਨਗਰ,PUNJAB(State),RPN,07,051,Not Covered,,,,
527,43,SANGRUR,SANGRUR,PUNJAB(State),SNR,16,053,Not Covered,,,,
528,608,S.A.S Nagar,,PUNJAB(State),SSR,,052,Not Covered,,,,
529,40,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,PUNJAB(State),NWN,06,039,Not Covered,,,,
530,39,SRI MUKTSAR SAHIB,ਸ੍ਰੀ ਮੁਕਤਸਰ ਸਾਹਿਬ,PUNJAB(State),SMT,12,044,Not Covered,,,,
531,609,Tarn Taran,tarn taran,PUNJAB(State),TAR,,050,Not Covered,,,,
532,86,AJMER,AJMER,RAJASTHAN(State),AJM,21,119,Not Covered,,,,
533,87,ALWAR,ALWAR,RAJASTHAN(State),ALW,06,104,Not Covered,,,,
534,88,BANSWARA,BANSWARA,RAJASTHAN(State),BNS,28,125,Fully Covered,,,,
535,89,BARAN,BARAN,RAJASTHAN(State),BRN,31,128,Not Covered,,,,
536,90,BARMER,BARMER,RAJASTHAN(State),BMR,17,115,Not Covered,,,,
537,91,BHARATPUR,BHARATPUR,RAJASTHAN(State),BTR,07,105,Not Covered,,,,
538,92,BHILWARA,BHILWARA,RAJASTHAN(State),BHL,24,122,Not Covered,,,,
539,93,BIKANER,BIKANER,RAJASTHAN(State),BIK,03,101,Not Covered,,,,
540,94,BUNDI,BUNDI,RAJASTHAN(State),BND,23,121,Not Covered,,,,
541,95,CHITTORGARH,CHITTORGARH,RAJASTHAN(State),CGH,29,126,Not Covered,,,,
542,96,CHURU,CHURU,RAJASTHAN(State),CHR,04,102,Not Covered,,,,
543,97,DAUSA,DAUSA,RAJASTHAN(State),DAS,11,109,Not Covered,,,,
544,98,DHOLPUR,DHOLPUR,RAJASTHAN(State),DLP,08,106,Not Covered,,,,
545,99,DUNGARPUR,DUNGARPUR,RAJASTHAN(State),DNG,27,124,Fully Covered,,,,
546,100,GANGANAGAR,GANGANAGAR,RAJASTHAN(State),GNG,01,099,Not Covered,,,,
547,101,HANUMANGARH,HANUMANGARH,RAJASTHAN(State),HGH,02,100,Not Covered,,,,
548,102,JAIPUR,JAIPUR,RAJASTHAN(State),JPR,12,110,Not Covered,,,,
549,103,JAISALMER,JAISALMER,RAJASTHAN(State),JSL,16,114,Not Covered,,,,
550,104,JALORE,JALORE,RAJASTHAN(State),JLR,18,116,Not Covered,,,,
551,105,JHALAWAR,JHALAWAR,RAJASTHAN(State),JHL,32,129,Not Covered,,,,
552,106,JHUNJHUNU,JHUNJHUNU,RAJASTHAN(State),JHN,05,103,Not Covered,,,,
553,107,JODHPUR,JODHPUR,RAJASTHAN(State),JDH,15,113,Not Covered,,,,
554,108,KARAULI,KARAULI,RAJASTHAN(State),KAR,09,107,Not Covered,,,,
555,109,KOTA,KOTA,RAJASTHAN(State),KOT,30,127,Not Covered,,,,
556,110,NAGAUR,NAGAUR,RAJASTHAN(State),NGR,14,112,Not Covered,,,,
557,111,PALI,PALI,RAJASTHAN(State),PAL,20,118,Not Covered,,,,
558,629,PRATAPGARH,PRATAPGARH,RAJASTHAN(State),PPG,,131,Not Covered,,,,
559,112,RAJSAMAND,RAJSAMAND,RAJASTHAN(State),RJS,25,123,Not Covered,,,,
560,113,SAWAI MADHOPUR,SAWAI MADHOPUR,RAJASTHAN(State),SMP,10,108,Not Covered,,,,
561,114,SIKAR,SIKAR,RAJASTHAN(State),SKR,13,111,Not Covered,,,,
562,115,SIROHI,SIROHI,RAJASTHAN(State),SRH,19,117,Not Covered,,,,
563,116,TONK,TONK,RAJASTHAN(State),TNK,22,120,Not Covered,,,,
564,117,UDAIPUR,UDAIPUR,RAJASTHAN(State),UDP,26,130,Not Covered,,,,
565,225,Gangtok,Gangtok,SIKKIM(State),EDT,04,244,Not Covered,,,,
566,228,Gyalshing,Gyalshing,SIKKIM(State),WDT,02,242,Not Covered,,,,
567,226,Mangan,Mangan,SIKKIM(State),NDT,01,241,Not Covered,,,,
568,227,Namchi,Namchi,SIKKIM(State),SDT,03,243,Not Covered,,,,
569,741,Pakyong,Pakyong,SIKKIM(State),,,000,Not Covered,,,,
570,742,Soreng,Soreng,SIKKIM(State),,,000,Not Covered,,,,
571,610,Ariyalur,அரியலூர்,TAMIL NADU(State),ARI,17,616,Not Covered,,,,
572,730,CHENGALPATTU,செங்கல்பட்டு,TAMIL NADU(State),,,000,Not Covered,,,,
573,568,CHENNAI,CHENNAI,TAMIL NADU(State),CHE,02,603,Not Covered,,,,
574,569,COIMBATORE,COIMBATORE,TAMIL NADU(State),CMT,12,632,Not Covered,,,,
