Detail Data For Electricity Monthly - Demand & Availability of Energy Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,YearValue,MonthValue,EnergyRequirement_MU,EnergyAvailability_MU
ER,A & N ISLANDS,2020,6,29.000,27.000
ER,A & N ISLANDS,2020,7,29.000,27.000
ER,A & N ISLANDS,2019,4,29.000,27.000
ER,A & N ISLANDS,2019,5,29.000,27.000
WR,DIU & DAMAN,2019,6,214.000,214.000
WR,DIU & DAMAN,2019,7,225.000,225.000
WR,DIU & DAMAN,2019,8,219.000,219.000
WR,DIU & DAMAN,2019,9,213.000,213.000
WR,DIU & DAMAN,2019,10,213.000,213.000
WR,DIU & DAMAN,2019,11,215.000,215.000
WR,DIU & DAMAN,2019,12,221.000,221.000
WR,DIU & DAMAN,2020,1,219.000,219.000
WR,DIU & DAMAN,2020,2,218.000,218.000
WR,DIU & DAMAN,2020,3,176.000,176.000
WR,DIU & DAMAN,2020,4,70.000,70.000
WR,DIU & DAMAN,2020,5,131.000,131.000
WR,DIU & DAMAN,2020,6,152.000,152.000
WR,DIU & DAMAN,2020,7,164.000,164.000
WR,DIU & DAMAN,2019,4,221.000,221.000
WR,DIU & DAMAN,2019,5,219.000,219.000
SR,LAKSHADWEEP,2019,6,4.000,4.000
SR,LAKSHADWEEP,2019,7,4.000,4.000
SR,LAKSHADWEEP,2019,8,4.000,4.000
SR,LAKSHADWEEP,2019,9,4.000,4.000
SR,LAKSHADWEEP,2019,10,4.000,4.000
SR,LAKSHADWEEP,2019,11,4.000,4.000
SR,LAKSHADWEEP,2019,12,4.000,4.000
SR,LAKSHADWEEP,2020,1,4.000,4.000
SR,LAKSHADWEEP,2020,2,4.000,4.000
SR,LAKSHADWEEP,2020,3,4.000,4.000
SR,LAKSHADWEEP,2020,4,5.000,5.000
SR,LAKSHADWEEP,2020,5,5.000,5.000
SR,LAKSHADWEEP,2020,6,5.000,5.000
SR,LAKSHADWEEP,2020,7,4.000,4.000
SR,LAKSHADWEEP,2019,4,4.000,4.000
SR,LAKSHADWEEP,2019,5,4.000,4.000
NR,CHANDIGARH,2019,6,211.000,211.000
NR,CHANDIGARH,2019,7,211.000,211.000
NR,CHANDIGARH,2019,8,172.000,172.000
NR,CHANDIGARH,2019,9,149.000,149.000
NR,CHANDIGARH,2019,10,123.000,123.000
NR,CHANDIGARH,2019,11,103.000,103.000
NR,CHANDIGARH,2019,12,129.000,129.000
NR,CHANDIGARH,2020,1,138.000,138.000
NR,CHANDIGARH,2020,2,109.000,109.000
NR,CHANDIGARH,2020,3,90.000,90.000
NR,CHANDIGARH,2020,4,76.000,76.000
NR,CHANDIGARH,2020,5,115.000,115.000
NR,CHANDIGARH,2020,6,161.000,161.000
NR,CHANDIGARH,2020,7,185.000,185.000
NR,CHANDIGARH,2019,4,117.000,117.000
NR,CHANDIGARH,2019,5,180.000,180.000
WR,DADRA & NAGAR HAVELI,2019,6,530.000,530.000
WR,DADRA & NAGAR HAVELI,2019,7,578.000,578.000
WR,DADRA & NAGAR HAVELI,2019,8,567.000,567.000
WR,DADRA & NAGAR HAVELI,2019,9,551.000,551.000
WR,DADRA & NAGAR HAVELI,2019,10,531.000,531.000
WR,DADRA & NAGAR HAVELI,2019,11,541.000,541.000
WR,DADRA & NAGAR HAVELI,2019,12,580.000,580.000
WR,DADRA & NAGAR HAVELI,2020,1,568.000,568.000
WR,DADRA & NAGAR HAVELI,2020,2,534.000,534.000
WR,DADRA & NAGAR HAVELI,2020,3,439.000,439.000
WR,DADRA & NAGAR HAVELI,2020,4,86.000,86.000
WR,DADRA & NAGAR HAVELI,2020,5,246.000,246.000
WR,DADRA & NAGAR HAVELI,2020,6,349.000,349.000
WR,DADRA & NAGAR HAVELI,2020,7,428.000,428.000
WR,DADRA & NAGAR HAVELI,2019,4,554.000,554.000
WR,DADRA & NAGAR HAVELI,2019,5,554.000,554.000
IN,DVC,2019,6,1924.000,1924.000
IN,DVC,2019,7,1954.000,1954.000
IN,DVC,2019,8,1875.000,1875.000
IN,DVC,2019,9,1797.000,1797.000
IN,DVC,2019,10,1855.000,1855.000
IN,DVC,2019,11,1793.000,1793.000
IN,DVC,2019,12,1872.000,1872.000
IN,DVC,2020,1,1933.000,1933.000
IN,DVC,2020,2,1884.000,1884.000
IN,DVC,2020,3,1583.000,1583.000
IN,DVC,2020,4,857.000,857.000
IN,DVC,2020,5,1424.000,1424.000
IN,DVC,2020,6,1753.000,1753.000
IN,DVC,2020,7,1892.000,1892.000
IN,DVC,2019,4,1944.000,1942.000
IN,DVC,2019,5,2015.000,2015.000
