Detail Data For Vidyut Pravah Data Having Year : ALL
.
State,YearValue,MonthValue,DayValue,Shrotage_MW,MaxDemand_MW,FileName,DateInFile
ANDHRA PRADESH,2019,10,3,0.000,8214.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
TELANGANA,2019,10,3,0.000,8217.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
KARNATAKA,2019,10,3,0.000,8390.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
KERALA,2019,10,3,0.000,3481.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
TAMIL NADU,2019,10,3,0.000,13863.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
PONDY,2019,10,3,-1.000,395.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
BIHAR,2019,10,3,0.000,4612.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
DVC,2019,10,3,0.000,2916.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
JHARKHAND,2019,10,3,0.000,1173.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
ODISHA,2019,10,3,0.000,4107.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
WEST BENGAL,2019,10,3,0.000,8231.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
SIKKIM,2019,10,3,0.000,85.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
ARUNACHAL PRADESH,2019,10,3,0.000,128.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
ASSAM,2019,10,3,110.000,1734.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
MANIPUR,2019,10,3,4.000,167.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
MEGHALAYA,2019,10,3,0.000,337.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
MIZORAM,2019,10,3,1.000,92.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
NAGALAND,2019,10,3,3.000,118.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
TRIPURA,2019,10,3,0.000,282.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
ALL INDIA,2019,10,3,2198.000,151683.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
PUNJAB,2019,10,4,0.000,6164.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
HARYANA,2019,10,4,0.000,7106.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
RAJASTHAN,2019,10,4,0.000,8713.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
DELHI,2019,10,4,0.000,4312.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
UP,2019,10,4,390.000,15293.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
UTTARAKHAND,2019,10,4,0.000,1782.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
HP,2019,10,4,0.000,1374.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
J&K,2019,10,4,545.000,2178.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
CHANDIGARH,2019,10,4,0.000,196.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
CHHATTISGARH,2019,10,4,36.000,3866.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
GUJARAT,2019,10,4,0.000,13431.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
MP,2019,10,4,0.000,8177.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
MAHARASHTRA,2019,10,4,0.000,18540.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
GOA,2019,10,4,0.000,541.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
DD,2019,10,4,0.000,338.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
DNH,2019,10,4,0.000,758.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
ESSAR STEEL,2019,10,4,0.000,293.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
ANDHRA PRADESH,2019,10,4,0.000,8214.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
TELANGANA,2019,10,4,0.000,8204.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
KARNATAKA,2019,10,4,0.000,8384.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
KERALA,2019,10,4,0.000,3554.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
TAMIL NADU,2019,10,4,0.000,14400.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
PONDY,2019,10,4,0.000,400.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
BIHAR,2019,10,4,0.000,4834.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
DVC,2019,10,4,0.000,2999.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
JHARKHAND,2019,10,4,0.000,1320.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
ODISHA,2019,10,4,0.000,4155.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
WEST BENGAL,2019,10,4,0.000,8438.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
SIKKIM,2019,10,4,0.000,83.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
ARUNACHAL PRADESH,2019,10,4,0.000,125.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
ASSAM,2019,10,4,104.000,1745.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
MANIPUR,2019,10,4,2.000,166.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
MEGHALAYA,2019,10,4,0.000,329.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
MIZORAM,2019,10,4,1.000,96.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
NAGALAND,2019,10,4,2.000,129.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
TRIPURA,2019,10,4,1.000,286.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
ALL INDIA,2019,10,4,1886.000,155004.000,NICSI_04-Oct-2019.csv,05/10/2019 13:41:00
PUNJAB,2019,10,5,0.000,6331.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
HARYANA,2019,10,5,0.000,7235.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
RAJASTHAN,2019,10,5,0.000,8640.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
DELHI,2019,10,5,0.000,3925.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
UP,2019,10,5,0.000,16485.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
UTTARAKHAND,2019,10,5,0.000,1709.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
HP,2019,10,5,0.000,1422.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
J&K,2019,10,5,508.000,2033.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
CHANDIGARH,2019,10,5,0.000,188.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
CHHATTISGARH,2019,10,5,0.000,3908.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
GUJARAT,2019,10,5,0.000,13777.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
MP,2019,10,5,0.000,8222.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
MAHARASHTRA,2019,10,5,0.000,18271.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
GOA,2019,10,5,0.000,541.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
DD,2019,10,5,0.000,329.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
DNH,2019,10,5,0.000,790.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
ESSAR STEEL,2019,10,5,0.000,320.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
ANDHRA PRADESH,2019,10,5,0.000,8214.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
TELANGANA,2019,10,5,0.000,8254.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
KARNATAKA,2019,10,5,0.000,8250.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
KERALA,2019,10,5,0.000,3135.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
TAMIL NADU,2019,10,5,0.000,13810.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
PONDY,2019,10,5,0.000,370.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
BIHAR,2019,10,5,0.000,5029.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
DVC,2019,10,5,0.000,2942.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
JHARKHAND,2019,10,5,0.000,1226.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
ODISHA,2019,10,5,0.000,4164.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
WEST BENGAL,2019,10,5,0.000,7618.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
SIKKIM,2019,10,5,0.000,75.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
ARUNACHAL PRADESH,2019,10,5,0.000,128.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
ASSAM,2019,10,5,62.000,1722.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
MANIPUR,2019,10,5,2.000,162.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
MEGHALAYA,2019,10,5,0.000,310.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
MIZORAM,2019,10,5,1.000,93.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
NAGALAND,2019,10,5,2.000,129.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
TRIPURA,2019,10,5,0.000,288.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
ALL INDIA,2019,10,5,1371.000,153614.000,NICSI_05-Oct-2019.csv,06/10/2019 07:58:00
PUNJAB,2019,10,6,0.000,6587.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
HARYANA,2019,10,6,0.000,6702.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
RAJASTHAN,2019,10,6,0.000,8555.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
DELHI,2019,10,6,0.000,3690.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
UP,2019,10,6,0.000,16710.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
UTTARAKHAND,2019,10,6,0.000,1651.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
HP,2019,10,6,0.000,1332.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
J&K,2019,10,6,464.000,1855.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
CHANDIGARH,2019,10,6,0.000,170.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
CHHATTISGARH,2019,10,6,0.000,3721.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
GUJARAT,2019,10,6,0.000,12794.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
MP,2019,10,6,0.000,7890.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
MAHARASHTRA,2019,10,6,0.000,17481.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
GOA,2019,10,6,0.000,541.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
DD,2019,10,6,0.000,320.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
DNH,2019,10,6,0.000,760.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
ESSAR STEEL,2019,10,6,0.000,320.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
ANDHRA PRADESH,2019,10,6,0.000,8214.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
TELANGANA,2019,10,6,0.000,8435.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
KARNATAKA,2019,10,6,0.000,6881.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
KERALA,2019,10,6,-1.000,3201.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
TAMIL NADU,2019,10,6,0.000,12577.000,NICSI_06-Oct-2019.csv,07/10/2019 07:40:00
