Detail Data For Electricity Consumption by Consuming Sector Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,BroadCategory,YearValue,Consumption_GWh
ER,ODISHA,AGRICULTURE,AGRICULTURE,2016,265.830
ER,ODISHA,COMMERCIAL,COMMERCIAL,2016,1449.180
ER,ODISHA,RESIDENTIAL,RESIDENTIAL,2016,6220.860
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,32443.850
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,351.630
ER,ODISHA,MISCELLANEOUS,OTHER,2016,766.270
ER,ODISHA,PUBLIC LIGHTING,OTHER,2016,90.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,132.090
ER,ODISHA,TRACTION,TRANSPORT,2016,1071.970
ER,ODISHA,AGRICULTURE,AGRICULTURE,2017,327.040
ER,ODISHA,COMMERCIAL,COMMERCIAL,2017,1560.500
ER,ODISHA,RESIDENTIAL,RESIDENTIAL,2017,6894.160
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,32533.350
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,324.710
ER,ODISHA,MISCELLANEOUS,OTHER,2017,780.480
ER,ODISHA,PUBLIC LIGHTING,OTHER,2017,92.850
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,140.570
ER,ODISHA,TRACTION,TRANSPORT,2017,1103.740
ER,ODISHA,AGRICULTURE,AGRICULTURE,2018,429.340
ER,ODISHA,COMMERCIAL,COMMERCIAL,2018,1675.370
ER,ODISHA,RESIDENTIAL,RESIDENTIAL,2018,6825.260
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,34366.120
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,372.760
ER,ODISHA,MISCELLANEOUS,OTHER,2018,862.100
ER,ODISHA,PUBLIC LIGHTING,OTHER,2018,99.660
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2018,125.560
ER,ODISHA,TRACTION,TRANSPORT,2018,1162.320
ER,ODISHA,AGRICULTURE,AGRICULTURE,2019,558.890
ER,ODISHA,COMMERCIAL,COMMERCIAL,2019,1833.480
ER,ODISHA,RESIDENTIAL,RESIDENTIAL,2019,7175.220
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,57825.850
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,384.300
ER,ODISHA,MISCELLANEOUS,OTHER,2019,949.710
ER,ODISHA,PUBLIC LIGHTING,OTHER,2019,119.350
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2019,154.540
ER,ODISHA,TRACTION,TRANSPORT,2019,1203.340
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2006,14226.200
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2006,2072.260
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2006,8616.280
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,14245.520
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,2319.210
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2006,143.290
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2006,1465.070
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2006,1223.270
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2007,16327.920
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2007,2391.990
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2007,9937.050
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,15328.930
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,2683.060
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2007,165.950
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2007,1691.070
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2007,1411.330
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2008,15241.050
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2008,2736.850
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2008,10678.520
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,17294.730
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,2544.960
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2008,1038.140
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2008,1934.870
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,639.580
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2008,1208.630
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2009,16604.570
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2009,3884.580
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2009,11674.850
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,19108.650
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,3102.000
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2009,721.390
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2009,1619.030
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,809.380
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2009,1414.350
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2010,18825.020
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2010,4280.470
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2010,13220.260
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,21864.940
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,2599.910
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2010,1153.150
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2010,1413.120
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,843.550
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2010,1536.560
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2011,18798.570
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2011,4773.400
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2011,14538.790
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,26075.730
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,2832.650
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2011,1547.160
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2011,1474.910
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2011,697.280
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2011,1568.900
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2012,19076.052
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2012,5711.406
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2012,16914.474
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,26400.535
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,3127.935
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2012,1830.684
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2012,1513.303
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,793.222
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2012,1887.070
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2013,19935.790
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2013,5979.030
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2013,16049.630
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,23520.660
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,3916.920
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2013,1060.100
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2013,1476.360
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,1135.180
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2013,1772.180
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2014,21857.350
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2014,6550.210
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2014,16835.780
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,25845.300
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,3070.880
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2014,919.230
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2014,1137.450
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,1236.040
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2014,1881.020
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2015,10899.600
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2015,2672.990
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2015,9949.950
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,16886.500
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,2146.230
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2015,427.380
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2015,522.100
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,324.840
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2015,1549.050
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2016,10970.000
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2016,2444.050
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2016,11493.910
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,16199.990
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,2313.170
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2016,2581.600
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2016,317.350
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,485.810
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2016,1359.410
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2017,13296.610
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2017,3185.840
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2017,12383.070
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,15922.260
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,3833.280
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2017,1021.260
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2017,395.180
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,511.630
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2017,1240.270
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2018,12589.200
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2018,3384.800
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2018,13372.740
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,18075.200
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,4729.970
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2018,1026.900
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2018,500.540
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2018,472.270
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2018,1923.570
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2019,12838.590
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2019,4724.610
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2019,14201.570
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,21097.830
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,5332.670
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2019,2478.360
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2019,553.730
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2019,579.520
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2019,1534.810
SR,TELANGANA,AGRICULTURE,AGRICULTURE,2015,12569.140
SR,TELANGANA,COMMERCIAL,COMMERCIAL,2015,4326.380
SR,TELANGANA,RESIDENTIAL,RESIDENTIAL,2015,8620.540
SR,TELANGANA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,10554.650
SR,TELANGANA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,1172.830
SR,TELANGANA,MISCELLANEOUS,OTHER,2015,758.400
SR,TELANGANA,PUBLIC LIGHTING,OTHER,2015,533.290
SR,TELANGANA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,494.590
SR,TELANGANA,TRACTION,TRANSPORT,2015,609.060
SR,TELANGANA,AGRICULTURE,AGRICULTURE,2016,11991.480
SR,TELANGANA,COMMERCIAL,COMMERCIAL,2016,4839.900
SR,TELANGANA,RESIDENTIAL,RESIDENTIAL,2016,9940.300
SR,TELANGANA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,25600.990
SR,TELANGANA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,1130.550
SR,TELANGANA,MISCELLANEOUS,OTHER,2016,1431.150
SR,TELANGANA,PUBLIC LIGHTING,OTHER,2016,555.510
SR,TELANGANA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,507.710
SR,TELANGANA,TRACTION,TRANSPORT,2016,578.720
SR,TELANGANA,AGRICULTURE,AGRICULTURE,2017,15676.320
SR,TELANGANA,COMMERCIAL,COMMERCIAL,2017,4956.210
SR,TELANGANA,RESIDENTIAL,RESIDENTIAL,2017,10055.860
SR,TELANGANA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,12449.550
SR,TELANGANA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,1146.230
SR,TELANGANA,MISCELLANEOUS,OTHER,2017,1687.760
SR,TELANGANA,PUBLIC LIGHTING,OTHER,2017,534.590
SR,TELANGANA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,533.530
SR,TELANGANA,TRACTION,TRANSPORT,2017,553.420
SR,TELANGANA,AGRICULTURE,AGRICULTURE,2018,19984.610
SR,TELANGANA,COMMERCIAL,COMMERCIAL,2018,5340.120
SR,TELANGANA,RESIDENTIAL,RESIDENTIAL,2018,10710.400
SR,TELANGANA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,13149.370
SR,TELANGANA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,1199.130
SR,TELANGANA,MISCELLANEOUS,OTHER,2018,1985.090
SR,TELANGANA,PUBLIC LIGHTING,OTHER,2018,457.540
SR,TELANGANA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2018,545.860
SR,TELANGANA,TRACTION,TRANSPORT,2018,467.100
SR,TELANGANA,AGRICULTURE,AGRICULTURE,2019,24077.040
SR,TELANGANA,COMMERCIAL,COMMERCIAL,2019,5750.000
SR,TELANGANA,RESIDENTIAL,RESIDENTIAL,2019,11422.320
SR,TELANGANA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,15896.330
SR,TELANGANA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,1243.480
SR,TELANGANA,MISCELLANEOUS,OTHER,2019,1555.460
SR,TELANGANA,PUBLIC LIGHTING,OTHER,2019,365.490
SR,TELANGANA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2019,604.000
SR,TELANGANA,TRACTION,TRANSPORT,2019,725.970
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2006,26.850
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2006,59.320
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,48.300
ER,SIKKIM,MISCELLANEOUS,OTHER,2006,72.550
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2006,1.650
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2007,27.220
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2007,52.180
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,71.970
ER,SIKKIM,MISCELLANEOUS,OTHER,2007,58.840
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2007,1.720
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2008,42.100
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2008,61.620
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,88.630
ER,SIKKIM,MISCELLANEOUS,OTHER,2008,65.960
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2008,1.940
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2009,46.970
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2009,63.740
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,97.780
ER,SIKKIM,MISCELLANEOUS,OTHER,2009,66.870
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2009,1.950
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2010,57.290
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2010,114.570
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,45.230
ER,SIKKIM,MISCELLANEOUS,OTHER,2010,12.060
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2010,67.840
ER,SIKKIM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,4.520
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2011,45.800
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2011,105.400
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,148.340
ER,SIKKIM,MISCELLANEOUS,OTHER,2011,36.000
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2011,2.080
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2012,50.277
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2012,115.702
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,162.839
ER,SIKKIM,MISCELLANEOUS,OTHER,2012,39.519
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2012,2.283
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2013,64.900
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2013,140.580
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,147.350
ER,SIKKIM,MISCELLANEOUS,OTHER,2013,27.530
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2013,5.090
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2014,68.140
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2014,147.610
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,154.710
ER,SIKKIM,MISCELLANEOUS,OTHER,2014,28.910
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2014,5.340
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2015,68.140
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2015,147.610
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,154.710
ER,SIKKIM,MISCELLANEOUS,OTHER,2015,28.910
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2015,5.340
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2016,59.680
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2016,129.280
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,135.500
ER,SIKKIM,MISCELLANEOUS,OTHER,2016,25.320
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2016,4.680
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2017,41.070
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2017,164.090
ER,SIKKIM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,205.860
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,1.610
ER,SIKKIM,MISCELLANEOUS,OTHER,2017,23.060
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2017,0.330
ER,SIKKIM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,0.550
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2018,38.380
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2018,98.720
ER,SIKKIM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,176.870
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,2.000
ER,SIKKIM,MISCELLANEOUS,OTHER,2018,27.570
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2018,0.130
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2019,40.910
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2019,107.460
ER,SIKKIM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,197.670
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,4.890
ER,SIKKIM,MISCELLANEOUS,OTHER,2019,29.630
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2019,0.250
NER,ASSAM,AGRICULTURE,AGRICULTURE,2006,24.000
NER,ASSAM,COMMERCIAL,COMMERCIAL,2006,250.000
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2006,911.000
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,1484.090
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,59.000
NER,ASSAM,MISCELLANEOUS,OTHER,2006,330.000
NER,ASSAM,PUBLIC LIGHTING,OTHER,2006,7.000
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,34.000
NER,ASSAM,AGRICULTURE,AGRICULTURE,2007,16.780
NER,ASSAM,COMMERCIAL,COMMERCIAL,2007,314.680
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2007,1046.490
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,1636.000
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,59.040
NER,ASSAM,MISCELLANEOUS,OTHER,2007,368.280
NER,ASSAM,PUBLIC LIGHTING,OTHER,2007,7.360
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2007,39.160
NER,ASSAM,AGRICULTURE,AGRICULTURE,2008,19.540
NER,ASSAM,COMMERCIAL,COMMERCIAL,2008,330.800
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2008,991.990
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,1873.660
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,54.640
NER,ASSAM,MISCELLANEOUS,OTHER,2008,325.140
NER,ASSAM,PUBLIC LIGHTING,OTHER,2008,6.050
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,37.310
NER,ASSAM,AGRICULTURE,AGRICULTURE,2009,20.860
NER,ASSAM,COMMERCIAL,COMMERCIAL,2009,386.550
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2009,1073.970
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,1939.220
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,64.350
NER,ASSAM,MISCELLANEOUS,OTHER,2009,347.100
NER,ASSAM,PUBLIC LIGHTING,OTHER,2009,6.690
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,39.040
NER,ASSAM,AGRICULTURE,AGRICULTURE,2010,32.000
NER,ASSAM,COMMERCIAL,COMMERCIAL,2010,450.000
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2010,1251.000
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,2126.710
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,67.000
NER,ASSAM,MISCELLANEOUS,OTHER,2010,396.000
NER,ASSAM,PUBLIC LIGHTING,OTHER,2010,6.000
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,51.000
NER,ASSAM,AGRICULTURE,AGRICULTURE,2011,25.570
NER,ASSAM,COMMERCIAL,COMMERCIAL,2011,535.770
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2011,1334.070
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,2180.000
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,69.440
NER,ASSAM,MISCELLANEOUS,OTHER,2011,376.310
NER,ASSAM,PUBLIC LIGHTING,OTHER,2011,8.430
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2011,53.750
NER,ASSAM,AGRICULTURE,AGRICULTURE,2012,31.990
