Detail Data For Electricity Consumption per Capita by Broad Category And Consuming Sector Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,BroadCategory,YearValue,Consumption_KWh_PerCapita
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,9.768
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2009,17.069
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2010,225.045
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2010,51.171
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2010,158.043
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,261.386
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,31.081
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2010,13.785
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2010,16.893
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,10.084
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2010,18.369
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2011,222.653
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2011,56.537
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2011,172.199
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,308.844
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,33.550
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2011,18.325
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2011,17.469
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2011,8.259
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2011,18.582
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2012,225.289
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2012,67.452
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2012,199.761
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,311.792
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,36.941
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2012,21.620
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2012,17.872
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,9.368
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2012,22.286
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2013,231.973
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2013,69.572
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2013,186.754
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,273.687
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,45.577
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2013,12.335
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2013,17.179
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,13.209
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2013,20.621
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2014,252.220
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2014,75.585
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2014,194.274
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,298.238
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,35.436
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2014,10.607
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2014,13.125
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,14.263
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2014,21.706
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2015,213.885
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2015,52.453
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2015,195.250
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,331.368
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,42.116
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2015,8.387
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2015,10.245
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,6.374
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2015,30.397
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2016,213.560
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2016,47.580
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2016,223.760
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,241.150
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,45.030
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2016,50.260
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2016,6.180
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,9.460
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2016,26.460
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2017,258.250
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2017,61.880
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2017,240.510
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,231.010
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,74.450
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2017,19.840
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2017,7.680
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,9.940
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2017,24.090
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2018,242.710
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2018,65.260
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2018,257.820
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,250.650
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,91.190
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2018,19.800
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2018,9.650
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2018,9.100
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2018,37.080
SR,ANDHRA PRADESH,AGRICULTURE,AGRICULTURE,2019,245.740
SR,ANDHRA PRADESH,COMMERCIAL,COMMERCIAL,2019,90.430
SR,ANDHRA PRADESH,RESIDENTIAL,RESIDENTIAL,2019,271.830
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,251.950
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,102.070
SR,ANDHRA PRADESH,MISCELLANEOUS,OTHER,2019,47.440
SR,ANDHRA PRADESH,PUBLIC LIGHTING,OTHER,2019,10.600
SR,ANDHRA PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2019,11.090
SR,ANDHRA PRADESH,TRACTION,TRANSPORT,2019,29.380
SR,TELANGANA,AGRICULTURE,AGRICULTURE,2015,345.120
SR,TELANGANA,COMMERCIAL,COMMERCIAL,2015,118.790
SR,TELANGANA,RESIDENTIAL,RESIDENTIAL,2015,236.700
SR,TELANGANA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,289.800
SR,TELANGANA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,32.200
SR,TELANGANA,MISCELLANEOUS,OTHER,2015,20.820
SR,TELANGANA,PUBLIC LIGHTING,OTHER,2015,14.640
SR,TELANGANA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,13.580
SR,TELANGANA,TRACTION,TRANSPORT,2015,16.720
SR,TELANGANA,AGRICULTURE,AGRICULTURE,2016,326.640
SR,TELANGANA,COMMERCIAL,COMMERCIAL,2016,131.830
SR,TELANGANA,RESIDENTIAL,RESIDENTIAL,2016,270.770
SR,TELANGANA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,380.940
SR,TELANGANA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,30.800
SR,TELANGANA,MISCELLANEOUS,OTHER,2016,38.980
SR,TELANGANA,PUBLIC LIGHTING,OTHER,2016,15.130
SR,TELANGANA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,13.830
SR,TELANGANA,TRACTION,TRANSPORT,2016,15.760
SR,TELANGANA,AGRICULTURE,AGRICULTURE,2017,420.450
SR,TELANGANA,COMMERCIAL,COMMERCIAL,2017,132.930
SR,TELANGANA,RESIDENTIAL,RESIDENTIAL,2017,269.710
SR,TELANGANA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,249.500
SR,TELANGANA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,30.740
SR,TELANGANA,MISCELLANEOUS,OTHER,2017,45.270
SR,TELANGANA,PUBLIC LIGHTING,OTHER,2017,14.340
SR,TELANGANA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,14.310
SR,TELANGANA,TRACTION,TRANSPORT,2017,14.840
SR,TELANGANA,AGRICULTURE,AGRICULTURE,2018,532.060
SR,TELANGANA,COMMERCIAL,COMMERCIAL,2018,142.170
SR,TELANGANA,RESIDENTIAL,RESIDENTIAL,2018,285.150
SR,TELANGANA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,279.760
SR,TELANGANA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,31.930
SR,TELANGANA,MISCELLANEOUS,OTHER,2018,52.850
SR,TELANGANA,PUBLIC LIGHTING,OTHER,2018,12.180
SR,TELANGANA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2018,14.530
SR,TELANGANA,TRACTION,TRANSPORT,2018,12.440
SR,TELANGANA,AGRICULTURE,AGRICULTURE,2019,636.420
SR,TELANGANA,COMMERCIAL,COMMERCIAL,2019,151.990
SR,TELANGANA,RESIDENTIAL,RESIDENTIAL,2019,301.920
SR,TELANGANA,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,333.630
SR,TELANGANA,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,32.870
SR,TELANGANA,MISCELLANEOUS,OTHER,2019,41.110
SR,TELANGANA,PUBLIC LIGHTING,OTHER,2019,9.660
SR,TELANGANA,PUBLIC WATER WORKS AND SEWAGE,OTHER,2019,15.970
SR,TELANGANA,TRACTION,TRANSPORT,2019,19.190
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2006,46.293
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2006,102.276
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,83.276
ER,SIKKIM,MISCELLANEOUS,OTHER,2006,125.086
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2006,2.845
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2007,46.931
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2007,89.966
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,124.086
ER,SIKKIM,MISCELLANEOUS,OTHER,2007,101.448
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2007,2.966
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2008,71.356
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2008,104.441
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,150.220
ER,SIKKIM,MISCELLANEOUS,OTHER,2008,111.797
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2008,3.288
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2009,79.610
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2009,108.034
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,165.729
ER,SIKKIM,MISCELLANEOUS,OTHER,2009,113.339
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2009,3.305
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2010,95.483
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2010,190.950
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,75.383
ER,SIKKIM,MISCELLANEOUS,OTHER,2010,20.100
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2010,113.067
ER,SIKKIM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,7.533
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2011,75.082
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2011,172.787
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,243.180
ER,SIKKIM,MISCELLANEOUS,OTHER,2011,59.016
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2011,3.410
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2012,82.734
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2012,190.397
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,267.965
ER,SIKKIM,MISCELLANEOUS,OTHER,2012,65.031
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2012,3.757
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2013,104.677
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2013,226.742
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,237.661
ER,SIKKIM,MISCELLANEOUS,OTHER,2013,44.403
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2013,8.210
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2014,108.159
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2014,234.302
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,245.571
ER,SIKKIM,MISCELLANEOUS,OTHER,2014,45.889
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2014,8.476
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2015,106.469
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2015,230.641
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,241.734
ER,SIKKIM,MISCELLANEOUS,OTHER,2015,45.172
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2015,8.344
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2016,93.250
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2016,202.000
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,211.730
ER,SIKKIM,MISCELLANEOUS,OTHER,2016,39.560
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2016,7.310
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2017,63.090
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2017,252.060
ER,SIKKIM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,316.220
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,2.470
ER,SIKKIM,MISCELLANEOUS,OTHER,2017,35.420
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2017,0.510
ER,SIKKIM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,0.840
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2018,58.420
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2018,150.260
ER,SIKKIM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,269.200
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,3.040
ER,SIKKIM,MISCELLANEOUS,OTHER,2018,41.960
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2018,0.210
ER,SIKKIM,COMMERCIAL,COMMERCIAL,2019,61.610
ER,SIKKIM,RESIDENTIAL,RESIDENTIAL,2019,161.840
ER,SIKKIM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,297.700
ER,SIKKIM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,7.360
ER,SIKKIM,MISCELLANEOUS,OTHER,2019,44.620
ER,SIKKIM,PUBLIC LIGHTING,OTHER,2019,0.380
NER,ASSAM,AGRICULTURE,AGRICULTURE,2006,0.833
NER,ASSAM,COMMERCIAL,COMMERCIAL,2006,8.678
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2006,31.621
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,51.513
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,2.048
NER,ASSAM,MISCELLANEOUS,OTHER,2006,11.454
NER,ASSAM,PUBLIC LIGHTING,OTHER,2006,0.243
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,1.180
NER,ASSAM,AGRICULTURE,AGRICULTURE,2007,0.573
NER,ASSAM,COMMERCIAL,COMMERCIAL,2007,10.747
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2007,35.741
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,55.874
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,2.016
NER,ASSAM,MISCELLANEOUS,OTHER,2007,12.578
NER,ASSAM,PUBLIC LIGHTING,OTHER,2007,0.251
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2007,1.337
NER,ASSAM,AGRICULTURE,AGRICULTURE,2008,0.657
NER,ASSAM,COMMERCIAL,COMMERCIAL,2008,11.123
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2008,33.355
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,63.001
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,1.837
NER,ASSAM,MISCELLANEOUS,OTHER,2008,10.933
NER,ASSAM,PUBLIC LIGHTING,OTHER,2008,0.203
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,1.255
NER,ASSAM,AGRICULTURE,AGRICULTURE,2009,0.703
NER,ASSAM,COMMERCIAL,COMMERCIAL,2009,13.033
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2009,36.209
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,65.382
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,2.170
NER,ASSAM,MISCELLANEOUS,OTHER,2009,11.703
NER,ASSAM,PUBLIC LIGHTING,OTHER,2009,0.226
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,1.316
NER,ASSAM,AGRICULTURE,AGRICULTURE,2010,1.065
NER,ASSAM,COMMERCIAL,COMMERCIAL,2010,14.980
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2010,41.644
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,70.796
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,2.230
NER,ASSAM,MISCELLANEOUS,OTHER,2010,13.182
NER,ASSAM,PUBLIC LIGHTING,OTHER,2010,0.200
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,1.698
NER,ASSAM,AGRICULTURE,AGRICULTURE,2011,0.841
NER,ASSAM,COMMERCIAL,COMMERCIAL,2011,17.618
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2011,43.869
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,71.687
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,2.283
NER,ASSAM,MISCELLANEOUS,OTHER,2011,12.375
NER,ASSAM,PUBLIC LIGHTING,OTHER,2011,0.277
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2011,1.768
NER,ASSAM,AGRICULTURE,AGRICULTURE,2012,1.026
NER,ASSAM,COMMERCIAL,COMMERCIAL,2012,19.952
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2012,47.733
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,79.519
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,2.453
NER,ASSAM,MISCELLANEOUS,OTHER,2012,14.936
NER,ASSAM,PUBLIC LIGHTING,OTHER,2012,0.308
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,1.860
NER,ASSAM,AGRICULTURE,AGRICULTURE,2013,1.123
NER,ASSAM,COMMERCIAL,COMMERCIAL,2013,20.597
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2013,51.941
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,77.441
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,2.374
NER,ASSAM,MISCELLANEOUS,OTHER,2013,14.918
NER,ASSAM,PUBLIC LIGHTING,OTHER,2013,0.385
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,2.021
NER,ASSAM,AGRICULTURE,AGRICULTURE,2014,1.141
NER,ASSAM,COMMERCIAL,COMMERCIAL,2014,23.653
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2014,61.541
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,81.269
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,2.568
NER,ASSAM,MISCELLANEOUS,OTHER,2014,16.931
NER,ASSAM,PUBLIC LIGHTING,OTHER,2014,0.412
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,2.283
NER,ASSAM,AGRICULTURE,AGRICULTURE,2015,1.222
NER,ASSAM,COMMERCIAL,COMMERCIAL,2015,23.817
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2015,80.006
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,82.225
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,2.570
NER,ASSAM,MISCELLANEOUS,OTHER,2015,17.424
NER,ASSAM,PUBLIC LIGHTING,OTHER,2015,0.439
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,2.350
NER,ASSAM,AGRICULTURE,AGRICULTURE,2016,1.050
NER,ASSAM,COMMERCIAL,COMMERCIAL,2016,27.930
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2016,96.500
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,43.230
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,2.690
NER,ASSAM,MISCELLANEOUS,OTHER,2016,17.990
NER,ASSAM,PUBLIC LIGHTING,OTHER,2016,0.530
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,2.040
NER,ASSAM,AGRICULTURE,AGRICULTURE,2017,1.100
NER,ASSAM,COMMERCIAL,COMMERCIAL,2017,30.940
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2017,104.830
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,38.530
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,2.940
NER,ASSAM,MISCELLANEOUS,OTHER,2017,18.180
NER,ASSAM,PUBLIC LIGHTING,OTHER,2017,0.520
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,2.660
NER,ASSAM,AGRICULTURE,AGRICULTURE,2018,1.050
NER,ASSAM,COMMERCIAL,COMMERCIAL,2018,31.350
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2018,115.200
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,41.670
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,2.910
NER,ASSAM,MISCELLANEOUS,OTHER,2018,19.190
NER,ASSAM,PUBLIC LIGHTING,OTHER,2018,0.390
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2018,2.150
NER,ASSAM,AGRICULTURE,AGRICULTURE,2019,1.400
NER,ASSAM,COMMERCIAL,COMMERCIAL,2019,32.870
NER,ASSAM,RESIDENTIAL,RESIDENTIAL,2019,110.180
NER,ASSAM,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,45.830
NER,ASSAM,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,3.360
NER,ASSAM,MISCELLANEOUS,OTHER,2019,21.060
NER,ASSAM,PUBLIC LIGHTING,OTHER,2019,0.480
NER,ASSAM,PUBLIC WATER WORKS AND SEWAGE,OTHER,2019,2.580
NER,ARUNACHAL PRADESH,COMMERCIAL,COMMERCIAL,2006,13.155
NER,ARUNACHAL PRADESH,RESIDENTIAL,RESIDENTIAL,2006,58.759
NER,ARUNACHAL PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,15.879
NER,ARUNACHAL PRADESH,MISCELLANEOUS,OTHER,2006,39.250
NER,ARUNACHAL PRADESH,PUBLIC LIGHTING,OTHER,2006,6.328
NER,ARUNACHAL PRADESH,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,5.819
NER,ARUNACHAL PRADESH,COMMERCIAL,COMMERCIAL,2007,14.831
NER,ARUNACHAL PRADESH,RESIDENTIAL,RESIDENTIAL,2007,40.678
NER,ARUNACHAL PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,10.169
