Detail Data For Electricity Consumption by Consumer Number Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,YearValue,ConsumerNo
WR,CHHATTISGARH,TRACTION,2006,21.000
WR,CHHATTISGARH,AGRICULTURE,2007,155820.000
WR,CHHATTISGARH,COMMERCIAL,2007,8306.000
WR,CHHATTISGARH,RESIDENTIAL,2007,2166294.000
WR,CHHATTISGARH,INDUSTRIAL (HIGH VOLTAGE),2007,850.000
WR,CHHATTISGARH,INDUSTRIAL (LOW & MED VOLTAGE),2007,22639.000
WR,CHHATTISGARH,MISCELLANEOUS,2007,189.000
WR,CHHATTISGARH,PUBLIC LIGHTING,2007,4935.000
WR,CHHATTISGARH,PUBLIC WATER WORKS AND SEWAGE,2007,4264.000
WR,CHHATTISGARH,TRACTION,2007,21.000
WR,CHHATTISGARH,AGRICULTURE,2008,173888.000
WR,CHHATTISGARH,COMMERCIAL,2008,186519.000
WR,CHHATTISGARH,RESIDENTIAL,2008,2256945.000
WR,CHHATTISGARH,INDUSTRIAL (HIGH VOLTAGE),2008,925.000
WR,CHHATTISGARH,INDUSTRIAL (LOW & MED VOLTAGE),2008,23096.000
WR,CHHATTISGARH,MISCELLANEOUS,2008,245.000
WR,CHHATTISGARH,PUBLIC LIGHTING,2008,5057.000
WR,CHHATTISGARH,PUBLIC WATER WORKS AND SEWAGE,2008,4820.000
WR,CHHATTISGARH,TRACTION,2008,21.000
WR,CHHATTISGARH,AGRICULTURE,2009,205601.000
WR,CHHATTISGARH,COMMERCIAL,2009,192063.000
WR,CHHATTISGARH,RESIDENTIAL,2009,2389324.000
WR,CHHATTISGARH,INDUSTRIAL (HIGH VOLTAGE),2009,214.000
WR,CHHATTISGARH,INDUSTRIAL (LOW & MED VOLTAGE),2009,24322.000
WR,CHHATTISGARH,MISCELLANEOUS,2009,287.000
WR,CHHATTISGARH,PUBLIC LIGHTING,2009,4407.000
WR,CHHATTISGARH,PUBLIC WATER WORKS AND SEWAGE,2009,5678.000
WR,CHHATTISGARH,TRACTION,2009,21.000
WR,CHHATTISGARH,AGRICULTURE,2010,229362.000
WR,CHHATTISGARH,COMMERCIAL,2010,201304.000
WR,CHHATTISGARH,RESIDENTIAL,2010,2543557.000
WR,CHHATTISGARH,INDUSTRIAL (HIGH VOLTAGE),2010,1168.000
WR,CHHATTISGARH,INDUSTRIAL (LOW & MED VOLTAGE),2010,24091.000
WR,CHHATTISGARH,MISCELLANEOUS,2010,5.000
WR,CHHATTISGARH,PUBLIC LIGHTING,2010,4428.000
WR,CHHATTISGARH,PUBLIC WATER WORKS AND SEWAGE,2010,6412.000
WR,CHHATTISGARH,TRACTION,2010,21.000
WR,CHHATTISGARH,AGRICULTURE,2011,229362.000
WR,CHHATTISGARH,COMMERCIAL,2011,201304.000
WR,CHHATTISGARH,RESIDENTIAL,2011,2543557.000
WR,CHHATTISGARH,INDUSTRIAL (HIGH VOLTAGE),2011,1168.000
WR,CHHATTISGARH,INDUSTRIAL (LOW & MED VOLTAGE),2011,24091.000
WR,CHHATTISGARH,MISCELLANEOUS,2011,5.000
WR,CHHATTISGARH,PUBLIC LIGHTING,2011,4428.000
WR,CHHATTISGARH,PUBLIC WATER WORKS AND SEWAGE,2011,6412.000
WR,CHHATTISGARH,TRACTION,2011,21.000
WR,CHHATTISGARH,AGRICULTURE,2012,290394.000
WR,CHHATTISGARH,COMMERCIAL,2012,229984.000
WR,CHHATTISGARH,RESIDENTIAL,2012,2989269.000
WR,CHHATTISGARH,INDUSTRIAL (HIGH VOLTAGE),2012,1286.000
WR,CHHATTISGARH,INDUSTRIAL (LOW & MED VOLTAGE),2012,27211.000
WR,CHHATTISGARH,MISCELLANEOUS,2012,5.000
WR,CHHATTISGARH,PUBLIC LIGHTING,2012,4323.000
WR,CHHATTISGARH,PUBLIC WATER WORKS AND SEWAGE,2012,8514.000
WR,CHHATTISGARH,TRACTION,2012,21.000
WR,CHHATTISGARH,AGRICULTURE,2013,328688.000
WR,CHHATTISGARH,COMMERCIAL,2013,244417.000
WR,CHHATTISGARH,RESIDENTIAL,2013,3185359.000
WR,CHHATTISGARH,INDUSTRIAL (HIGH VOLTAGE),2013,1299.000
WR,CHHATTISGARH,INDUSTRIAL (LOW & MED VOLTAGE),2013,28806.000
WR,CHHATTISGARH,MISCELLANEOUS,2013,64.000
WR,CHHATTISGARH,PUBLIC LIGHTING,2013,4494.000
WR,CHHATTISGARH,PUBLIC WATER WORKS AND SEWAGE,2013,10231.000
WR,CHHATTISGARH,TRACTION,2013,21.000
WR,CHHATTISGARH,AGRICULTURE,2014,369455.000
WR,CHHATTISGARH,COMMERCIAL,2014,262412.000
WR,CHHATTISGARH,RESIDENTIAL,2014,3359729.000
WR,CHHATTISGARH,INDUSTRIAL (HIGH VOLTAGE),2014,1454.000
WR,CHHATTISGARH,INDUSTRIAL (LOW & MED VOLTAGE),2014,30541.000
WR,CHHATTISGARH,MISCELLANEOUS,2014,23.000
WR,CHHATTISGARH,PUBLIC LIGHTING,2014,4830.000
WR,CHHATTISGARH,PUBLIC WATER WORKS AND SEWAGE,2014,13130.000
WR,CHHATTISGARH,TRACTION,2014,21.000
WR,CHHATTISGARH,AGRICULTURE,2015,406503.000
WR,CHHATTISGARH,COMMERCIAL,2015,277639.000
WR,CHHATTISGARH,RESIDENTIAL,2015,3557748.000
WR,CHHATTISGARH,INDUSTRIAL (HIGH VOLTAGE),2015,1547.000
WR,CHHATTISGARH,INDUSTRIAL (LOW & MED VOLTAGE),2015,31157.000
WR,CHHATTISGARH,MISCELLANEOUS,2015,32.000
WR,CHHATTISGARH,PUBLIC LIGHTING,2015,5061.000
WR,CHHATTISGARH,PUBLIC WATER WORKS AND SEWAGE,2015,14898.000
WR,CHHATTISGARH,TRACTION,2015,21.000
WR,CHHATTISGARH,AGRICULTURE,2016,439628.000
WR,CHHATTISGARH,COMMERCIAL,2016,294325.000
WR,CHHATTISGARH,RESIDENTIAL,2016,3727391.000
WR,CHHATTISGARH,INDUSTRIAL (HIGH VOLTAGE),2016,1652.000
WR,CHHATTISGARH,INDUSTRIAL (LOW & MED VOLTAGE),2016,31754.000
WR,CHHATTISGARH,MISCELLANEOUS,2016,33.000
WR,CHHATTISGARH,PUBLIC LIGHTING,2016,5584.000
WR,CHHATTISGARH,PUBLIC WATER WORKS AND SEWAGE,2016,17062.000
WR,CHHATTISGARH,TRACTION,2016,21.000
NR,UTTAR PRADESH,AGRICULTURE,2006,698699.000
NR,UTTAR PRADESH,COMMERCIAL,2006,861615.000
NR,UTTAR PRADESH,RESIDENTIAL,2006,7160969.000
NR,UTTAR PRADESH,INDUSTRIAL (HIGH VOLTAGE),2006,5211.000
NR,UTTAR PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2006,130668.000
NR,UTTAR PRADESH,MISCELLANEOUS,2006,1517.000
NR,UTTAR PRADESH,PUBLIC LIGHTING,2006,10009.000
NR,UTTAR PRADESH,PUBLIC WATER WORKS AND SEWAGE,2006,5891.000
NR,UTTAR PRADESH,TRACTION,2006,10.000
NR,UTTAR PRADESH,AGRICULTURE,2007,729376.000
NR,UTTAR PRADESH,COMMERCIAL,2007,965014.000
NR,UTTAR PRADESH,RESIDENTIAL,2007,7707246.000
NR,UTTAR PRADESH,INDUSTRIAL (HIGH VOLTAGE),2007,6065.000
NR,UTTAR PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2007,139547.000
NR,UTTAR PRADESH,MISCELLANEOUS,2007,15844.000
NR,UTTAR PRADESH,PUBLIC LIGHTING,2007,9137.000
NR,UTTAR PRADESH,PUBLIC WATER WORKS AND SEWAGE,2007,6320.000
NR,UTTAR PRADESH,TRACTION,2007,9.000
NR,UTTAR PRADESH,AGRICULTURE,2008,1058284.000
NR,UTTAR PRADESH,COMMERCIAL,2008,1488231.000
NR,UTTAR PRADESH,RESIDENTIAL,2008,12306785.000
NR,UTTAR PRADESH,INDUSTRIAL (HIGH VOLTAGE),2008,8551.000
NR,UTTAR PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2008,214297.000
NR,UTTAR PRADESH,MISCELLANEOUS,2008,21374.000
NR,UTTAR PRADESH,PUBLIC LIGHTING,2008,9546.000
NR,UTTAR PRADESH,PUBLIC WATER WORKS AND SEWAGE,2008,9725.000
NR,UTTAR PRADESH,TRACTION,2008,13.000
NR,UTTAR PRADESH,AGRICULTURE,2009,1141858.000
NR,UTTAR PRADESH,COMMERCIAL,2009,1608140.000
NR,UTTAR PRADESH,RESIDENTIAL,2009,13414689.000
NR,UTTAR PRADESH,INDUSTRIAL (HIGH VOLTAGE),2009,10565.000
NR,UTTAR PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2009,268093.000
NR,UTTAR PRADESH,MISCELLANEOUS,2009,20213.000
NR,UTTAR PRADESH,PUBLIC LIGHTING,2009,11299.000
NR,UTTAR PRADESH,PUBLIC WATER WORKS AND SEWAGE,2009,10845.000
NR,UTTAR PRADESH,TRACTION,2009,12.000
NR,UTTAR PRADESH,AGRICULTURE,2010,1143305.000
NR,UTTAR PRADESH,COMMERCIAL,2010,1540855.000
NR,UTTAR PRADESH,RESIDENTIAL,2010,12742441.000
NR,UTTAR PRADESH,INDUSTRIAL (HIGH VOLTAGE),2010,10727.000
NR,UTTAR PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2010,266982.000
NR,UTTAR PRADESH,MISCELLANEOUS,2010,2846.000
NR,UTTAR PRADESH,PUBLIC LIGHTING,2010,13998.000
NR,UTTAR PRADESH,PUBLIC WATER WORKS AND SEWAGE,2010,10809.000
NR,UTTAR PRADESH,TRACTION,2010,14.000
NR,UTTAR PRADESH,AGRICULTURE,2011,1146245.000
NR,UTTAR PRADESH,COMMERCIAL,2011,1535578.000
NR,UTTAR PRADESH,RESIDENTIAL,2011,12955917.000
NR,UTTAR PRADESH,INDUSTRIAL (HIGH VOLTAGE),2011,10758.000
NR,UTTAR PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2011,267711.000
NR,UTTAR PRADESH,MISCELLANEOUS,2011,17026.000
NR,UTTAR PRADESH,PUBLIC LIGHTING,2011,13998.000
NR,UTTAR PRADESH,PUBLIC WATER WORKS AND SEWAGE,2011,10922.000
NR,UTTAR PRADESH,TRACTION,2011,14.000
NR,UTTAR PRADESH,AGRICULTURE,2012,1559706.000
NR,UTTAR PRADESH,COMMERCIAL,2012,793209.000
NR,UTTAR PRADESH,RESIDENTIAL,2012,18050464.000
NR,UTTAR PRADESH,INDUSTRIAL (HIGH VOLTAGE),2012,18761.000
NR,UTTAR PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2012,299086.000
NR,UTTAR PRADESH,MISCELLANEOUS,2012,18062.000
NR,UTTAR PRADESH,PUBLIC LIGHTING,2012,16992.000
NR,UTTAR PRADESH,PUBLIC WATER WORKS AND SEWAGE,2012,16985.000
NR,UTTAR PRADESH,TRACTION,2012,17.000
NR,UTTAR PRADESH,AGRICULTURE,2013,1597777.000
NR,UTTAR PRADESH,COMMERCIAL,2013,2166336.000
NR,UTTAR PRADESH,RESIDENTIAL,2013,19574723.000
NR,UTTAR PRADESH,INDUSTRIAL (HIGH VOLTAGE),2013,19493.000
NR,UTTAR PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2013,309257.000
NR,UTTAR PRADESH,MISCELLANEOUS,2013,18063.000
NR,UTTAR PRADESH,PUBLIC LIGHTING,2013,18163.000
NR,UTTAR PRADESH,PUBLIC WATER WORKS AND SEWAGE,2013,17655.000
NR,UTTAR PRADESH,TRACTION,2013,23.000
NR,UTTAR PRADESH,AGRICULTURE,2014,948448.000
NR,UTTAR PRADESH,COMMERCIAL,2014,1204376.000
NR,UTTAR PRADESH,RESIDENTIAL,2014,11791176.000
NR,UTTAR PRADESH,INDUSTRIAL (HIGH VOLTAGE),2014,12806.000
NR,UTTAR PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2014,177861.000
NR,UTTAR PRADESH,MISCELLANEOUS,2014,166898.000
NR,UTTAR PRADESH,PUBLIC LIGHTING,2014,7898.000
NR,UTTAR PRADESH,PUBLIC WATER WORKS AND SEWAGE,2014,11937.000
NR,UTTAR PRADESH,TRACTION,2014,21.000
NR,UTTAR PRADESH,AGRICULTURE,2015,984209.000
NR,UTTAR PRADESH,COMMERCIAL,2015,1296589.000
NR,UTTAR PRADESH,RESIDENTIAL,2015,13804128.000
NR,UTTAR PRADESH,INDUSTRIAL (HIGH VOLTAGE),2015,13632.000
NR,UTTAR PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2015,187218.000
NR,UTTAR PRADESH,MISCELLANEOUS,2015,175762.000
NR,UTTAR PRADESH,PUBLIC LIGHTING,2015,7515.000
NR,UTTAR PRADESH,PUBLIC WATER WORKS AND SEWAGE,2015,14357.000
NR,UTTAR PRADESH,TRACTION,2015,24.000
NR,UTTAR PRADESH,AGRICULTURE,2016,984209.000
NR,UTTAR PRADESH,COMMERCIAL,2016,1296589.000
NR,UTTAR PRADESH,RESIDENTIAL,2016,13800000.000
NR,UTTAR PRADESH,INDUSTRIAL (HIGH VOLTAGE),2016,13632.000
NR,UTTAR PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2016,187218.000
NR,UTTAR PRADESH,MISCELLANEOUS,2016,175762.000
NR,UTTAR PRADESH,PUBLIC LIGHTING,2016,7515.000
NR,UTTAR PRADESH,PUBLIC WATER WORKS AND SEWAGE,2016,14357.000
NR,UTTAR PRADESH,TRACTION,2016,24.000
WR,MAHARASHTRA,AGRICULTURE,2006,2414590.000
WR,MAHARASHTRA,COMMERCIAL,2006,1571128.000
WR,MAHARASHTRA,RESIDENTIAL,2006,12881736.000
WR,MAHARASHTRA,INDUSTRIAL (HIGH VOLTAGE),2006,10367.000
WR,MAHARASHTRA,INDUSTRIAL (LOW & MED VOLTAGE),2006,360085.000
WR,MAHARASHTRA,MISCELLANEOUS,2006,33.000
WR,MAHARASHTRA,PUBLIC LIGHTING,2006,69946.000
WR,MAHARASHTRA,PUBLIC WATER WORKS AND SEWAGE,2006,43613.000
WR,MAHARASHTRA,TRACTION,2006,53.000
WR,MAHARASHTRA,AGRICULTURE,2007,2517487.000
WR,MAHARASHTRA,COMMERCIAL,2007,1670882.000
WR,MAHARASHTRA,RESIDENTIAL,2007,13685602.000
WR,MAHARASHTRA,INDUSTRIAL (HIGH VOLTAGE),2007,10668.000
WR,MAHARASHTRA,INDUSTRIAL (LOW & MED VOLTAGE),2007,340742.000
WR,MAHARASHTRA,MISCELLANEOUS,2007,2217.000
WR,MAHARASHTRA,PUBLIC LIGHTING,2007,71698.000
WR,MAHARASHTRA,PUBLIC WATER WORKS AND SEWAGE,2007,44488.000
WR,MAHARASHTRA,TRACTION,2007,53.000
WR,MAHARASHTRA,AGRICULTURE,2008,2644859.000
WR,MAHARASHTRA,COMMERCIAL,2008,1697753.000
WR,MAHARASHTRA,RESIDENTIAL,2008,14310786.000
WR,MAHARASHTRA,INDUSTRIAL (HIGH VOLTAGE),2008,11176.000
WR,MAHARASHTRA,INDUSTRIAL (LOW & MED VOLTAGE),2008,377526.000
WR,MAHARASHTRA,MISCELLANEOUS,2008,36.000
WR,MAHARASHTRA,PUBLIC LIGHTING,2008,72326.000
WR,MAHARASHTRA,PUBLIC WATER WORKS AND SEWAGE,2008,44662.000
WR,MAHARASHTRA,TRACTION,2008,52.000
WR,MAHARASHTRA,AGRICULTURE,2009,1304105.000
WR,MAHARASHTRA,COMMERCIAL,2009,1697627.000
WR,MAHARASHTRA,RESIDENTIAL,2009,11408051.000
WR,MAHARASHTRA,INDUSTRIAL (HIGH VOLTAGE),2009,6237.000
WR,MAHARASHTRA,INDUSTRIAL (LOW & MED VOLTAGE),2009,217725.000
WR,MAHARASHTRA,MISCELLANEOUS,2009,266.000
WR,MAHARASHTRA,PUBLIC LIGHTING,2009,17981.000
WR,MAHARASHTRA,PUBLIC WATER WORKS AND SEWAGE,2009,21293.000
WR,MAHARASHTRA,TRACTION,2009,44.000
WR,MAHARASHTRA,AGRICULTURE,2010,1262557.000
WR,MAHARASHTRA,COMMERCIAL,2010,1565903.000
WR,MAHARASHTRA,RESIDENTIAL,2010,10967497.000
WR,MAHARASHTRA,INDUSTRIAL (HIGH VOLTAGE),2010,5883.000
WR,MAHARASHTRA,INDUSTRIAL (LOW & MED VOLTAGE),2010,169358.000
WR,MAHARASHTRA,MISCELLANEOUS,2010,297.000
WR,MAHARASHTRA,PUBLIC LIGHTING,2010,15875.000
WR,MAHARASHTRA,PUBLIC WATER WORKS AND SEWAGE,2010,20969.000
WR,MAHARASHTRA,TRACTION,2010,39.000
WR,MAHARASHTRA,AGRICULTURE,2011,3223821.000
WR,MAHARASHTRA,COMMERCIAL,2011,2322640.000
WR,MAHARASHTRA,RESIDENTIAL,2011,19551629.000
WR,MAHARASHTRA,INDUSTRIAL (HIGH VOLTAGE),2011,12015.000
WR,MAHARASHTRA,INDUSTRIAL (LOW & MED VOLTAGE),2011,436282.000
WR,MAHARASHTRA,MISCELLANEOUS,2011,4106.000
WR,MAHARASHTRA,PUBLIC LIGHTING,2011,77485.000
WR,MAHARASHTRA,PUBLIC WATER WORKS AND SEWAGE,2011,46181.000
WR,MAHARASHTRA,TRACTION,2011,53.000
WR,MAHARASHTRA,AGRICULTURE,2012,3500201.000
WR,MAHARASHTRA,COMMERCIAL,2012,2432014.000
WR,MAHARASHTRA,RESIDENTIAL,2012,20342629.000
WR,MAHARASHTRA,INDUSTRIAL (HIGH VOLTAGE),2012,12910.000
WR,MAHARASHTRA,INDUSTRIAL (LOW & MED VOLTAGE),2012,450860.000
WR,MAHARASHTRA,MISCELLANEOUS,2012,4016.000
WR,MAHARASHTRA,PUBLIC LIGHTING,2012,79797.000
WR,MAHARASHTRA,PUBLIC WATER WORKS AND SEWAGE,2012,44879.000
WR,MAHARASHTRA,TRACTION,2012,57.000
WR,MAHARASHTRA,AGRICULTURE,2013,3627142.000
WR,MAHARASHTRA,COMMERCIAL,2013,2509378.000
WR,MAHARASHTRA,RESIDENTIAL,2013,21145982.000
WR,MAHARASHTRA,INDUSTRIAL (HIGH VOLTAGE),2013,13327.000
WR,MAHARASHTRA,INDUSTRIAL (LOW & MED VOLTAGE),2013,459291.000
WR,MAHARASHTRA,MISCELLANEOUS,2013,35605.000
WR,MAHARASHTRA,PUBLIC LIGHTING,2013,82823.000
WR,MAHARASHTRA,PUBLIC WATER WORKS AND SEWAGE,2013,49052.000
WR,MAHARASHTRA,TRACTION,2013,56.000
WR,MAHARASHTRA,AGRICULTURE,2014,3648974.000
WR,MAHARASHTRA,COMMERCIAL,2014,2229619.000
WR,MAHARASHTRA,RESIDENTIAL,2014,19506124.000
WR,MAHARASHTRA,INDUSTRIAL (HIGH VOLTAGE),2014,13241.000
WR,MAHARASHTRA,INDUSTRIAL (LOW & MED VOLTAGE),2014,439270.000
WR,MAHARASHTRA,MISCELLANEOUS,2014,63681.000
WR,MAHARASHTRA,PUBLIC LIGHTING,2014,81879.000
WR,MAHARASHTRA,PUBLIC WATER WORKS AND SEWAGE,2014,47831.000
WR,MAHARASHTRA,TRACTION,2014,52.000
WR,MAHARASHTRA,AGRICULTURE,2015,3812991.000
WR,MAHARASHTRA,COMMERCIAL,2015,2337253.000
WR,MAHARASHTRA,RESIDENTIAL,2015,20230903.000
WR,MAHARASHTRA,INDUSTRIAL (HIGH VOLTAGE),2015,13208.000
WR,MAHARASHTRA,INDUSTRIAL (LOW & MED VOLTAGE),2015,445231.000
WR,MAHARASHTRA,MISCELLANEOUS,2015,81472.000
WR,MAHARASHTRA,PUBLIC LIGHTING,2015,85712.000
WR,MAHARASHTRA,PUBLIC WATER WORKS AND SEWAGE,2015,49313.000
WR,MAHARASHTRA,TRACTION,2015,52.000
WR,MAHARASHTRA,AGRICULTURE,2016,3967176.000
WR,MAHARASHTRA,COMMERCIAL,2016,2412542.000
WR,MAHARASHTRA,RESIDENTIAL,2016,20900000.000
WR,MAHARASHTRA,INDUSTRIAL (HIGH VOLTAGE),2016,13553.000
WR,MAHARASHTRA,INDUSTRIAL (LOW & MED VOLTAGE),2016,455008.000
WR,MAHARASHTRA,MISCELLANEOUS,2016,86519.000
WR,MAHARASHTRA,PUBLIC LIGHTING,2016,88714.000
WR,MAHARASHTRA,PUBLIC WATER WORKS AND SEWAGE,2016,51116.000
WR,MAHARASHTRA,TRACTION,2016,15.000
ER,ODISHA,AGRICULTURE,2006,43680.000
ER,ODISHA,COMMERCIAL,2006,183316.000
ER,ODISHA,RESIDENTIAL,2006,1573743.000
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),2006,572.000
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),2006,21784.000
ER,ODISHA,MISCELLANEOUS,2006,30904.000
ER,ODISHA,PUBLIC LIGHTING,2006,1369.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,2006,1918.000
ER,ODISHA,TRACTION,2006,15.000
ER,ODISHA,AGRICULTURE,2007,32557.000
ER,ODISHA,COMMERCIAL,2007,232836.000
ER,ODISHA,RESIDENTIAL,2007,2197561.000
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),2007,1377.000
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),2007,21729.000
ER,ODISHA,MISCELLANEOUS,2007,18137.000
ER,ODISHA,PUBLIC LIGHTING,2007,1659.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,2007,3051.000
ER,ODISHA,TRACTION,2007,21.000
ER,ODISHA,AGRICULTURE,2008,32557.000
ER,ODISHA,COMMERCIAL,2008,232836.000
ER,ODISHA,RESIDENTIAL,2008,2197561.000
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),2008,1377.000
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),2008,21729.000
ER,ODISHA,MISCELLANEOUS,2008,18137.000
ER,ODISHA,PUBLIC LIGHTING,2008,1659.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,2008,3051.000
ER,ODISHA,TRACTION,2008,21.000
ER,ODISHA,AGRICULTURE,2009,42453.000
ER,ODISHA,COMMERCIAL,2009,286361.000
ER,ODISHA,RESIDENTIAL,2009,2812518.000
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),2009,1407.000
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),2009,27504.000
ER,ODISHA,MISCELLANEOUS,2009,25256.000
ER,ODISHA,PUBLIC LIGHTING,2009,1896.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,2009,4473.000
ER,ODISHA,TRACTION,2009,26.000
ER,ODISHA,AGRICULTURE,2010,35767.000
ER,ODISHA,COMMERCIAL,2010,238382.000
ER,ODISHA,RESIDENTIAL,2010,3926889.000
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),2010,1840.000
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),2010,22695.000
ER,ODISHA,MISCELLANEOUS,2010,21712.000
ER,ODISHA,PUBLIC LIGHTING,2010,1526.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,2010,4643.000
ER,ODISHA,TRACTION,2010,25.000
ER,ODISHA,AGRICULTURE,2011,36403.000
ER,ODISHA,COMMERCIAL,2011,252729.000
ER,ODISHA,RESIDENTIAL,2011,2980388.000
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),2011,2162.000
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),2011,23363.000
ER,ODISHA,MISCELLANEOUS,2011,23950.000
ER,ODISHA,PUBLIC LIGHTING,2011,1542.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,2011,5387.000
ER,ODISHA,TRACTION,2011,27.000
ER,ODISHA,AGRICULTURE,2012,37768.000
ER,ODISHA,COMMERCIAL,2012,273273.000
ER,ODISHA,RESIDENTIAL,2012,3552765.000
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),2012,1926.000
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),2012,25446.000
ER,ODISHA,MISCELLANEOUS,2012,26736.000
ER,ODISHA,PUBLIC LIGHTING,2012,1618.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,2012,6065.000
ER,ODISHA,TRACTION,2012,28.000
ER,ODISHA,AGRICULTURE,2013,40946.000
ER,ODISHA,COMMERCIAL,2013,298115.000
ER,ODISHA,RESIDENTIAL,2013,4250372.000
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),2013,2034.000
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),2013,26146.000
ER,ODISHA,MISCELLANEOUS,2013,29470.000
ER,ODISHA,PUBLIC LIGHTING,2013,1769.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,2013,6756.000
ER,ODISHA,TRACTION,2013,28.000
ER,ODISHA,AGRICULTURE,2014,45435.000
ER,ODISHA,COMMERCIAL,2014,293729.000
ER,ODISHA,RESIDENTIAL,2014,4883240.000
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),2014,1518.000
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),2014,23477.000
ER,ODISHA,MISCELLANEOUS,2014,28791.000
ER,ODISHA,PUBLIC LIGHTING,2014,9019.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,2014,7268.000
ER,ODISHA,TRACTION,2014,30.000
ER,ODISHA,AGRICULTURE,2015,53702.000
ER,ODISHA,COMMERCIAL,2015,308250.000
ER,ODISHA,RESIDENTIAL,2015,5397639.000
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),2015,1590.000
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),2015,23850.000
ER,ODISHA,MISCELLANEOUS,2015,31015.000
ER,ODISHA,PUBLIC LIGHTING,2015,1987.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,2015,7697.000
ER,ODISHA,TRACTION,2015,30.000
ER,ODISHA,AGRICULTURE,2016,68079.000
ER,ODISHA,COMMERCIAL,2016,327456.000
ER,ODISHA,RESIDENTIAL,2016,5779215.000
ER,ODISHA,INDUSTRIAL (HIGH VOLTAGE),2016,1651.000
ER,ODISHA,INDUSTRIAL (LOW & MED VOLTAGE),2016,24417.000
ER,ODISHA,MISCELLANEOUS,2016,33748.000
ER,ODISHA,PUBLIC LIGHTING,2016,2233.000
ER,ODISHA,PUBLIC WATER WORKS AND SEWAGE,2016,8173.000
ER,ODISHA,TRACTION,2016,30.000
SR,ANDHRA PRADESH,AGRICULTURE,2006,2558788.000
SR,ANDHRA PRADESH,COMMERCIAL,2006,1288070.000
SR,ANDHRA PRADESH,RESIDENTIAL,2006,13581220.000
SR,ANDHRA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2006,6352.000
SR,ANDHRA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2006,204723.000
SR,ANDHRA PRADESH,MISCELLANEOUS,2006,88592.000
