observationAbout,observationDate,value,variableMeasured,observationPeriod,unit
dcid:country/ESP,1975-06,55.798,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ESP,P1M,ESP
dcid:country/ESP,1975-07,57.246,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ESP,P1M,ESP
dcid:country/ESP,1975-08,58.334,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ESP,P1M,ESP
dcid:country/ESP,1975-09,59.081,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ESP,P1M,ESP
dcid:country/ESP,1975-10,59.187,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ESP,P1M,ESP
dcid:country/ESP,1975-11,59.247,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ESP,P1M,ESP
dcid:country/ESP,1975-12,59.644,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ESP,P1M,ESP
dcid:country/ESP,1975,0.34502,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_EUR,P1Y,EUR
dcid:country/LKA,1975-01,6.598,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975-02,6.503,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975-03,6.457,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975-04,6.484,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975-05,6.675,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975-06,6.833,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975-07,6.992,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975-08,7.256,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975-09,7.467,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975-10,7.536,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975-11,7.598,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975-12,7.687,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LNR,P1M,LNR
dcid:country/LKA,1975,7.00717,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LKR,P1Y,LKR
dcid:country/LKA,1975,7.00717,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_LKR,P1Y,LKR
dcid:country/SDN,1975,0.3482,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1Y,SDP
dcid:country/SDN,1975-01,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975-02,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975-03,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975-04,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975-05,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975-06,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975-07,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975-08,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975-09,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975-10,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975-11,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975-12,0.00035,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDP,P1M,SDP
dcid:country/SDN,1975,0.00035,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SDG,P1Y,SDG
dcid:country/SUR,1975,1.785,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SRG,P1Y,SRG
dcid:country/SUR,1975-01,0.00178,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SRG,P1M,SRG
dcid:country/SUR,1975,0.00178,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SRD,P1Y,SRD
dcid:country/SWE,1975,4.15219,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1Y,SEK
dcid:country/SWE,1975-01,4.0408,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975-02,3.9816,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975-03,3.9231,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975-04,3.9745,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975-05,3.9316,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975-06,3.9165,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975-07,4.1203,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975-08,4.3136,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975-09,4.4397,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975-10,4.3928,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975-11,4.3839,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975-12,4.4079,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1M,SEK
dcid:country/SWE,1975,4.15219,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SEK,P1Y,SEK
dcid:country/CHE,1975,2.58128,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1Y,CHF
dcid:country/CHE,1975-01,2.521,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975-02,2.477,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975-03,2.474,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975-04,2.558,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975-05,2.504,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975-06,2.494,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975-07,2.6082,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975-08,2.6803,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975-09,2.707,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975-10,2.6645,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975-11,2.6511,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975-12,2.6363,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1M,CHF
dcid:country/CHE,1975,2.58128,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_CHF,P1Y,CHF
dcid:country/SYR,1975,3.9,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SYP,P1Y,SYP
dcid:country/SYR,1975,3.9,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_SYP,P1Y,SYP
dcid:country/THA,1975,20.37927,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1Y,THB
dcid:country/THA,1975-01,20.3751,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975-02,20.3751,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975-03,20.3751,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975-04,20.3751,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975-05,20.3751,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975-06,20.3751,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975-07,20.3751,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975-08,20.3751,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975-09,20.3751,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975-10,20.3751,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975-11,20.4001,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975-12,20.4001,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1M,THB
dcid:country/THA,1975,20.37927,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_THB,P1Y,THB
dcid:country/TLS,1975-02,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_IDR,P1M,IDR
dcid:country/TLS,1975-03,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_IDR,P1M,IDR
dcid:country/TLS,1975-04,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_IDR,P1M,IDR
dcid:country/TLS,1975-05,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_IDR,P1M,IDR
dcid:country/TLS,1975-06,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_IDR,P1M,IDR
dcid:country/TLS,1975-07,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_IDR,P1M,IDR
dcid:country/TLS,1975-08,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_IDR,P1M,IDR
dcid:country/TLS,1975-09,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_IDR,P1M,IDR
dcid:country/TLS,1975-10,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_IDR,P1M,IDR
dcid:country/TLS,1975-11,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_IDR,P1M,IDR
dcid:country/TLS,1975-12,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_IDR,P1M,IDR
dcid:country/TLS,1975,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TPE,P1Y,TPE
dcid:country/TLS,1975-01,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TPE,P1M,TPE
dcid:country/TLS,1975,1,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrencyUSD,P1Y,USD
dcid:country/TGO,1975,214.3129,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1Y,XOF
dcid:country/TGO,1975-01,218.26083,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975-02,214.05082,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975-03,210.0158,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975-04,209.8658,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975-05,202.10577,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975-06,200.21576,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975-07,211.24581,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975-08,218.79083,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975-09,223.55085,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975-10,220.47084,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975-11,220.26084,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975-12,222.92085,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/TGO,1975,214.3129,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1Y,XOF
dcid:country/TON,1975,0.7639,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1Y,TOP
dcid:country/TON,1975-01,0.75098,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975-02,0.74074,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975-03,0.73443,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975-04,0.74399,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975-05,0.74456,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975-06,0.74753,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975-07,0.76214,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975-08,0.77911,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975-09,0.78664,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975-10,0.79036,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975-11,0.79032,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975-12,0.79603,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1M,TOP
dcid:country/TON,1975,0.7639,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TOP,P1Y,TOP
dcid:country/TTO,1975,2.1698,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1Y,TTD
dcid:country/TTO,1975-01,2.03196,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975-02,2.00541,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975-03,1.98554,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975-04,2.02529,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975-05,2.06733,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975-06,2.10336,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975-07,2.1971,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975-08,2.27024,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975-09,2.301,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975-10,2.33486,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975-11,2.3411,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975-12,2.37436,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1M,TTD
dcid:country/TTO,1975,2.1698,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TTD,P1Y,TTD
dcid:country/TUN,1975,0.40227,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1Y,TND
dcid:country/TUN,1975-01,0.3997,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975-02,0.3908,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975-03,0.387,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975-04,0.3939,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975-05,0.3829,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975-06,0.3783,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975-07,0.3972,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975-08,0.4151,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975-09,0.4235,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975-10,0.4181,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975-11,0.4174,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975-12,0.4233,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1M,TND
dcid:country/TUN,1975,0.40227,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TND,P1Y,TND
dcid:country/TUR,1975,14.44208,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1Y,TRL
dcid:country/TUR,1975-01,1e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975-02,1e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975-03,1e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975-04,1e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975-05,1e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975-06,1e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975-07,1e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975-08,1e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975-09,1e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975-10,1e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975-11,2e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975-12,2e-05,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRL,P1M,TRL
dcid:country/TUR,1975,1e-05,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_TRY,P1Y,TRY
dcid:country/TCA,1975,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrencyUSD,P1Y,USD
dcid:country/TCA,1975,1,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrencyUSD,P1Y,USD
dcid:country/TUV,1975,0.76387,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1Y,AUD
dcid:country/TUV,1975,0.76387,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1Y,AUD
dcid:country/UGA,1975,8.7354,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1Y,UGS
dcid:country/UGA,1975-01,0.07144,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975-02,0.07144,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975-03,0.07144,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975-04,0.07144,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975-05,0.07144,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975-06,0.07144,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975-07,0.07144,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975-08,0.07144,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975-09,0.07144,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975-10,0.08256,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975-11,0.08256,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975-12,0.08256,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGS,P1M,UGS
dcid:country/UGA,1975,0.08735,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_UGX,P1Y,UGX
dcid:country/ARE,1975,3.96128,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AED,P1Y,AED
dcid:country/ARE,1975-01,3.96679,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AED,P1M,AED
dcid:country/ARE,1975-02,3.96213,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AED,P1M,AED
dcid:country/ARE,1975-03,3.9574,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AED,P1M,AED
dcid:country/ARE,1975-04,3.96027,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AED,P1M,AED
dcid:country/ARE,1975-05,3.96058,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AED,P1M,AED
dcid:country/ARE,1975-06,3.95346,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AED,P1M,AED
dcid:country/ARE,1975-07,3.95633,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AED,P1M,AED
