"MinDate","Units","NumObservations","MinValue","ScalingFactors","MaxDate","observationPeriods","StatVar","MaxValue","NumPlaces","NumObservationsDates","MeasurementMethods"
"2014","[Ton]","114","1.88","[]","2017","[P1Y]","Annual_Amount_Emissions_Ammonia_SCC_27_NaturalSources","4231.22","58","2","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","15789","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Arsenic_SCC_28_MiscellaneousAreaSources","1.1057547373999999","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","3184","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Toluene_SCC_5_WasteDisposal","118.575","867","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","32","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Coal_Tar_SCC_3_IndustrialProcesses","4.2780000000000005","15","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","1546","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Cyanide_SCC_1_ExternalCombustion","85.5","468","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","396","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Selenium_SCC_4_PetroleumAndSolventEvaporation","0.22073363319612999","156","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","5321","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Ammonia_SCC_3_IndustrialProcesses","15784.284","1415","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","1","0.0","[]","2008","[P1Y]","Annual_Amount_Emissions_Pyrene_SCC_24_SolventUtilization","NaN","1","1","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16033","3.0484509999999997E-9","[]","2020","[P1Y]","Annual_Amount_Emissions_Mercury_SCC_21_StationarySourceFuelCombustion","0.283231856865496","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","8871","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Nickel_SCC_1_ExternalCombustion","39.8206953998","2097","5","[dcAggregate/EPA_NationalEmissionInventory]"
