pa,subject_label,object_id,object_label
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700014,Launceston
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700015,Melbourne
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700016,Muswellbrook
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700017,Newcastle
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700018,Perth
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700019,Shepparton
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700020,Sunshine Coast
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700021,Sydney
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700022,Wollongong
undata-geo:G00133000,Southern Europe,undata-geo:C02800000,Southern Europe: All cities or breakdown by cities not available
undata-geo:G00000180,Austria,undata-geo:C02900000,Austria: All cities or breakdown by cities not available
undata-geo:C02900000,Austria: All cities or breakdown by cities not available,undata-geo:C02900001,Bregenz
undata-geo:C02900000,Austria: All cities or breakdown by cities not available,undata-geo:C02900002,Graz
undata-geo:C02900000,Austria: All cities or breakdown by cities not available,undata-geo:C02900003,Innsbruck
undata-geo:C02900000,Austria: All cities or breakdown by cities not available,undata-geo:C02900004,Klagenfurt am Wörthersee
undata-geo:C02900000,Austria: All cities or breakdown by cities not available,undata-geo:C02900005,Linz
undata-geo:C02900000,Austria: All cities or breakdown by cities not available,undata-geo:C02900006,Salzburg
undata-geo:C02900000,Austria: All cities or breakdown by cities not available,undata-geo:C02900007,Wien (Vienna)
undata-geo:G00000210,Bahamas,undata-geo:C03000000,Bahamas: All cities or breakdown by cities not available
undata-geo:C03000000,Bahamas: All cities or breakdown by cities not available,undata-geo:C03000001,Nassau
undata-geo:G00000220,Bahrain,undata-geo:C03100000,Bahrain: All cities or breakdown by cities not available
undata-geo:C03100000,Bahrain: All cities or breakdown by cities not available,undata-geo:C03100001,Al-Manāmah (Manama)
undata-geo:C03100000,Bahrain: All cities or breakdown by cities not available,undata-geo:C03100002,Capital Governorate
undata-geo:C03100000,Bahrain: All cities or breakdown by cities not available,undata-geo:C03100003,Muharraq Governorate
undata-geo:C03100000,Bahrain: All cities or breakdown by cities not available,undata-geo:C03100004,Northern Governorate
undata-geo:C03100000,Bahrain: All cities or breakdown by cities not available,undata-geo:C03100005,Southern Governorate
undata-geo:G00000230,Bangladesh,undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200001,Barisal
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200002,Bogra
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200003,Chittagong (Chattogram)
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200004,Comilla
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200005,Dhaka (Dacca)
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200006,Dinajpur
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200007,Gazipur
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200008,Godagari
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200009,Jamalpur
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200010,Jessore
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200011,Khulna
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200012,Mymensingh (Nasirabad)
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200013,Patuakhali
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200014,Rajshahi
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200015,Rangpur
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200016,Saidpur
undata-geo:C03200000,Bangladesh: All cities or breakdown by cities not available,undata-geo:C03200017,Sylhet
undata-geo:G00000140,Armenia,undata-geo:C03300000,Armenia: All cities or breakdown by cities not available
undata-geo:C03300000,Armenia: All cities or breakdown by cities not available,undata-geo:C03300001,Yerevan
undata-geo:G00000240,Barbados,undata-geo:C03400000,Barbados: All cities or breakdown by cities not available
undata-geo:C03400000,Barbados: All cities or breakdown by cities not available,undata-geo:C03400001,Bridgetown
undata-geo:G00144000,Australia and New Zealand,undata-geo:C03500000,Australia and New Zealand: All cities or breakdown by cities not available
undata-geo:G00146000,Melanesia,undata-geo:C03600000,Melanesia: All cities or breakdown by cities not available
undata-geo:G00000270,Belgium,undata-geo:C03700000,Belgium: All cities or breakdown by cities not available
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700001,Anderlecht
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700002,Antwerpen
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700003,Auderghem
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700004,Berchem-Sainte-Agathe
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700005,Brugge
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700006,Bruxelles
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700007,Charleroi
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700008,Etterbeek
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700009,Evere
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700010,Forest
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700011,Ganshoren
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700012,Gent
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700013,Ixelles
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700014,Jette
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700015,Kapellen / Ekeren
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700016,Koekelberg
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700017,La Louvière
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700018,Leuven
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700019,Liège
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700020,Mechelen
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700021,Molenbeek-Saint-Jean
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700022,Namur
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700023,Oostende
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700024,Quaregnon / Frameries
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700025,Saint-Gilles
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700026,Saint-Josse-ten-Noode
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700027,Schaerbeek
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700028,Uccle
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700029,Verviers / Dison
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700030,Watermael-Boitsfort
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700031,Woluwe-Saint-Lambert
undata-geo:C03700000,Belgium: All cities or breakdown by cities not available,undata-geo:C03700032,Woluwe-Saint-Pierre
undata-geo:G00148000,Micronesia,undata-geo:C03800000,Micronesia: All cities or breakdown by cities not available
undata-geo:G00000300,Bermuda,undata-geo:C03900000,Bermuda: All cities or breakdown by cities not available
undata-geo:G00149000,Polynesia,undata-geo:C04000000,Polynesia: All cities or breakdown by cities not available
undata-geo:G00000310,Bhutan,undata-geo:C04100000,Bhutan: All cities or breakdown by cities not available
undata-geo:C04100000,Bhutan: All cities or breakdown by cities not available,undata-geo:C04100001,Phuntsholing (Phuentsholing)
undata-geo:C04100000,Bhutan: All cities or breakdown by cities not available,undata-geo:C04100002,Thimphu
undata-geo:G00000320,Bolivia (Plurinational State of),undata-geo:C04200000,Bolivia (Plurinational State of): All cities or breakdown by cities not available
undata-geo:C04200000,Bolivia (Plurinational State of): All cities or breakdown by cities not available,undata-geo:C04200001,Cochabamba
undata-geo:C04200000,Bolivia (Plurinational State of): All cities or breakdown by cities not available,undata-geo:C04200002,La Paz
undata-geo:C04200000,Bolivia (Plurinational State of): All cities or breakdown by cities not available,undata-geo:C04200003,Sucre
undata-geo:G00000350,Bosnia and Herzegovina,undata-geo:C04300000,Bosnia and Herzegovina: All cities or breakdown by cities not available
undata-geo:C04300000,Bosnia and Herzegovina: All cities or breakdown by cities not available,undata-geo:C04300001,Banja Luka
undata-geo:C04300000,Bosnia and Herzegovina: All cities or breakdown by cities not available,undata-geo:C04300002,Sarajevo
undata-geo:C04300000,Bosnia and Herzegovina: All cities or breakdown by cities not available,undata-geo:C04300003,Tuzla
undata-geo:C04300000,Bosnia and Herzegovina: All cities or breakdown by cities not available,undata-geo:C04300004,Zenica
undata-geo:G00000360,Botswana,undata-geo:C04400000,Botswana: All cities or breakdown by cities not available
undata-geo:C04400000,Botswana: All cities or breakdown by cities not available,undata-geo:C04400001,Francistown
undata-geo:C04400000,Botswana: All cities or breakdown by cities not available,undata-geo:C04400002,Gaborone
undata-geo:G00000370,Bouvet Island,undata-geo:C04500000,Bouvet Island: All cities or breakdown by cities not available
undata-geo:G00000380,Brazil,undata-geo:C04600000,Brazil: All cities or breakdown by cities not available
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600001,Aparecida de Goiânia
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600002,Araxá
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600003,Barretos
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600004,Belém
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600005,Belo Horizonte
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600006,Brasília
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600007,Campinas
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600008,Cigres
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600009,Criciúma
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600010,Cuiabá
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600011,Curitiba
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600012,Divinópolis
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600013,Florianópolis
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600014,Guarapari
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600015,Ilhéus
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600016,Indaiatuba
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600017,Ituiutaba
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600018,Jequié
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600019,Limeira
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600020,Macapá
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600021,Montes Claros
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600022,Novo Gama
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600023,Palmas
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600024,Parauapebas
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600025,Passos
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600026,Porto Alegre
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600027,Recife
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600028,Ribeirão Preto
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600029,Rio De Janeiro
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600030,Salvador
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600031,Santa Cruz do Capibaribe
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600032,Santana (Porto Santana)
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600033,São Carlos
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600034,São Gonçalo
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600035,São Paulo
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600036,Tatuí
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600037,Teixeira de Freitas
undata-geo:C04600000,Brazil: All cities or breakdown by cities not available,undata-geo:C04600038,Umuarama
