Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,x,y
Mouat Industries,31.66,MTD021997689,800384,8,Montana,Columbus,Stillwater,NPL Site,45.635,-109.2475,10/15/1984,06/10/1986,09/27/1996,404,,,"<a href=""https://semspub.epa.gov/src/document/08/100000216"" target=""_blank"">MTD021997689 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800384"" target=""_blank"">Mouat Industries</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",-12161376.070438154,5722049.405984384
Montana Pole and Treating,33.03,MTD006230635,800378,8,Montana,Butte,Silver Bow,NPL Site,45.99,-112.5483,06/10/1986,07/22/1987,09/27/2001,792,,,"<a href=""https://semspub.epa.gov/src/document/08/100000217"" target=""_blank"">MTD006230635 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800378"" target=""_blank"">Montana Pole and Treating</a>","<a href=""https://semspub.epa.gov/src/document/11/189644"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,,No,-12528819.445648592,5778746.85803504
Basin Mining Area,61.15,MTD982572562,801057,8,Montana,Basin,Jefferson,NPL Site,46.272778,-112.263333,07/22/1999,10/22/1999,,0,,,"<a href=""https://semspub.epa.gov/src/document/08/100000181"" target=""_blank"">MTD982572562 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0801057"" target=""_blank"">Basin Mining Area</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-07-22/pdf/99-18603.pdf"" target=""_blank"">07/22/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-10-22/pdf/99-27537.pdf"" target=""_blank"">10/22/1999 (PDF)</a>",,,,No,-12497097.064315705,5824170.360443975
Upper Tenmile Creek Mining Area,50,MTSFN7578012,801699,8,Montana,"Helena, Rimini",Lewis and Clark,NPL Site,46.482083,-112.245139,07/22/1999,10/22/1999,,0,,,"<a href=""https://semspub.epa.gov/src/document/08/100000183"" target=""_blank"">MTSFN7578012 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0801699"" target=""_blank"">Upper Tenmile Creek Mining Area</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-07-22/pdf/99-18603.pdf"" target=""_blank"">07/22/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-10-22/pdf/99-27537.pdf"" target=""_blank"">10/22/1999 (PDF)</a>",,,,No,-12495071.717500212,5857942.801486445
Lockwood Solvent Ground Water Plume,45.69,MT0007623052,801709,8,Montana,Billings,Yellowstone,NPL Site,45.803611,-108.455,05/11/2000,12/01/2000,,0,,,"<a href=""https://semspub.epa.gov/src/document/08/100000186"" target=""_blank"">MT0007623052 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0801709"" target=""_blank"">Lockwood Solvent Ground Water Plume</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-05-11/pdf/00-11563.pdf"" target=""_blank"">05/11/2000 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-12-01/pdf/00-30630.pdf"" target=""_blank"">12/01/2000 (PDF)</a>",,,,No,-12073155.373984484,5748933.404915685
Barker Hughesville Mining District,50,MT6122307485,801208,8,Montana,Barker,"Cascade, Judith Basin",NPL Site,47.083333,-110.630278,12/01/2000,09/13/2001,,0,,,"<a href=""https://semspub.epa.gov/src/document/08/100000187"" target=""_blank"">MT6122307485 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0801208"" target=""_blank"">Barker Hughesville Mining District</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-12-01/pdf/00-30631.pdf"" target=""_blank"">12/01/2000 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2001-09-13/pdf/01-22741.pdf"" target=""_blank"">09/13/2001 (PDF)</a>",,,,No,-12315306.213278295,5955686.762404906
Carpenter Snow Creek Mining District,50,MT0001096353,801507,8,Montana,Neihart,Cascade,NPL Site,46.961389,-110.725833,12/01/2000,09/13/2001,,0,,,"<a href=""https://semspub.epa.gov/src/document/08/100000188"" target=""_blank"">MT0001096353 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0801507"" target=""_blank"">Carpenter Snow Creek Mining District</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-12-01/pdf/00-30631.pdf"" target=""_blank"">12/01/2000 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2001-09-13/pdf/01-22741.pdf"" target=""_blank"">09/13/2001 (PDF)</a>",,,,No,-12325943.347221047,5935774.050120668
Libby Asbestos,0,MT0009083840,801744,8,Montana,Libby,Lincoln,NPL Site,48.391528,-115.551111,02/26/2002,10/24/2002,,0,,,"<a href=""https://semspub.epa.gov/src/document/08/100000192"" target=""_blank"">MT0009083840 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0801744"" target=""_blank"">Libby Asbestos</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-02-26/pdf/02-4403.pdf"" target=""_blank"">02/26/2002 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-10-24/pdf/02-27127.pdf"" target=""_blank"">10/24/2002 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",-12863090.837117033,6172240.082972112
Flat Creek IMM,51.33,MT0012694970,801914,8,Montana,Superior,Mineral,NPL Site,47.240278,-114.852778,04/09/2009,09/23/2009,,0,,,"<a href=""https://semspub.epa.gov/src/document/08/1570670"" target=""_blank"">MT0012694970 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0801914"" target=""_blank"">Flat Creek IMM</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2009-04-09/pdf/E9-7824.pdf"" target=""_blank"">04/09/2009 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2009-09-23/pdf/E9-22934.pdf"" target=""_blank"">09/23/2009 (PDF)</a>",,,,No,-12785352.763152894,5981382.126131301
ACM Smelter and Refinery,54.26,MTD093291599,800402,8,Montana,Black Eagle,Cascade,NPL Site,47.528603,-111.246467,03/04/2010,03/10/2011,,0,,,"<a href=""https://semspub.epa.gov/src/document/08/1570671"" target=""_blank"">MTD093291599 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800402"" target=""_blank"">ACM Smelter and Refinery</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2010-03-04/pdf/2010-4328.pdf"" target=""_blank"">03/04/2010 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2011-03-10/pdf/2011-5337.pdf"" target=""_blank"">03/10/2011 (PDF)</a>",,,,No,-12383900.058990711,6028786.425689334
Smurfit-Stone Mill,50,MTN000802850,802850,8,Montana,Missoula,Missoula,Proposed NPL Site,46.957781,-114.199623,05/24/2013,,,0,,,"<a href=""https://semspub.epa.gov/src/document/08/1570673"" target=""_blank"">MTN000802850 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0802850"" target=""_blank"">Smurfit-Stone Mill</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2013-05-24/pdf/2013-12326.pdf"" target=""_blank"">05/24/2013 (PDF)</a>",,,,,No,-12712643.881143814,5935185.577675426
Anaconda Aluminum Co Columbia Falls Reduction Plant,68.39,MTD057561763,800392,8,Montana,Columbia Falls,Flathead,NPL Site,48.387875,-114.130297,03/26/2015,09/09/2016,,0,,,"<a href=""https://semspub.epa.gov/src/document/08/1570788"" target=""_blank"">MTD057561763 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800392"" target=""_blank"">Anaconda Aluminum Co Columbia Falls Reduction Plant</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2015-03-26/pdf/2015-06728.pdf"" target=""_blank"">03/26/2015 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21615.pdf"" target=""_blank"">09/09/2016 (PDF)</a>",,,,No,-12704926.546125079,6171627.714022607
"Martin-Marietta, Sodyeco, Inc.",51.93,NCD001810365,402588,4,North Carolina,Charlotte,Mecklenburg,Deleted NPL Site,35.29445,-81,12/30/1982,09/08/1983,09/29/1999,663,09/30/2011,01/20/2012,"<a href=""https://semspub.epa.gov/src/document/04/11121481"" target=""_blank"">NCD001810365 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402588"" target=""_blank"">Martin-Marietta, Sodyeco, Inc.</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2011-09-30/pdf/2011-25107.pdf"" target=""_blank"">09/30/2011 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-01-20/pdf/2012-1100.pdf"" target=""_blank"">01/20/2012 (PDF)</a>",,No,-9016878.754255159,4203968.0682943445
PCB Spills,0,NCD980602163,403068,4,North Carolina,Warrenton,Warren,Deleted NPL Site,36.3381,-78.1661,12/30/1982,09/08/1983,03/07/1986,12,12/31/1985,03/07/1986,"<a href=""https://semspub.epa.gov/src/document/04/11121482"" target=""_blank"">NCD980602163 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403068"" target=""_blank"">PCB Spills</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/02/363201"" target=""_blank"">12/31/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189621"" target=""_blank"">03/07/1986 (PDF)</a>",,No,-8701410.4492961,4347243.694948924
Bypass 601 Ground Water Contamination,37.93,NCD044440303,402753,4,North Carolina,Concord,Cabarrus,NPL Site,35.4096,-80.6093,10/15/1984,06/10/1986,03/11/1999,591,,,"<a href=""https://semspub.epa.gov/src/document/04/11121483"" target=""_blank"">NCD044440303 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402753"" target=""_blank"">Bypass 601 Ground Water Contamination</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",-8973386.229202228,4219684.407652694
Jadco-Hughes Facility,42,NCD980729602,403079,4,North Carolina,Belmont,Gaston,NPL Site,35.275831,-81.041111,10/15/1984,06/10/1986,12/19/1996,420,,,"<a href=""https://semspub.epa.gov/src/document/04/11121484"" target=""_blank"">NCD980729602 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403079"" target=""_blank"">Jadco-Hughes Facility</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,-9021455.209841162,4201428.941088349
"North Carolina State University (Lot 86, Farm Unit #1)",48.36,NCD980557656,403015,4,North Carolina,Raleigh,Wake,NPL Site,35.801816,-78.713588,10/15/1984,06/10/1986,09/27/2006,988,,,"<a href=""https://semspub.epa.gov/src/document/04/11121485"" target=""_blank"">NCD980557656 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403015"" target=""_blank"">North Carolina State University (Lot 86, Farm Unit #1)</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,-8762356.53467153,4273385.713431877
Celanese Corp. (Shelby Fiber Operations),48.98,NCD003446721,402687,4,North Carolina,Shelby,Cleveland,NPL Site,35.208889,-81.528339,10/15/1984,06/10/1986,03/25/1993,160,,,"<a href=""https://semspub.epa.gov/src/document/04/11121486"" target=""_blank"">NCD003446721 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402687"" target=""_blank"">Celanese Corp. (Shelby Fiber Operations)</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",-9075693.182701387,4192304.683290153
Cape Fear Wood Preserving,34.09,NCD003188828,402634,4,North Carolina,Fayetteville,Cumberland,NPL Site,35.04945,-79.020839,06/10/1986,07/22/1987,09/25/2001,784,,,"<a href=""https://semspub.epa.gov/src/document/04/11121487"" target=""_blank"">NCD003188828 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402634"" target=""_blank"">Cape Fear Wood Preserving</a>","<a href=""https://semspub.epa.gov/src/document/11/189644"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,,No,-8796559.559537252,4170603.2337431093
Aberdeen Pesticide Dumps,52.7,NCD980843346,403099,4,North Carolina,Aberdeen,Moore,NPL Site,35.1384,-79.4472,01/22/1987,03/31/1989,09/30/2003,881,,,"<a href=""https://semspub.epa.gov/src/document/04/11121488"" target=""_blank"">NCD980843346 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403099"" target=""_blank"">Aberdeen Pesticide Dumps</a>","<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,,No,-8844021.848951362,4182705.093234068
Charles Macon Lagoon & Drum Storage,47.1,NCD980840409,403095,4,North Carolina,Cordova,Richmond,NPL Site,34.8925,-79.8375,01/22/1987,07/22/1987,11/06/1996,411,,,"<a href=""https://semspub.epa.gov/src/document/04/11121489"" target=""_blank"">NCD980840409 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403095"" target=""_blank"">Charles Macon Lagoon & Drum Storage</a>","<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,,No,-8887469.84620798,4149281.902675991
Carolina Transformer Co.,33.76,NCD003188844,402635,4,North Carolina,Fayetteville,Cumberland,NPL Site,35.063331,-78.845,01/22/1987,07/22/1987,08/10/2005,935,,,"<a href=""https://semspub.epa.gov/src/document/04/11121490"" target=""_blank"">NCD003188844 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402635"" target=""_blank"">Carolina Transformer Co.</a>","<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,,No,-8776985.251595655,4172490.9079996906
"Benfield Industries, Inc.",31.67,NCD981026479,403124,4,North Carolina,Hazelwood,Haywood,NPL Site,35.477781,-83.004169,06/24/1988,10/04/1989,09/19/2001,778,,,"<a href=""https://semspub.epa.gov/src/document/04/11121295"" target=""_blank"">NCD981026479 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403124"" target=""_blank"">Benfield Industries, Inc.</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,,No,-9239981.826798825,4229000.729117809
Potter's Septic Tank Service Pits,29.14,NCD981023260,403122,4,North Carolina,Maco,Brunswick,NPL Site,34.2846,-78.1578,06/24/1988,03/31/1989,09/27/2000,734,,,"<a href=""https://semspub.epa.gov/src/document/04/11121297"" target=""_blank"">NCD981023260 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403122"" target=""_blank"">Potter's Septic Tank Service Pits</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,,No,-8700486.497522516,4067081.171819803
Camp Lejeune Military Reservation,33.13,NC6170022580,403185,4,North Carolina,Onslow County,Onslow,NPL Site,34.717781,-77.342919,06/24/1988,10/04/1989,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121299"" target=""_blank"">NC6170022580 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403185"" target=""_blank"">Camp Lejeune Military Reservation</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,,No,-8609774.359545404,4125594.541509036
New Hanover County Airport Burn Pit,39.39,NCD981021157,403120,4,North Carolina,Wilmington,New Hanover,Deleted NPL Site,34.275,-77.915281,06/24/1988,03/31/1989,08/26/2003,857,06/22/2012,09/20/2012,"<a href=""https://semspub.epa.gov/src/document/04/11121306"" target=""_blank"">NCD981021157 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403120"" target=""_blank"">New Hanover County Airport Burn Pit</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-06-22/pdf/2012-15340.pdf"" target=""_blank"">06/22/2012 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-09-20/pdf/2012-23153.pdf"" target=""_blank"">09/20/2012 (PDF)</a>",,No,-8673489.405934822,4065787.850870832
"Koppers Co., Inc. (Morrisville Plant)",41.89,NCD003200383,402647,4,North Carolina,Morrisville,Wake,NPL Site,35.8463,-78.8406,06/24/1988,03/31/1989,09/11/1997,455,,,"<a href=""https://semspub.epa.gov/src/document/04/11121318"" target=""_blank"">NCD003200383 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402647"" target=""_blank"">Koppers Co., Inc. (Morrisville Plant)</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",-8776495.445836164,4279493.046637965
ABC One Hour Cleaners,29.11,NCD024644494,402718,4,North Carolina,Jacksonville,Onslow,NPL Site,34.7414,-77.3666,06/24/1988,03/31/1989,08/08/2002,818,,,"<a href=""https://semspub.epa.gov/src/document/04/11121319"" target=""_blank"">NCD024644494 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402718"" target=""_blank"">ABC One Hour Cleaners</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,,No,-8612410.51640688,4128793.732755772
Geigy Chemical Corp. (Aberdeen Plant),33.02,NCD981927502,404170,4,North Carolina,Aberdeen,Moore,NPL Site,35.126111,-79.406669,06/24/1988,10/04/1989,07/20/1998,519,,,"<a href=""https://semspub.epa.gov/src/document/04/11121320"" target=""_blank"">NCD981927502 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404170"" target=""_blank"">Geigy Chemical Corp. (Aberdeen Plant)</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,,No,-8839509.95867002,4181032.3591463068
"FCX, Inc. (Statesville Plant)",37.93,NCD095458527,404225,4,North Carolina,Statesville,Iredell,NPL Site,35.7865,-80.9163,06/24/1988,02/21/1990,09/29/2001,804,,,"<a href=""https://semspub.epa.gov/src/document/04/11121327"" target=""_blank"">NCD095458527 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404225"" target=""_blank"">FCX, Inc. (Statesville Plant)</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>",,,,No,-9007561.312875763,4271283.72844564
"FCX, Inc. (Washington Plant)",40.39,NCD981475932,404280,4,North Carolina,Washington,Beaufort,NPL Site,35.559581,-77.07445,06/24/1988,03/31/1989,09/22/2005,953,,,"<a href=""https://semspub.epa.gov/src/document/04/11121328"" target=""_blank"">NCD981475932 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404280"" target=""_blank"">FCX, Inc. (Washington Plant)</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,,No,-8579888.527171625,4240188.397706893
JFD Electronics/Channel Master,39.03,NCD122263825,404327,4,North Carolina,Oxford,Granville,NPL Site,36.299719,-78.606389,06/24/1988,10/04/1989,09/29/2000,753,,,"<a href=""https://semspub.epa.gov/src/document/04/11121329"" target=""_blank"">NCD122263825 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404327"" target=""_blank"">JFD Electronics/Channel Master</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,,No,-8750423.19657798,4341941.002476188
"Chemtronics, Inc.",30.16,NCD095459392,402957,4,North Carolina,Swannanoa,Buncombe,NPL Site,35.625,-82.434719,12/30/1982,09/08/1983,03/25/1993,159,,,"<a href=""https://semspub.epa.gov/src/document/04/11121332"" target=""_blank"">NCD095459392 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402957"" target=""_blank"">Chemtronics, Inc.</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-9176590.942766594,4249143.879630859
General Electric Co/Shepherd Farm,70.71,NCD079044426,402893,4,North Carolina,East Flat Rock,Henderson,NPL Site,35.272222,-82.411111,02/07/1992,12/16/1994,09/28/2000,741,,,"<a href=""https://semspub.epa.gov/src/document/04/11121346"" target=""_blank"">NCD079044426 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402893"" target=""_blank"">General Electric Co/Shepherd Farm</a>","<a href=""https://semspub.epa.gov/src/document/11/189653"" target=""_blank"">02/07/1992 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189639"" target=""_blank"">12/16/1994 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",-9173962.912227947,4200936.8388015395
Cherry Point Marine Corps Air Station,70.71,NC1170027261,403174,4,North Carolina,Havelock,Craven,NPL Site,34.9,-76.8917,08/23/1994,12/16/1994,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121361"" target=""_blank"">NC1170027261 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403174"" target=""_blank"">Cherry Point Marine Corps Air Station</a>","<a href=""https://semspub.epa.gov/src/document/11/189658"" target=""_blank"">08/23/1994 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189639"" target=""_blank"">12/16/1994 (PDF)</a>",,,,No,-8559544.890229154,4150299.8337326054
Davis Park Road TCE,33.5,NCD986175644,405489,4,North Carolina,Gastonia,Gaston,NPL Site,35.231667,-81.218889,07/28/1998,01/19/1999,09/27/2000,733,,,"<a href=""https://semspub.epa.gov/src/document/04/11121378"" target=""_blank"">NCD986175644 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0405489"" target=""_blank"">Davis Park Road TCE</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20155.pdf"" target=""_blank"">07/28/1998 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-01-19/pdf/99-1020.pdf"" target=""_blank"">01/19/1999 (PDF)</a>",,,,No,-9041245.36627541,4195408.500945409
North Belmont PCE,50,NCD986187128,405619,4,North Carolina,North Belmont,Gaston,NPL Site,35.273472,-81.05125,04/23/1999,07/22/1999,06/21/2004,908,,,"<a href=""https://semspub.epa.gov/src/document/04/11121381"" target=""_blank"">NCD986187128 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0405619"" target=""_blank"">North Belmont PCE</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-04-23/pdf/99-10236.pdf"" target=""_blank"">04/23/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-07-22/pdf/99-18602.pdf"" target=""_blank"">07/22/1999 (PDF)</a>",,,,No,-9022583.878158314,4201107.279062338
