statvar,dcid
Annual_Amount_Emissions_ClimateTraceOtherMetals_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ClimateTraceOtherMetals
Annual_Amount_Emissions_ClimateTraceOtherMiningQuarrying_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ClimateTraceOtherMiningQuarrying
Annual_Amount_Emissions_CropResidues_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_CropResidues
Annual_Amount_Emissions_DomesticShipping_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_DomesticShipping
Annual_Amount_Emissions_DomesticWastewaterTreatmentAndDischarge_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_DomesticWastewaterTreatmentAndDischarge
Annual_Amount_Emissions_EntericFermentationOperation_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_EntericFermentationOperation
Annual_Amount_Emissions_EntericFermentationPasture_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_EntericFermentationPasture
Annual_Amount_Emissions_FoodProcessingBeveragesTobaccoProduction_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_FoodProcessingBeveragesTobaccoProduction
Annual_Amount_Emissions_FuelCombustionForNonResidentialCommercialOnsiteHeating_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_FuelCombustionForNonResidentialCommercialOnsiteHeating
Annual_Amount_Emissions_GlassProduction_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_GlassProduction
Annual_Amount_Emissions_HeatPlants_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_HeatPlants
Annual_Amount_Emissions_IndustrialWastewaterTreatmentAndDischarge_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_IndustrialWastewaterTreatmentAndDischarge
Annual_Amount_Emissions_InternationalShipping_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_InternationalShipping
Annual_Amount_Emissions_LimeProduction_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_LimeProduction
Annual_Amount_Emissions_ManureAppliedToSoils_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ManureAppliedToSoils
Annual_Amount_Emissions_ManureLeftOnPasture_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ManureLeftOnPasture
Annual_Amount_Emissions_ManureManagementOperation_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ManureManagementOperation
Annual_Amount_Emissions_NonBroadcastingVessels_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_NonBroadcastingVessels
Annual_Amount_Emissions_OilAndGasTransport_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_OilAndGasTransport
Annual_Amount_Emissions_Removals_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_Removals
Annual_Amount_Emissions_TextileLeatherApparel_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_TextileLeatherApparel
Annual_Amount_Emissions_WaterReservoirs_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_WaterReservoirs
Annual_Amount_Emissions_WoodProducts_CarbonDioxideEquivalent100YearGlobalWarmingPotential,Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_WoodProducts
