,Year,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_WhiteAlone,geo_ID,Count_Person_Male,Count_Person_Female
434,1986.0,4910,4182,3085,2847,geoId/01065,7042,8009
435,1986.0,2927,2491,5016,4616,geoId/01067,7125,7963
436,1986.0,9730,8148,31125,28970,geoId/01069,37444,41187
437,1986.0,1066,937,23593,22303,geoId/01071,23601,25062
438,1986.0,122495,102100,225907,203995,geoId/01073,307759,350149
439,1986.0,1032,921,7507,7022,geoId/01075,7954,8557
440,1986.0,4208,3490,37463,34688,geoId/01077,38321,41847
441,1986.0,2558,2295,12523,12269,geoId/01079,15205,15778
442,1986.0,10420,8995,30530,31575,geoId/01081,41266,41511
443,1986.0,3295,3437,21890,21269,geoId/01083,24827,25286
444,1986.0,5084,4371,1685,1536,geoId/01085,5912,6777
445,1986.0,11601,9903,1797,1897,geoId/01087,11863,13459
446,1986.0,22978,20942,86586,85308,geoId/01089,108304,111821
447,1986.0,6641,5690,5944,5621,geoId/01091,11322,12600
448,1986.0,407,454,15020,14284,geoId/01093,14781,15470
449,1986.0,547,514,35538,32886,geoId/01095,33513,36232
450,1986.0,64102,54222,133545,125535,geoId/01097,181893,199835
451,1986.0,4841,4360,6911,6541,geoId/01099,11018,11858
452,1986.0,45404,38459,62820,57984,geoId/01101,97150,109110
453,1986.0,5052,4386,43779,41830,geoId/01103,46457,49090
454,1986.0,4754,4026,2742,2534,geoId/01105,6571,7512
455,1986.0,4950,4014,6450,6146,geoId/01107,10177,11428
456,1986.0,5354,4262,9378,8742,geoId/01109,13084,14822
457,1986.0,2456,2189,7744,7245,geoId/01111,9449,10227
458,1986.0,9780,8493,14863,14041,geoId/01113,22611,24744
459,1986.0,2100,2201,20887,20674,geoId/01115,22959,23073
460,1986.0,3754,3284,38381,37199,geoId/01117,40765,42447
461,1986.0,6453,5425,2633,2526,geoId/01119,7969,9103
462,1986.0,12130,10867,26848,25307,geoId/01121,36289,39089
463,1986.0,5506,4646,14739,13583,geoId/01123,18261,20296
464,1986.0,20632,17129,53031,51783,geoId/01125,69505,74195
465,1986.0,2488,2066,32905,30856,geoId/01127,32999,35514
466,1986.0,2455,2226,5712,5575,geoId/01129,8277,8665
467,1986.0,5400,4637,2389,2191,geoId/01131,6830,7799
468,1986.0,35,29,11251,10732,geoId/01133,10787,11328
469,1987.0,3661,3153,13259,13014,geoId/01001,16232,17034
470,1987.0,6606,5827,40868,39160,geoId/01003,45316,47898
471,1987.0,5977,5044,7192,6814,geoId/01005,11895,13210
472,1987.0,1834,1632,6420,6248,geoId/01007,7896,8267
473,1987.0,293,254,19021,18310,geoId/01009,18624,19393
474,1987.0,4175,3536,1522,1645,geoId/01011,5190,5703
475,1987.0,4808,4048,7125,6392,geoId/01013,10456,11950
476,1987.0,11428,10098,48728,46788,geoId/01015,57318,60778
477,1987.0,7195,6217,12731,11558,geoId/01017,17798,19954
478,1987.0,701,652,9036,8780,geoId/01019,9457,9772
479,1987.0,1897,1727,14524,13763,geoId/01021,15524,16468
480,1987.0,3877,3367,4780,4512,geoId/01023,7889,8667
481,1987.0,6142,5542,8157,7613,geoId/01025,13185,14344
482,1987.0,1140,1033,5763,5367,geoId/01027,6413,6917
483,1987.0,323,280,6124,5976,geoId/01029,6266,6463
484,1987.0,3625,3251,16768,16335,geoId/01031,19739,20653
485,1987.0,4678,3878,22181,20966,geoId/01033,24949,26959
486,1987.0,3345,2804,4402,4171,geoId/01035,6999,7773
487,1987.0,1940,1870,3743,3601,geoId/01037,5487,5697
488,1987.0,2648,2118,16673,15192,geoId/01039,17363,19377
489,1987.0,1965,1614,5313,4932,geoId/01041,6565,7298
490,1987.0,266,284,33727,31888,geoId/01043,32272,34116
491,1987.0,4408,4213,19319,20723,geoId/01045,25284,24306
492,1987.0,15841,12900,11544,10323,geoId/01047,23301,27462
493,1987.0,530,464,27109,25385,geoId/01049,26054,27875
494,1987.0,5135,5475,18406,18326,geoId/01051,23908,23653
495,1987.0,5314,5280,12984,12472,geoId/01053,18312,18814
496,1987.0,7465,6314,45481,41487,geoId/01055,48078,53233
497,1987.0,1226,1053,8460,7845,geoId/01057,8909,9703
498,1987.0,667,597,14057,12957,geoId/01059,13594,14766
499,1987.0,1545,1321,10709,10124,geoId/01061,11491,12320
500,1987.0,4526,3735,1085,1022,geoId/01063,4762,5611
501,1987.0,4914,4166,3111,2885,geoId/01065,7064,8039
502,1987.0,2923,2479,5058,4657,geoId/01067,7154,8001
503,1987.0,9970,8317,31625,29420,geoId/01069,38074,41941
504,1987.0,1066,928,23522,22199,geoId/01071,23530,25038
505,1987.0,123274,102589,224985,203227,geoId/01073,307572,350093
506,1987.0,1019,906,7433,6940,geoId/01075,7857,8470
507,1987.0,4201,3475,37364,34565,geoId/01077,38188,41745
508,1987.0,2544,2271,12432,12216,geoId/01079,15228,15779
509,1987.0,10402,8957,30507,31459,geoId/01081,41170,41511
510,1987.0,3312,3534,22385,21830,geoId/01083,25496,25811
511,1987.0,5122,4388,1684,1538,geoId/01085,5931,6814
512,1987.0,11773,10007,1809,1891,geoId/01087,11961,13642
513,1987.0,23578,21459,88377,87270,geoId/01089,110973,114414
514,1987.0,6586,5641,5951,5616,geoId/01091,11268,12552
515,1987.0,423,479,15027,14305,geoId/01093,14827,15493
516,1987.0,554,522,35876,33141,geoId/01095,33785,36590
517,1987.0,64550,54368,134169,125984,geoId/01097,182635,201052
518,1987.0,4831,4357,6984,6634,geoId/01099,11115,11926
519,1987.0,46020,39001,62897,58190,geoId/01101,97947,109852
520,1987.0,5150,4487,44459,42499,geoId/01103,47252,49891
521,1987.0,4748,4013,2677,2485,geoId/01105,6509,7441
522,1987.0,4897,3947,6353,6057,geoId/01107,10020,11278
523,1987.0,5336,4247,9326,8709,geoId/01109,13040,14756
524,1987.0,2440,2176,7689,7229,geoId/01111,9420,10156
525,1987.0,9805,8507,14901,14107,geoId/01113,22695,24810
526,1987.0,2122,2293,21539,21365,geoId/01115,23748,23752
527,1987.0,3896,3392,40883,39636,geoId/01117,43346,45129
528,1987.0,6420,5366,2597,2497,geoId/01119,7881,9034
529,1987.0,12037,10779,26574,25106,geoId/01121,36008,38730
530,1987.0,5539,4648,14834,13632,geoId/01123,18312,20426
531,1987.0,20939,17347,53941,52621,geoId/01125,70623,75459
532,1987.0,2479,2054,33010,30921,geoId/01127,33054,35604
533,1987.0,2471,2242,5739,5608,geoId/01129,8342,8726
534,1987.0,5355,4594,2362,2167,geoId/01131,6763,7727
535,1987.0,33,28,11109,10599,geoId/01133,10652,11184
536,1988.0,3678,3151,13438,13187,geoId/01001,16404,17233
537,1988.0,6624,5829,41575,39831,geoId/01003,46002,48650
538,1988.0,6005,5076,7221,6845,geoId/01005,11960,13271
539,1988.0,1814,1610,6427,6255,geoId/01007,7882,8255
540,1988.0,285,247,19164,18402,geoId/01009,18713,19535
541,1988.0,4308,3674,1513,1667,geoId/01011,5353,5827
542,1988.0,4790,4036,7027,6316,geoId/01013,10374,11836
543,1988.0,11449,10092,48323,46311,geoId/01015,56849,60419
544,1988.0,7153,6170,12574,11432,geoId/01017,17627,19756
545,1988.0,688,644,9198,8922,geoId/01019,9592,9926
546,1988.0,1909,1747,14672,13893,geoId/01021,15676,16634
547,1988.0,3868,3359,4753,4473,geoId/01023,7842,8634
548,1988.0,6103,5500,8072,7522,geoId/01025,13053,14219
549,1988.0,1131,1032,5734,5335,geoId/01027,6383,6884
550,1988.0,317,277,6130,5990,geoId/01029,6279,6465
551,1988.0,3665,3296,16857,16441,geoId/01031,19899,20804
552,1988.0,4658,3851,21990,20788,geoId/01033,24746,26755
553,1988.0,3286,2750,4293,4060,geoId/01035,6834,7607
554,1988.0,1926,1854,3694,3562,geoId/01037,5433,5637
555,1988.0,2641,2113,16596,15138,geoId/01039,17308,19294
556,1988.0,1965,1619,5297,4916,geoId/01041,6554,7280
557,1988.0,266,293,33837,31987,geoId/01043,32387,34229
558,1988.0,4579,4320,19715,21067,geoId/01045,25748,24904
559,1988.0,15657,12676,11177,10001,geoId/01047,22756,26915
560,1988.0,535,474,27203,25472,geoId/01049,26171,27997
561,1988.0,5181,5579,18572,18543,geoId/01051,24237,23876
562,1988.0,5193,5140,12712,12194,geoId/01053,17895,18419
563,1988.0,7463,6312,45185,41159,geoId/01055,47772,52954
564,1988.0,1196,1023,8276,7666,geoId/01057,8700,9488
565,1988.0,670,598,14032,12913,geoId/01059,13551,14746
566,1988.0,1533,1306,10634,10043,geoId/01061,11395,12231
567,1988.0,4538,3728,1055,1006,geoId/01063,4737,5593
568,1988.0,4965,4186,3173,2942,geoId/01065,7142,8153
569,1988.0,2912,2472,5079,4677,geoId/01067,7166,8010
570,1988.0,10114,8410,31753,29519,geoId/01069,38280,42227
571,1988.0,1064,920,23420,22069,geoId/01071,23434,24986
572,1988.0,123905,102936,223285,201736,geoId/01073,306521,349111
573,1988.0,1008,889,7323,6807,geoId/01075,7710,8351
574,1988.0,4205,3463,37217,34406,geoId/01077,38024,41606
575,1988.0,2538,2258,12375,12188,geoId/01079,15289,15820
576,1988.0,10652,9155,31210,32093,geoId/01081,42081,42521
577,1988.0,3331,3636,22857,22356,geoId/01083,26135,26308
578,1988.0,5053,4311,1652,1512,geoId/01085,5829,6713
579,1988.0,11724,9918,1769,1827,geoId/01087,11810,13550
580,1988.0,24287,22080,90383,89439,geoId/01089,113980,117345
581,1988.0,6508,5565,5926,5592,geoId/01091,11168,12448
582,1988.0,433,489,14869,14162,geoId/01093,14695,15347
583,1988.0,559,520,36042,33237,geoId/01095,33887,36775
584,1988.0,64397,54010,133241,124989,geoId/01097,181412,200094
585,1988.0,4820,4347,7044,6712,geoId/01099,11188,11984
586,1988.0,46501,39422,62648,58078,geoId/01101,98304,110129
587,1988.0,5204,4558,44758,42805,geoId/01103,47652,50266
588,1988.0,4656,3928,2557,2376,geoId/01105,6317,7227
589,1988.0,4854,3882,6259,5961,geoId/01107,9859,11144
590,1988.0,5334,4234,9279,8685,geoId/01109,13009,14716
591,1988.0,2472,2198,7762,7329,geoId/01111,9544,10264
592,1988.0,9770,8468,14824,14061,geoId/01113,22615,24703
593,1988.0,2098,2323,21778,21650,geoId/01115,24066,23973
594,1988.0,3990,3465,42816,41522,geoId/01117,45337,47189
595,1988.0,6328,5260,2528,2414,geoId/01119,7693,8872
596,1988.0,12002,10756,26394,24987,geoId/01121,35876,38522
597,1988.0,5557,4631,14859,13631,geoId/01123,18298,20473
598,1988.0,21135,17479,54443,53054,geoId/01125,71249,76202
599,1988.0,2446,2022,32802,30682,geoId/01127,32786,35363
600,1988.0,2458,2232,5687,5554,geoId/01129,8290,8676
601,1988.0,5211,4453,2283,2105,geoId/01131,6561,7503
602,1988.0,32,29,11058,10554,geoId/01133,10608,11131
603,1989.0,3690,3149,13621,13347,geoId/01001,16565,17431
604,1989.0,6654,5834,42344,40545,geoId/01003,46734,49469
605,1989.0,6036,5107,7231,6873,geoId/01005,12022,13315
606,1989.0,1826,1629,6518,6349,geoId/01007,7999,8359
607,1989.0,285,245,19445,18634,geoId/01009,18948,19823
608,1989.0,4327,3709,1468,1649,geoId/01011,5370,5801
609,1989.0,4780,4029,6945,6241,geoId/01013,10293,11745
610,1989.0,11463,10076,47909,45792,geoId/01015,56331,60047
611,1989.0,7148,6151,12488,11368,geoId/01017,17546,19663
612,1989.0,675,637,9181,8898,geoId/01019,9566,9899
613,1989.0,1911,1753,14690,13912,geoId/01021,15709,16659
614,1989.0,3821,3299,4650,4373,geoId/01023,7682,8483
615,1989.0,6083,5478,8041,7484,geoId/01025,12996,14170
616,1989.0,1121,1031,5693,5289,geoId/01027,6336,6834
617,1989.0,319,276,6134,5993,geoId/01029,6282,6473
618,1989.0,3653,3283,16704,16307,geoId/01031,19760,20649
619,1989.0,4657,3841,21926,20727,geoId/01033,24685,26695
620,1989.0,3260,2717,4203,3986,geoId/01035,6729,7493
621,1989.0,1931,1856,3687,3561,geoId/01037,5436,5637
622,1989.0,2648,2116,16550,15091,geoId/01039,17269,19258
623,1989.0,1965,1615,5272,4892,geoId/01041,6527,7255
624,1989.0,266,294,34064,32172,geoId/01043,32576,34465
625,1989.0,4599,4276,19453,20687,geoId/01045,25328,24660
626,1989.0,15585,12533,10890,9753,geoId/01047,22371,26558
627,1989.0,542,476,27332,25577,geoId/01049,26298,28157
628,1989.0,5225,5667,18738,18748,geoId/01051,24540,24094
629,1989.0,5102,5027,12528,11988,geoId/01053,17586,18152
630,1989.0,7484,6320,44978,40896,geoId/01055,47536,52791
631,1989.0,1190,1011,8182,7567,geoId/01057,8590,9388
632,1989.0,663,588,13901,12759,geoId/01059,13390,14613
633,1989.0,1516,1295,10553,9959,geoId/01061,11300,12133
634,1989.0,4505,3696,1018,985,geoId/01063,4684,5523
635,1989.0,4986,4186,3206,2981,geoId/01065,7182,8206
636,1989.0,2929,2479,5134,4735,geoId/01067,7232,8084
637,1989.0,10223,8476,31768,29504,geoId/01069,38344,42364
638,1989.0,1062,909,23086,21697,geoId/01071,23099,24697
639,1989.0,124525,103258,221533,200110,geoId/01073,305320,348082
640,1989.0,994,877,7233,6701,geoId/01075,7593,8248
641,1989.0,4202,3446,37106,34268,geoId/01077,37877,41501
642,1989.0,2548,2264,12387,12221,geoId/01079,15436,15960
643,1989.0,10832,9275,31675,32452,geoId/01081,42633,43221
644,1989.0,3360,3742,23438,22976,geoId/01083,26875,26932
645,1989.0,5139,4369,1677,1527,geoId/01085,5902,6824
646,1989.0,11695,9856,1752,1785,geoId/01087,11706,13508
647,1989.0,24851,22554,91835,90992,geoId/01089,116211,119574
648,1989.0,6446,5495,5898,5567,geoId/01091,11072,12356
649,1989.0,440,502,14812,14111,geoId/01093,14661,15296
650,1989.0,560,516,36014,33147,geoId/01095,33807,36758
651,1989.0,64186,53596,132162,123797,geoId/01097,179933,198938
652,1989.0,4824,4349,7129,6806,geoId/01099,11293,12076
653,1989.0,47116,39945,62586,58108,geoId/01101,98909,110739
654,1989.0,5272,4630,45101,43127,geoId/01103,48075,50699
655,1989.0,4538,3828,2419,2253,geoId/01105,6095,6973
656,1989.0,4853,3859,6216,5918,geoId/01107,9793,11104
657,1989.0,5325,4221,9239,8654,geoId/01109,12973,14674
658,1989.0,2489,2201,7774,7376,geoId/01111,9595,10295
659,1989.0,9632,8336,14580,13852,geoId/01113,22278,24327
660,1989.0,2113,2399,22276,22169,geoId/01115,24671,24492
661,1989.0,4082,3525,44729,43372,geoId/01117,47278,49223
662,1989.0,6259,5173,2470,2355,geoId/01119,7547,8746
663,1989.0,12001,10755,26277,24913,geoId/01121,35814,38412
664,1989.0,5575,4606,14865,13603,geoId/01123,18249,20499
665,1989.0,21364,17633,55018,53528,geoId/01125,71937,77046
666,1989.0,2425,2001,32713,30531,geoId/01127,32613,35251
667,1989.0,2432,2212,5601,5462,geoId/01129,8187,8578
668,1989.0,5138,4378,2233,2067,geoId/01131,6448,7380
669,1989.0,30,28,11125,10611,geoId/01133,10665,11197
