Year,geo_ID,Count_Person_Male,Count_Person_Female,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianAlone,Count_Person_Female_AsianAlone,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Male_TwoOrMoreRaces,Count_Person_Female_TwoOrMoreRaces,Count_Person_Male_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces
2018,geoId/01033,26331,28639,21387,22908,4073,4782,178,168,147,207,20,21,526,553,21886,23432,4353,5081,382,379,196,273,47,39
2019,geoId/01033,26412,28829,21418,22997,4088,4856,188,179,164,213,18,20,536,564,21921,23534,4383,5160,404,405,220,269,33,40
2020,geoId/01033,26538,28873,21441,22995,4158,4853,198,183,162,221,18,19,561,602,21976,23560,4466,5198,422,411,216,285,32,39
2010,geoId/01035,6407,6827,3465,3379,2854,3343,25,21,3,14,1,0,59,70,3518,3437,2884,3384,55,51,10,24,4,3
2011,geoId/01035,6382,6812,3419,3341,2856,3353,30,23,4,13,2,1,71,81,3485,3414,2887,3394,67,57,10,27,7,4
2012,geoId/01035,6283,6760,3368,3366,2798,3277,28,23,5,13,1,1,83,80,3444,3438,2837,3316,67,56,11,27,7,6
2013,geoId/01035,6204,6704,3345,3353,2739,3226,28,25,8,15,1,2,83,83,3421,3430,2783,3266,64,60,22,30,3,4
2014,geoId/01035,6100,6574,3267,3301,2709,3155,29,24,6,14,1,2,88,78,3344,3369,2754,3202,69,48,20,28,4,9
2015,geoId/01035,6096,6581,3231,3261,2747,3205,28,22,8,15,2,3,80,75,3300,3331,2790,3248,63,50,21,22,6,6
2016,geoId/01035,5980,6515,3153,3209,2696,3192,32,17,8,16,2,3,89,78,3233,3280,2752,3242,61,45,23,24,4,3
2017,geoId/01035,5957,6474,3156,3197,2666,3147,35,25,10,19,2,3,88,83,3235,3270,2712,3186,72,61,23,36,9,5
2018,geoId/01035,5867,6397,3143,3194,2589,3071,39,27,10,19,2,3,84,83,3220,3271,2628,3115,82,59,16,35,6,4
2019,geoId/01035,5739,6316,3083,3159,2525,3021,36,31,11,20,2,2,82,83,3157,3238,2569,3065,69,61,28,32,7,6
2020,geoId/01035,5668,6183,3043,3066,2484,2982,36,25,12,20,2,2,91,88,3128,3143,2538,3027,68,58,24,36,4,12
2010,geoId/01037,5955,5824,3965,3867,1893,1850,36,27,4,12,7,10,50,58,4013,3921,1921,1879,55,48,8,21,9,14
2011,geoId/01037,5794,5689,3850,3762,1842,1815,39,29,5,12,7,10,51,61,3898,3815,1865,1845,61,59,10,19,13,13
2012,geoId/01037,5718,5625,3794,3731,1820,1767,37,28,4,12,7,10,56,77,3848,3797,1846,1801,63,63,7,31,11,14
2013,geoId/01037,5686,5566,3751,3670,1827,1768,39,29,4,13,7,10,58,76,3806,3737,1854,1801,69,65,10,25,8,15
2014,geoId/01037,5563,5474,3669,3613,1781,1736,39,27,5,12,7,10,62,76,3723,3681,1815,1776,71,58,9,22,9,15
2015,geoId/01037,5495,5440,3673,3595,1703,1701,41,24,4,12,7,10,67,98,3732,3686,1735,1748,71,72,15,20,10,16
2016,geoId/01037,5466,5346,3674,3533,1685,1683,41,24,3,12,7,10,56,84,3724,3606,1711,1722,63,64,19,26,8,15
2017,geoId/01037,5363,5361,3615,3554,1635,1676,40,24,4,12,7,11,62,84,3675,3632,1660,1712,68,61,12,25,12,16
2018,geoId/01037,5314,5305,3610,3479,1585,1698,41,24,4,11,7,11,67,82,3670,3556,1611,1737,78,60,12,21,12,15
2019,geoId/01037,5363,5314,3621,3498,1614,1687,42,24,6,12,7,11,73,82,3689,3570,1647,1726,72,58,22,29,9,15
2020,geoId/01037,5333,5317,3626,3518,1575,1667,47,26,7,14,7,11,71,81,3692,3590,1609,1705,76,61,19,24,10,20
2010,geoId/01039,18317,19493,15644,16535,2225,2521,119,115,77,82,0,1,252,239,15888,16762,2357,2646,230,216,97,98,2,13
2011,geoId/01039,18380,19643,15697,16650,2214,2526,123,116,79,89,0,1,267,261,15955,16898,2342,2660,243,242,105,105,8,4
2012,geoId/01039,18242,19567,15562,16577,2208,2521,118,108,85,90,0,1,269,270,15818,16831,2342,2659,242,232,109,114,6,8
2013,geoId/01039,18252,19568,15563,16550,2231,2545,113,111,80,92,0,1,265,269,15817,16804,2368,2680,231,232,102,113,3,11
2014,geoId/01039,18242,19524,15537,16497,2238,2557,114,112,83,85,0,1,270,272,15794,16755,2366,2699,235,231,110,106,11,10
2015,geoId/01039,18118,19448,15399,16386,2218,2586,128,118,91,90,1,2,281,266,15661,16640,2361,2724,250,239,120,110,9,7
2016,geoId/01039,18058,19342,15352,16311,2214,2546,126,117,88,89,1,2,277,277,15616,16574,2362,2691,247,237,115,113,3,6
2017,geoId/01039,17891,19186,15243,16190,2143,2490,127,117,87,95,2,2,289,292,15516,16469,2299,2646,250,243,108,122,12,6
2018,geoId/01039,17916,19077,15242,16050,2144,2512,136,119,83,87,2,2,309,307,15542,16348,2311,2674,266,233,105,123,7,11
2019,geoId/01039,17932,19150,15221,16087,2159,2530,143,128,89,97,2,2,318,306,15524,16375,2340,2699,268,249,111,126,13,12
2020,geoId/01039,17831,19099,15140,16006,2152,2549,144,133,89,99,2,2,304,310,15432,16302,2323,2725,262,245,115,127,7,16
2010,geoId/01041,6687,7181,4967,5200,1476,1764,30,29,115,84,5,3,94,101,5055,5294,1534,1820,61,68,126,96,8,5
2011,geoId/01041,6708,7186,4899,5138,1545,1802,31,36,116,102,7,4,110,104,5005,5236,1605,1862,73,73,126,116,11,5
2012,geoId/01041,6754,7160,4928,5114,1555,1798,35,39,119,95,7,4,110,110,5032,5217,1617,1858,80,83,128,108,7,7
2013,geoId/01041,6743,7104,4940,5074,1548,1773,32,41,105,97,6,5,112,114,5044,5182,1623,1835,69,91,115,105,8,7
2014,geoId/01041,6781,7070,5020,5074,1517,1744,31,32,94,99,6,4,113,117,5127,5183,1586,1810,71,74,104,111,10,9
2015,geoId/01041,6761,7090,4972,5090,1547,1748,37,37,80,91,3,1,122,123,5081,5205,1628,1820,77,84,95,102,5,4
2016,geoId/01041,6776,7135,4982,5117,1537,1765,38,43,90,87,3,1,126,122,5097,5229,1621,1838,77,86,107,101,5,3
2017,geoId/01041,6705,7166,4953,5151,1500,1769,36,45,84,76,3,1,129,124,5071,5269,1585,1839,77,89,98,92,7,2
2018,geoId/01041,6695,7160,4924,5162,1495,1754,39,48,94,71,4,2,139,123,5056,5279,1587,1822,86,90,103,87,6,6
2019,geoId/01041,6719,7092,4894,5050,1528,1788,40,50,97,70,4,2,156,132,5037,5179,1636,1864,85,96,111,81,7,5
2020,geoId/01041,6645,7036,4812,5032,1533,1756,43,50,94,69,4,2,159,127,4958,5152,1641,1837,94,93,107,80,6,4
2010,geoId/01043,39735,40721,38461,39411,484,420,234,232,135,206,14,20,407,432,38846,39818,602,547,511,519,168,247,25,28
2011,geoId/01043,39737,40682,38411,39369,501,397,221,221,154,227,14,20,436,448,38830,39784,620,529,506,513,196,278,29,36
2012,geoId/01043,39706,40586,38360,39265,497,410,223,226,168,234,15,22,443,429,38777,39662,624,541,510,510,223,285,25,32
2013,geoId/01043,39986,40718,38551,39345,535,418,235,226,184,250,14,22,467,457,38990,39771,671,553,532,523,241,302,25,37
2014,geoId/01043,40114,40967,38659,39545,529,414,242,242,188,269,17,27,479,470,39110,39985,671,559,553,541,244,319,29,42
2015,geoId/01043,40429,41342,38915,39852,547,425,244,252,206,302,25,31,492,480,39380,40307,684,567,557,552,265,356,43,48
2016,geoId/01043,40696,41738,39116,40161,576,456,252,258,213,319,31,34,508,510,39595,40648,740,624,557,570,278,373,48,42
2017,geoId/01043,40926,41904,39301,40300,600,482,247,252,202,301,40,44,536,525,39809,40798,772,654,572,568,272,359,53,60
2018,geoId/01043,41186,42114,39495,40461,606,489,262,262,211,313,39,41,573,548,40037,40974,797,674,603,574,277,388,61,63
2019,geoId/01043,41341,42303,39601,40607,631,514,268,261,217,317,37,36,587,568,40151,41134,847,706,607,592,298,390,51,58
2020,geoId/01043,41789,42726,39988,40972,650,525,286,270,227,333,33,39,605,587,40559,41520,857,720,643,617,303,416,50,59
2010,geoId/01045,24891,25505,19255,18971,4564,5209,218,184,164,378,24,30,666,733,19865,19641,4867,5558,470,465,328,545,67,83
2011,geoId/01045,24686,25448,19093,18924,4501,5194,232,189,176,388,27,31,657,722,19685,19571,4805,5541,470,457,340,560,78,89
2012,geoId/01045,24919,25394,19237,18823,4562,5184,214,185,199,404,28,30,679,768,19851,19513,4882,5565,472,476,368,598,68,66
2013,geoId/01045,24684,25123,19065,18547,4499,5210,200,176,211,406,28,32,681,752,19670,19212,4835,5576,444,469,383,585,72,74
2014,geoId/01045,24445,25020,18854,18472,4471,5178,216,181,216,412,30,34,658,743,19449,19128,4784,5542,464,444,372,603,69,88
2015,geoId/01045,24395,25033,18679,18282,4577,5365,219,190,229,424,34,46,657,726,19262,18940,4890,5719,451,462,403,601,78,98
2016,geoId/01045,24431,25045,18608,18295,4681,5367,223,200,230,429,38,49,651,705,19186,18937,5008,5711,445,444,396,591,79,96
2017,geoId/01045,24401,25066,18417,18142,4776,5499,233,191,246,451,43,61,686,722,19037,18787,5121,5862,467,452,417,618,85,104
2018,geoId/01045,24207,25061,18263,18108,4734,5538,220,179,237,455,43,61,710,720,18906,18756,5097,5896,468,416,407,634,88,112
2019,geoId/01045,24251,25043,18281,18043,4774,5544,226,205,248,465,42,47,680,739,18897,18703,5128,5917,452,448,425,654,80,93
2020,geoId/01045,23980,24979,18016,18037,4758,5513,234,196,250,456,39,49,683,728,18622,18689,5097,5872,467,457,420,636,81,100
2010,geoId/01047,20275,23580,6109,6677,13898,16632,51,36,85,75,7,4,125,156,6230,6815,13971,16725,91,88,103,96,13,16
2011,geoId/01047,19966,23288,6031,6489,13656,16505,53,37,87,80,8,5,131,172,6149,6643,13729,16611,98,97,112,108,16,18
2012,geoId/01047,19793,23001,5987,6354,13508,16344,57,38,89,81,11,6,141,178,6113,6505,13593,16458,108,96,108,116,17,13
2013,geoId/01047,19470,22511,5826,6189,13324,16038,60,37,95,71,12,7,153,169,5960,6334,13419,16142,110,98,118,99,19,13
2014,geoId/01047,19240,22320,5727,6107,13176,15912,64,36,101,76,11,5,161,184,5870,6274,13274,16023,116,101,126,101,20,13
2015,geoId/01047,18906,22041,5578,5993,12989,15733,67,39,105,87,11,5,156,184,5714,6151,13085,15848,112,99,132,115,23,18
2016,geoId/01047,18506,21599,5378,5809,12769,15452,68,40,122,98,12,7,157,193,5518,5987,12867,15566,115,101,150,126,22,16
2017,geoId/01047,18120,21143,5229,5655,12525,15143,71,39,133,111,11,6,151,189,5359,5813,12625,15270,116,98,156,141,23,17
2018,geoId/01047,17681,20589,5083,5493,12227,14739,70,39,134,115,11,6,156,197,5224,5669,12321,14875,126,85,154,146,17,17
2019,geoId/01047,17179,20003,4921,5311,11912,14348,72,42,102,97,11,6,161,199,5064,5489,12013,14479,124,93,127,126,17,19
2020,geoId/01047,16686,19412,4745,5128,11601,13954,70,42,104,89,10,6,156,193,4883,5295,11697,14080,116,103,133,117,16,18
2010,geoId/01049,35121,36012,32585,33408,624,629,757,769,116,154,321,285,718,767,33265,34123,779,791,1308,1353,156,204,346,321
2011,geoId/01049,35190,36145,32709,33540,613,643,724,765,115,153,292,266,737,778,33399,34263,769,803,1271,1369,176,203,319,300
2012,geoId/01049,35033,35880,32560,33313,610,651,720,755,128,153,281,249,734,759,33256,34020,764,817,1270,1325,182,212,305,281
2013,geoId/01049,35010,35871,32511,33337,617,636,708,732,148,140,273,232,753,794,33223,34078,794,811,1243,1327,206,204,305,263
2014,geoId/01049,35067,35896,32578,33389,628,650,719,721,148,139,260,221,734,776,33271,34125,797,818,1246,1300,209,193,288,253
2015,geoId/01049,35171,35894,32658,33431,642,632,701,704,167,138,251,207,752,782,33356,34161,819,808,1249,1290,227,194,284,243
2016,geoId/01049,35228,35888,32675,33449,634,619,714,688,189,143,248,198,768,791,33390,34189,824,796,1261,1272,254,202,284,229
2017,geoId/01049,35471,35970,32861,33517,664,634,718,682,193,166,241,194,794,777,33607,34225,869,824,1281,1248,253,228,269,236
2018,geoId/01049,35426,36004,32788,33523,643,652,726,687,204,166,242,201,823,775,33568,34249,853,838,1306,1248,266,221,273,236
2019,geoId/01049,35514,35992,32817,33473,677,667,742,693,202,159,240,201,836,799,33609,34213,896,871,1322,1269,272,215,261,236
2020,geoId/01049,35598,36060,32848,33478,694,658,755,717,207,164,243,209,851,834,33647,34257,937,867,1332,1319,278,229,267,240
2010,geoId/01051,38860,40698,29806,31639,8131,7973,168,159,225,318,38,46,492,563,30259,32158,8355,8223,368,405,323,436,61,73
2011,geoId/01051,39131,40874,29775,31559,8369,8164,187,156,230,329,41,51,529,615,30249,32117,8607,8443,403,430,351,461,63,80
2012,geoId/01051,38832,41379,29517,31814,8300,8358,184,160,243,335,43,45,545,667,30017,32420,8555,8671,391,445,364,477,68,76
2013,geoId/01051,39046,41511,29686,31842,8349,8428,181,167,230,335,43,48,557,691,30196,32466,8620,8750,385,445,362,501,67,85
2014,geoId/01051,39029,41534,29607,31840,8417,8467,183,180,221,324,47,48,554,675,30108,32462,8672,8778,394,450,353,467,77,88
2015,geoId/01051,39222,41681,29658,31896,8469,8514,202,177,240,339,47,49,606,706,30204,32544,8757,8842,423,463,382,504,83,80
2016,geoId/01051,39412,41846,29702,31917,8576,8644,198,186,264,341,51,49,621,709,30264,32564,8883,8976,414,462,417,504,84,86
2017,geoId/01051,39457,41995,29793,31973,8474,8701,222,194,277,328,50,47,641,752,30380,32658,8784,9063,456,480,433,512,76,87
2018,geoId/01051,39173,42016,29674,31926,8297,8754,220,190,273,331,50,46,659,769,30280,32623,8611,9134,450,476,432,511,80,80
2019,geoId/01051,39396,42179,29786,31987,8363,8828,211,197,299,336,47,47,690,784,30412,32705,8701,9217,447,477,479,522,74,87
2020,geoId/01051,39643,42515,29904,32177,8459,8982,220,201,314,335,51,50,695,770,30538,32881,8792,9363,463,483,492,524,78,87
2010,geoId/01053,19787,18565,12176,11943,6620,5642,643,658,38,61,13,7,297,254,12449,12179,6755,5761,799,781,66,88,22,15
2011,geoId/01053,19687,18524,12071,11873,6601,5645,652,670,42,61,13,6,308,269,12345,12121,6738,5781,808,809,85,84,21,12
2012,geoId/01053,19596,18433,11999,11816,6584,5617,645,666,40,59,13,7,315,268,12286,12067,6725,5745,794,796,86,84,22,19
2013,geoId/01053,19439,18336,11841,11718,6560,5602,649,672,37,60,14,6,338,278,12142,11976,6720,5731,810,811,89,94,26,14
2014,geoId/01053,19414,18335,11784,11654,6587,5660,649,664,37,60,14,6,343,291,12096,11934,6749,5796,803,805,92,84,26,13
2015,geoId/01053,19347,18329,11732,11661,6526,5606,654,683,42,59,14,7,379,313,12067,11953,6717,5751,823,831,94,95,30,17
2016,geoId/01053,19326,18174,11664,11520,6546,5574,670,672,43,58,17,6,386,344,12009,11843,6752,5742,833,826,100,99,32,18
2017,geoId/01053,18742,18268,11456,11594,6184,5557,650,691,37,60,18,6,397,360,11824,11923,6381,5739,833,853,91,109,30,21
2018,geoId/01053,18407,18108,11247,11436,6025,5542,678,701,45,64,16,6,396,359,11606,11764,6216,5730,866,851,93,106,32,20
2019,geoId/01053,18361,18208,11226,11530,5961,5532,693,695,51,66,20,8,410,377,11588,11876,6170,5732,871,854,119,110,32,28
2020,geoId/01053,18204,18077,11105,11408,5927,5504,675,700,47,64,19,8,431,393,11487,11774,6152,5714,865,874,105,112,36,18
2010,geoId/01055,50647,53793,41676,43746,7434,8531,317,259,373,361,179,148,668,748,42312,44452,7732,8859,645,626,442,443,194,174
2011,geoId/01055,50548,53808,41587,43710,7404,8574,310,256,381,369,173,146,693,753,42239,44415,7712,8918,641,629,460,458,198,169
2012,geoId/01055,50484,53787,41506,43656,7400,8579,307,254,401,382,168,142,702,774,42171,44385,7720,8938,646,637,483,463,187,167
2013,geoId/01055,50305,53586,41233,43454,7452,8550,319,267,417,382,154,141,730,792,41924,44189,7794,8925,657,642,514,483,167,163
2014,geoId/01055,50046,53371,40969,43252,7435,8503,321,273,418,385,150,139,753,819,41676,44040,7789,8887,673,644,503,470,172,163
2015,geoId/01055,49810,53223,40693,43000,7450,8611,335,270,421,388,159,142,752,812,41401,43765,7794,8993,688,646,505,489,189,168
2016,geoId/01055,49797,53134,40538,42828,7490,8614,361,291,442,404,170,143,796,854,41291,43637,7878,9019,711,671,539,511,198,170
2017,geoId/01055,49875,53201,40538,42793,7550,8649,346,291,462,438,178,145,801,885,41293,43626,7948,9087,706,679,552,551,196,171
2018,geoId/01055,49714,53052,40334,42613,7546,8646,358,301,458,444,179,143,839,905,41132,43457,7959,9092,722,693,555,559,198,170
2019,geoId/01055,49577,52883,40136,42443,7555,8619,355,321,456,436,179,147,896,917,40985,43308,8014,9088,722,700,576,544,201,181
2020,geoId/01055,49559,52812,40019,42280,7598,8656,388,348,449,432,182,156,923,940,40890,43162,8077,9135,773,744,557,556,209,186
2010,geoId/01057,8502,8730,7407,7591,961,1016,31,31,14,24,0,0,89,68,7490,7655,1015,1055,62,55,24,31,2,2
2011,geoId/01057,8442,8619,7351,7502,956,988,31,32,15,23,0,1,89,73,7436,7571,1008,1028,57,61,28,30,4,3
2012,geoId/01057,8443,8512,7338,7414,960,969,36,32,15,23,0,1,94,73,7426,7484,1018,1007,66,59,29,34,1,2
2013,geoId/01057,8370,8467,7263,7371,955,953,37,33,19,24,0,1,96,85,7355,7452,1013,1003,70,65,29,31,3,1
2014,geoId/01057,8326,8458,7213,7302,967,1006,38,35,16,25,0,1,92,89,7297,7387,1022,1062,72,66,28,31,2,2
2015,geoId/01057,8266,8445,7129,7276,981,1013,38,34,16,33,0,1,102,88,7223,7356,1043,1071,71,64,28,41,6,2
2016,geoId/01057,8181,8400,7041,7237,965,997,40,35,19,43,0,1,116,87,7149,7320,1043,1052,73,62,31,51,5,3
2017,geoId/01057,8057,8421,6934,7243,941,984,40,35,23,54,0,1,119,104,7043,7342,1015,1051,82,71,36,61,2,2
2018,geoId/01057,8023,8428,6877,7214,957,1007,41,34,24,56,0,1,124,116,6996,7324,1034,1087,81,66,35,63,4,4
2019,geoId/01057,7941,8338,6809,7128,933,985,43,38,24,57,0,1,132,129,6936,7250,1021,1073,79,75,35,69,3,4
2020,geoId/01057,7934,8307,6796,7115,935,982,43,40,24,61,0,0,136,109,6924,7219,1023,1051,86,77,38,68,5,1
2010,geoId/01059,15851,15895,14623,14808,665,628,262,206,34,50,24,13,243,190,14852,14989,765,714,394,301,58,68,32,17
2011,geoId/01059,15851,15925,14617,14845,683,630,259,199,35,55,25,13,232,183,14836,15016,781,724,383,285,57,76,28,18
2012,geoId/01059,15789,15910,14473,14770,742,656,258,201,37,58,24,26,255,199,14718,14955,840,758,397,295,70,71,29,34
2013,geoId/01059,15774,15792,14378,14634,793,657,259,194,46,61,24,41,274,205,14633,14825,918,753,401,288,74,88,32,46
2014,geoId/01059,15789,15783,14380,14622,794,630,259,194,59,70,24,50,273,217,14638,14830,905,732,407,309,84,79,33,53
2015,geoId/01059,15834,15698,14362,14543,835,626,262,196,64,66,24,52,287,215,14627,14748,960,719,417,306,82,87,37,56
2016,geoId/01059,15867,15807,14407,14606,813,649,266,208,74,74,24,51,283,219,14673,14815,939,751,408,312,102,93,33,56
2017,geoId/01059,15884,15786,14449,14579,820,648,252,231,54,58,24,47,285,223,14718,14785,947,757,398,331,76,86,37,52
2018,geoId/01059,15811,15684,14368,14480,802,627,259,242,59,58,24,46,299,231,14650,14696,929,740,421,350,83,82,32,51
2019,geoId/01059,15834,15753,14415,14536,792,603,256,264,60,59,25,44,286,247,14690,14773,922,734,399,368,84,82,32,49
2020,geoId/01059,15767,15740,14337,14477,785,619,262,288,62,59,28,51,293,246,14615,14712,912,736,409,399,91,84,40,57
2010,geoId/01061,13089,13689,11557,11951,1190,1375,123,114,29,43,10,5,180,201,11732,12138,1278,1467,205,215,48,65,14,10
2011,geoId/01061,13044,13714,11496,11927,1196,1414,115,110,33,45,11,6,193,212,11673,12125,1291,1514,197,211,62,69,16,13
2012,geoId/01061,13151,13777,11549,11983,1228,1397,122,108,34,52,11,6,207,231,11745,12193,1325,1512,211,216,64,80,16,11
2013,geoId/01061,13075,13613,11451,11843,1217,1353,137,114,40,52,11,6,219,245,11655,12064,1328,1471,233,224,75,90,13,15
2014,geoId/01061,13046,13559,11422,11780,1206,1356,134,117,37,53,12,5,235,248,11636,12013,1329,1477,232,235,64,75,23,13
2015,geoId/01061,13066,13579,11444,11814,1186,1312,136,126,41,56,13,6,246,265,11665,12060,1316,1437,247,254,60,87,26,9
2016,geoId/01061,12960,13537,11346,11782,1200,1311,130,128,41,51,13,8,230,257,11559,12020,1326,1432,220,249,66,81,24,17
2017,geoId/01061,12913,13491,11292,11769,1186,1291,132,127,42,51,14,8,247,245,11520,11996,1320,1413,236,239,69,79,19,15
2018,geoId/01061,12830,13466,11192,11727,1193,1283,136,137,42,53,12,8,255,258,11435,11958,1319,1412,240,252,75,83,18,21
2019,geoId/01061,12818,13491,11158,11737,1181,1268,150,148,47,49,12,8,270,281,11413,11996,1327,1418,258,264,75,84,20,19
2020,geoId/01061,12864,13547,11190,11755,1178,1274,154,150,50,55,12,10,280,303,11453,12036,1323,1426,274,288,81,90,23,17
2010,geoId/01063,4239,4751,815,783,3393,3930,10,8,7,5,0,0,14,25,828,806,3400,3944,16,19,9,8,0,1
2011,geoId/01063,4165,4738,781,781,3348,3914,10,8,8,5,0,0,18,30,796,808,3360,3932,17,19,10,10,0,2
2012,geoId/01063,4210,4639,794,779,3373,3819,10,8,8,5,0,0,25,28,816,803,3388,3838,21,17,10,10,1,0
2013,geoId/01063,4158,4591,779,777,3330,3763,12,10,14,10,0,0,23,31,799,803,3344,3785,21,20,17,15,1,1
2014,geoId/01063,4073,4512,751,749,3278,3716,12,9,9,6,0,0,23,32,769,776,3292,3736,21,21,12,8,2,3
2015,geoId/01063,4015,4494,727,751,3235,3687,14,11,11,9,0,0,28,36,749,785,3252,3709,25,20,15,15,2,1
2016,geoId/01063,4014,4471,731,780,3233,3632,14,12,13,9,0,0,23,38,749,814,3246,3653,24,24,17,17,1,1
2017,geoId/01063,3924,4388,744,788,3127,3538,17,12,13,9,0,0,23,41,766,820,3137,3567,27,29,16,14,1,0
2018,geoId/01063,3846,4366,708,773,3088,3531,17,13,11,9,0,0,22,40,727,809,3097,3554,28,27,15,15,2,2
2019,geoId/01063,3792,4312,717,755,3014,3488,21,14,11,10,0,0,29,45,745,794,3032,3518,33,26,11,17,0,2
2020,geoId/01063,3714,4276,701,753,2949,3451,22,16,10,9,0,0,32,47,728,795,2967,3479,39,33,13,15,0,1
2010,geoId/01065,7467,8278,3121,3199,4285,5008,11,13,10,24,1,0,39,34,3155,3231,4303,5021,29,30,18,28,1,3
2011,geoId/01065,7283,8077,3065,3118,4154,4880,12,13,12,29,1,0,39,37,3098,3153,4171,4897,31,25,21,35,1,4
2012,geoId/01065,7284,8082,3082,3131,4132,4863,12,15,13,30,1,3,44,40,3121,3165,4149,4879,35,40,20,36,4,4
2013,geoId/01065,7176,8073,3044,3140,4061,4846,11,15,13,31,2,3,45,38,3084,3171,4082,4864,31,33,22,40,3,4
2014,geoId/01065,7060,7987,3015,3102,3970,4797,11,15,14,30,1,3,49,40,3057,3141,3997,4813,30,35,23,31,2,7
2015,geoId/01065,7094,7922,3044,3074,3967,4757,15,17,13,24,1,4,54,46,3093,3117,3992,4780,38,36,20,30,5,6
2016,geoId/01065,7006,7839,3003,3022,3915,4721,14,18,19,24,1,4,54,50,3048,3068,3938,4745,40,39,32,31,3,6
2017,geoId/01065,7026,7786,3027,2997,3921,4690,17,18,21,24,1,4,39,53,3061,3044,3937,4715,35,43,31,33,1,6
2018,geoId/01065,7012,7761,2991,3004,3939,4654,17,22,20,23,1,4,44,54,3031,3050,3958,4684,35,45,30,30,2,7
2019,geoId/01065,6952,7717,2952,2991,3917,4617,14,23,21,25,1,4,47,57,2996,3038,3937,4649,38,42,26,36,3,10
2020,geoId/01065,6917,7753,2950,2998,3880,4624,14,31,21,26,1,4,51,70,2997,3053,3899,4659,40,61,33,43,2,7
2010,geoId/01067,8302,8991,5880,6172,2279,2683,31,26,28,32,1,1,83,77,5957,6243,2333,2720,57,60,34,43,5,4
2011,geoId/01067,8320,9057,5905,6228,2243,2659,33,25,38,50,2,1,99,94,5998,6314,2308,2715,60,64,50,57,4,2
2012,geoId/01067,8262,8890,5853,6123,2239,2596,33,24,33,51,2,1,102,95,5951,6208,2297,2655,66,58,46,64,6,3
2013,geoId/01067,8277,8851,5887,6143,2200,2547,39,23,35,50,2,1,114,87,5991,6223,2275,2594,71,51,50,65,6,6
2014,geoId/01067,8258,8816,5891,6174,2169,2471,40,22,36,56,2,1,120,92,5999,6260,2242,2528,79,55,52,62,7,3
2015,geoId/01067,8280,8817,5918,6182,2164,2460,40,22,35,55,2,1,121,97,6028,6271,2246,2517,79,55,45,70,6,2
2016,geoId/01067,8270,8792,5892,6197,2171,2413,45,23,34,53,3,1,125,105,6009,6296,2246,2469,84,61,53,67,6,4
2017,geoId/01067,8274,8831,5949,6211,2112,2420,48,29,30,47,3,1,132,123,6073,6327,2196,2490,86,68,46,65,6,5
2018,geoId/01067,8267,8833,5960,6235,2100,2394,51,30,27,45,3,1,126,128,6077,6349,2171,2470,95,80,44,58,8,6
2019,geoId/01067,8273,8852,5950,6267,2101,2354,47,30,34,50,3,0,138,151,6079,6404,2182,2449,92,76,53,69,8,7
2020,geoId/01067,8269,8954,5998,6381,2059,2350,50,30,34,50,3,0,125,143,6113,6514,2129,2426,95,85,51,68,9,4
2010,geoId/01069,48874,52926,35254,37129,12163,14237,248,244,385,475,27,34,797,807,35962,37834,12577,14650,552,582,525,622,78,80
2011,geoId/01069,49053,53456,35297,37351,12273,14447,242,244,380,512,29,37,832,865,36026,38113,12729,14889,553,591,536,666,68,87
2012,geoId/01069,49621,53789,35443,37437,12620,14614,256,260,382,535,33,40,887,903,36233,38228,13089,15096,589,627,548,697,78,84
2013,geoId/01069,49745,53946,35449,37493,12727,14681,255,251,386,524,33,47,895,950,36245,38326,13211,15187,581,621,556,712,87,99
2014,geoId/01069,49994,54222,35485,37447,12900,14928,247,271,401,539,33,50,928,987,36306,38312,13404,15450,594,652,575,718,85,113
2015,geoId/01069,50065,54261,35491,37481,12919,14938,248,276,406,557,32,50,969,959,36346,38313,13438,15441,612,641,588,742,86,112
