,Year,geo_ID,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male,Count_Person_Female
463,1976,geoId/01123,13320,14164,4787,5364,18122,19556
464,1976,geoId/01125,47572,47993,15243,18106,62986,66288
465,1976,geoId/01127,30195,31488,2245,2636,32494,34218
466,1976,geoId/01129,5660,5712,2289,2463,8196,8420
467,1976,geoId/01131,2242,2419,4751,5345,6995,7770
468,1976,geoId/01133,10282,10597,30,38,10327,10654
469,1977,geoId/01001,11563,11642,3366,3776,14964,15493
470,1977,geoId/01003,29843,30786,5415,5945,35450,36945
471,1977,geoId/01005,6590,7077,4968,6002,11580,13107
472,1977,geoId/01007,5678,5873,1736,1954,7418,7836
473,1977,geoId/01009,16627,16937,288,310,16942,17280
474,1977,geoId/01011,1749,1863,3319,4079,5072,5944
475,1977,geoId/01013,6038,6730,3711,4381,9754,11123
476,1977,geoId/01015,45391,47219,9184,10416,54826,57970
477,1977,geoId/01017,11837,13088,6241,7170,18089,20278
478,1977,geoId/01019,8388,8491,723,804,9120,9309
479,1977,geoId/01021,12568,13158,1674,1882,14249,15057
480,1977,geoId/01023,4798,5012,3559,3941,8365,8962
481,1977,geoId/01025,7853,8287,5793,6241,13663,14559
482,1977,geoId/01027,5414,5734,1005,1155,6423,6895
483,1977,geoId/01029,5619,5819,306,329,5931,6157
484,1977,geoId/01031,15083,15802,2946,3336,18096,19252
485,1977,geoId/01033,21475,22715,4053,4775,25581,27542
486,1977,geoId/01035,4353,4608,2994,3449,7362,8072
487,1977,geoId/01037,3656,3880,1975,1991,5637,5876
488,1977,geoId/01039,14938,16413,2191,2661,17152,19114
489,1977,geoId/01041,4934,5283,1675,2003,6622,7304
490,1977,geoId/01043,29255,30479,271,255,29576,30805
491,1977,geoId/01045,19107,18287,3336,3331,22675,21976
492,1977,geoId/01047,13166,13832,14372,16704,27582,30596
493,1977,geoId/01049,24805,26190,420,497,25275,26748
494,1977,geoId/01051,15368,15676,4542,4833,19945,20554
495,1977,geoId/01053,12685,12989,5528,5458,18645,18864
496,1977,geoId/01055,41625,44924,6186,7199,47915,52247
497,1977,geoId/01057,7390,7825,1059,1185,8456,9023
498,1977,geoId/01059,12838,13581,624,669,13479,14267
499,1977,geoId/01061,9951,10411,1366,1579,11358,12041
500,1977,geoId/01063,1174,1295,3830,4516,5011,5813
501,1977,geoId/01065,2734,2995,4668,5322,7412,8334
502,1977,geoId/01067,4350,4719,2621,3014,6982,7742
503,1977,geoId/01069,27256,28912,7565,8714,35016,37823
504,1977,geoId/01071,23201,24161,1032,1124,24321,25377
505,1977,geoId/01073,211393,233457,99345,117489,311644,351956
506,1977,geoId/01075,6854,7205,951,1024,7811,8242
507,1977,geoId/01077,33507,35825,3471,4086,37057,40020
508,1977,geoId/01079,12124,12395,2398,2648,14540,15068
509,1977,geoId/01081,27494,26158,8321,9479,36033,35824
510,1977,geoId/01083,18576,19294,3099,3460,21705,22789
511,1977,geoId/01085,1649,1767,4911,5500,6564,7270
512,1977,geoId/01087,2358,2065,10654,11857,13081,13967
513,1977,geoId/01089,76789,78582,16827,18678,94341,98107
514,1977,geoId/01091,5740,6061,6350,7215,12105,13291
515,1977,geoId/01093,13808,14527,358,357,14189,14915
516,1977,geoId/01095,30276,32100,510,529,30835,32696
517,1977,geoId/01097,117194,123217,51612,59134,169767,183360
518,1977,geoId/01099,5843,6187,4396,4850,10300,11095
519,1977,geoId/01101,54997,60278,33094,38921,88408,99647
520,1977,geoId/01103,38681,40276,3831,4544,42580,44919
521,1977,geoId/01105,2809,3041,4006,4660,6820,7714
522,1977,geoId/01107,6184,6461,4147,4816,10344,11291
523,1977,geoId/01109,8168,8889,4171,4979,12375,13906
524,1977,geoId/01111,7166,7814,2224,2411,9402,10235
525,1977,geoId/01113,13776,14674,9158,10471,22972,25207
526,1977,geoId/01115,16728,17154,1886,2184,18648,19377
527,1977,geoId/01117,26155,26902,3280,3634,29534,30662
528,1977,geoId/01119,2777,2781,5409,6190,8197,8984
529,1977,geoId/01121,24097,25681,10386,11475,34529,37217
530,1977,geoId/01123,13077,13954,4668,5259,17760,19243
531,1977,geoId/01125,47873,48448,15662,18606,63726,67264
532,1977,geoId/01127,30786,32138,2258,2646,33107,34890
533,1977,geoId/01129,5656,5707,2267,2472,8210,8462
534,1977,geoId/01131,2200,2398,4687,5308,6889,7713
535,1977,geoId/01133,10540,10891,30,37,10585,10953
536,1978,geoId/01001,11798,11874,3337,3751,15173,15706
537,1978,geoId/01003,30747,31803,5482,6061,36444,38105
538,1978,geoId/01005,6567,7036,4926,5941,11517,13005
539,1978,geoId/01007,5735,5951,1709,1934,7448,7894
540,1978,geoId/01009,16952,17233,286,310,17268,17578
541,1978,geoId/01011,1742,1832,3311,4065,5057,5899
542,1978,geoId/01013,6049,6769,3702,4380,9756,11162
543,1978,geoId/01015,46945,48589,9518,10765,56742,59728
544,1978,geoId/01017,11931,13212,6297,7255,18239,20493
545,1978,geoId/01019,8451,8587,722,814,9182,9415
546,1978,geoId/01021,12857,13460,1674,1897,14539,15376
547,1978,geoId/01023,4692,4900,3467,3854,8168,8763
548,1978,geoId/01025,7906,8355,5772,6266,13699,14658
549,1978,geoId/01027,5576,5876,1036,1189,6617,7069
550,1978,geoId/01029,5685,5889,296,334,5989,6233
551,1978,geoId/01031,15136,15798,2961,3342,18171,19269
552,1978,geoId/01033,21569,22780,4051,4799,25678,27634
553,1978,geoId/01035,4493,4739,3028,3516,7537,8274
554,1978,geoId/01037,3700,3932,1986,2021,5692,5958
555,1978,geoId/01039,15034,16553,2174,2650,17236,19246
556,1978,geoId/01041,4942,5289,1661,1985,6616,7293
557,1978,geoId/01043,29556,30863,265,264,29876,31204
558,1978,geoId/01045,19926,18928,3588,3564,23765,22898
559,1978,geoId/01047,11686,13189,13672,16060,25405,29308
560,1978,geoId/01049,25301,26754,428,506,25784,27325
561,1978,geoId/01051,15779,16129,4544,4845,20359,21022
562,1978,geoId/01053,12664,13018,5508,5485,18623,18937
563,1978,geoId/01055,42252,45674,6240,7304,48608,53113
564,1978,geoId/01057,7505,7987,1068,1199,8580,9200
565,1978,geoId/01059,12907,13687,612,667,13542,14375
566,1978,geoId/01061,10005,10489,1375,1586,11422,12131
567,1978,geoId/01063,1170,1293,3893,4596,5071,5891
568,1978,geoId/01065,2757,3015,4618,5280,7385,8313
569,1978,geoId/01067,4431,4808,2625,3037,7069,7856
570,1978,geoId/01069,27827,29525,7654,8837,35702,38584
571,1978,geoId/01071,23822,24813,1036,1128,24957,26043
572,1978,geoId/01073,212066,234431,100150,118688,313193,354210
573,1978,geoId/01075,6912,7256,938,1005,7856,8273
574,1978,geoId/01077,34168,36535,3503,4123,37761,40781
575,1978,geoId/01079,12317,12647,2411,2666,14749,15341
576,1978,geoId/01081,28349,27049,8512,9705,37102,36966
577,1978,geoId/01083,18772,19594,3064,3425,21872,23059
578,1978,geoId/01085,1668,1806,4906,5527,6578,7336
579,1978,geoId/01087,2311,2013,10601,11970,12981,14032
580,1978,geoId/01089,76438,78492,17325,19175,94558,98602
581,1978,geoId/01091,5785,6071,6326,7219,12123,13307
582,1978,geoId/01093,13993,14729,353,355,14373,15119
583,1978,geoId/01095,30954,32890,511,526,31515,33489
584,1978,geoId/01097,119534,125750,52407,60213,173003,187076
585,1978,geoId/01099,6028,6408,4482,4965,10576,11437
586,1978,geoId/01101,55419,60784,33751,39802,89520,101078
587,1978,geoId/01103,39387,41063,3915,4646,43378,45815
588,1978,geoId/01105,2897,3135,4110,4801,7012,7950
589,1978,geoId/01107,6278,6538,4196,4905,10490,11460
590,1978,geoId/01109,8297,9043,4211,5104,12545,14191
591,1978,geoId/01111,7260,7920,2259,2452,9531,10383
592,1978,geoId/01113,13751,14710,8930,10234,22723,25010
593,1978,geoId/01115,17361,17780,1889,2181,19289,20007
594,1978,geoId/01117,27735,28482,3326,3695,31174,32315
595,1978,geoId/01119,2732,2751,5469,6285,8213,9051
596,1978,geoId/01121,24358,25976,10465,11624,34871,37665
597,1978,geoId/01123,13670,14598,4866,5497,18550,20128
598,1978,geoId/01125,48776,49492,16233,19298,65220,69030
599,1978,geoId/01127,31209,32610,2254,2653,33532,35380
600,1978,geoId/01129,5785,5840,2303,2527,8420,8693
601,1978,geoId/01131,2190,2374,4645,5285,6837,7667
602,1978,geoId/01133,10597,10986,31,43,10646,11055
603,1979,geoId/01001,12320,12395,3388,3809,15753,16297
604,1979,geoId/01003,31638,32733,5552,6164,37425,39158
605,1979,geoId/01005,6566,7006,4905,5897,11496,12933
606,1979,geoId/01007,5828,6057,1711,1929,7543,7996
607,1979,geoId/01009,17495,17795,281,314,17811,18150
608,1979,geoId/01011,1726,1814,3255,4001,4985,5817
609,1979,geoId/01013,6145,6891,3725,4429,9875,11335
610,1979,geoId/01015,47109,48520,9615,10797,57024,59715
611,1979,geoId/01017,12093,13390,6410,7369,18516,20787
612,1979,geoId/01019,8482,8618,715,810,9206,9443
613,1979,geoId/01021,13104,13732,1692,1916,14804,15671
614,1979,geoId/01023,4688,4894,3455,3853,8153,8757
615,1979,geoId/01025,7706,8158,5609,6116,13336,14312
616,1979,geoId/01027,5647,5966,1059,1210,6710,7180
617,1979,geoId/01029,5860,6045,294,343,6162,6398
618,1979,geoId/01031,15322,15941,2993,3364,18398,19449
619,1979,geoId/01033,21866,23135,4106,4859,26036,28057
620,1979,geoId/01035,4549,4803,3016,3524,7583,8346
621,1979,geoId/01037,3703,3916,1981,2017,5690,5938
622,1979,geoId/01039,15317,16818,2191,2674,17539,19539
623,1979,geoId/01041,5015,5370,1672,1988,6701,7380
624,1979,geoId/01043,29684,31110,262,268,30006,31462
625,1979,geoId/01045,19763,18586,3707,3631,23729,22652
626,1979,geoId/01047,11659,13106,13577,15995,25287,29166
627,1979,geoId/01049,25459,26972,423,504,25942,27548
628,1979,geoId/01051,16462,16939,4601,4942,21101,21934
629,1979,geoId/01053,12758,13138,5547,5550,18782,19142
630,1979,geoId/01055,42747,46240,6288,7378,49163,53769
631,1979,geoId/01057,7732,8240,1099,1220,8839,9478
632,1979,geoId/01059,13330,14122,632,687,13987,14832
633,1979,geoId/01061,10146,10656,1389,1606,11585,12323
634,1979,geoId/01063,1146,1270,3850,4576,5004,5848
635,1979,geoId/01065,2819,3069,4675,5331,7504,8418
636,1979,geoId/01067,4479,4848,2615,3049,7110,7909
637,1979,geoId/01069,27977,29724,7644,8859,35862,38828
638,1979,geoId/01071,24106,25129,1033,1116,25249,26359
639,1979,geoId/01073,212879,235437,101091,120061,315026,356671
640,1979,geoId/01075,6963,7289,916,1007,7885,8309
641,1979,geoId/01077,34983,37463,3577,4206,38662,41806
642,1979,geoId/01079,12386,12767,2417,2644,14828,15443
643,1979,geoId/01081,29108,27808,8688,9871,38066,37920
644,1979,geoId/01083,18812,19709,3016,3381,21866,23131
645,1979,geoId/01085,1603,1744,4671,5313,6278,7060
646,1979,geoId/01087,2231,1946,10419,11867,12715,13863
647,1979,geoId/01089,76527,78824,17944,19743,95348,99602
648,1979,geoId/01091,5771,6059,6236,7181,12019,13258
649,1979,geoId/01093,14158,14904,352,351,14540,15296
650,1979,geoId/01095,30971,32907,501,515,31523,33495
651,1979,geoId/01097,120088,126411,52495,60393,173732,188009
652,1979,geoId/01099,6157,6568,4568,5064,10799,11706
653,1979,geoId/01101,55997,61288,34461,40719,90840,102552
654,1979,geoId/01103,39963,41681,3982,4727,44025,46527
655,1979,geoId/01105,2865,3096,4070,4768,6940,7877
656,1979,geoId/01107,6225,6502,4171,4905,10413,11426
657,1979,geoId/01109,8463,9238,4316,5304,12819,14594
658,1979,geoId/01111,7211,7896,2262,2465,9485,10373
659,1979,geoId/01113,13904,14858,8799,10097,22750,25028
660,1979,geoId/01115,17957,18349,1900,2192,19901,20591
661,1979,geoId/01117,28302,29035,3253,3599,31678,32784
662,1979,geoId/01119,2641,2680,5354,6164,8008,8861
663,1979,geoId/01121,24646,26327,10598,11807,35294,38204
664,1979,geoId/01123,13864,14767,4906,5576,18785,20380
665,1979,geoId/01125,49010,49777,16553,19739,65796,69783
666,1979,geoId/01127,31241,32772,2232,2634,33548,35536
667,1979,geoId/01129,5653,5719,2240,2466,8258,8543
668,1979,geoId/01131,2166,2372,4612,5280,6780,7660
669,1979,geoId/01133,10828,11270,32,40,10880,11343
