,Year,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AsianOrPacificIslander,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianOrPacificIslander,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Male_WhiteAlone,geo_ID,Count_Person_Male,Count_Person_Female
0,1990,4139,5,5,5270,3964,7,2,5043,geoId/40001,9016,9419
1,1991,4199,5,6,5369,4044,7,6,5160,geoId/40001,9217,9579
2,1992,4251,5,6,5462,4079,7,5,5276,geoId/40001,9367,9724
3,1993,4303,6,6,5539,4132,7,7,5355,geoId/40001,9501,9854
4,1994,4333,6,6,5612,4177,8,7,5467,geoId/40001,9659,9957
5,1995,4330,6,6,5650,4190,8,8,5527,geoId/40001,9733,9992
6,1996,4362,6,6,5718,4224,9,8,5599,geoId/40001,9840,10092
7,1997,4413,6,6,5774,4252,9,9,5655,geoId/40001,9925,10199
8,1998,4455,7,6,5864,4287,10,10,5765,geoId/40001,10072,10332
9,1999,4476,7,6,5918,4308,10,7,5812,geoId/40001,10137,10407
0,1990,80,31,8,7622,72,23,22,7563,geoId/41001,7680,7741
1,1991,78,30,9,7649,73,22,22,7637,geoId/41001,7754,7766
2,1992,82,31,9,7749,73,24,22,7752,geoId/41001,7871,7871
3,1993,80,33,9,7882,72,24,23,7891,geoId/41001,8010,8004
4,1994,82,36,9,7952,74,28,24,8001,geoId/41001,8127,8079
5,1995,87,39,9,8064,75,25,23,8098,geoId/41001,8221,8199
6,1996,82,39,9,8016,73,27,23,8061,geoId/41001,8184,8146
7,1997,82,41,10,8028,72,29,25,8086,geoId/41001,8212,8161
8,1998,86,44,9,8030,74,29,24,8115,geoId/41001,8242,8169
9,1999,84,45,10,7950,72,32,25,8041,geoId/41001,8170,8089
0,1990,37,212,435,39620,51,166,524,37680,geoId/42001,38421,40304
1,1991,42,232,451,40309,58,171,541,38382,geoId/42001,39152,41034
2,1992,38,249,465,40732,55,194,569,38837,geoId/42001,39655,41484
3,1993,39,265,475,41194,61,209,586,39266,geoId/42001,40122,41973
4,1994,45,286,497,41601,64,218,603,39677,geoId/42001,40562,42429
5,1995,45,294,513,41870,61,230,620,39937,geoId/42001,40848,42722
6,1996,44,318,527,42275,66,242,645,40343,geoId/42001,41296,43164
7,1997,45,335,547,42823,69,252,663,40901,geoId/42001,41885,43750
8,1998,48,355,558,43299,68,262,687,41383,geoId/42001,42400,44260
9,1999,49,372,578,43768,74,281,701,41874,geoId/42001,42930,44767
0,1990,19,153,77,24927,20,145,111,23430,geoId/44001,23706,25176
1,1991,23,166,78,24957,30,158,114,23512,geoId/44001,23814,25224
2,1992,26,165,80,24961,30,163,117,23526,geoId/44001,23836,25232
3,1993,31,171,79,25008,29,177,120,23592,geoId/44001,23918,25289
4,1994,29,178,77,24950,30,176,119,23549,geoId/44001,23874,25234
5,1995,31,187,81,24925,30,182,124,23492,geoId/44001,23828,25224
6,1996,33,188,82,24928,35,182,121,23451,geoId/44001,23789,25231
7,1997,36,206,87,24916,30,192,125,23449,geoId/44001,23796,25245
8,1998,38,214,87,24992,35,191,131,23506,geoId/44001,23863,25331
9,1999,40,218,88,24925,38,206,132,23455,geoId/44001,23831,25271
0,1990,11,34,4106,8441,6,20,3459,7850,geoId/45001,11335,12592
1,1991,10,33,4135,8467,5,20,3475,7853,geoId/45001,11353,12645
2,1992,11,36,4143,8464,5,20,3512,7875,geoId/45001,11412,12654
3,1993,11,37,4158,8471,6,20,3517,7859,geoId/45001,11402,12677
4,1994,11,39,4186,8478,6,21,3539,7866,geoId/45001,11432,12714
5,1995,11,43,4236,8507,6,22,3572,7879,geoId/45001,11479,12797
6,1996,11,48,4255,8514,5,22,3576,7886,geoId/45001,11489,12828
7,1997,12,49,4278,8547,6,23,3599,7927,geoId/45001,11555,12886
8,1998,11,54,4310,8607,6,27,3632,7994,geoId/45001,11659,12982
9,1999,13,54,4313,8613,7,24,3642,8015,geoId/45001,11688,12993
0,1990,8,1,0,1527,27,2,0,1563,geoId/46003,1592,1536
1,1991,8,1,0,1490,19,2,0,1522,geoId/46003,1543,1499
2,1992,8,1,0,1484,19,2,0,1506,geoId/46003,1527,1493
3,1993,7,1,0,1486,21,2,0,1521,geoId/46003,1544,1494
4,1994,8,1,0,1485,21,2,0,1517,geoId/46003,1540,1494
5,1995,8,1,0,1508,19,2,0,1548,geoId/46003,1569,1517
6,1996,8,2,0,1484,21,2,0,1510,geoId/46003,1533,1494
7,1997,12,2,0,1476,21,2,0,1505,geoId/46003,1528,1490
8,1998,8,1,0,1474,31,2,0,1502,geoId/46003,1535,1483
9,1999,12,1,0,1463,24,2,0,1503,geoId/46003,1529,1476
0,1990,120,277,1472,33911,122,273,1296,30921,geoId/47001,32612,35780
1,1991,122,294,1511,34282,125,293,1330,31247,geoId/47001,32995,36209
2,1992,130,316,1559,34799,126,321,1373,31729,geoId/47001,33549,36804
3,1993,130,336,1586,34889,127,337,1404,31832,geoId/47001,33700,36941
4,1994,131,365,1604,34962,131,361,1425,31936,geoId/47001,33853,37062
5,1995,139,391,1615,35102,135,381,1443,32115,geoId/47001,34074,37247
6,1996,134,423,1652,35125,136,406,1465,32137,geoId/47001,34144,37334
7,1997,139,434,1656,35061,137,421,1472,32049,geoId/47001,34079,37290
8,1998,140,452,1685,34751,142,430,1483,31810,geoId/47001,33865,37028
9,1999,128,465,1693,34770,140,448,1509,31851,geoId/47001,33948,37056
0,1990,71,92,3411,16538,77,73,7860,19792,geoId/48001,27802,20112
1,1991,71,93,3440,16566,77,75,7818,19843,geoId/48001,27813,20170
2,1992,73,100,3474,16589,78,81,7779,19886,geoId/48001,27824,20236
3,1993,74,106,3532,16667,79,87,8150,20248,geoId/48001,28564,20379
4,1994,79,121,3598,16835,83,97,8291,20524,geoId/48001,28995,20633
5,1995,85,141,3707,17101,94,109,9105,21334,geoId/48001,30642,21034
6,1996,89,144,3750,17127,95,116,9139,21349,geoId/48001,30699,21110
7,1997,91,157,3812,17229,98,122,9153,21456,geoId/48001,30829,21289
8,1998,91,166,3844,17203,100,123,9157,21437,geoId/48001,30817,21304
9,1999,93,170,3878,17183,103,130,9190,21462,geoId/48001,30885,21324
0,1990,13,9,4,2410,29,10,1,2293,geoId/49001,2333,2436
1,1991,13,9,5,2425,30,10,0,2307,geoId/49001,2347,2452
2,1992,13,9,4,2489,30,10,0,2377,geoId/49001,2417,2515
3,1993,13,10,4,2517,30,12,2,2416,geoId/49001,2460,2544
4,1994,13,12,4,2595,31,15,2,2495,geoId/49001,2543,2624
5,1995,13,12,5,2716,33,16,1,2606,geoId/49001,2656,2746
6,1996,13,15,6,2858,32,17,1,2754,geoId/49001,2804,2892
7,1997,14,15,5,2941,35,17,1,2835,geoId/49001,2888,2975
8,1998,14,16,5,2963,33,18,1,2851,geoId/49001,2903,2998
9,1999,14,17,9,3010,37,19,1,2899,geoId/49001,2956,3050
0,1990,34,102,73,16413,45,92,62,16324,geoId/50001,16523,16622
1,1991,32,107,74,16530,45,93,68,16465,geoId/50001,16671,16743
2,1992,33,114,79,16629,48,101,72,16609,geoId/50001,16830,16855
3,1993,30,127,96,16760,46,110,82,16770,geoId/50001,17008,17013
4,1994,35,131,91,16844,43,114,78,16891,geoId/50001,17126,17101
5,1995,41,134,100,16889,41,119,75,16995,geoId/50001,17230,17164
6,1996,29,144,109,17014,41,121,82,17150,geoId/50001,17394,17296
7,1997,39,138,110,17067,43,126,81,17225,geoId/50001,17475,17354
8,1998,38,148,109,17227,44,127,87,17370,geoId/50001,17628,17522
9,1999,33,144,121,17373,39,134,91,17505,geoId/50001,17769,17671
0,1990,17,40,5931,10734,24,35,5046,9843,geoId/51001,14948,16722
1,1991,19,41,6039,10722,25,35,5149,9812,geoId/51001,15021,16821
2,1992,17,42,6133,10701,27,35,5229,9793,geoId/51001,15084,16893
3,1993,19,43,6229,10665,24,34,5307,9776,geoId/51001,15141,16956
4,1994,19,44,6322,10634,27,36,5359,9742,geoId/51001,15164,17019
5,1995,19,44,6385,10528,26,35,5384,9641,geoId/51001,15086,16976
6,1996,21,49,6447,10491,26,37,5444,9602,geoId/51001,15109,17008
7,1997,20,51,6494,10435,25,39,5497,9540,geoId/51001,15101,17000
8,1998,21,52,6607,10402,27,42,5581,9520,geoId/51001,15170,17082
9,1999,21,54,6624,10322,26,42,5600,9432,geoId/51001,15100,17021
0,1990,42,71,16,6620,21,76,16,6750,geoId/53001,6863,6749
1,1991,42,71,16,6796,21,76,16,6945,geoId/53001,7058,6925
2,1992,42,74,16,6928,21,80,16,7084,geoId/53001,7201,7060
3,1993,42,76,19,7101,19,78,16,7265,geoId/53001,7378,7238
4,1994,42,75,20,7388,21,85,17,7571,geoId/53001,7694,7525
5,1995,45,81,20,7372,22,87,17,7538,geoId/53001,7664,7518
6,1996,42,79,22,7399,21,89,18,7558,geoId/53001,7686,7542
7,1997,41,83,21,7444,20,87,19,7596,geoId/53001,7722,7589
8,1998,41,85,19,7462,19,91,20,7602,geoId/53001,7732,7607
9,1999,40,86,21,7418,20,92,21,7537,geoId/53001,7670,7565
0,1990,81,15,74,8014,82,20,72,7329,geoId/54001,7503,8184
1,1991,77,16,75,7981,79,20,72,7311,geoId/54001,7482,8149
2,1992,89,18,74,8082,83,23,72,7425,geoId/54001,7603,8263
3,1993,92,19,75,8122,89,23,77,7466,geoId/54001,7655,8308
4,1994,86,19,74,8209,84,22,77,7563,geoId/54001,7746,8388
5,1995,81,20,76,8238,83,24,79,7601,geoId/54001,7787,8415
6,1996,80,18,77,8280,80,24,80,7650,geoId/54001,7834,8455
7,1997,81,20,76,8138,72,24,70,7568,geoId/54001,7734,8315
8,1998,68,20,74,8160,79,22,71,7612,geoId/54001,7784,8322
9,1999,77,18,72,8092,80,21,71,7548,geoId/54001,7720,8259
0,1990,31,22,19,7264,115,39,366,7850,geoId/55001,8370,7336
1,1991,37,26,22,7431,121,45,353,7975,geoId/55001,8494,7516
2,1992,36,26,21,7515,121,53,367,8107,geoId/55001,8648,7598
3,1993,37,32,22,7664,141,57,410,8300,geoId/55001,8908,7755
4,1994,37,34,21,7902,144,62,442,8586,geoId/55001,9234,7994
5,1995,39,38,25,8096,135,67,388,8679,geoId/55001,9269,8198
6,1996,42,43,31,8243,137,74,407,8845,geoId/55001,9463,8359
7,1997,41,44,31,8423,134,73,399,9040,geoId/55001,9646,8539
8,1998,43,44,34,8531,138,77,402,9158,geoId/55001,9775,8652
9,1999,45,52,33,8664,140,82,406,9319,geoId/55001,9947,8794
0,1990,125,297,90,14350,127,371,176,15252,geoId/56001,15926,14862
1,1991,119,309,85,14354,118,371,175,15285,geoId/56001,15949,14867
2,1992,126,317,89,14287,119,375,177,15246,geoId/56001,15917,14819
3,1993,125,345,95,14375,127,390,176,15388,geoId/56001,16081,14940
4,1994,132,348,95,14328,124,392,156,15393,geoId/56001,16065,14903
5,1995,121,350,95,14249,117,400,174,15307,geoId/56001,15998,14815
6,1996,127,367,89,14111,117,397,170,15209,geoId/56001,15893,14694
7,1997,122,367,89,13658,112,428,161,14735,geoId/56001,15436,14236
8,1998,109,362,95,13479,110,399,180,14517,geoId/56001,15206,14045
9,1999,121,368,97,13359,117,398,168,14432,geoId/56001,15115,13945
