Count_BirthEvent_LiveBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_BirthEvent_StillBirth,Count_ChildVaccinationEvent_MMR,Count_Death_Infant,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Date,State,isoCode
3733085,109.2,49131,4518079,1215,4816882,4919299,4664513,4601826,2536074,0,2664,2015-03,Uttar Pradesh,IN-UP
156845,99.1,2466,176822,546,183632,138454,154500,169295,113361,0,6532,2015-03,Uttarakhand,IN-UT
1378357,98.6,23000,1475923,19187,1546303,1245397,1377910,1467980,1188772,0,18274,2015-03,West Bengal,IN-WB
20400458,98.1,315302,23882757,188695,25460689,25060612,24746809,24931420,17146682,0,66940,2010-03,All India,IN
5918,118.1,100,4732,53,5195,4862,4795,4792,5471,0,12,2010-03,A & N Islands,IN-AN
1560902,102,12193,1498743,10102,1539151,1511913,1504736,1507164,1285549,0,1202,2010-03,Andhra Pradesh Old,IN-AP
9817,99.8,217,13635,21,17725,17341,15822,14189,8197,0,1,2010-03,Arunachal Pradesh,IN-AR
489126,95.6,12919,582558,1830,664421,625926,616770,603341,154014,0,2903,2010-03,Assam,IN-AS
1145168,101,36086,1946230,1472,2169924,2268378,2297725,2235000,1382121,0,4706,2010-03,Bihar,IN-BR
21905,98.4,685,17589,194,24401,18833,17028,16290,22110,0,7,2010-03,Chandigarh,IN-CH
581334,97,8650,571342,10798,596531,578119,574138,581740,218826,0,0,2010-03,Chhattisgarh,IN-CT
8274,153.3,54,7725,302,8057,7747,7899,8031,1722,0,0,2010-03,Dadra & Nagar Haveli,IN-DN
0,0,0,0,0,0,0,0,0,0,0,0,2010-03,Daman & Diu,IN-DD
172606,109.8,3410,219370,2583,267904,261117,238546,226366,163151,0,56,2010-03,Delhi,IN-DL
19328,98.9,354,22303,0,24332,18574,18775,19046,21407,0,0,2010-03,Goa,IN-GA
1058764,101.1,20236,1125872,14966,1183260,1185849,1146748,1164478,830616,0,10329,2010-03,Gujarat,IN-GJ
513314,101.9,5194,565094,3964,599396,571057,560330,574865,357907,0,7412,2010-03,Haryana,IN-HR
104924,100,1135,123899,521,131262,123707,122713,127350,24828,0,0,2010-03,Himachal Pradesh,IN-HP
170087,90.4,3289,251454,275,231739,237035,235137,247944,2198509,0,397,2010-03,Jammu & Kashmir,IN-JK
558766,99.4,5466,641519,667,675690,698787,689065,685534,321567,0,1386,2010-03,Jharkhand,IN-JH
909577,99.2,16674,976021,11713,1057304,1000724,1012505,1032024,867650,0,4440,2010-03,Karnataka,IN-KA
491207,100,2230,508182,492,522419,546317,538823,535871,488442,0,1227,2010-03,Kerala,IN-KL
651,100.3,22,1009,9,620,971,943,956,620,0,117,2010-03,Lakshadweep,IN-LD
1593565,99.1,24112,1719386,24751,1646367,1737999,1695851,1695047,1184670,0,1064,2010-03,Madhya Pradesh,IN-MP
1576034,105.4,26811,1863685,21383,2104478,1949728,1997566,1959835,1406663,0,256,2010-03,Maharashtra,IN-MH
31932,100.6,243,41319,37,50460,51162,48024,45713,6189,0,2,2010-03,Manipur,IN-MN
66133,99.8,1448,54405,1764,76241,72966,67480,61899,26012,0,1,2010-03,Meghalaya,IN-ML
23708,103.8,196,21833,703,23687,23493,23430,23732,2057,0,818,2010-03,Mizoram,IN-MZ
15281,98.5,207,25107,41,24299,28066,26818,24882,14596,0,7,2010-03,Nagaland,IN-NL
638259,97.3,18583,788131,20194,784389,761479,777177,806467,380702,0,2896,2010-03,Odisha,IN-OR
41397,86.4,1033,15368,467,36179,16388,15475,15367,36409,0,3276,2010-03,Puducherry,IN-PY
382189,98.6,5885,430814,1165,462491,468018,452995,451964,303955,0,1246,2010-03,Punjab,IN-PB
1336273,95.8,21740,1609319,9768,1720718,1654017,1609125,1648413,693930,0,1427,2010-03,Rajasthan,IN-RJ
6821,117.9,279,8590,37,8045,8708,8655,8811,5049,0,0,2010-03,Sikkim,IN-SK
1092433,98.8,12263,1075399,15285,1091644,1110938,1101123,1097820,1082170,0,1835,2010-03,Tamil Nadu,IN-TN
45205,98.4,827,43672,631,51083,55315,50292,46395,12919,0,93,2010-03,Tripura,IN-TR
4173768,92.6,45925,5330048,3290,5693227,5606459,5427658,5490843,2271043,0,824,2010-03,Uttar Pradesh,IN-UP
133233,100,1988,181577,300,198703,202687,200093,201066,103846,0,61,2010-03,Uttarakhand,IN-UT
1422559,100.9,24731,1552782,28917,1719572,1635932,1641500,1678522,1192578,0,18939,2010-03,West Bengal,IN-WB
18495143,98.2,344045,24299289,154449,27105997,25379010,24098709,24157990,11811061,0,53129,2009-03,All India,IN
0,0,0,3688,0,3593,0,2699,4254,0,0,0,2009-03,A & N Islands,IN-AN
1483138,108.2,21365,1489492,7291,1541858,1510465,1508398,1513375,921333,0,5333,2009-03,Andhra Pradesh Old,IN-AP
9957,94.3,238,17851,8,19566,21020,19303,16370,2051,0,18,2009-03,Arunachal Pradesh,IN-AR
487948,96.2,12205,572867,1189,704100,698228,654859,621197,98395,0,4009,2009-03,Assam,IN-AS
908811,118.6,16833,2012853,420,2423973,2115185,1961987,1783082,1238665,0,1756,2009-03,Bihar,IN-BR
1255,5.6,395,14771,0,22672,16587,14998,14838,21067,0,0,2009-03,Chandigarh,IN-CH
562184,98.8,7958,570938,9863,590081,561042,550938,556891,177545,0,938,2009-03,Chhattisgarh,IN-CT
2390,48.6,81,7543,62,7918,2016,7189,7425,296,0,0,2009-03,Dadra & Nagar Haveli,IN-DN
0,0,0,0,0,0,0,0,0,0,0,0,2009-03,Daman & Diu,IN-DD
156162,105.6,2473,207277,569,261356,267023,238959,224931,123317,0,195,2009-03,Delhi,IN-DL
23707,100.1,378,22423,0,27813,24140,24598,24552,25009,0,0,2009-03,Goa,IN-GA
1085068,103.6,43634,1034547,19499,1146052,1110450,1058072,1072541,692223,0,10442,2009-03,Gujarat,IN-GJ
498521,103,5356,529189,2812,559804,508752,493025,498919,301450,0,1961,2009-03,Haryana,IN-HR
109959,98.7,1246,122201,133,134314,126165,126532,130842,20580,0,0,2009-03,Himachal Pradesh,IN-HP
168565,80.9,2378,260861,711,281410,236314,230396,246098,108815,0,1315,2009-03,Jammu & Kashmir,IN-JK
497729,98.9,6333,637320,3040,734856,703699,652481,621554,298021,0,0,2009-03,Jharkhand,IN-JH
899469,92.9,30221,1008460,10848,1073672,1012223,990042,1026567,637179,0,4141,2009-03,Karnataka,IN-KA
487858,266.3,2415,494112,3917,508871,508703,492798,491454,492572,0,1,2009-03,Kerala,IN-KL
0,0,0,129,0,133,0,43,136,0,0,0,2009-03,Lakshadweep,IN-LD
1737868,98.8,32200,1835609,12267,1901042,1900659,1793827,1765627,1198074,0,786,2009-03,Madhya Pradesh,IN-MP
1652683,94.1,28414,1730804,22940,2004914,1822273,1749968,1855253,982214,0,1013,2009-03,Maharashtra,IN-MH
27623,111.5,194,36990,29,46753,47514,44434,42679,3285,0,6,2009-03,Manipur,IN-MN
57146,112.5,1492,45182,740,64262,63368,57116,52374,8206,0,1,2009-03,Meghalaya,IN-ML
18703,102.7,1471,10775,67,10374,11644,11061,10488,397,0,20,2009-03,Mizoram,IN-MZ
9275,110.8,289,12133,135,15202,16503,14724,14131,1285,0,111,2009-03,Nagaland,IN-NL
527325,87.9,13829,543274,3081,682118,618485,600712,594053,249448,0,7192,2009-03,Odisha,IN-OR
16019,53.8,406,14149,0,40238,5597,12171,14391,10278,0,425,2009-03,Puducherry,IN-PY
384038,98.5,4000,428582,1114,455320,423580,400711,405575,165751,0,682,2009-03,Punjab,IN-PB
1471729,98.1,19133,1628121,5124,1779601,1737806,1678750,1692822,553368,0,570,2009-03,Rajasthan,IN-RJ
7236,144.2,110,9799,10,8246,9404,10182,10106,4778,0,0,2009-03,Sikkim,IN-SK
1082343,97.6,14487,1043372,14715,1088061,1098246,1085119,1090287,1077411,0,0,2009-03,Tamil Nadu,IN-TN
42325,98,968,50977,406,55466,60935,55438,52200,5197,0,67,2009-03,Tripura,IN-TR
2434951,82,45339,6296328,1175,6976048,6543191,6077788,6262130,1171338,0,240,2009-03,Uttar Pradesh,IN-UP
110665,84,2579,171828,157,201903,204952,190381,190376,97890,0,186,2009-03,Uttarakhand,IN-UT
1532493,105.2,25621,1393253,32127,1682846,1392841,1265472,1180606,1105810,0,11721,2009-03,West Bengal,IN-WB
20889154,98.9,272693,10137786,245135,23646281,98240,61739,64217,17877156,301,373240,2019-03,All India,IN
3993,104,76,507,52,3387,102,60,76,3034,0,158,2019-03,A & N Islands,IN-AN
742723,99.4,7492,20101,8902,791845,1453,1039,1009,769793,2,534,2019-03,Andhra Pradesh,IN-AP
18708,99.1,252,1504,153,20227,210,206,207,14180,2,139,2019-03,Arunachal Pradesh,IN-AR
584655,98.6,12230,31556,11676,622485,623,428,395,301573,9,7097,2019-03,Assam,IN-AS
2050938,98.2,24267,1720581,10625,2699682,1560,1041,560,1843297,31,9014,2019-03,Bihar,IN-BR
28792,99.2,640,42,1553,27606,62,88,58,27362,3,31,2019-03,Chandigarh,IN-CH
484317,98.7,9736,126464,7184,558020,4003,2956,2813,432596,5,4077,2019-03,Chhattisgarh,IN-CT
9040,99.6,165,0,250,8863,0,2,0,8937,0,5139,2019-03,Dadra & Nagar Haveli,IN-DN
3861,100.1,23,70,53,4972,48,28,24,4346,0,84,2019-03,Daman & Diu,IN-DD
282190,99.5,5065,48408,5059,293105,13791,9348,8102,251460,6,111,2019-03,Delhi,IN-DL
17962,100,166,1,153,18379,54,28,43,17070,2,24,2019-03,Goa,IN-GA
1137636,99.9,12186,547207,19181,1217163,11394,9161,10123,1073338,17,14923,2019-03,Gujarat,IN-GJ
499852,99.8,7562,47044,10455,541914,4130,1543,1580,457067,3,2714,2019-03,Haryana,IN-HR
86872,99.4,1112,0,1465,92073,0,0,0,79878,1,2490,2019-03,Himachal Pradesh,IN-HP
195931,98.3,3814,110377,2143,208940,36,11,15,193849,0,2591,2019-03,Jammu & Kashmir,IN-JK
732000,99.2,9106,96441,4480,781844,2471,1019,1679,457060,6,9219,2019-03,Jharkhand,IN-JH
907525,99.5,8847,15077,10669,1041430,3249,1770,2229,861025,22,8189,2019-03,Karnataka,IN-KA
487790,100.7,2028,10755,1765,480120,1183,705,837,459271,19,2086,2019-03,Kerala,IN-KL
849,100.5,10,15,11,848,10,4,9,822,0,4,2019-03,Lakshadweep,IN-LD
1359708,98.8,22979,1293970,31952,1369171,1851,1569,1258,1229354,0,22709,2019-03,Madhya Pradesh,IN-MP
1720964,99.7,16392,1138659,17353,1942587,176,137,162,1630334,40,641,2019-03,Maharashtra,IN-MH
37991,99.9,189,1072,82,42020,57,8,28,26846,0,200,2019-03,Manipur,IN-MN
83258,98.7,1758,38030,2073,79621,395,224,203,48830,0,807,2019-03,Meghalaya,IN-ML
19289,99.2,189,1549,340,19152,1072,972,896,9636,0,326,2019-03,Mizoram,IN-MZ
19606,99.5,306,9938,213,21272,83,55,83,14100,1,1,2019-03,Nagaland,IN-NL
646668,98.6,14361,162635,13453,641580,0,0,0,563623,15,149029,2019-03,Odisha,IN-OR
43695,99.4,510,21,410,43331,18,144,3,43325,0,2831,2019-03,Puducherry,IN-PY
371274,99.6,5268,23291,2629,412786,182,149,397,355639,1,4561,2019-03,Punjab,IN-PB
1368982,98.9,23896,1413940,31158,1437337,0,0,0,1069619,0,6710,2019-03,Rajasthan,IN-RJ
7041,99.1,146,6250,128,6829,1,0,0,6822,1,466,2019-03,Sikkim,IN-SK
939599,100,6028,4097,7305,972513,0,0,0,970587,16,252,2019-03,Tamil Nadu,IN-TN
623664,102.2,3654,23338,4384,624650,1495,560,1309,580733,15,1140,2019-03,Telangana,IN-TG
50035,99.4,862,23585,859,48809,290,191,195,37267,0,82,2019-03,Tripura,IN-TR
3860684,97.2,48825,3029431,12381,5012619,45045,25861,28718,2731043,52,12849,2019-03,Uttar Pradesh,IN-UP
147253,99.6,1795,3851,1154,185690,1045,512,608,131832,1,28486,2019-03,Uttarakhand,IN-UT
1313809,99.3,20758,187979,23432,1373411,2151,1920,598,1171608,31,73526,2019-03,West Bengal,IN-WB
21206838,103.7,333246,22832386,123216,23953675,19759737,19243539,19204437,17030056,0,194464,2014-03,All India,IN
5040,109.3,112,5283,58,5045,5033,5031,5069,4431,0,204,2014-03,A & N Islands,IN-AN
1389925,144.2,21252,1390937,4829,1443405,1423158,1431931,1458168,1239647,0,1624,2014-03,Andhra Pradesh Old,IN-AP
15418,101,188,18283,40,23972,21969,20513,19092,14106,0,27,2014-03,Arunachal Pradesh,IN-AR
595774,97.1,14272,610801,4883,630635,646632,639542,626351,285122,0,2971,2014-03,Assam,IN-AS
2036658,100.8,34027,2204239,1585,2526918,2545822,2449489,2337820,1938646,0,12248,2014-03,Bihar,IN-BR
25869,98.9,831,17158,1178,26118,17995,16584,16584,25054,0,1,2014-03,Chandigarh,IN-CH
495906,99.9,10774,505567,4351,514823,530160,530246,525893,380448,0,14530,2014-03,Chhattisgarh,IN-CT
7724,99.7,95,7641,136,7964,7254,7378,7536,6079,0,0,2014-03,Dadra & Nagar Haveli,IN-DN
3862,100.1,28,3725,70,3333,3431,3437,3327,2954,0,3,2014-03,Daman & Diu,IN-DD
243151,99.3,4348,255719,2562,294128,131945,140456,147913,225395,0,33,2014-03,Delhi,IN-DL
15916,99.1,297,21837,46,18523,739,814,820,16959,0,10,2014-03,Goa,IN-GA
1150810,100.2,19127,1161225,5889,1245504,138308,136320,146582,924394,0,12111,2014-03,Gujarat,IN-GJ
494996,99.2,6696,474817,2908,525353,6954,22480,37075,376585,0,3969,2014-03,Haryana,IN-HR
96048,97.5,1411,108723,1277,115337,109965,110520,112220,70249,0,13,2014-03,Himachal Pradesh,IN-HP
193820,98.1,3958,194477,244,208034,81675,82139,82801,172925,0,149,2014-03,Jammu & Kashmir,IN-JK
648409,100.4,9696,650556,1117,699932,732147,710599,696221,406071,0,6399,2014-03,Jharkhand,IN-JH
866064,100,10703,1030086,4640,1131954,234010,260876,300152,852619,0,5636,2014-03,Karnataka,IN-KA
498269,100.4,2259,500683,1058,507561,5017,4109,3500,484220,0,3271,2014-03,Kerala,IN-KL
669,100.3,7,1246,1,704,1073,1062,1009,677,0,16,2014-03,Lakshadweep,IN-LD
1366945,100.7,23699,1466310,8478,1400942,1511479,1490604,1474862,1103377,0,3246,2014-03,Madhya Pradesh,IN-MP
1776559,100.6,25002,1937465,11252,1972611,2003824,1951892,1958179,1563845,0,19726,2014-03,Maharashtra,IN-MH
41331,100,244,45608,36,53168,53568,51879,48820,9979,0,15,2014-03,Manipur,IN-MN
82793,98.4,1899,72182,2148,87530,85011,80568,76760,38778,0,103,2014-03,Meghalaya,IN-ML
21192,100.7,228,19849,744,23193,20997,21162,20941,6063,0,43,2014-03,Mizoram,IN-MZ
21091,99.2,269,21128,89,28458,26636,24599,22836,20107,0,0,2014-03,Nagaland,IN-NL
700657,98.2,18119,685876,12833,730343,698625,695818,700681,542716,0,67283,2014-03,Odisha,IN-OR
39928,100.1,741,15846,74,37195,12491,10592,10155,36794,0,4324,2014-03,Puducherry,IN-PY
411684,98,6266,424654,1820,455979,443001,433633,433630,339969,0,1509,2014-03,Punjab,IN-PB
1464513,99.9,26463,1414862,17433,1533793,1526917,1467739,1467958,1031612,0,235,2014-03,Rajasthan,IN-RJ
7915,99.2,112,8425,57,8066,7974,7967,8159,7380,0,1,2014-03,Sikkim,IN-SK
1012886,99.5,10215,1033116,9897,1008843,0,0,0,1007276,0,11391,2014-03,Tamil Nadu,IN-TN
51962,99.1,953,54504,346,56124,60728,58225,55812,22660,0,6,2014-03,Tripura,IN-TR
3769318,111.7,52571,4828228,1116,4785784,4972195,4717162,4692571,2573487,0,3113,2014-03,Uttar Pradesh,IN-UP
157134,98.9,2529,186112,385,194268,194332,200348,201256,121624,0,76,2014-03,Uttarakhand,IN-UT
1496602,98,23791,1428236,19636,1618853,1498672,1457825,1452696,1177808,0,20178,2014-03,West Bengal,IN-WB
21233538,0,263342,985498,244069,23933592,77119,46608,45290,18531876,316,439800,2020-03,All India,IN
3618,0,61,214,67,3348,21,32,29,3247,4,183,2020-03,A & N Islands,IN-AN
736774,0,7148,18714,9325,737277,511,288,339,723065,2,811,2020-03,Andhra Pradesh,IN-AP
20668,0,250,82,85,21185,89,70,39,17171,1,954,2020-03,Arunachal Pradesh,IN-AR
600797,0,12692,190,12418,666512,73,113,34,407399,29,17070,2020-03,Assam,IN-AS
2114235,0,23110,9776,8913,2742146,663,502,391,1901807,52,16791,2020-03,Bihar,IN-BR
27957,0,628,0,1497,26237,36,26,34,26099,0,51,2020-03,Chandigarh,IN-CH
479404,0,9602,1649,7938,556103,167,119,98,446848,0,6845,2020-03,Chhattisgarh,IN-CT
9539,0,180,0,243,9398,1,0,0,8835,0,7168,2020-03,Dadra & Nagar Haveli,IN-DN
4059,0,36,0,36,5189,2,1,28,3621,0,95,2020-03,Daman & Diu,IN-DD
283719,0,5002,5436,4649,290204,12007,8118,7507,256221,11,241,2020-03,Delhi,IN-DL
18491,0,161,0,131,18334,28,15,29,17773,1,65,2020-03,Goa,IN-GA
1148115,0,12256,21960,18594,1237164,4391,2726,2751,1133784,6,13284,2020-03,Gujarat,IN-GJ
511004,0,6692,0,12420,542744,1819,672,542,452497,8,7270,2020-03,Haryana,IN-HR
88410,0,993,0,1363,90909,6,0,0,80090,0,4970,2020-03,Himachal Pradesh,IN-HP
191384,0,3530,486,4618,205700,0,1,8,190819,1,5778,2020-03,Jammu & Kashmir,IN-JK
731400,0,9025,10443,5150,788235,1145,711,921,544051,10,11224,2020-03,Jharkhand,IN-JH
898459,0,8883,19816,10211,1020798,4188,1968,2419,852900,28,8914,2020-03,Karnataka,IN-KA
464530,0,1712,6488,1662,456084,1863,1396,1403,435866,26,3207,2020-03,Kerala,IN-KL
851,0,5,10,5,856,7,0,0,887,0,49,2020-03,Lakshadweep,IN-LD
1403115,0,23475,50090,33052,1402695,1595,1160,1315,1269436,3,23407,2020-03,Madhya Pradesh,IN-MP
1796217,0,14614,499,16630,1921037,0,0,3,1669899,14,1540,2020-03,Maharashtra,IN-MH
39462,0,159,3,115,38560,38,2,13,27106,0,308,2020-03,Manipur,IN-MN
89449,0,1995,7686,2524,90495,386,251,175,57440,5,1945,2020-03,Meghalaya,IN-ML
20577,0,156,2,369,20503,958,869,873,12781,1,502,2020-03,Mizoram,IN-MZ
20582,0,306,6,174,22701,113,81,72,16125,0,2,2020-03,Nagaland,IN-NL
632591,0,13906,0,12977,623113,0,0,0,562752,11,152029,2020-03,Odisha,IN-OR
43023,0,428,86,358,42668,79,5,8,42672,0,2886,2020-03,Puducherry,IN-PY
377525,0,4919,96,2475,389716,153,157,122,337079,5,4894,2020-03,Punjab,IN-PB
1362923,0,24775,491526,29132,1390146,11,7,11,1069733,0,6119,2020-03,Rajasthan,IN-RJ
7188,0,113,277,91,6605,0,0,0,6772,0,454,2020-03,Sikkim,IN-SK
942471,0,5946,3198,9599,937391,73,22,434,940445,17,332,2020-03,Tamil Nadu,IN-TN
633667,0,3403,8354,2694,670136,2287,541,1359,609908,11,2947,2020-03,Telangana,IN-TG
51339,0,850,179,982,50390,685,633,562,39942,1,525,2020-03,Tripura,IN-TR
4071547,0,45556,321466,11409,5405864,41964,25197,22471,3075801,29,20022,2020-03,Uttar Pradesh,IN-UP
152300,0,1835,201,1232,179177,270,186,454,135959,4,32925,2020-03,Uttarakhand,IN-UT
1256148,0,18940,6565,20931,1323972,1490,739,846,1155046,36,83993,2020-03,West Bengal,IN-WB
