District,lgdCode,Date,Count_BirthEvent_LiveBirth,Count_BirthEvent_StillBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_ChildVaccinationEvent_MMR,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Count_Death_Infant
Mahendragarh,069,2011-03,16826,200,100.9,18497,7480,17722,17727,18190,18311,,24,10
Nuh,604,2011-03,28830,172,145,31630,13168,30196,26978,25331,25808,,,115
Palwal,619,2011-03,27729,285,99.1,29520,8225,23837,22039,21560,23222,,,650
Panchkula,070,2011-03,11607,99,99.2,15602,12425,14257,14308,14575,13848,,,90
Panipat,071,2011-03,27524,167,100.1,28264,9301,26301,25345,25221,25561,,,3
Rewari,072,2011-03,17057,173,99.2,16342,14476,17213,17061,17212,17248,,,371
Rohtak,073,2011-03,29800,470,101.6,29677,27451,24221,23339,23686,23902,,,83
Sirsa,074,2011-03,17093,232,102.8,23967,17010,24297,24505,24074,21044,,,45
Sonipat,075,2011-03,31053,276,100.6,31179,21746,32123,32171,33364,34278,,,600
Yamunanagar,076,2011-03,25060,250,99.3,25938,22705,23015,23233,23762,24620,,1,333
Chamba,016,2011-03,7171,97,99.2,9624,1710,10115,9690,9274,8703,,,122
Kangra,018,2011-03,22592,270,99,28579,8154,25525,26130,27191,25801,,20,467
Kinnaur,019,2011-03,905,10,98.9,1329,100,1470,1473,1404,1383,,,13
Kullu,020,2011-03,7147,59,99.3,8744,2569,7830,7867,7864,7615,,2,56
Lahul and spiti,021,2011-03,205,3,98.6,302,135,396,410,432,409,,,
Mandi,022,2011-03,13781,132,99.5,17284,3960,17284,17237,17705,16848,,,43
Shimla,023,2011-03,13805,295,98.6,16344,6164,13991,13631,13572,13603,,111,77
Sirmaur,024,2011-03,6897,65,99.2,9524,1283,10023,9711,9415,9161,,,100
Solan,025,2011-03,8354,98,100,9948,2327,10116,9982,9910,10021,,1,55
Una,026,2011-03,7529,74,99.8,9276,2780,9059,9010,9275,8496,,1,66
Anantnag,001,2011-03,14316,519,96.8,17073,9627,11915,11956,12200,11122,,,
