District,lgdCode,Date,Count_BirthEvent_LiveBirth,Count_BirthEvent_StillBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_ChildVaccinationEvent_MMR,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Count_Death_Infant
Barwani,393,2017-03,37513,424,99.7,36706,22914,5,2,32,41468,,16,959
Betul,394,2017-03,24634,412,98.8,24740,19796,0,0,0,27918,,0,658
Bhind,395,2017-03,28450,340,99,28996,28863,99,85,110,31145,,200,360
Bhopal,396,2017-03,49026,1245,98.2,48579,42974,2324,1756,1850,45867,,1053,1398
Burhanpur,397,2017-03,14708,235,99.1,15923,12299,4,6,3,17568,,1138,160
Chhatarpur,398,2017-03,39138,752,98.6,37527,35032,0,0,0,40579,,0,671
Chhindwara,399,2017-03,32750,645,99.6,32369,31208,1,0,10,35535,,0,663
Damoh,400,2017-03,23976,388,98.8,23787,21761,19,12,9,28045,,0,436
Datia,401,2017-03,12073,199,99.1,12722,10770,6,0,0,13212,,18,457
Dewas,402,2017-03,27124,328,99.4,27149,25962,9,15,17,34867,,121,338
Dhar,403,2017-03,39156,684,98.6,38445,33782,186,173,193,50447,,0,777
Dindori,404,2017-03,11070,302,97.9,10932,9521,0,0,5,17833,,0,315
Guna,406,2017-03,26809,399,98.7,24134,23106,9,5,7,26993,,155,532
Gwalior,407,2017-03,41417,879,97.1,43605,38763,1,2,7,40623,,215,819
Hoshangabad,409,2017-03,23700,334,98.9,21842,19947,4,4,4,22017,,54,348
Indore,410,2017-03,65781,738,99.1,62245,57236,124,91,146,69078,,68,77
Jabalpur,411,2017-03,36229,313,99.3,36944,32082,444,354,408,39837,,1150,789
Jhabua,412,2017-03,33395,630,98.8,35333,30695,63,40,38,26006,,287,398
Katni,413,2017-03,21980,543,98,21777,20017,77,64,43,25144,,27,459
East nimar,405,2017-03,24156,376,99.7,24400,22771,316,300,295,27230,,739,487
Khargone,414,2017-03,33468,520,99.2,34944,27122,13,27,28,38462,,1880,333
Mandla,415,2017-03,16030,393,98,15579,13295,300,235,226,18315,,3,229
Mandsaur,416,2017-03,22404,411,98.8,20647,20485,0,0,0,24428,,162,495
Morena,417,2017-03,41762,948,98.6,40966,39596,0,0,1,41486,,1700,553
Narsinghpur,418,2017-03,18699,274,98.7,18255,17330,0,0,0,22100,,46,316
Neemuch,419,2017-03,13445,187,98.7,13034,12347,0,0,0,14756,,7,322
Panna,420,2017-03,19088,286,99,20440,17369,396,335,254,28099,,554,318
Raisen,421,2017-03,21382,330,99.2,22391,20239,10,3,1,33878,,18,398
Rajgarh,422,2017-03,23950,486,98.4,23147,21773,2,2,3,31206,,296,353
Ratlam,423,2017-03,29975,316,99.6,29252,29044,0,0,0,32796,,49,363
Rewa,424,2017-03,46938,539,99.6,47743,43901,25,5,13,56535,,84,148
Sagar,425,2017-03,39458,647,98.5,45707,37162,224,216,236,51522,,90,289
Satna,426,2017-03,39703,890,98.1,39469,35401,26,14,36,45600,,58,870
Sehore,427,2017-03,24471,310,98.3,25035,23436,0,0,0,31751,,934,480
Seoni,428,2017-03,21859,491,98.5,21360,19654,0,0,0,24240,,24,504
Shahdol,429,2017-03,20331,607,98.2,19793,17855,153,59,56,20096,,110,477
Shajapur,430,2017-03,16486,270,98.7,16314,15595,0,0,23,19806,,109,236
Sheopur,431,2017-03,13629,177,99.1,14177,9589,11,18,20,15046,,6,401
Shivpuri,432,2017-03,35752,539,98.6,36299,32425,154,140,130,42867,,36,347
Sidhi,433,2017-03,25475,526,99.2,26160,20295,5,8,24,28808,,0,211
Singrauli,638,2017-03,26676,526,98.1,27329,14738,3,14,45,30093,,887,41
Tikamgarh,434,2017-03,26122,451,98.7,27443,24704,117,138,278,31758,,20,177
Ujjain,435,2017-03,33811,557,99,33307,31677,0,0,0,40851,,421,481
Umaria,436,2017-03,10949,279,97.9,10689,10254,0,0,0,13760,,135,404
Vidisha,437,2017-03,27219,571,99.6,27333,22376,80,85,56,35063,,852,567
Ahmednagar,466,2017-03,77637,571,99.5,81403,57781,0,0,0,77511,,6,330
Akola,467,2017-03,34782,692,98.8,34782,34782,0,0,0,29718,,1,1025
Amravati,468,2017-03,43740,781,100.3,50539,35831,0,95,336,43839,,14,544
Bhandara,471,2017-03,17046,235,99.6,16772,13193,99,76,75,18024,,98,280
Beed,470,2017-03,45064,400,99.4,45415,45309,605,934,1680,45214,,1,254
Mumbai,482,2017-03,161897,2112,98.5,186279,176954,180,206,444,183602,,22,1097
Buldhana,472,2017-03,37391,333,99.6,46937,39360,0,0,0,47064,,15,292
Chandrapur,473,2017-03,28761,506,99.2,31623,23869,10,15,42,35002,,67,550
Dhule,474,2017-03,41692,122,100.1,41894,29304,5,5,5,39618,,0,443
Gadchiroli,475,2017-03,16577,557,97.5,17284,14048,0,0,0,18131,,120,398
Gondia,476,2017-03,16529,227,99.3,19088,15057,0,0,0,20577,,0,295
Hingoli,477,2017-03,16412,186,99.5,24704,16535,0,0,0,22248,,2,176
Jalgaon,478,2017-03,69286,619,99.4,76262,60394,0,0,0,76309,,1,696
Jalna,479,2017-03,32159,401,99.4,47620,40432,962,2905,4687,36747,,1,151
Kolhapur,480,2017-03,43852,309,99.4,55599,59590,0,0,0,61824,,3,345
Latur,481,2017-03,41274,277,100.1,46839,46526,0,0,0,44015,,50,40
Nagpur,484,2017-03,45836,951,98.6,59534,46753,623,772,890,65840,,0,201
Nanded,485,2017-03,57803,808,99,62939,62677,0,0,0,62010,,54,93
Nandurbar,486,2017-03,27842,444,98.9,29119,24368,0,0,0,32720,,0,632
Nashik,487,2017-03,98492,1175,99.6,128634,79106,40,162,180,121051,,3,702
Osmanabad,488,2017-03,24159,227,99.7,29648,23845,0,0,4,27564,,2,109
Palghar,665,2017-03,50158,385,99.7,56261,49489,313,572,883,59583,,0,378
Parbhani,489,2017-03,26933,82,100.1,33816,27748,0,0,24,33299,,23,57
Pune,490,2017-03,148913,1690,99.3,162372,146044,2273,2375,2682,158324,,1176,591
Ratnagiri,492,2017-03,18697,194,99.4,18874,14447,119,112,109,17777,,3,169
Sangli,493,2017-03,47479,257,99.7,50363,45569,0,0,20,48007,,0,582
Satara,494,2017-03,45517,455,99.6,47410,45322,0,0,11,48639,,1,319
Sindhudurg,495,2017-03,8173,78,100.2,8275,7645,0,3,6,8044,,8,18
Solapur,496,2017-03,67445,598,100.1,74067,69436,183,325,861,79245,,118,185
Thane,497,2017-03,100824,956,101.3,144927,116123,3754,5332,7103,153512,,1432,610
Washim,499,2017-03,17070,140,100.4,16864,16136,0,0,0,16964,,3,117
Yavatmal,500,2017-03,40538,292,99.8,50025,38322,4,5,19,44948,,6,246
Bishnupur,252,2017-03,1366,2,99.9,3941,1195,23,90,203,4356,,0,5
Chandel,253,2017-03,1191,2,101,1449,335,201,212,248,1312,,0,2
Churachandpur,254,2017-03,4452,6,99.9,4269,3693,4,13,32,4714,,0,49
Imphal east,255,2017-03,7243,56,99.2,10305,5912,650,874,1409,7620,,0,2
Imphal west,256,2017-03,13628,127,100,9772,10573,709,741,896,9605,,0,12
Senapati,257,2017-03,6008,21,99.8,6946,2695,258,537,957,6586,,0,2
Tamenglong,258,2017-03,1202,14,99.2,2099,853,176,344,497,1915,,0,3
Thoubal,259,2017-03,3866,19,99.6,8233,2454,307,151,389,7716,,1,2
Ukhrul,260,2017-03,1776,20,98.9,2034,937,723,871,966,1834,,0,3
East garo hills,273,2017-03,4640,92,98.1,4463,2021,86,112,154,3871,,214,92
East jaintia hills,657,2017-03,2850,60,98.8,3691,1230,48,122,330,4268,,1,56
East khasi hills,274,2017-03,26195,674,97.9,25605,20654,478,892,1571,14739,,175,943
North garo hills,656,2017-03,2901,43,99.7,3475,1805,201,225,278,3500,,0,40
Ri bhoi,276,2017-03,6018,83,99.3,5699,3027,165,188,284,6580,,2,136
South garo hills,277,2017-03,2727,38,99,2952,1125,44,103,235,2827,,2694,100
South west garo hills,663,2017-03,3646,60,98.7,3693,1716,9,25,162,3811,,0,139
South west khasi hills,658,2017-03,2717,44,99.1,2747,664,61,139,280,2558,,56,122
West garo hills,278,2017-03,13580,286,98.5,13382,6308,117,209,469,11238,,0,364
West jaintia hills,275,2017-03,9966,262,98.5,9594,4485,27,104,352,8054,,4,254
West khasi hills,279,2017-03,10057,175,98.7,10299,4300,168,306,686,10000,,49,181
Champhai,262,2017-03,1826,8,99.6,2078,1069,6,2,4,2204,,4,29
Kolasib,263,2017-03,1195,15,99.7,1274,330,0,0,0,1427,,19,24
Lawngtlai,264,2017-03,1644,18,99,2042,729,60,146,129,1694,,43,44
Lunglei,265,2017-03,2307,26,99.1,2396,1339,0,0,2,1915,,0,44
Mamit,266,2017-03,1114,4,99.6,1415,484,11,52,29,1216,,1,21
Saiha,267,2017-03,1319,9,99.4,1423,703,11,11,38,1055,,170,36
Serchhip,268,2017-03,746,9,98.8,933,377,0,0,0,986,,2,12
Dimapur,244,2017-03,7906,177,98.7,9648,4943,387,399,579,7300,,0,106
Kiphire,614,2017-03,702,11,99.2,882,583,362,348,355,726,,0,1
Kohima,245,2017-03,2696,39,98.7,3477,3044,225,252,277,2826,,0,39
Longleng,615,2017-03,502,4,99.4,652,326,67,108,139,601,,0,2
Mokokchung,246,2017-03,1031,19,98.6,1256,970,334,356,374,1213,,0,10
Mon,247,2017-03,2033,27,98.9,3236,1757,1488,1499,1479,2565,,0,11
Peren,613,2017-03,966,24,98,1167,828,187,266,305,1001,,0,
Phek,248,2017-03,1224,11,99.6,1605,1175,687,653,670,1397,,0,
Tuensang,249,2017-03,1547,23,98.7,2278,1367,366,437,475,1964,,0,5
Wokha,250,2017-03,892,0,100.1,1108,810,30,61,82,1056,,0,
Zunheboto,251,2017-03,846,9,99.1,1040,587,391,400,415,942,,0,
Anugul,344,2017-03,18374,316,98.9,21171,19570,47,42,17,20504,,4207,376
Balangir,345,2017-03,29018,869,98,26766,24533,65,7,39,27220,,7252,819
Baleshwar,346,2017-03,33710,550,99,35814,33666,30,56,54,34635,,1768,721
Bargarh,347,2017-03,16413,263,99.1,16686,14570,0,0,5,20546,,2695,149
Boudh,349,2017-03,6491,157,98.5,6560,5832,23,29,20,7709,,487,104
Bhadrak,348,2017-03,22933,342,99.2,24328,23041,55,0,2,25071,,656,279
Cuttack,350,2017-03,43826,835,98.8,36645,27209,29,25,45,37120,,5490,238
Deogarh,351,2017-03,2694,47,98.8,2994,2081,0,0,0,5093,,1270,130
Dhenkanal,352,2017-03,15610,301,98.6,17866,13448,28,24,27,19509,,4083,245
Gajapati,353,2017-03,10186,244,98.2,10805,7047,0,8,22,10673,,5557,153
Ganjam,354,2017-03,51064,1063,98.8,54058,49661,2,14,75,55297,,3191,336
Jagatsinghapur,355,2017-03,11101,158,99.1,13284,11809,0,2,3,16239,,2197,85
Jajapur,356,2017-03,21796,344,98.8,28632,24696,1,9,35,28732,,6693,303
Jharsuguda,357,2017-03,6656,89,99.2,6922,6212,0,0,0,8151,,1020,146
Kalahandi,358,2017-03,21704,758,97.5,25105,17778,13,5,9,26679,,3533,900
Kandhamal,359,2017-03,13805,563,96.8,14024,10909,0,0,0,14421,,3454,475
Kendrapara,360,2017-03,16572,243,99.2,19802,16392,0,0,3,22016,,5647,163
Kendujhar,361,2017-03,27609,599,98.5,30772,24349,0,0,5,33272,,1741,624
Khordha,362,2017-03,29973,472,99.2,33820,30911,46,37,52,31842,,2441,256
Koraput,363,2017-03,24994,971,97.1,25458,18376,7,7,27,27369,,947,850
Malkangiri,364,2017-03,12941,562,96.7,12986,10560,92,54,43,13476,,4628,839
Mayurbhanj,365,2017-03,42456,1005,98.5,42393,39786,0,3,6,40534,,1026,1104
Nabarangpur,366,2017-03,24710,1176,96.3,25840,17253,0,1,38,26334,,4326,696
Nayagarh,367,2017-03,8911,126,98.9,11693,10912,0,0,1,14843,,8842,255
Nuapada,368,2017-03,12907,468,97.8,13104,10140,16,24,43,12268,,1448,545
Puri,369,2017-03,13806,189,99.3,14688,12652,0,4,6,24731,,1569,165
Rayagada,370,2017-03,20626,738,97.6,20834,15595,0,4,10,19927,,10344,605
Sambalpur,371,2017-03,17767,354,99,19442,18586,0,2,3,15658,,7858,507
Sonepur,372,2017-03,6956,148,98.6,7169,6649,1,4,2,9593,,1263,116
Sundargarh,373,2017-03,25003,650,98,28071,23641,0,1,5,31002,,15146,485
Karaikal,598,2017-03,3720,20,99.9,3668,3668,0,0,0,1943,,1142,15
Mahe,599,2017-03,532,0,106.4,816,812,0,0,0,628,,473,
Pondicherry,600,2017-03,35403,534,99.2,35347,35350,0,0,0,9678,,1657,76
Yanam,601,2017-03,409,2,100,409,409,0,0,0,788,,67,2
Amritsar,027,2017-03,36925,1102,98.1,39659,27874,42,110,189,37320,,0,351
Barnala,605,2017-03,8298,91,99.5,8279,7217,5,10,9,8377,,0,41
Bathinda,028,2017-03,21052,340,99.4,18665,15792,711,123,334,19185,,0,163
Faridkot,029,2017-03,10402,359,97.8,9024,7887,186,65,22,9176,,11,178
Fatehgarh sahib,030,2017-03,6077,30,99.7,7715,5744,0,0,1,8360,,18,43
Fazilka,651,2017-03,14283,218,99.3,14019,10328,55,22,32,14445,,0,32
Firozepur,031,2017-03,10262,192,98.5,13887,8639,136,112,87,14362,,0,62
Gurdaspur,032,2017-03,21817,282,99,20888,20466,8,5,2,24002,,0,45
Hoshiarpur,033,2017-03,20115,329,98.7,23249,22409,5,0,0,22769,,317,125
Jalandhar,034,2017-03,30443,233,99.5,40138,34680,53,64,63,34078,,9,43
Kapurthala,035,2017-03,10437,87,99.4,10021,8500,15,16,5,12782,,6,45
Ludhiana,036,2017-03,49373,708,99,59448,48911,269,775,910,56026,,43,93
Mansa,037,2017-03,10420,102,99.5,12587,11841,0,0,0,11005,,0,21
Moga,038,2017-03,14466,234,99.1,14438,12578,41,26,20,14655,,0,63
S.a.s nagar,608,2017-03,9406,39,100,11421,10400,15,15,23,18131,,2,101
Sri muktsar sahib,039,2017-03,12674,168,99.4,12685,8546,1,2,0,13418,,0,26
Shahid bhagat singh nagar,040,2017-03,7681,132,99.1,8105,7721,2,0,1,8608,,3,75
Pathankot,662,2017-03,11644,94,99.7,12035,10842,0,0,0,9292,,0,11
Patiala,041,2017-03,28547,457,99.2,32327,29495,2,2,1,29389,,1,17
Rupnagar,042,2017-03,9773,98,99.4,10599,10222,0,0,0,10831,,23,16
Sangrur,043,2017-03,20463,196,99.8,24514,17747,0,0,0,23010,,0,
Tarn taran,609,2017-03,14194,439,97.5,17121,15831,0,0,0,16915,,0,141
Ajmer,086,2017-03,59351,1049,99,62457,49408,2164,1808,1684,57112,,0,594
Alwar,087,2017-03,68467,1274,100.4,76281,52165,1072,783,741,70792,,1,1117
Banswara,088,2017-03,43258,1226,97.5,43258,43008,0,0,0,42845,,0,1008
Baran,089,2017-03,22909,418,99,23289,21567,0,0,0,26236,,0,341
Barmer,090,2017-03,67611,1113,100.6,75614,32912,415,303,124,66987,,0,222
Bharatpur,091,2017-03,53486,628,100,47661,40460,0,0,0,49986,,5,772
Bhilwara,092,2017-03,46032,851,99.1,47048,37538,240,133,92,47539,,0,672
Bikaner,093,2017-03,52363,1191,98.9,58833,33813,0,0,1,49680,,124,171
Bundi,094,2017-03,18788,284,99,19251,17217,0,0,0,23427,,4,389
Chittorgarh,095,2017-03,26988,627,98.6,26639,21092,61,13,7,28874,,0,677
Churu,096,2017-03,36753,456,100.3,42116,23491,0,0,0,41192,,0,254
Dausa,097,2017-03,29675,376,99.3,30435,18458,169,6,13,31094,,12,155
Dholpur,098,2017-03,29539,500,99.3,30639,26181,0,0,0,26610,,0,231
Dungarpur,099,2017-03,29960,701,99,33763,20286,0,0,1,30709,,5,629
Ganganagar,100,2017-03,34033,528,99.3,36196,20156,0,0,0,38550,,1,450
Hanumangarh,101,2017-03,42074,704,98.9,40572,34968,0,0,0,39056,,6,303
Jaipur,102,2017-03,138306,2195,102.3,136625,111166,6779,5724,5094,121085,,8,1588
Jaisalmer,103,2017-03,17724,370,98.6,18868,12812,14,8,16,15039,,5,89
Jalore,104,2017-03,48285,1107,98.6,48506,26024,0,1,1,42773,,0,253
Jhalawar,105,2017-03,28778,655,98.2,29470,28906,0,0,0,29886,,0,574
Jhunjhunu,106,2017-03,30297,295,100.3,39818,19151,0,0,0,39327,,1,299
Jodhpur,107,2017-03,77264,1439,100.3,90363,60954,94,64,73,74743,,1,111
Karauli,108,2017-03,29110,347,99.6,29336,20425,12,4,13,33036,,0,460
Kota,109,2017-03,37990,693,98.7,38780,35648,0,0,0,36879,,23,289
Nagaur,110,2017-03,58386,665,99.1,72107,38670,0,0,0,65644,,1085,699
Pali,111,2017-03,41994,935,98.5,47112,28961,8,0,9,48451,,69,451
Rajsamand,112,2017-03,21526,350,98,24459,16747,52,23,40,29682,,12,312
Sawai madhopur,113,2017-03,32470,462,99,33567,23724,0,0,0,31035,,1,374
Sikar,114,2017-03,46048,429,100,47020,30553,0,0,0,48551,,1,607
Sirohi,115,2017-03,25472,685,98,24388,13344,5,1,2,22804,,0,254
Tonk,116,2017-03,26860,424,99,26561,18869,0,0,0,26749,,0,315
Udaipur,117,2017-03,68437,1868,99.3,73213,51514,519,405,386,78618,,0,1126
Ariyalur,610,2017-03,7991,33,100.1,9846,9845,0,0,0,10495,,0,74
Chennai,568,2017-03,97115,819,100,78028,78308,0,0,0,70973,,266,828
Coimbatore,569,2017-03,44486,77,99.9,44075,43940,0,0,0,38714,,8,351
Cuddalore,570,2017-03,36524,83,99.9,33122,32550,0,0,0,29640,,52,19
Dharmapuri,571,2017-03,22107,207,99.1,23990,23951,0,0,0,23210,,0,454
Dindigul,572,2017-03,27830,166,99.6,25990,25919,0,0,0,23394,,10,26
Erode,573,2017-03,27239,181,100.2,25197,25173,0,0,0,25317,,113,81
Kanchipuram,574,2017-03,37658,91,100,42219,42165,0,0,0,47382,,45,8
Kanniyakumari,575,2017-03,22531,56,100,23534,23509,0,0,0,22518,,0,60
Karur,576,2017-03,10659,43,100.1,11399,11374,0,0,0,10631,,0,59
Krishnagiri,577,2017-03,23311,249,99.4,24233,24153,0,0,0,21297,,2,88
Madurai,578,2017-03,42132,96,100.1,45416,46387,0,0,0,45062,,0,395
Nagapattinam,579,2017-03,15082,56,100,18669,18636,0,0,0,18801,,12,14
Namakkal,580,2017-03,16065,40,100.1,17624,17624,0,0,0,18453,,13,57
The nilgiris,587,2017-03,5516,27,99.9,6178,6162,0,0,0,7391,,117,4
Perambalur,581,2017-03,7515,35,100,7054,7050,0,0,0,7519,,0,41
Pudukkottai,582,2017-03,20130,109,102.2,22145,21766,0,0,0,22637,,1,47
Ramanathapuram,583,2017-03,17018,59,100.1,17636,17873,0,0,0,17239,,0,41
Salem,584,2017-03,44568,308,100.1,50043,50025,0,0,0,45685,,6,10
Sivaganga,585,2017-03,16071,129,99.6,15921,15871,0,0,0,15441,,0,51
Thanjavur,586,2017-03,40014,355,100,29932,29829,0,0,0,27414,,0,43
Theni,588,2017-03,15710,48,99.8,14995,15136,0,0,0,13844,,0,117
Thiruvallur,589,2017-03,22315,64,100,31397,31381,0,0,0,31755,,6,27
Thiruvarur,590,2017-03,14916,12,100,15425,15431,0,0,0,14667,,0,163
Tiruchirappalli,591,2017-03,34792,120,100,34571,34902,0,0,0,37172,,0,258
Tirunelveli,592,2017-03,40152,168,99.7,37631,37776,0,0,0,38476,,7,11
Tiruppur,634,2017-03,22771,296,99.4,29099,29079,0,0,0,25878,,2,186
Tiruvannamalai,593,2017-03,27396,266,100.2,32356,32337,0,0,0,31726,,0,136
Tuticorin,594,2017-03,20823,78,99.9,20884,20898,0,0,0,18898,,0,75
Villupuram,596,2017-03,37307,341,99.3,47062,46922,0,0,0,48396,,7,506
Virudhunagar,597,2017-03,23725,125,99.5,21860,21876,0,0,0,21677,,27,69
Adilabad,501,2017-03,40228,563,99.7,39262,35500,958,927,917,44352,,0,44
Bhadradri kothagudem,690,2017-03,9242,160,104.9,14785,9943,46,54,58,17907,,0,90
Hyderabad,507,2017-03,113057,1242,115.2,111941,93076,3043,2203,2270,78112,,3,5
Jagitial,681,2017-03,6190,76,195.3,5814,5550,1495,1523,1609,16543,,0,7
Jangoan,689,2017-03,2101,10,130.2,4401,2561,55,9,36,7002,,0,3
Jayashankar bhupalapally,687,2017-03,2530,32,109.4,6475,4229,65,35,144,9669,,0,11
Jogulamba gadwal,695,2017-03,3242,23,101.9,10541,10401,122,26,22,12341,,0,28
Kamareddy,685,2017-03,5020,49,107.8,7111,6243,106,32,69,16531,,1,20
Kumuram bheem asifabad,699,2017-03,3617,68,100.5,8563,8581,321,303,316,8334,,0,18
Karimnagar,508,2017-03,17635,160,39.1,43209,42739,2716,2102,2510,62491,,0,30
Khammam,509,2017-03,29592,189,100.7,36879,25755,639,514,450,42330,,0,139
Mahabubabad,688,2017-03,1906,14,126.8,8439,6581,125,129,94,11995,,0,27
Mancherial,684,2017-03,2635,68,101.1,5046,4731,302,320,270,11366,,0,18
Medchal malkajgiri,700,2017-03,2000,10,100,20940,23324,163,171,182,50288,,0,
Mahabubnagar,512,2017-03,64120,768,101.7,99433,55860,2043,1176,1809,77425,,23,125
Medak,513,2017-03,38671,226,100.2,24025,23334,2903,1860,1894,49658,,12,127
Nagarkurnool,694,2017-03,3360,91,108.4,13979,6538,133,120,105,14027,,0,27
Nirmal,680,2017-03,3400,44,105.5,10073,7880,137,110,123,10180,,0,2
Nalgonda,514,2017-03,52673,646,120.2,50811,47503,948,726,853,53198,,14,175
Nizamabad,516,2017-03,43091,693,100,42684,41085,200,67,118,45617,,1,57
Peddapalli,682,2017-03,3261,14,126,2762,2700,166,109,170,12390,,0,22
Rajanna sircilla,683,2017-03,2190,5,106.1,1834,1358,41,30,29,8850,,0,
Ranga reddy,518,2017-03,65304,121,99.3,80995,62963,663,695,831,107139,,0,21
Sangareddy,691,2017-03,13533,57,100.2,14462,13800,791,629,726,24806,,4,71
Siddipet,692,2017-03,9015,22,104.1,8801,8355,2016,1107,957,16317,,17,27
Suryapet,696,2017-03,15083,317,512.7,15564,14008,795,612,662,16116,,0,34
Vikarabad,698,2017-03,5783,44,99.3,18345,14147,0,0,70,17290,,0,18
Wanaparthy,693,2017-03,2161,39,121.4,8746,6716,112,83,126,9111,,2,17
Warangal rural,522,2017-03,1961,60,109.8,3448,2571,437,277,294,8998,,1,25
Warangal urban,686,2017-03,45533,331,102.4,41413,34301,1727,750,1453,51562,,10,61
Yadadri bhuvanagiri,697,2017-03,11790,73,408.7,12175,11989,5,1,27,10379,,0,22
Dhalai,269,2017-03,5419,99,98.6,5841,2177,303,384,660,5668,,1,108
Gomati,654,2017-03,5938,92,99.2,6142,4935,61,144,318,5418,,0,34
Khowai,652,2017-03,2709,37,98.8,3158,1551,25,72,177,4406,,2,21
North tripura,270,2017-03,5198,114,98.6,5714,1933,136,296,532,5262,,0,83
Sepahijala,653,2017-03,3662,48,99.1,5126,2209,37,86,293,6625,,0,38
South tripura,271,2017-03,4814,42,99.3,5275,3952,26,142,380,5910,,6,23
Unakoti,655,2017-03,4108,77,98.3,3816,881,82,230,452,4145,,26,57
West tripura,272,2017-03,16956,382,98.2,16298,11839,447,391,644,12547,,1,209
Agra,118,2017-03,53691,1164,97.2,119087,62409,6563,9310,14303,109094,,39,13
Aligarh,119,2017-03,78152,402,99.5,91018,46150,1267,3111,7577,79991,,0,
Prayagraj,120,2017-03,82447,738,99.3,162493,51871,9257,19911,32472,146290,,104,90
Ambedkar nagar,121,2017-03,42146,581,99,50026,26880,54,314,1028,45392,,0,50
Auraiya,122,2017-03,21347,209,97.4,31664,12534,0,0,0,28570,,119,4
Azamgarh,123,2017-03,70725,905,110.4,100187,39758,6587,12830,20182,87248,,466,
Baghpat,124,2017-03,22712,160,99.8,29959,18706,69,426,1390,29654,,0,
Bahraich,125,2017-03,82286,2177,100.6,93356,45893,9273,11487,15211,73224,,162,52
Ballia,126,2017-03,54880,302,99.7,70776,25269,1453,6063,9753,63878,,16,
Banda,128,2017-03,35186,718,100.6,40810,28632,4067,4877,6759,43538,,590,3
Barabanki,129,2017-03,59222,1222,100.1,84192,32207,723,1564,3560,74714,,0,49
Bareilly,130,2017-03,72730,765,99.2,107344,53622,1864,3772,8479,108059,,0,
Basti,131,2017-03,48575,563,104,65619,33056,433,485,938,57525,,3,69
Bijnor,132,2017-03,65884,1138,120,79449,40570,2404,3172,5310,72255,,1,46
Budaun,133,2017-03,68479,902,98.8,86525,50004,2495,4575,9119,70625,,18,18
Bulandshahr,134,2017-03,55331,503,102.1,97951,50800,891,4022,9669,90872,,0,3
Amethi,640,2017-03,30274,557,104.6,40917,21562,217,1116,2810,39263,,81,35
Chandauli,135,2017-03,29543,300,106.6,43167,16548,963,2663,4702,43875,,172,20
Chitrakoot,136,2017-03,18510,241,98.8,22723,14790,135,731,2174,23519,,182,9
Deoria,137,2017-03,57137,561,108.4,77276,30346,638,2336,5607,74788,,27,
Etah,138,2017-03,30046,453,96.8,47104,23337,2768,4353,6607,43648,,4,115
Etawah,139,2017-03,33367,398,99.1,42252,30642,154,404,1350,36252,,1500,
Farrukhabad,141,2017-03,39188,604,99.7,52890,28276,2593,4046,5491,42627,,18,
Fatehpur,142,2017-03,46151,630,98.9,57342,34242,208,1728,4152,57747,,38,9
Gautam buddha nagar,144,2017-03,41528,322,99.7,51059,31333,5855,5189,7408,48860,,0,
Ghaziabad,145,2017-03,71757,543,147.2,97204,59770,4703,6524,9986,106100,,2842,23
Ghazipur,146,2017-03,61680,637,106.4,93463,35246,752,2655,5844,85372,,3,2
Gonda,147,2017-03,72807,1200,101.6,101637,40591,1173,4023,8508,77952,,1457,21
Gorakhpur,148,2017-03,75081,601,124,119514,50905,11427,12738,16096,106901,,2,1
Hapur,661,2017-03,16848,231,153.8,29000,13207,1716,1209,2066,27148,,125,12
Hardoi,150,2017-03,88212,1726,94.8,105187,64408,1137,3886,8960,92598,,9,123
Hathras,163,2017-03,47028,176,107.2,43258,23268,617,883,1918,41664,,0,
Jalaun,151,2017-03,25649,425,99.7,37807,23171,666,1390,2398,39013,,254,64
Jaunpur,152,2017-03,78892,1382,99.6,120620,50835,162,1723,4995,104851,,0,
Jhansi,153,2017-03,35413,450,99.5,48688,29502,1022,1106,1916,45769,,0,118
Amroha,154,2017-03,28284,360,98.9,45077,21419,1396,2227,4067,41609,,0,11
Kannauj,155,2017-03,37310,578,88.1,38671,18951,1445,1923,3612,30407,,0,
Kanpur dehat,156,2017-03,27236,337,99.2,39121,23102,755,1773,2975,35078,,0,10
Kanpur nagar,157,2017-03,110650,550,107.1,144800,64888,1006,9276,14824,135551,,11,
Kasganj,633,2017-03,31113,732,98.2,38195,19328,1633,1899,2951,34928,,4,41
Kaushambi,158,2017-03,33484,585,98.8,43374,22599,398,1868,4168,40650,,52,23
Kushi nagar,160,2017-03,74468,790,114.8,80026,28896,2159,6833,11608,78083,,304,13
Kheri,159,2017-03,83223,1708,99.3,91225,46074,663,2745,6971,85895,,32,22
Lalitpur,161,2017-03,27904,447,98.4,29207,24335,542,1389,3561,29669,,25,87
Lucknow,162,2017-03,57706,1569,96,144286,89953,4444,6044,9549,128766,,234,192
Maharajganj,164,2017-03,50080,639,99,61301,25413,543,2238,5592,61503,,169,20
Mahoba,165,2017-03,12832,75,99.8,16916,12956,50,258,805,21152,,17,23
Mainpuri,166,2017-03,35569,305,101.6,48147,26504,565,853,1551,51648,,2,
