InChIKey|dcid|IUPACName|Name|CommonName|TypeOf|Symbol|InChI|Type|AtomicNumber|CID|SameAs|Input
KSMVNVHUTQZITP-UHFFFAOYSA-N|inChIKey/KSMVNVHUTQZITP-UHFFFAOYSA-N|2,3,7,8-tetrachlorodibenzofuran|TETRACHLORODIBENZOFURAN|2,3,7,8-TETRACHLORODIBENZOFURAN|dcs:ChemicalCompound|C12H4Cl4O|InChI=1S/C12H4Cl4O/c13-7-1-5-6-2-8(14)10(16)4-12(6)17-11(5)3-9(7)15/h1-4H|||39929|dcid:bio/CHEMBL136710|2,3,7,8-TETRACHLORODIBENZOFURAN
LHJGJYXLEPZJPM-UHFFFAOYSA-N|inChIKey/LHJGJYXLEPZJPM-UHFFFAOYSA-N|2,4,5-trichlorophenol|TRICHLOROPHENOL|2,4,5-TRICHLOROPHENOL|dcs:ChemicalCompound|C6H3Cl3O|InChI=1S/C6H3Cl3O/c7-3-1-5(9)6(10)2-4(3)8/h1-2,10H|||7271||2,4,5-TRICHLOROPHENOL
SMYMJHWAQXWPDB-UHFFFAOYSA-N|inChIKey/SMYMJHWAQXWPDB-UHFFFAOYSA-N|2-(2,4,5-trichlorophenoxy)acetic acid|"2-(2,4,5-trichlorophenoxy)acetic acid|TRICHLOROPHENOXYACETICACID"|2-(2,4,5-TRICHLOROPHENOXY)ACETIC ACID|dcs:ChemicalCompound|C8H5Cl3O3|InChI=1S/C8H5Cl3O3/c9-4-1-6(11)7(2-5(4)10)14-3-8(12)13/h1-2H,3H2,(H,12,13)|||1480|dcid:bio/CHEMBL194458|2,4,5-TRICHLOROPHENOXYACETIC ACID
LINPIYWFGCPVIE-UHFFFAOYSA-N|inChIKey/LINPIYWFGCPVIE-UHFFFAOYSA-N|2,4,6-trichlorophenol|TRICHLOROPHENOL|2,4,6-TRICHLOROPHENOL|dcs:ChemicalCompound|C6H3Cl3O|InChI=1S/C6H3Cl3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H|||6914|dcid:bio/CHEMBL309917|2,4,6-TRICHLOROPHENOL
OXNIZHLAWKMVMX-UHFFFAOYSA-N|inChIKey/OXNIZHLAWKMVMX-UHFFFAOYSA-N|2,4,6-trinitrophenol|TRINITROPHENOL|2,4,6-TRINITROPHENOL|dcs:ChemicalCompound|C6H3N3O7|InChI=1S/C6H3N3O7/c10-6-4(8(13)14)1-3(7(11)12)2-5(6)9(15)16/h1-2,10H|||6954||2,4,6-TRINITROPHENOL
SPSSULHKWOKEEL-UHFFFAOYSA-N|inChIKey/SPSSULHKWOKEEL-UHFFFAOYSA-N|2-methyl-1,3,5-trinitrobenzene|"2-methyl-1,3,5-trinitrobenzene|TRINITROTOLUENE"|2-METHYL-1,3,5-TRINITROBENZENE|dcs:ChemicalCompound|C7H5N3O6|InChI=1S/C7H5N3O6/c1-4-6(9(13)14)2-5(8(11)12)3-7(4)10(15)16/h2-3H,1H3|||8376||2,4,6-TRINITROTOLUENE
HFZWRUODUSTPEG-UHFFFAOYSA-N|inChIKey/HFZWRUODUSTPEG-UHFFFAOYSA-N|2,4-dichlorophenol|DICHLOROPHENOL|2,4-DICHLOROPHENOL|dcs:ChemicalCompound|C6H4Cl2O|InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H|||8449||2,4-DICHLOROPHENOL
OVSKIKFHRZPJSS-UHFFFAOYSA-N|inChIKey/OVSKIKFHRZPJSS-UHFFFAOYSA-N|2-(2,4-dichlorophenoxy)acetic acid|"2-(2,4-dichlorophenoxy)acetic acid|DICHLOROPHENOXYACETICACID"|2-(2,4-DICHLOROPHENOXY)ACETIC ACID|dcs:ChemicalCompound|C8H6Cl2O3|InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)|||1486||2,4-DICHLOROPHENOXYACETIC ACID
KUFFULVDNCHOFZ-UHFFFAOYSA-N|inChIKey/KUFFULVDNCHOFZ-UHFFFAOYSA-N|2,4-dimethylphenol|DIMETHYLPHENOL|2,4-DIMETHYLPHENOL|dcs:ChemicalCompound|C8H10O|InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3|||7771|dcid:bio/CHEMBL29878|2,4-DIMETHYLPHENOL
UFBJCMHMOXMLKC-UHFFFAOYSA-N|inChIKey/UFBJCMHMOXMLKC-UHFFFAOYSA-N|2,4-dinitrophenol|DINITROPHENOL|2,4-DINITROPHENOL|dcs:ChemicalCompound|C6H4N2O5|InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H|||1493|dcid:bio/CHEMBL273386|2,4-DINITROPHENOL
RMBFBMJGBANMMK-UHFFFAOYSA-N|inChIKey/RMBFBMJGBANMMK-UHFFFAOYSA-N|1-methyl-2,4-dinitrobenzene|"1-methyl-2,4-dinitrobenzene|DINITROTOLUENE"|1-METHYL-2,4-DINITROBENZENE|dcs:ChemicalCompound|C7H6N2O4|InChI=1S/C7H6N2O4/c1-5-2-3-6(8(10)11)4-7(5)9(12)13/h2-4H,1H3|||8461|dcid:bio/CHEMBL259865|2,4-DINITROTOLUENE
SJYNFBVQFBRSIB-UHFFFAOYSA-N|inChIKey/SJYNFBVQFBRSIB-UHFFFAOYSA-N|\"bicyclo[2.2.1]hepta-2,5-diene\"|"\"bicyclo[2.2.1]hepta-2,5-diene\"|\"NORBORNADIENE\""|\"BICYCLO[2.2.1]HEPTA-2,5-DIENE\"|dcs:ChemicalCompound|C7H8|InChI=1S/C7H8/c1-2-7-4-3-6(1)5-7/h1-4,6-7H,5H2|||8473||2,5-NORBORNADIENE
XTRDKALNCIHHNI-UHFFFAOYSA-N|inChIKey/XTRDKALNCIHHNI-UHFFFAOYSA-N|2-methyl-1,3-dinitrobenzene|"2-methyl-1,3-dinitrobenzene|DINITROTOLUENE"|2-METHYL-1,3-DINITROBENZENE|dcs:ChemicalCompound|C7H6N2O4|InChI=1S/C7H6N2O4/c1-5-6(8(10)11)3-2-4-7(5)9(12)13/h2-4H,1H3|||11813|dcid:bio/CHEMBL1328508|2,6-DINITROTOLUENE
IEEJAAUSLQCGJH-UHFFFAOYSA-N|inChIKey/IEEJAAUSLQCGJH-UHFFFAOYSA-N|2-methyl-3,5-dinitroaniline|"2-methyl-3,5-dinitroaniline|AMINODINITROTOLUENE"|2-METHYL-3,5-DINITROANILINE|dcs:ChemicalCompound|C7H7N3O4|InChI=1S/C7H7N3O4/c1-4-6(8)2-5(9(11)12)3-7(4)10(13)14/h2-3H,8H2,1H3|||37182||2-AMINO-4,6-DINITROTOLUENE
ICSNLGPSRYBMBD-UHFFFAOYSA-N|inChIKey/ICSNLGPSRYBMBD-UHFFFAOYSA-N|pyridin-2-amine|"pyridin-2-amine|AMINOPYRIDINE"|PYRIDIN-2-AMINE|dcs:ChemicalCompound|C5H6N2|InChI=1S/C5H6N2/c6-5-3-1-2-4-7-5/h1-4H,(H2,6,7)|||10439||2-AMINOPYRIDINE
LGRFSURHDFAFJT-UHFFFAOYSA-N|inChIKey/LGRFSURHDFAFJT-UHFFFAOYSA-N|2-benzofuran-1,3-dione|"2-benzofuran-1,3-dione|BENZOFURANDIONE"|2-BENZOFURAN-1,3-DIONE|dcs:ChemicalCompound|C8H4O3|InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H|||6811||2-BENZOFURAN-1,3-DIONE
POAOYUHQDCAZBD-UHFFFAOYSA-N|inChIKey/POAOYUHQDCAZBD-UHFFFAOYSA-N|2-butoxyethanol|BUTOXYETHANOL|2-BUTOXYETHANOL|dcs:ChemicalCompound|C6H14O2|InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3|||8133|dcid:bio/CHEMBL284588|2-BUTOXYETHANOL
IMACFCSSMIZSPP-UHFFFAOYSA-N|inChIKey/IMACFCSSMIZSPP-UHFFFAOYSA-N|2-chloro-1-phenylethanone|"2-chloro-1-phenylethanone|CHLOROPHENYLETHANONE"|2-CHLORO-1-PHENYLETHANONE|dcs:ChemicalCompound|C8H7ClO|InChI=1S/C8H7ClO/c9-6-8(10)7-4-2-1-3-5-7/h1-5H,6H2|||10757||2-CHLORO-1-PHENYLETHANONE
AKCRQHGQIJBRMN-UHFFFAOYSA-N|inChIKey/AKCRQHGQIJBRMN-UHFFFAOYSA-N|2-chloroaniline|CHLOROANILINE|2-CHLOROANILINE|dcs:ChemicalCompound|C6H6ClN|InChI=1S/C6H6ClN/c7-5-3-1-2-4-6(5)8/h1-4H,8H2|||7240||2-CHLOROANILINE
CGYGETOMCSJHJU-UHFFFAOYSA-N|inChIKey/CGYGETOMCSJHJU-UHFFFAOYSA-N|2-chloronaphthalene|CHLORONAPHTHALENE|2-CHLORONAPHTHALENE|dcs:ChemicalCompound|C10H7Cl|InChI=1S/C10H7Cl/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H|||7056||2-CHLORONAPHTHALENE
ISPYQTSUDJAMAB-UHFFFAOYSA-N|inChIKey/ISPYQTSUDJAMAB-UHFFFAOYSA-N|2-chlorophenol|CHLOROPHENOL|2-CHLOROPHENOL|dcs:ChemicalCompound|C6H5ClO|InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H|||7245||2-CHLOROPHENOL
ZNQVEEAIQZEUHB-UHFFFAOYSA-N|inChIKey/ZNQVEEAIQZEUHB-UHFFFAOYSA-N|2-ethoxyethanol|ETHOXYETHANOL|2-ETHOXYETHANOL|dcs:ChemicalCompound|C4H10O2|InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3|||8076||2-ETHOXYETHANOL
QEWYKACRFQMRMB-UHFFFAOYSA-N|inChIKey/QEWYKACRFQMRMB-UHFFFAOYSA-N|2-fluoroacetic acid|"2-fluoroacetic acid|FLUOROACETICACID"|2-FLUOROACETIC ACID|dcs:ChemicalCompound|C2H3FO2|InChI=1S/C2H3FO2/c3-1-2(4)5/h1H2,(H,4,5)|||5237||2-FLUOROACETIC ACID
QQZOPKMRPOGIEB-UHFFFAOYSA-N|inChIKey/QQZOPKMRPOGIEB-UHFFFAOYSA-N|hexan-2-one|"hexan-2-one|HEXANONE"|HEXAN-2-ONE|dcs:ChemicalCompound|C6H12O|InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3|||11583|dcid:bio/CHEMBL195861|2-HEXANONE
UKXSKSHDVLQNKG-UHFFFAOYSA-N|inChIKey/UKXSKSHDVLQNKG-UHFFFAOYSA-N|2-hydroxy-2,2-diphenylacetic acid|"2-hydroxy-2,2-diphenylacetic acid|HYDROXYDIPHENYLACETICACID"|2-HYDROXY-2,2-DIPHENYLACETIC ACID|dcs:ChemicalCompound|C14H12O3|InChI=1S/C14H12O3/c15-13(16)14(17,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10,17H,(H,15,16)|||6463||2-HYDROXY-2,2-DIPHENYLACETIC ACID
RRHGJUQNOFWUDK-UHFFFAOYSA-N|inChIKey/RRHGJUQNOFWUDK-UHFFFAOYSA-N|2-methylbuta-1,3-diene|"2-methylbuta-1,3-diene|METHYLBUTADIENE"|2-METHYLBUTA-1,3-DIENE|dcs:ChemicalCompound|C5H8|InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3|||6557||2-METHYL-1,3-BUTADIENE
DKGAVHZHDRPRBM-UHFFFAOYSA-N|inChIKey/DKGAVHZHDRPRBM-UHFFFAOYSA-N|2-methylpropan-2-ol|"2-methylpropan-2-ol|METHYLPROPANOL"|2-METHYLPROPAN-2-OL|dcs:ChemicalCompound|C4H10O|InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3|||6386||2-METHYL-2-PROPANOL
RNVCVTLRINQCPJ-UHFFFAOYSA-N|inChIKey/RNVCVTLRINQCPJ-UHFFFAOYSA-N|2-methylaniline|METHYLANILINE|2-METHYLANILINE|dcs:ChemicalCompound|C7H9N|InChI=1S/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3|||7242||2-METHYLANILINE
QIMMUPPBPVKWKM-UHFFFAOYSA-N|inChIKey/QIMMUPPBPVKWKM-UHFFFAOYSA-N|2-methylnaphthalene|METHYLNAPHTHALENE|2-METHYLNAPHTHALENE|dcs:ChemicalCompound|C11H10|InChI=1S/C11H10/c1-9-6-7-10-4-2-3-5-11(10)8-9/h2-8H,1H3|||7055|dcid:bio/CHEMBL195895|2-METHYLNAPHTHALENE
GOOHAUXETOMSMM-UHFFFAOYSA-N|inChIKey/GOOHAUXETOMSMM-UHFFFAOYSA-N|2-methyloxirane|METHYLOXIRANE|2-METHYLOXIRANE|dcs:ChemicalCompound|C3H6O|InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3|||6378||2-METHYLOXIRANE
QWVGKYWNOKOFNN-UHFFFAOYSA-N|inChIKey/QWVGKYWNOKOFNN-UHFFFAOYSA-N|2-methylphenol|"2-methylphenol|METHYLPHENOLOCRESOL"|2-METHYLPHENOL|dcs:ChemicalCompound|C7H8O|InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3|||335||2-METHYLPHENOL (O-CRESOL)
GYCMBHHDWRMZGG-UHFFFAOYSA-N|inChIKey/GYCMBHHDWRMZGG-UHFFFAOYSA-N|2-methylprop-2-enenitrile|"2-methylprop-2-enenitrile|METHYLPROPENENITRILE"|2-METHYLPROP-2-ENENITRILE|dcs:ChemicalCompound|C4H5N|InChI=1S/C4H5N/c1-4(2)3-5/h1H2,2H3|||31368||2-METHYLPROP-2-ENENITRILE
JBIJLHTVPXGSAM-UHFFFAOYSA-N|inChIKey/JBIJLHTVPXGSAM-UHFFFAOYSA-N|naphthalen-2-amine|"naphthalen-2-amine|NAPHTHALENAMINE"|NAPHTHALEN-2-AMINE|dcs:ChemicalCompound|C10H9N|InChI=1S/C10H9N/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,11H2|||7057|dcid:bio/CHEMBL278164|2-NAPHTHALENAMINE
DPJCXCZTLWNFOH-UHFFFAOYSA-N|inChIKey/DPJCXCZTLWNFOH-UHFFFAOYSA-N|2-nitroaniline|NITROANILINE|2-NITROANILINE|dcs:ChemicalCompound|C6H6N2O2|InChI=1S/C6H6N2O2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,7H2|||6946|dcid:bio/CHEMBL274009|2-NITROANILINE
IQUPABOKLQSFBK-UHFFFAOYSA-N|inChIKey/IQUPABOKLQSFBK-UHFFFAOYSA-N|2-nitrophenol|NITROPHENOL|2-NITROPHENOL|dcs:ChemicalCompound|C6H5NO3|InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H|||6947||2-NITROPHENOL
ZAFNJMIOTHYJRJ-UHFFFAOYSA-N|inChIKey/ZAFNJMIOTHYJRJ-UHFFFAOYSA-N|2-propan-2-yloxypropane|"2-propan-2-yloxypropane|PROPANYLOXYPROPANE"|2-PROPAN-2-YLOXYPROPANE|dcs:ChemicalCompound|C6H14O|InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3|||7914|dcid:bio/CHEMBL3185565|2-PROPAN-2-YLOXYPROPANE
KFZMGEQAYNKOFK-UHFFFAOYSA-N|inChIKey/KFZMGEQAYNKOFK-UHFFFAOYSA-N|propan-2-ol|"propan-2-ol|PROPANOL"|PROPAN-2-OL|dcs:ChemicalCompound|C3H8O|InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3|||3776||2-PROPANOL
VZCYOOQTPOCHFL-UPHRSURJSA-N|inChIKey/VZCYOOQTPOCHFL-UPHRSURJSA-N|(Z)-but-2-enedioic acid|"(Z)-but-2-enedioic acid|ZBUTENEDIOICACID"|(Z)-BUT-2-ENEDIOIC ACID|dcs:ChemicalCompound|C4H4O4|InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1-|||444266||(2Z)-2-BUTENEDIOIC ACID
BMLIZLVNXIYGCK-UHFFFAOYSA-N|inChIKey/BMLIZLVNXIYGCK-UHFFFAOYSA-N|3-(4-chlorophenyl)-1,1-dimethylurea|"3-(4-chlorophenyl)-1,1-dimethylurea|CHLOROPHENYLDIMETHYLUREA"|3-(4-CHLOROPHENYL)-1,1-DIMETHYLUREA|dcs:ChemicalCompound|C9H11ClN2O|InChI=1S/C9H11ClN2O/c1-12(2)9(13)11-8-5-3-7(10)4-6-8/h3-6H,1-2H3,(H,11,13)|||8800||3-(4-CHLOROPHENYL)-1,1-DIMETHYLUREA
HJOVHMDZYOCNQW-UHFFFAOYSA-N|inChIKey/HJOVHMDZYOCNQW-UHFFFAOYSA-N|3,5,5-trimethylcyclohex-2-en-1-one|"3,5,5-trimethylcyclohex-2-en-1-one|TRIMETHYLCYCLOHEXENONE"|3,5,5-TRIMETHYLCYCLOHEX-2-EN-1-ONE|dcs:ChemicalCompound|C9H14O|InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3|||6544||3,5,5-TRIMETHYLCYCLOHEX-2-EN-1-ONE
IWEDIXLBFLAXBO-UHFFFAOYSA-N|inChIKey/IWEDIXLBFLAXBO-UHFFFAOYSA-N|3,6-dichloro-2-methoxybenzoic acid|"3,6-dichloro-2-methoxybenzoic acid|DICHLOROMETHOXYBENZOICACID"|3,6-DICHLORO-2-METHOXYBENZOIC ACID|dcs:ChemicalCompound|C8H6Cl2O3|InChI=1S/C8H6Cl2O3/c1-13-7-5(10)3-2-4(9)6(7)8(11)12/h2-3H,1H3,(H,11,12)|||3030||3,6-DICHLORO-2-METHOXYBENZOIC ACID
PNPCRKVUWYDDST-UHFFFAOYSA-N|inChIKey/PNPCRKVUWYDDST-UHFFFAOYSA-N|3-chloroaniline|CHLOROANILINE|3-CHLOROANILINE|dcs:ChemicalCompound|C6H6ClN|InChI=1S/C6H6ClN/c7-5-2-1-3-6(8)4-5/h1-4H,8H2|||7932||3-CHLOROANILINE
XJCVRTZCHMZPBD-UHFFFAOYSA-N|inChIKey/XJCVRTZCHMZPBD-UHFFFAOYSA-N|3-nitroaniline|NITROANILINE|3-NITROANILINE|dcs:ChemicalCompound|C6H6N2O2|InChI=1S/C6H6N2O2/c7-5-2-1-3-6(4-5)8(9)10/h1-4H,7H2|||7423||3-NITROANILINE
YIVXMZJTEQBPQO-UHFFFAOYSA-N|inChIKey/YIVXMZJTEQBPQO-UHFFFAOYSA-N|4-(2,4-dichlorophenoxy)butanoic acid|"4-(2,4-dichlorophenoxy)butanoic acid|DICHLOROPHENOXYBUTANOICACID"|4-(2,4-DICHLOROPHENOXY)BUTANOIC ACID|dcs:ChemicalCompound|C10H10Cl2O3|InChI=1S/C10H10Cl2O3/c11-7-3-4-9(8(12)6-7)15-5-1-2-10(13)14/h3-4,6H,1-2,5H2,(H,13,14)|||1489||4-(2,4-DICHLOROPHENOXY)BUTANOIC ACID
HUWXDEQWWKGHRV-UHFFFAOYSA-N|inChIKey/HUWXDEQWWKGHRV-UHFFFAOYSA-N|4-(4-amino-3-chlorophenyl)-2-chloroaniline|"4-(4-amino-3-chlorophenyl)-2-chloroaniline|AMINOCHLOROPHENYLCHLOROANILINE"|4-(4-AMINO-3-CHLOROPHENYL)-2-CHLOROANILINE|dcs:ChemicalCompound|C12H10Cl2N2|InChI=1S/C12H10Cl2N2/c13-9-5-7(1-3-11(9)15)8-2-4-12(16)10(14)6-8/h1-6H,15-16H2|||7070|dcid:bio/CHEMBL314470|4-(4-AMINO-3-CHLOROPHENYL)-2-CHLOROANILINE
NUIURNJTPRWVAP-UHFFFAOYSA-N|inChIKey/NUIURNJTPRWVAP-UHFFFAOYSA-N|4-(4-amino-3-methylphenyl)-2-methylaniline|"4-(4-amino-3-methylphenyl)-2-methylaniline|AMINOMETHYLPHENYLMETHYLANILINE"|4-(4-AMINO-3-METHYLPHENYL)-2-METHYLANILINE|dcs:ChemicalCompound|C14H16N2|InChI=1S/C14H16N2/c1-9-7-11(3-5-13(9)15)12-4-6-14(16)10(2)8-12/h3-8H,15-16H2,1-2H3|||8413||4-(4-AMINO-3-METHYLPHENYL)-2-METHYLANILINE
IBOFVQJTBBUKMU-UHFFFAOYSA-N|inChIKey/IBOFVQJTBBUKMU-UHFFFAOYSA-N|\"4-[(4-amino-3-chlorophenyl)methyl]-2-chloroaniline\"|"\"4-[(4-amino-3-chlorophenyl)methyl]-2-chloroaniline\"|\"METHYLENEBISCHLOROANILINE\""|\"4-[(4-AMINO-3-CHLOROPHENYL)METHYL]-2-CHLOROANILINE\"|dcs:ChemicalCompound|C13H12Cl2N2|InChI=1S/C13H12Cl2N2/c14-10-6-8(1-3-12(10)16)5-9-2-4-13(17)11(15)7-9/h1-4,6-7H,5,16-17H2|||7543||4,4'-METHYLENEBIS(2-CHLOROANILINE)
KQRJATLINVYHEZ-UHFFFAOYSA-N|inChIKey/KQRJATLINVYHEZ-UHFFFAOYSA-N|4-methyl-3,5-dinitroaniline|"4-methyl-3,5-dinitroaniline|AMINODINITROTOLUENE"|4-METHYL-3,5-DINITROANILINE|dcs:ChemicalCompound|C7H7N3O4|InChI=1S/C7H7N3O4/c1-4-6(9(11)12)2-5(8)3-7(4)10(13)14/h2-3H,8H2,1H3|||29574||4-AMINO-2,6-DINITROTOLUENE
WHKUVVPPKQRRBV-UHFFFAOYSA-N|inChIKey/WHKUVVPPKQRRBV-UHFFFAOYSA-N|2-(4-chloro-2-methylphenoxy)acetic acid|"2-(4-chloro-2-methylphenoxy)acetic acid|CHLOROMETHYLPHENOXYACETICACID"|2-(4-CHLORO-2-METHYLPHENOXY)ACETIC ACID|dcs:ChemicalCompound|C9H9ClO3|InChI=1S/C9H9ClO3/c1-6-4-7(10)2-3-8(6)13-5-9(11)12/h2-4H,5H2,1H3,(H,11,12)|||7204||(4-CHLORO-2-METHYLPHENOXY)ACETIC ACID
CFKMVGJGLGKFKI-UHFFFAOYSA-N|inChIKey/CFKMVGJGLGKFKI-UHFFFAOYSA-N|4-chloro-3-methylphenol|"4-chloro-3-methylphenol|CHLOROMETHYLPHENOL"|4-CHLORO-3-METHYLPHENOL|dcs:ChemicalCompound|C7H7ClO|InChI=1S/C7H7ClO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,1H3|||1732||4-CHLORO-3-METHYLPHENOL
QSNSCYSYFYORTR-UHFFFAOYSA-N|inChIKey/QSNSCYSYFYORTR-UHFFFAOYSA-N|4-chloroaniline|CHLOROANILINE|4-CHLOROANILINE|dcs:ChemicalCompound|C6H6ClN|InChI=1S/C6H6ClN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2|||7812||4-CHLOROANILINE
FDTQTOKRWQJRAC-UHFFFAOYSA-N|inChIKey/FDTQTOKRWQJRAC-UHFFFAOYSA-N|4-(1-cyanoethyl)-1,2,3,4-tetrahydronaphthalene-1-carbonitrile|"4-(1-cyanoethyl)-1,2,3,4-tetrahydronaphthalene-1-carbonitrile|CYANOTETRAHYDROALPHAMETHYLNAPHTHALENEACETONITRILE"|4-(1-CYANOETHYL)-1,2,3,4-TETRAHYDRONAPHTHALENE-1-CARBONITRILE|dcs:ChemicalCompound|C14H14N2|InChI=1S/C14H14N2/c1-10(8-15)12-7-6-11(9-16)13-4-2-3-5-14(12)13/h2-5,10-12H,6-7H2,1H3|||154379||4-CYANO-1,2,3,4-TETRAHYDRO-ALPHA-METHYL-1-NAPHTHALENEACETONITRILE
NWVVVBRKAWDGAB-UHFFFAOYSA-N|inChIKey/NWVVVBRKAWDGAB-UHFFFAOYSA-N|4-methoxyphenol|METHOXYPHENOL|4-METHOXYPHENOL|dcs:ChemicalCompound|C7H8O2|InChI=1S/C7H8O2/c1-9-7-4-2-6(8)3-5-7/h2-5,8H,1H3|||9015||4-METHOXYPHENOL
BLVHWJCLSMYFMT-UHFFFAOYSA-N|inChIKey/BLVHWJCLSMYFMT-UHFFFAOYSA-N|4-methylchrysene|METHYLCHRYSENE|4-METHYLCHRYSENE|dcs:ChemicalCompound|C19H14|InChI=1S/C19H14/c1-13-5-4-7-15-10-11-17-16-8-3-2-6-14(16)9-12-18(17)19(13)15/h2-12H,1H3|||18780||4-METHYLCHRYSENE
IWDCLRJOBJJRNH-UHFFFAOYSA-N|inChIKey/IWDCLRJOBJJRNH-UHFFFAOYSA-N|4-methylphenol|"4-methylphenol|METHYLPHENOLPCRESOL"|4-METHYLPHENOL|dcs:ChemicalCompound|C7H8O|InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3|||2879||4-METHYLPHENOL (P-CRESOL)
TYMLOMAKGOJONV-UHFFFAOYSA-N|inChIKey/TYMLOMAKGOJONV-UHFFFAOYSA-N|4-nitroaniline|NITROANILINE|4-NITROANILINE|dcs:ChemicalCompound|C6H6N2O2|InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2|||7475||4-NITROANILINE
BTJIUGUIPKRLHP-UHFFFAOYSA-N|inChIKey/BTJIUGUIPKRLHP-UHFFFAOYSA-N|4-nitrophenol|NITROPHENOL|4-NITROPHENOL|dcs:ChemicalCompound|C6H5NO3|InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H|||980||4-NITROPHENOL
OIJHFHYPXWSVPF-UHFFFAOYSA-N|inChIKey/OIJHFHYPXWSVPF-UHFFFAOYSA-N|4-nitroso-N-phenylaniline|"4-nitroso-N-phenylaniline|NITROSODIPHENYLAMINE"|4-NITROSO-N-PHENYLANILINE|dcs:ChemicalCompound|C12H10N2O|InChI=1S/C12H10N2O/c15-14-12-8-6-11(7-9-12)13-10-4-2-1-3-5-10/h1-9,13H|||9074||4-NITROSODIPHENYLAMINE
DMVOXQPQNTYEKQ-UHFFFAOYSA-N|inChIKey/DMVOXQPQNTYEKQ-UHFFFAOYSA-N|4-phenylaniline|PHENYLANILINE|4-PHENYLANILINE|dcs:ChemicalCompound|C12H11N|InChI=1S/C12H11N/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,13H2|||7102||4-PHENYLANILINE
UJOBWOGCFQCDNV-UHFFFAOYSA-N|inChIKey/UJOBWOGCFQCDNV-UHFFFAOYSA-N|9H-carbazole|"9H-carbazole|HCARBAZOLE"|9H-CARBAZOLE|dcs:ChemicalCompound|C12H9N|InChI=1S/C12H9N/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8,13H|||6854|dcid:bio/CHEMBL243580|9H-CARBAZOLE
NIHNNTQXNPWCJQ-UHFFFAOYSA-N|inChIKey/NIHNNTQXNPWCJQ-UHFFFAOYSA-N|9H-fluorene|"9H-fluorene|HFLUORENE"|9H-FLUORENE|dcs:ChemicalCompound|C13H10|InChI=1S/C13H10/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)12/h1-8H,9H2|||6853||9H-FLUORENE
HXGDTGSAIMULJN-UHFFFAOYSA-N|inChIKey/HXGDTGSAIMULJN-UHFFFAOYSA-N|acenaphthylene|ACENAPHTHYLENE|ACENAPHTHYLENE|dcs:ChemicalCompound|C12H8|InChI=1S/C12H8/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-8H|||9161||ACENAPHTHYLENE
CSCPPACGZOOCGX-UHFFFAOYSA-N|inChIKey/CSCPPACGZOOCGX-UHFFFAOYSA-N|propan-2-one|"propan-2-one|ACETONE"|PROPAN-2-ONE|dcs:ChemicalCompound|C3H6O|InChI=1S/C3H6O/c1-3(2)4/h1-2H3|||180||ACETONE
