,,,,,,,,,,,,,,
NCESID,observationAbout,nces/{Data},populationType,Student,measuredProperty,count,statType,measuredValue,,,,,,
F_LEP_7_RET_G9,value,{Number},gender,Female,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade9,studentStatus,Retained,,,,
,,,,,,,,,,,,,,
M_AME_7_RET_G10,value,{Number},gender,Male,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
M_ASI_7_RET_G10,value,{Number},gender,Male,race,Asian,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
M_HIS_7_RET_G10,value,{Number},gender,Male,race,HispanicOrLatino,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
M_BLA_7_RET_G10,value,{Number},gender,Male,race,Black,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
M_WHI_7_RET_G10,value,{Number},gender,Male,race,White,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
M_HI_PAC_7_RET_G10,value,{Number},gender,Male,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
M_2_OR_MORE_7_RET_G10,value,{Number},gender,Male,race,TwoOrMoreRaces,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
M_DIS_IDEA_7_RET_G10,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,
M_DIS_504_7_RET_G10,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,
M_LEP_7_RET_G10,value,{Number},gender,Male,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
F_AME_7_RET_G10,value,{Number},gender,Female,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
F_ASI_7_RET_G10,value,{Number},gender,Female,race,Asian,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
F_HIS_7_RET_G10,value,{Number},gender,Female,race,HispanicOrLatino,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
F_BLA_7_RET_G10,value,{Number},gender,Female,race,Black,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
F_WHI_7_RET_G10,value,{Number},gender,Female,race,White,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
F_HI_PAC_7_RET_G10,value,{Number},gender,Female,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
F_2_OR_MORE_7_RET_G10,value,{Number},gender,Female,race,TwoOrMoreRaces,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
F_DIS_IDEA_7_RET_G10,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,
F_DIS_504_7_RET_G10,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,
F_LEP_7_RET_G10,value,{Number},gender,Female,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,
,,,,,,,,,,,,,,
M_AME_7_RET_G11,value,{Number},gender,Male,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
M_ASI_7_RET_G11,value,{Number},gender,Male,race,Asian,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
M_HIS_7_RET_G11,value,{Number},gender,Male,race,HispanicOrLatino,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
M_BLA_7_RET_G11,value,{Number},gender,Male,race,Black,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
M_WHI_7_RET_G11,value,{Number},gender,Male,race,White,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
M_HI_PAC_7_RET_G11,value,{Number},gender,Male,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
M_2_OR_MORE_7_RET_G11,value,{Number},gender,Male,race,TwoOrMoreRaces,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
M_DIS_IDEA_7_RET_G11,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,
M_DIS_504_7_RET_G11,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,
M_LEP_7_RET_G11,value,{Number},gender,Male,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
F_AME_7_RET_G11,value,{Number},gender,Female,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
F_ASI_7_RET_G11,value,{Number},gender,Female,race,Asian,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
F_HIS_7_RET_G11,value,{Number},gender,Female,race,HispanicOrLatino,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
F_BLA_7_RET_G11,value,{Number},gender,Female,race,Black,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
F_WHI_7_RET_G11,value,{Number},gender,Female,race,White,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
F_HI_PAC_7_RET_G11,value,{Number},gender,Female,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
F_2_OR_MORE_7_RET_G11,value,{Number},gender,Female,race,TwoOrMoreRaces,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
F_DIS_IDEA_7_RET_G11,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,
F_DIS_504_7_RET_G11,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,
F_LEP_7_RET_G11,value,{Number},gender,Female,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,
,,,,,,,,,,,,,,
M_AME_7_RET_G12,value,{Number},gender,Male,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
M_ASI_7_RET_G12,value,{Number},gender,Male,race,Asian,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
M_HIS_7_RET_G12,value,{Number},gender,Male,race,HispanicOrLatino,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
M_BLA_7_RET_G12,value,{Number},gender,Male,race,Black,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
M_WHI_7_RET_G12,value,{Number},gender,Male,race,White,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
M_HI_PAC_7_RET_G12,value,{Number},gender,Male,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
M_2_OR_MORE_7_RET_G12,value,{Number},gender,Male,race,TwoOrMoreRaces,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
M_DIS_IDEA_7_RET_G12,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,
M_DIS_504_7_RET_G12,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,
M_LEP_7_RET_G12,value,{Number},gender,Male,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
F_AME_7_RET_G12,value,{Number},gender,Female,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
F_ASI_7_RET_G12,value,{Number},gender,Female,race,Asian,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
F_HIS_7_RET_G12,value,{Number},gender,Female,race,HispanicOrLatino,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
F_BLA_7_RET_G12,value,{Number},gender,Female,race,Black,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
F_WHI_7_RET_G12,value,{Number},gender,Female,race,White,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
F_HI_PAC_7_RET_G12,value,{Number},gender,Female,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
F_2_OR_MORE_7_RET_G12,value,{Number},gender,Female,race,TwoOrMoreRaces,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
F_DIS_IDEA_7_RET_G12,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,
F_DIS_504_7_RET_G12,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,
F_LEP_7_RET_G12,value,{Number},gender,Female,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,
,,,,,,,,,,,,,,
M_AME_7_RET_K,value,{Number},gender,Male,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
M_ASI_7_RET_K,value,{Number},gender,Male,race,Asian,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
M_HIS_7_RET_K,value,{Number},gender,Male,race,HispanicOrLatino,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
M_BLA_7_RET_K,value,{Number},gender,Male,race,Black,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
M_WHI_7_RET_K,value,{Number},gender,Male,race,White,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
M_HI_PAC_7_RET_K,value,{Number},gender,Male,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
M_2_OR_MORE_7_RET_K,value,{Number},gender,Male,race,TwoOrMoreRaces,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
M_DIS_IDEA_7_RET_K,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,Kindergarten,studentStatus,Retained,,
M_DIS_504_7_RET_K,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,Kindergarten,studentStatus,Retained,,
M_LEP_7_RET_K,value,{Number},gender,Male,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
F_AME_7_RET_K,value,{Number},gender,Female,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
F_ASI_7_RET_K,value,{Number},gender,Female,race,Asian,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
F_HIS_7_RET_K,value,{Number},gender,Female,race,HispanicOrLatino,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
F_BLA_7_RET_K,value,{Number},gender,Female,race,Black,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
F_WHI_7_RET_K,value,{Number},gender,Female,race,White,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
F_HI_PAC_7_RET_K,value,{Number},gender,Female,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
F_2_OR_MORE_7_RET_K,value,{Number},gender,Female,race,TwoOrMoreRaces,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
F_DIS_IDEA_7_RET_K,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,Kindergarten,studentStatus,Retained,,
F_DIS_504_7_RET_K,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,Kindergarten,studentStatus,Retained,,
F_LEP_7_RET_K,value,{Number},gender,Female,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SCH_RET_KG_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,studentStatus,Retained,,,,,,
SCH_RET_G01_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,,,
SCH_RET_G02_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,,,
SCH_RET_G03_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,studentStatus,Retained,,,,,,
SCH_RET_G04_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade4,studentStatus,Retained,,,,,,
SCH_RET_G05_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade5,studentStatus,Retained,,,,,,
SCH_RET_G06_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade6,studentStatus,Retained,,,,,,
SCH_RET_G07_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade7,studentStatus,Retained,,,,,,
SCH_RET_G08_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade8,studentStatus,Retained,,,,,,
SCH_RET_G09_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade9,studentStatus,Retained,,,,,,
SCH_RET_G10_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade10,studentStatus,Retained,,,,,,
SCH_RET_G11_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade11,studentStatus,Retained,,,,,,
SCH_RET_G12_IND,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade12,studentStatus,Retained,,,,,,
SCH_RET_KG_HI_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Male,race,HispanicOrLatino,studentStatus,Retained,,
SCH_RET_KG_HI_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Female,race,HispanicOrLatino,studentStatus,Retained,,
SCH_RET_KG_AM_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Male,race,AmericanIndianOrAlaskaNative,studentStatus,Retained,,
SCH_RET_KG_AM_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Female,race,AmericanIndianOrAlaskaNative,studentStatus,Retained,,
SCH_RET_KG_AS_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Male,race,Asian,studentStatus,Retained,,
SCH_RET_KG_AS_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Female,race,Asian,studentStatus,Retained,,
SCH_RET_KG_HP_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Male,race,NativeHawaiianOrOtherPacificIslanderAlone,studentStatus,Retained,,
SCH_RET_KG_HP_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Female,race,NativeHawaiianOrOtherPacificIslanderAlone,studentStatus,Retained,,
SCH_RET_KG_BL_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Male,race,Black,studentStatus,Retained,,
SCH_RET_KG_BL_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Female,race,Black,studentStatus,Retained,,
SCH_RET_KG_WH_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Male,race,White,studentStatus,Retained,,
SCH_RET_KG_WH_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Female,race,White,studentStatus,Retained,,
SCH_RET_KG_TR_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Male,race,TwoOrMoreRaces,studentStatus,Retained,,
SCH_RET_KG_TR_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Female,race,TwoOrMoreRaces,studentStatus,Retained,,
SCH_RET_KG_LEP_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Male,englishProficiency,LimitedEnglishProficiency,studentStatus,Retained,,
SCH_RET_KG_LEP_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Female,englishProficiency,LimitedEnglishProficiency,studentStatus,Retained,,
SCH_RET_KG_IDEA_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Male,disabilityStatus,WithDisability,educationProgram,IDEA,studentStatus,Retained
SCH_RET_KG_IDEA_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Female,disabilityStatus,WithDisability,educationProgram,IDEA,studentStatus,Retained
SCH_RET_KG_504_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Male,disabilityStatus,WithDisability,educationProgram,Section504Plan,studentStatus,Retained
SCH_RET_KG_504_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,Kindergarten,gender,Female,disabilityStatus,WithDisability,educationProgram,Section504Plan,studentStatus,Retained
SCH_RET_G01_HI_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Male,race,HispanicOrLatino,studentStatus,Retained,,
SCH_RET_G01_HI_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Female,race,HispanicOrLatino,studentStatus,Retained,,
SCH_RET_G01_AM_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Male,race,AmericanIndianOrAlaskaNative,studentStatus,Retained,,
SCH_RET_G01_AM_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Female,race,AmericanIndianOrAlaskaNative,studentStatus,Retained,,
SCH_RET_G01_AS_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Male,race,Asian,studentStatus,Retained,,
SCH_RET_G01_AS_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Female,race,Asian,studentStatus,Retained,,
SCH_RET_G01_HP_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Male,race,NativeHawaiianOrOtherPacificIslanderAlone,studentStatus,Retained,,
SCH_RET_G01_HP_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Female,race,NativeHawaiianOrOtherPacificIslanderAlone,studentStatus,Retained,,
SCH_RET_G01_BL_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Male,race,Black,studentStatus,Retained,,
SCH_RET_G01_BL_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Female,race,Black,studentStatus,Retained,,
SCH_RET_G01_WH_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Male,race,White,studentStatus,Retained,,
SCH_RET_G01_WH_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Female,race,White,studentStatus,Retained,,
SCH_RET_G01_TR_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Male,race,TwoOrMoreRaces,studentStatus,Retained,,
SCH_RET_G01_TR_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Female,race,TwoOrMoreRaces,studentStatus,Retained,,
SCH_RET_G01_LEP_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Male,englishProficiency,LimitedEnglishProficiency,studentStatus,Retained,,
SCH_RET_G01_LEP_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Female,englishProficiency,LimitedEnglishProficiency,studentStatus,Retained,,
SCH_RET_G01_IDEA_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Male,disabilityStatus,WithDisability,educationProgram,IDEA,studentStatus,Retained
SCH_RET_G01_IDEA_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Female,disabilityStatus,WithDisability,educationProgram,IDEA,studentStatus,Retained
SCH_RET_G01_504_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Male,disabilityStatus,WithDisability,educationProgram,Section504Plan,studentStatus,Retained
SCH_RET_G01_504_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade1,gender,Female,disabilityStatus,WithDisability,educationProgram,Section504Plan,studentStatus,Retained
SCH_RET_G02_HI_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Male,race,HispanicOrLatino,studentStatus,Retained,,
SCH_RET_G02_HI_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Female,race,HispanicOrLatino,studentStatus,Retained,,
SCH_RET_G02_AM_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Male,race,AmericanIndianOrAlaskaNative,studentStatus,Retained,,
SCH_RET_G02_AM_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Female,race,AmericanIndianOrAlaskaNative,studentStatus,Retained,,
SCH_RET_G02_AS_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Male,race,Asian,studentStatus,Retained,,
SCH_RET_G02_AS_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Female,race,Asian,studentStatus,Retained,,
SCH_RET_G02_HP_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Male,race,NativeHawaiianOrOtherPacificIslanderAlone,studentStatus,Retained,,
SCH_RET_G02_HP_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Female,race,NativeHawaiianOrOtherPacificIslanderAlone,studentStatus,Retained,,
SCH_RET_G02_BL_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Male,race,Black,studentStatus,Retained,,
SCH_RET_G02_BL_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Female,race,Black,studentStatus,Retained,,
SCH_RET_G02_WH_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Male,race,White,studentStatus,Retained,,
SCH_RET_G02_WH_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Female,race,White,studentStatus,Retained,,
SCH_RET_G02_TR_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Male,race,TwoOrMoreRaces,studentStatus,Retained,,
SCH_RET_G02_TR_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Female,race,TwoOrMoreRaces,studentStatus,Retained,,
SCH_RET_G02_LEP_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Male,englishProficiency,LimitedEnglishProficiency,studentStatus,Retained,,
SCH_RET_G02_LEP_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Female,englishProficiency,LimitedEnglishProficiency,studentStatus,Retained,,
SCH_RET_G02_IDEA_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Male,disabilityStatus,WithDisability,educationProgram,IDEA,studentStatus,Retained
SCH_RET_G02_IDEA_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Female,disabilityStatus,WithDisability,educationProgram,IDEA,studentStatus,Retained
SCH_RET_G02_504_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Male,disabilityStatus,WithDisability,educationProgram,Section504Plan,studentStatus,Retained
SCH_RET_G02_504_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade2,gender,Female,disabilityStatus,WithDisability,educationProgram,Section504Plan,studentStatus,Retained
SCH_RET_G03_HI_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Male,race,HispanicOrLatino,studentStatus,Retained,,
SCH_RET_G03_HI_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Female,race,HispanicOrLatino,studentStatus,Retained,,
SCH_RET_G03_AM_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Male,race,AmericanIndianOrAlaskaNative,studentStatus,Retained,,
SCH_RET_G03_AM_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Female,race,AmericanIndianOrAlaskaNative,studentStatus,Retained,,
SCH_RET_G03_AS_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Male,race,Asian,studentStatus,Retained,,
SCH_RET_G03_AS_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Female,race,Asian,studentStatus,Retained,,
SCH_RET_G03_HP_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Male,race,NativeHawaiianOrOtherPacificIslanderAlone,studentStatus,Retained,,
SCH_RET_G03_HP_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Female,race,NativeHawaiianOrOtherPacificIslanderAlone,studentStatus,Retained,,
SCH_RET_G03_BL_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Male,race,Black,studentStatus,Retained,,
SCH_RET_G03_BL_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Female,race,Black,studentStatus,Retained,,
SCH_RET_G03_WH_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Male,race,White,studentStatus,Retained,,
SCH_RET_G03_WH_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Female,race,White,studentStatus,Retained,,
SCH_RET_G03_TR_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Male,race,TwoOrMoreRaces,studentStatus,Retained,,
SCH_RET_G03_TR_F,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Female,race,TwoOrMoreRaces,studentStatus,Retained,,
SCH_RET_G03_LEP_M,value,{Number},#Filter,Allow=int(value) >= 0,schoolGradeLevel,SchoolGrade3,gender,Male,englishProficiency,LimitedEnglishProficiency,studentStatus,Retained,,
