fips,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8,l150_1,l150_2,l150_3,l150_4,l150_5,l150_6,l150_7,l150_8,year
dcs:geoId/02180,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02185,41700.0,47700.0,53650.0,59600.0,64350.0,69150.0,73900.0,78650.0,78187.5,89437.5,100593.75,111750.0,120656.25,129656.25,138562.5,147468.75,2006
dcs:geoId/02188,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02201,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02220,41700.0,47700.0,53650.0,59600.0,64350.0,69150.0,73900.0,78650.0,78187.5,89437.5,100593.75,111750.0,120656.25,129656.25,138562.5,147468.75,2006
dcs:geoId/02232,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02240,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02261,41700.0,47700.0,53650.0,59600.0,64350.0,69150.0,73900.0,78650.0,78187.5,89437.5,100593.75,111750.0,120656.25,129656.25,138562.5,147468.75,2006
dcs:geoId/02270,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02280,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02282,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02290,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/04001,22950.0,26250.0,29500.0,32800.0,35400.0,38050.0,40650.0,43300.0,43031.25,49218.75,55312.5,61500.0,66375.0,71343.75,76218.75,81187.5,2006
dcs:geoId/04003,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/04005,30350.0,34700.0,39000.0,43350.0,46800.0,50300.0,53750.0,57200.0,56906.25,65062.5,73125.0,81281.25,87750.0,94312.5,100781.25,107250.0,2006
dcs:geoId/04007,23900.0,27300.0,30750.0,34150.0,36900.0,39600.0,42350.0,45100.0,44812.5,51187.5,57656.25,64031.25,69187.5,74250.0,79406.25,84562.5,2006
dcs:geoId/04009,22950.0,26250.0,29500.0,32800.0,35400.0,38050.0,40650.0,43300.0,43031.25,49218.75,55312.5,61500.0,66375.0,71343.75,76218.75,81187.5,2006
dcs:geoId/04011,28650.0,32700.0,36800.0,40900.0,44150.0,47450.0,50700.0,54000.0,53718.75,61312.5,69000.0,76687.5,82781.25,88968.75,95062.5,101250.0,2006
dcs:geoId/04012,22950.0,26250.0,29500.0,32800.0,35400.0,38050.0,40650.0,43300.0,43031.25,49218.75,55312.5,61500.0,66375.0,71343.75,76218.75,81187.5,2006
dcs:geoId/04013,33650.0,38500.0,43300.0,48100.0,51950.0,55800.0,59650.0,63500.0,63093.75,72187.5,81187.5,90187.5,97406.25,104625.0,111843.75,119062.5,2006
dcs:geoId/04015,33100.0,37850.0,42550.0,47300.0,51100.0,54850.0,58650.0,62450.0,62062.5,70968.75,79781.25,88687.5,95812.5,102843.75,109968.75,117093.75,2006
dcs:geoId/04017,22950.0,26250.0,29500.0,32800.0,35400.0,38050.0,40650.0,43300.0,43031.25,49218.75,55312.5,61500.0,66375.0,71343.75,76218.75,81187.5,2006
dcs:geoId/04019,29350.0,33500.0,37700.0,41900.0,45250.0,48600.0,51950.0,55300.0,55031.25,62812.5,70687.5,78562.5,84843.75,91125.0,97406.25,103687.5,2006
dcs:geoId/04021,33650.0,38500.0,43300.0,48100.0,51950.0,55800.0,59650.0,63500.0,63093.75,72187.5,81187.5,90187.5,97406.25,104625.0,111843.75,119062.5,2006
