State,isoCode,Date,Count_BirthControlEvent_Vasectomy,Count_BirthControlEvent_Tubectomy,Count_BirthControlEvent_Sterilization,Count_BirthControlEvent_Vasectomy_AsFractionOf_Count_BirthControlEvent_Sterlization,Count_Death_BirthControlSterilization,Count_BirthControlEvent_IUCDInsertion,Count_BirthControlEvent_IUCDInsertion_AsFractionOf_Count_BirthControlEvent,Count_ContraceptiveDistribution_OralPill,Count_ContraceptiveDistribution_Condom
Sikkim,IN-SK,2012-03,49.0,143.0,192.0,25.5,5.0,1477.0,88.5,66572.0,217813.0
Tamil Nadu,IN-TN,2012-03,1901.0,337944.0,339845.0,0.6,38.0,340442.0,50.0,1055342.0,10171759.0
Tripura,IN-TR,2012-03,206.0,6011.0,6217.0,3.3,0.0,1267.0,16.9,84868.0,564079.0
Uttar Pradesh,IN-UP,2012-03,11801.0,322002.0,333803.0,3.5,13.0,1357614.0,80.3,2916118.0,49529152.0
Uttarakhand,IN-UT,2012-03,2543.0,23357.0,25900.0,9.8,32.0,128524.0,83.2,597109.0,6303901.0
West Bengal,IN-WB,2012-03,10087.0,222501.0,232588.0,4.3,33.0,100403.0,30.2,8235929.0,31113815.0
All India,IN,2013-03,120466.0,4462299.0,4582765.0,2.6,345.0,5420801.0,54.2,40002733.0,382253228.0
A & N Islands,IN-AN,2013-03,0.0,1250.0,1250.0,0.0,0.0,895.0,41.7,14398.0,38049.0
Andhra Pradesh Old,IN-AP,2013-03,11498.0,427022.0,438520.0,2.6,154.0,258222.0,37.1,3179019.0,21568700.0
Arunachal Pradesh,IN-AR,2013-03,1.0,2125.0,2126.0,0.0,1.0,2745.0,56.4,23290.0,42178.0
Assam,IN-AS,2013-03,3787.0,56911.0,60698.0,6.2,5.0,60250.0,49.8,1481965.0,5718412.0
Bihar,IN-BR,2013-03,5814.0,562001.0,567815.0,1.0,53.0,383815.0,40.3,902637.0,7343803.0
Chandigarh,IN-CH,2013-03,80.0,1854.0,1934.0,4.1,0.0,3400.0,63.7,10643.0,1041999.0
Chhattisgarh,IN-CT,2013-03,4878.0,121255.0,126133.0,3.9,3.0,73861.0,36.9,918829.0,4978741.0
Dadra & Nagar Haveli,IN-DN,2013-03,2.0,1151.0,1153.0,0.2,0.0,657.0,36.3,5853.0,94396.0
Daman & Diu,IN-DD,2013-03,2.0,372.0,374.0,0.5,0.0,247.0,39.8,7222.0,208235.0
Delhi,IN-DL,2013-03,1594.0,19840.0,21434.0,7.4,1.0,47850.0,69.1,215683.0,9364363.0
Goa,IN-GA,2013-03,31.0,3246.0,3277.0,0.9,0.0,1494.0,31.3,73539.0,191145.0
Gujarat,IN-GJ,2013-03,2350.0,278052.0,280402.0,0.8,2.0,576507.0,67.3,2152707.0,32940873.0
Haryana,IN-HR,2013-03,5913.0,71793.0,77706.0,7.6,2.0,196191.0,71.6,684480.0,17492557.0
Himachal Pradesh,IN-HP,2013-03,2522.0,20658.0,23180.0,10.9,0.0,19892.0,46.2,355980.0,5735173.0
Jammu & Kashmir,IN-JK,2013-03,931.0,17127.0,18058.0,5.2,10.0,22826.0,55.8,258960.0,2300350.0
Jharkhand,IN-JH,2013-03,8738.0,124212.0,132950.0,6.6,6.0,101826.0,43.4,833198.0,4824983.0
Karnataka,IN-KA,2013-03,2857.0,327378.0,330235.0,0.9,9.0,190012.0,36.5,1366935.0,12045521.0
Kerala,IN-KL,2013-03,2128.0,99126.0,101254.0,2.1,0.0,55950.0,35.6,103170.0,6214041.0
Lakshadweep,IN-LD,2013-03,0.0,26.0,26.0,0.0,2.0,44.0,62.9,245.0,11515.0
