speciesID	reactionID
M_m01280s	R_HMR_4482
M_m02040s	R_HMR_4482
M_m01965c	R_HMR_4486
M_m02193c	R_HMR_4486
M_m01642c	R_HMR_4487
M_m01965c	R_HMR_4487
M_m01840c	R_HMR_4488
M_m02193c	R_HMR_4488
M_m01642c	R_HMR_4489
M_m01840c	R_HMR_4489
M_m02193c	R_HMR_4492
M_m02453c	R_HMR_4492
M_m01642c	R_HMR_4493
M_m02453c	R_HMR_4493
M_m01962c	R_HMR_4495
M_m02193c	R_HMR_4495
M_m01642c	R_HMR_4496
M_m01962c	R_HMR_4496
M_m02037c	R_HMR_4518
M_m02040c	R_HMR_4518
M_m02040c	R_HMR_4519
M_m02159c	R_HMR_4519
M_m02552c	R_HMR_4519
M_m02040c	R_HMR_4520
M_m02159c	R_HMR_4520
M_m02630c	R_HMR_4520
M_m01680c	R_HMR_4573
M_m02039c	R_HMR_4573
M_m02696c	R_HMR_4573
M_m02170c	R_HMR_4574
M_m02751c	R_HMR_4574
M_m01371c	R_HMR_4600
M_m01669c	R_HMR_4600
M_m01686c	R_HMR_4602
M_m02040c	R_HMR_4602
M_m00639c	R_HMR_4603
M_m02037c	R_HMR_4603
M_m01371c	R_HMR_4611
M_m02990c	R_HMR_4611
M_m01285c	R_HMR_4612
M_m02990c	R_HMR_4612
M_m02034c	R_HMR_4614
M_m02990c	R_HMR_4614
M_m01948c	R_HMR_4615
M_m02990c	R_HMR_4615
M_m01623c	R_HMR_4617
M_m02990c	R_HMR_4617
M_m02990c	R_HMR_4618
M_m03130c	R_HMR_4618
M_m01424c	R_HMR_4619
M_m02990c	R_HMR_4619
M_m02990c	R_HMR_4621
M_m03106c	R_HMR_4621
M_m01639c	R_HMR_4632
M_m02040c	R_HMR_4632
M_m02040c	R_HMR_4646
M_m02552c	R_HMR_4646
M_m03148c	R_HMR_4646
M_m02040p	R_HMR_4648
M_m02552p	R_HMR_4648
M_m03148p	R_HMR_4648
M_m02040c	R_HMR_4649
M_m02630c	R_HMR_4649
M_m03148c	R_HMR_4649
M_m02040p	R_HMR_4650
M_m02630p	R_HMR_4650
M_m03148p	R_HMR_4650
M_m02038c	R_HMR_4651
M_m02751c	R_HMR_4651
M_m02751c	R_HMR_4663
M_m03149c	R_HMR_4663
M_m02806c	R_HMR_4664
M_m03148c	R_HMR_4664
M_m01666c	R_HMR_4694
M_m02040c	R_HMR_4694
M_m00639c	R_HMR_4695
M_m01279c	R_HMR_4695
M_m02040c	R_HMR_4705
M_m03150c	R_HMR_4705
M_m00639c	R_HMR_4709
M_m02159c	R_HMR_4709
M_m01131c	R_HMR_4799
M_m01371c	R_HMR_4799
M_m01986c	R_HMR_4799
M_m01132c	R_HMR_4802
M_m01371c	R_HMR_4802
M_m01130c	R_HMR_4804
M_m02039c	R_HMR_4804
M_m01371c	R_HMR_4808
M_m01975c	R_HMR_4808
M_m02040c	R_HMR_4808
M_m02575c	R_HMR_4808
M_m01130c	R_HMR_4810
M_m01370c	R_HMR_4810
M_m01371c	R_HMR_4810
M_m01304c	R_HMR_4812
M_m01862c	R_HMR_4812
M_m00266c	R_HMR_4814
M_m01304c	R_HMR_4814
M_m02034c	R_HMR_5301
M_m03123c	R_HMR_5301
M_m01285c	R_HMR_5353
M_m01680c	R_HMR_5353
M_m01312c	R_HMR_6601
M_m02040c	R_HMR_6601
M_m02041c	R_HMR_6602
M_m03120c	R_HMR_6602
M_m02041s	R_HMR_6603
M_m03120s	R_HMR_6603
M_m02040c	R_HMR_6605
M_m03119c	R_HMR_6605
M_m01368c	R_HMR_6606
M_m03119c	R_HMR_6606
M_m02040c	R_HMR_6607
M_m03119c	R_HMR_6607
M_m01313c	R_HMR_6609
M_m02040c	R_HMR_6609
M_m01104c	R_HMR_6610
M_m02040c	R_HMR_6610
M_m02040c	R_HMR_6611
M_m02630c	R_HMR_6611
M_m03120c	R_HMR_6611
M_m01288c	R_HMR_7144
M_m02040c	R_HMR_7144
M_m02040p	R_HMR_8755
M_m02159p	R_HMR_8755
M_m02630p	R_HMR_8755
M_m01279c	R_HMR_9797
M_m02040c	R_HMR_9797
M_m01285c	R_HMR_4016
M_m02034c	R_HMR_4016
M_m01285m	R_HMR_4018
M_m02034m	R_HMR_4018
M_m01285c	R_HMR_4044
M_m01642c	R_HMR_4044
M_m01285c	R_HMR_4291
M_m02193c	R_HMR_4291
M_m01285m	R_HMR_4420
M_m01642m	R_HMR_4420
M_m01285c	R_HMR_4570
M_m01688c	R_HMR_4570
M_m01285m	R_HMR_4572
M_m01688m	R_HMR_4572
M_m01285c	R_HMR_4006
M_m03130c	R_HMR_4006
M_m01285c	R_HMR_4028
M_m01623c	R_HMR_4028
M_m01285m	R_HMR_4030
M_m01623m	R_HMR_4030
M_m01285c	R_HMR_4670
M_m01645c	R_HMR_4670
M_m01285c	R_HMR_4673
M_m01756c	R_HMR_4673
M_m01371m	R_HMR_4675
M_m01754m	R_HMR_4675
M_m01637c	R_HMR_6614
M_m01753c	R_HMR_6614
M_m01637m	R_HMR_6615
M_m01753m	R_HMR_6615
M_m01637n	R_HMR_6616
M_m01753n	R_HMR_6616
M_m01285c	R_HMR_4635
M_m01753c	R_HMR_4635
M_m00661m	R_HMR_3793
M_m01307m	R_HMR_3793
M_m02039c	R_HMR_3931
M_m02555c	R_HMR_3931
M_m02666c	R_HMR_3931
M_m02193c	R_HMR_3969
M_m03123c	R_HMR_3969
M_m02040c	R_HMR_3970
M_m03114c	R_HMR_3970
M_m01285c	R_HMR_4008
M_m03106c	R_HMR_4008
M_m01371c	R_HMR_4032
M_m02578c	R_HMR_4032
M_m03130c	R_HMR_4032
M_m01371c	R_HMR_4034
M_m01975c	R_HMR_4034
