Station,City,Latitude,Longitude,District,LgdCode,Coordinates,dcid,site_id
ShrivastavColony,Damoh,23.8184923,79.4338188,Damoh,400,[LatLong 23.8184923 79.4338188],cpcbAq/400_ShrivastavColony_Damoh,site_5040
BhopalChauraha,Dewas,22.9687824,76.0635763,Dewas,402,[LatLong 22.9687824 76.0635763],cpcbAq/402_BhopalChauraha_Dewas,site_1404
CityCenter,Gwalior,26.2035227,78.1920664,Gwalior,407,[LatLong 26.2035227 78.1920664],cpcbAq/407_CityCenter_Gwalior,site_5273
PhoolBagh,Gwalior,26.2103607,78.1692689,Gwalior,407,[LatLong 26.2103607 78.1692689],cpcbAq/407_PhoolBagh_Gwalior,site_5275
ChhotiGwaltoli,Indore,22.7152096,75.8700466,Indore,410,[LatLong 22.7152096 75.8700466],cpcbAq/410_ChhotiGwaltoli_Indore,site_5248
Marhatal,Jabalpur,23.1670639,79.9339608,Jabalpur,411,[LatLong 23.1670639 79.9339608],cpcbAq/411_Marhatal_Jabalpur,site_5249
GoleBazar,Katni,23.8327424,80.3978186,Katni,413,[LatLong 23.8327424 80.3978186],cpcbAq/413_GoleBazar_Katni,site_5250
Sahilara,Maihar,24.2609738,80.7186697,Satna,426,[LatLong 24.2609738 80.7186697],cpcbAq/426_Sahilara_Maihar,site_5068
SectorDIndustrialArea,Raisen,23.0992796,77.5114731,Raisen,421,[LatLong 23.0992796 77.5114731],cpcbAq/421_SectorDIndustrialArea_Raisen,site_1403
Sector2IndustrialArea,Dhar,22.611121,75.6772689,Dhar,403,[LatLong 22.611121 75.6772689],cpcbAq/403_Sector2IndustrialArea_Dhar,site_1402
ShasthriNagar,Ratlam,23.3312468,75.0432032,Ratlam,423,[LatLong 23.3312468 75.0432032],cpcbAq/423_ShasthriNagar_Ratlam,site_5042
DeenDayalNagar,Sagar,23.8641966,78.806407,Sagar,425,[LatLong 23.8641966 78.806407],cpcbAq/425_DeenDayalNagar_Sagar,site_5269
BandhavgarColony,Satna,24.5798734,80.8557684,Satna,426,[LatLong 24.5798734 80.8557684],cpcbAq/426_BandhavgarColony_Satna,site_1433
SuryakiranBhawanNCL,Singrauli,24.1079747,82.6454746,Sidhi,433,[LatLong 24.1079747 82.6454746],cpcbAq/433_SuryakiranBhawanNCL_Singrauli,site_1401
MahakaleshwarTemple,Ujjain,23.1827177,75.7682178,Ujjain,435,[LatLong 23.1827177 75.7682178],cpcbAq/435_MahakaleshwarTemple_Ujjain,site_1400
MoreChowkWaluj,Aurangabad,19.8406027,75.2466299,Aurangabad,189,[LatLong 19.8406027 75.2466299],cpcbAq/189_MoreChowkWaluj_Aurangabad,site_198
Chandrapur,Chandrapur,19.9615398,79.2961468,Chandrapur,473,[LatLong 19.9615398 79.2961468],cpcbAq/473_Chandrapur_Chandrapur,site_271
MIDCKhutala,Chandrapur,19.9808656,79.229929,Chandrapur,473,[LatLong 19.9808656 79.229929],cpcbAq/473_MIDCKhutala_Chandrapur,site_295
Khadakpada,Kalyan,19.2592249,73.1279269,Thane,497,[LatLong 19.2592249 73.1279269],cpcbAq/497_Khadakpada_Kalyan,site_5118
BandraKurlaComplex,Mumbai,19.0687893,72.8702647,Greaterbombay,482,[LatLong 19.0687893 72.8702647],cpcbAq/482_BandraKurlaComplex_Mumbai,site_5392
Bandra,Mumbai,19.0595596,72.8295287,Greaterbombay,482,[LatLong 19.0595596 72.8295287],cpcbAq/482_Bandra_Mumbai,site_168
BorivaliEast,Mumbai,19.2297814,72.8608559,Greaterbombay,482,[LatLong 19.2297814 72.8608559],cpcbAq/482_BorivaliEast_Mumbai,site_5400
Chakala,AndheriEast,19.1097712,72.8582672,Greaterbombay,482,[LatLong 19.1097712 72.8582672],cpcbAq/482_Chakala_AndheriEast,site_5399
ChhatrapatiShivajiIntlAirport,Mumbai,19.0974373,72.8745017,Greaterbombay,482,[LatLong 19.0974373 72.8745017],cpcbAq/482_ChhatrapatiShivajiIntlAirport_Mumbai,site_5107
Colaba,Mumbai,18.9067031,72.8147123,Greaterbombay,482,[LatLong 18.9067031 72.8147123],cpcbAq/482_Colaba_Mumbai,site_5120
Deonar,Mumbai,19.0447048,72.9102511,Greaterbombay,482,[LatLong 19.0447048 72.9102511],cpcbAq/482_Deonar_Mumbai,site_5396
KandivaliEast,Mumbai,19.2004765,72.8736892,Greaterbombay,482,[LatLong 19.2004765 72.8736892],cpcbAq/482_KandivaliEast_Mumbai,site_5412
Khindipada,BhandupWest,19.1599078,72.9239095,Greaterbombay,482,[LatLong 19.1599078 72.9239095],cpcbAq/482_Khindipada_BhandupWest,site_5397
Kurla,Mumbai,19.0726295,72.8844721,Greaterbombay,482,[LatLong 19.0726295 72.8844721],cpcbAq/482_Kurla_Mumbai,site_5104
MaladWest,Mumbai,19.1889541,72.835543,Greaterbombay,482,[LatLong 19.1889541 72.835543],cpcbAq/482_MaladWest_Mumbai,site_5402
Mazgaon,Mumbai,18.9644251,72.8421341,Greaterbombay,482,[LatLong 18.9644251 72.8421341],cpcbAq/482_Mazgaon_Mumbai,site_5394
MulundWest,Mumbai,19.1725542,72.942537,Greaterbombay,482,[LatLong 19.1725542 72.942537],cpcbAq/482_MulundWest_Mumbai,site_5413
NavyNagar,Colaba,18.8979567,72.8131432,Greaterbombay,482,[LatLong 18.8979567 72.8131432],cpcbAq/482_NavyNagar_Colaba,site_5398
Powai,Mumbai,19.1175993,72.9059747,Greaterbombay,482,[LatLong 19.1175993 72.9059747],cpcbAq/482_Powai_Mumbai,site_5112
SiddharthNagar,Worli,18.9978358,72.8138818,Greaterbombay,482,[LatLong 18.9978358 72.8138818],cpcbAq/482_SiddharthNagar_Worli,site_5403
Sion,Mumbai,19.0390214,72.8618952,Greaterbombay,482,[LatLong 19.0390214 72.8618952],cpcbAq/482_Sion_Mumbai,site_5119
VasaiWest,Mumbai,19.3664631,72.8155136,Thane,497,[LatLong 19.3664631 72.8155136],cpcbAq/497_VasaiWest_Mumbai,site_5102
VileParleWest,Mumbai,19.1071283,72.8367535,Greaterbombay,482,[LatLong 19.1071283 72.8367535],cpcbAq/482_VileParleWest_Mumbai,site_5106
Worli,Mumbai,18.9986406,72.8173599,Greaterbombay,482,[LatLong 18.9986406 72.8173599],cpcbAq/482_Worli_Mumbai,site_5115
OppGPOCivilLines,Nagpur,21.153277,79.069518,Nagpur,484,[LatLong 21.153277 79.069518],cpcbAq/484_OppGPOCivilLines_Nagpur,site_303
GangapurRoad,Nashik,20.0168226,73.735682,Nashik,487,[LatLong 20.0168226 73.735682],cpcbAq/487_GangapurRoad_Nashik,site_304
Airoli,NaviMumbai,19.159014,72.9985686,Greaterbombay,482,[LatLong 19.159014 72.9985686],cpcbAq/482_Airoli_NaviMumbai,site_261
Mahape,NaviMumbai,19.1182937,73.0275875,Greaterbombay,482,[LatLong 19.1182937 73.0275875],cpcbAq/482_Mahape_NaviMumbai,site_5114
Nerul,NaviMumbai,19.0338457,73.0195871,Greaterbombay,482,[LatLong 19.0338457 73.0195871],cpcbAq/482_Nerul_NaviMumbai,site_5103
Sector19A,Mumbai,19.0280168,73.0265071,Greaterbombay,482,[LatLong 19.0280168 73.0265071],cpcbAq/482_Sector19A_Mumbai,site_5401
Alandi,Pune,18.6782865,73.8950336,Pune,490,[LatLong 18.6782865 73.8950336],cpcbAq/490_Alandi_Pune,site_5405
Bhosari,Pune,18.6320627,73.8467978,Pune,490,[LatLong 18.6320627 73.8467978],cpcbAq/490_Bhosari_Pune,site_5406
Hadapsar,Pune,18.508934,73.9259102,Pune,490,[LatLong 18.508934 73.9259102],cpcbAq/490_Hadapsar_Pune,site_5407
KarveRoad,Pune,18.5033095,73.8197888,Pune,490,[LatLong 18.5033095 73.8197888],cpcbAq/490_KarveRoad_Pune,site_292
MIT,Kothrud,18.5177542,73.8148826,Pune,490,[LatLong 18.5177542 73.8148826],cpcbAq/490_MIT_Kothrud,site_5410
MhadaColony,Pune,18.5734634,73.9109977,Pune,490,[LatLong 18.5734634 73.9109977],cpcbAq/490_MhadaColony_Pune,site_5404
RevenueColony,Shivajinagar,18.5282786,73.8470523,Pune,490,[LatLong 18.5282786 73.8470523],cpcbAq/490_RevenueColony_Shivajinagar,site_5409
TransportNagar,Nigdi,18.6642824,73.7639658,Pune,490,[LatLong 18.6642824 73.7639658],cpcbAq/490_TransportNagar_Nigdi,site_5408
Solapur,Solapur,17.6599188,75.9063906,Solapur,496,[LatLong 17.6599188 75.9063906],cpcbAq/496_Solapur_Solapur,site_302
PimpleshwarMandir,Thane,19.1890934,72.9622382,Greaterbombay,482,[LatLong 19.1890934 72.9622382],cpcbAq/482_PimpleshwarMandir_Thane,site_305
DMCollegeofScience,Imphal,24.8216168,93.9429582,Westimphal,256,[LatLong 24.8216168 93.9429582],cpcbAq/256_DMCollegeofScience_Imphal,site_5592
ManipurUniversity,Imphal,24.7522876,93.9280425,Westimphal,256,[LatLong 24.7522876 93.9280425],cpcbAq/256_ManipurUniversity_Imphal,site_5591
JNStadium,Shillong,25.5801,91.8940855,Eastkhasihills,274,[LatLong 25.5801 91.8940855],cpcbAq/274_JNStadium_Shillong,site_5593
Lumpyngngad,Shillong,25.5585941,91.8984865,Eastkhasihills,274,[LatLong 25.5585941 91.8984865],cpcbAq/274_Lumpyngngad_Shillong,site_5131
Sikulpuikawn,Aizawl,23.7173952,92.7181174,Aizawl,261,[LatLong 23.7173952 92.7181174],cpcbAq/261_Sikulpuikawn_Aizawl,site_5346
PWDJuction,Kohima,25.6615389,94.1032732,Kohima,245,[LatLong 25.6615389 94.1032732],cpcbAq/245_PWDJuction_Kohima,site_5375
GMOffice,Brajrajnagar,21.8546923,83.9247995,Jharsuguda,357,[LatLong 21.8546923 83.9247995],cpcbAq/357_GMOffice_Brajrajnagar,site_1410
TalcherCoalfields,Talcher,20.9501027,85.216816,Angul,344,[LatLong 20.9501027 85.216816],cpcbAq/344_TalcherCoalfields_Talcher,site_1408
JawaharNagar,Puducherry,11.9306033,79.8027077,Puducherry,600,[LatLong 11.9306033 79.8027077],cpcbAq/600_JawaharNagar_Puducherry,site_5423
GoldenTemple,Amritsar,31.6199803,74.8764849,Amritsar,27,[LatLong 31.6199803 74.8764849],cpcbAq/027_GoldenTemple_Amritsar,site_256
HardevNagar,Bathinda,30.2420588,74.9175889,Bathinda,28,[LatLong 30.2420588 74.9175889],cpcbAq/028_HardevNagar_Bathinda,site_1549
CivilLine,Jalandhar,31.3208006,75.5793401,Jalandhar,34,[LatLong 31.3208006 75.5793401],cpcbAq/034_CivilLine_Jalandhar,site_1438
KalalMajra,Khanna,30.7409308,76.2049712,Ludhiana,36,[LatLong 30.7409308 76.2049712],cpcbAq/036_KalalMajra_Khanna,site_1450
PunjabAgriculturalUniversity,Ludhiana,30.9041,75.8065531,Ludhiana,36,[LatLong 30.9041 75.8065531],cpcbAq/036_PunjabAgriculturalUniversity_Ludhiana,site_253
RIMTUniversity,MandiGobindgarh,30.6510104,76.329252,Fatehgarhsahib,30,[LatLong 30.6510104 76.329252],cpcbAq/030_RIMTUniversity_MandiGobindgarh,site_255
ModelTown,Patiala,30.3448377,76.3708347,Patiala,41,[LatLong 30.3448377 76.3708347],cpcbAq/041_ModelTown_Patiala,site_1437
Ratanpura,Rupnagar,31.0293638,76.5733862,Rupnagar,42,[LatLong 31.0293638 76.5733862],cpcbAq/042_Ratanpura_Rupnagar,site_1538
CivilLines,Ajmer,26.4726871,74.6415071,Ajmer,86,[LatLong 26.4726871 74.6415071],cpcbAq/086_CivilLines_Ajmer,site_1392
MotiDoongri,Alwar,27.5515817,76.6080554,Alwar,87,[LatLong 27.5515817 76.6080554],cpcbAq/087_MotiDoongri_Alwar,site_1390
RIICOInd.AreaIII,Bhiwadi,28.1765767,76.8744878,Alwar,87,[LatLong 28.1765767 76.8744878],cpcbAq/087_RIICOInd.AreaIII_Bhiwadi,site_1391
AdarshNagar,Jaipur,26.9018769,75.8271749,Jaipur,102,[LatLong 26.9018769 75.8271749],cpcbAq/102_AdarshNagar_Jaipur,site_1393
PoliceCommissionerate,Jaipur,26.9163897,75.8017169,Jaipur,102,[LatLong 26.9163897 75.8017169],cpcbAq/102_PoliceCommissionerate_Jaipur,site_134
ShastriNagar,Jaipur,26.9503102,75.8009833,Jaipur,102,[LatLong 26.9503102 75.8009833],cpcbAq/102_ShastriNagar_Jaipur,site_1396
Collectorate,Jodhpur,26.2918067,73.0366998,Jodhpur,107,[LatLong 26.2918067 73.0366998],cpcbAq/107_Collectorate_Jodhpur,site_136
ShrinathPuram,Kota,25.136387,75.8246657,Kota,109,[LatLong 25.136387 75.8246657],cpcbAq/109_ShrinathPuram_Kota,site_1394
IndiraColonyVistar,Pali,25.7731026,73.3502377,Pali,111,[LatLong 25.7731026 73.3502377],cpcbAq/111_IndiraColonyVistar_Pali,site_1395
AshokNagar,Udaipur,24.5886328,73.7021801,Udaipur,117,[LatLong 24.5886328 73.7021801],cpcbAq/117_AshokNagar_Udaipur,site_1397
ZeroPointGICI,Gangtok,27.3313512,88.6138113,East,78,[LatLong 27.3313512 88.6138113],cpcbAq/078_ZeroPointGICI_Gangtok,site_5590
AlandurBusDepot,Chennai,13.0036192,80.201928,Chennai,568,[LatLong 13.0036192 80.201928],cpcbAq/568_AlandurBusDepot_Chennai,site_293
Arumbakkam,Chennai,13.0724233,80.2101773,Chennai,568,[LatLong 13.0724233 80.2101773],cpcbAq/568_Arumbakkam_Chennai,site_5361
Kodungaiyur,Chennai,13.1374551,80.2478495,Thiruvallur,589,[LatLong 13.1374551 80.2478495],cpcbAq/589_Kodungaiyur_Chennai,site_5365
ManaliVillage,Chennai,13.1779289,80.2700737,Thiruvallur,589,[LatLong 13.1779289 80.2700737],cpcbAq/589_ManaliVillage_Chennai,site_5092
Manali,Chennai,13.1779289,80.2700737,Thiruvallur,589,[LatLong 13.1779289 80.2700737],cpcbAq/589_Manali_Chennai,site_306
Perungudi,Chennai,12.9653652,80.2461057,Chennai,568,[LatLong 12.9653652 80.2461057],cpcbAq/568_Perungudi_Chennai,site_5363
Royapuram,Chennai,13.1137008,80.2954115,Chennai,568,[LatLong 13.1137008 80.2954115],cpcbAq/568_Royapuram_Chennai,site_5364
VelacheryRes.Area,Chennai,12.9791347,80.2110172,Chennai,568,[LatLong 12.9791347 80.2110172],cpcbAq/568_VelacheryRes.Area_Chennai,site_288
SIDCOKurichi,Coimbatore,10.9438095,76.9772675,Coimbatore,569,[LatLong 10.9438095 76.9772675],cpcbAq/569_SIDCOKurichi_Coimbatore,site_5094
AnthoniPillaiNagar,Gummidipoondi,13.4092677,80.1009796,Thiruvallur,589,[LatLong 13.4092677 80.1009796],cpcbAq/589_AnthoniPillaiNagar_Gummidipoondi,site_5362
Meelavittan,Thoothukudi,8.8139002,78.0867474,Thoothukudi,594,[LatLong 8.8139002 78.0867474],cpcbAq/594_Meelavittan_Thoothukudi,site_5367
BollaramIndustrialArea,Hyderabad,17.5432727,78.3514088,Rangareddi,518,[LatLong 17.5432727 78.3514088],cpcbAq/518_BollaramIndustrialArea_Hyderabad,site_199
CentralUniversity,Hyderabad,17.4560377,78.3331214,Rangareddi,518,[LatLong 17.4560377 78.3331214],cpcbAq/518_CentralUniversity_Hyderabad,site_262
ECILKapra,Hyderabad,17.4639628,78.5788601,Rangareddi,518,[LatLong 17.4639628 78.5788601],cpcbAq/518_ECILKapra_Hyderabad,site_5596
ICRISATPatancheru,Hyderabad,17.5110595,78.2751939,Medak,513,[LatLong 17.5110595 78.2751939],cpcbAq/513_ICRISATPatancheru_Hyderabad,site_251
IDAPashamylaram,Hyderabad,17.5324702,78.1849427,Medak,513,[LatLong 17.5324702 78.1849427],cpcbAq/513_IDAPashamylaram_Hyderabad,site_275
IITHKandi,Hyderabad,17.5947027,78.1230401,Medak,513,[LatLong 17.5947027 78.1230401],cpcbAq/513_IITHKandi_Hyderabad,site_5597
Kokapet,Hyderabad,17.3968106,78.3347961,Rangareddi,518,[LatLong 17.3968106 78.3347961],cpcbAq/518_Kokapet_Hyderabad,site_5604
KompallyMunicipalOffice,Hyderabad,17.5445442,78.4888327,Rangareddi,518,[LatLong 17.5445442 78.4888327],cpcbAq/518_KompallyMunicipalOffice_Hyderabad,site_5599
NacharamTSIICIALA,Hyderabad,17.4261564,78.5615389,Rangareddi,518,[LatLong 17.4261564 78.5615389],cpcbAq/518_NacharamTSIICIALA_Hyderabad,site_5600
NewMalakpet,Hyderabad,17.367174,78.5135902,Hyderabad,507,[LatLong 17.367174 78.5135902],cpcbAq/507_NewMalakpet_Hyderabad,site_5595
Ramachandrapuram,Hyderabad,17.5102971,78.2938137,Medak,513,[LatLong 17.5102971 78.2938137],cpcbAq/513_Ramachandrapuram_Hyderabad,site_5602
Sanathnagar,Hyderabad,17.4562544,78.4439295,Rangareddi,518,[LatLong 17.4562544 78.4439295],cpcbAq/518_Sanathnagar_Hyderabad,site_294
Somajiguda,Hyderabad,17.4237128,78.4584013,Hyderabad,507,[LatLong 17.4237128 78.4584013],cpcbAq/507_Somajiguda_Hyderabad,site_5598
ZooPark,Hyderabad,17.350678,78.4513068,Hyderabad,507,[LatLong 17.350678 78.4513068],cpcbAq/507_ZooPark_Hyderabad,site_298
Bardowali,Agartala,23.8219021,91.275674,Westtripura,272,[LatLong 23.8219021 91.275674],cpcbAq/272_Bardowali_Agartala,site_5587
Kunjaban,Agartala,23.8635079,91.2903074,Westtripura,272,[LatLong 23.8635079 91.2903074],cpcbAq/272_Kunjaban_Agartala,site_5377
Manoharpur,Agra,27.2344638,78.0266735,Firozabad,143,[LatLong 27.2344638 78.0266735],cpcbAq/143_Manoharpur_Agra,site_5464
Rohta,Agra,27.1092929,78.0024134,Agra,118,[LatLong 27.1092929 78.0024134],cpcbAq/118_Rohta_Agra,site_5482
SanjayPalace,Agra,27.1986569,78.0059814,Agra,118,[LatLong 27.1986569 78.0059814],cpcbAq/118_SanjayPalace_Agra,site_307
Sector3BAvasVikasColony,Agra,27.1997026,77.9639624,Agra,118,[LatLong 27.1997026 77.9639624],cpcbAq/118_Sector3BAvasVikasColony_Agra,site_5465
ShahjahanGarden,Agra,27.1747896,78.0251692,Agra,118,[LatLong 27.1747896 78.0251692],cpcbAq/118_ShahjahanGarden_Agra,site_5501
Shastripuram,Agra,27.20397,77.9253155,Agra,118,[LatLong 27.20397 77.9253155],cpcbAq/118_Shastripuram_Agra,site_5463
NewCollectorate,Baghpat,28.9427827,77.227607,Baghpat,124,[LatLong 28.9427827 77.227607],cpcbAq/124_NewCollectorate_Baghpat,site_1569
SardarPatelInterCollege,Baghpat,28.9427827,77.227607,Baghpat,124,[LatLong 28.9427827 77.227607],cpcbAq/124_SardarPatelInterCollege_Baghpat,site_5585
RajendraNagar,Bareilly,28.3872102,79.4261906,Bareilly,130,[LatLong 28.3872102 79.4261906],cpcbAq/130_RajendraNagar_Bareilly,site_5601
Yamunapuram,Bulandshahr,28.4088401,77.8295809,Bulandshahr,134,[LatLong 28.4088401 77.8295809],cpcbAq/134_Yamunapuram_Bulandshahr,site_1542
NaglaBhau,Firozabad,27.1679708,78.3751147,Firozabad,143,[LatLong 27.1679708 78.3751147],cpcbAq/143_NaglaBhau_Firozabad,site_5480
VibhabNagar,Firozabad,27.1640151,78.3913328,Firozabad,143,[LatLong 27.1640151 78.3913328],cpcbAq/143_VibhabNagar_Firozabad,site_5584
Indirapuram,Ghaziabad,28.6460176,77.3695166,Gautambuddhanagar,144,[LatLong 28.6460176 77.3695166],cpcbAq/144_Indirapuram_Ghaziabad,site_5082
Loni,Ghaziabad,28.7333526,77.2986264,Ghaziabad,145,[LatLong 28.7333526 77.2986264],cpcbAq/145_Loni_Ghaziabad,site_5083
SanjayNagar,Ghaziabad,28.6939957,77.4549679,Ghaziabad,145,[LatLong 28.6939957 77.4549679],cpcbAq/145_SanjayNagar_Ghaziabad,site_5081
Vasundhara,Ghaziabad,28.6623758,77.37344,Gautambuddhanagar,144,[LatLong 28.6623758 77.37344],cpcbAq/144_Vasundhara_Ghaziabad,site_144
MadanMohanMalaviyaUniversityofTechnology,Gorakhpur,26.7314295,83.4331276,Gorakhpur,148,[LatLong 26.7314295 83.4331276],cpcbAq/148_MadanMohanMalaviyaUniversityofTechnology_Gorakhpur,site_5472
KnowledgePark,Gautambuddhanagar,28.478481,77.4814103,Gautambuddhanagar,144,[LatLong 28.478481 77.4814103],cpcbAq/144_KnowledgePark_Gautambuddhanagar,site_1541
AnandVihar,Hapur,28.7222506,77.7537913,Ghaziabad,145,[LatLong 28.7222506 77.7537913],cpcbAq/145_AnandVihar_Hapur,site_5023
ShivajiNagar,Jhansi,25.4504122,78.594297,Jhansi,153,[LatLong 25.4504122 78.594297],cpcbAq/153_ShivajiNagar_Jhansi,site_5583
FTIKidwaiNagar,Kanpur,26.4284187,80.3282175,Kanpur,157,[LatLong 26.4284187 80.3282175],cpcbAq/157_FTIKidwaiNagar_Kanpur,site_5500
IITK,Kanpur,26.449923,80.3318736,Kanpur,157,[LatLong 26.449923 80.3318736],cpcbAq/157_IITK_Kanpur,site_5416
NSIKalyanpur,Kanpur,26.5068262,80.251966,Kanpur,157,[LatLong 26.5068262 80.251966],cpcbAq/157_NSIKalyanpur_Kanpur,site_5474
NehruNagar,Kanpur,26.4715909,80.3237548,Kanpur,157,[LatLong 26.4715909 80.3237548],cpcbAq/157_NehruNagar_Kanpur,site_276
KalindiKunj,Khurja,28.2360265,77.8686097,Bulandshahr,134,[LatLong 28.2360265 77.8686097],cpcbAq/134_KalindiKunj_Khurja,site_5603
BRAmbedkarUniversity,Lucknow,26.7674267,80.9235387,Lucknow,162,[LatLong 26.7674267 80.9235387],cpcbAq/162_BRAmbedkarUniversity_Lucknow,site_5460
CentralSchool,Lucknow,26.8466937,80.946166,Lucknow,162,[LatLong 26.8466937 80.946166],cpcbAq/162_CentralSchool_Lucknow,site_272
GomtiNagar,Lucknow,26.8496217,81.0072193,Lucknow,162,[LatLong 26.8496217 81.0072193],cpcbAq/162_GomtiNagar_Lucknow,site_5128
KukrailPicnicSpot,Lucknow,26.9065183,80.9838959,Lucknow,162,[LatLong 26.9065183 80.9838959],cpcbAq/162_KukrailPicnicSpot_Lucknow,site_5462
Lalbagh,Lucknow,26.8459624,80.9415089,Lucknow,162,[LatLong 26.8459624 80.9415089],cpcbAq/162_Lalbagh_Lucknow,site_277
TalkatoraDistrictIndustriesCenter,Lucknow,26.8415948,80.9422923,Lucknow,162,[LatLong 26.8415948 80.9422923],cpcbAq/162_TalkatoraDistrictIndustriesCenter_Lucknow,site_297
GangaNagar,Meerut,29.0009035,77.7599208,Meerut,169,[LatLong 29.0009035 77.7599208],cpcbAq/169_GangaNagar_Meerut,site_5258
JaiBhimNagar,Meerut,28.9579131,77.7595131,Meerut,169,[LatLong 28.9579131 77.7595131],cpcbAq/169_JaiBhimNagar_Meerut,site_5109
PallavpuramPhase2,Meerut,29.0641002,77.7151616,Meerut,169,[LatLong 29.0641002 77.7151616],cpcbAq/169_PallavpuramPhase2_Meerut,site_5257
BuddhiVihar,Moradabad,28.8320769,78.7221251,Moradabad,171,[LatLong 28.8320769 78.7221251],cpcbAq/171_BuddhiVihar_Moradabad,site_5554
EcoHerbalPark,Moradabad,28.8412553,78.6966886,Moradabad,171,[LatLong 28.8412553 78.6966886],cpcbAq/171_EcoHerbalPark_Moradabad,site_5556
EmploymentOffice,Moradabad,28.8853105,78.7387581,Moradabad,171,[LatLong 28.8853105 78.7387581],cpcbAq/171_EmploymentOffice_Moradabad,site_5537
JigarColony,Moradabad,28.8552539,78.7709978,Moradabad,171,[LatLong 28.8552539 78.7709978],cpcbAq/171_JigarColony_Moradabad,site_5555
LajpatNagar,Moradabad,28.8253591,78.7830383,Moradabad,171,[LatLong 28.8253591 78.7830383],cpcbAq/171_LajpatNagar_Moradabad,site_1398
NewMandi,Muzaffarnagar,29.4676905,77.7115687,Muzaffarnagar,172,[LatLong 29.4676905 77.7115687],cpcbAq/172_NewMandi_Muzaffarnagar,site_1550
Sector,Lucknow,26.8467088,80.9461592,Lucknow,162,[LatLong 26.8467088 80.9461592],cpcbAq/162_Sector_Lucknow,site_153
Sector1,Noida,28.5900173,77.3116215,Gautambuddhanagar,144,[LatLong 28.5900173 77.3116215],cpcbAq/144_Sector1_Noida,site_5123
Sector116,Noida,28.567225,77.3970354,Gautambuddhanagar,144,[LatLong 28.567225 77.3970354],cpcbAq/144_Sector116_Noida,site_5122
Jhunsi,Prayagraj,25.4290183,81.9139692,Allahabad,120,[LatLong 25.4290183 81.9139692],cpcbAq/120_Jhunsi_Prayagraj,site_5461
MotilalNehruNIT,Prayagraj,25.4239934,81.8112481,Kaushambi,158,[LatLong 25.4239934 81.8112481],cpcbAq/158_MotilalNehruNIT_Prayagraj,site_5459
NagarNigam,Prayagraj,25.4491339,81.8273517,Kaushambi,158,[LatLong 25.4491339 81.8273517],cpcbAq/158_NagarNigam_Prayagraj,site_5484
ArdhaliBazar,Varanasi,25.3476918,82.9808861,Varanasi,187,[LatLong 25.3476918 82.9808861],cpcbAq/187_ArdhaliBazar_Varanasi,site_273
Bhelupur,Varanasi,25.3016276,82.9962631,Varanasi,187,[LatLong 25.3016276 82.9962631],cpcbAq/187_Bhelupur_Varanasi,site_5469
IESDBanarasHinduUniversity,Varanasi,25.2677203,82.9912582,Varanasi,187,[LatLong 25.2677203 82.9912582],cpcbAq/187_IESDBanarasHinduUniversity_Varanasi,site_5468
Maldahiya,Varanasi,25.325495,82.9951758,Varanasi,187,[LatLong 25.325495 82.9951758],cpcbAq/187_Maldahiya_Varanasi,site_5475
OmexEternity,Vrindavan,27.5761332,77.651225,Mathura,167,[LatLong 27.5761332 77.651225],cpcbAq/167_OmexEternity_Vrindavan,site_5483
DoonUniversity,Dehradun,30.2690156,78.0442659,Dehradun,49,[LatLong 30.2690156 78.0442659],cpcbAq/049_DoonUniversity_Dehradun,site_5594
AsansolCourtArea,Asansol,23.6871984,86.9461361,Barddhaman,306,[LatLong 23.6871984 86.9461361],cpcbAq/306_AsansolCourtArea_Asansol,site_1418
SidhuKanhuIndoorStadium,Durgapur,23.5404375,87.2914219,Barddhaman,306,[LatLong 23.5404375 87.2914219],cpcbAq/306_SidhuKanhuIndoorStadium_Durgapur,site_299
Haldia,Haldia,22.0627164,88.0832934,Eastmidnapore,318,[LatLong 22.0627164 88.0832934],cpcbAq/318_Haldia_Haldia,site_300
BelurMath,Howrah,22.6263806,88.3555025,Haora,313,[LatLong 22.6263806 88.3555025],cpcbAq/313_BelurMath_Howrah,site_5101
Ghusuri,Howrah,22.6114858,88.3540145,Haora,313,[LatLong 22.6114858 88.3540145],cpcbAq/313_Ghusuri_Howrah,site_274
Padmapukur,Howrah,22.5707053,88.3008448,Haora,313,[LatLong 22.5707053 88.3008448],cpcbAq/313_Padmapukur_Howrah,site_1416
Ballygunge,Kolkata,22.5280352,88.3659083,Kolkata,315,[LatLong 22.5280352 88.3659083],cpcbAq/315_Ballygunge_Kolkata,site_5238
Bidhannagar,Kolkata,22.5796842,88.414312,North24parganas,303,[LatLong 22.5796842 88.414312],cpcbAq/303_Bidhannagar_Kolkata,site_5129
FortWilliam,Kolkata,22.5546875,88.3360765,Kolkata,315,[LatLong 22.5546875 88.3360765],cpcbAq/315_FortWilliam_Kolkata,site_5110
Jadavpur,Kolkata,22.4954988,88.3709008,South24parganas,304,[LatLong 22.4954988 88.3709008],cpcbAq/304_Jadavpur_Kolkata,site_5111
RabindraBharatiUniversity,Kolkata,22.6270077,88.3806825,Kolkata,315,[LatLong 22.6270077 88.3806825],cpcbAq/315_RabindraBharatiUniversity_Kolkata,site_296
RabindraSarobar,Kolkata,22.5121451,88.3636952,Kolkata,315,[LatLong 22.5121451 88.3636952],cpcbAq/315_RabindraSarobar_Kolkata,site_5126
