sex,age,isced97,frequenc,unit,time\geo	BE 	BG 	CZ 	EL 	ES 	FR 	CY 	LV 	HU 	MT 	PL 	RO 	SI 	SK 	TR 
M,Y45-54,TOTAL,DAY,PC,2008	18.7 	18.3 	28.6 	20.4 	28.7 	11.6 u	9.9 	1.7 	11.9 	9.9 	7.3 	8.5 	11.4 	12.2 	: 
M,Y45-54,TOTAL,MTH,PC,2008	31.6 	45.5 	34.1 	44.2 	33.0 	45.7 u	60.0 	73.4 	41.1 	43.4 	71.3 	57.5 	44.7 	56.3 	: 
M,Y45-54,TOTAL,NVR,PC,2008	13.0 	7.7 	5.9 	14.9 	19.0 	14.1 u	11.2 	10.3 	17.8 	20.6 	8.5 	9.3 	19.0 	10.5 	: 
M,Y45-54,TOTAL,WEEK,PC,2008	36.7 	28.5 	31.4 	20.6 	19.3 	28.6 u	19.0 	14.6 	29.1 	26.2 	12.9 	24.7 	25.0 	21.1 	: 
M,Y55-64,ED0-2,DAY,PC,2008	20.3 	12.0 	: 	26.5 	37.2 	21.2 u	14.3 	4.3 	27.6 	12.9 	8.0 	8.6 	16.7 u	7.4 u	: 
M,Y55-64,ED0-2,MTH,PC,2008	36.3 	45.1 	: 	26.7 	20.5 	34.3 u	54.5 	67.6 	30.1 	34.8 	67.7 	52.8 	37.4 u	45.1 u	: 
M,Y55-64,ED0-2,NVR,PC,2008	15.4 	20.3 	: 	25.0 	27.8 	21.5 u	13.4 	11.1 	20.6 	35.5 	13.6 	15.2 	28.6 u	27.9 u	: 
M,Y55-64,ED0-2,WEEK,PC,2008	28.1 	22.6 	: 	21.8 	14.5 	23.1 u	17.8 	17.0 	21.7 	16.8 	10.7 	23.4 	17.3 u	19.7 u	: 
M,Y55-64,ED3_4,DAY,PC,2008	24.8 	16.2 	26.2 	19.7 	33.3 	25.8 u	13.7 	0.9 	21.1 	10.6 	4.2 	6.5 	17.7 	13.0 	9.2 u
M,Y55-64,ED3_4,MTH,PC,2008	33.2 	42.8 	34.5 	42.7 	33.5 	36.5 u	52.3 	74.9 	25.7 	38.2 	71.0 	60.2 	40.2 	54.6 	49.3 u
M,Y55-64,ED3_4,NVR,PC,2008	14.5 	12.3 	10.2 	14.9 	15.7 	8.9 u	12.5 	13.0 	21.5 	25.2 	13.4 	12.9 	19.4 	13.5 	38.6 u
M,Y55-64,ED3_4,WEEK,PC,2008	27.5 	28.7 	29.0 	22.7 	17.6 	28.8 u	21.4 	11.1 	31.6 	26.0 	11.4 	20.4 	22.8 	18.9 	3.0 u
M,Y55-64,ED5_6,DAY,PC,2008	35.6 	13.3 	23.9 u	25.3 	31.8 	29.4 u	11.3 	6.0 	15.4 	6.3 u	7.8 	4.0 	24.4 u	12.2 	: 
M,Y55-64,ED5_6,MTH,PC,2008	10.1 	49.2 	34.6 u	48.0 	28.9 	26.4 u	53.7 	69.8 	45.2 	37.5 u	66.9 	64.5 	35.2 u	54.3 	61.8 u
M,Y55-64,ED5_6,NVR,PC,2008	7.1 	16.5 	3.6 u	4.1 	16.7 	9.3 u	10.8 	9.2 	9.1 	6.3 u	8.4 	10.5 	6.1 u	13.6 	29.1 u
M,Y55-64,ED5_6,WEEK,PC,2008	47.3 	21.0 	38.0 u	22.7 	22.6 	34.9 u	24.3 	15.0 	30.3 	50.0 u	16.9 	21.0 	34.3 u	19.9 	9.1 u
M,Y55-64,TOTAL,DAY,PC,2008	26.7 	14.4 	26.1 	24.5 	35.3 	24.9 u	13.6 	2.8 	21.0 	11.3 	5.5 	6.9 	18.4 	12.5 	: 
M,Y55-64,TOTAL,MTH,PC,2008	26.2 	44.5 	33.8 	36.1 	24.7 	33.5 u	53.7 	71.8 	29.9 	36.5 	69.8 	58.6 	38.8 	53.9 	: 
M,Y55-64,TOTAL,NVR,PC,2008	12.4 	15.4 	9.1 	17.2 	23.2 	13.6 u	12.7 	11.8 	19.2 	28.4 	12.8 	13.3 	19.5 	14.6 	: 
M,Y55-64,TOTAL,WEEK,PC,2008	34.7 	25.7 	31.1 	22.2 	16.8 	28.0 u	20.0 	13.6 	30.0 	23.9 	12.0 	21.3 	23.2 	19.1 	: 
M,Y65-74,ED0-2,DAY,PC,2008	20.8 u	14.0 	: 	31.8 	37.5 	25.6 u	17.4 	0.5 	15.9 	12.8 	2.6 	8.2 	21.6 u	27.4 u	: 
M,Y65-74,ED0-2,MTH,PC,2008	27.8 u	46.1 	: 	30.8 	24.1 	40.9 u	47.2 	73.9 	23.0 	23.5 	66.0 	51.8 	48.3 u	44.9 u	: 
M,Y65-74,ED0-2,NVR,PC,2008	26.6 u	21.1 	: 	24.4 	29.8 	15.5 u	22.6 	21.3 	25.2 	52.0 	27.1 	17.0 	25.3 u	13.1 u	: 
M,Y65-74,ED0-2,WEEK,PC,2008	24.8 u	18.8 	: 	13.0 	8.7 	18.0 u	12.8 	4.3 	35.9 	11.8 	4.3 	23.0 	4.9 u	14.6 u	: 
M,Y65-74,ED3_4,DAY,PC,2008	28.8 	12.8 	33.8 	21.6 u	33.7 	36.1 u	16.8 	0.9 	19.6 	16.7 	3.7 	6.4 	14.0 	12.9 	18.2 u
M,Y65-74,ED3_4,MTH,PC,2008	24.7 	49.8 	33.3 	47.3 u	29.7 	37.0 u	56.1 	69.7 	28.2 	27.8 	67.3 	60.6 	47.1 	55.0 	27.0 u
M,Y65-74,ED3_4,NVR,PC,2008	11.1 	17.8 	14.2 	22.0 u	25.0 	11.3 u	14.7 	20.0 	24.1 	33.3 	23.0 	18.0 	19.1 	17.5 	54.8 u
M,Y65-74,ED3_4,WEEK,PC,2008	35.4 	19.6 	18.7 	9.1 u	11.6 	15.6 u	12.4 	9.4 	28.1 	22.2 	6.0 	15.0 	19.7 	14.7 	: 
M,Y65-74,ED5_6,DAY,PC,2008	39.0 	4.8 	: 	30.0 	37.5 	37.7 u	19.0 u	2.2 u	25.2 u	23.8 u	8.6 	3.4 	: 	2.4 u	7.1 u
M,Y65-74,ED5_6,MTH,PC,2008	23.4 	56.7 	: 	35.6 	19.8 	36.4 u	49.7 u	68.6 u	28.3 u	38.1 u	65.1 	78.9 	: 	60.3 u	53.9 u
M,Y65-74,ED5_6,NVR,PC,2008	6.3 	24.4 	: 	16.5 	25.5 	8.5 u	16.5 u	20.2 u	8.4 u	33.3 u	17.0 	8.2 	: 	26.0 u	27.3 u
M,Y65-74,ED5_6,WEEK,PC,2008	31.3 	14.0 	: 	18.0 	17.2 	17.4 u	14.8 u	9.1 u	38.1 u	4.8 u	9.2 	9.6 	: 	11.4 u	11.7 u
M,Y65-74,TOTAL,DAY,PC,2008	25.8 	12.0 	28.9 	30.2 	36.9 	30.9 u	17.5 	0.9 	19.2 	15.3 	4.0 	7.1 	16.3 	13.4 	: 
M,Y65-74,TOTAL,MTH,PC,2008	26.9 	49.3 	37.1 	33.8 	24.4 	38.9 u	49.8 	71.4 	26.3 	26.6 	66.6 	57.5 	46.8 	54.3 	: 
M,Y65-74,TOTAL,NVR,PC,2008	18.3 	20.4 	14.0 	22.5 	28.5 	13.0 u	19.8 	20.6 	21.9 	44.1 	23.5 	16.7 	20.3 	18.3 	: 
M,Y65-74,TOTAL,WEEK,PC,2008	29.0 	18.3 	20.0 	13.6 	10.3 	17.2 u	13.0 	7.1 	32.6 	14.1 	5.9 	18.7 	16.6 	14.1 	: 
M,Y_GE75,ED0-2,DAY,PC,2008	24.6 u	10.0 	: 	26.5 	31.5 	26.9 u	16.1 	: 	20.9 	10.0 	2.8 	4.6 	: 	11.6 u	: 
M,Y_GE75,ED0-2,MTH,PC,2008	37.0 u	47.3 	: 	22.9 	17.0 	42.6 u	37.8 	51.9 	28.7 	30.0 	52.3 	58.1 	: 	52.0 u	: 
M,Y_GE75,ED0-2,NVR,PC,2008	23.3 u	30.0 	: 	39.4 	44.4 	21.9 u	38.5 	45.7 	37.9 	53.8 	41.4 	25.0 	: 	33.3 u	: 
M,Y_GE75,ED0-2,WEEK,PC,2008	15.2 u	12.8 	: 	11.3 	7.1 	8.7 u	7.6 	2.5 	12.4 	6.3 	3.5 	12.3 	: 	3.1 u	: 
M,Y_GE75,ED3_4,DAY,PC,2008	18.6 u	12.0 	24.3 u	9.4 u	47.4 	27.6 u	18.2 u	: 	28.0 	26.9 u	1.4 	4.8 	23.4 u	7.9 u	: 
M,Y_GE75,ED3_4,MTH,PC,2008	25.9 u	51.4 	53.3 u	35.9 u	18.8 	40.9 u	49.8 u	67.6 u	29.7 	7.7 u	62.5 	54.0 	25.9 u	56.7 u	: 
M,Y_GE75,ED3_4,NVR,PC,2008	15.8 u	19.0 	10.7 u	43.1 u	26.6 	16.2 u	18.3 u	26.0 u	21.7 	42.3 u	32.7 	34.9 	17.1 u	27.1 u	: 
M,Y_GE75,ED3_4,WEEK,PC,2008	39.7 u	17.6 	11.7 u	11.6 u	7.2 	15.4 u	13.7 u	6.4 u	20.6 	23.1 u	3.5 	6.2 	33.6 u	8.4 u	: 
M,Y_GE75,ED5_6,DAY,PC,2008	34.7 u	: 	: 	12.3 u	48.8 	58.6 u	: 	: 	12.7 u	: 	9.5 	: 	: 	: 	: 
M,Y_GE75,ED5_6,MTH,PC,2008	26.0 u	46.9 u	: 	29.0 u	13.1 	24.2 u	: 	: 	46.2 u	: 	56.7 	69.7 u	: 	: 	: 
M,Y_GE75,ED5_6,NVR,PC,2008	7.6 u	38.0 u	: 	36.1 u	31.2 	8.9 u	: 	: 	32.2 u	: 	32.0 	28.9 u	: 	: 	: 
M,Y_GE75,ED5_6,WEEK,PC,2008	31.6 u	15.1 u	: 	22.5 u	7.0 	8.2 u	: 	: 	9.0 u	: 	1.8 	1.3 u	: 	: 	: 
M,Y_GE75,TOTAL,DAY,PC,2008	26.1 u	9.0 	19.7 	23.0 	34.0 	31.4 u	16.8 	2.0 	21.8 	14.8 	3.4 	4.3 	29.6 	10.1 	: 
M,Y_GE75,TOTAL,MTH,PC,2008	32.1 u	48.2 	51.2 	25.0 	16.7 	39.7 u	40.6 	60.6 	33.0 	27.0 	56.5 	58.1 	38.1 	56.4 	: 
M,Y_GE75,TOTAL,NVR,PC,2008	18.5 u	28.5 	18.8 	39.4 	42.2 	18.8 u	32.8 	34.1 	30.5 	48.7 	36.9 	27.7 	11.7 	28.2 	: 
M,Y_GE75,TOTAL,WEEK,PC,2008	23.3 u	14.3 	10.3 	12.6 	7.1 	10.1 u	9.8 	3.3 	14.8 	9.6 	3.2 	9.9 	20.7 	5.3 	: 
T,TOTAL,ED0-2,DAY,PC,2008	12.9 u	7.0 	7.0 	13.2 	15.7 	10.3 u	6.4 	1.6 	5.7 	6.6 	2.1 	3.2 	8.9 	4.4 	: 
T,TOTAL,ED0-2,MTH,PC,2008	39.9 u	40.0 	55.1 	31.6 	30.5 	46.9 u	44.5 	63.5 	30.0 	28.6 	50.6 	50.8 	45.8 	49.5 	: 
T,TOTAL,ED0-2,NVR,PC,2008	27.6 u	42.1 	27.5 	43.8 	44.6 	31.3 u	40.8 	28.3 	54.2 	55.9 	43.4 	36.8 	37.9 	42.5 	: 
T,TOTAL,ED0-2,WEEK,PC,2008	19.6 u	11.0 	10.4 	11.5 	9.3 	11.6 u	8.3 	6.6 	10.1 	8.9 	3.9 	9.1 	7.5 	3.6 	: 
T,TOTAL,ED3_4,DAY,PC,2008	11.6 	6.4 	10.5 	7.0 	10.9 	8.4 u	4.9 	0.6 	6.4 	4.7 	2.5 	2.7 	6.6 	5.2 	: 
T,TOTAL,ED3_4,MTH,PC,2008	42.5 	54.8 	56.7 	49.9 	48.7 	52.3 u	60.6 	77.2 	45.7 	48.2 	70.4 	61.9 	56.9 	65.7 	: 
T,TOTAL,ED3_4,NVR,PC,2008	19.0 	24.1 	14.1 	24.1 	26.3 	21.2 u	24.3 	16.0 	32.5 	29.7 	20.0 	24.0 	20.8 	18.8 	: 
T,TOTAL,ED3_4,WEEK,PC,2008	26.9 	14.6 	18.7 	19.0 	14.2 	18.0 u	10.2 	6.2 	15.4 	17.5 	7.1 	11.4 	15.7 	10.3 	: 
T,TOTAL,ED5_6,DAY,PC,2008	12.2 	4.8 	8.7 	8.9 	10.6 	8.0 u	3.2 	0.9 	4.3 	4.0 	2.9 	1.0 	6.1 	2.7 	: 
T,TOTAL,ED5_6,MTH,PC,2008	40.6 	57.3 	49.1 	53.5 	47.6 	54.5 u	66.7 	79.5 	53.9 	52.8 	74.2 	69.2 	67.4 	72.8 	: 
T,TOTAL,ED5_6,NVR,PC,2008	11.0 	22.4 	9.8 	20.1 	22.6 	16.1 u	18.2 	13.3 	25.5 	18.3 	13.1 	20.7 	9.7 	14.5 	: 
T,TOTAL,ED5_6,WEEK,PC,2008	36.2 	15.5 	32.4 	17.6 	19.1 	21.5 u	11.9 	6.4 	16.3 	24.9 	9.8 	9.2 	16.8 	10.0 	: 
T,TOTAL,TOTAL,DAY,PC,2008	12.3 u	6.3 	9.8 	10.0 	13.4 	8.9 u	5.0 	1.0 	5.9 	5.2 	2.5 	2.7 	7.1 	4.6 	: 
T,TOTAL,TOTAL,MTH,PC,2008	40.9 u	50.8 	55.5 	43.2 	38.8 	51.0 u	56.5 	74.0 	43.3 	42.2 	67.2 	59.2 	56.1 	65.2 	: 
T,TOTAL,TOTAL,NVR,PC,2008	19.4 u	29.2 	15.4 	31.3 	35.0 	23.4 u	28.6 	18.6 	36.6 	36.9 	23.4 	27.7 	23.0 	20.6 	: 
T,TOTAL,TOTAL,WEEK,PC,2008	27.4 u	13.7 	19.3 	15.6 	12.8 	16.7 u	9.9 	6.4 	14.3 	15.7 	7.0 	10.4 	13.9 	9.5 	: 
T,Y18-44,ED0-2,DAY,PC,2008	4.2 u	5.7 	6.5 	9.4 	8.3 	3.0 u	4.5 	2.9 	2.6 	3.5 	2.4 	2.8 	5.1 	2.0 	: 
T,Y18-44,ED0-2,MTH,PC,2008	45.4 u	46.4 	68.3 	41.8 	43.8 	51.6 u	54.3 	74.4 	45.0 	41.2 	63.9 	55.3 	62.5 	66.6 	: 
T,Y18-44,ED0-2,NVR,PC,2008	30.4 u	36.7 	12.7 	31.5 	35.7 	33.3 u	30.8 	14.6 	42.2 	41.2 	27.4 	32.7 	21.8 	27.3 	: 
T,Y18-44,ED0-2,WEEK,PC,2008	20.0 u	11.2 	12.6 	17.3 	12.3 	12.2 u	10.4 	8.1 	10.2 	14.1 	6.4 	9.2 	10.6 	4.2 	: 
T,Y18-44,ED3_4,DAY,PC,2008	4.8 	4.1 	4.7 	5.4 	5.0 	2.7 u	3.1 	0.5 	2.9 	2.2 	2.4 	2.0 	3.4 	4.0 	: 
T,Y18-44,ED3_4,MTH,PC,2008	49.4 	59.5 	67.1 	52.0 	55.3 	57.7 u	64.2 	81.7 	53.1 	54.7 	73.6 	64.5 	63.8 	69.9 	: 
T,Y18-44,ED3_4,NVR,PC,2008	20.2 	22.8 	9.5 	21.1 	25.5 	24.5 u	23.7 	10.9 	31.7 	26.1 	15.6 	23.0 	19.0 	16.1 	: 
T,Y18-44,ED3_4,WEEK,PC,2008	25.6 	13.6 	18.7 	21.5 	14.2 	15.0 u	9.0 	6.9 	12.4 	16.9 	8.4 	10.6 	13.9 	10.0 	: 
T,Y18-44,ED5_6,DAY,PC,2008	5.0 	4.3 	2.9 	4.1 	4.1 	2.2 u	1.6 	0.4 	0.3 	2.1 	1.9 	0.3 	1.9 	1.1 	: 
T,Y18-44,ED5_6,MTH,PC,2008	47.9 	58.5 	56.5 	59.5 	54.9 	60.0 u	69.2 	83.4 	60.5 	57.7 	76.6 	69.6 	72.9 	75.7 	: 
T,Y18-44,ED5_6,NVR,PC,2008	12.6 	21.4 	9.1 	19.1 	22.0 	18.6 u	18.2 	9.5 	25.0 	16.3 	10.5 	21.0 	9.4 	12.8 	: 
T,Y18-44,ED5_6,WEEK,PC,2008	34.5 	15.8 	31.6 	17.3 	19.1 	19.3 u	11.1 	6.8 	14.2 	24.0 	11.0 	9.1 	15.8 	10.4 	: 
T,Y18-44,TOTAL,DAY,PC,2008	4.7 	4.6 	4.6 	5.9 	6.0 	2.6 u	2.8 	1.0 	2.3 	2.2 	2.3 	1.9 	3.3 	3.2 	: 
T,Y18-44,TOTAL,MTH,PC,2008	48.0 	56.5 	65.6 	52.0 	50.7 	57.4 u	64.2 	80.6 	53.5 	54.5 	73.3 	63.4 	65.5 	71.1 	: 
T,Y18-44,TOTAL,NVR,PC,2008	19.1 	25.4 	9.8 	22.6 	28.4 	23.9 u	23.1 	11.3 	31.8 	24.9 	15.6 	24.6 	17.3 	16.0 	: 
T,Y18-44,TOTAL,WEEK,PC,2008	28.1 	13.5 	20.0 	19.5 	15.0 	16.1 u	9.9 	7.1 	12.5 	18.4 	8.8 	10.1 	13.9 	9.7 	: 
T,Y45-54,ED0-2,DAY,PC,2008	13.1 u	15.3 	18.0 u	13.5 	19.8 	6.4 u	5.5 	1.1 	6.2 	7.4 	4.7 	6.3 	13.4 	12.4 u	: 
T,Y45-54,ED0-2,MTH,PC,2008	42.3 u	38.5 	60.3 u	38.9 	31.7 	52.6 u	48.7 	71.6 	31.7 	36.3 	63.5 	54.7 	33.5 	54.5 u	: 
T,Y45-54,ED0-2,NVR,PC,2008	22.3 u	27.4 	15.0 u	36.6 	37.9 	27.3 u	35.3 	13.0 	50.8 	46.1 	23.9 	28.3 	45.4 	31.4 u	: 
T,Y45-54,ED0-2,WEEK,PC,2008	22.3 u	18.7 	6.7 u	11.0 	10.6 	13.7 u	10.5 	14.3 	11.3 	10.2 	7.8 	10.7 	7.7 	1.7 u	: 
T,Y45-54,ED3_4,DAY,PC,2008	14.5 	11.0 	17.6 	9.3 	16.9 	6.8 u	6.2 	1.0 	6.7 	6.3 	3.4 	4.0 	4.8 	6.6 	: 
T,Y45-54,ED3_4,MTH,PC,2008	38.7 	54.1 	45.0 	47.8 	38.7 	48.8 u	56.2 	80.4 	43.9 	43.4 	73.5 	60.4 	51.3 	66.9 	: 
T,Y45-54,ED3_4,NVR,PC,2008	16.4 	17.3 	14.4 	28.5 	27.9 	19.2 u	25.4 	11.0 	29.9 	32.1 	15.9 	21.1 	24.4 	13.4 	: 
T,Y45-54,ED3_4,WEEK,PC,2008	30.5 	17.6 	23.1 	14.4 	16.6 	25.1 u	12.1 	7.6 	19.6 	18.2 	7.2 	14.6 	19.6 	13.0 	: 
T,Y45-54,ED5_6,DAY,PC,2008	17.0 	6.2 	13.4 u	12.2 	17.1 	7.7 u	4.4 	0.8 	5.5 	2.8 	3.8 	2.1 	1.7 	4.2 	: 
T,Y45-54,ED5_6,MTH,PC,2008	34.2 	56.1 	36.9 u	49.7 	39.8 	55.3 u	66.4 	79.1 	55.7 	48.6 	76.8 	72.5 	71.5 	71.5 	: 
T,Y45-54,ED5_6,NVR,PC,2008	7.2 	15.4 	3.8 u	18.4 	21.0 	11.8 u	17.3 	12.4 	21.6 	19.4 	11.7 	15.1 	10.1 	12.9 	: 
T,Y45-54,ED5_6,WEEK,PC,2008	41.6 	22.3 	45.9 u	19.7 	22.1 	25.2 u	11.9 	7.7 	17.3 	29.2 	7.7 	10.3 	16.7 	11.4 	: 
T,Y45-54,TOTAL,DAY,PC,2008	15.0 	10.9 	17.0 	11.7 	18.4 	6.9 u	5.6 	1.0 	6.3 	6.3 	3.6 	4.3 	6.2 	6.5 	: 
T,Y45-54,TOTAL,MTH,PC,2008	38.5 	51.5 	46.1 	45.2 	35.4 	51.5 u	56.2 	78.7 	44.1 	41.7 	72.9 	60.4 	51.0 	67.1 	: 
T,Y45-54,TOTAL,NVR,PC,2008	15.3 	18.9 	13.7 	28.3 	31.2 	20.0 u	26.7 	11.6 	31.9 	35.2 	16.1 	22.0 	26.5 	14.4 	: 
T,Y45-54,TOTAL,WEEK,PC,2008	31.3 	18.8 	23.2 	14.8 	15.0 	21.6 u	11.6 	8.7 	17.7 	16.8 	7.3 	13.3 	16.3 	12.1 	: 
T,Y55-64,ED0-2,DAY,PC,2008	17.1 	6.9 	7.7 	13.3 	21.3 	11.9 u	7.0 	2.3 	8.5 	7.3 	3.2 	3.4 	10.0 	2.5 	: 
T,Y55-64,ED0-2,MTH,PC,2008	36.7 	37.6 	48.8 	32.0 	23.6 	44.3 u	46.3 	66.4 	32.0 	29.1 	58.1 	52.7 	40.4 	43.0 	: 
T,Y55-64,ED0-2,NVR,PC,2008	19.8 	42.9 	26.7 	42.7 	45.7 	28.4 u	37.7 	20.1 	49.1 	52.7 	34.2 	33.5 	39.4 	45.5 	: 
T,Y55-64,ED0-2,WEEK,PC,2008	26.5 	12.6 	16.8 	12.0 	9.3 	15.5 u	9.0 	11.3 	10.4 	10.9 	4.6 	10.4 	10.3 	9.0 	: 
T,Y55-64,ED3_4,DAY,PC,2008	21.6 	8.8 	17.3 	12.1 	24.1 	17.6 u	8.1 	0.4 	11.8 	7.2 	2.3 	3.8 	13.7 	7.2 	7.4 u
T,Y55-64,ED3_4,MTH,PC,2008	36.9 	45.7 	44.5 	45.0 	38.3 	44.9 u	54.0 	77.9 	36.7 	38.3 	67.2 	58.1 	48.4 	59.9 	55.3 u
T,Y55-64,ED3_4,NVR,PC,2008	15.3 	27.5 	16.7 	26.3 	24.4 	15.5 u	23.7 	16.8 	32.8 	35.6 	24.6 	25.6 	19.9 	21.9 	34.9 u
T,Y55-64,ED3_4,WEEK,PC,2008	26.2 	18.1 	21.5 	16.7 	13.2 	22.1 u	14.2 	4.9 	18.8 	18.9 	5.9 	12.5 	18.1 	11.0 	2.4 u
T,Y55-64,ED5_6,DAY,PC,2008	26.2 	6.7 	19.1 u	17.2 	26.6 	19.2 u	7.1 	2.2 	7.9 	5.8 	4.3 	2.0 	17.0 u	6.7 	: 
T,Y55-64,ED5_6,MTH,PC,2008	25.0 	60.8 	31.8 u	48.5 	31.6 	38.7 u	55.1 	76.9 	41.3 	42.3 	69.7 	66.6 	53.4 u	67.9 	60.5 u
T,Y55-64,ED5_6,NVR,PC,2008	9.3 	20.3 	12.3 u	17.4 	22.9 	10.8 u	19.3 	14.1 	28.7 	11.5 	15.9 	19.7 	3.1 u	16.1 	32.0 u
T,Y55-64,ED5_6,WEEK,PC,2008	39.5 	12.2 	36.8 u	17.0 	18.9 	31.3 u	18.6 	6.8 	22.1 	40.4 	10.2 	11.6 	26.5 u	9.3 	7.5 u
T,Y55-64,TOTAL,DAY,PC,2008	21.1 	7.8 	16.3 	13.8 	22.7 	15.5 u	7.3 	1.2 	10.4 	7.1 	2.8 	3.5 	13.0 	6.6 	: 
T,Y55-64,TOTAL,MTH,PC,2008	33.1 	45.8 	43.4 	38.3 	27.6 	43.4 u	49.7 	74.9 	36.4 	33.2 	65.4 	56.7 	46.6 	59.6 	: 
T,Y55-64,TOTAL,NVR,PC,2008	15.4 	30.9 	17.3 	33.9 	38.0 	19.9 u	31.2 	17.1 	35.7 	43.7 	25.6 	28.2 	23.4 	23.3 	: 
T,Y55-64,TOTAL,WEEK,PC,2008	30.4 	15.5 	22.9 	14.1 	11.7 	21.2 u	11.8 	6.8 	17.6 	15.9 	6.2 	11.6 	16.9 	10.5 	: 
T,Y65-74,ED0-2,DAY,PC,2008	15.8 u	6.2 	6.2 	16.3 	21.1 	15.0 u	8.2 	0.4 	6.7 	6.9 	0.9 	3.0 	10.3 	7.3 	: 
T,Y65-74,ED0-2,MTH,PC,2008	37.5 u	38.3 	51.0 	25.8 	20.5 	45.1 u	40.0 	60.7 	20.5 	22.7 	46.8 	48.1 	46.9 	43.1 	: 
T,Y65-74,ED0-2,NVR,PC,2008	29.7 u	45.5 	33.7 	48.8 	53.2 	29.7 u	45.5 	36.7 	59.9 	62.3 	50.1 	38.7 	38.9 	44.9 	: 
T,Y65-74,ED0-2,WEEK,PC,2008	17.0 u	10.1 	9.1 	9.0 	5.3 	10.2 u	6.3 	2.1 	13.0 	8.1 	2.2 	10.2 	3.9 	4.8 	: 
T,Y65-74,ED3_4,DAY,PC,2008	24.2 	6.6 	18.4 	11.9 	30.0 	22.1 u	11.9 	1.1 	11.1 	13.1 	1.8 	3.7 	10.9 	6.9 	: 
T,Y65-74,ED3_4,MTH,PC,2008	29.2 	51.7 	46.3 	48.0 	32.3 	48.2 u	51.4 	63.1 	33.9 	31.0 	60.1 	56.1 	52.2 	54.0 	: 
T,Y65-74,ED3_4,NVR,PC,2008	19.3 	30.4 	21.2 	31.6 	27.7 	15.5 u	28.6 	31.7 	35.4 	36.9 	34.3 	31.1 	24.1 	31.8 	: 
T,Y65-74,ED3_4,WEEK,PC,2008	27.4 	11.4 	14.1 	8.5 	10.1 	14.3 u	8.2 	4.1 	19.6 	19.1 	3.8 	9.0 	12.8 	7.3 	: 
T,Y65-74,ED5_6,DAY,PC,2008	30.2 	2.6 	: 	23.6 	35.0 	28.7 u	14.3 	0.8 	16.3 	20.7 u	4.7 	2.0 	12.7 u	1.4 	5.9 u
T,Y65-74,ED5_6,MTH,PC,2008	27.8 	54.4 	: 	35.7 	21.1 	39.8 u	55.1 	71.3 	38.4 	27.6 u	62.1 	67.3 	58.1 u	66.0 	56.0 u
T,Y65-74,ED5_6,NVR,PC,2008	8.7 	35.4 	: 	26.1 	30.5 	14.7 u	19.6 	24.6 	23.7 	44.8 u	26.6 	25.3 	11.9 u	24.9 	28.5 u
T,Y65-74,ED5_6,WEEK,PC,2008	33.3 	7.6 	: 	14.7 	13.4 	16.8 u	11.1 	3.3 	21.6 	6.9 u	6.6 	5.5 	17.3 u	7.8 	9.7 u
T,Y65-74,TOTAL,DAY,PC,2008	20.3 	5.8 	15.4 	16.6 	23.4 	18.7 u	9.6 	0.8 	9.8 	9.4 	1.8 	3.2 	10.8 	6.3 	: 
T,Y65-74,TOTAL,MTH,PC,2008	33.7 	45.3 	48.1 	29.8 	21.8 	45.4 u	43.8 	63.2 	28.2 	24.9 	54.7 	51.7 	50.7 	52.6 	: 
T,Y65-74,TOTAL,NVR,PC,2008	23.6 	38.7 	23.1 	43.7 	48.2 	23.8 u	39.5 	32.9 	45.3 	55.2 	40.1 	35.6 	28.9 	34.5 	: 
T,Y65-74,TOTAL,WEEK,PC,2008	22.4 	10.2 	13.4 	9.8 	6.6 	12.2 u	7.1 	3.2 	16.8 	10.5 	3.4 	9.5 	9.6 	6.7 	: 
T,Y_GE75,ED0-2,DAY,PC,2008	16.3 u	5.4 	1.6 	13.3 	17.8 	14.8 u	7.2 	0.2 	6.8 	5.5 	0.7 	1.9 	7.4 	3.1 	: 
T,Y_GE75,ED0-2,MTH,PC,2008	36.3 u	33.9 	36.3 	20.9 	13.4 	42.0 u	27.3 	38.2 	18.1 	22.0 	29.8 	42.5 	39.2 	39.4 	: 
T,Y_GE75,ED0-2,NVR,PC,2008	36.0 u	54.9 	57.9 	58.5 	64.6 	36.4 u	61.5 	60.4 	68.4 	69.3 	68.5 	49.8 	49.5 	56.9 	: 
T,Y_GE75,ED0-2,WEEK,PC,2008	11.5 u	5.9 	4.2 	7.3 	4.2 	6.7 u	4.1 	1.2 	6.7 	3.2 	1.0 	5.7 	4.0 	0.7 	: 
T,Y_GE75,ED3_4,DAY,PC,2008	21.8 u	4.8 	9.3 	7.1 	33.7 	22.0 u	14.9 	: 	15.2 	16.4 	0.5 	2.5 	21.1 	3.4 	: 
T,Y_GE75,ED3_4,MTH,PC,2008	25.9 u	41.7 	47.5 	29.0 	20.8 	41.9 u	47.5 	45.5 	27.7 	23.6 	46.2 	44.4 	35.9 	45.6 	: 
T,Y_GE75,ED3_4,NVR,PC,2008	24.4 u	46.0 	39.2 	54.9 	40.8 	24.4 u	25.7 	52.3 	46.4 	45.5 	51.8 	49.7 	23.4 	47.4 	: 
T,Y_GE75,ED3_4,WEEK,PC,2008	28.0 u	7.5 	4.1 	9.1 	4.8 	11.7 u	11.8 	2.2 	10.7 	14.6 	1.5 	3.4 	19.6 	3.6 	: 
