frequenc,sex,age,isced97,time\geo	BE 	BG 	CZ 	EL 	ES 	CY 	LV 	HU 	MT 	RO 	SI 	SK 
LT1M,T,Y55-64,TOTAL,2008	16.4 	11.0 	16.4 	7.3 	2.5 	5.1 	7.4 	7.2 	7.9 	12.3 	12.6 	13.9 
LT1M,T,Y65-74,ED0-2,2008	11.2 u	4.0 	5.3 	4.9 	0.9 	3.1 	1.8 	4.2 	5.8 	8.5 	4.4 	5.4 
LT1M,T,Y65-74,ED3_4,2008	7.9 	5.0 	11.9 	7.5 	2.9 	3.8 	4.8 	3.2 	6.2 	12.8 	14.0 	10.2 
LT1M,T,Y65-74,ED5_6,2008	10.2 	4.4 	: 	5.1 	3.3 	1.7 	1.8 	6.4 	3.7 u	7.7 	18.4 u	7.5 
LT1M,T,Y65-74,TOTAL,2008	10.1 	4.5 	10.6 	5.2 	1.3 	3.1 	3.1 	4.2 	5.7 	9.8 	10.6 	8.6 
LT1M,T,Y75-84,ED0-2,2008	3.7 u	3.5 	0.9 	4.0 	0.4 	0.6 	0.8 	0.4 	0.6 	6.7 	2.6 	1.7 
LT1M,T,Y75-84,ED3_4,2008	10.6 u	1.4 	8.4 	2.7 	: 	1.8 	0.9 	6.8 	6.5 	6.3 	6.5 u	6.1 
LT1M,T,Y75-84,ED5_6,2008	6.7 u	2.2 u	: 	3.7 	0.7 	: 	: 	3.1 u	: 	4.5 	: 	: 
LT1M,T,Y75-84,TOTAL,2008	5.6 u	2.8 	6.3 	3.8 	0.4 	0.8 	0.7 	2.7 	2.6 	6.5 	3.5 	4.8 
LT1M,T,Y_GE85,ED0-2,2008	2.6 u	1.6 	: 	1.7 	0.2 u	: 	: 	1.6 	: 	1.5 	: 	5.3 u
LT1M,T,Y_GE85,ED3_4,2008	2.9 u	: 	: 	: 	: 	: 	: 	: 	: 	3.4 u	: 	: 
LT1M,T,Y_GE85,ED5_6,2008	6.1 u	: 	: 	: 	7.5 u	: 	: 	: 	: 	: 	: 	: 
LT1M,T,Y_GE85,TOTAL,2008	3.1 u	1.2 	1.8 u	1.4 	0.6 u	: 	: 	1.1 	: 	1.8 	: 	3.3 u
MTH,F,TOTAL,ED0-2,2008	4.5 u	0.7 	3.2 	0.1 	0.3 	0.1 	2.4 	1.2 	0.7 	0.9 	1.5 	1.2 
MTH,F,TOTAL,ED3_4,2008	5.4 	0.7 	6.7 	0.9 	1.5 	0.4 	2.9 	1.6 	4.4 	0.6 	1.3 	1.2 
MTH,F,TOTAL,ED5_6,2008	6.8 	1.3 	11.8 	0.8 	1.3 	0.3 	3.1 	2.0 	5.2 	0.7 	2.6 	0.7 
MTH,F,TOTAL,TOTAL,2008	5.5 u	0.8 	6.5 	0.5 	0.8 	0.3 	2.8 	1.6 	3.2 	0.8 	1.6 	1.1 
MTH,F,Y15-24,ED0-2,2008	6.6 u	: 	2.4 	: 	1.6 	0.3 	3.3 	3.6 	: 	0.6 	4.3 	1.7 
MTH,F,Y15-24,ED3_4,2008	15.8 	1.7 	14.5 	3.4 	3.2 	0.4 u	1.4 	4.8 	9.3 	0.6 	3.8 	1.3 
MTH,F,Y15-24,ED5_6,2008	16.0 	: 	: 	5.3 u	1.6 	0.8 	9.8 	10.5 u	5.5 	: 	: 	1.9 
MTH,F,Y15-24,TOTAL,2008	14.5 	1.2 	9.8 	2.7 	2.2 	0.5 	3.4 	4.7 	8.4 	0.6 	4.8 	1.5 
MTH,F,Y25-34,ED0-2,2008	: 	2.6 	: 	: 	1.0 	: 	5.2 	: 	: 	2.1 	: 	: 
MTH,F,Y25-34,ED3_4,2008	3.5 	: 	10.0 	: 	2.5 	0.8 	5.6 	1.7 	4.9 	0.6 	: 	2.4 
MTH,F,Y25-34,ED5_6,2008	9.6 	: 	8.1 u	0.3 	2.2 	0.4 	4.4 	1.9 	6.2 	0.3 	3.7 	1.3 
MTH,F,Y25-34,TOTAL,2008	6.1 	0.6 	9.6 	0.1 	1.9 	0.5 	5.1 	1.6 	5.4 	0.8 	1.3 	2.2 
MTH,F,Y35-44,ED0-2,2008	7.9 	1.4 	: 	0.4 	: 	: 	4.5 u	: 	: 	1.1 	: 	: 
MTH,F,Y35-44,ED3_4,2008	6.3 	1.3 	8.7 	0.8 	0.5 	0.6 	3.6 	1.1 	1.9 	0.8 	3.1 	0.5 
MTH,F,Y35-44,ED5_6,2008	6.4 	1.0 	: 	: 	1.3 	: 	0.8 	: 	2.6 u	2.0 	: 	: 
MTH,F,Y35-44,TOTAL,2008	6.6 	1.2 	9.4 	0.5 	0.6 	0.3 	2.6 	0.6 	1.9 	1.0 	1.6 	0.4 
MTH,F,Y45-54,ED0-2,2008	8.4 	1.1 	: 	: 	0.1 	: 	4.0 	1.4 	2.6 	1.0 	: 	: 
MTH,F,Y45-54,ED3_4,2008	7.1 	0.4 	5.1 	0.3 	0.9 	: 	3.5 	1.0 	2.9 	0.8 	0.7 	1.0 
MTH,F,Y45-54,ED5_6,2008	5.6 	2.9 	: 	0.6 	0.1 	: 	1.8 	3.0 	3.5 u	: 	2.0 u	: 
MTH,F,Y45-54,TOTAL,2008	7.0 	1.1 	6.6 	0.3 	0.3 	: 	3.1 	1.5 	2.9 	0.7 	0.8 	0.7 
MTH,F,Y55-64,ED0-2,2008	6.6 	: 	1.9 u	0.1 	0.2 	0.3 	1.5 	1.3 	: 	1.4 	3.9 	4.1 u
MTH,F,Y55-64,ED3_4,2008	3.2 	1.1 	2.1 	0.6 	0.2 	: 	3.3 	1.6 	3.1 	0.3 	: 	1.3 
MTH,F,Y55-64,ED5_6,2008	4.3 	1.0 	: 	: 	: 	: 	4.9 	2.6 	10.5 u	0.7 	4.5 u	: 
MTH,F,Y55-64,TOTAL,2008	5.0 	0.7 	3.6 	0.2 	0.2 	0.2 	3.3 	1.7 	1.5 	0.9 	2.2 	1.4 
MTH,F,Y65-74,ED0-2,2008	1.8 	: 	: 	: 	: 	: 	1.4 	: 	: 	0.7 	0.8 	: 
MTH,F,Y65-74,ED3_4,2008	2.3 u	: 	1.6 	: 	0.5 	: 	0.7 	: 	3.5 u	0.5 	: 	: 
MTH,F,Y65-74,ED5_6,2008	1.9 	: 	: 	: 	: 	: 	1.9 	1.3 u	: 	2.7 	: 	: 
MTH,F,Y65-74,TOTAL,2008	1.9 	: 	1.0 	: 	0.1 	: 	1.2 	0.2 	0.5 	0.8 	0.5 	: 
MTH,F,Y75-84,ED0-2,2008	1.9 u	1.3 	: 	: 	: 	: 	0.9 	: 	: 	0.4 	: 	: 
MTH,F,Y75-84,ED3_4,2008	1.6 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MTH,F,Y75-84,TOTAL,2008	1.7 u	0.9 	: 	: 	: 	: 	0.5 	: 	: 	0.4 	: 	: 
MTH,F,Y_GE85,ED0-2,2008	0.2 u	: 	: 	: 	: 	: 	: 	5.1 u	: 	: 	: 	: 
MTH,F,Y_GE85,TOTAL,2008	0.2 u	: 	: 	: 	: 	: 	: 	3.6 	: 	: 	: 	: 
MTH,M,TOTAL,ED0-2,2008	9.4 u	3.9 	8.8 	2.9 	2.0 	1.5 	12.0 	4.1 	3.2 	6.6 	7.9 	6.3 
MTH,M,TOTAL,ED3_4,2008	13.9 	5.4 	14.0 	3.3 	3.2 	4.4 	14.9 	6.1 	9.2 	8.3 	13.1 	10.0 
MTH,M,TOTAL,ED5_6,2008	17.4 	1.9 	9.2 	2.8 	3.8 	3.5 	11.1 	6.6 	8.8 	5.6 	15.6 	8.1 
MTH,M,TOTAL,TOTAL,2008	13.6 	4.4 	12.6 	3.0 	2.7 	3.2 	13.4 	5.8 	7.4 	7.5 	12.4 	9.2 
MTH,M,Y15-24,ED0-2,2008	6.9 u	1.5 	5.6 	0.3 	4.1 	0.8 	7.3 	5.5 	: 	1.5 	4.7 	4.8 
MTH,M,Y15-24,ED3_4,2008	12.0 u	2.6 	17.6 	7.1 	5.3 	3.9 u	12.1 	6.5 	13.4 	4.3 	16.6 	9.9 
MTH,M,Y15-24,ED5_6,2008	29.4 u	: 	: 	: 	12.8 	7.5 u	7.4 u	: 	9.5 u	6.2 u	: 	7.1 u
MTH,M,Y15-24,TOTAL,2008	13.6 u	2.1 	12.6 	4.3 	5.4 	2.8 	9.5 	6.6 	12.1 	2.9 	11.5 	7.6 
MTH,M,Y25-34,ED0-2,2008	10.2 u	4.1 	: 	2.6 	2.8 	5.0 	18.3 	6.6 	: 	9.8 	: 	: 
MTH,M,Y25-34,ED3_4,2008	23.7 u	4.7 	15.0 	3.9 	4.3 	9.9 	20.7 	9.1 	15.8 	7.2 	14.9 	10.9 
MTH,M,Y25-34,ED5_6,2008	21.2 	: 	: 	5.5 	5.6 	5.6 	11.7 	10.1 	10.1 	4.6 	18.9 u	15.0 
MTH,M,Y25-34,TOTAL,2008	20.6 u	3.7 	12.0 	4.2 	4.1 	7.3 	18.2 	9.0 	14.0 	7.1 	15.9 	12.0 
MTH,M,Y35-44,ED0-2,2008	14.3 u	8.1 	: 	6.7 	2.5 	2.4 	12.5 	2.9 	: 	13.3 	13.4 u	: 
MTH,M,Y35-44,ED3_4,2008	14.6 	8.9 	20.9 	1.6 	3.8 	3.1 	16.3 	7.6 	8.0 	10.6 	13.0 	14.4 
MTH,M,Y35-44,ED5_6,2008	18.5 	1.7 	: 	3.2 	2.5 	2.0 	13.1 	5.2 	11.6 u	10.3 	18.1 u	1.4 
MTH,M,Y35-44,TOTAL,2008	16.1 	7.5 	20.3 	3.5 	2.9 	2.6 	15.0 	6.6 	7.8 	10.9 	14.0 	12.1 
MTH,M,Y45-54,ED0-2,2008	12.7 u	5.9 	: 	5.2 	2.2 	1.8 	20.4 	4.6 	2.3 	13.8 	13.2 u	: 
MTH,M,Y45-54,ED3_4,2008	11.1 	3.6 	10.3 	1.8 	1.7 	3.6 	16.2 	5.4 	5.7 	11.3 	16.0 	9.4 
MTH,M,Y45-54,ED5_6,2008	22.6 	1.5 	: 	0.9 	3.1 	: 	13.7 	4.1 	5.0 u	5.3 	20.4 u	7.8 
MTH,M,Y45-54,TOTAL,2008	15.5 	3.7 	9.8 	2.6 	2.3 	2.1 	16.4 	5.0 	4.6 	11.1 	16.1 	9.4 
MTH,M,Y55-64,ED0-2,2008	12.6 	6.9 	: 	3.4 	1.0 	0.7 	16.0 	5.0 	6.0 	10.6 	2.8 u	14.5 u
MTH,M,Y55-64,ED3_4,2008	11.8 	7.3 	13.6 	1.0 	: 	1.0 	12.1 	3.6 	3.6 	8.5 	9.8 	9.3 
MTH,M,Y55-64,ED5_6,2008	11.4 	4.3 	18.8 u	1.9 	1.1 	1.9 	9.5 	7.5 	6.9 u	5.7 	15.3 u	6.2 
MTH,M,Y55-64,TOTAL,2008	12.0 	6.7 	14.8 	2.4 	0.9 	1.0 	12.9 	4.5 	5.2 	8.8 	9.0 	9.1 
MTH,M,Y65-74,ED0-2,2008	4.7 u	2.5 	: 	0.7 	0.3 	1.5 	11.9 	2.0 	2.0 	7.0 	3.3 u	3.6 u
MTH,M,Y65-74,ED3_4,2008	10.2 	5.0 	4.7 	3.7 u	: 	1.0 	7.8 	1.9 	3.9 	4.5 	9.0 	1.6 
MTH,M,Y65-74,ED5_6,2008	4.8 	2.8 	: 	1.3 	1.5 	11.0 u	4.4 u	5.5 u	5.3 u	1.0 	: 	: 
MTH,M,Y65-74,TOTAL,2008	6.4 	3.5 	5.8 	1.1 	0.4 	2.9 	9.2 	2.5 	2.9 	5.5 	7.7 	1.6 
MTH,M,Y75-84,ED0-2,2008	1.6 u	1.7 	: 	2.8 	: 	: 	2.6 	1.5 u	: 	4.1 	: 	: 
MTH,M,Y75-84,ED3_4,2008	1.6 	1.9 	: 	: 	: 	: 	6.8 u	5.3 	: 	2.9 	3.0 u	2.1 u
MTH,M,Y75-84,ED5_6,2008	3.5 	3.4 u	: 	: 	3.6 	: 	: 	: 	: 	: 	: 	: 
MTH,M,Y75-84,TOTAL,2008	2.0 u	2.1 	3.3 	2.1 	0.3 	: 	4.7 	2.8 	1.1 	3.5 	1.6 	1.0 
MTH,M,Y_GE85,ED0-2,2008	1.2 u	3.7 u	: 	: 	: 	: 	: 	: 	: 	2.0 	: 	: 
MTH,M,Y_GE85,ED3_4,2008	1.3 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MTH,M,Y_GE85,TOTAL,2008	1.0 u	2.8 u	: 	: 	: 	: 	: 	: 	: 	1.5 	: 	: 
MTH,T,TOTAL,ED0-2,2008	6.7 u	2.2 	5.3 	1.4 	1.1 	0.8 	7.1 	2.3 	1.7 	3.1 	3.9 	3.2 
MTH,T,TOTAL,ED3_4,2008	9.7 	3.0 	10.3 	2.0 	2.3 	2.4 	8.5 	4.0 	6.7 	4.5 	7.9 	5.6 
MTH,T,TOTAL,ED5_6,2008	11.8 	1.5 	10.4 	1.9 	2.5 	1.9 	5.8 	4.0 	7.0 	3.1 	8.3 	4.2 
MTH,T,TOTAL,TOTAL,2008	9.4 u	2.5 	9.5 	1.7 	1.7 	1.6 	7.6 	3.5 	5.1 	3.8 	6.9 	5.0 
MTH,T,Y15-24,ED0-2,2008	6.8 u	0.7 	4.0 	0.2 	3.0 	0.6 	5.5 	4.6 	3.6 u	1.0 	4.5 	3.3 
MTH,T,Y15-24,ED3_4,2008	13.6 	2.2 	16.1 	5.2 	4.2 	2.2 u	7.0 	5.7 	11.3 	2.4 	10.6 	5.8 
MTH,T,Y15-24,ED5_6,2008	20.8 	4.9 u	: 	5.9 	6.7 	2.5 	9.1 	13.3 u	7.2 	2.4 	: 	3.7 
MTH,T,Y15-24,TOTAL,2008	14.0 	1.6 	11.3 	3.5 	3.8 	1.6 	6.4 	5.7 	10.2 	1.7 	8.3 	4.6 
MTH,T,Y25-34,ED0-2,2008	5.2 u	3.4 	9.7 u	1.5 	2.0 	3.0 	13.5 	3.4 	11.1 u	5.6 	11.0 u	: 
MTH,T,Y25-34,ED3_4,2008	13.6 u	2.6 	12.8 	2.0 	3.5 	5.4 	13.8 	5.8 	9.6 	3.8 	8.3 	6.8 
MTH,T,Y25-34,ED5_6,2008	14.5 	: 	4.6 	2.9 	3.7 	2.6 	6.9 	5.0 	8.0 	2.4 	9.7 	7.9 
MTH,T,Y25-34,TOTAL,2008	12.8 	2.1 	10.9 	2.2 	3.1 	3.8 	11.7 	5.3 	9.2 	3.8 	8.9 	7.2 
MTH,T,Y35-44,ED0-2,2008	11.4 u	5.3 	: 	3.9 	1.4 	1.2 	9.8 	1.4 	: 	6.3 	6.8 u	: 
MTH,T,Y35-44,ED3_4,2008	10.7 	5.2 	14.3 	1.2 	2.2 	1.8 	10.4 	4.7 	4.4 	5.5 	8.8 	7.9 
MTH,T,Y35-44,ED5_6,2008	11.5 	1.3 	19.2 u	1.7 	1.9 	1.1 	4.5 	1.8 	7.4 	6.1 	6.8 	0.6 
MTH,T,Y35-44,TOTAL,2008	11.2 	4.3 	14.6 	2.0 	1.8 	1.4 	8.6 	3.6 	4.5 	5.7 	8.0 	6.3 
MTH,T,Y45-54,ED0-2,2008	10.5 u	3.4 	19.7 u	2.3 	1.1 	0.8 	13.8 	2.5 	2.5 	5.2 	6.3 	5.6 u
MTH,T,Y45-54,ED3_4,2008	9.1 	2.0 	7.7 	1.0 	1.3 	1.8 	9.4 	3.3 	4.2 	6.1 	9.2 	5.1 
MTH,T,Y45-54,ED5_6,2008	14.1 	2.3 	: 	0.8 	1.7 	: 	6.4 	3.5 	4.4 	2.6 	9.8 	4.2 
MTH,T,Y45-54,TOTAL,2008	11.3 	2.3 	8.2 	1.4 	1.3 	1.0 	9.3 	3.2 	3.7 	5.5 	8.7 	5.0 
MTH,T,Y55-64,ED0-2,2008	9.3 	3.2 	6.0 	1.5 	0.6 	0.5 	9.3 	2.4 	2.4 	4.3 	3.5 	7.6 
MTH,T,Y55-64,ED3_4,2008	7.2 	3.9 	8.1 	0.8 	0.1 	0.5 	6.8 	2.6 	3.4 	4.9 	5.7 	5.1 
MTH,T,Y55-64,ED5_6,2008	8.4 	2.4 	17.1 u	1.2 	0.7 	1.2 	6.6 	4.9 	8.3 	3.1 	9.9 u	2.9 
MTH,T,Y55-64,TOTAL,2008	8.4 	3.5 	9.1 	1.3 	0.5 	0.6 	7.4 	3.0 	3.2 	4.5 	5.6 	5.0 
MTH,T,Y65-74,ED0-2,2008	3.0 u	0.9 	1.6 	0.3 	0.1 	0.6 	5.3 	0.6 	0.8 	2.8 	1.4 	0.8 
MTH,T,Y65-74,ED3_4,2008	6.2 	2.2 	3.1 	1.6 	0.2 	0.6 	3.3 	1.0 	3.7 	2.7 	5.2 	0.7 
MTH,T,Y65-74,ED5_6,2008	3.6 	1.5 	: 	0.9 	1.0 	8.3 	2.8 	3.1 	3.7 u	1.7 	5.1 u	: 
MTH,T,Y65-74,TOTAL,2008	4.0 	1.5 	3.0 	0.5 	0.2 	1.3 	4.1 	1.1 	1.6 	2.7 	3.7 	0.6 
MTH,T,Y75-84,ED0-2,2008	1.8 u	1.5 	: 	1.1 	: 	: 	1.4 	0.3 	: 	1.7 	: 	: 
MTH,T,Y75-84,ED3_4,2008	1.6 u	0.7 	: 	: 	: 	: 	1.8 	2.5 	: 	1.5 	1.8 u	0.9 
MTH,T,Y75-84,ED5_6,2008	2.1 u	2.2 u	: 	: 	2.4 	: 	2.5 	: 	: 	: 	: 	: 
MTH,T,Y75-84,TOTAL,2008	1.8 u	1.3 	1.2 	0.9 	0.1 	: 	1.7 	1.0 	0.4 	1.6 	0.5 	0.3 
MTH,T,Y_GE85,ED0-2,2008	0.5 u	1.6 	: 	: 	: 	: 	: 	3.9 	: 	0.6 	: 	2.9 u
MTH,T,Y_GE85,ED3_4,2008	0.5 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MTH,T,Y_GE85,TOTAL,2008	0.4 u	1.2 	: 	: 	: 	: 	: 	2.5 	: 	0.5 	: 	1.8 u
NBINGE,F,TOTAL,ED0-2,2008	25.3 u	8.9 	13.0 	19.1 	17.3 	11.7 	5.8 	9.1 	11.1 	8.6 	11.8 	5.8 
NBINGE,F,TOTAL,ED3_4,2008	29.5 	16.3 	18.0 	29.5 	26.8 	19.8 	12.0 	14.3 	16.0 	11.1 	17.1 	15.2 
NBINGE,F,TOTAL,ED5_6,2008	37.0 	20.2 	28.0 	35.3 	35.5 	27.3 	17.4 	22.6 	22.8 	15.3 	28.0 	24.2 
NBINGE,F,TOTAL,TOTAL,2008	30.5 u	14.6 	18.1 	25.9 	23.7 	18.3 	11.6 	14.3 	15.1 	10.5 	17.4 	15.2 
NBINGE,F,Y15-24,ED0-2,2008	: 	4.2 	6.3 	14.8 	16.2 	10.1 	6.2 	5.6 	: 	2.0 	13.4 	7.4 
NBINGE,F,Y15-24,ED3_4,2008	7.4 	9.8 	8.4 	39.8 	19.8 	22.4 u	16.9 	13.1 	14.8 	5.4 	11.0 	15.8 
NBINGE,F,Y15-24,ED5_6,2008	7.9 	: 	: 	39.9 u	37.3 	35.1 	12.3 	11.7 u	23.6 	8.7 u	: 	20.1 
NBINGE,F,Y15-24,TOTAL,2008	6.5 	7.3 	9.4 	32.4 	20.1 	20.1 	11.5 	9.7 	16.5 	3.9 	12.7 	13.2 
NBINGE,F,Y25-34,ED0-2,2008	6.2 u	15.6 	: 	22.6 	13.3 	7.5 	10.7 	9.4 u	: 	14.7 	: 	: 
NBINGE,F,Y25-34,ED3_4,2008	18.8 	15.3 	10.3 	26.9 	17.9 	16.0 	15.2 	10.9 	12.8 	12.5 	7.6 	16.5 
NBINGE,F,Y25-34,ED5_6,2008	27.0 	20.1 	18.3 u	37.9 	28.8 	29.8 	18.8 	19.4 	19.8 	14.5 	25.2 	20.9 
NBINGE,F,Y25-34,TOTAL,2008	21.3 	16.8 	11.7 	29.9 	21.1 	21.6 	15.9 	13.7 	14.1 	13.3 	13.0 	17.6 
NBINGE,F,Y35-44,ED0-2,2008	14.5 	1.4 	: 	28.2 	19.8 	17.4 	11.8 u	9.3 	: 	14.8 	6.1 u	: 
NBINGE,F,Y35-44,ED3_4,2008	17.9 	22.5 	16.8 	31.3 	26.9 	17.0 	16.2 	14.5 	17.7 	13.8 	15.4 	19.9 
NBINGE,F,Y35-44,ED5_6,2008	38.7 	26.7 	: 	38.8 	34.4 	19.1 	19.9 	19.4 	23.7 u	18.7 	27.7 	25.4 
NBINGE,F,Y35-44,TOTAL,2008	28.0 	21.1 	19.0 	32.8 	27.0 	17.7 	17.3 	15.4 	19.0 	14.5 	18.3 	21.0 
NBINGE,F,Y45-54,ED0-2,2008	19.7 	14.3 	: 	19.8 	21.6 	14.9 	14.7 	6.0 	7.0 	12.6 	2.9 	9.5 u
NBINGE,F,Y45-54,ED3_4,2008	37.5 	21.1 	23.6 	23.1 	34.5 	21.0 	11.9 	17.6 	17.1 	12.8 	17.5 	16.2 
NBINGE,F,Y45-54,ED5_6,2008	43.0 	24.8 	: 	31.5 	46.2 	24.2 	26.3 	32.4 	31.0 u	17.3 	26.3 u	34.0 
NBINGE,F,Y45-54,TOTAL,2008	33.5 	20.7 	23.1 	23.7 	30.7 	19.5 	16.5 	18.0 	14.9 	13.1 	15.8 	18.6 
NBINGE,F,Y55-64,ED0-2,2008	34.8 	12.1 	20.8 u	21.8 	20.0 	11.2 	4.8 	12.5 	12.9 	10.1 	16.6 	10.6 u
NBINGE,F,Y55-64,ED3_4,2008	40.1 	15.2 	26.5 	31.2 	38.7 	25.2 	9.7 	15.5 	15.3 	11.1 	28.5 	13.6 
NBINGE,F,Y55-64,ED5_6,2008	39.3 	17.7 	: 	29.6 	41.6 	27.8 	13.4 	27.8 	21.1 u	16.9 	38.4 u	25.4 
NBINGE,F,Y55-64,TOTAL,2008	37.5 	14.7 	25.8 	25.0 	26.1 	16.8 	9.5 	16.7 	14.0 	11.1 	25.2 	15.2 
NBINGE,F,Y65-74,ED0-2,2008	29.5 	10.7 	28.3 u	18.9 	15.4 	13.5 	4.4 	10.2 	13.9 	9.4 	12.6 	5.3 
NBINGE,F,Y65-74,ED3_4,2008	45.2 u	13.6 	28.6 	23.0 	43.1 	25.3 	6.6 	16.2 	24.1 u	6.4 	25.7 u	7.8 
NBINGE,F,Y65-74,ED5_6,2008	61.5 	4.0 	: 	25.5 u	43.9 	: 	6.1 	22.8 u	: 	8.7 	: 	19.9 u
NBINGE,F,Y65-74,TOTAL,2008	37.3 	11.0 	27.9 	19.8 	19.5 	16.7 	5.6 	13.8 	15.9 	8.6 	19.8 	8.0 
NBINGE,F,Y75-84,ED0-2,2008	30.3 u	5.5 	12.1 u	13.8 	13.9 	6.7 	1.8 	8.5 	8.0 	7.0 	15.1 	2.4 
NBINGE,F,Y75-84,ED3_4,2008	48.6 u	7.2 	12.3 	13.2 u	28.1 	17.3 u	0.8 	11.8 	23.1 u	3.8 	: 	4.2 
NBINGE,F,Y75-84,ED5_6,2008	59.8 u	: 	: 	10.3 u	26.5 	: 	: 	: 	: 	16.9 u	: 	: 
NBINGE,F,Y75-84,TOTAL,2008	36.8 u	6.0 	13.1 	13.6 	15.1 	8.8 	1.3 	9.6 	10.6 	6.9 	15.4 	4.3 
NBINGE,F,Y_GE85,ED0-2,2008	23.0 u	6.3 u	: 	9.0 	12.5 u	10.2 	1.5 	13.3 u	4.4 u	0.7 	: 	: 
NBINGE,F,Y_GE85,ED3_4,2008	43.4 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NBINGE,F,Y_GE85,ED5_6,2008	53.6 u	: 	: 	: 	49.9 u	: 	: 	: 	: 	: 	: 	: 
NBINGE,F,Y_GE85,TOTAL,2008	29.3 u	4.4 u	10.7 u	9.7 	14.6 u	9.9 	1.1 	12.5 	4.2 u	0.5 	: 	: 
NBINGE,M,TOTAL,ED0-2,2008	23.6 u	25.9 	15.8 	38.4 	38.7 	38.4 	8.0 	25.1 	17.8 	12.5 	18.1 	9.1 
NBINGE,M,TOTAL,ED3_4,2008	19.8 	30.7 	15.6 	44.4 	40.1 	40.3 	10.9 	27.5 	18.5 	15.6 	15.4 	14.8 
NBINGE,M,TOTAL,ED5_6,2008	27.7 	31.4 	28.3 	47.8 	45.5 	48.9 	17.0 	39.4 	27.1 	18.9 	25.4 	19.9 
NBINGE,M,TOTAL,TOTAL,2008	23.6 	29.3 	17.2 	42.9 	40.6 	41.6 	10.9 	29.0 	19.6 	15.0 	17.5 	15.0 
NBINGE,M,Y15-24,ED0-2,2008	3.0 u	16.0 	10.6 	22.0 	21.1 	19.9 	7.0 	9.4 	: 	7.1 	13.0 	4.0 
NBINGE,M,Y15-24,ED3_4,2008	8.2 u	24.7 	4.5 	45.1 	28.2 	33.7 u	13.4 	19.0 	12.9 	13.3 	8.8 	9.6 
NBINGE,M,Y15-24,ED5_6,2008	12.6 u	: 	: 	: 	21.4 	42.0 u	12.5 u	: 	14.3 u	19.1 u	: 	8.7 u
NBINGE,M,Y15-24,TOTAL,2008	7.7 u	21.0 	7.9 	34.9 	23.2 	28.1 	10.1 	13.9 	12.8 	10.4 	10.3 	7.3 
NBINGE,M,Y25-34,ED0-2,2008	15.1 u	27.5 	: 	42.6 	28.1 	38.6 	9.8 	22.8 	: 	15.0 	: 	: 
NBINGE,M,Y25-34,ED3_4,2008	7.6 u	28.7 	13.9 	47.7 	29.4 	33.4 	12.4 	16.4 	11.2 	15.4 	5.6 	12.9 
NBINGE,M,Y25-34,ED5_6,2008	13.4 	27.0 	19.1 u	42.1 	33.3 	52.8 	16.3 	28.7 	20.3 	16.9 	18.2 u	17.8 
NBINGE,M,Y25-34,TOTAL,2008	11.2 u	28.1 	15.3 	44.9 	30.2 	41.8 	12.5 	19.8 	14.4 	15.7 	7.6 	14.2 
NBINGE,M,Y35-44,ED0-2,2008	13.9 u	24.2 	: 	39.9 	33.2 	40.6 	8.0 	30.7 	11.5 u	7.7 	22.2 u	: 
NBINGE,M,Y35-44,ED3_4,2008	12.8 	32.7 	8.0 	35.7 	37.9 	39.9 	9.2 	25.6 	18.0 	16.6 	11.1 	12.8 
NBINGE,M,Y35-44,ED5_6,2008	23.5 	34.4 	: 	45.1 	48.6 	47.7 	17.0 	41.1 	30.2 u	18.0 	20.5 u	17.8 
NBINGE,M,Y35-44,TOTAL,2008	17.3 	31.5 	10.2 	39.7 	39.1 	42.6 	10.4 	29.0 	19.6 	15.7 	14.3 	13.7 
NBINGE,M,Y45-54,ED0-2,2008	13.6 u	35.6 	: 	33.6 	46.4 	46.5 	12.1 	27.1 	19.1 	8.8 	20.3 u	: 
NBINGE,M,Y45-54,ED3_4,2008	17.2 	33.3 	20.2 	48.3 	53.6 	45.1 	7.9 	25.7 	22.2 	16.3 	15.2 	16.1 
NBINGE,M,Y45-54,ED5_6,2008	24.2 	36.0 	: 	49.6 	52.6 	44.9 	18.7 	44.5 	35.0 u	15.8 	25.5 u	25.4 
NBINGE,M,Y45-54,TOTAL,2008	18.4 	34.2 	23.2 	44.1 	49.8 	45.4 	11.0 	29.4 	23.0 	15.1 	17.9 	17.8 
NBINGE,M,Y55-64,ED0-2,2008	23.9 	29.2 	: 	42.8 	50.9 	47.9 	8.3 	34.2 	18.5 	14.5 	15.2 u	20.9 u
NBINGE,M,Y55-64,ED3_4,2008	28.1 	30.9 	20.1 	53.0 	57.4 	48.3 	13.3 	39.7 	25.2 	15.4 	25.8 	19.3 
NBINGE,M,Y55-64,ED5_6,2008	37.8 	33.6 	21.7 u	50.3 	60.8 	51.6 	21.4 	55.7 	48.3 u	30.5 	26.3 u	18.7 
NBINGE,M,Y55-64,TOTAL,2008	29.6 	30.8 	20.1 	47.3 	54.3 	48.7 	13.1 	41.8 	24.1 	16.5 	23.6 	19.3 
