Date,Location,CumulativePositiveCase
2020-02-27,nuts/ITI22,0
2020-02-27,nuts/ITC20,0
2020-02-27,nuts/ITH33,0
2020-02-27,nuts/ITH36,59
2020-02-27,nuts/ITH37,0
2020-02-27,nuts/ITH34,22
2020-02-27,nuts/ITH35,14
2020-02-27,nuts/ITH31,0
2020-02-27,nuts/ITH32,3
2020-02-28,nuts/ITF14,0
2020-02-28,nuts/ITF11,0
2020-02-28,nuts/ITF13,0
2020-02-28,nuts/ITF12,1
2020-02-28,nuts/ITF52,0
2020-02-28,nuts/ITF51,0
2020-02-28,nuts/ITH10,1
2020-02-28,nuts/ITF63,0
2020-02-28,nuts/ITF61,1
2020-02-28,nuts/ITF62,0
2020-02-28,nuts/ITF65,0
2020-02-28,nuts/ITF64,0
2020-02-28,nuts/ITF34,0
2020-02-28,nuts/ITF32,0
2020-02-28,nuts/ITF31,0
2020-02-28,nuts/ITF33,4
2020-02-28,nuts/ITF35,0
2020-02-28,nuts/ITH55,0
2020-02-28,nuts/ITH56,0
2020-02-28,nuts/ITH58,0
2020-02-28,nuts/ITH54,18
2020-02-28,nuts/ITH52,27
2020-02-28,nuts/ITH51,89
2020-02-28,nuts/ITH57,1
2020-02-28,nuts/ITH53,1
2020-02-28,nuts/ITH59,9
2020-02-28,nuts/ITH43,0
2020-02-28,nuts/ITH41,0
2020-02-28,nuts/ITH44,0
2020-02-28,nuts/ITH42,0
2020-02-28,nuts/ITI45,0
2020-02-28,nuts/ITI44,0
2020-02-28,nuts/ITI42,0
2020-02-28,nuts/ITI43,3
2020-02-28,nuts/ITI41,0
2020-02-28,nuts/ITC33,0
2020-02-28,nuts/ITC31,0
2020-02-28,nuts/ITC34,1
2020-02-28,nuts/ITC32,18
2020-02-28,nuts/ITC46,103
2020-02-28,nuts/ITC47,13
2020-02-28,nuts/ITC42,0
2020-02-28,nuts/ITC4A,123
2020-02-28,nuts/ITC43,0
2020-02-28,nuts/ITC49,182
2020-02-28,nuts/ITC4B,0
2020-02-28,nuts/ITC4C,29
2020-02-28,nuts/ITC4D,6
2020-02-28,nuts/ITC48,49
2020-02-28,nuts/ITC44,3
2020-02-28,nuts/ITC41,3
2020-02-28,nuts/ITI32,0
2020-02-28,nuts/ITI34,0
2020-02-28,nuts/ITI35,0
2020-02-28,nuts/ITI33,0
2020-02-28,nuts/ITI31,6
2020-02-28,nuts/ITF22,0
2020-02-28,nuts/ITF21,0
2020-02-28,nuts/ITC18,0
2020-02-28,nuts/ITC17,0
2020-02-28,nuts/ITC13,0
2020-02-28,nuts/ITC16,0
2020-02-28,nuts/ITC15,0
2020-02-28,nuts/ITC11,11
2020-02-28,nuts/ITC14,0
2020-02-28,nuts/ITC12,0
2020-02-28,nuts/ITF47,0
2020-02-28,nuts/ITF48,0
2020-02-28,nuts/ITF44,0
2020-02-28,nuts/ITF46,0
2020-02-28,nuts/ITF45,0
2020-02-28,nuts/ITF43,3
2020-02-28,nuts/ITG27,0
2020-02-28,nuts/ITG26,0
2020-02-28,nuts/ITG28,0
2020-02-28,nuts/ITG25,0
2020-02-28,nuts/ITG14,0
2020-02-28,nuts/ITG15,0
2020-02-28,nuts/ITG17,1
2020-02-28,nuts/ITG16,0
2020-02-28,nuts/ITG13,0
2020-02-28,nuts/ITG12,3
2020-02-28,nuts/ITG18,0
2020-02-28,nuts/ITG19,0
2020-02-28,nuts/ITG11,0
2020-02-28,nuts/ITI18,0
2020-02-28,nuts/ITI14,7
2020-02-28,nuts/ITI1A,0
2020-02-28,nuts/ITI16,0
2020-02-28,nuts/ITI12,0
2020-02-28,nuts/ITI11,0
2020-02-28,nuts/ITI17,0
2020-02-28,nuts/ITI13,1
2020-02-28,nuts/ITI15,0
2020-02-28,nuts/ITI19,0
2020-02-28,nuts/ITH20,0
2020-02-28,nuts/ITI21,0
2020-02-28,nuts/ITI22,0
2020-02-28,nuts/ITC20,0
2020-02-28,nuts/ITH33,0
2020-02-28,nuts/ITH36,68
2020-02-28,nuts/ITH37,0
2020-02-28,nuts/ITH34,23
2020-02-28,nuts/ITH35,15
2020-02-28,nuts/ITH31,0
2020-02-28,nuts/ITH32,3
2020-02-29,nuts/ITF14,0
2020-02-29,nuts/ITF11,0
2020-02-29,nuts/ITF13,0
2020-02-29,nuts/ITF12,2
2020-02-29,nuts/ITF52,0
2020-02-29,nuts/ITF51,0
2020-02-29,nuts/ITH10,1
2020-02-29,nuts/ITF63,0
2020-02-29,nuts/ITF61,1
2020-02-29,nuts/ITF62,0
2020-02-29,nuts/ITF65,0
2020-02-29,nuts/ITF64,0
2020-02-29,nuts/ITF34,0
2020-02-29,nuts/ITF32,0
2020-02-29,nuts/ITF31,0
2020-02-29,nuts/ITF33,13
2020-02-29,nuts/ITF35,0
2020-02-29,nuts/ITH55,2
2020-02-29,nuts/ITH56,0
2020-02-29,nuts/ITH58,0
2020-02-29,nuts/ITH54,22
2020-02-29,nuts/ITH52,35
2020-02-29,nuts/ITH51,138
2020-02-29,nuts/ITH57,1
2020-02-29,nuts/ITH53,4
2020-02-29,nuts/ITH59,15
2020-02-29,nuts/ITH43,0
2020-02-29,nuts/ITH41,0
2020-02-29,nuts/ITH44,0
2020-02-29,nuts/ITH42,0
2020-02-29,nuts/ITI45,0
2020-02-29,nuts/ITI44,0
2020-02-29,nuts/ITI42,0
2020-02-29,nuts/ITI43,6
2020-02-29,nuts/ITI41,0
2020-02-29,nuts/ITC33,0
2020-02-29,nuts/ITC31,0
2020-02-29,nuts/ITC34,1
2020-02-29,nuts/ITC32,41
2020-02-29,nuts/ITC46,110
2020-02-29,nuts/ITC47,14
2020-02-29,nuts/ITC42,1
2020-02-29,nuts/ITC4A,136
2020-02-29,nuts/ITC43,0
2020-02-29,nuts/ITC49,237
2020-02-29,nuts/ITC4B,1
2020-02-29,nuts/ITC4C,30
2020-02-29,nuts/ITC4D,6
2020-02-29,nuts/ITC48,55
2020-02-29,nuts/ITC44,3
2020-02-29,nuts/ITC41,4
2020-02-29,nuts/ITI32,0
2020-02-29,nuts/ITI34,0
2020-02-29,nuts/ITI35,0
2020-02-29,nuts/ITI33,0
2020-02-29,nuts/ITI31,11
2020-02-29,nuts/ITF22,0
2020-02-29,nuts/ITF21,0
2020-02-29,nuts/ITC18,0
2020-02-29,nuts/ITC17,0
2020-02-29,nuts/ITC13,0
2020-02-29,nuts/ITC16,0
