Detail Data For Oil Supply (Crude) Import by Country - Quantity & Amount Having Year : ALL
.
OilType,Country,YearValue,Qty_000Tonne,Amount_RsLacs
CRUDE OIL,AUSTRALIA,2019,80.170,32650.350
CRUDE OIL,AZERBAIJAN,2019,274.190,101432.980
CRUDE OIL,BRAZIL,2019,3360.200,1113214.440
CRUDE OIL,BRUNEI,2019,1095.650,410318.260
CRUDE OIL,CAMEROON,2019,437.560,139678.920
CRUDE OIL,CANADA,2019,607.490,174376.180
CRUDE OIL,CHAD,2019,922.150,332254.800
CRUDE OIL,CHINA P R,2019,0.000,0.350
CRUDE OIL,COLOMBIA,2019,894.250,265920.330
CRUDE OIL,CONGO P REP,2019,665.120,242558.280
CRUDE OIL,ECUADOR,2019,285.380,89973.670
CRUDE OIL,EGYPT,2019,2116.890,647923.870
CRUDE OIL,ESTONIA,2019,0.000,0.190
CRUDE OIL,EQUTL GUINEA,2019,454.880,160747.350
CRUDE OIL,GABON,2019,652.890,240973.320
CRUDE OIL,GHANA,2019,737.130,263735.930
CRUDE OIL,IRAN,2019,23906.800,8428038.320
CRUDE OIL,IRAQ,2019,46612.690,15584403.320
CRUDE OIL,KAZAKHSTAN,2019,936.150,367809.670
CRUDE OIL,KUWAIT,2019,10783.380,3798021.060
CRUDE OIL,LIBERIA,2019,258.490,86519.300
CRUDE OIL,LIBYA,2019,213.280,81323.210
CRUDE OIL,MALAYSIA,2019,4358.010,1700743.730
CRUDE OIL,MEXICO,2019,10284.680,2981824.920
CRUDE OIL,NIGERIA,2019,16830.340,6629652.380
CRUDE OIL,OMAN,2019,1572.610,553445.330
CRUDE OIL,PAKISTAN IR,2019,0.000,0.780
CRUDE OIL,PHILIPPINES,2019,0.000,1.670
CRUDE OIL,QATAR,2019,2308.910,842127.500
CRUDE OIL,RUSSIA,2019,2219.740,827141.760
CRUDE OIL,SAUDI ARABIA,2019,40335.640,14973011.050
CRUDE OIL,SINGAPORE,2019,0.000,0.650
CRUDE OIL,SOUTH AFRICA,2019,0.050,33.760
CRUDE OIL,SUDAN,2019,1194.010,383116.260
CRUDE OIL,SOUTH SUDAN,2019,173.940,53854.150
CRUDE OIL,SWITZERLAND,2019,140.760,52888.350
CRUDE OIL,THAILAND,2019,0.000,0.020
CRUDE OIL,TOGO,2019,121.690,46685.660
CRUDE OIL,TURKEY,2019,1815.230,700322.080
CRUDE OIL,UAE,2019,17491.830,6684817.830
CRUDE OIL,UK,2019,169.630,47899.450
CRUDE OIL,U S A,2019,6407.490,2522931.420
CRUDE OIL,VENEZUELA,2019,17322.450,5073052.810
CRUDE OIL,ALGERIA,2020,2980.780,1130629.930
CRUDE OIL,ANGOLA,2020,5324.950,1866773.880
CRUDE OIL,ARGENTINA,2020,0.000,0.000
CRUDE OIL,AUSTRALIA,2020,0.000,0.210
CRUDE OIL,AZERBAIJAN,2020,534.490,192966.110
CRUDE OIL,BELGIUM,2020,0.000,0.400
CRUDE OIL,BRAZIL,2020,2435.910,777704.570
CRUDE OIL,BRUNEI,2020,1097.920,415343.290
CRUDE OIL,CAMEROON,2020,794.040,292403.080
CRUDE OIL,CANADA,2020,735.530,214062.800
CRUDE OIL,CHAD,2020,536.870,189382.000
CRUDE OIL,CHINA P R,2020,0.000,0.000
CRUDE OIL,COLOMBIA,2020,146.350,40106.460
CRUDE OIL,CONGO P REP,2020,1171.340,398054.270
CRUDE OIL,ECUADOR,2020,584.780,179505.030
CRUDE OIL,EGYPT,2020,2851.410,823948.690
CRUDE OIL,ESTONIA,2020,0.000,0.000
CRUDE OIL,EQUTL GUINEA,2020,1501.200,522065.260
CRUDE OIL,GABON,2020,0.000,0.000
CRUDE OIL,GERMANY,2020,0.000,0.230
CRUDE OIL,GHANA,2020,472.050,162187.420
CRUDE OIL,INDONESIA,2020,171.090,65771.660
CRUDE OIL,IRAN,2020,1974.330,691690.110
CRUDE OIL,IRAQ,2020,51566.680,16137863.450
CRUDE OIL,ISRAEL,2020,0.000,7.300
CRUDE OIL,COTE D' IVOIRE,2020,144.960,54638.980
CRUDE OIL,KAZAKHSTAN,2020,4239.430,1523916.390
CRUDE OIL,KUWAIT,2020,10261.900,3426004.780
CRUDE OIL,LIBERIA,2020,0.000,0.000
CRUDE OIL,LIBYA,2020,53.510,19070.940
CRUDE OIL,MALAYSIA,2020,3104.220,1167991.710
CRUDE OIL,MEXICO,2020,8895.820,2348097.510
CRUDE OIL,MONACO,2020,138.260,42695.440
CRUDE OIL,NETHERLAND,2020,0.000,0.270
CRUDE OIL,NIGERIA,2020,17282.200,6364363.250
CRUDE OIL,NORWAY,2020,291.240,89266.360
CRUDE OIL,OMAN,2020,2083.700,715583.330
CRUDE OIL,PAKISTAN IR,2020,0.000,0.000
CRUDE OIL,PHILIPPINES,2020,0.000,0.000
CRUDE OIL,QATAR,2020,2790.690,971124.820
CRUDE OIL,RUSSIA,2020,3556.110,1233800.150
CRUDE OIL,SAUDI ARABIA,2020,42202.710,14421873.010
CRUDE OIL,SINGAPORE,2020,0.000,1.240
CRUDE OIL,SOUTH AFRICA,2020,0.000,0.000
CRUDE OIL,SRI LANKA DSR,2020,0.000,0.080
CRUDE OIL,SUDAN,2020,420.780,137713.850
CRUDE OIL,SOUTH SUDAN,2020,0.000,0.000
CRUDE OIL,SWITZERLAND,2020,138.040,45232.240
CRUDE OIL,THAILAND,2020,0.000,0.000
CRUDE OIL,TOGO,2020,260.360,89332.150
CRUDE OIL,TRINIDAD,2020,0.000,0.220
CRUDE OIL,TURKEY,2020,1481.140,553528.320
CRUDE OIL,UAE,2020,21831.680,7770156.870
CRUDE OIL,UK,2020,0.000,0.150
CRUDE OIL,U S A,2020,9577.720,3460393.620
CRUDE OIL,VENEZUELA,2020,17235.480,4275973.280
