"observationPeriods","MinDate","ScalingFactors","Units","MeasurementMethods","NumPlaces","StatVar"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2240","dc/lwn1gs8wrp9p2"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2379","dc/z0vyr6hg2xef6"
"[]","2016","[]","[]","[CensusCBPSurvey]","21331","dc/2zhynqzptlm51"
"[]","2016","[]","[]","[CensusCBPSurvey]","553","dc/qs7l8ddkqhz74"
"[]","2016","[]","[]","[CensusCBPSurvey]","2351","dc/qzp5pcdh12ehb"
"[]","2016","[]","[]","[CensusCBPSurvey]","2851","dc/xsc8ssy4mlcmf"
"[]","2016","[]","[]","[CensusCBPSurvey]","306","dc/ghmdw02vtqs5g"
"[]","2016","[]","[]","[CensusCBPSurvey]","1249","dc/j5hghhhhjzfd7"
"[]","2016","[]","[]","[CensusCBPSurvey]","1430","dc/43077lr777j58"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","347","dc/78lczwqz4s722"
"[]","2016","[]","[]","[CensusCBPSurvey]","413","dc/ynpme7kgdck06"
"[]","2016","[]","[]","[CensusCBPSurvey]","2372","dc/rzmcrywfjpf4f"
"[]","2016","[]","[]","[CensusCBPSurvey]","12581","dc/5qqejdmlnc733"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","681","dc/v5b2dkrtxzzr7"
"[]","2016","[]","[]","[CensusCBPSurvey]","93","dc/6ke4njfh5ypm9"
"[]","2016","[]","[]","[CensusCBPSurvey]","654","dc/07q2n48h160dh"
"[]","2016","[]","[]","[CensusCBPSurvey]","815","dc/5dz3m207gww8d"
"[]","2017","[]","[]","[CensusCBPSurvey]","1196","dc/wlbthm97l3jm6"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1305","dc/lrq75my04szyg"
"[]","2016","[]","[]","[CensusCBPSurvey]","585","dc/4sybjf6br0dmb"
"[]","2016","[]","[]","[CensusCBPSurvey]","1459","dc/fq26zg6wwrdsd"
"[]","2016","[]","[]","[CensusCBPSurvey]","401","dc/p3610k48d0hgc"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1903","dc/xzybnq9nwbd5b"
"[]","2016","[]","[]","[CensusCBPSurvey]","1764","dc/p6fvfw9xxqtjd"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1480","dc/yr7n54mm8s1tf"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2855","dc/c5j51e87qb0hh"
"[]","2016","[]","[]","[CensusCBPSurvey]","1240","dc/vwkn0s10ylv59"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","4079","dc/7v8jewwlz09l2"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","213","dc/9v9s1e4t9vz6h"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","76","dc/2mk839yymp2b6"
"[]","2016","[]","[]","[CensusCBPSurvey]","15440","dc/511xks9z2shd3"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1462","dc/k3k0xl6z3xtq"
"[]","2016","[]","[]","[CensusCBPSurvey]","940","dc/1f974ewv66n86"
"[]","2016","[]","[]","[CensusCBPSurvey]","1166","dc/g8gzgv60e2bb8"
"[]","2016","[]","[]","[CensusCBPSurvey]","1090","dc/3wx715k576w8c"
"[]","2016","[]","[]","[CensusCBPSurvey]","6937","dc/nfert33hd6ex3"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3986","dc/dmyx483lzdyy"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2209","dc/j21s9zcz175zf"
"[]","2016","[]","[]","[CensusCBPSurvey]","2280","dc/50dwjlm4dqf7c"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","843","dc/vq90d1j7d81vh"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3598","dc/9q3147d52mx33"
"[]","2016","[]","[]","[CensusCBPSurvey]","9196","dc/0b050xsthl3cb"
"[]","2016","[]","[]","[CensusCBPSurvey]","1857","dc/6p9l9lrj3twm7"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2788","dc/6s5czsbeplmgh"
"[]","2016","[]","[]","[CensusCBPSurvey]","3898","dc/rq2g7jxzk37p"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","76","dc/zlvzhqqev4bfd"
"[]","2016","[]","[]","[CensusCBPSurvey]","978","dc/v77dywpjvnvlg"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3190","dc/8g76m4fzms2l"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","202","dc/bbbh292ke5blg"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3936","dc/hj7cjkqgvnb7d"
"[]","2016","[]","[]","[CensusCBPSurvey]","616","dc/k07drw7s89037"
"[]","2016","[]","[]","[CensusCBPSurvey]","2993","dc/vynvxymt75br9"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","4160","dc/9yg66nem1pn47"
"[]","2016","[]","[]","[CensusCBPSurvey]","77","dc/hhc2vbvkhtycd"
"[]","2016","[]","[]","[CensusCBPSurvey]","11925","dc/n1rtve88t35fc"
"[]","2016","[]","[]","[CensusCBPSurvey]","9045","dc/dhv9s35en04kb"
"[]","2016","[]","[]","[CensusCBPSurvey]","28929","dc/m6zlz8fz61gdg"
"[]","2016","[]","[]","[CensusCBPSurvey]","2252","dc/l4j92ftz9mzd5"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","284","dc/ddkt1zgxvrth8"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","574","dc/tsb04hetl52g"
"[]","2016","[]","[]","[CensusCBPSurvey]","260","dc/4s9f0vtm33ewf"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","179","dc/jh9wlhcrsvdp"
"[]","2016","[]","[]","[CensusCBPSurvey]","2729","dc/13yk1vcwk6e0c"
"[]","2016","[]","[]","[CensusCBPSurvey]","794","dc/4rm3cxnev0q95"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","798","dc/bmkjv8ddddjbf"
"[]","2016","[]","[]","[CensusCBPSurvey]","4064","dc/b03eq5mmk1sk1"
"[]","2016","[]","[]","[CensusCBPSurvey]","21342","dc/53sy7l7219wl2"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","367","dc/xqg65ey566bm4"
"[]","2016","[]","[]","[CensusCBPSurvey]","313","dc/zq7z7t6hgx899"
"[]","2016","[]","[]","[CensusCBPSurvey]","2190","dc/g4b7ttfhn8km4"
"[]","2016","[]","[]","[CensusCBPSurvey]","31018","dc/xxdyt0zlbmqtb"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2101","dc/q2szfrs3ejnh4"
"[]","2016","[]","[]","[CensusCBPSurvey]","837","dc/py6ent326bkbf"
"[]","2016","[]","[]","[CensusCBPSurvey]","11176","dc/mm416w9kl40lc"
