geo,time,NUM_EUR,EUR_HAB,NUM_NAC,NUM_PPS_EU27_2020,PPS_HAB_EU27_2020
nuts/RO422,2011,,5000,,,40
nuts/RO423,2002,,2200,,,29
nuts/RO423,2003,,2300,,,29
nuts/RO423,2004,,2700,,,33
nuts/RO423,2005,,3400,,,33
nuts/RO423,2006,,4200,,,36
nuts/RO423,2007,,5900,,,43
nuts/RO423,2008,,6200,,,45
nuts/RO423,2009,,5300,,,45
nuts/RO423,2010,,5200,,,43
nuts/RO423,2011,,5300,,,42
nuts/RO424,2002,,2800,,,37
nuts/RO424,2003,,3200,,,41
nuts/RO424,2004,,3700,,,45
nuts/RO424,2005,,5100,,,49
nuts/RO424,2006,,6600,,,57
nuts/RO424,2007,,8500,,,62
nuts/RO424,2008,,10700,,,77
nuts/RO424,2009,,8900,,,76
nuts/RO424,2010,,10000,,,83
nuts/RO424,2011,,10500,,,83
