key,prop,val,p1,v1,p2,v2,Month,,#End,#value,,
Computer software and accessories(4)(5),consumerGoodsCategory,ComputerSoftwareAndAccessories,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Computer software and accessories(5)(6),consumerGoodsCategory,ComputerSoftwareAndAccessories,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Computers, peripherals, and smart home assistant devices(8)",consumerGoodsCategory,ComputersOrPeripheralsOrSmartHomeAssistantDevices,unit,IndexPointBasePeriodDecember2007Equals100,,,,,,,,
"Computers, peripherals, and smart home assistants(4)(7)",consumerGoodsCategory,ComputersPeripheralsAndSmartHomeAssistants,unit,IndexPointBasePeriodDecember2007Equals100,,,,,,,,
"Computers, peripherals, and smart home assistants(7)",consumerGoodsCategory,ComputersPeripheralsAndSmartHomeAssistants,unit,IndexPointBasePeriodDecember2007Equals100,,,,,,,,
Cookies(4)(6),consumerGoodsCategory,Cookies,,,,,,,,,,
Cookies(6),consumerGoodsCategory,Cookies,,,,,,,,,,
Cookies(7),consumerGoodsCategory,Cookies,,,,,,,,,,
"Cosmetics, perfume, bath, nail preparations and implements(4)",consumerGoodsCategory,CosmeticsPerfumeBathNailPreparationsAndImplements,,,,,,,,,,
"Cosmetics, perfume, bath, nail preparations and implements(5)",consumerGoodsCategory,CosmeticsPerfumeBathNailPreparationsAndImplements,,,,,,,,,,
"Crackers, bread, and cracker products(6)",consumerGoodsCategory,CrackersBreadAndCrackerProducts,,,,,,,,,,
"Crackers, bread, and cracker products(7)",consumerGoodsCategory,CrackersBreadAndCrackerProducts,,,,,,,,,,
Dairy and related products,consumerGoodsCategory,DairyAndRelatedProducts,,,,,,,,,,
Dairy and related products(4),consumerGoodsCategory,DairyAndRelatedProducts,,,,,,,,,,
Day care and preschool(12),consumerGoodsCategory,DayCareAndPreschool,unit,IndexPointBasePeriodDecember1990Equals100,,,,,,,,
Day care and preschool(4)(12),consumerGoodsCategory,DayCareAndPreschool,unit,IndexPointBasePeriodDecember1990Equals100,,,,,,,,
Delivery services(4)(5),consumerGoodsCategory,DeliveryServices,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Delivery services(5),consumerGoodsCategory,DeliveryServices,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Delivery services(6),consumerGoodsCategory,DeliveryServices,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Dental services,consumerGoodsCategory,DentalServices,,,,,,,,,,
Dental services(11),consumerGoodsCategory,DentalServices,,,,,,,,,,
Dishes and flatware(4)(5),consumerGoodsCategory,DishesAndFlatware,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Dishes and flatware(5)(6),consumerGoodsCategory,DishesAndFlatware,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Distilled spirits at home,consumerGoodsCategory,DistilledSpiritsAtHome,,,,,,,,,,
Distilled spirits at home(4),consumerGoodsCategory,DistilledSpiritsAtHome,,,,,,,,,,
Distilled spirits away from home(4)(5)(6),consumerGoodsCategory,DistilledSpiritsAwayFromHome,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Distilled spirits away from home(5)(6)(7),consumerGoodsCategory,DistilledSpiritsAwayFromHome,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Distilled spirits, excluding whiskey, at home(4)(6)",consumerGoodsCategory,DistilledSpiritsExcludingWhiskeyAtHome,,,,,,,,,,
"Distilled spirits, excluding whiskey, at home(5)(7)",consumerGoodsCategory,DistilledSpiritsExcludingWhiskeyAtHome,,,,,,,,,,
"Distilled spirits, excluding whiskey, at home(6)",consumerGoodsCategory,DistilledSpiritsExcludingWhiskeyAtHome,,,,,,,,,,
Domestic services(4)(5),consumerGoodsCategory,DomesticServices,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Domestic services(5)(6),consumerGoodsCategory,DomesticServices,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Domestically produced farm food,consumerGoodsCategory,DomesticallyProducedFarmFood,,,,,,,,,,
Domestically produced farm food(4),consumerGoodsCategory,DomesticallyProducedFarmFood,,,,,,,,,,
"Dried beans, peas, and lentils(4)(5)(6)",consumerGoodsCategory,DriedBeansPeasAndLentils,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Dried beans, peas, and lentils(5)(6)(7)",consumerGoodsCategory,DriedBeansPeasAndLentils,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Durables,consumerGoodsCategory,Durables,,,,,,,,,,
Durables(4),consumerGoodsCategory,Durables,,,,,,,,,,
Education and communication commodities(11),consumerGoodsCategory,EducationAndCommunicationCommodities,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Education and communication commodities(12),consumerGoodsCategory,EducationAndCommunicationCommodities,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Education and communication services(11),consumerGoodsCategory,EducationAndCommunicationServices,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Education and communication services(12),consumerGoodsCategory,EducationAndCommunicationServices,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Education and communication(5),consumerGoodsCategory,EducationAndCommunication,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Education and communication(6),consumerGoodsCategory,EducationAndCommunication,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Education(5),consumerGoodsCategory,Education,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Education(6),consumerGoodsCategory,Education,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Educational books and supplies,consumerGoodsCategory,EducationalBooksAndSupplies,,,,,,,,,,
Educational books and supplies(4),consumerGoodsCategory,EducationalBooksAndSupplies,,,,,,,,,,
Eggs,consumerGoodsCategory,Eggs,,,,,,,,,,
Eggs(4),consumerGoodsCategory,Eggs,,,,,,,,,,
Electricity,consumerGoodsCategory,Electricity,,,,,,,,,,
Electricity(11),consumerGoodsCategory,Electricity,,,,,,,,,,
Elementary and high school tuition and fees,consumerGoodsCategory,ElementaryAndHighSchoolTuitionAndFees,,,,,,,,,,
Energy,consumerGoodsCategory,Energy,,,,,,,,,,
Energy commodities,consumerGoodsCategory,EnergyCommodities,,,,,,,,,,
Energy services,consumerGoodsCategory,EnergyServices,,,,,,,,,,
Energy services(11),consumerGoodsCategory,EnergyServices,,,,,,,,,,
Eyeglasses and eye care(4)(9),consumerGoodsCategory,EyeglassesAndEyeCare,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Eyeglasses and eye care(5)(10),consumerGoodsCategory,EyeglassesAndEyeCare,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Eyeglasses and eye care(9),consumerGoodsCategory,EyeglassesAndEyeCare,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Fats and oils,consumerGoodsCategory,FatsAndOils,,,,,,,,,,
Fees for lessons or instructions(4)(9),consumerGoodsCategory,FeesForLessonsOrInstructions,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Fees for lessons or instructions(5)(10),consumerGoodsCategory,FeesForLessonsOrInstructions,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Film and photographic supplies(4)(5)(6),consumerGoodsCategory,FilmAndPhotographicSupplies,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Film and photographic supplies(5)(6)(7),consumerGoodsCategory,FilmAndPhotographicSupplies,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Film processing(4)(5)(6),consumerGoodsCategory,FilmProcessing,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Financial services(10),consumerGoodsCategory,FinancialServices,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Financial services(4)(9),consumerGoodsCategory,FinancialServices,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Financial services(9),consumerGoodsCategory,FinancialServices,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Fish and seafood,consumerGoodsCategory,FishAndSeafood,,,,,,,,,,
Fish and seafood(4),consumerGoodsCategory,FishAndSeafood,,,,,,,,,,
Floor coverings(4)(5),consumerGoodsCategory,FloorCoverings,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Floor coverings(5)(6),consumerGoodsCategory,FloorCoverings,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Flour and prepared flour mixes,consumerGoodsCategory,FlourAndPreparedFlourMixes,,,,,,,,,,
Food,consumerGoodsCategory,Food,,,,,,,,,,
Food and beverages,consumerGoodsCategory,FoodAndBeverages,,,,,,,,,,
Food at elementary and secondary schools(4)(6)(8),consumerGoodsCategory,FoodAtElementaryAndSecondarySchools,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Food at elementary and secondary schools(4)(8)(6),consumerGoodsCategory,FoodAtElementaryAndSecondarySchools,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Food at elementary and secondary schools(5)(9)(7),consumerGoodsCategory,FoodAtElementaryAndSecondarySchools,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Food at elementary and secondary schools(8)(6),consumerGoodsCategory,FoodAtElementaryAndSecondarySchools,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Food at employee sites and schools(4)(5),consumerGoodsCategory,FoodAtEmployeeSitesAndSchools,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Food at employee sites and schools(5),consumerGoodsCategory,FoodAtEmployeeSitesAndSchools,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Food at employee sites and schools(6),consumerGoodsCategory,FoodAtEmployeeSitesAndSchools,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Food at home,consumerGoodsCategory,FoodAtHome,,,,,,,,,,
Food away from home(4),consumerGoodsCategory,FoodAwayFromHome,,,,,,,,,,
Food away from home(5),consumerGoodsCategory,FoodAwayFromHome,,,,,,,,,,
Food from vending machines and mobile vendors(4)(5),consumerGoodsCategory,FoodFromVendingMachinesAndMobileVendors,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Food from vending machines and mobile vendors(5)(6),consumerGoodsCategory,FoodFromVendingMachinesAndMobileVendors,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Footwear,consumerGoodsCategory,Footwear,,,,,,,,,,
Frankfurters(6),consumerGoodsCategory,Frankfurters,,,,,,,,,,
Frankfurters(7),consumerGoodsCategory,Frankfurters,,,,,,,,,,
Fresh and frozen chicken parts(4)(6),consumerGoodsCategory,FreshAndFrozenChickenParts,,,,,,,,,,
Fresh and frozen chicken parts(5)(7),consumerGoodsCategory,FreshAndFrozenChickenParts,,,,,,,,,,
Fresh and frozen chicken parts(6),consumerGoodsCategory,FreshAndFrozenChickenParts,,,,,,,,,,
"Fresh biscuits, rolls, muffins(4)(5)",consumerGoodsCategory,FreshBiscuitsOrRollsOrMuffins,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Fresh biscuits, rolls, muffins(5)",consumerGoodsCategory,FreshBiscuitsOrRollsOrMuffins,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Fresh biscuits, rolls, muffins(6)",consumerGoodsCategory,FreshBiscuitsOrRollsOrMuffins,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Fresh cakes and cupcakes(4)(6),consumerGoodsCategory,FreshCakesAndCupcakes,,,,,,,,,,
Fresh cakes and cupcakes(5)(7),consumerGoodsCategory,FreshCakesAndCupcakes,,,,,,,,,,
Fresh fish and seafood(4)(5),consumerGoodsCategory,FreshFishAndSeafood,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Fresh fish and seafood(5),consumerGoodsCategory,FreshFishAndSeafood,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Fresh fish and seafood(6),consumerGoodsCategory,FreshFishAndSeafood,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Fresh fruits,consumerGoodsCategory,FreshFruits,,,,,,,,,,
Fresh fruits and vegetables,consumerGoodsCategory,FreshFruitsAndVegetables,,,,,,,,,,
Fresh milk other than whole(4)(5)(6),consumerGoodsCategory,FreshMilkOtherThanWhole,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Fresh milk other than whole(5)(6),consumerGoodsCategory,FreshMilkOtherThanWhole,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Fresh milk other than whole(6)(7),consumerGoodsCategory,FreshMilkOtherThanWhole,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",consumerGoodsCategory,FreshSweetrollsCoffeecakesDoughnuts,,,,,,,,,,
"Fresh sweetrolls, coffeecakes, doughnuts(5)(7)",consumerGoodsCategory,FreshSweetrollsCoffeecakesDoughnuts,,,,,,,,,,
Fresh vegetables,consumerGoodsCategory,FreshVegetables,,,,,,,,,,
Fresh whole chicken(4)(6),consumerGoodsCategory,FreshWholeChicken,,,,,,,,,,
Fresh whole chicken(5)(7),consumerGoodsCategory,FreshWholeChicken,,,,,,,,,,
Fresh whole chicken(6),consumerGoodsCategory,FreshWholeChicken,,,,,,,,,,
Fresh whole milk(4)(6),consumerGoodsCategory,FreshWholeMilk,,,,,,,,,,
Fresh whole milk(6),consumerGoodsCategory,FreshWholeMilk,,,,,,,,,,
Fresh whole milk(7),consumerGoodsCategory,FreshWholeMilk,,,,,,,,,,
Frozen and freeze dried prepared foods,consumerGoodsCategory,FrozenAndFreezeDriedPreparedFoods,,,,,,,,,,
Frozen and freeze dried prepared foods(4),consumerGoodsCategory,FrozenAndFreezeDriedPreparedFoods,,,,,,,,,,
Frozen and freeze dried prepared foods(5),consumerGoodsCategory,FrozenAndFreezeDriedPreparedFoods,,,,,,,,,,
"Frozen and refrigerated bakery products, pies, tarts, turnovers(4)(6)",consumerGoodsCategory,FrozenAndRefrigeratedBakeryProductsPiesTartsTurnovers,,,,,,,,,,
"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",consumerGoodsCategory,FrozenAndRefrigeratedBakeryProductsPiesTartsTurnovers,,,,,,,,,,
"Frozen and refrigerated bakery products, pies, tarts, turnovers(7)",consumerGoodsCategory,FrozenAndRefrigeratedBakeryProductsPiesTartsTurnovers,,,,,,,,,,
Frozen fish and seafood(4)(6),consumerGoodsCategory,FrozenFishAndSeafood,,,,,,,,,,
Frozen fish and seafood(6),consumerGoodsCategory,FrozenFishAndSeafood,,,,,,,,,,
Frozen fish and seafood(7),consumerGoodsCategory,FrozenFishAndSeafood,,,,,,,,,,
Frozen fruits and vegetables(5),consumerGoodsCategory,FrozenFruitsAndVegetables,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Frozen fruits and vegetables(6),consumerGoodsCategory,FrozenFruitsAndVegetables,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Frozen noncarbonated juices and drinks(4)(5),consumerGoodsCategory,FrozenNoncarbonatedJuicesAndDrinks,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Frozen noncarbonated juices and drinks(5)(6),consumerGoodsCategory,FrozenNoncarbonatedJuicesAndDrinks,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Frozen vegetables(6),consumerGoodsCategory,FrozenVegetables,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Frozen vegetables(7),consumerGoodsCategory,FrozenVegetables,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Fruits and vegetables,consumerGoodsCategory,FruitsAndVegetables,,,,,,,,,,
Fuel oil,consumerGoodsCategory,FuelOil,,,,,,,,,,
Fuel oil and other fuels,consumerGoodsCategory,FuelOilAndOtherFuels,,,,,,,,,,
Fuel oil and other fuels(4),consumerGoodsCategory,FuelOilAndOtherFuels,,,,,,,,,,
Fuel oil(4),consumerGoodsCategory,FuelOil,,,,,,,,,,
Fuels and utilities,consumerGoodsCategory,FuelsAndUtilities,,,,,,,,,,
Full service meals and snacks(4)(5),consumerGoodsCategory,FullServiceMealsAndSnacks,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Full service meals and snacks(5)(6),consumerGoodsCategory,FullServiceMealsAndSnacks,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Funeral expenses(4)(9),consumerGoodsCategory,FuneralExpenses,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Funeral expenses(5)(10),consumerGoodsCategory,FuneralExpenses,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Funeral expenses(9),consumerGoodsCategory,FuneralExpenses,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Furniture and bedding,consumerGoodsCategory,FurnitureAndBedding,,,,,,,,,,
Furniture and bedding(4),consumerGoodsCategory,FurnitureAndBedding,,,,,,,,,,
Garbage and trash collection(4)(13),consumerGoodsCategory,GarbageAndTrashCollection,unit,IndexPointBasePeriodDecember1983Equals100,,,,,,,,
Garbage and trash collection(4)(14),consumerGoodsCategory,GarbageAndTrashCollection,unit,IndexPointBasePeriodDecember1983Equals100,,,,,,,,
Garbage and trash collection(5)(14),consumerGoodsCategory,GarbageAndTrashCollection,unit,IndexPointBasePeriodDecember1983Equals100,,,,,,,,
Gardening and lawncare services(4)(5),consumerGoodsCategory,GardeningAndLawncareServices,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Gardening and lawncare services(5)(6),consumerGoodsCategory,GardeningAndLawncareServices,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Gasoline (all types),consumerGoodsCategory,GasolineAllTypes,,,,,,,,,,
"Gasoline, unleaded midgrade(10)(6)",consumerGoodsCategory,GasolineUnleadedMidgrade,unit,IndexPointBasePeriodDecember1993Equals100,,,,,,,,
"Gasoline, unleaded midgrade(11)(7)",consumerGoodsCategory,GasolineUnleadedMidgrade,unit,IndexPointBasePeriodDecember1993Equals100,,,,,,,,
"Gasoline, unleaded midgrade(6)(10)",consumerGoodsCategory,GasolineUnleadedMidgrade,unit,IndexPointBasePeriodDecember1993Equals100,,,,,,,,
"Gasoline, unleaded premium(6)",consumerGoodsCategory,GasolineUnleadedPremium,,,,,,,,,,
"Gasoline, unleaded premium(7)",consumerGoodsCategory,GasolineUnleadedPremium,,,,,,,,,,
"Gasoline, unleaded regular(6)",consumerGoodsCategory,GasolineUnleadedRegular,,,,,,,,,,
"Gasoline, unleaded regular(7)",consumerGoodsCategory,GasolineUnleadedRegular,,,,,,,,,,
Girls' apparel,consumerGoodsCategory,GirlsApparel,,,,,,,,,,
"Hair, dental, shaving, and miscellaneous personal care products(4)(5)",consumerGoodsCategory,HairDentalShavingAndMiscellaneousPersonalCareProducts,,,,,,,,,,
"Hair, dental, shaving, and miscellaneous personal care products(5)(6)",consumerGoodsCategory,HairDentalShavingAndMiscellaneousPersonalCareProducts,,,,,,,,,,
Haircuts and other personal care services(4)(5),consumerGoodsCategory,HaircutsAndOtherPersonalCareServices,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Haircuts and other personal care services(5)(6),consumerGoodsCategory,HaircutsAndOtherPersonalCareServices,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Ham,consumerGoodsCategory,Ham,,,,,,,,,,
"Ham, excluding canned(6)",consumerGoodsCategory,HamExcludingCanned,,,,,,,,,,
"Ham, excluding canned(7)",consumerGoodsCategory,HamExcludingCanned,,,,,,,,,,
Health insurance(4)(8),consumerGoodsCategory,HealthInsurance,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Health insurance(5)(9),consumerGoodsCategory,HealthInsurance,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Hospital and related services,consumerGoodsCategory,HospitalAndRelatedServices,,,,,,,,,,
Hospital and related services(4),consumerGoodsCategory,HospitalAndRelatedServices,,,,,,,,,,
Hospital services(11)(17),consumerGoodsCategory,HospitalServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Hospital services(16),consumerGoodsCategory,HospitalServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Hospital services(17),consumerGoodsCategory,HospitalServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Hospital services(4)(17),consumerGoodsCategory,HospitalServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Household cleaning products(4)(5),consumerGoodsCategory,HouseholdCleaningProducts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Household cleaning products(5),consumerGoodsCategory,HouseholdCleaningProducts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Household cleaning products(5)(6),consumerGoodsCategory,HouseholdCleaningProducts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Household energy,consumerGoodsCategory,HouseholdEnergy,,,,,,,,,,
Household furnishings and operations,consumerGoodsCategory,HouseholdFurnishingsAndOperations,,,,,,,,,,
Household furnishings and supplies(11),consumerGoodsCategory,HouseholdFurnishingsAndSupplies,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Household furnishings and supplies(12),consumerGoodsCategory,HouseholdFurnishingsAndSupplies,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Household furnishings and supplies(4)(12),consumerGoodsCategory,HouseholdFurnishingsAndSupplies,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Household operations(4)(5),consumerGoodsCategory,HouseholdOperations,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Household operations(5)(6),consumerGoodsCategory,HouseholdOperations,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Household paper products(4)(5),consumerGoodsCategory,HouseholdPaperProducts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Household paper products(5)(6),consumerGoodsCategory,HouseholdPaperProducts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Housekeeping supplies(4),consumerGoodsCategory,HousekeepingSupplies,,,,,,,,,,
Housekeeping supplies(5),consumerGoodsCategory,HousekeepingSupplies,,,,,,,,,,
Housing,consumerGoodsCategory,Housing,,,,,,,,,,
"Housing at school, excluding board(11)(16)",consumerGoodsCategory,HousingAtSchoolExcludingBoard,unit,IndexPointBasePeriodDecember1982Equals100,,,,,,,,
"Housing at school, excluding board(15)",consumerGoodsCategory,HousingAtSchoolExcludingBoard,unit,IndexPointBasePeriodDecember1982Equals100,,,,,,,,
"Housing at school, excluding board(16)",consumerGoodsCategory,HousingAtSchoolExcludingBoard,unit,IndexPointBasePeriodDecember1982Equals100,,,,,,,,
Ice cream and related products,consumerGoodsCategory,IceCreamAndRelatedProducts,,,,,,,,,,
Indoor plants and flowers(12),consumerGoodsCategory,IndoorPlantsAndFlowers,unit,IndexPointBasePeriodDecember1990Equals100,,,,,,,,
Indoor plants and flowers(13),consumerGoodsCategory,IndoorPlantsAndFlowers,unit,IndexPointBasePeriodDecember1990Equals100,,,,,,,,
Infants' and toddlers' apparel,consumerGoodsCategory,InfantsAndToddlersApparel,,,,,,,,,,
Infants' equipment(4)(8)(6),consumerGoodsCategory,InfantsEquipment,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Infants' equipment(5)(9)(7),consumerGoodsCategory,InfantsEquipment,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Infants' furniture(4)(8)(6),consumerGoodsCategory,InfantsEquipment,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Infants' furniture(5)(9)(7),consumerGoodsCategory,InfantsEquipment,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Information and information processing(5),consumerGoodsCategory,InformationAndInformationProcessing,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Information and information processing(6),consumerGoodsCategory,InformationAndInformationProcessing,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Information technology commodities(11),consumerGoodsCategory,InformationTechnologyCommodities,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Information technology commodities(12),consumerGoodsCategory,InformationTechnologyCommodities,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
"Information technology, hardware and services(17)",consumerGoodsCategory,InformationTechnologyHardwareAndServices,unit,IndexPointBasePeriodDecember1988Equals100,,,,,,,,
"Information technology, hardware and services(18)",consumerGoodsCategory,InformationTechnologyHardwareAndServices,unit,IndexPointBasePeriodDecember1988Equals100,,,,,,,,
Inpatient hospital services(11)(17)(6),consumerGoodsCategory,InpatientHospitalServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Inpatient hospital services(16)(6),consumerGoodsCategory,InpatientHospitalServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Inpatient hospital services(17)(6),consumerGoodsCategory,InpatientHospitalServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Inpatient hospital services(17)(7),consumerGoodsCategory,InpatientHospitalServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Inpatient hospital services(4)(17)(6),consumerGoodsCategory,InpatientHospitalServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Inpatient hospital services(4)(6)(17),consumerGoodsCategory,InpatientHospitalServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Instant and freeze dried coffee(4)(6),consumerGoodsCategory,InstantAndFreezeDriedCoffee,,,,,,,,,,
Instant coffee(4)(6),consumerGoodsCategory,InstantCoffee,,,,,,,,,,
Instant coffee(5)(7),consumerGoodsCategory,InstantCoffee,,,,,,,,,,
Intercity bus fare(4)(7)(6),consumerGoodsCategory,IntercityBusFare,unit,IndexPointBasePeriodDecember2007Equals100,,,,,,,,
Intercity bus fare(5)(8)(7),consumerGoodsCategory,IntercityBusFare,unit,IndexPointBasePeriodDecember2007Equals100,,,,,,,,
Intercity train fare(4)(7)(6),consumerGoodsCategory,IntercityBusFare,unit,IndexPointBasePeriodDecember2007Equals100,,,,,,,,
Intercity train fare(5)(8)(7),consumerGoodsCategory,IntercityBusFare,unit,IndexPointBasePeriodDecember2007Equals100,,,,,,,,
Intercity train fare(7)(6),consumerGoodsCategory,IntercityTrainFare,unit,IndexPointBasePeriodDecember2007Equals100,,,,,,,,
Internet services and electronic information providers(4)(5),consumerGoodsCategory,InternetServicesAndElectronicInformationProviders,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Internet services and electronic information providers(5),consumerGoodsCategory,InternetServicesAndElectronicInformationProviders,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Internet services and electronic information providers(6),consumerGoodsCategory,InternetServicesAndElectronicInformationProviders,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Intracity mass transit(4)(11)(6),consumerGoodsCategory,IntracityMassTransit,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Intracity mass transit(4)(12)(6),consumerGoodsCategory,IntracityMassTransit,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Intracity mass transit(4)(6)(11),consumerGoodsCategory,IntracityMassTransit,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Intracity mass transit(5)(12)(7),consumerGoodsCategory,IntracityMassTransit,unit,IndexPointBasePeriodDecember2009Equals100,,,,,,,,
Intracity transportation(4),consumerGoodsCategory,IntracityTransportation,,,,,,,,,,
Intracity transportation(5),consumerGoodsCategory,IntracityTransportation,,,,,,,,,,
Jewelry and watches(10),consumerGoodsCategory,JewelryAndWatches,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Jewelry and watches(9),consumerGoodsCategory,JewelryAndWatches,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Jewelry(10),consumerGoodsCategory,Jewelry,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
Jewelry(9),consumerGoodsCategory,Jewelry,unit,IndexPointBasePeriodDecember1986Equals100,,,,,,,,
