observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,measurementMethod
geoId/04,2024,dcid:Amount_Investment_PublicWorks,3992613,USDollar,,
geoId/04,2026,dcid:Amount_Investment_PublicWorks,5483656,USDollar,,
geoId/04,2022,dcid:Amount_Investment_RegionalInnovationStrategies,1047990,USDollar,,
geoId/04,2012,dcid:Amount_Investment_TechnicalAssistance,92400,USDollar,,
geoId/04,2013,dcid:Amount_Investment_TechnicalAssistance,400000,USDollar,,
geoId/04,2015,dcid:Amount_Investment_TechnicalAssistance,609744,USDollar,,
geoId/04,2016,dcid:Amount_Investment_TechnicalAssistance,312500,USDollar,,
geoId/04,2017,dcid:Amount_Investment_TechnicalAssistance,983702,USDollar,,
geoId/04,2019,dcid:Amount_Investment_TechnicalAssistance,1049649,USDollar,,
geoId/04,2020,dcid:Amount_Investment_TechnicalAssistance,27100,USDollar,,
geoId/04,2021,dcid:Amount_Investment_TechnicalAssistance,299396,USDollar,,
geoId/04,2022,dcid:Amount_Investment_TechnicalAssistance,497144,USDollar,,
geoId/04,2023,dcid:Amount_Investment_TechnicalAssistance,70000,USDollar,,
geoId/04,2024,dcid:Amount_Investment_TechnicalAssistance,70000,USDollar,,
geoId/05,2012,dcid:Amount_Investment,5460000,USDollar,,
geoId/05,2013,dcid:Amount_Investment,1572065,USDollar,,
geoId/05,2014,dcid:Amount_Investment,13331646,USDollar,,
geoId/05,2015,dcid:Amount_Investment,3900000,USDollar,,
geoId/05,2016,dcid:Amount_Investment,7484399,USDollar,,
geoId/05,2017,dcid:Amount_Investment,2487063,USDollar,,
geoId/05,2018,dcid:Amount_Investment,1419459,USDollar,,
geoId/05,2019,dcid:Amount_Investment,576302,USDollar,,
geoId/05,2020,dcid:Amount_Investment,5480000,USDollar,,
geoId/05,2022,dcid:Amount_Investment,6863985,USDollar,,
geoId/05,2023,dcid:Amount_Investment,1914800,USDollar,,
geoId/05,2024,dcid:Amount_Investment,17185402,USDollar,,
geoId/05,2026,dcid:Amount_Investment,390000,USDollar,,
geoId/05,2012,dcid:Amount_Investment_EconomicAdjustmentAssistance,4500000,USDollar,,
geoId/05,2013,dcid:Amount_Investment_EconomicAdjustmentAssistance,310000,USDollar,,
geoId/05,2014,dcid:Amount_Investment_EconomicAdjustmentAssistance,8298116,USDollar,,
geoId/05,2015,dcid:Amount_Investment_EconomicAdjustmentAssistance,2500000,USDollar,,
geoId/05,2016,dcid:Amount_Investment_EconomicAdjustmentAssistance,6166673,USDollar,,
geoId/05,2020,dcid:Amount_Investment_EconomicAdjustmentAssistance,3800000,USDollar,,
geoId/05,2022,dcid:Amount_Investment_EconomicAdjustmentAssistance,5563985,USDollar,,
geoId/05,2024,dcid:Amount_Investment_EconomicAdjustmentAssistance,13165402,USDollar,,
geoId/05,2026,dcid:Amount_Investment_EconomicAdjustmentAssistance,390000,USDollar,,
geoId/05,2013,dcid:Amount_Investment_ProgramPlanning,306309,USDollar,,
geoId/05,2014,dcid:Amount_Investment_ProgramPlanning,1260000,USDollar,,
geoId/05,2015,dcid:Amount_Investment_ProgramPlanning,150000,USDollar,,
geoId/05,2017,dcid:Amount_Investment_ProgramPlanning,1680000,USDollar,,
geoId/05,2020,dcid:Amount_Investment_ProgramPlanning,1680000,USDollar,,
geoId/05,2023,dcid:Amount_Investment_ProgramPlanning,1914800,USDollar,,
geoId/05,2012,dcid:Amount_Investment_PublicWorks,960000,USDollar,,
geoId/05,2013,dcid:Amount_Investment_PublicWorks,135000,USDollar,,
geoId/05,2014,dcid:Amount_Investment_PublicWorks,3773530,USDollar,,
geoId/05,2015,dcid:Amount_Investment_PublicWorks,1250000,USDollar,,
geoId/05,2016,dcid:Amount_Investment_PublicWorks,817726,USDollar,,
geoId/05,2022,dcid:Amount_Investment_PublicWorks,1300000,USDollar,,
geoId/05,2024,dcid:Amount_Investment_PublicWorks,3500000,USDollar,,
geoId/05,2013,dcid:Amount_Investment_TechnicalAssistance,820756,USDollar,,
geoId/05,2016,dcid:Amount_Investment_TechnicalAssistance,500000,USDollar,,
geoId/05,2017,dcid:Amount_Investment_TechnicalAssistance,807063,USDollar,,
