,,,,,,,,,,,,
YEAR,observationDate,{Data},populationType,Student,measuredProperty,count,statType,measuredValue,,,,
SCH_ALGENR_GS1112_LEP_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS1112_LEP_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G07,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7,,,,,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_HI_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,HispanicOrLatino,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_HI_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,HispanicOrLatino,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_AM_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,AmericanIndianOrAlaskaNative,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_AM_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,AmericanIndianOrAlaskaNative,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_AS_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,Asian,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_AS_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,Asian,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_HP_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,HawaiianNativeOrPacificIslander,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_HP_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,HawaiianNativeOrPacificIslander,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_BL_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,Black,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_BL_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,Black,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_WH_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,White,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_WH_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,White,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_TR_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,TwoOrMoreRaces,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_TR_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,race,TwoOrMoreRaces,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
TOT_ALGPASS_G08_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,,,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
TOT_ALGPASS_G08_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,,,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_LEP_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_LEP_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_IDEA_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,disabilityStatus,WithDisability,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_G08_IDEA_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade8,disabilityStatus,WithDisability,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0910_LEP_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0910_LEP_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS1112_LEP_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS1112_LEP_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
,,,,,,,,,,,,
#2013-14,,,,,,,,,,,,
SCH_ALGCLASSES_GS0712,,,,,,,,,,,,
SCH_ALGENR_GS0708_HI_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,HispanicOrLatino,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_HI_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,HispanicOrLatino,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_AM_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,AmericanIndianOrAlaskaNative,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_AM_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,AmericanIndianOrAlaskaNative,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_AS_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,Asian,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_AS_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,Asian,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_HP_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,HawaiianNativeOrPacificIslander,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_HP_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,HawaiianNativeOrPacificIslander,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_BL_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,Black,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_BL_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,Black,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_WH_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,White,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_WH_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,White,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_TR_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,TwoOrMoreRaces,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_TR_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,race,TwoOrMoreRaces,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
TOT_ALGENR_GS0708_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,,,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
TOT_ALGENR_GS0708_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,,,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_LEP_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_LEP_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_IDEA_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,disabilityStatus,WithDisability,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0708_IDEA_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade7To8,disabilityStatus,WithDisability,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0910_LEP_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade9To10,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS0910_LEP_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade9To10,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS1112_LEP_M,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGENR_GS1112_LEP_F,enrollmentStatus,EnrolledInEducationOrTraining,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_HI_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,HispanicOrLatino,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_HI_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,HispanicOrLatino,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_AM_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,AmericanIndianOrAlaskaNative,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_AM_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,AmericanIndianOrAlaskaNative,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_AS_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Asian,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_AS_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Asian,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_HP_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,HawaiianNativeOrPacificIslander,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_HP_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,HawaiianNativeOrPacificIslander,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_BL_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Black,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_BL_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Black,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_WH_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,White,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_WH_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,White,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_TR_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,TwoOrMoreRaces,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_TR_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,TwoOrMoreRaces,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
TOT_ALGPASS_GS0708_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,,,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
TOT_ALGPASS_GS0708_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,,,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_LEP_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_LEP_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_IDEA_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,disabilityStatus,WithDisability,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0708_IDEA_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,disabilityStatus,WithDisability,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0910_LEP_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS0910_LEP_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS1112_LEP_M,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
SCH_ALGPASS_GS1112_LEP_F,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
,,,,,,,,,,,,
M_AME_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,AmericanIndianOrAlaskaNative,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_ASI_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Asian,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_HIS_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,HispanicOrLatino,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_BLA_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Black,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_WHI_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,White,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_HI_PAC_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,HawaiianNativeOrPacificIslander,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_2_OR_MORE_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,TwoOrMoreRaces,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_TOT_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,,,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_DIS_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,disabilityStatus,WithDisability,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_LEP_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
F_AME_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,AmericanIndianOrAlaskaNative,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_ASI_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Asian,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_HIS_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,HispanicOrLatino,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_BLA_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,Black,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_WHI_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,White,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_HI_PAC_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,HawaiianNativeOrPacificIslander,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_2_OR_MORE_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,TwoOrMoreRaces,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_TOT_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,,,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_DIS_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,disabilityStatus,WithDisability,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_LEP_7_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
,,,,,,,,,,,,
M_AME_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,AmericanIndianOrAlaskaNative,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_ASI_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,Asian,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_HIS_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,HispanicOrLatino,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_BLA_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,Black,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_WHI_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,White,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_HI_PAC_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,HawaiianNativeOrPacificIslander,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_2_OR_MORE_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,TwoOrMoreRaces,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_TOT_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,,,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_DIS_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,disabilityStatus,WithDisability,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_LEP_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
F_AME_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,AmericanIndianOrAlaskaNative,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_ASI_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,Asian,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_HIS_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,HispanicOrLatino,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_BLA_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,Black,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_WHI_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,White,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_HI_PAC_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,HawaiianNativeOrPacificIslander,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_2_OR_MORE_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,race,TwoOrMoreRaces,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_TOT_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,,,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_DIS_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,disabilityStatus,WithDisability,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_LEP_7_PASSED_ALG1_G9_G10,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade9To10,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
,,,,,,,,,,,,
M_AME_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,AmericanIndianOrAlaskaNative,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_ASI_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,Asian,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_HIS_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,HispanicOrLatino,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_BLA_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,Black,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_WHI_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,White,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_HI_PAC_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,HawaiianNativeOrPacificIslander,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_2_OR_MORE_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,TwoOrMoreRaces,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_TOT_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,,,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_DIS_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,disabilityStatus,WithDisability,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
M_LEP_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
F_AME_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,AmericanIndianOrAlaskaNative,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_ASI_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,Asian,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_HIS_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,HispanicOrLatino,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_BLA_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,Black,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_WHI_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,White,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_HI_PAC_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,HawaiianNativeOrPacificIslander,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_2_OR_MORE_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,race,TwoOrMoreRaces,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_TOT_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,,,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_DIS_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,disabilityStatus,WithDisability,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
F_LEP_7_PASSED_ALG1_G11_G12,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade11To12,languageLearned,EnglishLearner,gender,Female,value,{Number},#Filter,Allow=int(value) >= 0
,,,,,,,,,,,,
#2009-10,,,,,,,,,,,,
,,,,,,,,,,,,
M_AME_5_PASSED_ALG1_G7_G8,studentPerformanceLevel,Pass,schoolGradeLevel,SchoolGrade7To8,race,AmericanIndianOrAlaskaNative,gender,Male,value,{Number},#Filter,Allow=int(value) >= 0
