Detail Data For Coal Import Quantity by Coal Type & Country Having Year : ALL
.
CoalType,Country,YearValue,QtyInMillionTonnes_Imports,AmountInRsMillion
NON-COKING,LATVIA,2019,0.401,4209.320
NON-COKING,MALAYSIA,2019,0.108,473.043
NON-COKING,MALTA,2019,0.076,459.701
NON-COKING,MOROCCO,2019,0.020,91.132
NON-COKING,MOZAMBIQUE,2019,4.853,31792.452
NON-COKING,NETHERLAND,2019,0.010,95.237
NON-COKING,NEW ZEALAND,2019,0.052,271.185
NON-COKING,PHILIPPINES,2019,0.075,347.794
NON-COKING,ROMANIA,2019,0.029,399.142
NON-COKING,RUSSIA,2019,4.376,41338.476
NON-COKING,SAUDI ARABIA,2019,0.035,203.921
NON-COKING,SINGAPORE,2019,4.149,24552.574
NON-COKING,SOUTH AFRICA,2019,31.153,189505.469
NON-COKING,SPAIN,2019,0.001,16.734
NON-COKING,SWITZERLAND,2019,1.783,8907.972
NON-COKING,THAILAND,2019,0.000,0.051
NON-COKING,UAE,2019,1.027,5803.254
NON-COKING,UK,2019,0.002,58.543
NON-COKING,U S A,2019,10.842,78523.035
NON-COKING,UNSPECIFIED,2019,0.011,22.465
NON-COKING,UZBEKISTAN,2019,0.000,0.004
NON-COKING,VIETNAM SOC REP,2019,0.103,1472.662
COKE,AUSTRALIA,2020,0.141,2492.571
COKE,BAHARAIN IS,2020,0.000,6.697
COKE,CANADA,2020,0.000,2.710
COKE,CHINA P R,2020,0.345,7224.010
COKE,COLOMBIA,2020,0.394,7123.899
COKE,DENMARK,2020,0.005,87.086
COKE,EGYPT,2020,0.038,645.955
COKE,ESTONIA,2020,0.000,3.874
COKE,FINLAND,2020,0.041,946.358
COKE,GERMANY,2020,0.002,28.696
COKE,HONG KONG,2020,0.006,114.169
COKE,INDONESIA,2020,0.132,2898.905
COKE,IRAN,2020,0.017,277.180
COKE,IRELAND,2020,0.000,2.431
COKE,JAPAN,2020,0.390,8263.570
COKE,LATVIA,2020,0.001,18.296
COKE,LITHUANIA,2020,0.001,13.043
COKE,MALAYSIA,2020,0.001,6.578
COKE,NETHERLAND,2020,0.000,2.903
COKE,POLAND,2020,0.815,19526.722
COKE,PUERTO RICO,2020,0.004,62.353
COKE,QATAR,2020,0.001,5.805
COKE,RUSSIA,2020,0.301,6167.064
COKE,SINGAPORE,2020,0.176,3439.457
COKE,SPAIN,2020,0.000,7.137
COKE,SWITZERLAND,2020,0.031,565.136
COKE,UAE,2020,0.012,258.277
COKE,UK,2020,0.000,4.936
COKE,U S A,2020,0.000,2.385
COKE,UNSPECIFIED,2020,0.019,50.778
COKE,VENEZUELA,2020,0.001,7.692
COKING,AUSTRALIA,2020,35.916,427267.256
COKING,CANADA,2020,4.647,57293.859
COKING,CHINA P R,2020,0.182,2869.426
COKING,COLOMBIA,2020,0.010,106.425
COKING,GERMANY,2020,0.030,293.363
COKING,INDONESIA,2020,1.423,13156.556
COKING,MOZAMBIQUE,2020,1.778,20890.850
COKING,NEW ZEALAND,2020,0.413,4376.755
COKING,RUSSIA,2020,1.104,8104.792
COKING,SINGAPORE,2020,2.006,25290.691
COKING,SOUTH AFRICA,2020,0.000,0.002
COKING,SWITZERLAND,2020,0.288,3682.208
COKING,UAE,2020,0.219,2967.598
COKING,UK,2020,0.001,17.524
COKING,U S A,2020,3.775,45880.210
COKING,VIRGIN IS US,2020,0.043,470.811
LIGNITE,CHINA P R,2020,0.009,133.889
LIGNITE,HONG KONG,2020,0.000,4.474
LIGNITE,INDONESIA,2020,0.000,0.002
LIGNITE,JAPAN,2020,0.024,443.350
LIGNITE,RUSSIA,2020,0.021,492.750
NON-COKING,AUSTRALIA,2020,10.802,82902.619
NON-COKING,BAHARAIN IS,2020,0.000,6.490
NON-COKING,BANGLADESH PR,2020,0.007,67.299
NON-COKING,BELGIUM,2020,0.159,794.904
NON-COKING,BHUTAN,2020,0.003,17.820
NON-COKING,CANADA,2020,0.038,289.667
NON-COKING,CHINA P R,2020,0.031,962.805
NON-COKING,COLOMBIA,2020,1.902,9423.214
NON-COKING,CYPRUS,2020,0.002,25.634
NON-COKING,FINLAND,2020,0.077,717.874
NON-COKING,GERMANY,2020,0.000,1.466
NON-COKING,HONG KONG,2020,0.058,327.963
NON-COKING,ICELAND,2020,0.080,321.293
NON-COKING,INDONESIA,2020,115.240,447692.353
NON-COKING,IRAN,2020,0.024,73.679
NON-COKING,LATVIA,2020,0.129,1400.071
NON-COKING,MALAYSIA,2020,0.000,0.402
NON-COKING,MEXICO,2020,0.107,633.774
NON-COKING,MOZAMBIQUE,2020,3.699,19381.774
NON-COKING,NETHERLAND,2020,0.382,1473.302
NON-COKING,NEW ZEALAND,2020,0.000,0.079
NON-COKING,NIGERIA,2020,0.000,0.282
NON-COKING,PHILIPPINES,2020,0.035,146.238
NON-COKING,RUSSIA,2020,7.122,52386.829
NON-COKING,SAUDI ARABIA,2020,0.000,1.290
NON-COKING,SINGAPORE,2020,3.722,19780.794
NON-COKING,SOUTH AFRICA,2020,42.481,212693.027
NON-COKING,SWITZERLAND,2020,1.041,5252.295
NON-COKING,TAIWAN,2020,0.167,979.418
NON-COKING,UAE,2020,0.655,2750.399
NON-COKING,UK,2020,0.284,1477.688
NON-COKING,U S A,2020,8.384,51603.796
NON-COKING,VIETNAM SOC REP,2020,0.070,1065.688
COKE,POLAND,2021,0.957,18428.453
COKE,COLOMBIA,2021,0.512,8257.619
COKE,JAPAN,2021,0.397,7423.311
COKE,SWITZERLAND,2021,0.212,3425.262
COKE,INDONESIA,2021,0.135,2874.202
COKE,RUSSIA,2021,0.119,2234.742
COKE,SINGAPORE,2021,0.052,764.790
COKE,CHINA P R,2021,0.015,371.424
COKE,AUSTRALIA,2021,0.022,226.072
COKE,CHILE,2021,0.011,196.032
COKE,LITHUANIA,2021,0.006,133.613
COKE,EGYPT,2021,0.005,115.295
COKE,UAE,2021,0.005,77.793
COKE,LATVIA,2021,0.003,71.454
COKE,DENMARK,2021,0.001,22.894
COKE,QATAR,2021,0.002,15.115
COKE,VENEZUELA,2021,0.001,11.129
COKE,IRAN,2021,0.001,10.012
COKE,GERMANY,2021,0.000,7.858
COKE,CANADA,2021,0.000,7.237
COKE,ESTONIA,2021,0.000,6.638
COKE,UK,2021,0.000,5.580
COKE,NEW ZEALAND,2021,0.000,5.140
COKE,BAHARAIN IS,2021,0.001,4.850
COKE,SPAIN,2021,0.000,3.227
COKE,IRELAND,2021,0.000,2.706
COKE,HONG KONG,2021,0.000,2.248
COKE,ITALY,2021,0.000,0.948
COKING,AUSTRALIA,2021,37.036,330966.120
COKING,U S A,2021,3.895,36453.164
COKING,CANADA,2021,2.850,26276.877
COKING,SINGAPORE,2021,1.860,16214.611
COKING,MOZAMBIQUE,2021,1.669,14253.590
COKING,INDONESIA,2021,1.398,10258.496
COKING,RUSSIA,2021,1.328,8932.853
COKING,SWITZERLAND,2021,0.460,4137.924
COKING,UAE,2021,0.388,2998.370
COKING,NEW ZEALAND,2021,0.225,1880.483
COKING,GERMANY,2021,0.102,1297.394
COKING,AUSTRIA,2021,0.077,660.800
COKING,UK,2021,0.001,24.141
LIGNITE,CHINA P R,2021,0.019,409.100
LIGNITE,U S A,2021,0.000,0.136
LIGNITE,GHANA,2021,0.000,0.008
NON-COKING,INDONESIA,2021,91.137,330906.988
NON-COKING,SOUTH AFRICA,2021,31.143,142954.609
NON-COKING,AUSTRALIA,2021,17.917,96819.952
NON-COKING,U S A,2021,8.309,49781.396
NON-COKING,RUSSIA,2021,5.421,36626.420
NON-COKING,SINGAPORE,2021,2.626,12333.946
NON-COKING,COLOMBIA,2021,2.350,11691.789
NON-COKING,MOZAMBIQUE,2021,1.901,9175.348
NON-COKING,SWITZERLAND,2021,1.508,7322.438
NON-COKING,UAE,2021,0.437,1949.115
NON-COKING,SPAIN,2021,0.190,1190.309
NON-COKING,CANADA,2021,0.113,939.382
NON-COKING,KAZAKHSTAN,2021,0.163,806.590
NON-COKING,AUSTRIA,2021,0.178,796.868
NON-COKING,CHINA P R,2021,0.025,753.140
NON-COKING,VIETNAM SOC REP,2021,0.029,468.241
NON-COKING,NETHERLAND,2021,0.061,370.949
NON-COKING,SAUDI ARABIA,2021,0.074,314.437
NON-COKING,LATVIA,2021,0.030,260.820
NON-COKING,BANGLADESH PR,2021,0.025,214.835
NON-COKING,PHILIPPINES,2021,0.050,167.088
NON-COKING,UK,2021,0.011,86.588
NON-COKING,NEW ZEALAND,2021,0.002,29.443
NON-COKING,BAHARAIN IS,2021,0.001,16.512
NON-COKING,CYPRUS,2021,0.001,15.298
NON-COKING,HONG KONG,2021,0.001,12.049
NON-COKING,GERMANY,2021,0.003,10.570
NON-COKING,BELGIUM,2021,0.001,2.088
