Detail Data For Coal Price by Coal Type, Consuming Sector & Grade Having Year : ALL
.
ConsumingSector,CoalType,CoalGrade,DateOfApplication,YearValue,CoalPrice_Min,CoalPrice_Max
POWER,NON-COKING,G13,01/04/2014 00:00:00,2015,610.000,800.000
POWER,NON-COKING,G13,27/03/2015 00:00:00,2015,800.000,800.000
POWER,NON-COKING,G14,01/04/2014 00:00:00,2015,550.000,710.000
POWER,NON-COKING,G14,27/03/2015 00:00:00,2015,710.000,710.000
POWER,NON-COKING,G15,01/04/2014 00:00:00,2015,510.000,610.000
POWER,NON-COKING,G15,27/03/2015 00:00:00,2015,590.000,590.000
POWER,NON-COKING,G16,01/04/2014 00:00:00,2015,450.000,550.000
POWER,NON-COKING,G16,27/03/2015 00:00:00,2015,550.000,550.000
POWER,NON-COKING,G17,01/04/2014 00:00:00,2015,400.000,490.000
POWER,NON-COKING,G17,27/03/2015 00:00:00,2015,490.000,490.000
