Count_ChildDeliveryEvent,Count_ChildDeliveryEvent_AtHome,Count_ChildDeliveryEvent_AtHome_WithStandbyAssist,Count_ChildDeliveryEvent_InAnInstitution,Count_ChildDeliveryEvent_InPublicInstitution,Count_DeliveryEvent_Safe_AsFractionOf_Count_DeliveryEvent,Count_PregnancyEvent,Count_PregnantWomen_RegisteredForAntenatalCare,Count_PregnantWomen_RegisteredForAntenatalCareWithinFirstTrimester,Date,State,isoCode
29216,109,0,29107,29107,99.6,21000,60667,24811,2017-03,Chandigarh,IN-CH
469121,36725,0,432396,324785,95.9,706000,621076,540336,2017-03,Chhattisgarh,IN-CT
8751,47,0,8704,7815,99.5,12000,8502,7669,2017-03,Dadra & Nagar Haveli,IN-DN
3519,22,0,3497,2751,99.5,6000,6157,3760,2017-03,Daman & Diu,IN-DD
271514,16497,0,255017,211930,94.4,330000,993842,325393,2017-03,Delhi,IN-DL
17520,11,0,17509,11103,99.9,24000,24091,14143,2017-03,Goa,IN-GA
1188041,12660,0,1175381,442841,99.4,1543000,1381764,1047162,2017-03,Gujarat,IN-GJ
499697,37385,0,462312,289862,93.5,634000,570462,386344,2017-03,Haryana,IN-HR
89560,11886,0,77674,65809,88.7,135000,121493,101397,2017-03,Himachal Pradesh,IN-HP
200503,15063,0,185440,172166,93.1,243000,387785,227614,2017-03,Jammu & Kashmir,IN-JK
732033,69676,0,662357,468764,93.1,921000,922729,398760,2017-03,Jharkhand,IN-JH
912990,3767,0,909223,562164,99.7,1311000,1127674,857847,2017-03,Karnataka,IN-KA
446720,597,0,446123,122185,99.9,574000,488095,403137,2017-03,Kerala,IN-KL
804,0,0,804,804,100,1000,1178,969,2017-03,Lakshadweep,IN-LD
1370249,121432,0,1248817,1101543,92.3,2215000,1841458,1181285,2017-03,Madhya Pradesh,IN-MP
1682628,15282,0,1667346,940173,99.6,2219000,2185798,1502299,2017-03,Maharashtra,IN-MH
40841,7350,0,33491,26964,93.2,50000,60132,36503,2017-03,Manipur,IN-MN
86639,39147,0,47492,38346,57.1,84000,133880,45180,2017-03,Meghalaya,IN-ML
19403,2024,0,17379,13958,91.9,21000,21986,16880,2017-03,Mizoram,IN-MZ
20586,4157,0,16429,12820,91.1,35000,47172,14513,2017-03,Nagaland,IN-NL
620583,47307,0,573276,509666,94.4,938000,748325,608611,2017-03,Odisha,IN-OR
40327,8,0,40319,29151,100,24000,84301,41237,2017-03,Puducherry,IN-PY
382445,18642,0,363803,199732,97.5,501000,470504,350643,2017-03,Punjab,IN-PB
1414033,44170,0,1369863,1052716,98.2,2044000,1913657,1163725,2017-03,Rajasthan,IN-RJ
7110,116,0,6994,5336,99,12000,8457,6736,2017-03,Sikkim,IN-SK
902183,296,0,901887,512158,100,1262000,1027000,976860,2017-03,Tamil Nadu,IN-TN
593551,5979,0,587572,291060,99.5,730000,1381510,800973,2017-03,Telangana,IN-TG
49477,4813,0,44664,41936,90.3,64000,76813,48465,2017-03,Tripura,IN-TR
3629578,784792,0,2844786,2461720,82,6507000,5659485,2827529,2017-03,Uttar Pradesh,IN-UP
146235,25057,0,121178,93998,89.2,218000,216290,133744,2017-03,Uttarakhand,IN-UT
1361139,98329,0,1262810,986586,93,1646000,1814561,1403930,2017-03,West Bengal,IN-WB
20228338,3441735,0,16786603,12287413,88.6,29192000,27713453,15462333,2013-03,All India,IN
5132,276,0,4856,4856,97.1,7000,6188,4405,2013-03,A & N Islands,IN-AN
1148546,78516,0,1070030,506008,97.6,1650000,1885356,1215860,2013-03,Andhra Pradesh Old,IN-AP
15099,751,0,14348,12203,98.8,30000,30809,11273,2013-03,Arunachal Pradesh,IN-AR
597986,100088,0,497898,448507,84.7,787000,802343,491187,2013-03,Assam,IN-AS
1883354,452527,0,1430827,1426061,81.7,3234000,2435830,1079966,2013-03,Bihar,IN-BR
24499,1375,0,23124,23124,94.5,19000,34304,12367,2013-03,Chandigarh,IN-CH
483826,184549,0,299277,239713,75.4,702000,650853,294418,2013-03,Chhattisgarh,IN-CT
7510,1142,0,6368,4944,87.5,10000,13788,3335,2013-03,Dadra & Nagar Haveli,IN-DN
3801,235,0,3566,1946,95,6000,5784,2691,2013-03,Daman & Diu,IN-DD
237266,13807,0,223459,190856,95,333000,852363,259033,2013-03,Delhi,IN-DL
17897,24,0,17873,11227,99.9,22000,28082,13641,2013-03,Goa,IN-GA
1176867,57869,0,1118998,434523,96.7,1430000,1416520,1032132,2013-03,Gujarat,IN-GJ
465919,76465,0,389454,240358,89.4,617000,583204,293417,2013-03,Haryana,IN-HR
99499,24382,0,75117,60869,77.9,124000,127827,62302,2013-03,Himachal Pradesh,IN-HP
186626,22572,0,164054,156689,90.5,248000,353001,187315,2013-03,Jammu & Kashmir,IN-JK
611803,176135,0,435668,326525,77.2,914000,724839,166895,2013-03,Jharkhand,IN-JH
854074,16367,0,837707,617399,99.1,1262000,1484711,934377,2013-03,Karnataka,IN-KA
493529,1029,0,492500,136607,99.8,553000,515226,396933,2013-03,Kerala,IN-KL
626,0,0,626,626,100,1000,1182,886,2013-03,Lakshadweep,IN-LD
1367001,202039,0,1164962,1063664,89.2,2175000,1788353,931286,2013-03,Madhya Pradesh,IN-MP
1835137,67276,0,1767861,877222,98.5,2093000,2159123,1292304,2013-03,Maharashtra,IN-MH
36674,8752,0,27922,20096,90.1,42000,78523,45077,2013-03,Manipur,IN-MN
80701,39435,0,41266,31458,55.7,80000,123528,32646,2013-03,Meghalaya,IN-ML
21021,2845,0,18176,14923,91.4,20000,25149,15134,2013-03,Mizoram,IN-MZ
20839,5630,0,15209,13379,94.9,34000,49724,20183,2013-03,Nagaland,IN-NL
690750,87323,0,603427,566420,88.7,931000,770978,333864,2013-03,Odisha,IN-OR
35050,12,0,35038,30175,100,23000,55783,26271,2013-03,Puducherry,IN-PY
423118,73707,0,349411,167712,88.2,493000,489106,334694,2013-03,Punjab,IN-PB
1449576,111253,0,1338323,977333,95.4,1999000,1911370,948364,2013-03,Rajasthan,IN-RJ
7440,847,0,6593,6593,91,12000,9288,5891,2013-03,Sikkim,IN-SK
1050732,1693,0,1049039,689515,99.9,1257000,1159164,995382,2013-03,Tamil Nadu,IN-TN
52204,7176,0,45028,42685,86.6,57000,73984,40806,2013-03,Tripura,IN-TR
3235528,1204141,0,2031387,1961553,80.9,6178000,4969973,2686088,2013-03,Uttar Pradesh,IN-UP
153103,43775,0,109328,84930,85.7,210000,203240,108681,2013-03,Uttarakhand,IN-UT
1449007,377695,0,1071312,890143,74.2,1639000,1879037,1183229,2013-03,West Bengal,IN-WB
21126731,3875725,0,17251006,12432764,88.8,29116000,28275800,15574760,2012-03,All India,IN
5233,363,0,4870,4870,96.2,7000,5933,4093,2012-03,A & N Islands,IN-AN
1545747,76445,0,1469302,560593,98.4,1636000,1780005,1212974,2012-03,Andhra Pradesh Old,IN-AP
11600,572,0,11028,11028,98.6,31000,25501,8436,2012-03,Arunachal Pradesh,IN-AR
573780,114727,0,459053,418170,81.8,788000,801575,415696,2012-03,Assam,IN-AS
1810325,389248,0,1421077,1410066,86,3193000,2517011,1318555,2012-03,Bihar,IN-BR
23575,1830,0,21745,21745,92.4,18000,33601,11531,2012-03,Chandigarh,IN-CH
553199,234296,0,318903,252185,77.4,704000,696687,298668,2012-03,Chhattisgarh,IN-CT
6927,2228,0,4699,3552,72.3,10000,12187,2698,2012-03,Dadra & Nagar Haveli,IN-DN
3475,256,0,3219,1739,97.4,6000,4582,2226,2012-03,Daman & Diu,IN-DD
214466,10291,0,204175,173148,95.9,328000,822846,218195,2012-03,Delhi,IN-DL
21548,71,0,21477,11454,99.7,22000,29853,13995,2012-03,Goa,IN-GA
1203014,76314,0,1126700,316017,95.4,1426000,1383654,979551,2012-03,Gujarat,IN-GJ
518253,85927,0,432326,242612,89.8,613000,601074,306650,2012-03,Haryana,IN-HR
100339,28758,0,71581,57858,74.4,125000,139468,63385,2012-03,Himachal Pradesh,IN-HP
166260,25851,0,140409,137741,89.4,248000,462362,233463,2012-03,Jammu & Kashmir,IN-JK
584224,212417,0,371807,310921,71.2,913000,734914,157942,2012-03,Jharkhand,IN-JH
812515,23538,0,788977,590295,98.9,1269000,1590922,990377,2012-03,Karnataka,IN-KA
487252,946,0,486306,137963,99.8,561000,529067,390049,2012-03,Kerala,IN-KL
588,35,0,553,553,94.9,1000,1136,755,2012-03,Lakshadweep,IN-LD
1490844,206938,0,1283906,1157412,89.5,2166000,1944683,960572,2012-03,Madhya Pradesh,IN-MP
1813641,102079,0,1711562,800408,97.9,2078000,2233493,1310129,2012-03,Maharashtra,IN-MH
35722,7987,0,27735,20308,91,41000,92233,49524,2012-03,Manipur,IN-MN
78101,39652,0,38449,28994,54.5,79000,119912,31316,2012-03,Meghalaya,IN-ML
18730,3576,0,15154,14340,89.3,20000,24313,13584,2012-03,Mizoram,IN-MZ
19102,5924,0,13178,12653,93.7,35000,38962,13263,2012-03,Nagaland,IN-NL
735648,111543,0,624105,601462,87.1,932000,880334,354836,2012-03,Odisha,IN-OR
39633,30,0,39603,34674,100,23000,56043,21212,2012-03,Puducherry,IN-PY
419601,93959,0,325642,157231,85,497000,488816,309272,2012-03,Punjab,IN-PB
1407100,131837,0,1275263,936530,94.3,1991000,1852251,863131,2012-03,Rajasthan,IN-RJ
8042,1267,0,6775,6775,87.8,12000,10075,6142,2012-03,Sikkim,IN-SK
1067330,3626,0,1063704,714248,99.9,1266000,1149706,928439,2012-03,Tamil Nadu,IN-TN
51500,7557,0,43943,41927,86,58000,76521,38654,2012-03,Tripura,IN-TR
3659560,1401377,0,2258183,2238755,83.6,6163000,4939035,2785230,2012-03,Uttar Pradesh,IN-UP
140405,52805,0,87600,78590,81.3,211000,223737,127804,2012-03,Uttarakhand,IN-UT
1492952,421443,0,1071509,919459,72.2,1645000,1957713,1132413,2012-03,West Bengal,IN-WB
20218268,2654201,0,17564067,13005323,90.7,29718000,28379625,17217135,2015-03,All India,IN
4829,180,0,4649,4649,97.9,7000,5939,4623,2015-03,A & N Islands,IN-AN
489034,25488,0,463546,255105,97.8,974000,1070551,689103,2015-03,Andhra Pradesh,IN-AP
16563,1053,0,15510,13283,96.9,31000,35542,13742,2015-03,Arunachal Pradesh,IN-AR
625176,95897,0,529279,461329,87.9,802000,751185,580194,2015-03,Assam,IN-AS
1957002,462756,0,1494246,1494110,81,3303000,2634925,1355155,2015-03,Bihar,IN-BR
26594,385,0,26209,26209,98.7,20000,37395,18558,2015-03,Chandigarh,IN-CH
503456,129909,0,373547,291435,80.9,717000,674811,404818,2015-03,Chhattisgarh,IN-CT
7588,95,0,7493,6359,98.9,11000,16015,7625,2015-03,Dadra & Nagar Haveli,IN-DN
3748,59,0,3689,2010,98.4,6000,8348,3950,2015-03,Daman & Diu,IN-DD
264641,16642,0,247999,205471,94.7,351000,874226,303725,2015-03,Delhi,IN-DL
18150,21,0,18129,11554,99.9,23000,25995,14713,2015-03,Goa,IN-GA
1161225,28056,0,1133169,465861,98.7,1445000,1405807,1042555,2015-03,Gujarat,IN-GJ
518242,58958,0,459284,276614,89.6,628000,582804,336166,2015-03,Haryana,IN-HR
95372,16933,0,78439,64807,84.7,124000,125286,98504,2015-03,Himachal Pradesh,IN-HP
197079,17882,0,179197,167471,92,252000,388996,211520,2015-03,Jammu & Kashmir,IN-JK
636744,136567,0,500177,384520,83.5,936000,782667,263626,2015-03,Jharkhand,IN-JH
892812,8202,0,884610,598292,99.5,1273000,1196698,871411,2015-03,Karnataka,IN-KA
490237,836,0,489401,151853,99.8,552000,495716,401622,2015-03,Kerala,IN-KL
688,0,0,688,688,100,1000,1206,903,2015-03,Lakshadweep,IN-LD
1369475,157659,0,1211816,1105102,91.8,2217000,1900801,1166827,2015-03,Madhya Pradesh,IN-MP
1758529,29859,0,1728670,932795,99.4,2135000,2119476,1347457,2015-03,Maharashtra,IN-MH
40696,8175,0,32521,26405,90.7,48000,79090,46716,2015-03,Manipur,IN-MN
86320,41951,0,44369,34399,55.6,81000,129575,41777,2015-03,Meghalaya,IN-ML
21988,2119,0,19869,16022,93,20000,23481,16968,2015-03,Mizoram,IN-MZ
22349,5117,0,17232,14420,95.3,35000,44588,20865,2015-03,Nagaland,IN-NL
708526,81042,0,627484,560788,89.9,932000,816619,559202,2015-03,Odisha,IN-OR
43953,6,0,43947,32168,100,25000,74527,33935,2015-03,Puducherry,IN-PY
412692,41070,0,371622,201797,94.1,497000,476431,339035,2015-03,Punjab,IN-PB
