rowid,S.No.,StateCode,StateName(InEnglish),DistrictCode,DistrictVersion,DistrictName(InEnglish),DistrictName(InLocal),Census2001Code,Census2011Code,wikidataId
313,313,23,MADHYA PRADESH,667,1,AGAR MALWA,AGAR MALWA,,000,Q15732396
314,314,23,MADHYA PRADESH,639,1,ALIRAJPUR,ALIRAJPUR,24,465,Q2667586
315,315,23,MADHYA PRADESH,390,1,ANUPPUR,ANUPPUR,16,461,Q2299093
316,316,23,MADHYA PRADESH,391,1,ASHOKNAGAR,ASHOKNAGAR,46,459,Q2246416
317,317,23,MADHYA PRADESH,392,1,BALAGHAT,बालाघाट,45,457,Q641904
318,318,23,MADHYA PRADESH,393,1,BARWANI,बड़वानी,28,441,Q2126754
319,319,23,MADHYA PRADESH,394,1,BETUL,BETUL,35,447,Q1815279
320,320,23,MADHYA PRADESH,395,1,BHIND,BHIND,03,420,Q2341700
321,321,23,MADHYA PRADESH,396,1,BHOPAL,BHOPAL,32,444,Q1797245
322,322,23,MADHYA PRADESH,397,1,BURHANPUR,BURHANPUR,29,467,Q2125592
323,323,23,MADHYA PRADESH,398,1,CHHATARPUR,छ्तरपुर,09,425,Q2449785
324,324,23,MADHYA PRADESH,399,1,CHHINDWARA,CHHINDWARA,43,455,Q1986096
325,325,23,MADHYA PRADESH,400,1,DAMOH,दमोह,12,428,Q2479331
326,326,23,MADHYA PRADESH,401,2,DATIA,DATIA,05,422,Q2206266
327,327,23,MADHYA PRADESH,402,1,DEWAS,DEWAS,23,437,Q2025998
328,328,23,MADHYA PRADESH,403,1,DHAR,DHAR,25,438,Q2299069
329,329,23,MADHYA PRADESH,404,1,DINDORI,DINDORI,41,453,Q2398551
330,330,23,MADHYA PRADESH,405,1,EAST NIMAR,पूर्व निमाड़ खण्डवा,29,466,Q2085436
331,331,23,MADHYA PRADESH,406,1,GUNA,GUNA,07,458,Q930027
332,332,23,MADHYA PRADESH,407,1,GWALIOR,GWALIOR,04,421,Q2085310
333,333,23,MADHYA PRADESH,408,1,HARDA,HARDA,36,448,Q2173003
334,334,23,MADHYA PRADESH,409,1,HOSHANGABAD,HOSHANGABAD,37,449,Q620801
335,335,23,MADHYA PRADESH,410,1,INDORE,इन्दौर,26,439,Q742938
336,336,23,MADHYA PRADESH,411,1,JABALPUR,JABALPUR,39,451,Q632093
337,337,23,MADHYA PRADESH,412,1,JHABUA,JHABUA,24,464,Q2085336
338,338,23,MADHYA PRADESH,413,1,KATNI,KATNI,38,450,Q746441
339,339,23,MADHYA PRADESH,414,1,KHARGONE,खरगौन,27,440,Q2273900
340,340,23,MADHYA PRADESH,415,1,MANDLA,MANDLA,42,454,Q2341670
341,341,23,MADHYA PRADESH,416,1,MANDSAUR,MANDSAUR,19,433,Q1870014
342,342,23,MADHYA PRADESH,417,1,MORENA,MORENA,02,419,Q2341467
343,343,23,MADHYA PRADESH,418,1,NARSINGHPUR,NARSINGHPUR,40,452,Q2341616
344,344,23,MADHYA PRADESH,419,1,NEEMUCH,NEEMUCH,18,432,Q2341713
345,345,23,MADHYA PRADESH,722,1,Niwari,निवारी,,000,Q63563797
346,346,23,MADHYA PRADESH,420,1,PANNA,PANNA,10,426,Q2341630
347,347,23,MADHYA PRADESH,421,1,RAISEN,RAISEN,34,446,Q1815223
348,348,23,MADHYA PRADESH,422,1,RAJGARH,RAJGARH,30,442,Q1833306
349,349,23,MADHYA PRADESH,423,1,RATLAM,RATLAM,20,434,Q2299164
350,350,23,MADHYA PRADESH,424,1,REWA,REWA,14,430,Q526862
351,351,23,MADHYA PRADESH,425,1,SAGAR,SAGAR,11,427,Q2085421
352,352,23,MADHYA PRADESH,426,1,SATNA,SATNA,13,429,Q2577924
353,353,23,MADHYA PRADESH,427,1,SEHORE,सीहोर,33,445,Q2299029
354,354,23,MADHYA PRADESH,428,1,SEONI,SEONI,44,456,Q2221184
355,355,23,MADHYA PRADESH,429,1,SHAHDOL,SHAHDOL,16,460,Q2085464
356,356,23,MADHYA PRADESH,430,2,SHAJAPUR,SHAJAPUR,22,436,Q2449803
357,357,23,MADHYA PRADESH,431,1,SHEOPUR,SHEOPUR,01,418,Q620105
358,358,23,MADHYA PRADESH,432,2,SHIVPURI,SHIVPURI,06,423,Q2299042
359,359,23,MADHYA PRADESH,433,1,SIDHI,SIDHI,17,462,Q2449793
360,360,23,MADHYA PRADESH,638,1,SINGRAULI,SINGRAULI,,463,Q2668638
361,361,23,MADHYA PRADESH,434,2,TIKAMGARH,TIKAMGARH,08,424,Q2449760
362,362,23,MADHYA PRADESH,435,1,UJJAIN,UJJAIN,21,435,Q892641
363,363,23,MADHYA PRADESH,436,1,UMARIA,उमरिया,15,431,Q620297
364,364,23,MADHYA PRADESH,437,1,VIDISHA,VIDISHA,31,443,Q1815253
365,365,27,MAHARASHTRA,466,1,AHMEDNAGAR,अहमदनगर,26,522,Q401744
366,366,27,MAHARASHTRA,467,1,AKOLA,अकोला,05,501,Q520510
367,367,27,MAHARASHTRA,468,1,AMRAVATI,अमरावती,07,503,Q1771774
368,368,27,MAHARASHTRA,469,1,AURANGABAD,औरंगाबाद,19,515,Q592942
369,369,27,MAHARASHTRA,470,1,BEED,बीड,27,523,Q814037
370,370,27,MAHARASHTRA,471,1,BHANDARA,भंडारा,10,506,Q1813857
371,371,27,MAHARASHTRA,472,1,BULDHANA,बुलढाणा,04,500,Q47929
372,372,27,MAHARASHTRA,473,1,CHANDRAPUR,चंद्रपूर,13,509,Q1797274
373,373,27,MAHARASHTRA,474,1,DHULE,धुळे,02,498,Q1797383
374,374,27,MAHARASHTRA,475,1,GADCHIROLI,गडचिरोली,12,508,Q1804847
375,375,27,MAHARASHTRA,476,1,GONDIA,गोंदीया,11,507,Q1917227
376,376,27,MAHARASHTRA,477,1,HINGOLI,हिंगोली,16,512,Q2087615
377,377,27,MAHARASHTRA,478,2,JALGAON,जळगाव,03,499,Q1797291
378,378,27,MAHARASHTRA,479,1,JALNA,जालना,18,514,Q1804863
379,379,27,MAHARASHTRA,480,1,KOLHAPUR,कोल्हापूर,34,530,Q1797312
380,380,27,MAHARASHTRA,481,1,LATUR,लातूर,28,524,Q1948713
381,381,27,MAHARASHTRA,482,1,MUMBAI,मुंबई,23,519,Q2341660
382,382,27,MAHARASHTRA,483,1,MUMBAI SUBURBAN,मुंबई उपनगर,22,518,Q2085374
383,383,27,MAHARASHTRA,484,1,NAGPUR,नागपूर,09,505,Q1797367
384,384,27,MAHARASHTRA,485,1,NANDED,नांदेड,15,511,Q692389
385,385,27,MAHARASHTRA,486,1,NANDURBAR,नंदूरबार,01,497,Q1623525
386,386,27,MAHARASHTRA,487,1,NASHIK,नाशिक,20,516,Q1797269
387,387,27,MAHARASHTRA,488,1,OSMANABAD,उस्मानाबाद,29,525,Q1647186
388,388,27,MAHARASHTRA,665,1,PALGHAR,पालघर,,000,Q18003119
389,389,27,MAHARASHTRA,489,1,PARBHANI,परभणी,17,513,Q1797389
390,390,27,MAHARASHTRA,490,1,PUNE,पुणे,25,521,Q1797336
391,391,27,MAHARASHTRA,491,1,RAIGAD,रायगड,24,520,Q2019683
392,392,27,MAHARASHTRA,492,1,RATNAGIRI,रत्नागिरी,32,528,Q1771768
393,393,27,MAHARASHTRA,493,1,SANGLI,सांगली,35,531,Q1425060
394,394,27,MAHARASHTRA,494,1,SATARA,सातारा,31,527,Q1135612
395,395,27,MAHARASHTRA,495,1,SINDHUDURG,सिंधुदुर्ग,33,529,Q768332
396,396,27,MAHARASHTRA,496,1,SOLAPUR,सोलापूर,30,526,Q1797263
397,397,27,MAHARASHTRA,497,2,THANE,ठाणे,21,517,Q943099
398,398,27,MAHARASHTRA,498,1,WARDHA,वर्धा,08,504,Q980608
399,399,27,MAHARASHTRA,499,1,WASHIM,वाशिम,06,502,Q1804858
400,400,27,MAHARASHTRA,500,1,YAVATMAL,यवतमाळ,14,510,Q1804852
401,401,14,MANIPUR,252,1,BISHNUPUR,BISHNUPUR,04,275,Q938190
402,402,14,MANIPUR,253,3,CHANDEL,CHANDEL,09,280,Q2301769
403,403,14,MANIPUR,254,2,CHURACHANDPUR,CHURACHANDPUR,03,274,Q2577281
404,404,14,MANIPUR,255,2,IMPHAL EAST,IMPHAL EAST,07,278,Q1916666
405,405,14,MANIPUR,256,1,IMPHAL WEST,IMPHAL WEST,06,277,Q1822188
406,406,14,MANIPUR,713,1,JIRIBAM,,,000,Q28419387
407,407,14,MANIPUR,711,1,KAKCHING,,,000,Q28173825
408,408,14,MANIPUR,717,1,KAMJONG,,,000,Q28419390
409,409,14,MANIPUR,712,1,KANGPOKPI,,,000,Q28419386
410,410,14,MANIPUR,714,1,NONEY,NONEY,,000,Q28419389
411,411,14,MANIPUR,715,1,PHERZAWL,,,000,Q28173809
412,412,14,MANIPUR,257,2,SENAPATI,SENAPATI,01,272,Q2301706
413,413,14,MANIPUR,258,2,TAMENGLONG,TAMENGLONG,02,273,Q2301717
414,414,14,MANIPUR,716,2,TENGNOUPAL,TENGNOUPAL,,000,Q28419388
415,415,14,MANIPUR,259,2,THOUBAL,THOUBAL,05,276,Q2086198
416,416,14,MANIPUR,260,2,UKHRUL,UKHRUL,08,279,Q735101
417,417,17,MEGHALAYA,273,2,EAST GARO HILLS,EAST GARO HILLS,02,294,Q2085455
418,418,17,MEGHALAYA,657,1,EAST JAINTIA HILLS,EAST JAINTIA HILLS,,000,Q15923776
419,419,17,MEGHALAYA,274,1,EAST KHASI HILLS,EAST KHASI HILLS,06,298,Q1945304
420,420,17,MEGHALAYA,656,1,NORTH GARO HILLS,NORTH GARO HILLS,,000,Q7055466
421,421,17,MEGHALAYA,276,1,RI BHOI,RI BHOI,05,297,Q1884672
422,422,17,MEGHALAYA,277,1,SOUTH GARO HILLS,SOUTH GARO HILLS,03,295,Q2329228
423,423,17,MEGHALAYA,663,1,SOUTH WEST GARO HILLS,SOUTH WEST GARO HILLS,,000,Q15961576
424,424,17,MEGHALAYA,658,1,SOUTH WEST KHASI HILLS,SOUTH WEST KHASI HILLS,,000,Q15923741
425,425,17,MEGHALAYA,278,2,WEST GARO HILLS,WEST GARO HILLS,01,293,Q2329181
426,426,17,MEGHALAYA,275,3,WEST JAINTIA HILLS,WEST JAINTIA HILLS,07,299,Q13181190
427,427,17,MEGHALAYA,279,2,WEST KHASI HILLS,WEST KHASI HILLS,04,296,Q2064752
428,428,15,MIZORAM,261,4,AIZAWL,AIZAWL,03,283,Q1947322
429,429,15,MIZORAM,262,3,CHAMPHAI,CHAMPHAI,04,284,Q1965256
430,430,15,MIZORAM,726,1,Hnahthial,,,000,Q86882590
431,431,15,MIZORAM,728,1,KHAWZAWL,KHAWZAWL,,000,Q86882591
432,432,15,MIZORAM,263,1,KOLASIB,KOLASIB,02,282,Q1947343
433,433,15,MIZORAM,264,1,LAWNGTLAI,LAWNGTLAI,07,287,Q2086209
434,434,15,MIZORAM,265,3,LUNGLEI,LUNGLEI,06,286,Q1947352
435,435,15,MIZORAM,266,1,MAMIT,MAMIT,01,281,Q751531
436,436,15,MIZORAM,267,1,SAIHA,SAIHA,08,288,Q1821714
437,437,15,MIZORAM,727,4,SAITUAL,SAITUAL,,000,Q86882593
438,438,15,MIZORAM,268,2,SERCHHIP,SERCHHIP,05,285,Q2086190
439,439,13,NAGALAND,244,1,DIMAPUR,DIMAPUR,06,265,Q634262
440,440,13,NAGALAND,614,1,KIPHIRE,,02,269,Q2597908
441,441,13,NAGALAND,245,1,KOHIMA,KOHIMA,07,270,Q953530
442,442,13,NAGALAND,615,1,LONGLENG,,02,268,Q1426783
443,443,13,NAGALAND,246,1,MOKOKCHUNG,MOKOKCHUNG,03,262,Q2175311
444,444,13,NAGALAND,247,1,MON,MON,01,261,Q2339648
445,445,13,NAGALAND,613,1,PEREN,,07,271,Q516294
446,446,13,NAGALAND,248,1,PHEK,PHEK,08,266,Q590882
447,447,13,NAGALAND,249,1,TUENSANG,TUENSANG,02,267,Q2571393
448,448,13,NAGALAND,250,1,WOKHA,WOKHA,05,264,Q681821
449,449,13,NAGALAND,251,1,ZUNHEBOTO,ZUNHEBOTO,04,263,Q2091461
450,450,21,ODISHA,344,1,ANUGUL,ANUGUL,15,384,Q1772807
451,451,21,ODISHA,345,1,BALANGIR,BALANGIR,24,393,Q804642
452,452,21,ODISHA,346,1,BALESHWAR,BALESHWAR,08,377,Q2022279
453,453,21,ODISHA,347,1,BARGARH,BARGARH,01,370,Q808140
454,454,21,ODISHA,348,1,BHADRAK,BHADRAK,09,378,Q685638
455,455,21,ODISHA,349,1,BOUDH,BOUDH,22,391,Q2363639
456,456,21,ODISHA,350,1,CUTTACK,CUTTACK,12,381,Q2022256
457,457,21,ODISHA,351,1,DEOGARH,DEOGARH,04,373,Q2269639
458,458,21,ODISHA,352,1,DHENKANAL,DHENKANAL,14,383,Q1948389
459,459,21,ODISHA,353,1,GAJAPATI,GAJAPATI,20,389,Q1947292
460,460,21,ODISHA,354,1,GANJAM,GANJAM,19,388,Q776213
461,461,21,ODISHA,355,1,JAGATSINGHAPUR,JAGATSINGHAPUR,11,380,Q971581
462,462,21,ODISHA,356,1,JAJAPUR,JAJAPUR,13,382,Q2087771
463,463,21,ODISHA,357,1,JHARSUGUDA,JHARSUGUDA,02,371,Q569181
464,464,21,ODISHA,358,1,KALAHANDI,KALAHANDI,26,395,Q1876588
465,465,21,ODISHA,359,1,KANDHAMAL,KANDHAMAL,21,390,Q2085500
466,466,21,ODISHA,360,1,KENDRAPARA,KENDRAPARA,10,379,Q2299172
467,467,21,ODISHA,361,1,KENDUJHAR,KENDUJHAR,06,375,Q2085428
468,468,21,ODISHA,362,1,KHORDHA,KHORDHA,17,386,Q662818
469,469,21,ODISHA,363,1,KORAPUT,KORAPUT,29,398,Q1947300
470,470,21,ODISHA,364,1,MALKANGIRI,MALKANGIRI,30,399,Q5122619
471,471,21,ODISHA,365,1,MAYURBHANJ,MAYURBHANJ,07,376,Q1914546
472,472,21,ODISHA,366,1,NABARANGPUR,NABARANGPUR,28,397,Q2396798
473,473,21,ODISHA,367,1,NAYAGARH,NAYAGARH,16,385,Q2367388
474,474,21,ODISHA,368,1,NUAPADA,NUAPADA,25,394,Q1810550
475,475,21,ODISHA,369,1,PURI,PURI,18,387,Q1817158
476,476,21,ODISHA,370,1,RAYAGADA,RAYAGADA,27,396,Q2577997
477,477,21,ODISHA,371,1,SAMBALPUR,SAMBALPUR,03,372,Q1267306
478,478,21,ODISHA,372,1,SONEPUR,SONEPUR,23,392,Q1473957
479,479,21,ODISHA,373,1,SUNDARGARH,SUNDARGARH,05,374,Q2296047
480,480,34,PUDUCHERRY,598,1,KARAIKAL,KARAIKAL,04,637,Q639264
481,481,34,PUDUCHERRY,599,1,MAHE,MAHE,03,636,Q639279
482,482,34,PUDUCHERRY,600,1,PONDICHERRY,PONDICHERRY,02,635,Q984035
483,483,34,PUDUCHERRY,601,1,YANAM,YANAM,01,634,Q2126598
484,484,3,PUNJAB,27,1,AMRITSAR,AMRITSAR,02,049,Q202822
485,485,3,PUNJAB,605,1,BARNALA,,,054,Q2353293
486,486,3,PUNJAB,28,1,BATHINDA,BATHINDA,14,046,Q172488
487,487,3,PUNJAB,29,1,FARIDKOT,FARIDKOT,13,045,Q172494
488,488,3,PUNJAB,30,1,FATEHGARH SAHIB,FATEHGARH SAHIB,08,040,Q172485
489,489,3,PUNJAB,651,6,FAZILKA,,,000,Q188702
490,490,3,PUNJAB,31,6,FIROZEPUR,FIROZEPUR,11,043,Q172385
491,491,3,PUNJAB,32,3,GURDASPUR,GURDASPUR,01,035,Q146708
492,492,3,PUNJAB,33,2,HOSHIARPUR,HOSHIARPUR,05,038,Q304800
493,493,3,PUNJAB,34,1,JALANDHAR,JALANDHAR,04,037,Q1817425
494,494,3,PUNJAB,35,1,KAPURTHALA,KAPURTHALA,03,036,Q172363
495,495,3,PUNJAB,36,3,LUDHIANA,ਲੂਿਧਆਣਾ,09,041,Q172482
496,496,3,PUNJAB,37,2,MANSA,ਮਾਨਸਾ,15,047,Q172387
497,497,3,PUNJAB,38,1,MOGA,MOGA,10,042,Q1946896
498,498,3,PUNJAB,662,1,PATHANKOT,PATHANKOT,,000,Q172269
499,499,3,PUNJAB,41,7,PATIALA,PATIALA,17,048,Q172391
500,500,3,PUNJAB,42,1,RUPNAGAR,ਰੂਪਨਗਰ,07,051,Q196508
501,501,3,PUNJAB,43,1,SANGRUR,SANGRUR,16,053,Q1945515
502,502,3,PUNJAB,608,7,S.A.S Nagar,,,052,Q2037672
503,503,3,PUNJAB,40,2,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,06,039,Q202710
504,504,3,PUNJAB,39,2,SRI MUKTSAR SAHIB,ਸ੍ਰੀ ਮੁਕਤਸਰ ਸਾਹਿਬ,12,044,Q1947359
505,505,3,PUNJAB,609,2,Tarn Taran,tarn taran,,050,Q2298993
506,506,8,RAJASTHAN,86,1,AJMER,AJMER,21,119,Q413037
507,507,8,RAJASTHAN,87,1,ALWAR,ALWAR,06,104,Q449690
508,508,8,RAJASTHAN,88,2,BANSWARA,BANSWARA,28,125,Q806969
509,509,8,RAJASTHAN,89,2,BARAN,BARAN,31,128,Q2329717
510,510,8,RAJASTHAN,90,1,BARMER,BARMER,17,115,Q42016
511,511,8,RAJASTHAN,91,3,BHARATPUR,BHARATPUR,07,105,Q854861
512,512,8,RAJASTHAN,92,1,BHILWARA,BHILWARA,24,122,Q41991
513,513,8,RAJASTHAN,93,1,BIKANER,BIKANER,03,101,Q778996
514,514,8,RAJASTHAN,94,1,BUNDI,BUNDI,23,121,Q670405
515,515,8,RAJASTHAN,95,1,CHITTORGARH,CHITTORGARH,29,126,Q1075011
516,516,8,RAJASTHAN,96,1,CHURU,CHURU,04,102,Q1090006
517,517,8,RAJASTHAN,97,1,DAUSA,DAUSA,11,109,Q1173042
518,518,8,RAJASTHAN,98,1,DHOLPUR,DHOLPUR,08,106,Q1207709
519,519,8,RAJASTHAN,99,1,DUNGARPUR,DUNGARPUR,27,124,Q1265687
520,520,8,RAJASTHAN,100,1,GANGANAGAR,GANGANAGAR,01,099,Q1419696
521,521,8,RAJASTHAN,101,1,HANUMANGARH,HANUMANGARH,02,100,Q1356112
522,522,8,RAJASTHAN,102,2,JAIPUR,JAIPUR,12,110,Q1134781
523,523,8,RAJASTHAN,103,1,JAISALMER,JAISALMER,16,114,Q1419708
524,524,8,RAJASTHAN,104,1,JALORE,JALORE,18,116,Q1460832
525,525,8,RAJASTHAN,105,1,JHALAWAR,JHALAWAR,32,129,Q1471417
526,526,8,RAJASTHAN,106,1,JHUNJHUNU,JHUNJHUNU,05,103,Q1471427
527,527,8,RAJASTHAN,107,1,JODHPUR,JODHPUR,15,113,Q1434965
528,528,8,RAJASTHAN,108,1,KARAULI,KARAULI,09,107,Q1419668
529,529,8,RAJASTHAN,109,1,KOTA,KOTA,30,127,Q999432
530,530,8,RAJASTHAN,110,2,NAGAUR,NAGAUR,14,112,Q1507174
531,531,8,RAJASTHAN,111,1,PALI,PALI,20,118,Q46925
532,532,8,RAJASTHAN,629,1,PRATAPGARH,PRATAPGARH,,131,Q1585433
533,533,8,RAJASTHAN,112,3,RAJSAMAND,RAJSAMAND,25,123,Q596693
534,534,8,RAJASTHAN,113,1,SAWAI MADHOPUR,SAWAI MADHOPUR,10,108,Q1507166
535,535,8,RAJASTHAN,114,1,SIKAR,SIKAR,13,111,Q12945777
536,536,8,RAJASTHAN,115,3,SIROHI,SIROHI,19,117,Q205719
537,537,8,RAJASTHAN,116,1,TONK,TONK,22,120,Q915880
538,538,8,RAJASTHAN,117,3,UDAIPUR,UDAIPUR,26,130,Q1321577
539,539,11,SIKKIM,225,1,EAST DISTRICT,EAST DISTRICT,04,244,Q1772832
540,540,11,SIKKIM,226,1,NORTH DISTRICT,NORTH DISTRICT,01,241,Q1784149
541,541,11,SIKKIM,227,1,SOUTH DISTRICT,SOUTH DISTRICT,03,243,Q1805051
542,542,11,SIKKIM,228,1,WEST DISTRICT,WEST DISTRICT,02,242,Q611357
543,543,33,TAMIL NADU,610,1,Ariyalur,அரியலூர்,17,616,Q15112
544,544,33,TAMIL NADU,730,1,CHENGALPATTU,செங்கல்பட்டு,,000,Q65976177
545,545,33,TAMIL NADU,568,1,CHENNAI,CHENNAI,02,603,Q15116
546,546,33,TAMIL NADU,569,1,COIMBATORE,COIMBATORE,12,632,Q15136
547,547,33,TAMIL NADU,570,1,CUDDALORE,CUDDALORE,18,617,Q15150
548,548,33,TAMIL NADU,571,1,DHARMAPURI,DHARMAPURI,05,630,Q15152
549,549,33,TAMIL NADU,572,1,DINDIGUL,DINDIGUL,13,612,Q15154
550,550,33,TAMIL NADU,573,1,ERODE,ERODE,10,610,Q15155
551,551,33,TAMIL NADU,729,1,KALLAKURICHI,கள்ளக்குறிச்சி,,000,Q60493360
552,552,33,TAMIL NADU,574,2,KANCHIPURAM,KANCHIPURAM,03,604,Q15157
553,553,33,TAMIL NADU,575,1,KANNIYAKUMARI,KANNIYAKUMARI,30,629,Q15158
554,554,33,TAMIL NADU,576,1,KARUR,KARUR,14,613,Q15182
555,555,33,TAMIL NADU,577,1,KRISHNAGIRI,KRISHNAGIRI,05,631,Q15183
556,556,33,TAMIL NADU,578,1,MADURAI,MADURAI,24,623,Q15184
557,557,33,TAMIL NADU,579,1,NAGAPATTINAM,NAGAPATTINAM,19,618,Q15185
558,558,33,TAMIL NADU,580,1,NAMAKKAL,NAMAKKAL,09,609,Q15187
559,559,33,TAMIL NADU,581,1,PERAMBALUR,PERAMBALUR,16,615,Q15186
560,560,33,TAMIL NADU,582,1,PUDUKKOTTAI,PUDUKKOTTAI,22,621,Q15190
561,561,33,TAMIL NADU,583,1,RAMANATHAPURAM,RAMANATHAPURAM,27,626,Q15191
562,562,33,TAMIL NADU,731,1,Ranipet,ராணிப்பேட்டை,,000,Q66659623
563,563,33,TAMIL NADU,584,1,SALEM,SALEM,08,608,Q15192
564,564,33,TAMIL NADU,585,1,SIVAGANGA,SIVAGANGA,23,622,Q15195
565,565,33,TAMIL NADU,733,1,TENKASI,தென்காசி,,000,Q75094121
566,566,33,TAMIL NADU,586,1,THANJAVUR,THANJAVUR,21,620,Q15194
567,567,33,TAMIL NADU,588,1,THENI,THENI,25,624,Q15196
568,568,33,TAMIL NADU,587,1,THE NILGIRIS,THE NILGIRIS,11,611,Q15188
569,569,33,TAMIL NADU,589,1,THIRUVALLUR,THIRUVALLUR,01,602,Q15204
570,570,33,TAMIL NADU,590,1,THIRUVARUR,THIRUVARUR,20,619,Q15197
571,571,33,TAMIL NADU,591,1,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI,15,614,Q15201
572,572,33,TAMIL NADU,592,2,TIRUNELVELI,TIRUNELVELI,29,628,Q15200
573,573,33,TAMIL NADU,732,1,Tirupathur,திருப்பத்தூர்,,000,Q66659621
574,574,33,TAMIL NADU,634,1,TIRUPPUR,TIRUPPUR,,633,Q15202
575,575,33,TAMIL NADU,593,1,TIRUVANNAMALAI,TIRUVANNAMALAI,06,606,Q15207
576,576,33,TAMIL NADU,594,1,TUTICORIN,TUTICORIN,28,627,Q15198
577,577,33,TAMIL NADU,595,3,VELLORE,VELLORE,04,605,Q15206
578,578,33,TAMIL NADU,596,2,VILLUPURAM,VILLUPURAM,07,607,Q15205
579,579,33,TAMIL NADU,597,1,VIRUDHUNAGAR,VIRUDHUNAGAR,26,625,Q15209
580,580,36,TELANGANA,501,5,ADILABAD,ఆదిలాబాద్,01,532,Q15211
581,581,36,TELANGANA,690,2,BHADRADRI KOTHAGUDEM,భద్రాద్రి కొత్తగూడెం,,000,Q28169767
582,582,36,TELANGANA,507,2,HYDERABAD,హైదరాబాద్,05,536,Q15340
583,583,36,TELANGANA,681,1,Jagitial,జగిత్యాల,,000,Q28169780
584,584,36,TELANGANA,689,1,JANGOAN,జనగాం,,000,Q28170170
585,585,36,TELANGANA,687,3,JAYASHANKAR BHUPALAPALLY,జయశంకర్ భూపాలపల్లి,,000,Q28169775
586,586,36,TELANGANA,695,2,JOGULAMBA GADWAL,జోగులాంబ గద్వాల,,000,Q27897618
587,587,36,TELANGANA,685,1,KAMAREDDY,కామారెడ్డి,,000,Q27956125
588,588,36,TELANGANA,508,9,KARIMNAGAR,కరీంనగర్,03,534,Q15373
589,589,36,TELANGANA,509,5,KHAMMAM,ఖమ్మం,10,541,Q15371
590,590,36,TELANGANA,699,2,KUMURAM BHEEM ASIFABAD,కుమురం భీమ్ ఆసిఫాబాద్,,000,Q28170184
591,591,36,TELANGANA,688,1,MAHABUBABAD,మహబుబాబాద్,,000,Q28169761
592,592,36,TELANGANA,512,8,MAHABUBNAGAR,మహబూబ్ నగర్,07,538,Q15380
593,593,36,TELANGANA,684,1,MANCHERIAL,మంచిర్యాల్,,000,Q28169747
594,594,36,TELANGANA,513,4,MEDAK,మెదక్,04,535,Q15386
595,595,36,TELANGANA,700,2,MEDCHAL MALKAJGIRI,మేడ్చల్ మల్కాజిగిరి,,000,Q27614841
596,596,36,TELANGANA,720,1,Mulugu,,,000,Q61746006
597,597,36,TELANGANA,694,1,NAGARKURNOOL,నాగర్ కర్నూల్,,000,Q28169773
598,598,36,TELANGANA,514,5,NALGONDA,నల్గొండ,08,539,Q15384
599,599,36,TELANGANA,721,1,Narayanpet,,,000,Q61746013
600,600,36,TELANGANA,680,1,Nirmal,నిర్మల్,,000,Q28169750
601,601,36,TELANGANA,516,3,NIZAMABAD,నిజామాబాదు,02,533,Q15391
602,602,36,TELANGANA,682,1,PEDDAPALLI,పెద్దపల్లి,,000,Q27614797
603,603,36,TELANGANA,683,3,RAJANNA SIRCILLA,రాజన్న సిరిసిల్ల,,000,Q28172781
604,604,36,TELANGANA,518,5,RANGA REDDY,రంగా రెడ్డి,06,537,Q15388
605,605,36,TELANGANA,691,1,SANGAREDDY,సంగారెడ్డి,,000,Q28169753
606,606,36,TELANGANA,692,3,SIDDIPET,సిద్దిపేట,,000,Q28169756
607,607,36,TELANGANA,696,1,SURYAPET,సూర్యాపేట,,000,Q28169770
608,608,36,TELANGANA,698,1,VIKARABAD,వికారాబాద్,,000,Q28170173
609,609,36,TELANGANA,693,1,WANAPARTHY,వనపర్తి,,000,Q28172504
610,610,36,TELANGANA,522,10,WARANGAL RURAL,వరంగల్ రూరల్,09,540,Q28169759
611,611,36,TELANGANA,686,3,WARANGAL URBAN,వరంగల్ అర్బన్,,000,Q213077
612,612,36,TELANGANA,697,2,YADADRI BHUVANAGIRI,యదాద్రి భువనగిరి,,000,Q28169764
613,613,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,2,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,01,496,Q46107
614,614,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,463,2,DAMAN,DAMAN,02,495,Q1158197
615,615,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,464,2,DIU,DIU,01,494,Q2552347
616,616,16,TRIPURA,269,1,Dhalai,ধলাই,03,291,Q2086546
617,617,16,TRIPURA,654,1,Gomati,গোমতি,,000,Q16086497
618,618,16,TRIPURA,652,1,Khowai,খোয়াই,,000,Q16086680
619,619,16,TRIPURA,270,1,North Tripura,উত্তর ত্রিপুরা,04,292,Q1920978
620,620,16,TRIPURA,653,1,Sepahijala,সিপাহিজলা,,000,Q16086076
621,621,16,TRIPURA,271,1,South Tripura,দক্ষিন ত্রিপুরা,02,290,Q1822159
622,622,16,TRIPURA,655,1,Unakoti,ঊনকোটি,,000,Q16087996
623,623,16,TRIPURA,272,1,West Tripura,পশ্চিম ত্রিপুরা,01,289,Q1947570
624,624,5,UTTARAKHAND,45,1,ALMORA,ALMORA,09,064,Q1805066
