observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:wikidataId/Q464953,2016,984,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q464953,2016,0.78226,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q815913,2016,15426,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q815913,2016,22885,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q815913,2016,6768,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q815913,2016,306,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q815913,2016,45385,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q815913,2016,36.07997,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q836645,2016,489,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q836645,2016,725,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q836645,2016,14,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q836645,2016,92,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q836645,2016,1320,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q836645,2016,1.04937,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q503932,2016,528,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q503932,2016,1083,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q503932,2016,53,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q503932,2016,105,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q503932,2016,1769,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q503932,2016,1.40631,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q836657,2016,1122,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q836657,2016,1112,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q836657,2016,145,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q836657,2016,0,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q836657,2016,2379,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q836657,2016,1.89125,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q836654,2016,1037,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q836654,2016,1934,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q836654,2016,521,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q836654,2016,1,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q836654,2016,3493,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q836654,2016,2.77685,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q682721,2016,258,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q682721,2016,540,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q682721,2016,57,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q682721,2016,333,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q682721,2016,1188,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q682721,2016,0.94443,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
