observationDate,observationAbout,value,variableMeasured
2022,wikidataId/Q108025,3663,dcid:Count_Person_30To39Years_Female
2023,wikidataId/Q108025,3807,dcid:Count_Person_30To39Years_Female
2024,wikidataId/Q108025,3865,dcid:Count_Person_30To39Years_Female
2025,wikidataId/Q108025,3933,dcid:Count_Person_30To39Years_Female
1986,wikidataId/Q108025,2765,dcid:Count_Person_40To49Years_Female
1987,wikidataId/Q108025,2913,dcid:Count_Person_40To49Years_Female
1988,wikidataId/Q108025,3025,dcid:Count_Person_40To49Years_Female
1989,wikidataId/Q108025,3115,dcid:Count_Person_40To49Years_Female
1990,wikidataId/Q108025,3210,dcid:Count_Person_40To49Years_Female
1991,wikidataId/Q108025,3281,dcid:Count_Person_40To49Years_Female
1992,wikidataId/Q108025,3351,dcid:Count_Person_40To49Years_Female
1993,wikidataId/Q108025,3394,dcid:Count_Person_40To49Years_Female
1994,wikidataId/Q108025,3451,dcid:Count_Person_40To49Years_Female
1995,wikidataId/Q108025,3398,dcid:Count_Person_40To49Years_Female
1996,wikidataId/Q108025,3304,dcid:Count_Person_40To49Years_Female
1997,wikidataId/Q108025,3246,dcid:Count_Person_40To49Years_Female
1998,wikidataId/Q108025,3281,dcid:Count_Person_40To49Years_Female
1999,wikidataId/Q108025,3257,dcid:Count_Person_40To49Years_Female
2000,wikidataId/Q108025,3275,dcid:Count_Person_40To49Years_Female
2001,wikidataId/Q108025,3314,dcid:Count_Person_40To49Years_Female
2002,wikidataId/Q108025,3352,dcid:Count_Person_40To49Years_Female
2003,wikidataId/Q108025,3406,dcid:Count_Person_40To49Years_Female
2004,wikidataId/Q108025,3434,dcid:Count_Person_40To49Years_Female
2005,wikidataId/Q108025,3499,dcid:Count_Person_40To49Years_Female
2006,wikidataId/Q108025,3559,dcid:Count_Person_40To49Years_Female
2007,wikidataId/Q108025,3536,dcid:Count_Person_40To49Years_Female
2008,wikidataId/Q108025,3527,dcid:Count_Person_40To49Years_Female
2009,wikidataId/Q108025,3580,dcid:Count_Person_40To49Years_Female
2010,wikidataId/Q108025,3624,dcid:Count_Person_40To49Years_Female
2011,wikidataId/Q108025,3707,dcid:Count_Person_40To49Years_Female
2012,wikidataId/Q108025,3768,dcid:Count_Person_40To49Years_Female
2013,wikidataId/Q108025,3810,dcid:Count_Person_40To49Years_Female
2014,wikidataId/Q108025,3840,dcid:Count_Person_40To49Years_Female
2015,wikidataId/Q108025,3864,dcid:Count_Person_40To49Years_Female
2016,wikidataId/Q108025,3891,dcid:Count_Person_40To49Years_Female
2017,wikidataId/Q108025,3907,dcid:Count_Person_40To49Years_Female
2018,wikidataId/Q108025,3871,dcid:Count_Person_40To49Years_Female
2019,wikidataId/Q108025,3891,dcid:Count_Person_40To49Years_Female
2020,wikidataId/Q108025,3853,dcid:Count_Person_40To49Years_Female
2021,wikidataId/Q108025,3869,dcid:Count_Person_40To49Years_Female
2022,wikidataId/Q108025,3881,dcid:Count_Person_40To49Years_Female
2023,wikidataId/Q108025,3837,dcid:Count_Person_40To49Years_Female
2024,wikidataId/Q108025,3858,dcid:Count_Person_40To49Years_Female
2025,wikidataId/Q108025,3825,dcid:Count_Person_40To49Years_Female
1986,wikidataId/Q108025,2338,dcid:Count_Person_50To59Years_Female
1987,wikidataId/Q108025,2349,dcid:Count_Person_50To59Years_Female
1988,wikidataId/Q108025,2349,dcid:Count_Person_50To59Years_Female
1989,wikidataId/Q108025,2352,dcid:Count_Person_50To59Years_Female
1990,wikidataId/Q108025,2329,dcid:Count_Person_50To59Years_Female
1991,wikidataId/Q108025,2279,dcid:Count_Person_50To59Years_Female
1992,wikidataId/Q108025,2263,dcid:Count_Person_50To59Years_Female
1993,wikidataId/Q108025,2322,dcid:Count_Person_50To59Years_Female
1994,wikidataId/Q108025,2407,dcid:Count_Person_50To59Years_Female
1995,wikidataId/Q108025,2543,dcid:Count_Person_50To59Years_Female
1996,wikidataId/Q108025,2698,dcid:Count_Person_50To59Years_Female
1997,wikidataId/Q108025,2844,dcid:Count_Person_50To59Years_Female
1998,wikidataId/Q108025,2967,dcid:Count_Person_50To59Years_Female
1999,wikidataId/Q108025,3087,dcid:Count_Person_50To59Years_Female
2000,wikidataId/Q108025,3217,dcid:Count_Person_50To59Years_Female
2001,wikidataId/Q108025,3320,dcid:Count_Person_50To59Years_Female
2002,wikidataId/Q108025,3346,dcid:Count_Person_50To59Years_Female
2003,wikidataId/Q108025,3388,dcid:Count_Person_50To59Years_Female
2004,wikidataId/Q108025,3402,dcid:Count_Person_50To59Years_Female
2005,wikidataId/Q108025,3351,dcid:Count_Person_50To59Years_Female
2006,wikidataId/Q108025,3304,dcid:Count_Person_50To59Years_Female
2007,wikidataId/Q108025,3280,dcid:Count_Person_50To59Years_Female
2008,wikidataId/Q108025,3305,dcid:Count_Person_50To59Years_Female
2009,wikidataId/Q108025,3293,dcid:Count_Person_50To59Years_Female
2010,wikidataId/Q108025,3331,dcid:Count_Person_50To59Years_Female
2011,wikidataId/Q108025,3327,dcid:Count_Person_50To59Years_Female
2012,wikidataId/Q108025,3366,dcid:Count_Person_50To59Years_Female
2013,wikidataId/Q108025,3415,dcid:Count_Person_50To59Years_Female
2014,wikidataId/Q108025,3449,dcid:Count_Person_50To59Years_Female
2015,wikidataId/Q108025,3508,dcid:Count_Person_50To59Years_Female
2016,wikidataId/Q108025,3607,dcid:Count_Person_50To59Years_Female
2017,wikidataId/Q108025,3604,dcid:Count_Person_50To59Years_Female
