,PubChem ID,ChEMBL ID
1353,3396,CHEMBL46516
1354,3397,CHEMBL806
1355,5311101,CHEMBL1201396
1356,444036,CHEMBL1473
1357,,
1358,1548972,CHEMBL350239
1359,3404,CHEMBL1621884
1360,136170999,
1361,135659064,
1362,6037,CHEMBL1622
1363,,
1364,,
1365,,
1366,3406,CHEMBL1308
1367,636380,CHEMBL1200644
1368,132706,CHEMBL315021
1369,42642645,CHEMBL1230609
1370,712,CHEMBL1255
1371,284,CHEMBL116736
1372,3410,CHEMBL1256786
1373,47936,CHEMBL52606
1374,131536,CHEMBL1664
1375,,
1376,219090,
1377,3415,CHEMBL666
1378,446987,CHEMBL1757
1379,55891,CHEMBL3306578
1380,56339,CHEMBL1201336
1381,3038497,CHEMBL2021422
1382,,
1383,8378,CHEMBL184618
1384,77992,CHEMBL1279
1385,5984,
1386,,
1387,104741,CHEMBL1358
1388,,
1389,3435,CHEMBL1374738
1390,3440,CHEMBL35
1391,3000226,CHEMBL374975
1392,3446,CHEMBL940
1393,6918204,
1394,15814656,
1395,60754,
1396,,
1397,55466,
1398,60714,
1399,444013,
1400,56841043,
1401,,
1402,9651,CHEMBL659
1403,10445549,CHEMBL1236524
1404,67425,
1405,61635,
1406,,
1407,5280581,CHEMBL465183
1408,3037032,
1409,3454,
1410,,
1411,,
1412,5379,CHEMBL31
1413,123631,CHEMBL939
1414,,
1415,46936377,
1416,60750,CHEMBL888
1417,130659,CHEMBL1201383
1418,,
1419,3463,CHEMBL457
1420,5464436,
1421,,
1422,,
1423,5280961,CHEMBL44
1424,,
1425,3467,CHEMBL329592
1426,3468,CHEMBL459265
1427,55190,CHEMBL1204187
1428,3033968,CHEMBL1213583
1429,49803313,CHEMBL3301622
1430,54679224,CHEMBL1730601
1431,,
1432,,
1433,,
1434,119058042,
1435,3081884,
1436,3488,CHEMBL472
1437,3475,CHEMBL427216
1438,3476,CHEMBL149223
1439,3478,CHEMBL1073
1440,91610,CHEMBL383634
1441,32778,CHEMBL2106618
1442,,
1443,,
1444,,
1445,10690,CHEMBL464345
1446,439213,CHEMBL493287
1447,5793,CHEMBL1222250
1448,,
1449,3487,CHEMBL1102
1450,,
1451,750,CHEMBL773
1452,9565,CHEMBL1697838
1453,,
1454,,
1455,3494,CHEMBL1201335
1456,,
1457,,
1458,,
